"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"12","2013_Q3",16.834375,"Up",10737000,-5436000,-1845000,-1500000,-2091000,5301000,-1478000,-1312000,-166000,3823000,14000,3837000,-1495000,2342000,2342000,2342000,2342000,4180000,4180000,3996000,3996000,878000,3107000,560000,2308000,12161000,241509000,294191000,-52682000,30055000,30055000,271564000,283725000,6047000,1532000,1544000,2618000,0,0,6089000,84915000,92389000,33854000,58535000,177304000,183393000,78897000,21435000,100332000,100332000,283725000,2342000,1500000,-412000,-6000.00000000006,3424000,509000,-1167000,-1789000,139000,-981000,568000,-2631000,-374000,-374000,-374000,6801000,84957000,0.49371,0.21812,0.02334,0.00825,1.99721,1.82786,0.29943,0.18134,0.18134,0.83135,7.76856,0.13852,0.01488,0.76388,11.87722,15.23807
"13","2013_Q4",17.2375,"Up",10912000,-5545000,-1847000,-1437000,-2261000,5367000,-1361000,-1311000,-50000,4006000,13000,4019000,-1484000,2535000,2535000,2535000,2535000,6795000,6795000,3874000,3874000,790000,2831000,605000,1997000,14290000,242657000,296432000,-53775000,30029000,30029000,272686000,286976000,6802000,1876000,1546000,2788000,0,0,6850000,84896000,93445000,34616000,58829000,178341000,185191000,79602000,22183000,101785000,101785000,286976000,2535000,1437000,961000,1250000,6183000,6000,-2472000,-1785000,-16000,705000,731000,-1096000,2615000,2615000,2615000,6804000,84944000,0.49184,0.23231,0.02491,0.00883,2.08613,1.81943,0.296,0.19633,0.19633,0.84513,7.8832,0.13825,0.01542,0.70414,11.48574,14.56102
"14","2014_Q1",17.0511475409836,"Down",10665000,-5345000,-1786000,-1443000,-2116000,5320000,-1154000,-1311000,157000,4166000,24000,4190000,-1552000,2638000,2638000,2638000,2638000,7565000,7565000,3772000,3772000,722000,3173000,573000,2381000,15232000,244237000,298670000,-54433000,23060000,23060000,267297000,282529000,7800000,1758000,1606000,2712000,1.35525271560688e-20,1.35525271560688e-20,7843000,84885000,86290000,34634994.3403351,86290000,171175000,179018000,80545000,22966000,103511000,103511000,282529000,2638000,1443000,-391000,1081000,4771000,9000,-3248000,-1795000,99000,943000,943000,-753000,770000,770000,770000,6763000,84928000,0.49883,0.24735,0.02549,0.00934,1.94211,1.72946,0.3006,0.20374,0.20374,0.82369,7.99446,0.13863,0.01614,0.68044,11.43915,14.54192
"15","2014_Q2",16.9887301587302,"Down",10571000,-5813000,-2152000,-1477000,-2184000,4758000,-1422000,-1308000,-114000,3336000,43000,3379000,-1268000,2111000,2111000,2111000,2111000,5739000,5739000,3408000,3408000,747000,3539000,816000,2496000,13433000,244989000,300672000,-55683000,22992000,22992000,267981000,281414000,8103000,1573000,1609000,2922000,0,0,8146000,84874000,84422000,34553000,49869000,169296000,177442000,80755000,23217000,103972000,103972000,281414000,2111000,1477000,-247000,-1154000,2187000,12000,-2266000,-1857000,-1e+05,210000,782000,-1747000,-1826000,-1826000,-1826000,6235000,84917000,0.4501,0.1997,0.0203,0.0075,1.64903,1.70663,0.30175,0.16249,0.16249,0.81369,8.00309,0.14294,0.01452,0.87968,12.69896,16.64103
"16","2014_Q3",16.78578125,"Down",11768000,-5968000,-2180000,-1469000,-2319000,5800000,-1372000,-1270000,-102000,4428000,56000,4484000,-1727000,2757000,2757000,2757000,2757000,2083000,2083000,3977000,3977000,797000,3371000,749000,2389000,10228000,247059000,304731000,-57672000,22647000,22647000,269706000,279934000,8729000,1729000,1582000,2642000,2.16840434497101e-19,2.16840434497101e-19,8772000,84864000,84706000,34734000,49972000,169570000,178342000,77452000,24140000,101592000,101592000,279934000,2757000,1469000,-155000,1152000,5223000,14000,-3128000,-1861000,-81000,-3303000,880000,-5751000,-3656000,-3656000,-3656000,7269000,84907000,0.49286,0.23428,0.02714,0.00985,1.16598,1.75547,0.30331,0.21381,0.21381,0.91261,7.87849,0.14432,0.01703,0.67501,11.39414,14.28
"17","2014_Q4",18.17421875,"Up",12062000,-5970000,-2165000,-1487000,-2318000,6092000,-1476000,-1254000,-222000,4616000,374000,4990000,-1925000,3065000,3065000,3065000,3065000,3232000,3232000,4237000,4237000,794000,3471000,921000,2316000,11734000,250506000,309539000,-59033000,22530000,22530000,273036000,284770000,11560000,2661000,1582000,2782000,0,0,11603000,84853000,85433000,35002000,50431000,170286000,181889000,77509000,25372000,102881000,102881000,284770000,3065000,1487000,-9e+05,2892000,6544000,6000,-3825000,-1833000,206000,57000,482000,-1570000,1149000,1149000,1149000,7579000,84896000,0.50506,0.2541,0.02979,0.01076,1.01129,1.76796,0.29812,0.23904,0.23904,0.9407,8.02356,0.14295,0.01793,0.59804,10.77504,13.40512
"18","2015_Q1",20.2103278688525,"Up",11499000,-6072000,-2315000,-1499000,-2258000,5427000,-1972000,-1374000,-598000,3455000,53000,3508000,43000,3551000,3551000,3551000,3551000,1488000,1488000,3991000,3991000,771000,4983000,584000,2384000,11233000,253194000,313003000,-59809000,39912000,39912000,293106000,304339000,5887000,1589000,1647000,2651000,-3.46944695195361e-18,-3.46944695195361e-18,5930000,84842000,109004000,40595152.0889931,109004000,193846000,199776000,77556000,27007000,104563000,104563000,304339000,3551000,1499000,-5293000,5055000,4812000,8000,-4903000,-1851000,151000,47000.0000000005,559000,-1653000,-1744000,-1744000,-1744000,6926000,84885000,0.47195,0.30881,0.03396,0.01167,1.89427,1.91058,0.27892,0.27718,0.27718,0.89759,8.162,0.14449,0.0181,0.52126,12.04115,15.36705
"19","2015_Q2",19.8542857142857,"Down",11209000,-6075000,-2241000,-1549000,-2285000,5134000,-1425000,-1284000,-141000,3709000,55000,3764000,-1236000,2528000,2528000,2528000,2528000,468000,468000,4021000,4021000,807000,4371000,910000,2282000,9667000,254524000,315812000,-61288000,40111000,40111000,294635000,304302000,6103000,1519000,1653000,2931000,0,0,6146000,84831000,107576000,46322000,61254000,192407000,198553000,78133000,27616000,105749000,105749000,304302000,2528000,1549000,51000,-896000,3232000,6000,-2914000,-1913000,-2000,577000,577000,-1338000,-1020000,-1020000,-1020000,6683000,84874000,0.45802,0.22553,0.02391,0.00831,1.57289,1.87759,0.27891,0.19694,0.19694,0.87322,8.23823,0.14903,0.01489,0.75672,12.62996,16.44059
"20","2015_Q3",18.4475,"Down",11895000,-6213000,-2303000,-1505000,-2405000,5682000,-1460000,-1286000,-174000,4222000,53000,4275000,-1350000,2925000,2925000,2925000,2925000,1029000,1029000,4316000,4316000,788000,3960000,905000,2339000,10093000,257318000,319786000,-62468000,39661000,39661000,296979000,307072000,6791000,2396000,1655000,2740000,0,0,6834000,84820000,108088000,46833000,61255000,192908000,199742000,78713000,28617000,107330000,107330000,307072000,2925000,1505000,-1215000,1536000,4751000,5000,-3050000,-1922000,202000,580000,580000,-1140000,561000,561000,561000,7187000,84863000,0.47768,0.2459,0.02725,0.00953,1.47688,1.86101,0.27636,0.22741,0.22741,0.92482,8.34476,0.14943,0.01614,0.65709,11.66467,14.75431
"21","2015_Q4",20.6009375,"Up",12368000,-6015000,-2160000,-1537000,-2318000,6353000,-1487000,-1304000,-183000,4866000,40000,4906000,-1386000,3520000,3520000,3520000,3520000,1148000,1148000,4310000,4310000,792000,3909000,882000,2523000,10159000,260079000,323768000,-63689000,39971000,39971000,300050000,310209000,6217000,1959000,1640000,2618000,0,0,6260000,87269000,109630000,47604000,62026000,196899000,203159000,76823000,30227000,107050000,107050000,310209000,3520000,1537000,-214000,790000,5633000,0,-4390000,-1925000,2989000,-1890000,605000,-1124000,119000,119000,119000,7890000,87312000,0.51366,0.28461,0.03288,0.01135,1.62284,1.8978,0.28146,0.27425,0.27425,0.96361,8.34045,0.14998,0.01791,0.54688,10.92066,13.56273
"22","2016_Q1",24.1554098360656,"Up",11617000,-6125000,-2378000,-1560000,-2187000,5492000,-1266000,-1308000,42000,4226000,58000,4284000,-768000,3516000,3516000,3516000,3516000,2879000,2879000,3535000,3535000,771000,4392000,729000,2614000,11577000,261420000,325691000,-64271000,37536000,37536000,298956000,310533000,6153000,1772000,1708000,2673000,-4.44089209850063e-16,-4.44089209850063e-16,6197000,84518000,110748000,50280000,60468000,195266000,201463000,77317000,31753000,109070000,109070000,310533000,3516000,1560000,582000,1436000,7094000,1.45519152283669e-11,-3831000,-1922000,-104000,494000,545000,-1532000,1731000,1731000,1731000,7052000,84562000,0.47276,0.30266,0.03224,0.01132,1.86816,1.8471,0.27231,0.27483,0.27483,0.90805,8.52551,0.15023,0.01787,0.54664,11.58296,14.87309
"23","2016_Q2",26.14921875,"Up",11278000,-6064000,-2214000,-1627000,-2223000,5214000,-1468000,-1305000,-163000,3746000,53000,3799000,-1313000,2486000,2486000,2486000,2486000,3217000,3217000,3583000,3583000,752000,4007000,1068000,2510000,11559000,261881000,327557000,-65676000,37778000,37778000,299659000,311218000,6499000,1947000,1723000,2829000,0,0,6543000,84543000,109838000,50783000,59055000,194381000,200924000,78050000,32244000,110294000,110294000,311218000,2486000,1627000,-360000,-429000,3324000,430572.190368707,-1926000,-1980000,187000,733000,733000,-1060000,338000,338000,338000,6841000,84587000,0.46232,0.22043,0.02254,0.00799,1.76662,1.82171,0.27179,0.1939,0.1939,0.87964,8.60253,0.15443,0.01466,0.79646,11.89446,15.60606
"24","2016_Q3",26.50328125,"Up",11820000,-6125000,-2274000,-1555000,-2296000,5695000,-1415000,-1316000,-99000,4280000,47000,4327000,-1480000,2847000,2847000,2847000,2847000,5009000,5009000,3814000,3814000,765000,3425000,971000,2444000,13013000,263682000,330623000,-66941000,37344000,37344000,301026000,314039000,5970000,1609000,1735000,2626000,-7.105427357601e-15,-7.105427357601e-15,6014000,84569000,111479000,51357000,60122000,196048000,202062000,78885000,33092000,111977000,111977000,314039000,2847000,1555000,-206000,736000,4932000,596000,-2516000,-1987000,528000,835000,835000,-624000,1792000,1792000,1792000,7250000,84613000,0.48181,0.24086,0.02542,0.00907,2.16378,1.8045,0.26943,0.22156,0.22156,0.91985,8.71424,0.15463,0.01569,0.69793,10.97986,13.97788
"25","2016_Q4",30.2074603174603,"Up",12601000,-6187000,-2217000,-1614000,-2356000,6414000,-1516000,-1320000,-196000,4898000,51000,4949000,-1378000,3571000,3571000,3571000,3571000,6199000,6199000,4404000,4404000,779000,3459000,1014000,2369000,14841000,265411000,333736000,-68325000,37893000,37893000,303304000,318145000,6150000,1647000,1742000,2761000,0,0,6204000,84584000,113738000,52815000,60923000,198322000,204526000,78956000,34663000,113619000,113619000,318145000,3571000,1614000,-1312000,1887000,5760000,46000,-3247000,-1993000,599000,71000,545000,-1323000,1190000,1190000,1190000,8028000,84638000,0.50901,0.28339,0.03143,0.01122,2.39217,1.8001,0.26604,0.2775,0.2775,0.97921,8.82918,0.15487,0.01783,0.55811,9.77068,12.22934
"26","2017_Q1",31.8798387096774,"Up",11885000,-6320000,-2424000,-1626000,-2270000,5565000,-1498000,-1324000,-174000,4067000,113000,4180000,-1238000,2942000,2942000,2942000,2942000,4209000,4209000,4296000,4296000,746000,3369000,658000,2429000,12620000,270907000,339745000,-68838000,36967000,36967000,307874000,320494000,8140000,3669000,1803000,2668000,-1.13686837721616e-13,-1.13686837721616e-13,8184000,84609000,113640000,54169000,59471000,198249000,206433000,78513000,35548000,114061000,114061000,320494000,2942000,1626000,-124000,905000,5349000,-5.82076609134674e-11,-4837000,-1996000,-41000,-465000,4e+05,-2502000,-1990000,-1990000,-1990000,7191000,84653000,0.46824,0.24754,0.02579,0.00918,1.54203,1.80985,0.26413,0.22905,0.22905,0.92532,8.88031,0.1554,0.01581,0.67845,11.18676,14.45535
"27","2017_Q2",31.7185714285714,"Down",11290000,-6128000,-2088000,-1681000,-2359000,5162000,-1747000,-1316000,-431000,3415000,123000,3538000,-957000,2581000,2581000,2581000,2581000,440000,440000,3998000,3998000,882000,3684000,1002000,2202000,9004000,275369000,345842000,-70473000,37306000,37306000,312675000,321679000,8074000,3373000,1807000,2894000,0,0,8118000,84634000,114646000,55516000,59130000,199280000,207398000,79037000,36069000,114281000,114281000,321679000,2581000,1681000,-568000,1258000,4952000,0,-6924000,-2056000,90000,-303000,522000,-1797000,-3769000,-3769000,-3769000,6843000,84678000,0.45722,0.22861,0.02258,0.00802,1.10914,1.81481,0.26324,0.20083,0.20083,0.8785,8.89242,0.15998,0.01479,0.79659,12.3101,16.31887
"28","2017_Q3",30.6687301587302,"Down",12254000,-6420000,-2184000,-1686000,-2550000,5834000,-1725000,-1326000,-399000,4109000,196000,4305000,-1370000,2935000,2935000,2935000,2935000,2000,2000,4234000,4234000,775000,3389000,897000,2492000,8400000,283338000,355193000,-71855000,37518000,37518000,320856000,329256000,9755000,5148000,1802000,2648000,-1.81898940354586e-12,-1.81898940354586e-12,9799000,88166000,116041000,56750000,59291000,204207000,214006000,78302000,36948000,115250000,115250000,329256000,2935000,1686000,-624000,417000,4414000,-3.63797880709171e-12,-7415000,-2061000,3955000,58000,496000,2563000,-438000,-438000,-438000,7520000,88210000,0.47609,0.23951,0.02547,0.00891,0.85723,1.85689,0.26791,0.22863,0.22862,0.95455,8.97761,0.16055,0.01564,0.70221,11.72979,15.11964
"29","2017_Q4",32.018253968254,"Up",12692000,-6240000,-1931000,-1697000,-2612000,6452000,-1724000,-1346000,-378000,4728000,311000,5039000,-1108000,3931000,3931000,3931000,3931000,2000,2000,4377000,4377000,881000,3334000,909000,2425000,8594000,287610000,360804000,-73194000,38575000,38575000,326185000,334779000,9034000,3992000,1810000,3048000,0,0,10078000,88930000,118198000,58809000,59389000,207128000,217206000,78753000,38820000,117573000,117573000,334779000,3931000,1697000,-1554000,1976000,6050000,0,-6761000,-2051000,2195000,444000,444000,711000,0,0,0,8149000,89974000,0.50835,0.30972,0.03343,0.01174,0.85275,1.84741,0.26876,0.30598,0.30598,0.98792,9.15167,0.15965,0.01836,0.52175,11.04086,13.94482
"30","2018_Q1",28.2196721311475,"Down",12353000,-6108000,-1900000,-1705000,-2503000,6245000,-1844000,-1360000,-484000,4401000,234000,4635000,-1108000,3527000,3527000,3527000,3527000,2000.00000000001,2000.00000000001,4547000,4547000,906000,3156000,697000,2459000,8611000,288787000,362533000,-73746000,34632000,34632000,323419000,332030000,7978000,3136000,1892000,2419000,123000,123000,9145000,90098000,113382000,34754000,78628000,203480000,212625000,79201000,40204000,119405000,119405000,332030000,3527000,1705000,4251000,-4788000,4695000,3.63797880709171e-12,-3974000,-2061000,1334000,443000,443000,-721000,-5.82076609134674e-11,-5.82076609134674e-11,-5.82076609134674e-11,7950000,91142000,0.50555,0.28552,0.02954,0.01062,0.94161,1.7807,0.2745,0.27425,0.27425,0.96055,9.28476,0.16026,0.01725,0.58435,11.46415,14.59408
"31","2018_Q2",29.42453125,"Up",11644000,-6504000,-1995000,-1841000,-2668000,5140000,-1767000,-1364000,-403000,3373000,92000,3465000,-871000,2594000,2594000,2594000,2594000,2000,2000,4183000,4183000,868000,3301000,957000,2344000,8354000,290507000,365803000,-75296000,34241000,34241000,324748000,333102000,8787000,3222000,1897000,2730000,0,0,20831000,77993000,113830000,35143000,78687000,191823000,212654000,79796000,40652000,120448000,120448000,333102000,2594000,1841000,-624000,1627000,5438000,108000,-2918000,-2141000,-830000,591000,591000,-2520000,0,0,0,6981000,90037000,0.44143,0.22278,0.02154,0.00779,0.40104,1.76553,0.2703,0.20145,0.20145,0.90428,9.35408,0.16627,0.0146,0.82537,12.89715,17.51654
