"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2020_Q1",7.40548387096774,"Down",1520696,-424646,1096050,-3676866,-3234343,-442523,-2580816,-219218,-105587,-2800034,-2761504,-2761504,-2761504,-2761504,-2761504,4465455,4465455,424287,424287,439533,820206,820206,6149481,154972,294240,294240,449212,6598693,1738490,1738490,381152,3883529,4773985,57957154,-6464,-56125982,1824708,1824708,6598693,-2761504,24446,224610,-131667,-2644115,-13730,-13730,-13730,-13730,-1,-1,2794945,137100,137100,137100,-2556370,2652848,0.72076,-1.69713,-1.81595,-1.5134,-0.41849,1.58348,2.6163,0.40203,-4.8122,-4.8122,2.64997,3.17974,-0.61654,0.70906,0.70234
"12","2020_Q2",3.90047619047619,"Down",1008145,-318651,689494,-4111921,-3604968,-506953,-3422427,-301852,-135209,-3724279,-3801380,-3801993,-3801993,-3801993,-4472625,13726482,13726482,299287,299287,602881,937218,937218,15565868,139205,206976,206976,346181,15912049,2628328,2628328,72075.9999999999,4127797,4129292,71717196,-6464,-59927975,11782757,11782757,15912049,-3801993,26388,454926,875654,-2445025,-7878,-7878,-7878,-7878,13666110,13666110,11713953,9261050,9261050,9261027,-3396039,1427393,0.68392,-3.39478,-4.43649,-0.37959,-0.28108,3.77099,0.35045,0.0897100000000001,-2.51454,-2.51454,0.56678,6.62433,-0.33854,3.6216,3.59367
"13","2020_Q3",3.940625,"Up",858590,-418862,439728,-3288275,-2890464,-397811,-2848547,77728,-88915,-2770819,-3285849,-3286934,-3286934,-3286934,-3286934,10733419,10733419,310517,310517,678906,920383,920383,12643225,109880,75000,75000,184880,12828105,1689031,1689031,2383,2688255,2774847,73274631,-6464,-63214909,10053258,10053258,12828105,-3286934,26633,552756,-958228,-3665773,0,0,0,0,3,3,672710,-2993063,-2993063,-2993063,-2821914,996841,0.51215,-3.3177,-3.82829,-0.32695,-0.25623,4.70313,0.27601,0.07771,-1.10524,-1.10524,0.2887,3.38043,-0.29514,3.45035,3.41809
"14","2020_Q4",5.6796875,"Up",1926660,-855338,1071322,-3616423,-3270757,-345666,-2545101,-29915,-29915,-2575016,-2775418,-2776571,-2776571,-2776571,-2776571,13317581,13317581,308523,308523,759803,790290,790290,15176197,105589,75000,75000,180589,15356786,2122140,2122140,6684,2206869,2374253,78980477,-6464,-65991480,12982533,12982533,15356786,-2776571,26708,385602,596243,-1768018,-22416,-22416,-22416,-22416,0.999999998137355,0.999999998137355,4374990,2584556,2584556,2584162,-2518393,78044.9999999999,0.55605,-1.32099,-1.44113,-0.21387,-0.1808,6.8768,0.18288,0.00507999999999999,-0.70266,-0.70266,0.48757,3.28544,-0.2099,5.25714,5.20197
"15","2021_Q1",12.1055737704918,"Up",3789976,-1007524,2782452,-4469063,-4050305,-418758,-1686611,-1867,254039,-1688478,-1701264,-1698413,-1698413,-1698413,-1698413,12241261,12241261,924916,924916,707114,572684,572684,14445975,95023,168784,168784,263807,14709782,2848904,2848904,20801,2869705,3144408,79274421,-6464,-67689893,11565374,11565374,14709782,-1698413,25653,183434,335246,-1154080,-15458,-15458,-15458,-15458,5049550,5049550,18923,-1150615,-1150615,-1151320,-1660958,0,0.73416,-0.44502,-0.44813,-0.14685,-0.11546,5.03396,0.27188,0,-0.368,-0.368,0.82118,2.50589,-0.14345,7.37,7.2579
"16","2021_Q2",10.455873015873,"Down",2336489,-623152,1713337,-4645769,-4119802,-525967,-2932432,-119,-118.999999999942,-2932551,-2932551,-2960794,-2960794,-2960794,-2960794,17371217,17371217,765226,765226,793791,998763,998763,19928997,210296,783816,783816,994112,20923109,3892475,3892475,204460,4096935,4855960,86728667,-6464,-70650687,16067149,16067149,20923109,-2960794,23313,202093,622680,-2112708,-44489,-44489,-44489,-44489,7288275,7288275,7288275,5131078,5131078,5129956,-2909119,1.45519152283669e-11,0.7333,-1.25506,-1.2672,-0.18428,-0.14151,4.86437,0.30223,1.73472347597681e-18,-0.57032,-0.57032,0.45007,3.09494,-0.17596,5.9713,5.92383
"17","2021_Q3",9.95828125,"Down",3104294,-901566,2202728,-4802361,-4202245,-600116,-2599633,-6018,-6018,-2605651,-2605651,-2621315,-2621315,-2621315,-2621315,13772464,13772464,1132078,1132078,728638,999027,999027,16632207,320238,756221,756221,1076459,17708666,2899948,2899948,319624,3219572,3897377,87091979,-6464,-73272002,13811289,13811289,17708666,-2621315,35016,395817,-1206324,-3396806,-203155,-203155,-203155,-203155,-7288275,-7288275,1208,-3598753,-3598753,-3598753,-2564617,0,0.70957,-0.83743,-0.84442,-0.1898,-0.14802,5.16597,0.28219,0,-0.50493,-0.50493,0.59797,2.66041,-0.18092,5.37018,5.29785
"18","2021_Q4",9.52578125,"Down",4383957,-1110204,3273753,-5304024,-4662796,-641228,-2030271,-4055,-4055,-2034326,-2034326,-2057022,-2057022,-2057022,-2057022,12606758,12606758,2215696,2215696,644138,994137,994137,16460729,302110,696345,696345,998455,17459184,3420654,3420654,301878,3722532,4311638,88493543,-6464,-75329024,13147546,13147546,17459184,-2057022,36909,360330,-549865,-2209648,-54883,-232489.077895546,-232489.077895546,-54883,7288275,7288275,1098593,-1165938,-1165938,-1165706,-1993362,9.09494701772928e-13,0.74676,-0.46311,-0.46922,-0.15646,-0.11782,4.42192,0.32794,0,-0.36208,-0.36208,0.77167,2.31425,-0.14975,6.32437,6.2094
"19","2022_Q1",6.69322580645161,"Down",4031634,-909175,3122459,-5828188,-5038132,-790056,-2705729,-5144,10192,-2710873,-2710873,-2733198,-2733198,-2733198,-3373151,15524378,15524378,1960037,1960037,808308,799164,799164,19091887,275289,728236,728236,1003525,20095412,3949784,3949784,333629,4283413,4686281,93538494,-6464,-78062222,15409131,15409131,20095412,-2733198,50757,308409,545499,-1828533,-23935,-144729.813206257,-144729.813206257,-23935,5879391,5879391,4779590,2927122,2927122,2917620,-2654972,0,0.77449,-0.67112,-0.83667,-0.21891,-0.16786,4.45717,0.30412,0,-0.59375,-0.59375,0.70965,2.71234,-0.21333,5.84729,5.7376
"20","2022_Q2",2.61725806451613,"Down",3867926,-1289862,2578064,-5315953,-4656417,-659536,-2737889,-790,-790.000000000004,-2738679,-2738679,-2814934,-2814934,-2814934,-2814934,12942507,12942507,1692573,1692573,1028767,940929,940929,16604776,279538,1092326,1092326,1371864,17976640,4240213,4240213,412396,4652609,5106928,93804764,-6464,-80877156,12869712,12869712,17976640,-2814934,45630,362635,84069,-2322600,-49879,-49879,-49879,-248879,-62770254.9157426,-62770254.9157426,2615579.4102674,-2571479,-2571479,-2581871,-2692259,-1.13686837721616e-13,0.66652,-0.70784,-0.72776,-0.21873,-0.15659,3.56892,0.39682,1.35525271560688e-20,-0.42991,-0.42991,0.59073,1.96553,-0.21127,4.8073,4.72718
"21","2022_Q3",1.7675,"Down",3677575,-1266938,2410637,-5296960,-4664088,-632872,-2886323,4174,4174,-2882149,-2915357,-2908922,-2908922,-2908922,-2908922,10235914,10235914,1357477,1357477,1260936,451100,451100,13305427,283317,972759,972759,1256076,14561503,3445339,3445339,439839,3885178,4213907,94149987,-6464,-83786078,10347596,10347596,14561503,-2908922,49015,540300,-328390,-2647997,-52793,-52793,-52793,-52793,-243799196.747228,-243799196.747228,-11194278.7691978,-2700790,-2700790,-2706593,-2837308,0,0.6555,-0.78484,-0.79099,-0.28112,-0.19977,3.42466,0.40724,0,-0.42013,-0.42013,0.53115,1.4945,-0.27246,3.60761,3.54635
