"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q4",2203.25206349206,"Down",2071000,-3274000,-1203000,-7666000,-4928000,-2322000,-8869000,-1574000,-1574000,0,-10443000,-10443000,-10443000,-10443000,-10443000,-10443000,10170000,10170000,1197000,1197000,5046000,880000,880000,17293000,3458000,220000,220000,3678000,20971000,4393000,841000,3552000,47505000,177000,177000,177000,47682000,264466000,-291177000,-26711000,-26711000,20971000,-10443000,308000,3556000,-409000,-6988000,4000,4000,-7000,10000,10000,3190000,-3794000,-3794000,-3794000,-8561000,43112000,-0.58088,-4.28247,-5.04249,0.39096,-0.49797,0.36402,-1.78511,2.05579,-3440.85667,-3440.85667,682.37232,-8800.98847,-0.62993,-3.84791,-3.71429
"12","2018_Q1",805.449180327869,"Down",1913000,-1734000,179000,-8772000,-4685000,-1977000,-8593000,-1557000,-1559000,2000,-10150000,-10150000,-10150000,-10150000,-10150000,-10150000,5389000,5389000,1127000,1127000,4295000,640000,640000,11451000,2950000,687000,687000,3637000,15088000,5733000,1273000,4460000,50477000,301000,301000,301000,50778000,265637000,-301327000,-35690000,-35690000,15088000,-10150000,314000,4523000,136000,-5177000,0,0,-6000,2.3283064365387e-10,2.3283064365387e-10,396000,-4781000,-4781000,-4781000,-8279000,44744000,0.09357,-4.4919,-5.3058,0.28439,-0.67272,0.22686,-1.42275,2.96554,-2515.48947,-2515.48947,474.10161,-8845.10533,-1.08498,-4.75359,-4.57989
"13","2018_Q2",292.753125,"Down",1809000,-1415000,394000,-6037000,-4260000,-1777000,-5643000,-4638000,-4639000,1000,-10281000,-10281000,-10281000,-10281000,-10281000,-15907000,14418000,14418000,1354000,1354000,4007000,1163000,1163000,20942000,2431000,590000,590000,3021000,23963000,4432000,2160000,2272000,11953000,111000,111000,111000,12064000,323507000,-311608000,11899000,11899000,23963000,-10281000,277000,5111000,-1984000,-6877000,46000,46000,15534000,326000,326000,15860000,9029000,9029000,9029000,-5366000,7521000,0.2178,-3.1194,-8.79326,-1.33684,-0.66382,1.75203,1.01387,0.31386,-1597.08835,-1597.08835,181.62651,1194.67871,-0.81445,1.28531,1.22222
"14","2018_Q3",282.056825396825,"Down",2058000,-2169000,-111000,-5363000,-4204000,-1159000,-5474000,-325000,-312000,-13000,-5799000,-5799000,-5799000,-5799000,-5799000,-6635000,10144000,10144000,1675000,1675000,3651000,1079000,1079000,16549000,2098000,584000,584000,2682000,19231000,4628000,1373000,3255000,12451000,188000,188000,188000,12639000,323999000,-317407000,6592000,6592000,19231000,-5799000,241000,1922000,-833000,-4469000,-171000,-171000,581000,-1.16415321826935e-10,-1.16415321826935e-10,366000.000000004,-4274000,-4274000,-4274000,-5233000,7823000,-0.05394,-2.65986,-3.224,-1.00652,-0.34502,1.32913,1.91732,0.40679,-197.58785,-197.58785,61.28648,196.30733,-0.45436,0.44353,0.424000000000001
"15","2018_Q4",110.99253968254,"Down",2020000,-1477000,543000,-5663000,-4259000,-1404000,-5120000,-268000,-270000,2000,-5388000,-5388000,-5388000,-5388000,-5388000,-6224000,10008000,10008000,1460000,1460000,3450000,731000,731000,15649000,2065000,584000,584000,2649000,18298000,5803000,2158000,3645000,13949000,187000,187000,187000,14136000,326957000,-322795000,4162000,4162000,18298000,-5388000,217000,1165000,915000,-3091000,-258000,-258000,0,-326000,-326000,3213000,-136000,-136000,-136000,-4903000,8146000,0.26881,-2.53465,-3.08119,-1.49543,-0.34015,1.12187,3.39644,0.44519,-111.20243,-111.20243,36.09076,74.36126,-0.49812,0.37977,0.36367
"16","2019_Q1",103.308524590164,"Down",2028000,-1470000,558000,-6388000,-4719000,-1669000,-5830000,-260000,-257000,-3000.00000000001,-6090000,-6090000,-6090000,-6090000,-6090000,-6926000,16410000,16410000,1154000,1154000,3422000,635000,635000,21621000,2078000,0,0,2078000,23699000,6712000,1148000,5564000,14198000,41000,41000,41000,14239000,338345000,-328885000,9460000,9460000,23699000,-6090000,546000,1779000,-264000,-4029000,379000,379000,12000.0000000005,10493000,10493000,10052000,6402000,6402000,6402000,-5284000,7486000,0.27515,-2.87475,-3.41519,-0.73214,-0.29225,1.52282,1.50518,0.31588,-60.63206,-60.63206,17.75365,82.8153699999999,-0.40772,1.68887,1.5307
"17","2019_Q2",115.434603174603,"Up",1840000,-1467000,373000,-5400000,-3986000,-1414000,-5027000,-28000,-268000,240000,-5055000,-5055000,-5055000,-5055000,-5055000,-5950000,16707000,16707000,1112000,1112000,3955000,2339000,1026000,24113000,2140000,10775.1388084627,10775.1388084627,2140000,26253000,3786000,969000,2817000,12936000,38000,38000,38000,12974000,347219000,-333940000,13279000,13279000,26253000,-5055000,2e+05,890000,-2031000,-5996000,-65000,-65000,18000,6340000,6340000,6358000,297000,297000,297000,-4827000,7837000,0.20272,-2.73207,-3.2337,-0.44808,-0.22664,1.86402,0.97703,0.29852,-28.01252,-28.01252,8.6627,62.51736,-0.28127,1.83758,1.76447
"18","2019_Q3",34.7359375,"Down",2319000,-1599000,720000,-5426000,-4091000,-1335000,-4706000,55000,-274000,329000,-4651000,-4651000,-4651000,-4651000,-4651000,-5546000,14754000,14754000,1210000,1210000,4105000,764000,764000,20833000,7602000,384000,384000,7986000,28819000,5091000,1086000,4005000,14355000,4544000,4544000,4544000,18899000,348511000,-338591000,9920000,9920000,28819000,-4651000,228000,1026000,-221000,-3618000,-5000,-5000,18000,1653000,1653000,1671000,-1952000,-1952000,-1952000,-4478000,8201000,0.31048,-2.02932,-2.39155,-0.55907,-0.19244,1.45127,1.90514,0.28457,-17.35864,-17.35864,7.25833,31.049,-0.24469,1.46338,1.39248
"19","2019_Q4",23.2534375,"Down",2410000,-1563000,847000,-5462000,-4091000,-1371000,-4615000,-8000,-307000,299000,-4623000,-4623000,-4623000,-4623000,-4623000,-5518000,14461000,14461000,1301000,1301000,4112000,489000,489000,20363000,7065000,579000,579000,7644000,28007000,5474000,919000,4555000,14907000,4346000,4346000,4346000,19253000,351968000,-343214000,8754000,8754000,28007000,-4623000,226000,430000,-156000,-4123000,0,0,18000,3811000,3811000,3829000,-294000,-294000,-294000,-4389000,8578000,0.35145,-1.91494,-2.28963,-0.63034,-0.19702,1.366,2.19934,0.30628,-13.91853,-13.91853,6.07895,22.08097,-0.25454,1.3404,1.27476
"20","2020_Q1",14.0945161290323,"Down",2562000,-1635000,927000,-5938000,-4366000,-1572000,-5011000,-110000,-343000,233000,-5121000,-5121000,-5121000,-5121000,-5121000,-6016000,10943000,10943000,1458000,1458000,3912000,311000,311000,16624000,6517000,684000,684000,7201000,23825000,3099000,663000,2436000,12788000,4142000,4142000,4142000,16930000,355230000,-348335000,6895000,6895000,23825000,-5121000,236000,984000,374000,-3527000,-7.27595761418343e-12,0,8999.99999999997,-4.65661287307739e-10,-4.65661287307739e-10,9000,-3518000,-3518000,-3518000,-4775000,8967000,0.36183,-1.95589,-2.34817,-0.87252,-0.25251,1.29997,2.4554,0.37637,-11.58148,-11.58148,4.93214,13.27365,-0.30074,0.41382,0.39433
"21","2020_Q2",7.55349206349206,"Down",2261000,-1760000,501000,-5980000,-4386000,-1594000,-5479000,-372000,-368000,-4000,-5851000,-5851000,-5851000,-5851000,-5851000,-6818000,9862000,9862000,1352000,1352000,3875000,1024000,1024000,16113000,6050000,637000,637000,6687000,22800000,4353000,1385000,2968000,14461000,3931000,3931000,3931000,18392000,358594000,-354186000,4408000,4408000,22800000,-5851000,225000,996000,-340000,-4970000,19429.3105766027,19429.3105981295,27000,3862000,3862000,3889000,-1081000,-1081000,-1081000,-5254000,9365000,0.22158,-2.42326,-3.01548,-1.54673,-0.29904,1.11424,4.17241,0.41075,-9.3295,-9.3295,3.09387,6.03175,-0.38511,0.09459,0.09071
"22","2020_Q3",8.644375,"Up",1466000,-1107000,359000,-3951000,-2654000,-1297000,-3592000,-408000,-412000,4000,-4e+06,-4e+06,-4e+06,-4e+06,-4e+06,-4967000,16550000,16550000,1076000,1076000,4157000,899000,899000,22682000,5608000,594000,594000,6202000,28884000,4739000,924000,3815000,16312000,3722000,3722000,5023000,21335000,365735000,-358186000,7549000,7549000,28884000,-4e+06,228000,902000,-555000,-3425000,34810.1541427502,34810.1541556114,2339000,7774000,7774000,10113000,6688000,6688000,6688000,-3364000,12109000,0.24488,-2.4502,-3.38813,-0.65797,-0.17196,1.39051,2.8262,0.41923,-3.6375,-3.6375,1.0736,5.52838,-0.21245,1.32015,1.23636
"23","2020_Q4",6.036875,"Down",2302000,-1525000,777000,-4878000,-3461000,-1417000,-4101000,-424000,-432000,8000,-4525000,-4525000,-4525000,-4525000,-4525000,-5492000,25326000,25326000,1341000,1341000,3994000,524000,524000,31185000,5211000,550000,550000,5761000,36946000,5670000,632000,5038000,18089000,3492000,3492000,4403000,22492000,377165000,-362711000,14454000,14454000,36946000,-4525000,223000,974000,52000,-3276000,40000,40000,0,12012000,12012000,12012000,8776000,8776000,8776000,-3878000,12543000,0.33753,-1.78149,-2.38575,-0.37996,-0.14865,1.72398,1.55611,0.3395,-1.57337,-1.57337,0.65949,4.14084,-0.18013,3.29629,3.11704
"24","2021_Q1",32.0098360655738,"Up",2732000,-1751000,981000,-5213000,-3826000,-1387000,-4232000,-398000,-446000,48000.0000000001,-4630000,-4630000,-4630000,-4630000,-4630000,-5595000,22185000,22185000,1484000,1484000,3876000,350000,350000,27895000,726999.999999999,4573000,4573000,5300000,33195000,3066000,694000,2372000,7462000,3257000,3257000,12657000,20119000,380417000,-367341000,13076000,13076000,33195000,-4630000,221000,976000,269000,-3164000,25000,25000,0,-2000,-2000,-2000,-3141000,-3141000,-3141000,-4011000,12990000,0.35908,-1.54905,-2.04795,-0.42788,-0.16855,3.73827,1.53862,0.39132,-1.3136,-1.3136,0.64142,3.06999,-0.19081,2.29245,2.17273
"25","2021_Q2",23.1114285714286,"Down",2559000,-1665000,894000,-5543000,-3945000,-1598000,-4649000,-403000,-396000,-7000,-5052000,-5052000,-5052000,-5052000,-5052000,-6096000,30448000,30448000,1531000,1531000,3936000,1318000,1318000,37233000,4400000,476000,476000,4876000,42109000,4254000,786000,3468000,7235000,3083000,3083000,14399000,21634000,392868000,-372393000,20475000,20475000,42109000,-5052000,194000,859000,-804000,-4803000,-11000,-11000,2407966.74718244,13077000,13077000,13077000,8263000,8263000,8263000,-4455000,13388000,0.34936,-1.81673,-2.38218,-0.29773,-0.14477,5.14623,1.05661,0.31794,-1.33341,-1.33341,0.55974,4.47859,-0.165,3.82941,3.66961
"26","2021_Q3",18.3821875,"Down",2802000,-1784000,1018000,-5425000,-3918000,-1507000,-4407000,1955000,-399000,2354000,-2452000,-2452000,-2452000,-2452000,-2452000,-3496000,26700000,26700000,1788000,1788000,4118000,1112000,1112000,33718000,355000.000000001,4116000,4116000,4471000,38189000,5556000,1037000,4519000,6490000,2983000,2983000,14417000,20907000,392127000,-374845000,17282000,17282000,38189000,-2452000,173000,-1594000,132000,-3741000,-7000,-7000,5576225.95785497,0,0,0,-3748000,-3748000,-3748000,-4234000,11434000,0.36331,-1.57281,-1.24768,-0.20229,-0.09154,5.19538,1.20976,0.29941,-0.7647,-0.7647,0.61289,3.78017,-0.11029,3.60557,3.46403
"27","2021_Q4",13.1325,"Down",2366000,-1566000,8e+05,-5289000,-3892000,-1397000,-4489000,-423000,-419000,-4000,-4912000,-4912000,-4912000,-4912000,-4912000,-5956000,23078000,23078000,1400000,1400000,4519000,668000,668000,29665000,213000,3860000,3860000,4073000,33738000,6480000,1178000,5302000,7439000,2880000,2880000,14733000,22172000,391323000,-379757000,11566000,11566000,33738000,-4912000,158000,760000,372000,-3622000,-9.09494701772928e-13,0,8212601.79493628,0,0,0,-3622000,-3622000,-3622000,-4331000,11853000,0.33812,-1.8973,-2.51733,-0.51496,-0.17654,3.98777,1.917,0.35132,-0.12098,-0.12098,0.04806,0.23493,-0.22647,2.59178,2.50056
"28","2022_Q1",5.61516129032258,"Down",2403000,-1691000,712000,-5268000,-3870000,-1398000,-4556000,-440000,-434000,-6000.00000000023,-4996000,-4996000,-4996000,-4996000,-4996000,-6039000,19497000,19497000,1393000,1393000,4601000,3e+05,3e+05,25791000,95000.0000000001,3599000,3599000,3694000,29485000,3721000,1394000,2327000,4706000,2769000,2769000,15056000,19762000,394476000,-384753000,9723000,9723000,29485000,-4996000,162000,547000,756000,-3531000,-16000,-16000,9024918.42134506,-34000,-34000,-34000.0000000009,-3581000,-3581000,-3581000,-4394000,12287000,0.2963,-1.89596,-2.51311,-0.6211,-0.20482,5.48045,2.0325,0.41672,-0.12267,-0.12267,0.04881,0.197499999999999,-0.24371,1.64087,1.58253
"29","2022_Q2",2.20935483870968,"Down",1888000,-1364000,524000,-5220000,-4148000,-1072000,-4696000,-444000,-439000,-5000,-5140000,-5140000,-5140000,-5140000,-5140000,-11378000,20006000,20006000,1365000,1365000,5350000,1315000,1315000,28036000,230000,3346000,3346000,3576000,31612000,4996000,1172000,3824000,6007000,2648000,2648000,15375000,21382000,400123000,-389893000,10230000,10230000,31612000,-5140000,15000,525000,-1581000,-6181000,-31000,-31000,6721000,-573167.513440689,-573167.513440689,6721000,509000,509000,509000,-4681000,12727000,0.27754,-2.48729,-6.02648,-1.11222,-0.35993,4.66722,2.09013,0.4026,-2.38133,-2.38133,0.39514,2.14106,-0.44437,1.55501,1.55004
"30","2022_Q3",1.47703125,"Down",2132000,-1475000,657000,-4416000,-3330000,-1086000,-3759000,-455000,-440000,-15000,-4214000,-4214000,-4214000,-4214000,-4214000,-5341000,16039000,16039000,1279000,1279000,5178000,1099000,1099000,23595000,520000,3053000,3053000,3573000,27168000,5219000,727000,4492000,6257000,2403000,2403000,15590000,21847000,399428000,-394107000,5321000,5321000,27168000,-4214000,64000,598000,-814000,-4366000,0,0,0,399000,399000,399000,-3967000,-3967000,-3967000,-3695000,13187000,0.30816,-1.76313,-2.50516,-1.00376,-0.19659,3.77098,4.10581,0.48539,-0.93669,-0.93669,0.3739,0.93318,-0.25542,0.77185,0.75871
