"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q1",15.2108196721311,"Up",3975935000,-3764744000,211191000,-147304000,-21602000,-37475000,-88227000,63887000,-19066000,-20427000,-537000,44821000,43727000,-581000,43146000,43146000,-815000,42331000,36582000,10440000,10440000,877904000,877904000,310160000,87795000,80350000,7445000,1286299000,835848000,1830663000,736106000,1085393000,9164000,2861332000,4147631000,796149000,719303000,76846000,7080000,171655000,171655000,974884000,1629834000,11060000,11060000,1640894000,2615778000,1526815000,-236000,1526579000,1531853000,4147631000,43146000,42802000,20317000,-85802000,20463000,-39845000,-57203000,-57203000,-28635000,-14905000,-83385000,111394000,-46933000,64461000,1539000,1539000,1539000,106689000,1636914000,-18377000,0.05312,0.01607,0.0092,0.02388,0.00882,-0.502350000000001,1.31944,1.70759,0.39466,0.49351,0.49351,53.63737,20.59432,-0.24792,0.0115,-0.00578000000000001,15.245,25.45861
"12","2014_Q2",17.2931746031746,"Up",3648614000,-3534053000,114561000,-134684000,-27873000,-39375000,-67436000,-20123000,-18320000,-20494000,-391000,-38443000,-38875000,-1035000,-39910000,-39910000,-65000.0000000002,-39975000,-49356000,39679000,39679000,903011000,903011000,373633000,59723000,58613000,1110000,1376046000,863457000,1814519000,699315000,1101471000,13733000,2889456000,4265502000,847855000,810149000,37706000,6168000,180312000,180312000,1034335000,1441875000,8e+06,8e+06,1449875000,2484210000,1776016000,-51000,1775965000,1781292000,4265502000,-39910000,43424000,23564000,-17872000,9206000,-47878000,-48867000,-48867000,-15869000,-14061000,-77808000,-188847000,286688000,97841000,29239000,29239000,29239000,23301000,1448043000,-41414000,0.0314,-0.00552,-0.01353,-0.02771,-0.01157,0.83909,1.33037,1.39461,0.33948,-0.66584,-0.66584,49.22165,23.95867,-0.5587,-0.01525,-0.01279,60.44221,-69.98778
"13","2014_Q3",18.58890625,"Up",5380526000,-5179465000,201061000,-189157000,-41639000,-50099000,-97419000,11904000,-25571000,-28651000,-617000,-13667000,-17801000,1922000,-15879000,-15879000,-3345000,-19224000,-30280000,11823000,11823000,1433117000,1433117000,941589000,198524000,156818000,41706000,2585053000,1433313000,2050669000,838088000,1170490000,42091000,3966626000,6551679000,1430331000,1345024000,85307000,5062000,324587000,324587000,1759980000,2437351000,39518000,39518000,2476869000,4236849000,1746133000,-73000,1746060000,2314830000,6551679000,-15879000,54200000,-46308000,-62854000,-70841000,-26232000,-33984000,-33984000,-642895000,-3353000,-672480000,760172000,-44707000,715465000,-27856000,-27856000,-27856000,66104000,2442413000,-24904000,0.03737,0.00221,-0.00563,-0.01308,-0.00462,0.822459999999999,1.4688,1.83031,0.37279,-0.3428,-0.3428,60.91277,19.76709,-0.28194,-0.00631,-0.00519,36.76918,204.18263
"14","2014_Q4",14.55359375,"Down",4552146000,-4311668000,240478000,-192326000,-44230000,-50335000,-97761000,48152000,-25438000,-30051000,3371000,22714000,-7359000,2090000,-5269000,-5268999.99999999,-5649000,-10918000,-22701000,30556000,30556000,1664039000,1664039000,535928000,227224000,184675000,42549000,2457747000,1472295000,2497416000,1153028000,1250239000,94149000,4448155000,6905902000,1547334000,1534568000,12766000,4455000,349379000,349379000,1901168000,2753322000,11811000,11811000,2765133000,4666301000,1670115000,-89000,1670026000,2239601000,6905902000,-5269000,54604000,-160983000,255123000,143475000,-46089000,-52584000,-52584000,-455281000,137156000,-364214000,315199000,-75727000.0000001,239472000,18733000,18733000,18733000,102756000,2757777000,309700000,0.05283,0.01058,-0.00499,-0.01014,-0.00329,-13.64257,1.29276,2.08354,0.39934,-0.25638,-0.25638,51.41009,18.8606,3.49763,-0.00453,0.06183,26.54075,56.63775
"15","2015_Q1",12.7749180327869,"Down",3220771000,-2933021000,287750000,-191343000,-35688000,-54140000,-101515000,96407000,8480000,-30927000,34808000,104887000,110606000,645000,111251000,111251000,-3828000,107423000,93943000,41303000,41303000,1025763000,1025763000,442025000,138405000,121207000,17198000,1647496000,1624016000,2911607000,1232308000,1558233000,121066000,5008296000,6655792000,858812000,833018000,25794000,4472000,256583000,256583000,1119867000,2727464000,115029000,115029000,2842493000,3962360000,2146551000,-109000,2146442000,2693432000,6655792000,111251000,58247000,29957000,-18904000,180551000,-81517000,-92543000,-92543000,-156877000,-13325000,-251719000,-8712000,90627000,81915000,10747000,10747000,10747000,154654000,2731936000,53587999.9999999,0.08934,0.02993,0.02917,0.03488,0.01411,0.570430000000002,1.47115,1.47112,0.41046,0.90427,0.90427,31.00226,20.66106,0.515819999999999,0.01696,0.00967,17.39776,27.9091
"16","2015_Q2",13.6204761904762,"Up",3538469000,-3322551000,215918000,-227902000,-62481000,-59831000,-105590000,-11984000,-23259000,-30802000,-1175000,-35243000,-24469000,-538000,-25007000,-25007000,-4350000,-29357000,-44731000,43506000,43506000,905196000,905196000,489064000,149629000,130889000,18740000,1587395000,1743584000,2837451000,1251478000,1451654000,134319000,5055256000,6642651000,780654000,755062000,25592000,3933000,304113000,304113000,1088700000,2968069000,17082000,17082000,2985151000,4073851000,2021755000,-117000,2021638000,2568800000,6642651000,-25007000,63814000,65260000,-22238000,81829000,-120179000,-122110000,-122110000,-63898000,-38620000,-222697000,221371000,-78300000,143071000,2203000,2203000,2203000,51830000,2972002000,-90049000,0.06102,-0.00339,-0.01264,-0.01741,-0.00673,2.01312,1.45806,1.5859,0.44741,-0.43057,-0.43057,34.06033,19.45973,-0.86679,-0.00805,-0.0162,56.50195,-244.36716
"17","2015_Q3",12.02265625,"Down",3193195000,-3005826000,187369000,-183689000,-29298000,-56761000,-97630000,3680000,-27184000,-31571000,1955000,-23504000,-8886000,2786000,-6100000,-6100000,-3497000,-9597000,-25782000,30053000,30053000,712025000,712025000,408374000,126467000,120122000,6345000,1276919000,1845112000,2854567000,1231192000,1490928000,132447000,5172918000,6449837000,587317000,568523000,18794000,4040000,260813000,260813000,852170000,3093694000,17679000,17679000,3111373000,3963543000,1942283000,-136000,1942147000,2486294000,6449837000,-6100000,60737000,-80223000,117852000,92266000,-98530000,-100166000,-100166000,-86648000,66945000,-118233000,124385000,-108221000,12514000,-13453000,-13453000,-13453000,64417000,3097734000,80953000,0.05868,0.00115,-0.00807,-0.01037,-0.004,-3.1399,1.49843,1.59416,0.48028,-0.2451,-0.2451,30.35661,18.46332,0.76959,-0.0046,0.01445,47.62223,833.60897
"18","2015_Q4",7.8159375,"Down",2685006000,-2433500000,251506000,-186936000,-23035000,-59180000,-104721000,64570000,-31157000,-36176000,2161000,33413000,51397000,-402000,50995000,50995000,-6838000,44157000,27918000,25179000,25179000,581621000,581621000,414088000,208671000,117476000,3812000,1229559000,1972925000,2894428000,1242440000,1522644000,129344000,5334912000,6564471000,522351000,511309000,11042000,7600000,266957000,266957000,796908000,3323492000,13232000,13232000,3336724000,4133632000,1886097000,-148000,1885949000,2430839000,6564471000,50995000,66530000,-74293000,75807000,119039000,-273457000,-274871000,-274871000,-36810000,56096000,-254171000,231818000,-97503000,130258000,-4874000,-4874000,-4874000,131100000,3331092000,-66148000,0.09367,0.02405,0.0104,0.01148,0.00425,-2.36937,1.54291,1.7005,0.50744,0.26503,0.26289,25.48939,17.90375,-0.62796,0.00483,-0.01145,25.21673,51.1988999999998
"19","2016_Q1",4.62377049180328,"Down",2325440000,-2077160000,248280000,-171056000,-24727000,-53152000,-93177000,77224000,-29793000,-34540000,2634000,47431000,-205506000,-1479000,-206985000,-206985000,2853000,-204132000,-203954000,28176000,28176000,521014000,521014000,367806000,111484000,95859000,15625000,1028480000,1649572000,2662553000,1148890000,1315362000,198301000,4531675000,5560155000,427499000,420306000,7193000,7907000,270611000,270611000,706017000,2912837000,247236000,247236000,3160073000,3866090000,1656515000,-157000,1656358000,1694065000,5560155000,-206985000,58130000,248216000,-4.1e+07,58361000,-161264000,-164738000,-164738000,295839000,15199000,149774000,-103359000,230201000,-205138000,2997000,2997000,2997000,135354000,2920744000,-65431000,0.10677,0.03321,-0.08771,-0.12039,-0.03668,0.32081,1.45674,2.28214,0.5253,-1.94371,-1.94371,22.16177,15.78532,-0.62357,0.02428,-0.01346,21.37039,37.45685
"20","2016_Q2",7.44421875,"Up",2721970000,-2566440000,155530000,-165949000,-41871000,-48906000,-75172000,-10419000,-26272000,-30438000,3772000,-36691000,183215000,-462000,182753000,182753000,-5833000,176920000,173333000,10878000,10878000,607973000,607973000,522535000,127711000,123959000,3752000,1269097000,1733393000,2807526000,1173547000,1448263000,185716000,4733685000,6002782000,536554000,528085000,8469000,7961000,325130000,325130000,869645000,2866850000,199033000,199033000,3065883000,3935528000,1973036000,-309000,2029412000,2067254000,6002782000,182753000,53090000,-139452000,-166931000,-70540000,-139741000,-140179000,-140179000,97912000,-33684000,-75513000.0000001,-38231000,166986000,128755000,-17298000,-17298000,-17298000,42671000,2874811000,-263539000,0.05714,-0.00383000000000001,0.06368,0.08385,0.02888,-1.52042,1.45933,1.90375,0.47891,1.66395,1.34938,26.13012,18.93761,-2.5299,0.03372,-0.05126,67.11661,-274.876
"21","2016_Q3",10.05109375,"Up",3045538000,-2928730000,116808000,-151784000,-27926000,-50603000,-73255000,-34976000,-31308000,-33442000,2081000,-66284000,-66198000,-460000,-66658000,-66658000,59000,-66599000,-75222000,23427000,23427000,592074000,592074000,520340000,114458000,110918000,3540000,1250299000,1755416000,2877541000,1190147000,1467955000,219439000,4823619000,6073918000,518348000,512104000,6244000,8046000,272459000,272459000,798853000,3063008000,198001000,198001000,3261009000,4059862000,1926861000,-642000,1984961000,2014056000,6073918000,-66658000,55043000,-6045000,33323000,15663000,-61496000,-61454000,-61454000,-98839000,306000,-160029000,193179000,47443000,156915000,12549000,12549000,12549000,20067000,3071054000,-7646000.00000003,0.03835,-0.01148,-0.0247,-0.03735,-0.01238,0.101649999999999,1.56512,2.01576,0.50561,-0.7084,-0.7084,28.68106,18.13998,-0.0720100000000006,0.00161,-0.00144999999999999,151.87258,-87.13481
"22","2016_Q4",10.5096825396825,"Up",3406641000,-3228022000,178619000,-156028000,-18280000,-60767000,-76981000,22591000,-20150000,-41436000,20007000,2441000,2407000,-1114000,1293000.00000003,1293000,-317000.000000001,976000.00000003,-7952000,28927000,28927000,765290000,765290000,613993000,154493000,134485000,20008000,1562703000,1746925000,2880934000,1164749000,1462116000,254069000,4815373000,6378076000,673803000,650886000,22917000,33501000,259542000,259542000,966846000,3216505000,186280000,186280000,3402785000,4369631000,1918328000,-97000,1979401000,2008445000,6378076000,1293000,65433000,49401000,-176822000,-60695000,-49148000,-62947000,-62947000,7784000,-54164000,-95528000,188874000,21277000,161723000,5500000,5500000,5500000,88024000,3250006000,-136832000,0.05243,0.00663,-0.00232999999999998,-0.00395999999999997,-0.00125000000000001,17.20724,1.61629,2.17563,0.50956,-0.0736499999999997,-0.0736500000000005,31.55264,17.76684,-1.26735,0.00743,-0.02513,36.59319,142.5824
"23","2017_Q1",12.9932258064516,"Up",3848079000,-3598717000,249362000,-173935000,-28489000,-62929000,-82517000,75427000,-41902000,-45162000,1902000,33525000,26389000,97000,26486000,26486000,-741000,25745000,16509000,12264000,12264000,800607000,800607000,561432000,109904000,103193000,6711000,1484207000,1790273000,2858476000,1163956000,1451716000,242804000,4836172000,6320379000,665939000,658021000,7918000,29590000,243069000,243069000,938598000,2963483000,184534000,184534000,3148017000,4086615000,2141884000,-1828000,2203946000,2233764000,6320379000,-22586000,21263000,-33922000,53017000,90534000,-66319000,-80356000,-80356000,85585000,47539000,-32056000,-244668000,221808000,-75939000,-17461000,-17461000,-17461000,96690000,2993073000,83290999.9999999,0.0648,0.0196,0.00429,0.00739,0.00261,5.04519,1.5813,1.82947,0.47356,0.14465,0.13735,33.71611,18.75075,0.72978,0.01219,0.01539,30.82851,39.51912
"24","2017_Q2",9.28269841269841,"Down",3730705000,-3628683000,102022000,-122638000,-22385000,-52417000,-47836000,-20616000,-45513000,-49104000,1775000,-66129000,-57593000,-456000,-58049000,-63707000,345000,-63362000,-63362000,8557164.16839689,8557164.16839689,761112103.913142,761112103.913142,521257496.583409,94698230.7211196,103918521.927229,439042.550855789,1385624995.38607,1791306368.00282,2774357581.07839,1141920559.34891,1391209989.55345,241226980.489886,4803561061.08375,6189186056.46981,584303927.744611,582008799.170894,2295128.57372064,46539142.9561717,272275604.831202,272275604.831202,903118675.531985,2898823508.62593,185292649.620018,185292649.620018,3084116158.24595,3987234833.77794,2012456252.22329,-2754512.4937944,2177906998.55981,2201951222.69188,6189186056.46981,-58049000,56739000,-32470000,24095000,990999.99999997,-9152000,-27645000,-27645000,-19897000,22115000,-9200000.00000001,-119550000,198441000,15493000,7284000,8873000.00000001,8873000.00000001,36123000,0,51522000,0.02735,-0.00553,-0.01698,-0.0579902895433041,-0.0189408959456897,-0.81314,1.54411507742474,1.80836747008706,0.476209524827896,-0.52567,-0.52567,30.95098,16.9063145686029,0.42744,-0.0116135345221784,0.0171776862410272,48.9693138544979,256.779629120965
"25","2017_Q3",6.61825396825397,"Down",3876676000,-3757448000,119228000,-122545000,-21158000,-53595000,-47792000,-3317000,-46250000,-50118000,1595000,-49567000,-164183000,-49000.0000000001,-164232000,-173579000,208000,-173371000,-173371000,18407000,18407000,841645000,841645000,570733000,115435000,112517000,2918000,1546220000,1768485000,2696672000,1112535000,1339416000,244721000,4663438000,6209658000,640061000,635312000,4749000,42373000,307447000,307447000,989881000,2993461000,175885000,175885000,3169346000,4159227000,1768619000,-2262000,2040121000,2050431000,6209658000,-164232000,57873000,196640000,-108251000,10718000,-14912000,-18994000,-18994000,0,-49761000,-99012000,160591000,-13418000,88908000,614000,-975000,-975000,54556000,3035834000,-68558000,0.03076,-0.00086,-0.04472,-0.08455,-0.02792,0.39544,1.56203,2.02846,0.48889,-1.4291,-1.4291,31.95555,14.56013,-0.56513,-0.02269,-0.01303,55.3088,-909.68556
"26","2017_Q4",8.14825396825397,"Up",4560777000,-4299506000,261271000,-262218000,-34146000,-86415000,-141657000,-946999.999999993,-46103000,-52027000,2743000,-47050000,42193000,-429000,41764000,56769000,-513000,56256000,14027000,28469000,28469000,1063907000,1063907000,645100000,232503000,97395000,3517000,1969979000,1708683000,2621355000,1064955000,1313317000,243083000,4346407000,6316386000,867242000,866768000,474000,3260000,294176000,294176000,1164678000,2921966000,168281000,168281000,3090247000,4254925000,1772871000,-1478000,2050180000,2061461000,6316386000,31827000,56375000,-23262999.9999999,-70201000,-7422000,-26903000,-35667000,-35667000,292117000,-37555000,213264000,-132325000,-804999.999999985,-197309000,8533000,8533000,8533000,55428000,2925226000,-41247000,0.05729,-0.00021,0.00308,0.0068,0.00222,-2.94054,1.69144,2.06403,0.46312,0.11608,0.11297,37.74103,14.65851,-0.34132,0.01421,-0.008,52.26162,-3058.87751
"27","2018_Q1",9.3055737704918,"Up",5114560000,-4850401000,264159000,-185619000,-31762000,-60285000,-93572000,78540000,-45337000,-48321000,2290000,33203000,111436000,-524000,110912000,110912000,-1310000,109602000,91780000,22094000,22094000,1026764000,1026764000,551303000,651118000,128742000,4772000,2251279000,1518607000,2.364e+09,913154000,1204607000,246239000,3899843000,6151122000,854093000,852839000,1254000,646000.000000007,274458000,274458000,1129197000,2679740000,173514000,173514000,2853254000,3982451000,1801676000,-1815000,2085168000,2168671000,6151122000,167977000,48996000,-39957000,156249000,133680000,-48950000,-51455000,-51455000,37663000,21870000,165530000,-241292000,-1203000,-301373000,-2163000,-2163000,-2163000,127536000,2680386000,235359000,0.05165,0.01536,0.01794,0.04232,0.01492,2.56438,1.9937,1.83636,0.43576,0.75681,0.62491,42.1743,14.84153,1.94075,0.02992,0.04686,20.84346,33.8463499999993
