"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"17","2015_Q2",4.71492063492063,"Up",8164234,-6850442,1313792,-2331543,-1788425,-223359,-319759,-1017751,-281355,-233614,-1299106,-13036,-1312142,437827,-874315,-874315,-874315,-874315,2314780,2314780,21492373,21492373,29050403,1677878,384131,54535434,10400311,23303427,13633946,3030621,33703738,88239172,16428405,13439282,2989123,34041505,38749217,55325609,-2690659,49489955,49489955,88239172,-874315,319759,232048,-331320,-653828,-149850,-154833,2007251,1980306,1171645,1171645,1147277,-697992,4799704,-1616989,0.16092,-0.12466,-0.10709,-0.01767,-0.00991,1.84944,1.60203,0.78297,0.05439,-0.07521,-0.07521,0.70229,4.25716,-0.13909,-0.01607,-0.02972,-3.5601,-2.44158
"18","2015_Q3",4.6346875,"Down",13793765,-11832556,1961209,-3519234,-3000203,-208479,-310552,-1558025,-209784,-174636,-1767809,-513304,-2281113,738452,-1542661,-1542661,-1542661,-1542661,4920121,4920121,16100789,16100789,43524943,1672038,383962,66217891,17507464,57691140,34868174,5105228,75198604,141416495,32848595,29906858,2941737,50289227,90264512,59774449,-4233320,51151983,51151983,141416495,-1542661,310552,749999,5123565,4641455,-543461,-27543460,23017650,25511884,2609879,2609879,2605341,-1247473,38972814,2594179,0.14218,-0.11295,-0.11184,-0.03016,-0.01091,-1.68163,1.31674,1.76463,0.27559,-0.13259,-0.13259,1.1856,4.39661,0.22297,-0.01622,0.02728,-27.29734,-21.85632
"19","2015_Q4",4.44109375,"Down",30527799,-23410047,7117752,-3453031,-2252278,-620388,-580365,3664721,-762461,-728958,2902260,-3127119,-224859,-244471,-469330,-469330,-469330,-469330,2636163,2636163,14584207,14584207,36467212,2254211,970791,55941793,11151343,52703094,33932792,1441461,63854437,119796230,16309330,12484057,3825273,38848308,68660999,61001821,-4702650,51135231,51135231,119796230,-469330,666153,3369599,1789435,5355857,6759128,-2929753,-5733082,-4928432,-2502328,-2502328,-2283958,4330874,32246841,13123908,0.23316,0.12005,-0.01537,-0.00918,-0.00392,-27.96307,1.44001,1.34273,0.26918,-0.03535,-0.03535,2.29912,3.85112,0.98839,-0.00525,0.14674,6.83711,8.07993
"20","2016_Q1",4.25803278688525,"Down",28723105,-22514457,6208648,-4386871,-2579901,-838008,-968962,1821777,-737220,-693849,1084557,-1275549,-190992,-85829,-276821,-276821,-276821,-276821,3535458,3535458,26728741,26728741,25521747,1083707,797199,56869653,11476936,53996478,38004916,2301127,65473414,122343067,16654349,13722900,2931449,42484189,70467462,62085858,-4979471,51875605,51875605,122343067,-276821,883174,1483283,-320770,1768866,-561630,-561630,-82876,-158486,1048750,1048750,899294.999999999,2704951,33026507,1908380,0.21616,0.06343,-0.00964,-0.00534,-0.00226,-6.89391,1.33861,1.35839,0.26995,-0.01895,-0.01895,1.96676,3.55209,0.13067,-0.00303,0.02089,10.90262,16.18807
"21","2016_Q2",4.364375,"Up",12254912,-10280031,1974881,-3953146,-2473977,-690373,-788796,-1978265,-779581,-696235,-2757846,-366330,-3124176,1249943,-1874233,-1874233,-1874233,-1874233,8379320,8379320,25952914,25952914,46337634,1406184,1131521,82076052,11485411,54070805,36782768,2402495,65556216,147632268,36490687,30715979,5774708,73083884,97894724,63258979,-6853704,49737544,49737544,147632268,-1874233,788796,785175,11274294,10974032,-247067,-357393,-5473213,-5496515,5120124,5120124,4843862,-1189469,30846270,8587815,0.16115,-0.16143,-0.15294,-0.03768,-0.0127,-4.58204,1.12304,1.96823,0.20894,-0.13921,-0.13921,0.91024,3.69429,0.63787,-0.02168,0.09935,-18.88822,-11.3569
"22","2016_Q3",4.71671875,"Up",24141257,-20109824,4031433,-3829993,-2306144,-732607,-791242,201440,-202590,-537749,-1150,-166316,-167466,1529252,1361786,1361786,1361786,1361786,5221238,5221238,12654321,12654321,37066631,1470221,1189941,56412411,11861970,55954260,36536619,2617830,67816230,124228641,21610113,14982183,6627930,45679502,67355986,68436472,-5491918,56872655,56872655,124228641,1361786,791242,415767,-8286565,-5717770,-464914,-862432,-1483734,3390147,-3190055,-3190055,-3158082,992682,28878263,-9288049,0.16699,0.00833999999999999,0.05641,0.02394,0.01096,-6.82049,1.23496,1.18433,0.23246,0.09644,0.09644,1.70964,4.02762,-0.65776,0.01502,-0.10244,23.83142,117.43956
"23","2016_Q4",4.84333333333333,"Up",25013779,-19500605,5513174,-3882115,-2459700,-626352,-796063,1631059,-526221,-438879,1104838,-531064,573774,-5901,567873,567873,567873,567873,6267622,6267622,12970876,12970876,43049181,2366717,2079983,64654396,12889609,55104290,35978261,2324268,67993899,132648295,17202655,15605814,1596841,48624519,66124827,77135686,-4924045,66523468,66523468,132648295,567873,796063,486641,-10440501,-8589924,-1112784,-1157495,2131187,10541087,793668,793668,1046384,2427122,22600649,-9120262,0.22041,0.06521,0.0227,0.00854,0.00428,-16.06039,1.32967,0.99401,0.17038,0.03724,0.03724,1.64021,4.3621,-0.59804,0.00608000000000001,-0.09769,6.72938000000001,10.01376
"24","2017_Q1",4.55629032258065,"Down",34634306,-27763186,6871120,-4682093,-3158042,-715026,-809025,2189027,-351084,-413142,1837943,-1158227,679716,-369915,309801,309801,309801,309801,6904500,6904500,27619599,27619599,21846130,1218280,1218280,57588509,12600106,56816370,37006802,2237380,69416476,127004985,17085064,14303877,2781187,41398096,59243541,78299547,-4614244,67761444,67761444,127004985,309801,809025,1353611,7576207,10048644,-375703,-1498324,-7808567,-7867345,682975,682975,636878.000000001,2998052,20498451,10568471,0.19839,0.0632,0.00893999999999997,0.00457,0.00244,34.11374,1.39109,0.8743,0.1614,0.01832,0.01832,2.04804,4.00696,0.62495,0.00334,0.11398,4.53426,6.21004
"25","2017_Q2",4.42492063492063,"Down",12249573,-10306310,1943263,-4031441,-2455203,-741541,-834697,-2088178,-348896,-352542,-2437074,-1883488,-4320562,1103408,-3217154,-3217154,-3217154,-3217154,5264654,5264654,27646573,27646573,49569515,1274871,1274871,83755613,12591294,57457794,36527365,2188131,70049088,153804701,43145855,37795148,5350707,67918133,86992598,80362197,-7831398,66812103,66812103,153804701,-3217154,834697,2058832,7923614,7599989,-212680,-289220,-9060251,-9084988,-1774219,-1774219,-1639846,-1253481,17001049,5354045,0.15864,-0.17047,-0.26263,-0.04815,-0.02092,-1.66422,1.23318,1.30205,0.11054,-0.18795,-0.18795,0.71564,3.90325,0.31279,-0.03599,0.0599,-9.36304,-5.6204
"26","2017_Q3",3.4668253968254,"Down",24225744,-19005270,5220474,-4183086,-2592060,-748572,-842454,1037388,-292205,-295042,745182.999999999,520258,1265441,-106485,1158956,1158956,1158956,1158956,2108295,2108295,25631555,25631555,42550711,1054665,1054665,71345226,13223114,56774196,36013237,2154332,69997310,141342536,29398218,24349997,5048221,65887744,71615979,82566479,-6672442,69726557,69726557,141342536,1158956,842454,-281306,-15305708,-13585604,-1051715,-1093564,11197630,11749367,-2929801,-2929801,-3156359,1879842,14894858,-14371096,0.21549,0.04282,0.0478399999999999,0.01662,0.0082,-12.40004,1.08283,1.0271,0.10538,0.0645199999999999,0.06446,1.3486,3.88155,-0.80001,0.01299,-0.16113,6.80193,12.32573
"27","2017_Q4",3.30714285714286,"Down",21012243,-15208896,5803347,-4233338,-2720267,-714512,-798559,1570009,-302752,-300627,1267257,523489,1790746,-463509,1327237,1327237,1327237,1327237,3320659,3320659,23179172,23179172,38052248,1560194,1560194,66112273,13465805,55031130,35456992,1553503,68496935,134609208,8886884,7218726,1668158,58231545,62826708,82840863,-5345205,71782500,71782500,134609208,1327237,798559,-30364,-13095328,-10999896,-354098,-353830,12347321,12314909,961183,961183,1212364,2368568,13647916,-10617349,0.27619,0.07472,0.06316,0.01849,0.00986,-7.99959,1.13533,0.87524,0.10139,0.07451,0.0735,1.17966,4.02999,-0.59608,0.01492,-0.11932,4.36013,6.57783
"28","2018_Q1",3.80573770491803,"Up",17886250,-14712370,3173880,-5704016,-4026496,-827487,-850033,-2530136,-382480,-376734,-2912616,-17346,-2929962,-8161119,-11091081,-11091081,-11091081,-11091081,745001,745001,23239325,23239325,31489945,1249921,1249921,56724192,13581576,46794520,34939079,1563176,60376096,117100288,10223157,7157745,3065412,51312931,55878633,83330522,-16436286,61221655,61221655,117100288,-11091081,850033,312699,16613700,6685351,-464510,-502574,-8742154,-8776407,-2593630,-2593630,-2575658,-1680103,13905819,22630206,0.17745,-0.14146,-0.62009,-0.18116,-0.09471,-2.0404,1.10546,0.91273,0.11875,-0.61687,-0.626,0.99481,3.40508,1.25867,-0.14111,0.28793,-7.83334,-5.20162
"29","2018_Q2",3.45609375,"Down",10711716,-8376128,2335588,-4544249,-2914080,-741917,-888252,-2208661,-362287,-347729,-2570948,804863,-1766085,-51421,-1817506,-1817506,-1817506,-1817506,4306895,4306895,25206682,25206682,70216607,1888277,1888277,101618461,13767767,46226762,34366158,1568339,59994529,161612990,50689971,47059106,3630865,87554724,91381082,94001628,-18253792,70231908,70231908,161612990,-1817506,888252,-526855,8042879,6586770,-380588,-380588,-13170252,-2756607,3449575,3449575,3561894,-1320409,13886743,6393303,0.21804,-0.20619,-0.16967,-0.02588,-0.01125,-3.51762,1.16063,1.30113,0.08593,-0.09017,-0.09017,0.53143,3.48434,0.31718,-0.02092,0.07359,-7.25521,-4.3374
"30","2018_Q3",3.10698412698413,"Down",20532796,-15860629,4672167,-4173100,-2446955,-855164,-870981,499067,-391366,-383894,107701,-358886,-251185,-148702,-399887,-399887,-399887,-399887,5454694,5454694,25250475,25250475,70486985,1500066,1500066,102692220,13630123,45671238,33810687,1568286,59301361,161993581,35620299,32831640,2788659,63627208,77612028,108592383,-18653679,84381553,84381553,161993581,-399887,870981,552458,-24279367,-23255815,-388257,-388257,15595411,24829330,1185258,1185258,1147799,1370048,13562055,-23148874,0.22755,0.02431,-0.0194800000000001,-0.00474,-0.00247,57.88854,1.61397,0.91977,0.08372,-0.01892,-0.0189199999999999,0.97167,3.99317,-1.09547,-0.00405,-0.23448,5.91757,16.24504
"31","2018_Q4",2.75349206349206,"Down",22949170,-16303436,6645734,-4580075,-2676167,-1065323,-838585,2065659,-484954,-512892,1580705,-51185,1529520,248931,1778451,1778451,1778451,1778451,2988392,2988392,14589886,14589886,63654908,1511024,1511024,82744210,13496922,44906807,33311053,1303489,58403729,141147939,15651194,12384239,3266955,41397077,54989096,108688345,-16875228,86158843,86158843,141147939,1778451,838585,200383,-2526353,291066,-247343,-247343,-2430051,-2483287,-2439564,-2439564,-2466302,2904244,13547818,-118383,0.28958,0.09001,0.0775,0.02064,0.0126,-0.06657,1.99879,0.63823,0.09598,0.0732,0.0732,0.9446,3.54634,-0.00487,0.01774,-0.00118000000000001,3.63586,5.11189
"32","2019_Q1",2.53639344262295,"Down",9891828,-8791859,1099969,-4532606,-2465818,-1225319,-841469,-3432637,-612097,-618773,-4044734,-49557,-4094291,-191857,-4286148,-4286148,-4286148,-4286148,4320894,4320894,13861932,13861932,60419276,1279794,1279794,79881896,13180132,44705180,33109780,1303135,57885312,137767208,9050253,5935454,3114799,42396217,56025084,108828358,-21161376,81742124,81742124,137767208,-4286148,841469,738525,-3116108,-5822262,-125289,-420323,7761032,7752760,1510175,1510175,1332502,-2591168,13480099,-5640708,0.1112,-0.34702,-0.4333,-0.05243,-0.03111,1.31603,1.88418,0.68539,0.09785,-0.17607,-0.17607,0.40635,3.35795,-0.23172,-0.04471,-0.05883,-3.53478,-2.66827
"33","2019_Q2",2.72174603174603,"Up",26120137,-20657008,5463129,-4734599,-2887378,-992113,-855108,728530,-631787,-657230,96743,-66478,30265,-9334,20931,20931,20931,20931,4034127,4034127,13868575,13868575,76058981,13079873,3548903,107041556,12966314,44234331,32639162,1302904,57200645,164242201,39980445,36949282,3031163,64515680,77585221,113904706,-21140445,86656980,86656980,164242201,20931,855108,66887,3285917,4228843,-199027,-235027,-9047986,-4165670,-171854,-171854,-286767,1583638,13285925,4679862,0.20915,0.02789,8e-04,0.000239999999999983,0.000130000000000002,223.58521,1.65916,0.89531,0.08089,0.00084,0.00084,1.05365,3.49561,0.18878,0.000210000000000002,0.04652,5.84212,12.69927
"34","2019_Q3",2.63984375,"Down",18580996,-13897455,4683541,-6751856,-4342696,-1373554,-1035606,-2068315,-608492,-641479,-2676807,-72377,-2749184,4801,-2744383,-2744383,-2744383,-2744383,2471381,2471381,23178997,23178997,88455980,14296122,1158738,128402480,22731765,52991711,39823195,1302705,75723476,204125956,35066356,31594475,3471881,84811534,97732801,136528462,-23906501,106371482,106393155,204125956,-2744383,1035607,295062,-18715581,-20129295,-113490,-26475441,23034327,45120069,-1484667,-1484667,-1562746,-1032708,13255413,-19866580,0.25206,-0.11131,-0.1477,-0.02579,-0.01344,7.239,1.51397,0.9186,0.06494,-0.09398,-0.09398,0.63628,3.64252,-0.6803,-0.02281,-0.16513,-10.44248,-5.21392
