"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q2",67.54453125,"Up",275739000,-162863000,112876000,-76891000,-72364000,-2763000,-1764000,35985000,-538000,-538000,35447000,35347000,-4893000,30454000,30454000,30454000,30454000,27614000,27614000,414000,414000,276040000,8132000,8132000,312200000,55647000,679489000,232555000,444850000,2084000,735136000,1047336000,133345000,75420000,47067000,10143000,143488000,13926000,64207000,57094000,7113000,78133000,221621000,587919000,-86000,237882000,825715000,825715000,1047336000,30454000,3393000,1767000,-20266000,15348000,-4708000,-4708000,-25050000,3492000,3492000,-702000,-22260000,-11620000,-11620000,-11620000,39378000,24069000,19297000,0.40936,0.1305,0.11045,0.03688,0.02908,0.63364,2.17579,0.2684,0.02298,0.48986,0.46407,4.43531,13.28178,0.3104,0.03332,0.02111,-0.09002,-0.09851
"12","2018_Q3",79.831746031746,"Up",288098000,-175474000,112624000,-77761000,-72990000,-2854000,-1917000,34863000,-278000,-278000,34585000,34585000,-4737000,29848000,29848000,29848000,29848000,29415000,29415000,1602000,1602000,287440000,9918000,9918000,328375000,57991000,681403000,232472000,444850000,4081000,739394000,1067769000,120777000,69015000,51762000,10178000,130955000,11516000,65145000,57184000,7961000,76661000,207616000,592509000,-86000,267730000,860153000,860153000,1067769000,29848000,3497000,2103000,-28267000,7181000,-5490000,-5490000,-2570000,2680000,2680000,-2.3283064365387e-10,109999.999999993,1801000,1801000,1801000,38360000,21694000,9340000,0.39092,0.12101,0.1036,0.0347,0.02795,0.31292,2.50754,0.24137,0.02032,0.478,0.45315,4.6137,13.77479,0.14957,0.03152,0.00986,-0.20128,-0.22147
"13","2018_Q4",83.2195238095238,"Up",283606000,-168184000,115422000,-86133000,-78440000,-2914000,-4779000,29289000,-372000,-372000,28917000,28917000,-4100000,24817000,24817000,24817000,24817000,736000,736000,2401000,2401000,332325000,9063000,9063000,344525000,107766000,679161000,232388000,444850000,1923000,786927000,1131452000,159328000,101281000,58047000,10186000,169514000,9042000,64086000,56551000,7535000,73128000,242642000,596349000,-86000,292547000,888810000,888810000,1131452000,24817000,3568000,1606000,-5610000,24381000,-52452000,-52452000,-2566000,1958000,1958000,0,-608000,-28679000,-28679000,-28679000,32857000,19228000,-21105000,0.40698,0.10327,0.08751,0.02792,0.02193,-0.85043,2.03243,0.273,0.01699,0.39553,0.37547,4.52012,14.16588,-0.33637,0.02553,-0.02171,0.5628,0.63136
"14","2019_Q1",80.5862295081967,"Down",393934000,-237205000,156729000,-94812000,-88996000,-3133000,-2683000,61917000,-73000,-73000,61844000,61794000,-11900000,49894000,49894000,49894000,49894000,51941000,51941000,570000,570000,296407000,9579000,9579000,358497000,119052000,681454000,232304000,444850000,4299999.99999999,800506000,1159003000,150758000,77431000,65934000,238000,150996000,440999.999999993,64914000,55616000,9298000,65355000,216351000,600297000,-86000.0000000001,342441000,942652000,942652000,1159003000,49894000,3885000,836000,24554000,79169000,-11198000,-11198000,-18815000,2049000,2049000,0,-16766000,51205000,51205000,51205000,65802000,678999.999999993,91058000,0.39786,0.15718,0.12666,0.05293,0.04305,1.82503,2.37422,0.22951,0.00058999999999999,0.79303,0.75559,6.26127,14.98271,1.44729,0.04949,0.09031,-0.77903,-0.82791
"15","2019_Q2",94.3142857142857,"Up",324854000,-192120000,132734000,-91950000,-83332000,-3409000,-5209000,40784000,145000,145000,40929000,40929000,-2212000,38717000,38717000,38717000,38717000,58511000,58511000,961000,961000,329065000,5723000,5723000,394260000,134498000,950530000,230559000,444850000,275121000,1085028000,1479288000,160940000,92738000,58773000,51152000,212092000,223389000,55431000,55424000,7000,278820000,490912000,607304000,-86000,381158000,988376000,988376000,1479288000,38717000,4116000,2298000,-23155000,21976000,-20107000,-20107000,-113000,6081000,6081000,-1267000,4701000,6570000,6570000,6570000,44900000,274541000,3850000,0.4086,0.12555,0.11918,0.03917,0.02617,0.09944,1.85891,0.49669,0.18559,0.61273,0.58506,5.14107,15.64183,0.06093,0.02937,0.00292,4.81136,5.29693
"16","2019_Q3",74.98890625,"Down",333865000,-209832000,124033000,-93282000,-87350000,-3512000,-2420000,30751000,372000,372000,31123000,31123000,-5953000,25170000,25170000,25170000,25170000,78473000,78473000,1191000,1191000,354576000,5403000,5403000,439643000,105321000,999377000,230559000,444850000,323968000,1104698000,1544341000,151540000,91860000,58266000,54897000,206437000,265230000,55205000,55198000,7000.00000000745,320435000,526872000,611227000,-86000.0000000009,406328000,1017469000,1017469000,1544341000,25170000,4253000,2267000,-35027000,-3337000,22449000,22449000,-89000,1491000,1491000,-551999.999999998,850000.000000004,19962000,19962000,19962000,35004000,320127000,28379000,0.37151,0.09211,0.07539,0.02474,0.0163,1.12749,2.12967,0.51783,0.20729,0.39629,0.37965,5.25656,16.0196,0.44681,0.01807,0.02038,6.90361,7.85841
"17","2019_Q4",63.33390625,"Down",327049000,-193767000,133282000,-97549000,-90481000,-3766000,-3302000,35733000,142000,142000,35875000,35875000,-8919000,26956000,26956000,26956000,26956000,10101000,10101000,977000,977000,385296000,5094000,5094000,401468000,120343000,1008663000,230559000,444850000,333254000,1129006000,1530474000,136745000,77818000,57756000,257000,187601000,496000,335438000,55844000,279594000,335934000,523535000,613755000,-40100000,433284000,1006939000,1006939000,1530474000,26956000,4521000,2897000,-38741000,-4367000,-24143000,-24143000,-146000,298000,298000,-40014000,-39862000,-68372000,-68372000,-68372000,40254000,753000,-13711000,0.40753,0.10926,0.08242,0.02677,0.01761,-0.50864,2.14001,0.51993,0.00049,0.42669,0.41046,5.17696,15.93914,-0.21704,0.02007,-0.01021,-0.23223,-0.26161
"18","2020_Q1",51.2798387096774,"Down",422431000,-256891000,165540000,-100953000,-94897000,-3895000,-2161000,64587000,219000,219000,64806000,64806000,-14519000,50287000,50287000,50287000,50287000,89950000,89950000,2840000,2840000,335181000,5567000,5567000,433538000,132084000,1030625000,230559000,444850000,355216000,1162709000,1596247000,123861000,63223000,56732000,273000,177685000,527000,359150000,59401000,299749000,359677000,537362000,615414000,-40100000,483571000,1058885000,1058885000,1596247000,50287000,4653000,3847000,32285000,91072000,-12323000,-12323000,-112000,1217000,1217000,-5000,1099999.99999999,79849000,79849000,79849000,69240000,8e+05,103721000,0.39187,0.15289,0.11904,0.04749,0.0315,2.06258,2.43992,0.50748,0.00050000000000001,0.79846,0.76951,6.70738,16.81304,1.64689,0.03544,0.0731,-1.28755,-1.38031
"19","2020_Q2",76.8747619047619,"Up",349363000,-208997000,140366000,-97386000,-89720000,-3944000,-3722000,42980000,83000,83000,43063000,43063000,-9607000,33456000,33456000,33456000,33456000,119351000,119351000,4146000,4146000,343755000,5184000,5184000,472436000,135214000,1035461000,230559000,444850000,360052000,1170675000,1643111000,129119000,56642000,58666000,61302000,190421000,299312000,59199000,59194000,5000,358511000,548932000,617252000,-40100000,517027000,1094179000,1094179000,1643111000,33456000,5339000,1210000,1365000,41370000,-12374000,-12374000,-114000,1318000,1318000,-799000,405000,29401000,29401000,29401000,48319000,360614000,46917000,0.40178,0.12302,0.09576,0.03058,0.02036,1.40235,2.48101,0.50168,0.21947,0.53053,0.5128,5.54008,17.35112,0.74399,0.0221,0.03099,4.99313,5.61338
"20","2020_Q3",97.81625,"Up",529313000,-322471000,206842000,-114816000,-109149000,-4122000,-1545000,92026000,26000,26000,92052000,92052000,7331000,99383000,99383000,99383000,99383000,305110000,305110000,2447000,2447000,327164000,22539000,22539000,657260000,137467000,1047713000,230559000,444850000,372304000,1185180000,1842440000,185206000,107685000,77521000,56382000,241588000,318540000,64259000,64254000,5000,382799000,624387000,641743000,-40100000,616410000,1218053000,1218053000,1842440000,99383000,5582000,6863000,56996000,168824000,-5671000,-5671000,-158000,22767000,22767000,-3000,22606000,185759000,185759000,185759000,97608000,374922000,141602000,0.39077,0.17386,0.18776,0.08159,0.05394,1.42481,2.72058,0.51261,0.20349,1.52603,1.50489,8.12765,18.70331,2.17431,0.05997,0.08544,0.715230000000001,0.75861
"21","2020_Q4",87.39828125,"Down",414382000,-242881000,171501000,-113716000,-105830000,-4230000,-3656000,57785000,93000,93000,57878000,57878000,-12681000,45197000,45197000,45197000,45197000,325525000,325525000,203000,203000,394896000,11878000,11878000,732502000,138691000,1060668000,230559000,444850000,385259000,1199359000,1931861000,210637000,124823000,85814000,361000,276160000,649000,387577000,64622000,322955000,388226000,664386000,645968000,-40100000,661607000,1267475000,1267475000,1931861000,45197000,5713000,2096000,-27286000,25720000,-7786000,-7786000,-35000,2528000,2528000,-12000,2481000,20415000,20415000,20415000,63498000,1010000,41107000,0.41387,0.13945,0.10907,0.03566,0.0234,0.90951,2.65246,0.52418,0.00052,0.69123,0.68361,6.33747,19.3845,0.62868,0.02729,0.02482,-5.11063,-5.6159
"22","2021_Q1",91.0372131147541,"Up",515763000,-311106000,204657000,-119948000,-114190000,-4409000,-1349000,84709000,76000,76000,84785000,84785000,-20125000,64660000,64660000,64660000,64660000,447126000,447126000,621000,621000,353704000,7316000,7316000,808767000,138712000,1058376000,230559000,444850000,382967000,1197088000,2005855000,218736000,117217000,90559000,328000,283796000,656000.00000003,386522000,65064000,321458000,387178000,670974000,649015000,-40401000,726267000,1334881000,1334881000,2005855000,64660000,5831000,2249000,52600000,125340000,-4617000,-4617000,-122000,1448000,1448000,-448000,878000,121601000,121601000,121601000,90540000,984000,158648000,0.3968,0.16424,0.12537,0.04844,0.03224,2.45357,2.84982,0.50265,0.000489999999999998,0.98838,0.97829,7.88387,20.40478,2.42507,0.03754,0.09211,-4.92757,-5.26676
"23","2021_Q2",87.0047619047619,"Down",452492000,-269882000,182610000,-111389000,-104370000,-4484000,-2535000,71221000,25000,25000,71246000,71246000,-16026000,55220000,55220000,55220000,55220000,472167000,472167000,363000,363000,355193000,5526000,5526000,833249000,142354000,1067888000,230559000,444850000,392479000,1210242000,2043491000,193104000,90378000,76675000,327000,255020000,610000,401219000,65817000,335402000,401829000,656849000,655135000,-49980000,781487000,1386642000,1386642000,2043491000,55220000,5859000,2810000,-23766000,40123000,-9412000,-9412000,-1349000,5258000,5258000,-9579000,-5670000,25041000,25041000,25041000,77080000,937000,59928000,0.40357,0.1574,0.12204,0.03982,0.02702,1.08526,3.26739,0.4737,0.00046,0.85284,0.83828,6.98851,21.41598,0.92556,0.03087,0.0335,-6.11352,-6.61645
"24","2021_Q3",80.928125,"Down",415881000,-252846000,163035000,-117329000,-110119000,-4669000,-2541000,45706000,-66000,-66000,45640000,45640000,-11317000,34323000,34323000,34323000,34323000,444262000,444262000,824000,824000,373550000,8214000,8214000,826850000,142299000,1072941000,230559000,444850000,397532000,1215240000,2042090000,173226000,92798000,80428000,298000,245863000,610000,396503000,65934000,330569000,397113000,642976000,658965000,-75661000,815810000,1399114000,1399114000,2042090000,34323000,6034000,2500000,-41134000,1723000.00000001,-5335000,-5335000,-153000,1541000,1541000,-25681000,-24293000,-27905000,-27905000,-27905000,51740000,908000,16588000,0.39202,0.1099,0.08253,0.02453,0.01681,0.48329,3.36305,0.45956,0.000440000000000001,0.5301,0.52105,6.42307,21.60861,0.25619,0.01911,0.00923,-8.56888,-9.70013
"25","2021_Q4",60.91703125,"Down",383487000,-230927000,152560000,-122347000,-114048000,-4956000,-3343000,30213000,-70000,-70000,30143000,30143000,-6958000,23185000,23185000,23185000,23185000,229726000,229726000,603000,603000,471800000,10386000,10386000,712515000,146675000,1087373000,230559000,444850000,411964000,1234048000,1946563000,200406000,121893000,78513000,353000,274596000,724000,410763000,66416000,344347000,411487000,686083000,661853000,-240368000,838995000,1260480000,1260480000,1946563000,23185000,6339000,2035000,-70714000,-39155000,-11766000,-11766000,-212000,1304000,1304000,-164707000,-163615000,-214536000,-214536000,-214536000,36552000,1077000,-38970000,0.39782,0.07878,0.06046,0.01839,0.01191,-1.68083,2.59478,0.5443,0.00055,0.35808,0.35197,5.92276,19.46747,-0.60187,0.01386,-0.0233,-6.25544,-7.5679
"26","2022_Q1",44.626935483871,"Down",501135000,-318094000,183041000,-125589000,-119078000,-5255000,-1256000,57452000,-98000,-98000,57354000,57354000,-12627000,44727000,44727000,44727000,44727000,246977000,246977000,1372000,1372000,467306000,11173000,11173000,726828000,147164000,1098180000,230559000,444850000,422771000,1245344000,1972172000,187401000,106599000,78246000,332000,263268000,719000,420475000,66179000,354296000,421194000,684462000,664360000,-260372000,883722000,1287710000,1287710000,1972172000,44727000,6662000,1855000,-10902000,42342000,-5317000,-5317000,-302000,532000,532000,-20004000,-19774000.0000001,17251000,17251000,17251000,64114000,1051000,60522000,0.36525,0.11464,0.08925,0.03473,0.02268,1.35314,2.76079,0.53153,0.00053,0.69079,0.67899,7.73978,19.88803,0.93473,0.02617,0.03541,-3.83576,-4.28055
"27","2022_Q2",50.5767741935484,"Up",406666000,-265341000,141325000,-124180000,-116273000,-5247000,-2660000,17145000,-109000,-109000,17036000,17036000,-4513000,12523000,12523000,12523000,12523000,205463000,205463000,1054000,1054000,517033000,7806000,7806000,731356000,149765000,1108709000,230559000,444850000,433300000,1258474000,1989830000,179377000,101109000,71499000,350000,258154000,761000,428480000,66390000,362090000,429241000,687395000,666562000,-260372000,896245000,1302435000,1302435000,1989830000,12523000,6660000,2633000,-53332000,-31516000,-9617000,-9617000,-679000,298000,298000,140314032.481362,-381000,-41514000,-41514000,-41514000,23805000,1111000,-34631000,0.34752,0.04216,0.03079,0.00962,0.00629,-2.76539,2.83302,0.52778,0.00056,0.19341,0.19011,6.28075,20.11545,-0.53486,0.00723,-0.01999,-8.58442,-11.91904
"28","2022_Q3",61.7953125,"Up",452482000,-308872000,143610000,-127065000,-118466000,-5579000,-3020000,16545000,123000,123000,16668000,16668000,-2571000,14097000,14097000,14097000,14097000,218043000,218043000,3086000,3086000,494133000,9410000,9410000,724672000,158374000,1116140000,230559000,444850000,440731000,1274514000,1999186000,174492000,96643000,77849000,470000,254112000,960000,431921000,65242000,366679000,432881000,686993000,672174000,-270323000,910342000,1312193000,1312193000,1999186000,14097000,6998000,1156000,13220000,35471000,-13886000,-13886000,-215000,1161000,1161000,-9951000,-9005000,12580000,12580000,12580000,23543000,1430000,25448000,0.31738,0.03656,0.03115,0.01074,0.00705,1.80521,2.85178,0.52355,0.00072,0.21772,0.214,6.98835,20.26615,0.393030000000001,0.00808,0.01458,-9.20074,-13.09235
