"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"15","2014_Q2",16.9220634920635,"Down",51576000,-27427000,24149000,-22133000,-13711000,-7373000,-6338000,-8314000,2016000,166000,-86000,252000,2182000,2182000,-587000,1595000,1595000,1595000,1595000,88037000,38833000,32417000,32417000,40104000,22980000,8972000,183538000,47131000,24048000,7139000,11865000,4345000,699000,71179000,254717000,16166000,7409000,8200000,19727000,11542000,8185000,35893000,5554000,2244000,5554000,41447000,248848000,-36401000,823000,213270000,213270000,254717000,1595000,2429000,2817000,-11533000,-4692000,-2193000,-1410000,-3603000,-759000,2356000,-5939000,-5939000,7000,-5932000,4445000,0,-8694000,0.46822,0.03909,0.03093,0.00748,0.00626,-5.45078,5.11348,0.19434,0,0.06727,0.06602,2.17519,8.99456,-0.36667,0.00729,-0.03973,-19.80585,-43.66915
"16","2014_Q3",16.7640625,"Down",48029000,-25121000,22908000,-22162000,-12682000,-6681000,-6001000,-9373000,746000,-170000,-86000,-83999.9999999999,576000,576000,12000,588000,588000,588000,588000,87361000,37987000,33458000,33458000,38111000,23965000,9911000,182895000,47244000,22980000,6280000,11677000,4344000,679000,70224000,253119000,15162000,6982000,8059000,16218000,7870000,8348000,31380000,4844000,2218000,4844000,36224000,251703000,-35813000,1005000,216895000,216895000,253119000,588000,2385000,2704000,-5554000,122999.999999999,-1620000,-449000,-2069000,-166000,920000,-1026000,-1026000,180000,-845999.999999999,3131000,0,-4055000,0.47696,0.01553,0.01224,0.00271000000000001,0.00232,-6.89626,5.82839,0.16701,0,0.0245600000000001,0.02428,2.00631,9.06032,-0.16939,0.00265,-0.01829,-27.90195,-117.1059
"17","2014_Q4",14.85546875,"Down",27133000,-15717000,11416000,-20310000,-12170000,-6389000,-5781000,-8037000,-8894000,-134000,-77000,-57000,-9028000,-10743000,-17919000,-28662000,-28662000,-28662000,-28662000,84373000,35625000,26061000,26061000,36263000,12278000,9356000,158975000,50736000,17249000,5255000,11039000,362000,593000,67985000,226960000,14982000,5948000,8395000,13778000,5944000,7834000,28760000,8262000,2308000,8262000,37022000,255060000,-64475000,-647000,189938000,189938000,226960000,-28662000,3846000,21688000,-1852000,-4980000,1013000,619000,1632000,-209000,1442000,-1906000,-1906000,-456000,-2362000,-5048000,0,12032000,0.42074,-0.32779,-1.05635,-0.1509,-0.12629,-0.41979,5.52764,0.19492,0,-1.18772,-1.18772,1.12436,7.87079,0.49859,-0.14461,0.06071,16.71414,9.48651
"18","2015_Q1",17.1183606557377,"Up",39705000,-22356000,17349000,-20604000,-12450000,-6590000,-5860000,-8052000,-3255000,170000,-93000,263000,-3085000,-3636000,-1003000,-4639000,-4639000,-4639000,-4639000,83962000,34676000,26121000,26121000,37017000,10746000,9289000,157846000,49633000,15757000,4294000,10494000,410000,559000,65390000,223236000,19916000,10199000,8700000,18286000,10021000,8265000,38202000,5497000,1980000,5497000,43699000,251420000,-69114000,-2769000,179537000,179537000,223236000,-4639000,1107000,805000,11641000,8914000,-2992000,-1021000,-4013000,-155000,-5393000,-491999.999999999,-491999.999999999,-457000,-949000,-2148000,0,7504000,0.43695,-0.08198,-0.11684,-0.02584,-0.02078,-1.61759,4.13188,0.2434,1.35525271560688e-20,-0.19289,-0.19892,1.65094,7.46516,0.31202,-0.02507,0.04055,39.08845,25.79478
"19","2015_Q2",15.6092063492063,"Down",50376000,-26997000,23379000,-21080000,-12883000,-7116000,-5767000,-8159000,2299000,632000,-72000,704000,2931000,2873000,-317000,2556000,2556000,2556000,2556000,77049000,27935000,39072000,39072000,38236000,10948000,9493000,165305000,47800000,13664000,3326000,9391000,393000,554000,61464000,226769000,23644000,11913000,10807000,16164000,8054000,8110000,39808000,5123000,2071000,5123000,44931000,252863000,-66558000,-4467000,181838000,181838000,226769000,2556000,2324000,2549000,-13303000,-5874000,-502000,61000,-441000,-988000,-352000,-6667000,-6667000,-74000,-6741000,4623000,0,-8865000,0.46409,0.04564,0.05074,0.01406,0.01127,-3.46831,4.15256,0.24709,0,0.1071,0.10537,2.11079,7.61912,-0.37145,0.01367,-0.04742,-16.66645,-33.51414
"20","2015_Q3",14.15515625,"Down",48629000,-25365000,23264000,-20755000,-12572000,-7029000,-5543000,-8157000,2509000,-348000,-37000,-311000,2161000,2161000,-817000,1344000,1344000,1344000,1344000,74789000,26421000,44441000,44441000,43113000,8269000,6842000,170612000,47541000,13404000,2886000,9590000,387000,541000,60945000,231557000,23854000,13358000,9457000,18776000,10555000,8221000,42630000,4463000,1977000,4463000,47093000,254167000,-65214000,-4489000,184464000,184464000,231557000,1344000,2231000,2461000,-7319000,-1283000,-541000,597000,56000,-444000,-300999.999999999,-1528000,-1528000,14000,-1514000,4740000,-2.27373675443232e-13,-2303000,0.4784,0.05159,0.02764,0.00729,0.0058,-1.71354,4.00216,0.2553,0,0.05595,0.05534,2.02452,7.6796,-0.0958799999999999,0.00711,-0.01219,-15.77827,-29.80829
"21","2015_Q4",14.5771875,"Up",45677000,-23459000,22218000,-20956000,-12351000,-6760000,-5591000,-8580000,1262000,267000,-80000,347000,1529000,1531000,-713000,818000,818000,818000,818000,84626000,41561000,37573000,37573000,49941000,8089000,6651000,180229000,45944000,12963000,2403000,9678000,385000,497000,58907000,239136000,27143000,15882000,10025000,20407000,10985000,9422000,47550000,3787000,1794000,3787000,51337000,256902000,-64396000,-4707000,187799000,187799000,239136000,818000,2271000,2513000,3903000,9505000,-322000,5207000,4885000,-286000,856000,15246000,15246000,-106000,15140000,3533000,0,7827000,0.48642,0.02763,0.01791,0.00436,0.00342,9.56846,3.7903,0.27336,0,0.03388,0.03359,1.89178,7.77797,0.32417,0.00427,0.04085,-23.95301,-67.05705
"22","2016_Q1",13.9813114754098,"Down",42685000,-21879000,20806000,-20523000,-12693000,-7150000,-5543000,-7805000,283000,44000,-29000,72999.9999999999,327000,-997000,-816000,-1813000,-1813000,-1813000,-1813000,83085000,38154000,37832000,37832000,50605000,6592000,6592000,178114000,44493000,12933000,1867000,9415000,1118000,533000,57426000,235540000,23543000,11675000,10097000,21668000,12790000,8878000,45211000,3001000,1653000,3001000,48212000,258739000,-66209000,-5202000,187328000,187328000,235540000,-1813000,2249000,2780000,-3993000,-777000.000000002,-481000,-2068000,-2549000,-315000,17000,-3309000,-3309000,-98000,-3407000,2532000,0,-1126000,0.48743,0.00663,-0.04247,-0.00968,-0.0077,0.62107,3.93962,0.25737,5.29395592033938e-23,-0.0749,-0.07368,1.76348,7.73923,-0.04652,-0.00953,-0.00592,-32.81398,-293.58657
"23","2016_Q2",17.6459375,"Up",47489000,-22998000,24491000,-20761000,-12669000,-7249000,-5420000,-8068000,3730000,117000,-108000,225000,3847000,3847000,-380000,3467000,3467000,3467000,3467000,83345000,38673000,44482000,44482000,54031000,6060000,6060000,187918000,43068000,12733000,1425000,9592000,1191000,525000,55801000,243719000,22508000,13212000,8592000,24988000,16010000,8978000,47496000,2477000,1664000,2477000,49973000,260703000,-62742000,-4215000,193746000,193746000,243719000,3467000,2176000,2464000,-7608000,499000,-610000,200000.000000002,-410000,-742000,192000,281000,281000,238000,519000,5906000,0,-1932000,0.51572,0.07854,0.07301,0.01789,0.01423,-0.55725,3.9565,0.25793,0,0.14263,0.14095,1.95364,7.97046,-0.07948,0.01767,-0.00985,-14.11192,-22.3445
"24","2016_Q3",20.95125,"Up",55767000,-27342000,28425000,-21089000,-13578000,-7823000,-5755000,-7511000,7336000,-449000,-55000,-394000,6887000,6887000,-856000,6031000,6031000,6031000,6031000,95984000,60032000,54099000,54099000,50705000,6793000,6793000,207581000,43484000,12490000,989000,9680000,1272000,549000,55974000,263555000,22177000,11004000,10565000,34936000,25603000,9333000,57113000,2442000,1702000,2442000,59555000,264342000,-56711000,-3631000,2.04e+08,2.04e+08,263555000,6031000,2129000,2207000,2354000,12721000,-1918000,8736000,6818000,-861000,1671000,21210000,21210000,149000,21359000,9465000,0,10757000,0.50971,0.13155,0.10815,0.02956,0.02288,1.78362,3.63457,0.29194,3.30872245021211e-24,0.24592,0.24195,2.27398,8.31838,0.43863,0.02921,0.05211,-10.14094,-13.08397
"25","2016_Q4",22.892380952381,"Up",58714000,-28310000,30404000,-21338000,-13470000,-7495000,-5975000,-7868000,9066000,149000,-80000,229000,9215000,9215000,-1332000,7883000,7883000,7883000,7883000,118527000,37421000,41182000,41182000,43676000,5835000,5835000,209220000,44324000,12062000,552000,9665000,1319000,526000,56386000,265606000,20471000,8562000,11631000,25434000,16804000,8630000,45905000,3062000,1714000,3062000,48967000,268578000,-48828000,-3111000,216639000,216639000,265606000,7883000,2135000,2518000,8345000,20881000,-821000,-45222000,-46043000,-290000,2228000,-22934000,-22934000,323000,-22611000,11201000,0,20057000,0.51783,0.15441,0.13426,0.03639,0.02968,2.54434,4.55767,0.22603,0,0.31753,0.3118,2.36502,8.7263,0.8079,0.03588,0.09129,-10.58182,-13.07379
"26","2017_Q1",27.0793548387097,"Up",59159000,-28355000,30804000,-21841000,-13845000,-7614000,-6231000,-7996000,8963000,223000,-6999.99999999997,230000,9186000,9186000,17468000,26654000,26654000,26654000,26654000,129961000,47062000,39457000,39457000,41294000,5667000,5667000,216379000,44226000,27225000,412000,8940000,17399000,474000,71451000,287830000,24811000,11342000,12656000,17215000,9168000,8047000,42026000,2030000,1194000,2030000,44056000,271994000,-22174000,-6046000,243774000,243774000,287830000,26654000,1855000,-13857000,-3068000,11584000,-650000,-1848000,-2498000,-1280000,1183000,10269000,10269000,-628000,9641000,10818000,5.55111512312578e-17,-10368000,0.5207,0.15151,0.45055,0.10934,0.0926,-0.38898,5.14869,0.18072,0,1.06778,1.03286,2.36996,9.7658,-0.41535,0.10844,-0.04218,-12.0134,-14.49972
"27","2017_Q2",28.2066666666667,"Up",59314000,-30867000,28447000,-22939000,-14245000,-7938000,-6307000,-8694000,5508000,-42000,-39000,-3000,5466000,5466000,-114000,5352000,5352000,5352000,5352000,132096000,47417000,48419000,48419000,44824000,5925000,5925000,231264000,43176000,29096000,361000,9227000,19103000,405000,72272000,303536000,28053000,18614000,8456000,19459000,12166000,7293000,47512000,2111000,1234000,2111000,49623000,273760000,-15737000,-4110000,253913000,253913000,303536000,5352000,1854000,2154000,-6285000,3075000,-47000,-1802000,-1849000,-1755000,-538000,688000,688000,-333000,355000,7362000,0,1144000,0.4796,0.09286,0.09023,0.02108,0.01763,0.21375,4.86749,0.19543,0,0.21295,0.20718,2.36,10.10277,0.04552,0.0209,0.00447,-17.94295,-23.98257
"28","2017_Q3",26.3139682539683,"Down",64427000,-30806000,33621000,-22969000,-13830000,-7239000,-6591000,-9139000,10652000,258000,-16000,274000,10910000,10910000,-2622000,8288000,8288000,8288000,8288000,135694000,42354000,46966000,46966000,50536000,8887000,8887000,242083000,42018000,28291000,309000,9756000,17827000,399000,70309000,312392000,26798000,14925000,10615000,18413000,11045000,7368000,45211000,2054000,1257000,2054000,47265000,275933000,-7449000,-3357000,265127000,265127000,312392000,8288000,1698000,4084000,-6887000,7183000,-1489000,-8671000,-12160000,-1637000,11000,-4966000,-4966000,-97000,-5063000,12350000,0,6596000,0.52185,0.16533,0.12864,0.03126,0.02653,0.79585,5.35452,0.17827,0,0.3275,0.31993,2.54582,10.47643,0.26064,0.03102,0.02469,-10.98737,-12.73883
"29","2017_Q4",26.6384126984127,"Up",56675000,-26015000,30660000,-23176000,-14351000,-7553000,-6798000,-8825000,7484000,36000,-23000,59000,7520000,7520000,-1756000,5764000,5764000,5764000,5764000,140357000,44041000,41261000,41261000,58340000,9910000,9910000,249868000,42317000,29218000,2258000,10099000,16472000,389000,71535000,321403000,29129000,17180000,10260000,14933000,7229000,7704000,44062000,2856000,1284000,2856000,46918000,278748000,-1685000,-2578000,274485000,274485000,321403000,5764000,1667000,4200000,-6505000,5126000,-806000,-2964000,-3770000,-446000,367000,1723000,1723000,-36000,1687000,9151000,0,3596000,0.54098,0.13205,0.1017,0.021,0.01793,0.62387,5.67083,0.17093,0,0.22609,0.22227,2.22307,10.76665,0.14105,0.02078,0.01297,-15.33789,-18.75428
