"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",42.4312903225806,"Down",504063000,-332266000,171797000,-130884000,-75656000,-43299000,-11929000,40913000,-3523000,-2254000,-1269000,37390000,5054000,42444000,-6547000,35897000,35897000,-550000,35347000,35347000,91474000,91474000,363111000,363111000,201775000,161061000,102195000,817421000,251703000,978211000,247636000,687432000,13268000,29875000,1229914000,2047335000,311104000,219945000,91159000,136339000,41255000,95084000,464318000,427228000,165547000,63041000,63041000,21307000,81199000,592775000,1057093000,1294990000,-282822000,-38100000,974068000,990242000,2047335000,35897000,27585000,-83000,-18786000,44613000,-10731000,12000,-10988000,-33750000,-13353000,1371000,-71000,-47174000,-13549000,-13549000,2223000,-11326000,68498000,444103000,45528000,0.34082,0.08117,0.07012,0.0357,0.01726,1.28803,1.76048,1.06751,0.21692,0.8955,0.88832,12.77014,24.67744,1.15343,0.02209,0.02846,5.14802,8.619
"12","2013_Q1",45.0111666666667,"Up",523335000,-359835000,163500000,-145815000,-89514000,-44358000,-11943000,17685000,-3756000,-2236000,-1520000,13929000,1790000,15719000,745000,16464000,16464000,-504000,15960000,15960000,136411000,136411000,375326000,375326000,170719000,138494000,104958000,820950000,255212000,1013279000,238771000,701016000,44584000,28908000,1268491000,2089441000,328846000,227739000,101107000,119777000,42712000,77065000,467373000,425240000,187315000,90533000,90533000,16682000,80100000,612555000,1079928000,1294213000,-266862000,-34384000,992967000,1009513000,2089441000,16464000,27615000,-2734000,26742000,68087000,-16265000,110000,-15298000,-3750000,-5738000,1003000,476000,-9012000,43777000,43777000,1160000,44937000,45300000,443990000,55032000,0.31242,0.03379,0.0305,0.01581,0.00764,3.44812,1.75652,1.06975,0.21249,0.40685,0.403,13.34085,25.31271,1.40288,0.00973,0.03354,6.78982,17.39208
"13","2013_Q2",42.64421875,"Down",447536000,-307413000,140123000,-136763000,-81811000,-44208000,-10744000,3360000,-2094000,-1277000,-817000,1266000,-1013000,253000,3243000,3496000,3496000,-926000,2570000,2570000,101561000,101561000,356228000,356228000,182454000,144167000,111015000,784410000,248612000,988503000,221147000,683215000,53673000,30468000,1237115000,2021525000,295023000,197759000,97264000,133270000,56174000,77096000,448918000,403729000,182224000,87805000,87805000,14156000,80263000,585953000,1034871000,1299611000,-264292000,-66132000,969187000,986654000,2021525000,3496000,24757000,-3495000,-24163000,595000,-14765000,56000,-15569000,-18750000,873000,1073000,634000,-17243000,-32217000,-32217000,-2633000,-34850000,28117000,424354000,-14054000,0.3131,0.00751,0.00574,0.0026,0.00127,-5.46848,1.74733,1.04887,0.20992,0.0652,0.06462,11.35302,24.58617,-0.35652,0.00161,-0.00882,11.48035,96.06935
"14","2013_Q3",40.93375,"Down",482175000,-322587000,159588000,-138227000,-84499000,-43481000,-10247000,21361000,-3884000,-2142000,-1742000,17477000,-3385000,14092000,-1896000,12196000,12196000,203000,12399000,12399000,103662000,103662000,372240000,372240000,190414000,145152000,112014000,811468000,249372000,989068000,210849000,696215000,55397000,26607000,1238440000,2049908000,303404000,203092000,100312000,130496000,50799000,79697000,456400000,413423000,182412000,89948000,89948000,11235000,81229000,595835000,1052235000,1290226000,-251893000,-57929000,980404000,997673000,2049908000,12196000,24274000,3254000,-21345000,18379000,-14130000,185000,-13945000,11250000,-14409000,1517000,1586000,-1573000,2860999.99999999,2860999.99999999,-760000,2101000,45635000,435923000,12056000,0.33098,0.0443,0.02571,0.01243,0.00605,0.97234,1.77798,1.05469,0.21265,0.31445,0.31249,12.22832,24.86379,0.30575,0.00767,0.00746,7.28084,15.55456
"15","2013_Q4",42.4396875,"Up",495491000,-345407000,150084000,-128193000,-76310000,-41495000,-10388000,21891000,-2859000,-2701000,-158000,19032000,-28379000,-9347000,2589000,-6758000,-6758000,-590000,-7348000,-7348000,122047000,122047000,349292000,349292000,194702000,150747000,108614000,816788000,249072000,999235000,204630000,712710000,53339000,28556000,1248307000,2065095000,301161000,202650000,98511000,141504000,43953000,97551000,467040000,400929000,186686000,92607000,92607000,11415000,82664000,587615000,1054655000,1288221000,-259241000,-36333000,992647000,1010440000,2065095000,-6758000,24718000,-2164000,31107000,46903000,-15653000,3464000,-12189000,-10625000,-6188000,1252000,-455000,-17268000,17446000,17446000,939000,18385000,46609000,425304000,59474000,0.3029,0.04418,-0.01483,-0.00727,-0.00356,-8.0939,1.74886,1.04376,0.20595,-0.1878,-0.1864,12.66366,25.36987,1.52002,-0.00453,0.03666,6.5064,13.85304
"16","2014_Q1",37.8670491803279,"Down",512823000,-347850000,164973000,-140875000,-83999000,-46236000,-10640000,24098000,-4700000,-3414000,-1286000,19398000,-177796000,-158398000,-1470000,-159868000,-159868000,-906000,-160774000,-160774000,124805000,124805000,356709000,356709000,177467000,140385000,103275000,799366000,246820000,836325000,195840000,548578000,58880000,33027000,1083145000,1882511000,299783000,199769000,100014000,128979000,37163000,91816000,455012000,376598000,177930000,88687000,88687000,7326000,81917000,554528000,1009540000,1290629000,-413671000,-21722000,855236000,872971000,1882511000,-159868000,25497000,173640000,274999.999999993,39544000,-15472000,403999.999999999,-15068000,-20625000,-1954000,1457000,1225000,-21354000,3122000,3122000,-364000,2758000,49595000,402848000,35868000,0.3217,0.04699,-0.31351,-0.18417,-0.0854,-0.223099999999997,1.7568,1.15644,0.214,-4.10704,-4.20269,13.10027,21.84734,0.91626,-0.11059,0.02467,5.60627,11.53801
"17","2014_Q2",38.0584126984127,"Up",474795000,-320260000,154535000,-143495000,-88016000,-44409000,-11070000,11040000,-5310000,-2812000,-2498000,5730000,-6501000,-771000,653000,-118000,-118000,-136000,-254000,-254000,146327000,146327000,341547000,341547000,192573000,141962000,104967000,822409000,237326000,824464000,184052000,546437000,61873000,32102000,1061790000,1884199000,314623000,210675000,103948000,151415000,53457000,97958000,494163000,344035000,175201000,89498000,89498000,6123000,79580000,519236000,1013399000,1291690000,-413925000,-24836000,852929000,870800000,1884199000,-118000,25592000,2082000,39205000,66761000,-8564000,167000,-8397000,-30625000,-2638000,310000,-2244000,-35507000,22857000,22857000,-1335000,21522000,36632000,372160000,66620000,0.32548,0.02325,-0.00053,-0.000289999999999957,-0.000130000000000005,-262.28346,1.66425,1.16376,0.19752,-0.00647,-0.00647,12.10131,21.73898,1.69797,-0.00018,0.04698,6.16491,20.45589
"18","2014_Q3",40.0478125,"Up",489353000,-326312000,163041000,-138907000,-83799000,-43999000,-11109000,24134000,-4235000,-2860000,-1375000,19899000,7793000,27692000,-7848000,19844000,19844000,-585000,19259000,19259000,114780000,114780000,369473000,369473000,192413000,149275000,112172000,825941000,234840000,810969000,172927000,541539000,64641000,31862000,1045809000,1871750000,316321000,209080000,107241000,146240000,53487000,92753000,492561000,316360000,178893000,87988000,87988000,6297000,84608000,495253000,987814000,1293548000,-394666000,-32832000,866050000,883936000,1871750000,19844000,25014000,1196000,-45624000,430000,-10839000,-111000,-10950000,-20625000,-2996000,1220000,3448000,-20173000,-30693000,-30693000,-854000,-31547000,49148000,346360000,533000,0.33318,0.04932,0.03936,0.02179,0.01029,0.0276799999999753,1.67683,1.11752,0.18505,0.48935,0.48703,12.43401,22.00554,0.0135400000000001,0.01367,0.00038,4.71189,9.59559
"19","2014_Q4",39.92515625,"Down",496454000,-345692000,150762000,-134246000,-81026000,-42303000,-10917000,16516000,-4421000,-2852000,-1569000,12095000,-58000,12037000,-4484000,7553000,7553000,-245000,7308000,7308000,122475000,122475000,342480000,342480000,190689000,139428000,104847000,795072000,222354000,770503000,155432000,515641000,67826000,31604000,992857000,1787929000,313537000,203175000,110362000,131638000,47316000,84322000,475175000,298071000,177676000,82529000,82529000,7220000,87927000,475747000,950922000,1287959000,-387358000,-81725000,818876000,837007000,1787929000,7553000,24627000,1947000,15220000,49347000,-12657000,-249000,-12906000,-17500000,-7366000,794000,1191000,-23675000,12766000,12766000,-5071000,7695000,41143000,328071000,48190000,0.30368,0.03327,0.01472,0.00873,0.00409,6.59414,1.67322,1.1361,0.18349,0.18637,0.18505,12.66044,20.88277,1.22893,0.00544,0.03589,4.99711,12.44829
"20","2015_Q1",37.2585245901639,"Down",487014000,-341302000,145712000,-147440000,-92128000,-44789000,-10523000,-1728000,-4779000,-2584000,-2195000,-6507000,-50716000,-57223000,7644000,-49579000,-49579000,-404000,-49983000,-49983000,112371000,112371000,346547000,346547000,154221000,169323000,123819000,782462000,207152000,762133000,139909000,500820000,74439000,46965000,969285000,1751747000,300600000,183831000,116769000,189469000,67009000,122460000,520069000,309372000,223764000,101862000,101862000,3808000,118094000,533136000,1053205000,1270045000,-453984000,-135060000,681001000,698542000,1751747000,-49579000,22906000,-14424000,57532000,16435000,-12435000,3192000,-9243000,13969000,-23018000,1323000,-3473000,-12522000,-5330000,-5330000,-4774000,-10104000,21178000,339372000,58631000,0.29919,-0.00355,-0.10263,-0.07155,-0.02853,-1.17302,1.50453,1.50772,0.19373,-1.28385,-1.29947,12.50935,17.49206,1.50598,-0.03962,0.04647,10.71872,-131.36632
"21","2015_Q2",36.3093650793651,"Down",446746000,-308324000,138422000,-130107000,-80612000,-41522000,-7973000,8315000,-2613000,-2634000,21000,5702000,5181000,10883000,-5030000,5853000,5853000,-455000,5398000,5398000,118084000,118084000,324706000,324706000,168161000,147468000,109768000,758419000,192781000,688018000,122431000,462718000,76479000,26390000,880799000,1639218000,294300000,196117000,98183000,154411000,53472000,100939000,478711000,346119000,167491000,91652000,91652000,3289000,72550000,513610000,992321000,1257796000,-431681000,-197214000,628901000,646897000,1639218000,5853000,19355000,-207000,-28956000,-3955000,-9472000,-118000,-9590000,40627000,-15890000,451000,1186000,25923000,12378000,12378000,-6665000,5713000,27670000,376119000,-5728000,0.30984,0.01861,0.01208,0.00834,0.00329,-1.06113,1.58429,1.53397,0.22945,0.14042,0.13927,11.6213,16.35974,-0.149,0.00453,-0.00481,9.32544,31.03247
"22","2015_Q3",31.21328125,"Down",470811000,-352257000,118554000,-126756000,-75550000,-43318000,-7888000,-8202000,-5548000,-3643000,-1905000,-13750000,4234000,-9516000.00000001,-4098000,-13614000,-13614000,-732000,-14346000,-14346000,128814000,128814000,338196000,338196000,195394000,149369000,111248000,811773000,195510000,691386000,117136000,471648000,73861000,28741000,886896000,1698669000,327891000,226512000,101379000,146478000,50255000,96223000,485619000,384258000,183531000,93918000,93918000,3247000,86366000,567789000,1053408000,1255154000,-445879000,-182742000,626533000,645261000,1698669000,-13614000,19437000,12477000,3222000.00000001,21522000,-11520000,811000,-10709000,11183000,-5431000,1413000,-5128000,623999.999999996,11437000,11437000,-707000,10730000,11235000,395508000,7034999.99999999,0.25181,-0.01742,-0.03047,-0.02223,-0.00845,-0.49038,1.67163,1.63253,0.23283,-0.37326,-0.37326,12.24986,16.30153,0.18304,-0.01172,0.00575,23.73778,-32.51573
"23","2015_Q4",35.30703125,"Up",469528000,-322238000,147290000,-119763000,-70335000,-41559000,-7869000,27527000,-3738000,-2619000,-1119000,23789000,-586999.999999998,23202000,-9932000,13270000,13270000,-630000,12640000,12640000,109458000,109458000,340423000,340423000,214237000,142034000,106059000,806152000,190295000,673754000,111767000,474965000,59830000,27192000,864049000,1670201000,307866000,201450000,106416000,152839000,44639000,108200000,471955000,384141000,179297000,94100000,94100000,3569000,81628000,563438000,1035393000,1246177000,-433184000,-197543000,615450000,634808000,1670201000,13270000,18998000,18099000,-47780000,2587000,-12332000,-148000,-18234000,7713000,-11728000,365000,5823000,1808000,-13839000,-13839000,-5517000,-19356000,46525000,395391000,-3655000,0.3137,0.05863,0.02692,0.01991,0.00757,-0.28916,1.70811,1.63103,0.23673,0.33164,0.32953,12.31904,16.14761,-0.0959,0.01045,-0.00302000000000001,6.14579,10.38737
"24","2016_Q1",36.9711475409836,"Up",496448000,-344029000,152419000,-134476000,-90598000,-35935000,-7943000,17943000,-3845000,-2632000,-1213000,14098000,-1565000,12533000,-3039000,9494000,9494000,-508000,8986000,8986000,131018000,131018000,330895000,330895000,190465000,106562000,106562000,758940000,190256000,731120000,101932000,468122000,109387000,51679000,921376000,1680316000,277666000,185827000,91839000,188858000,73301000,115557000,477774000,376500000,203339000,85971000,85971000,1723000,115645000,579839000,1057613000,1246671000,-441306000,-200607000,604758000,622703000,1680316000,9494000,18203000,-9685000,35184000,53196000,-10594000,176000,-10418000,-9054000,-2571000,434000,-8990000,-20615000,22163000,22163000,-603000.000000001,21560000,36146000,387750000,63775000,0.30702,0.03614,0.0181,0.01443,0.00535,7.09715,1.58849,1.69842,0.23076,0.23706,0.23356,13.09682,15.95415,1.68245,0.0074,0.05254,7.10264,14.3082
"25","2016_Q2",42.20265625,"Up",497590000,-334387000,163203000,-137392000,-85836000,-45346000,-6210000,25811000,-4164000,-2647000,-1517000,21647000,-2237000,19410000,-8626000,10784000,10784000,-695000,10089000,10089000,132615000,132615000,368432000,368432000,189010000,110996000,110996000,801053000,190004000,728620000,96386000,475872000,108161000,48201000,918624000,1719677000,303705000,201001000,102704000,202805000,96808000,105997000,517760000,355406000,201283000,88312000,88312000,1729000,111242000,556689000,1074449000,1251231000,-431217000,-193425000,626589000,645228000,1719677000,10784000,16674000,9863000,-3516000,33805000,-8791000,558000,-8233000,-23406000,660000,660000,-2289000,-25035000,537000,537000,1060000,1597000,42485000,366656000,38804000,0.32799,0.05187,0.02028,0.01564,0.00587,3.84617,1.54715,1.66522,0.21321,0.26509,0.2629,13.07417,16.46362,1.01957,0.00832,0.03199,5.50879,9.06749
"26","2016_Q3",47.94421875,"Up",513024000,-343319000,169705000,-135854000,-84704000,-43354000,-7796000,33851000,-2778000,-2514000,-264000,31073000,1622000,32695000,-12193000,20502000,20502000,-585000,19917000,19917000,132014000,132014000,369251000,369251000,188181000,115302000,115302000,804748000,187699000,709586000,87105000,471746000,102411000,48324000,897285000,1702033000,300154000,192169000,107985000,182734000,89508000,93226000,494138000,352167000,197754000,87669000,87669000,1650000,108435000,549921000,1044059000,1255313000,-411300000,-203222000,640791000,657974000,1702033000,20502000,18807000,7758000,-29745000,17322000,-11093000,-1532000,-13576000,-2812000,1296000,1296000,-2390000,-3906000,-160000,-160000,-441000,-601000.000000004,52658000,363417000,24013000,0.33079,0.06598,0.03882,0.03027,0.0117,1.20565,1.62859,1.58678,0.21352,0.5209,0.51711,13.4173,16.75884,0.62802,0.01634,0.0197,4.39445,6.83593
