"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q4",65.7415625,"Down",54574000,-21492000,33082000,-17639000,-13084000,-4555000,15443000,-56000,-56000,15387000,15387000,-5003000,10384000,10384000,10384000,10384000,58480000,34268000,24212000,25460000,25460000,5705000,7953000,4278000,97598000,87962000,181828000,279426000,19931000,7973000,11958000,20095000,4966000,4112000,854000,5008000,25103000,178793000,77290000,-1760000,254323000,254323000,279426000,10384000,3013000,-727000,1317000,13987000,-4303000,6455000,-6723000,2156000,2156000,4465000,11729000,11729000,-315000,11414000,18456000,206000,20473000,0.60619,0.28297,0.19027,0.04083,0.03716,1.97159,4.85683,0.09871,0.00074,0.40314,0.39632,2.11875,9.87371,0.79483,0.04002,0.0789,-3.15746,-3.77349
"12","2015_Q1",67.6929508196721,"Up",56069000,-22457000,33612000,-18949000,-14267000,-4682000,14663000,22000,22000,14685000,14685000,-4492000,10193000,10193000,10193000,10193000,74035000,43329000,30706000,24226000,24226000,6194000,3406000,3406000,107861000,91626000,179170000,287031000,18620000,7882000,8785000,18759000,2723000,1363000,1360000,2733000,21492000,180986000,87482000,-2929000,265539000,265539000,287031000,10193000,3442000,-878000,4449000,17206000,-7579000,12162000,-8265000,858000,858000,495999.999999999,9437000,9437000,-376000,9061000,18105000,149000,19467000,0.59948,0.26152,0.18179,0.03839,0.03551,1.90984,5.74983,0.08094,0.00052,0.39478,0.3926,2.17159,10.2845,0.75397,0.03798,0.07253,-4.08097,-5.03894
"13","2015_Q2",70.5868253968254,"Up",58536000,-23282000,35254000,-19413000,-15099000,-4314000,15841000,-457000,-457000,15384000,15384000,-4931000,10453000,10453000,10453000,10453000,81608000,52553000,29055000,28382000,28382000,6386000,4836000,4377000,121212000,94028000,182660000,303872000,22437000,8566000,9913000,22532000,3692000,2170000,1522000,3692000,26224000,183717000,97935000,-4004000,277648000,277648000,303872000,10453000,3399000,1480000,85000,15417000,-6230000,11646000,-6159000,878000,878000,339000,9597000,9597000,-373000,9224000,19240000,95000,18026000,0.60226,0.27062,0.17857,0.03765,0.0344,1.72448,5.37955,0.09445,0.00031,0.40437,0.39875,2.26442,10.74062,0.69732,0.03714,0.06405,-4.23664,-5.1457
"14","2015_Q3",71.2503125,"Up",63969000,-26419000,37550000,-20203000,-15806000,-4397000,17347000,-36000,-36000,17311000,17311000,-5625000,11686000,11686000,11686000,11686000,87514000,56324000,31190000,29493000,29493000,6828000,7330000,3935000,131165000,100921000,188226000,319391000,21377000,11334000,10043000,21448000,3956000,2423000,1533000,3956000,25404000,187096000,109621000,-2730000,293987000,293987000,319391000,11686000,3541000,1692000,-4503000,12416000,-9487000,12463000,-10838000,1329000,1329000,1780000,3358000,3358000,413000,3771000,20888000,71000,12523000,0.587,0.27118,0.18268,0.03975,0.03659,1.07162,6.11549,0.08641,0.00022,0.45083,0.44472,2.46783,11.3416,0.48312,0.03921,0.04202,-4.18628,-5.04081
"15","2015_Q4",64.49609375,"Down",67842000,-27517000,40325000,-22921000,-18161000,-4760000,17404000,593000,593000,17997000,17997000,-5615000,12382000,12382000,12382000,12382000,92193000,64131000,28062000,32897000,32897000,7228000,10222000,5733000,142540000,108626000,199386000,341926000,24495000,11552000,12943000,24534000,3204000,1488000,1716000,3204000,27738000,195882000,122002000,-3696000,314188000,314188000,341926000,12382000,3482000,-3243000,830000,13451000,-11542000,16790000,-12037000,2958000,2958000,6751000,8165000,8165000,-358000,7807000,20886000,39000,15789000,0.5944,0.25654,0.18251,0.03941,0.03621,1.27516,5.8099,0.08828,0.00011,0.47471,0.46935,2.60096,12.04551,0.60533,0.03901,0.04974,-4.41224,-5.29499
"16","2016_Q1",64.5667213114754,"Up",73759000,-32485000,41274000,-24717000,-19838000,-4879000,16557000,612000,612000,17169000,17169000,-5176000,11993000,11993000,11993000,11993000,80854000,47653000,33201000,36125000,36125000,9771000,11252000,5224000,138002000,125475000,223034000,361036000,26262000,13643000,12619000,26262000,7129000,4240000,2889000,7129000,33391000,198861000,133996000,-5212000,327645000,327645000,361036000,11993000,3704000,4341000,-2765000,17273000,-17103000,11294000,-34560000,1086000,1086000,1368000,-15919000,-15919000,-559000,-16478000,20261000,0,5569000,0.55958,0.22447,0.1626,0.0366,0.03322,0.46435,5.25482,0.10191,1.35525271560688e-20,0.4583,0.45414,2.8186,12.52052,0.21281,0.03582,0.01664,-3.99062,-4.88337
"17","2016_Q2",66.7440625,"Up",72568000,-32914000,39654000,-24511000,-19193000,-5318000,15143000,625000,625000,15768000,15768000,-5106000,10662000,10662000,10662000,10662000,89430000,50626000,38804000,36152000,36152000,9920000,8646000,6617000,144148000,130341000,230687000,374835000,23936000,13541000,10395000,23936000,7193000,4325000,2868000,7193000,31129000,203516000,144658000,-4468000,343706000,343706000,374835000,10662000,3789000,2110000,1693000,18254000,-8275000,10465000,-16604000,1614000,1614000,1214000,2864000,2864000,109000,2973000,18932000,0,17456000,0.54644,0.20867,0.14692,0.03102,0.02844,1.63722,6.02223,0.09057,0,0.4066,0.40322,2.76743,13.10747,0.6657,0.03038,0.04975,-4.72375,-5.9057
"18","2016_Q3",57.54078125,"Down",74961000,-32715000,42246000,-27395000,-21579000,-5816000,14851000,1092000,1092000,15943000,15943000,-5252000,10691000,10691000,10691000,10691000,96547000,57331000,39216000,34486000,34486000,9901000,7473000,5468000,148407000,138685000,239616000,388023000,23679000,11435000,12244000,23679000,7560000,4632000,2928000,7560000,31239000,208047000,155349000,-6612000,356784000,356784000,388023000,10691000,4358000,1784000,3391000,20224000,-14141000,18294000,-15357000,2115000,2115000,2115000,6982000,6982000,-277000,6705000,19209000,0,13711000,0.56357,0.19812,0.14262,0.02996,0.02755,1.28248,6.26745,0.08756,0,0.40545,0.40251,2.84288,13.53095,0.51999,0.02934,0.03763,-5.02613,-6.50104
"19","2016_Q4",52.4326984126984,"Down",78173000,-33448000,44725000,-27783000,-21807000,-5976000,16942000,625000,625000,17567000,17567000,-5585000,11982000,11982000,11982000,11982000,107246000,68218000,39028000,37261000,37261000,9930000,5392000,5392000,159829000,142722000,244216000,404045000,25186000,10703000,13942000,25186000,8042000,4247000,3795000,8042000,33228000,210252000,167331000,-6766000,370817000,370817000,404045000,11982000,4684000,1816000,1182000,19664000,-8565000,17148000,-9326000,439000,439000,439000,10777000,10777000,110000,10887000,21626000,0,19828000,0.57213,0.21672,0.15328,0.03231,0.02966,1.65482,6.34595,0.08961,0,0.45359,0.45028,2.9593,14.03757,0.7506,0.03163,0.05234,-4.95912,-6.33019
"20","2017_Q1",52.9451612903226,"Up",72353000,-32041000,40312000,-25481000,-20203000,-5278000,14831000,112000,112000,14943000,14943000,-5571000,9372000,9372000,9372000,9372000,108272000,68795000,39477000,34060000,34060000,9310000,6142000,5697000,157784000,139474000,256457000,414241000,23427000,11322000,12105000,23427000,10981000,7003000,3978000,10981000,34408000,213883000,176703000,-10753000,379833000,379833000,414241000,9372000,4654000,3932000,1399000,19357000,-2635000,16269000,-19468000,1547000,1547000,1547000,1436000,1436000,-859000,577000.000000002,19485000,0,23820000,0.55716,0.20498,0.12953,0.02467,0.02262,2.54161,6.73513,0.09059,0,0.35427,0.35173,2.735,14.35797,0.90041,0.02398,0.06095,-5.55668,-7.30038
"21","2017_Q2",60.4357142857143,"Up",80167000,-34894000,45273000,-27591000,-21768000,-5823000,17682000,315000,315000,17997000,17997000,-5797000,12200000,12200000,12200000,12200000,117441000,71888000,45553000,39012000,39012000,8943000,6412000,6412000,171808000,143957000,260224000,432032000,28072000,11747000,11703000,28072000,11497000,7399000,4098000,11497000,39569000,215390000,186641000,-9568000,392463000,392463000,432032000,12200000,4250000,2355000,-13000,18792000,-7812000,10755000,-13577000,-2468000,194000,-2468000,2747000,2747000,346000,3093000,21932000,0,19904000,0.56473,0.22056,0.15218,0.03109,0.02824,1.63148,6.12026,0.10082,0,0.46096,0.45866,3.02897,14.82854,0.75204,0.0302,0.04927,-5.35478,-6.64184
"22","2017_Q3",72.284126984127,"Up",82040000,-35671000,46369000,-29967000,-23883000,-6084000,16402000,1173000,1173000,17575000,17575000,-5489000,12086000,12086000,12086000,12086000,147468000,99196000,48272000,42211000,42211000,9327000,5915000,5915000,204921000,146364000,249732000,454653000,31050000,14147000,15520000,31050000,12799000,8613000,4186000,12799000,43849000,221002000,197206000,-7404000,410804000,410804000,454653000,12086000,4450000,3880000,219000,20635000,-5489000,13925000,4919000,1849000,3597000,1849000,27403000,27403000,-95000.0000000001,27308000,20852000,5.82076609134674e-11,21071000,0.5652,0.19993,0.14732,0.02942,0.02658,1.74342,6.59971,0.10674,-1.0842021724855e-19,0.45535,0.45352,3.09095,15.47752,0.79387,0.02853,0.04974,-7.07213,-8.99085
"23","2017_Q4",89.7380952380952,"Up",88105000,-38793000,49312000,-29945000,-24068000,-5877000,19367000,291000,291000,19658000,19658000,-6438000,13220000,13220000,13220000,13220000,172484000,119283000,53201000,46276000,46276000,9789000,6280000,6280000,234829000,153512000,242741000,477570000,35763000,13130000,18829000,35763000,11968000,7721000,4247000,11968000,47731000,225162000,210426000,-5749000,429839000,429839000,477570000,13220000,4839000,1511000,3000,19573000,-10863000,8896000,-1967000,1958000,1958000,1958000,19564000,19564000,523000,20087000,24206000,0,19784000,0.5597,0.21982,0.15005,0.03076,0.02768,1.49652,6.56626,0.11104,0,0.49667,0.49325,3.31006,16.14883,0.74327,0.02992,0.04478,-7.12567,-8.90608
"24","2018_Q1",112.999180327869,"Up",94178000,-41290000,52888000,-34113000,-28337000,-5776000,18775000,430000,430000,19205000,19205000,-4933000,14272000,14272000,14272000,14272000,94131000,36707000,57424000,51503000,51503000,11271000,8099000,6267000,165004000,166440000,353734000,518738000,38755000,15876000,20508000,43755000,13768000,6966000,6802000,13768000,57523000,241752000,224697000,-5234000,461215000,461215000,518738000,14272000,4935000,3409000,132000,22748000,-8471000,5654000,-113350000,2853000,2853000,7853000,-82749000,-82749000,173000,-82576000,23710000,5e+06,20304000,0.56157,0.19936,0.15154,0.03094,0.02751,1.42265,3.77109,0.12472,0.00964,0.52929,0.52221,3.49268,17.1046,0.75299,0.02973,0.0423,-3.75922,-4.74732
"25","2018_Q2",122.4453125,"Up",107745000,-49837000,57908000,-36180000,-29515000,-6665000,21728000,178000,178000,21906000,21906000,-3855000,18051000,18051000,18051000,18051000,98562000,45095000,53467000,58464000,58464000,9506000,8106000,8106000,174638000,187863000,369271000,543909000,41865000,18358000,20545000,41865000,14368000,7582000,6786000,14368000,56233000,246309000,244208000,-2841000,487676000,487676000,543909000,18051000,6259000,3188000,-1353000,26145000,-25513000,13551000,-15441000,2252000,2252000,-2748000,7956000,7956000,432000,8388000,27987000,0,4976000,0.53745,0.20166,0.16753,0.03701,0.03319,0.27566,4.17146,0.11531,0,0.67156,0.66371,4.00846,18.14312,0.18512,0.03596,0.00991,-3.52171,-4.53617
"26","2018_Q3",141.470634920635,"Up",109652000,-50439000,59213000,-37229000,-30197000,-7032000,21984000,808000,808000,22792000,22792000,-4478000,18314000,18314000,18314000,18314000,120224000,62605000,57619000,55928000,55928000,9590000,7678000,7678000,193420000,197339000,372767000,566187000,44382000,20038000,23707000,44382000,15552000,8583000,6969000,15552000,59934000,250090000,262522000,-6359000,506253000,506253000,566187000,18314000,6490000,3078000,5290000,33172000,-17681000,15505000,-15632000,1054000,1054000,1054000,18594000,18594000,-1084000,17510000,28474000,0,20561000,0.54001,0.20049,0.16702,0.03618,0.03235,1.12269,4.35807,0.11839,0,0.67898,0.67146,4.06525,18.76889,0.76228,0.0351,0.0394,-4.22224,-5.4687
"27","2018_Q4",123.329841269841,"Down",115430000,-53027000,62403000,-37372000,-29914000,-7458000,25031000,390000,390000,25421000,25421000,-4484000,20937000,20937000,20937000,20937000,120154000,62593000,57561000,62131000,62131000,9608000,8639000,8639000,200532000,210053000,395332000,595864000,49368000,17300000,29305000,49368000,15290000,8732000,6558000,15290000,64658000,254984000,283460000,-7238000,531206000,531206000,595864000,20937000,6771000,3315000,-5378000,25645000,-18704000,15539000,-27420000,1942000,1942000,1942000,167000,167000,-179000,-12000,31802000,0,12204000,0.54061,0.21685,0.18138,0.03941,0.03514,0.58289,4.06198,0.12172,0,0.77434,0.76586,4.26908,19.64622,0.45135,0.03831,0.02233,-3.77819,-4.80021
"28","2019_Q1",112.204426229508,"Down",112769000,-53614000,59155000,-3.9e+07,-31420000,-7580000,20155000,1381000,1381000,21536000,21536000,-2250000,19286000,19286000,19286000,19286000,131796000,85046000,46750000,59155000,59155000,10087000,14324000,8567000,215362000,228001000,403623000,618985000,52734000,17411000,34832000,52734000,24754000,20162000,4592000,24754000,77488000,258529000,291460000,-8492000,541497000,541497000,618985000,19286000,7234000,12367000,-920000.000000001,37967000,-25206000,-20966000,-4788000,-8542000,3687000,-10686000,22493000,22493000,-40000.0000000001,22453000,27389000,0,3513000,0.52457,0.17873,0.17102,0.03562,0.03116,0.18215,4.08393,0.1431,1.0842021724855e-19,0.71325,0.70631,4.17053,20.02615,0.12992,0.03406,0.0062,-4.812,-6.53912
"29","2019_Q2",107.627619047619,"Down",113452000,-54592000,58860000,-39412000,-31399000,-8013000,19448000,213000,213000,19661000,19661000,-4150000,15511000,15511000,15511000,15511000,120395000,85350000,35045000,61535000,61535000,9356000,11465000,8613000,202751000,234211000,415845000,618596000,38422000,16672000,21156000,41443000,34358000,20549000,13809000,34358000,75801000,259638000,291173000,-8016000,542795000,542795000,618596000,15511000,7439000,3671000,-8619000,18002000,-12735000,13006000,271000,-17135000,174000,-17729000,544000,544000,-240000,304000,26887000,0,9683000,0.51881,0.17142,0.13672,0.02858,0.02507,0.62427,4.89229,0.13965,0,0.57526,0.57074,4.20763,20.13083,0.35912,0.02688,0.01678,-4.47781,-6.19061
"30","2019_Q3",101.9490625,"Down",115932000,-55696000,60236000,-40663000,-32494000,-8169000,19573000,1125000,1125000,20698000,20698000,-4532000,16166000,16166000,16166000,16166000,136402000,100535000,35867000,62548000,62548000,9688000,10678000,7826000,219316000,248816000,426211000,645527000,48137000,21230000,24490000,51433000,35981000,21745000,14236000,35981000,87414000,262979000,303628000,-8494000,558113000,558113000,645527000,16166000,7542000,4168000,9010000,36886000,-21401000,12164000,-18220000,-2032000,2069000,-3856000,14810000,14810000,375000,15185000,27115000,-3.63797880709171e-12,19256000,0.51958,0.16883,0.13944,0.02897,0.02504,1.19114,4.26411,0.15662,6.7762635780344e-21,0.60153,0.59764,4.3138,20.76725,0.71651,0.02721,0.03241,-5.0305,-6.96889
"31","2019_Q4",99.100625,"Down",117455000,-57839000,59616000,-38343000,-29984000,-8359000,21273000,228000,228000,21501000,21501000,-4709000,16792000,16792000,16792000,16792000,145210000,121568000,23642000,64069000,64069000,9448000,10890000,8038000,229617000,252579000,425282000,654899000,51444000,18668000,26059000,54808000,35994000,21750000,14244000,35994000,90802000,265205000,309536000,-10644000,564097000,564097000,654899000,16792000,7677000,3360000,1062000,28891000,-12015000,25182000,4707000,-11868000,243000,-11870000,21728000,21728000,-695000,21033000,28950000,0,22706000,0.50756,0.18112,0.14297,0.02977,0.02564,1.35219,4.18948,0.16097,0,0.62551,0.62211,4.37527,21.01293,0.84581,0.02798,0.03784,-5.01589,-6.82602
"32","2020_Q1",92.6740322580645,"Down",111889000,-55311000,56578000,-37016000,-28865000,-8151000,19562000,-229000,-229000,19333000,19333000,-4147000,15186000,15186000,15186000,15186000,160662000,125225000,35437000,57450000,57450000,10075000,8232000,8232000,236419000,263712000,437248000,673667000,44241000,16804000,26115000,47581000,40296000,26283000,14013000,40296000,87877000,268086000,324722000,-7018000,585790000,585790000,673667000,15186000,8206000,6084000,2797000,32273000,-16079000,-32425000,-31061000,1905000,1905000,1838000,3050000,3050000,607000,3657000,27768000,-2.27373675443232e-13,18633000,0.50566,0.17483,0.13572,0.02592,0.02254,1.22699,4.96877,0.15001,0,0.56697,0.56288,4.17735,21.87034,0.69566,0.02426,0.02976,-5.78587,-8.21296
"33","2020_Q2",102.641587301587,"Up",115108000,-57008000,58100000,-41275000,-32288000,-8987000,16825000,1054000,1054000,17879000,17879000,-3895000,13984000,13984000,13984000,13984000,130099000,91905000,38194000,62091000,62091000,10507000,9777000,9777000,212474000,268001000,465616000,678090000,44043000,18219000,25410000,47297000,43053000,29652000,13401000,43053000,90350000,268601000,329137000,-9998000,587740000,587740000,678090000,13984000,7958000,5836000,-5368000,22410000,-13421000,-29929000,-43350000,-11050000,135000,-12098000,-33038000,-33038000,-282000,-33320000,24783000,0,9889000,0.50474,0.14617,0.12149,0.02379,0.02062,0.70717,4.49234,0.15372,0,0.52224,0.51928,4.2988,21.94959,0.36931,0.02217,0.01568,-5.24953,-7.73248
"34","2020_Q3",131.45359375,"Up",106575000,-54119000,52456000,-38105000,-29457000,-8648000,14351000,767000,767000,15118000,15118000,-2511000,12607000,12607000,12607000,12607000,131131000,98003000,33128000,61297000,61297000,10774000,9765000,9670000,212967000,281129000,485478000,698445000,47735000,17556000,30179000,51103000,46093000,31907000,14186000,46093000,97196000,272258000,338625000,-9634000,601249000,601249000,698445000,12607000,7897000,5762000,4741000,31007000,-19884000,-2058000,-21942000,-781000.000000002,2720000,-3100000,5965000,5965000,133000,6098000,22248000,0,9616000,0.4922,0.13466,0.11829,0.02097,0.01805,0.76275,4.16741,0.16166,0,0.47287,0.47136,3.99749,22.55205,0.36068,0.01948,0.01485,-5.89406,-9.13741
