"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",40.9290322580645,"Up",3.569e+09,-1.679e+09,1.89e+09,-1.228e+09,-3.32e+08,-8.96e+08,6.62e+08,-2.1e+07,-3.2e+07,1.1e+07,6.41e+08,-2e+06,6.39e+08,-1.61e+08,4.78e+08,4.78e+08,4.78e+08,4.78e+08,9.42e+08,9.42e+08,3.02e+08,5.44e+08,3.23e+08,2.079e+09,4.119e+09,2.776e+09,1.006e+09,4.71e+08,5.28e+08,6.895e+09,8.974e+09,1.926e+09,1.828e+09,9.8e+07,1.8e+07,2.057e+09,3.003e+09,1.575e+09,1.575e+09,4.578e+09,6.635e+09,2.45e+09,-2.53e+08,2.197e+09,2.339e+09,8.974e+09,4.78e+08,1.57e+08,9.8e+07,1.61e+08,8.94e+08,1.37e+08,-2.88e+08,-1.51e+08,-1.31e+08,-2.53e+08,-5e+06,-7.83e+08,-4e+07,-4e+07,-1999999.99999999,-4.2e+07,8.19e+08,3.021e+09,1.278e+09,0.52956,0.18549,0.13393,0.20436,0.05326,2.67364,1.0107,2.83668,0.33664,1.04139,1.01271,7.7756,4.78649,2.78431,0.2854,0.08782,0.18428,0.27406,2.53846,3.14048
"12","2013_Q1",39.3703333333333,"Down",4.153e+09,-1.996e+09,2.157e+09,-1.679e+09,-5.6e+08,-1.119e+09,4.78e+08,-2.4e+07,-4.2e+07,1.8e+07,4.54e+08,9e+06,4.63e+08,-1.27e+08,3.36e+08,3.36e+08,3.36e+08,3.36e+08,7.76e+08,7.76e+08,3.01e+08,5.35e+08,2.72e+08,1.925e+09,4.25e+09,2.838e+09,1.034e+09,4.67e+08,5.75e+08,7.088e+09,9.013e+09,2.133e+09,2.036e+09,9.7e+07,1e+07,2.279e+09,2.932e+09,1.49e+09,1.49e+09,4.422e+09,6.701e+09,2.286e+09,-1.32e+08,2.154e+09,2.312e+09,9.013e+09,3.36e+08,2.23e+08,-6.1e+07,-2.2e+07,4.76e+08,1.77e+08,-4.34e+08,-2.58e+08,-1.51e+08,-1.4e+07,1.3e+07,-3.94e+08,-1.76e+08,-1.76e+08,1e+07,-1.66e+08,7.01e+08,2.942e+09,9.83e+08,0.51938,0.1151,0.08091,0.14533,0.03728,2.9256,0.84467,2.89836,0.32642,0.73846,0.72414,9.12747,4.73407,2.16044,0.33187,0.07221,0.14576,0.4494,3.08987,4.53138
"13","2013_Q2",41.0203125,"Up",2.535e+09,-1.17e+09,1.365e+09,-8.99e+08,-2.73e+08,-6.26e+08,4.66e+08,-2.3e+07,-3.1e+07,8e+06,4.43e+08,1.3e+07,4.56e+08,-1.2e+08,3.36e+08,3.36e+08,3.36e+08,3.36e+08,7.62e+08,7.62e+08,3.68e+08,4.8e+08,2.27e+08,1.898e+09,4.258e+09,2.789e+09,1.026e+09,4.68e+08,5.71e+08,7.047e+09,8.945e+09,1.948e+09,1.866e+09,8.2e+07,2.1e+07,2.089e+09,2.924e+09,1.515e+09,1.515e+09,4.439e+09,6.528e+09,2.413e+09,-1.2e+08,2.293e+09,2.417e+09,8.945e+09,3.36e+08,1.3e+08,-2.9e+07,-3.6e+07,4.01e+08,8.1e+07,-2.34e+08,-1.53e+08,-1.51e+08,8e+06,-2.3e+07,-2.59e+08,-1.1e+07,-1.1e+07,-3e+06,-1.4e+07,5.96e+08,2.945e+09,7.61e+08,0.53846,0.18383,0.13254,0.13902,0.03756,2.26488,0.90857,2.70087,0.32923,0.73846,0.72258,5.57143,5.03956,1.67253,0.33187,0.07082,0.11066,0.4494,3.66275,4.68455
"14","2013_Q3",43.1690625,"Up",2.904e+09,-1.395e+09,1.509e+09,-1.136e+09,-3.33e+08,-8.03e+08,3.73e+08,-4.1e+07,-3.2e+07,-9e+06,3.32e+08,2.6e+07,3.58e+08,-8.2e+07,2.76e+08,2.76e+08,2.76e+08,2.76e+08,5e+08,5e+08,3.52e+08,4.34e+08,2.38e+08,1.605e+09,4.252e+09,2.907e+09,1.11e+09,4.8e+08,5.71e+08,7.159e+09,8.764e+09,1.841e+09,1.739e+09,1.02e+08,6.8e+07,1.99e+09,2.918e+09,1.512e+09,1.512e+09,4.43e+09,6.42e+09,2.324e+09,-1.01e+08,2.223e+09,2.344e+09,8.764e+09,2.76e+08,1.7e+08,1.6e+07,-1.34e+08,3.28e+08,7.6e+07,-2.44e+08,-2.57e+08,-1.5e+08,4.3e+07,4e+06,-3.28e+08,-2.57e+08,-2.57e+08,-5e+06,-2.62e+08,5.43e+08,2.986e+09,5.67e+08,0.51963,0.12844,0.09504,0.11775,0.03149,2.05435,0.80653,2.73891,0.34071,0.60793,0.59483,6.39648,4.89648,1.2489,0.3304,0.06226,0.08287,0.54348,4.57827,6.66488
"15","2013_Q4",43.06,"Down",3.466e+09,-1.617e+09,1.849e+09,-1.244e+09,-3.27e+08,-9.17e+08,6.05e+08,-2.4e+07,-3.1e+07,7e+06,5.81e+08,-2.62e+08,3.19e+08,-1.82e+08,1.37e+08,1.37e+08,1.37e+08,1.37e+08,7.53e+08,7.53e+08,3.48e+08,4.29e+08,2.33e+08,1.83e+09,4.257e+09,2.643e+09,8.82e+08,5.08e+08,5.67e+08,6.9e+09,8.73e+09,1.894e+09,1.745e+09,1.49e+08,1.5e+07,1.989e+09,2.917e+09,1.524e+09,1.524e+09,4.441e+09,6.43e+09,2.326e+09,-1.32e+08,2.194e+09,2.3e+09,8.73e+09,1.37e+08,1.73e+08,2.5e+08,2.64e+08,8.24e+08,6.2e+07,-2.3e+08,-1.77e+08,-1.5e+08,-5.4e+07,-9e+06,-3.88e+08,2.59e+08,2.59e+08,-6e+06,2.53e+08,7.78e+08,2.932e+09,1.286e+09,0.53347,0.17455,0.03953,0.05957,0.01569,9.38686,0.92006,2.79565,0.33585,0.30377,0.29718,7.68514,4.86475,2.85144,0.33259,0.04248,0.19035,1.09489,2.80077,3.60165
"16","2014_Q1",44.2929508196721,"Up",4.179e+09,-1.986e+09,2.193e+09,-1.624e+09,-4.79e+08,-1.145e+09,5.69e+08,-1.43e+08,-1.53e+08,1e+07,4.26e+08,-8e+06,4.18e+08,-1.03e+08,3.15e+08,3.15e+08,3.15e+08,3.15e+08,5.73e+08,5.73e+08,3.19e+08,5.05e+08,2.86e+08,1.691e+09,4.459e+09,2.545e+09,8.89e+08,3.99e+08,5.66e+08,7.004e+09,8.695e+09,2.098e+09,1.929e+09,1.69e+08,7.1e+07,2.265e+09,2.918e+09,1.244e+09,1.244e+09,4.162e+09,6.427e+09,2.102e+09,6.4e+07,2.166e+09,2.268e+09,8.695e+09,3.15e+08,2.48e+08,2.2e+08,-1.97e+08,5.86e+08,4.1e+07,-3.39e+08,-2.99e+08,-1.64e+08,-6.4e+07,-8e+06,-4.76e+08,-1.89e+08,-1.89e+08,9e+06,-1.8e+08,8.17e+08,2.989e+09,7.64e+08,0.52477,0.13616,0.07538,0.13889,0.03623,2.4254,0.74658,2.83377,0.34376,0.70312,0.69383,9.32812,4.83482,1.70536,0.36607,0.07368,0.11752,0.52063,2.95716,4.24605
"17","2014_Q2",47.0073015873016,"Up",2.724e+09,-1.218e+09,1.506e+09,-9.37e+08,-2.71e+08,-6.66e+08,5.69e+08,-3.1e+07,-3.3e+07,2e+06,5.38e+08,0,5.38e+08,-1.39e+08,3.99e+08,3.99e+08,3.99e+08,3.99e+08,7.34e+08,7.34e+08,3.54e+08,4.63e+08,2.38e+08,1.809e+09,4.378e+09,2.518e+09,8.81e+08,4.01e+08,5.63e+08,6.896e+09,8.705e+09,1.982e+09,1.825e+09,1.57e+08,7e+07,2.15e+09,2.949e+09,1.233e+09,1.233e+09,4.182e+09,6.332e+09,2.248e+09,2.7e+07,2.275e+09,2.373e+09,8.705e+09,3.99e+08,1.4e+08,-5.6e+07,86999999.9999999,5.7e+08,2e+06,-1.7e+08,-1.68e+08,-1.64e+08,3.3e+07,7e+06,-2.37e+08,1.65e+08,1.65e+08,-4e+06,1.61e+08,7.09e+08,3.019e+09,9.37e+08,0.55286,0.20888,0.14648,0.16814,0.04584,2.34837,0.8414,2.66835,0.34681,0.89262,0.875,6.09396,5.08949,2.0962,0.36689,0.08498,0.14143,0.41103,3.22285,4.01582
"18","2014_Q3",45.181875,"Down",3.204e+09,-1.506e+09,1.698e+09,-1.21e+09,-3.52e+08,-8.58e+08,4.88e+08,-2.1e+07,-2.9e+07,8e+06,4.67e+08,-1.7e+07,4.5e+08,-1.12e+08,3.38e+08,3.38e+08,3.38e+08,3.38e+08,8.31e+08,5.97e+08,3.52e+08,4.17e+08,2.31e+08,1.882e+09,4.425e+09,2.503e+09,8.75e+08,4.07e+08,5.57e+08,6.928e+09,8.81e+09,2.026e+09,1.836e+09,1.9e+08,7e+07,2.153e+09,3.095e+09,1.2e+09,1.2e+09,4.295e+09,6.448e+09,2.258e+09,6000000.00000001,2.264e+09,2.362e+09,8.81e+09,3.38e+08,1.8e+08,8e+06,-1.2e+07,5.14e+08,-2.12e+08,-2.34e+08,-4.46e+08,-1.63e+08,1.4e+08,-2e+06,-1.96e+08,-1.28e+08,-1.28e+08,-9e+06,-1.37e+08,6.68e+08,3.165e+09,5.56e+08,0.52996,0.15231,0.10549,0.1431,0.03837,1.64497,0.87413,2.72989,0.35925,0.75785,0.74286,7.18386,5.07623,1.24664,0.36547,0.07448,0.08265,0.48225,3.49401,4.78279
"19","2014_Q4",44.461875,"Down",3.354e+09,-1.593e+09,1.761e+09,-1.234e+09,-3.23e+08,-9.11e+08,5.27e+08,-1.9e+07,-2.8e+07,9e+06,5.08e+08,1.4e+07,5.22e+08,-1.19e+08,4.03e+08,4.03e+08,4.03e+08,4.03e+08,1.011e+09,6.85e+08,3.73e+08,4.2e+08,2.26e+08,2.07e+09,4.48e+09,2.627e+09,8.86e+08,5e+08,5.61e+08,7.107e+09,9.177e+09,1.967e+09,1.771e+09,1.96e+08,7.2e+07,2.112e+09,3.315e+09,1.146e+09,1.146e+09,4.461e+09,6.573e+09,2.462e+09,3.6e+07,2.505e+09,2.604e+09,9.177e+09,4.03e+08,1.81e+08,-1.2e+07,-4.4e+07,5.28e+08,-39000000.0000001,-2.67e+08,-3.06e+08,-1.63e+08,2.19e+08,-3999999.99999999,-1.53e+08,6.9e+07,6.9e+07,1.9e+07,8.8e+07,7.08e+08,3.387e+09,7.44e+08,0.52504,0.15713,0.12016,0.15476,0.04391,1.84615,0.98011,2.52419,0.36907,0.90971,0.89159,7.57111,5.65463,1.67946,0.36795,0.07931,0.10425,0.40447,3.35593,4.50854
"20","2015_Q1",46.8840983606557,"Up",-2.695e+09,1.674e+09,-1.021e+09,9.67e+08,-8.2e+07,1.049e+09,-5.4e+07,-8.3e+07,-5.3e+07,-3e+07,-1.37e+08,1e+06,-1.36e+08,2e+06,-1.34e+08,-8.9e+07,-8.9e+07,-8.9e+07,5.78e+08,5.78e+08,3.25e+08,3.49e+08,2.54e+08,1.553e+09,4.498e+09,2.283e+09,7e+08,6.53e+08,5.6e+08,6.781e+09,8.334e+09,2.047e+09,1.97e+09,7.7e+07,2.67e+08,2.409e+09,3.077e+09,1.235e+09,1.235e+09,4.312e+09,6.721e+09,1.737e+09,-1.9e+08,1.547e+09,1.613e+09,8.334e+09,-1.34e+08,-1.73e+08,7.6e+07,-1.64e+08,-3.95e+08,3.32e+08,1.64e+08,4.96e+08,-1.79e+08,-4.1e+07,3.98e+08,-1.53e+08,-5.2e+07,-5.2e+07,6e+06,-4.6e+07,-2.27e+08,3.344e+09,-6.1e+07,0.37885,0.02004,0.03302,-0.05518,-0.01068,0.68539,0.64467,4.16677,0.40125,-0.20227,-0.19822,-6.125,3.51591,-0.13864,0.40682,0.01453,-0.00985,-2.01124,-12.18502,-51.22222
