"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",5.47671875,"Up",52620000,-43545000,9075000,-25547000,-14618000,-10929000,-16472000,530000,107000,423000,-15942000,-19980000,207000,-19773000,-19773000,-19773000,-19773000,153564000,77381000,76183000,33453000,33453000,24689000,19098000,9476000,230804000,42054000,106169000,4180000,1009000,148223000,379027000,38840000,24191000,14381000,6538000,6538000,45869000,10342000,10342000,10547000,56416000,685410000,-363441000,642000,322611000,322611000,379027000,-19773000,7407000,8956000,-6257000,-9667000,-2725000,-2725000,17300000,14472000,1217000,1220000,1e+06,5805000,5805000,-667000,5138000,-9065000,696000,-18254000,0.17246,-0.31304,-0.37577,-0.06129,-0.05217,0.92318,5.03181,0.17487,0.00184,-0.36846,-0.36846,0.98055,6.01168,-0.34015,-0.05926,-0.05471,16.86354,9.28048
"12","2013_Q3",6.8025,"Up",62733000,-46328000,16405000,-24402000,-13487000,-10915000,-7997000,305000,96000,209000,-7692000,-8205000,-202000.000000004,-8407000,-8407000,-8407000,-8407000,154522000,57160000,97362000,38964000,38964000,26130000,11963000,6191000,231579000,39630000,101069000,4076000,1410000,140699000,372278000,38435000,24181000,13808000,6113000,6113000,45051000,10307000,10307000,10346000,55397000,688646000,-371848000,83000,316881000,316881000,372278000,-8407000,7165000,6073000,-759000,4072000,-2346000,-2346000,-21383000,-23995000,104000,106000,-10000.0000000002,-19933000,-19933000,-288000,-20221000,-831999.999999999,542000,-3735000,0.26151,-0.12748,-0.13401,-0.02653,-0.02258,0.444270000000008,5.14037,0.17482,0.00146,-0.15537,-0.15537,1.1594,5.85645,-0.0690299999999999,-0.02565,-0.0114,185.07212,19.25472
"13","2013_Q4",5.7159375,"Down",67634000,-55088000,12546000,-23253000,-12952000,-10301000,-10707000,4000,95000,-91000,-10703000,-10861000,147000,-10714000,-10714000,-10714000,-10714000,156338000,59470000,96868000,46320000,46320000,22369000,12842000,7844000,237869000,36945000,98126000,4460000,1440000,135071000,372940000,44557000,28676000,15313000,6937000,6937000,51894000,10363000,10363000,10363000,62257000,692940000,-382562000,305000,310683000,310683000,372940000,-10714000,7282000,6174000,299000,3041000,-2292000,-2292000,342000,-1937000,1281000,1281000,1139000,2243000,2243000,67000,2310000,-3425000,4e+05,-5565000,0.1855,-0.15831,-0.15841,-0.03449,-0.02873,0.51941,4.58375,0.20039,0.00107,-0.19681,-0.19681,1.2424,5.7071,-0.10223,-0.03333,-0.01731,45.52934,14.56412
"14","2014_Q1",6.64950819672131,"Up",48546000,-44288000,4258000,-22154000,-12160000,-9994000,-17896000,170000,88000,82000.0000000001,-17726000,-18736000,-53000,-18789000,-18789000,-18789000,-18789000,151091000,59196000,91895000,30189000,30189000,20707000,9664000,6106000,211651000,35190000,93867000,3960000,1706000,129057000,340708000,30470000,16313000,13985000,7030000,7030000,37770000,8852000,5823000,8852000,46622000,695686000,-401351000,-249000,294086000,294086000,340708000,-18789000,7055000,7060000,1426000,-3248000,-1106000,-1167000,4788000,3710000.00000001,4.65661287307739e-10,-5000.00000000023,-130000,332000,332000,-606000,-273999.999999993,-10841000,270000,-10468000,0.08771,-0.36864,-0.38703,-0.06389,-0.05515,0.55713,5.60368,0.15853,0.00079,-0.34408,-0.34408,0.88902,5.3856,-0.1917,-0.06197,-0.03452,13.91209,8.42764
"15","2014_Q2",6.63809523809524,"Down",55959000,-43634000,12325000,-22001000,-12254000,-9747000,-9676000,13000,79000,-66000,-9663000,-12403000,-308000,-12711000,-12711000,-12711000,-12711000,143997000,49199000,94798000,37057000,37057000,21319000,10931000,7372000,213304000,30049000,88825000,3988000,1708000,118874000,332178000,30267000,15921000,13814000,7392000,7392000,37799000,8866000,5837000,8866000,46665000,699681000,-414062000,-106000,285513000,285513000,332178000,-12711000,8131000,6467000,-8763000,-6876000,-1638000,-1638000,-3018000,-4629000,1425000,1425000,1294000,-10211000,-10211000,214000,-9997000,-1545000,140000,-11638000,0.22025,-0.17291,-0.22715,-0.04452,-0.03827,0.91558,5.64311,0.16344,0.00042,-0.2309,-0.2309,1.01651,5.18643,-0.21141,-0.04316,-0.03952,93.11133,14.8674
"16","2014_Q3",7.42484375,"Up",67352000,-47328000,20024000,-24265000,-13191000,-11074000,-4241000,-77000,79000,-156000,-4318000,-4377000,50999.9999999999,-4326000,-4326000,-4326000,-4326000,149041000,69859000,79182000,41962000,41962000,22050000,11099000,7476000,224152000,29210000,83766000,3983000,1726000,112976000,337128000,36086000,18388000,17205000,7238000,7238000,43324000,8790000,5761000,8790000,52114000,703133000,-418388000,269000,285014000,285014000,337128000,-4326000,8054000,4742000,-2115000,6355000,-1356000,-1356000,15600000,14271000,1000,1000.00000000047,-139000,20487000,20487000,173000,20660000,3813000,0,291000,0.2973,-0.06297,-0.06423,-0.01518,-0.01283,-0.06727,5.17385,0.18285,0,-0.07751,-0.07751,1.20677,5.10668,0.00520999999999999,-0.01472,0.000990000000000005,-39.0876,35.14289
"17","2014_Q4",7.8528125,"Up",73934000,-49792000,24142000,-24507000,-13309000,-11198000,-365000,303000,75000,228000,-62000,-176000,-101000,-277000,-277000,-277000,-277000,154367000,89264000,65103000,47776000,47776000,25902000,11349000,7730000,239394000,26610000,78527000,3881000,1660000,105137000,344531000,40994000,21267000,19102000,5466000,5466000,46460000,8840000,5811000,8840000,55300000,708496000,-418665000,-6e+05,289231000,289231000,344531000,-277000,7970000,6850000,-8607000,5936000,-725000,-1545000,14048000,13354000,1387000,1387000,1387000,20677000,20677000,-1272000,19405000,7605000,0,-1626000,0.32653,-0.00494,-0.00375,-0.00096,-8e-04,5.87004,5.15269,0.1912,0,-0.00492,-0.00492,1.31326,5.1375,-0.02888,-0.00093,-0.00546,-20.29809,422.92329
"18","2015_Q1",8.69065573770492,"Up",71285000,-50337000,20948000,-23337000,-12631000,-10706000,-2389000,224000,69000,155000,-2165000,-3139000,1268000,-1871000,-1871000,-1871000,-1871000,163837000,113940000,49897000,45152000,45152000,25548000,9737000,6919000,244274000,25498000,74471000,3466000,1585000,99969000,344243000,41559000,20274000,21217000,6303000,6303000,47862000,6945000,4737000,6945000,54807000,711676000,-420536000,-1704000,289436000,289436000,344243000,-1871000,6336000,7084000,695000,12244000,-837000,-1131000,15150000,14343000,4.65661287307739e-10,-2.3283064365387e-10,-4.65661287307739e-10,26587000,26587000,-1911000,24676000,3947000,7.27595761418343e-12,2537000,0.29386,-0.03351,-0.02625,-0.00646,-0.00544,-1.35596,5.10371,0.18936,0,-0.03313,-0.03313,1.26231,5.1253,0.04492,-0.00631,0.00856,-41.50925,68.5797399999999
"19","2015_Q2",9.07349206349206,"Up",70829000,-48040000,22789000,-22968000,-11882000,-11086000,-179000,1586000,85000,1501000,1407000,904000,-121000,783000,783000,783000,783000,171653000,125993000,45660000,41055000,41055000,24571000,8185000,6154000,245464000,25077000,70978000,3477000,1266000,96055000,341519000,33334000,16143000,17033000,5962000,5962000,39296000,6854000,4646000,6854000,46150000,716819000,-419753000,-1697000,295369000,295369000,341519000,783000,5884000,4685000,-3963000,7389000,-1443000,-1443000,4248000,2835000,1694000,1694000,1694000,11918000,11918000,135000,12053000,5705000,0,420000,0.32175,-0.00253,0.01105,0.00265,0.00229,0.5364,6.24654,0.15625,0,0.01331,0.01331,1.2038,5.02004,0.00714,0.00259,0.00139,-30.08817,958.95531
"20","2015_Q3",6.98484375,"Down",73885000,-50581000,23304000,-22599000,-11383000,-11216000,705000,165000,64000,101000,870000,862000,-23999.9999999998,838000,838000,838000,838000,178756000,137088000,41668000,43979000,43979000,24247000,9632000,7602000,256614000,24485000,67654000,3437000,1299000,92139000,348753000,41289000,21449000,19660000,5766000,5766000,47055000,6690000,4482000,6690000,53745000,715921000,-418915000,-1998000,295008000,295008000,348753000,838000,6024000,4890000,2529000,14281000,-2802000,-2802000,3991000,1194000,-3399000,109000,-3399000,12076000,12076000,-981000,11095000,6729000,1.16415321826935e-10,6480000,0.31541,0.00954000000000001,0.01134,0.00284,0.0024,7.7327,5.45349,0.18218,0,0.01423,0.01423,1.2542,5.00777,0.11,0.00278,0.02148,-26.56502,-253.55461
"21","2015_Q4",8.300625,"Up",65862000,-47407000,18455000,-21753000,-11108000,-10645000,-3298000,1046000,64000,982000,-2252000,-2311000,-214000,-2525000,-2525000,-2525000,-2525000,183839000,142185000,41654000,36682000,36682000,2.7e+07,8530000,6501000,256051000,23821000,64340000,3440000,1300000,88161000,344212000,39817000,21159000,18492000,4215000,4215000,44032000,6646000,4438000,6646000,50678000,717140000,-421440000,-2166000,293534000,293534000,344212000,-2525000,5967000,3140000,949000,7531000,-1199000,-2399000,8000,-1182000,-1873000,1615000,-1873000,4476000,4476000,621000,5097000,2669000,0,2633000,0.28021,-0.05007,-0.03834,-0.0086,-0.00734,-1.04277,5.81511,0.17265,0,-0.04548,-0.04548,1.18621,5.28671,0.04742,-0.00841,0.00877,-68.87936,55.74257
"22","2016_Q1",7.59803278688525,"Down",71782000,-50592000,21190000,-21954000,-10717000,-11237000,-764000.000000001,34999.9999999998,70000,-34999.9999999998,-729000.000000001,-725999.999999999,107000,-619000,-619000,-619000,-619000,187589000,146264000,41325000,36725000,36725000,27223000,6481000,6481000,258018000,23853000,60852000,3281000,1288000,84705000,342723000,39689000,18072000,21507000,3892000,3892000,43581000,4461000,4461000,4461000,48042000,718904000,-422059000,-2164000,294681000,294681000,342723000,-619000.000000002,5896000,4571000,-2927000,6921000,-1996000,-1996000,269000,-1718000,-1214000,0,-1214000,3989000,3989000,90000.0000000002,4079000,5132000,-9.31322574615479e-10,102000,0.2952,-0.01064,-0.00862000000000003,-0.0021,-0.00180999999999999,-0.16478,5.92042,0.16303,3.46944695195361e-18,-0.01065,-0.01065,1.23487,5.06943,0.00175000000000001,-0.00207,0.000340000000000003,-36.55281,245.53534
"23","2016_Q2",7.52453125,"Down",53611000,-43819000,9792000,-23365000,-12516000,-10849000,-13573000,-197000,117000,-314000,-13770000,-13770000,-30000,-13800000,-13800000,-13800000,-13800000,187183000,151913000,35270000,35743000,35743000,30993000,4417000,4417000,258336000,23707000,58485000,3339000,1592000,82192000,340528000,46241000,28611000,17477000,3406000,3406000,49647000,4670000,4670000,4670000,54317000,723651000,-435859000,-1581000,286211000,286211000,340528000,-13800000,5239000,3314000,2215000,-3032000,-1111000,-1111000,6109000,5007000,1961000,1961000,1961000,3936000,3936000,1713000,5649000,-8334000,0,-7200000,0.18265,-0.25318,-0.25741,-0.04822,-0.04053,0.52174,5.20346,0.18978,0,-0.23618,-0.23618,0.91751,4.89827,-0.12322,-0.04744,-0.02475,22.46016,13.79083
"24","2016_Q3",10.06390625,"Up",83083000,-57656000,25427000,-25163000,-14030000,-11133000,263999.999999998,-214000,88000,-302000,50000,-6860000,43744000,36884000,36884000,36884000,36884000,118333000,100225000,18108000,86137000,86137000,68357000,11611000,10094000,284438000,43791000,367027000,3926000,2438000,410818000,695256000,106813000,54063000,51088000,4868000,4868000,118758000,11497000,5835000,152914000,271672000,823222000,-398975000,-663000,423584000,423584000,695256000,36884000,5171000,-40951000,-1662000,-558000,-2469000,-2522000,17204000,-200474000,0,0,148494000,-52538000,-52538000,850000,-51688000,5435000,148494000,-42440000,0.30604,0.00318000000000002,0.44394,0.08708,0.05305,-1.15063,2.39511,0.64137,0.21358,0.60618,0.60618,1.36544,6.96146,-0.69749,0.0632,-0.07272,5.5494,114.24621
"25","2016_Q4",10.6619047619048,"Up",123299000,-96111000,27188000,-40260000,-23007000,-17253000,-13072000,-991000,-1074000,83000,-14063000,-14148000,-49000,-14197000,-14197000,-14197000,-14197000,107413000,99908000,7505000,77530000,77530000,60677000,14457000,12946000,260077000,42678000,347557000,3966000,2420000,390235000,650312000,71136000,41584000,29466000,4934000,4934000,85030000,11883000,6104000,149660000,234690000,828684000,-413172000,110000,415622000,415622000,650312000,-14197000,23164000,12184000,-15073000,6078000,-4584000,-4584000,10600000,-6894000,2044000,2044000,169000,-647000,-647000,330000,-317000,10092000,146737000,-9516000,0.2205,-0.10602,-0.11514,-0.03416,-0.02183,0.67028,3.05865,0.56467,0.22564,-0.19798,-0.19798,1.71946,5.79603,-0.1327,-0.02472,-0.01657,3.89655,-3.00826
"26","2017_Q1",11.5916129032258,"Up",123888000,-83613000,40275000,-42109000,-23891000,-18218000,-1834000,-886000,-1195000,309000,-2720000,-15417000,-27000,-15444000,-15444000,-15444000,-15444000,108905000,101408000,7497000,70225000,70225000,59806000,15773000,14276000,254709000,42663000,321610000,3310000,3682000,364273000,618982000,64701000,34075000,30184000,5305000,5305000,82707000,9744000,6041000,135219000,217926000,833341000,-428616000,-3669000,401056000,401056000,618982000,-15444000,13224000,21333000,-4178000,14935000,-3304000,-3304000,0,-3178000.00000003,1740000,1740000,-7010000,4747000,4747000,-2494000,2253000,11390000,138176000,3935000,0.32509,-0.0148,-0.12466,-0.03851,-0.02495,-0.25479,3.07965,0.54338,0.22323,-0.22455,-0.22455,1.80127,5.83117,0.05721,-0.02813,0.00717,2.56989,-15.9602
"27","2017_Q2",12.8968253968254,"Up",128829000,-81258000,47571000,-40243000,-22829000,-17414000,7328000,-1507000,-1107000,-4e+05,5821000,5552000,-367000,5185000,5185000,5185000,5185000,121934000,114437000,7497000,79439000,79439000,60371000,12457000,11348000,274201000,45153000,313313000,3322000,3362000,358466000,632667000,69658000,43316000,26292000,6590000,6590000,90849000,9596000,5826000,126468000,217317000,840786000,-423301000,-2135000,415350000,415350000,632667000,5185000,11511000,5747000,-4640000,17803000,-3465000,-3465000,0,-3451000,4704000,7437000,-2651000,11701000,11701000,1260000,12961000,18839000,131473000,11101000,0.36926,0.05688,0.04025,0.01248,0.0082,2.14098,3.01821,0.52321,0.20781,0.0711,0.0711,1.76667,5.69581,0.15223,0.00932,0.01995,0.50634,1.30172
"28","2017_Q3",14.2226984126984,"Up",143976000,-82209000,61767000,-42144000,-23602000,-18542000,19623000,-962000,-1070000,108000,18661000,18617000,-1040000,17577000,17577000,17577000,17577000,129973000,107817000,22156000,91710000,91710000,64951000,14097000,13001000,300731000,45667000,3.07e+08,3302000,2727000,352667000,653398000,76790000,43179000,33444000,9452000,9452000,104622000,9664000,5594000,114170000,218792000,839824000,-405725000,507000,434606000,434606000,653398000,17577000,11032000,5003000,-9134000,24478000,-4294000,-4294000,-14690000,-18969000,-351000,7048000,-13082000,-7573000,-7573000,605000,-6968000,30655000,122886000,18267000,0.42901,0.13629,0.12208,0.04044,0.0269,1.03926,2.87445,0.50343,0.18807,0.23931,0.23931,1.96024,5.91719,0.24871,0.03099,0.03221,-0.23119,-0.36116
"29","2017_Q4",16.7346031746032,"Up",-154515000,90306000,-64209000,40892000,22982000,17910000,-23317000,1247000,1467000,-220000,-22070000,-21757000,1120000,-20637000,-20637000,-20637000,-20637000,134892000,103083000,31809000,87950000,87950000,68667000,15226000,13385000,306735000,46555000,300264000,3299000,2521000,346819000,653554000,68439000,37103000,30747000,6590000,6590000,97189000,9392000,5161000,101515000,198704000,846015000,-393161000,1996000,454850000,454850000,653554000,12563000,11012000,6563000,-12553000,17585000,-6159000,-6159000,-9683000,-15823000,3792000,4623000,-7114000,-5352000,-5352000,616000,-4736000,-12305000,114283000,-32137000,0.41555,0.1509,0.13356,-0.04537,-0.03158,1.55725,3.15607,0.43686,0.17486,-0.29507,-0.27794,-2.20928,6.50352,-0.4595,-0.03567,-0.05555,1.67485,0.88386
