"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",13.9527419354839,"Down",308656000,-200926000,107730000,-79972000,-15503000,-11828000,-52641000,27758000,-462000,-603000,141000,27296000,-24000,27272000,-8778000,18494000,18494000,-427000,18067000,18067000,84320000,84320000,13683000,13683000,9521000,10846000,5032000,118370000,523482000,132645000,8235000,110946000,13464000,656127000,774497000,101990000,27645000,62532000,18334000,18334000,120653000,47176000,4714000,38078000,98528000,219181000,225882000,326721000,549916000,5400000,555316000,774497000,18494000,11828000,2146000,-1012000,31456000,-20450000,-20450000,1916000,20000,-4469000,6537000,6537000,6537000,39586000,51681000,26902000,0.34903,0.08993,0.05853,0.03253,0.02333,1.48901,0.98108,0.3947,0.06673,0.25633,0.25118,4.37922,7.80222,0.38169,0.03729,0.04112,-0.82451,-1.17584
"12","2013_Q1",15.5405,"Up",309531000,-200521000,109010000,-85374000,-17451000,-11996000,-55927000,23636000,-446000,-571000,125000,23190000,-1561000,21629000,-6923000,14706000,14706000,-782000,13924000,13924000,81746000,81746000,16416000,16416000,10909000,13401000,7191000,122472000,531654000,137128000,9264000,113435000,14429000,668782000,791254000,105283000,32374000,59774000,53041000,53041000,158662000,50591000,6102000,40473000,101855000,260517000,200036000,327509000,525084000,5653000,530737000,791254000,14706000,11996000,8739000,21611000,57052000,-22966000,-27263000,-29016000,-691000,-36138000,-6349000,-6349000,-6349000,35632000,51602000,41200000,0.35218,0.07636,0.04498,0.02624,0.0176,2.95892,0.77191,0.49086,0.06522,0.19866,0.19448,4.41632,7.49178,0.58783,0.03204,0.06509,-0.84598,-1.27534
"13","2013_Q2",19.3371875,"Up",359676000,-233270000,126406000,-88181000,-17367000,-12212000,-58602000,38225000,-415000,-595000,180000,37810000,-57000,37753000,-10534000,27219000,27219000,-1048000,26171000,26171000,95453000,95453000,11051000,11051000,10438000,12137000,9241000,129079000,534670000,137679000,8689000,113543000,15447000,672349000,801428000,109412000,35780000,59732000,32594000,32594000,142343000,51465000,5410000,42359000,102648000,244991000,207646000,345303000,550684000,5753000,556437000,801428000,27219000,12212000,2284000,-2944000,38771000,-14823000,-14823000,5986000,-3010000,-10241000,13707000,13707000,13707000,50437000,51520000,43204000,0.35144,0.10628,0.07276,0.04703,0.03266,1.65083,0.90682,0.44029,0.06429,0.37733,0.37078,5.18571,7.93962,0.6229,0.05961,0.06552,-0.87105,-1.14933
"14","2013_Q3",21.38953125,"Up",352119000,-229087000,123032000,-93208000,-21789000,-12190000,-59229000,29824000,-349000,-567000,218000,29475000,-27000,29448000,-8583000,20865000,20865000,-902000,19963000,19963000,100117000,100117000,12077000,12077000,11182000,10094000,6627000,133470000,542211000,137720000,8283000,113454000,15983000,679931000,813401000,104460000,34990000,59989000,28527000,28527000,133304000,52800000,5715000,43947000,103920000,237224000,215464000,356839000,570380000,5797000,576177000,813401000,20865000,12190000,3141000,-6370000,29826000,-20332000,-20332000,4565000,-935000,-4830000,4664000,4664000,4664000,42014000,51437000,23895000,0.3494,0.0847,0.05669,0.03465,0.02454,1.19696,1.00125,0.41172,0.06324,0.28506,0.28012,5.02812,8.1448,0.34121,0.04165,0.03512,-1.15866,-1.63224
"15","2013_Q4",23.26078125,"Up",334770000,-222754000,112016000,-86217000,-17060000,-12462000,-56695000,25799000,-352000,-525000,173000,25447000,-103000,25344000,-7500000,17844000,17844000,-674000,17170000,17170000,87344000,87344000,11518000,11518000,10962000,12542000,6608000,122366000,565433000,139269000,7877000,113454000,17938000,704702000,827068000,105653000,33027000,64168000,25424000,25424000,131325000,53953000,6419000,44554000,105009000,236334000,221192000,365551000,584916000,5818000,590734000,827068000,17844000,12462000,2988000,-3207000,30087000,-35795000,-35795000,2450000,-955000,-7065000,-12773000,-12773000,-12773000,38261000,51304000,6759000,0.33461,0.07706,0.05129,0.02907,0.02076,0.39365,0.93178,0.40007,0.06203,0.24405,0.23955,4.75843,8.31402,0.09607,0.03678,0.00971,-0.94195,-1.39695
"16","2014_Q1",22.1383606557377,"Down",376020000,-247567000,128453000,-103987000,-21042000,-14698000,-68247000,24466000,-372000,-514000,142000,24094000,1588000,25682000,-7523000,18159000,18159000,-1040000,17119000,17119000,94874000,94874000,25391000,25391000,11954000,13524000,10250000,145743000,586212000,145689000,7876000,117197000,20616000,731901000,877644000,112886000,38404000,74482000,62723000,62723000,175852000,56942000,5774000,51168000,107932000,283784000,215121000,374190000,587659000,6201000,593860000,877644000,18159000,14698000,2582000,39713000,75152000,-40505000,-40298000,-10621000,306000,-27324000,7530000,7530000,7530000,39164000,51233000,45895000,0.34161,0.06507,0.04553,0.02883,0.01951,2.68094,0.82878,0.47786,0.05838,0.24243,0.23802,5.32501,8.32213,0.64994,0.04851,0.06537,-1.11431,-1.78374
"17","2014_Q2",21.8574603174603,"Down",397142000,-257526000,139616000,-99415000,-20200000,-14085000,-65130000,40201000,-346000,-558000,212000,39855000,-17000,39838000,-12230000,27608000,27608000,-1143000,26465000,26465000,90696000,90696000,16939000,16939000,11315000,14400000,11045000,133350000,596656000,144533000,7433000,117197000,19903000,741189000,874539000,137691000,40441000,76390000,40234000,40234000,178165000,57112000,5287000,49423000,108034000,286199000,193438000,390174000,582140000,6200000,588340000,874539000,27608000,14085000,2109000,1987000,45789000,-23087000,-23087000,-22910000,-3899000,-26880000,-4178000,-4178000,-4178000,54286000,51162000,45416000,0.35155,0.10123,0.06664,0.04498,0.03026,1.71608,0.74846,0.48645,0.0585,0.37736,0.37233,5.66278,8.30063,0.64758,0.03799,0.0652,-0.72825,-0.98341
"18","2014_Q3",22.59625,"Up",395363000,-260392000,134971000,-100561000,-21311000,-14433000,-64817000,34410000,-161000,-514000,353000,34249000,-9000.00000000023,34240000,-10215000,24025000,24025000,-944000,23081000,23081000,77461000,77461000,17170000,17170000,11760000,12292000,8614000,118683000,612528000,145343000,6989000,117197000,21157000,757871000,876554000,133995000,40967000,76417000,36375000,36375000,170483000,57269000,3857000,51330000,108029000,278512000,189673000,402813000,591210000,6832000,598042000,876554000,24025000,14433000,2481000,-4991000,35948000,-29691000,-29691000,-6934000,-1796000,-19492000,-13235000,-13235000,-13235000,48843000,50873000,24376000,0.34139,0.08703,0.05838,0.03859,0.02633,1.05611,0.69616,0.46571,0.05804,0.33113,0.32709,5.67203,8.48172,0.34971,0.04751,0.03452,-0.54436,-0.77268
"19","2014_Q4",26.8121875,"Up",385218000,-258559000,126659000,-97854000,-19469000,-15164000,-63221000,28805000,-82000,-492000,410000,28723000,16000,28739000,-9017000,19722000,19722000,-841000,18881000,18881000,59307000,59307000,15701000,15701000,11993000,11952000,8100000,98953000,631552000,145802000,6546000,117197000,22059000,777354000,876307000,132085000,37612000,79595000,32710000,32710000,164921000,57744000,2843000,53190000,108471000,273392000,185895000,411273000,596120000,6795000,602915000,876307000,19722000,15164000,2719000,-2037000,35568000,-35670000,-35670000,-6916000,-666000,-18052000,-18154000,-18154000,-18154000,43969000,50853000,15279000,0.3288,0.07478,0.04901,0.03132,0.02155,0.80923,0.6,0.45345,0.05803,0.2715,0.26868,5.53928,8.57196,0.21971,0.04122,0.02147,-0.19227,-0.29349
"20","2015_Q1",31.1462295081967,"Up",404425000,-268960000,135465000,-107796000,-20676000,-15497000,-71623000,27669000,107000,-520000,627000,27776000,-626000,27150000,-7528000,19622000,19622000,-1027000,18595000,18595000,86122000,86122000,34023000,34023000,14256000,13325000,10552000,147726000,649637000,145779000,6203000,116571000,23005000,795416000,943142000,136380000,43585000,80769000,79462000,79462000,215971000,61522000,6004000,55518000,112215000,328186000,189238000,419436000,607892000,7064000,614956000,943142000,19622000,15497000,8767000,30522000,74408000,-35792000,-35792000,-703999.999999999,394000,-11801000,26815000,26815000,26815000,43166000,50822000,45424000,0.33496,0.06842,0.04598,0.03024,0.01972,2.44281,0.68401,0.53367,0.05389,0.26757,0.2637,5.81932,8.74703,0.65361,0.03988,0.06246,-0.81777,-1.2758
"21","2015_Q2",31.462380952381,"Up",460230000,-300363000,159867000,-111267000,-21797000,-16335000,-73135000,48600000,-143000,-515000,372000,48457000,-1286727.63033349,48457000,-14876000,33581000,33581000,-1289000,32292000,32292000,98512000,98512000,21007000,21007000,12645000,13392000,11600000,145556000,668088000,146625000,5859000,116571000,24195000,814713000,960269000,156254000,46096000,87200000,51916000,51916000,208303000,61543000,4623000,56920000,112202000,320505000,193326000,439832000,632583000,7181000,639764000,960269000,33581000,16335000,2648000,5128000,57692000,-33428000,-33428000,1592000,-2993000,-11874000,12390000,12390000,12390000,64935000,50792000,51511000,0.34736,0.1056,0.07016,0.05047,0.03363,1.59516,0.69877,0.50097,0.05289,0.46236,0.45786,6.58968,9.05747,0.73755,0.05682,0.06849,-0.73489,-0.98189
"22","2015_Q3",33.4396875,"Up",454698000,-309299000,145399000,-113703000,-23620000,-16816000,-73267000,31696000,-28000,-495000,467000,31668000,-1675735.50840637,31668000,-9402000,22266000,22266000,-1128000,21138000,21138000,70965000,70965000,19883000,19883000,14074000,23996000,20724000,128918000,689204000,147502000,5515000,116571000,25416000,836706000,965624000,154446000,46915000,90487000,47152000,47152000,201734000,61437000,1793000,59644000,112060000,313794000,195930000,449062000,644644000,7186000,651830000,965624000,22266000,16816000,1538000,-3489000,37131000,-37496000,-37496000,-2039000,-1306000,-27182000,-27547000,-27547000,-27547000,48512000,50759000,16929000,0.31977,0.06971,0.04649,0.03243,0.02189,0.80088,0.63905,0.4814,0.05257,0.30186,0.2992,6.49337,9.20591,0.24176,0.05882,0.02216,-0.41652,-0.63749
"23","2015_Q4",31.52703125,"Down",438089000,-295166000,142923000,-112367000,-21927000,-17843000,-72597000,30556000,-21000,-470000,449000,30535000,-1626875.63227606,30535000,-9141000,21394000,21394000,-912000,20482000,20482000,72616000,72616000,22957000,22957000,13763000,12252000,8473000,121588000,723294000,147589000,5171000,116571000,25272000,870883000,992471000,152813000,41956000,91115000,42309000,42309000,215262000,61112000,0,61112000,111699000,326961000,200928000,457615000,658309000,7201000,665510000,992471000,21394000,17843000,2144000,-4696000,36685000,-53904000,-53904000,-103000,19005000,18870000,1651000,1651000,1651000,48399000,70727000,-1060000,0.32624,0.06975,0.04675,0.03078,0.02064,-0.05175,0.56484,0.49129,0.07126,0.2921,0.28954,6.24779,9.38845,-0.01512,0.02569,-0.00133,-0.03903,-0.06182
"24","2016_Q1",34.6867213114754,"Up",454351000,-300559000,153792000,-119105000,-24992000,-18700000,-75413000,34687000,-126000,-479000,353000,34561000,-974000,33587000,-9567000,24020000,24020000,-1038000,22982000,22982000,59334000,59334000,45421000,45421000,15633000,13425000,11295000,133813000,751288000,147605000,4827000,116571000,26207000,898893000,1032706000,155224000,50996000,92219000,101274000,101274000,256642000,73332000,6402000,66930000,98882000,355524000,201093000,468678000,669662000,7520000,677182000,1032706000,24020000,18700000,17652000,36061000,96433000,-48375000,-48375000,-6151000,-18227000,-61340000,-13282000,-13282000,-13282000,53387000,25694000,50640000,0.33849,0.07634,0.05058,0.03394,0.02225,2.20346,0.5214,0.52501,0.02488,0.32764,0.32337,6.4775,9.5471,0.72195,0.04498,0.06524,-0.63012,-0.96982
"25","2016_Q2",39.700625,"Up",515559000,-330701000,184858000,-132036000,-30060000,-19539000,-82437000,52822000,47000,-305000,352000,52869000,-11000,52858000,-15857000,37001000,37001000,-1408000,35593000,35593000,95992000,95992000,19195000,19195000,14395000,17628000,13379000,147210000,766331000,148073000,4488000,116571000,27014000,914404000,1061614000,165551000,50124000,90362000,67546000,67546000,233244000,78566000,8337000,70229000,129078000,362322000,200717000,490913000,691537000,7755000,699292000,1061614000,37001000,19539000,5266000,3082000,64888000,-34179000,-34179000,-2781000,-4316000,5949000,36658000,36658000,36658000,72361000,50659000,57121000,0.35856,0.10246,0.06904,0.0509,0.03353,1.60484,0.63114,0.51813,0.04772,0.50725,0.50298,7.34739,9.85531,0.81405,0.05735,0.06894,-0.62648,-0.85822
"26","2016_Q3",40.3103125,"Up",508808000,-331749000,177059000,-127247000,-26711000,-20238000,-80298000,49812000,166000,-309000,475000,49978000,-30000,49948000,-15087000,34861000,34861000,-1256000,33605000,33605000,95305000,95305000,21101000,21101000,14443000,15111000,9868000,145960000,778634000,148607000,4150000,116571000,27886000,927241000,1073201000,156950000,47242000,87545000,61775000,61775000,218876000,78731000,6165000,72566000,129203000,348079000,206408000,511139000,717425000,7697000,725122000,1073201000,34861000,20238000,3751000,-9670000.00000001,49180000,-34980000,-34980000,537000,-2030000,-14887000,-687000.000000007,-687000.000000007,-687000.000000007,70050000,50623000,40487000,0.34799,0.0979,0.06605,0.04634,0.03131,1.20479,0.66686,0.48003,0.04717,0.47755,0.47387,7.23057,10.19519,0.57535,0.05496,0.04738,-0.63786,-0.89701
"27","2016_Q4",39.8138095238095,"Down",481637000,-317453000,164184000,-125703000,-26162000,-20941000,-78600000,38481000,-284000,-288000,4000,38197000,-13000,38184000,-11381000,26803000,26803000,-1128000,25675000,25675000,81713000,81713000,22039000,22039000,14357000,15156000,9310000,133265000,802555000,148702000,3873000,116571000,28258000,951257000,1084522000,152647000,41828000,90323000,55128000,55128000,207938000,80796000,6917000,73879000,133220000,341158000,212267000,523416000,735590000,7774000,743364000,1084522000,26803000,20941000,7953000,-9983000,45714000,-44060000,-44060000,306000,-2138000,-15246000,-13592000,-13592000,-13592000,59422000,52587000,16760000,0.34089,0.0799,0.05331,0.03454,0.02367,0.65278,0.64089,0.45894,0.04849,0.36431,0.36155,6.83406,10.43745,0.23781,0.04454,0.01912,-0.49016,-0.75689
"28","2017_Q1",40.8933870967742,"Up",484710000,-320136000,164574000,-133610000,-27862000,-22246000,-83502000,30964000,-73000,-353000,280000,30891000,-125000,30766000,-8858000,21908000,21908000,-1183000,20725000,20725000,112944000,112944000,56127000,56127000,16088000,15100000,12150000,200259000,830054000,149658000,3622000,116571000,29465000,979712000,1179971000,149802000,50789000,85595000,129558000,129558000,279527000,89821000,12268000,77553000,142202000,421729000,219697000,530723000,750226000,8016000,758242000,1179971000,21908000,22246000,17881000,35248000,97283000,-51519000,-51519000,501000,-1597000,-14533000,31231000,31231000,31231000,53210000,52548000,45797000,0.33953,0.06388,0.04276,0.02733,0.01756,2.20975,0.71642,0.55619,0.04453,0.29368,0.2898,6.8685,10.63095,0.64896,0.03789,0.05085,-1.13505,-1.95052
"29","2017_Q2",44.0903174603175,"Up",567686000,-365409000,202277000,-153244000,-40248000,-22596000,-90400000,49033000,-12000,-332000,320000,49021000,-11000,49010000,-12987000,36023000,36023000,-1710000,34313000,34313000,137512000,137512000,21005000,21005000,14869000,13318000,13318000,186704000,855027000,156157000,3392000,121040000,31725000,1011184000,1197888000,190897000,54379000,107773000,86089000,86089000,277158000,86772000,5396000,81376000,139108000,416266000,219559000,550077000,769463000,12159000,781622000,1197888000,36023000,22596000,2245000,33473000,94337000,-36063000,-52591000,563000,-4283000,-17178000,24568000,24568000,24568000,71629000,52508000,82026000,0.35632,0.08637,0.06044,0.0439,0.02864,2.39052,0.67364,0.53257,0.04383,0.48479,0.48102,8.02054,10.87135,1.1589,0.05183,0.08907,-1.18673,-1.73361
