"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","net_fixed_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",8.3003125,"Up",9377000,6469000,7702000,-1233000,2908000,-167000,9210000,-6126000,-6126000,3084000,3084000,3084000,-932000,2152000,2152000,2152000,2152000,12404000,45125000,365037000,479484000,17722000,4074000,25314000,949160000,772446000,460043000,312403000,57118000,8963000,838527000,2003000,103862000,4768000,110633000,110633000,949160000,2152000,304000,3944000,-846000,5554000,-427000,-6317000,13166000,6422000,-931000,-6725000,9194000,1461000,13437000,13437000,13437000,3388000,57118000,3047000,0.32889,0.2295,0.01945,0.00227,1.41589,7.57936,0.06018,0.22973,0.22973,1.00103,11.81053,0.32528,0.09939,0.00325,0.00321,0.43262,13.19776,14.4987
"12","2013_Q3",8.414375,"Up",9393000,6581000,7765000,-1184000,2812000,-112000,9281000,-5770000,-5770000,3511000,3511000,3511000,-1009000,2502000,2502000,2502000,2502000,15054000,7409000.00000001,358690000,495777000,18287000,4074000,23042000,922333000,747612000,450327000,297285000,62758000,4673000,815043000,2e+06,105434000,-144000,107290000,107290000,922333000,2502000,305000,809000.000000001,179999.999999999,3796000,-873000,-59688000,41819000,-18742000,-930000,5641000,-24834000,-20120000,-35066000,-35066000,-35066000,3816000,62758000,4132000,0.37379,0.26637,0.02332,0.00271,1.65148,7.59664,0.06804,0.26731,0.26731,1.00354,11.46273,0.44146,0.09936,0.00372,0.00448,0.3717,12.50105,13.58701
"13","2013_Q4",8.35338709677419,"Down",9398000,6715000,7844000,-1129000,2683000,-303000,9095000,-6238000,-6238000,2857000,2857000,2857000,-791000,2066000,2066000,2066000,2066000,15928000,5607000,341514000,518296000,18452000,4074000,24287000,928158000,745568000,442943000,302625000,69350000,5459000,820377000,1569000,106589000,-377000,107781000,107781000,928158000,2066000,307000,429000,-440000,2362000,-504000,11417000,-17198000,-6285000,-930000,6594000,-2044000,2995000,-928000,-928000,-928000,3164000,69350000,3011000,0.304,0.21983,0.01917,0.00223,1.45741,7.61152,0.07472,0.2206,0.2206,1.00349,11.50851,0.3215,0.0993,0.00323,0.00324,0.45015,16.88432,18.69863
"14","2014_Q1",9.29573770491803,"Up",9494000,7059000,8117000,-1058000,2435000,-276000,9218000,-6067000,-6067000,3151000,3151000,3151000,-864000,2287000,2287000,2287000,2287000,18265000,998000,328725000,570919000,18709000,4074000,24248000,965938000,776464000,450827000,325637000,75223000,5634000,857321000,701000,107910000,5999.99999999988,108617000,108617000,965938000,2287000,268000,731000,1995000,5281000,-259000,-14366000,-13942000,-13352000,-928000,5834000,1430000.00000001,5799000,-2272000,-2272000,-2272000,3419000,75223000,6019000,0.33189,0.24089,0.02106,0.00237,2.63183,7.89306,0.07788,0.25201,0.24539,1.04618,11.96897,0.66326,0.10226,0.00333,0.00623,0.40577,16.65926,18.07617
"15","2014_Q2",9.81825396825397,"Up",9464000,7215000,8159000,-944000,2249000,-428000,9036000,-6204000,-6204000,2832000,2832000,2832000,-874000,1958000,1958000,1958000,1958000,20670000,6914000,311442000,577547000,18540000,4074000,25480000,964667000,790264000,447552000,342712000,59742000,6099000,856105000,963000,108898000,-1299000,108562000,108562000,964667000,1958000,361000,1440000,-1082000,2677000,-192000,6799000,1783000,8390000,-967000,-15481000,13800000,-2746000,8321000,8321000,8321000,3193000,59742000,2793000,0.29924,0.20689,0.01804,0.00203,1.42646,7.88586,0.06193,0.21112,0.21112,1.02045,11.70563,0.30115,0.10427,0.00303,0.0029,0.49387,12.23677,13.79661
"16","2014_Q3",10.19359375,"Up",9923000,7334000,8304000,-970000,2589000,-444000,9479000,-6045000,-6045000,3434000,3434000,3434000,-881000,2553000,2553000,2553000,2553000,15455000,3643000,288345000,592176000,19962000,4074000,24573000,948228000,761072000,434263000,326809000,71029000,5594000,837695000,487000,110489000,-443000,110533000,110533000,948228000,2553000,358000,4530000,-543000,6898000,-1780000,4051000,1695000,3966000,-971000,11291000,-29192000,-19350000,-8486000,-8486000,-8486000,3792000,71029000,2350000,0.34606,0.25728,0.0231,0.00269,0.92049,7.57869,0.07491,0.27588,0.27588,1.07231,11.94451,0.25395,0.10493,0.00372,0.00248,0.38034,14.65559,16.18346
"17","2014_Q4",10.46796875,"Up",10337000,7576000,8471000,-895000,2761000,-282000,10055000,-6579000,-6579000,3476000,3476000,3476000,-1002000,2474000,2474000,2474000,2474000,12058000,5221000,256836000,602688000,20293000,4074000,24071000,925241000,744906000,419884000,325022000,63184000,5129000,813219000,761000,112059000,-798000,112022000,112022000,925241000,2474000,372000,719000,-85000,3480000,-712000,2440000,17945000,19673000,-959000,-7847000,-16166000,-24972000,-1819000,-1819000,-1819000,3848000,63184000,4053000,0.33627,0.23933,0.02208,0.00267,1.63824,7.25946,0.06829,0.27334,0.26768,1.14207,12.37657,0.44779,0.10595,0.00371,0.00438,0.38763,13.28638,14.70829
"18","2015_Q1",10.563606557377,"Up",10197000,7612000,8519000,-907000,2585000,-37000,10160000,-6385000,-6385000,3775000,3775000,3775000,-1114000,2661000,2661000,2661000,2661000,22246000,2049000,252209000,616021000,20300000,4074000,24314000,941213000,762560000,418689000,343871000,56927000,7233000,826720000,294000,113755000,444000,114493000,114493000,941213000,2661000,202000,901000,2344000,6108000,-224000,4551000,-14348000,-9522000,-967000,-6257000,17654000,10430000,7016000,7016000,7016000,3977000,56927000,7211000,0.37021,0.26096,0.02324,0.00283,2.70988,7.2207,0.06048,0.28962,0.28752,1.10984,12.46135,0.78484,0.10525,0.00385,0.00766,0.3634,8.72039,9.18702
"19","2015_Q2",10.9312698412698,"Up",9883000,7326000,8184000,-858000,2557000,-114000,9769000,-6565000,-6565000,3204000,3204000,3204000,-853000,2351000,2351000,2351000,2351000,28525000,16576000,249787000,608732000,19997000,4074000,23704000,951395000,776687000,424840000,351847000,52704000,5473000,834864000,-126000,115143000,1514000,116531000,116531000,951395000,2351000,390000,931000,-1804000,1868000,-88000,-12442000,23017000,10487000,-965000,-4221000,14127000,8451000,20806000,20806000,20806000,3594000,52704000,2555000,0.32419,0.23788,0.02017,0.00247,1.08677,7.16431,0.0554,0.25608,0.25425,1.07649,12.69291,0.2783,0.10511,0.00349,0.00269,0.41046,6.7276,7.5465
"20","2015_Q3",10.99234375,"Up",10117000,7418000,8289000,-871000,2699000,-183000,9934000,-6381000,-6381000,3553000,3553000,3553000,-956000,2597000,2597000,2597000,2597000,21073000,1014000,257324000,614664000,20261000,4074000,24153000,942563000,761648000,418195000,343453000,58990000,5033000,825671000,-63000,116735000,220000,116892000,116892000,942563000,2597000,390000,-114000,-349000,2524000,-706000,-23361000,8288000.00000001,-15779000,-962000,6242000,-15039000,-9759000,-23014000,-23014000,-23014000,3943000,58990000,3844000,0.35119,0.2567,0.02222,0.00276,1.48017,7.06354,0.06258,0.28379,0.28177,1.10555,12.77353,0.42006,0.10512,0.00378,0.00408,0.37043,9.61628,10.67183
"21","2015_Q4",10.96171875,"Down",10336000,7509000,8444000,-935000,2827000,-243000,10093000,-6512000,-6512000,3581000,3581000,3581000,-961000,2620000,2620000,2620000,2620000,30352000,866000,248503000,629074000,20107000,4074000,24546000,957522000,768042000,417702000,350340000,62513000,7474000,838029000,-71000,118422000,1142000,119493000,119493000,957522000,2620000,396000,830000,1393000,5239000,-243000,-4524000,-246000,-5013000,-1007000,3521000,6394000,8905000,9131000,9131000,9131000,3977000,62513000,6088000,0.34646,0.25348,0.02193,0.00274,2.32366,7.01321,0.06529,0.28602,0.28383,1.12835,13.04466,0.66461,0.10993,0.00379,0.00636,0.38435,8.08675,8.98101
"22","2016_Q1",11.515737704918,"Up",10515000,7810000,8733000,-923000,2705000,-85000,10430000,-6609000,-6609000,3821000,3821000,3821000,-1049000,2772000,2772000,2772000,2772000,21333000,685000,238832000,679821000,20587000,4074000,23736000,989068000,771339000,409337000,362002000,89822000,7810000,868971000,-303000,120188000,212000,120097000,120097000,989068000,2772000,189000,586000,1631000,5178000,-679000,5525000,-48513000,-43667000,-1009000,27311000,3297000,29289000,-9200000,-9200000,-9200000,4010000,89822000,6011000,0.36339,0.26362,0.02308,0.0028,2.16847,7.23558,0.09081,0.30248,0.30248,1.14739,13.10494,0.65592,0.1101,0.00382,0.00608,0.364,17.07955,17.92437
"23","2016_Q2",12.050625,"Up",10678000,8008000,9004000,-996000,2670000,-277000,10401000,-6986000,-6986000,3415000,3415000,3415000,-934000,2481000,2481000,2481000,2481000,25205000,2663000,230229000,701375000,20872000,4074000,24650000,1009068000,798132000,425435000,372697000,80395000,7858000,886385000,-402000,121664000,1421000,122683000,122683000,1009068000,2481000,367000,1072000,-1613000,2307000,-653000,-7177000,-6754000,-14584000,-1007000,-9425000,26793000,16167000,3890000,3890000,3890000,3782000,80395000,2450000,0.31982,0.23235,0.02022,0.00246,0.98751,7.225,0.07967,0.27141,0.27141,1.16813,13.42101,0.26802,0.11016,0.00346,0.00243,0.40588,14.59281,16.16105
"24","2016_Q3",13.20375,"Up",11224000,8340000,9387000,-1047000,2884000,-339000,10885000,-6657000,-6657000,4228000,4228000,4228000,-1254000,2974000,2974000,2974000,2974000,22895000,2444000,220780000,725198000,21295000,4074000,24589000,1021275000,802846000,427796000,375050000,86993000,6548000,896387000,-323000,123587000,1624000,124888000,124888000,1021275000,2974000,368000,-19000,-1676000,1647000,-796000,-15458000,1817000,-14437000,-1005000,6552000,4714000.00000001,10261000,-2529000,-2529000,-2529000,4596000,86993000,3378000,0.37669,0.26497,0.02381,0.00291,1.13584,7.17753,0.08518,0.32555,0.32555,1.22865,13.67098,0.36978,0.11001,0.0039,0.00331,0.33793,13.94648,15.16036
"25","2016_Q4",14.6536507936508,"Up",11406000,8491000,9590000,-1099000,2915000,-308000,11098000,-6922000,-6922000,4176000,4176000,4176000,-1161000,3015000,3015000,3015000,3015000,30896000,2517000,228190000,732070000,21356000,4074000,25344000,1044447000,838101000,452657000,385444000,70540000,8863000,917504000,-410000,125723000,1630000,126943000,126943000,1044447000,3015000,377000,758000,1525000,5675000,-452000,-10298000,-4556000,-15306000,-1050000,-16455000,35255000,17750000,8119000,8119000,8119000,4553000,70540000,6787000,0.36612,0.26433,0.02375,0.00289,2.25108,7.22768,0.06754,0.08245,0.08245,0.31192,3.47155,0.18561,0.02871,0.00389,0.0065,0.34826,8.70723,9.4933
"26","2017_Q1",17.1337096774194,"Up",11564000,8665000,9746000,-1081000,2899000,-197000,11367000,-6866000,-6866000,4501000,4501000,4501000,-1307000,3194000,3194000,3194000,3194000,27348000,2889000,222244000,753365000,21457000,4074000,24518000,1055895000,842203000,425367000,416836000,81377000,6738000,930318000,-320000,127869000,-1972000,125577000,125577000,1055895000,3194000,352000,-1259000,514000,2801000,-505000,-40020000,20662000,-19863000,-1053000,10837000,4102000.00000001,13886000,-3176000,-3176000,-3176000,4853000,81377000,6169000,0.38923,0.2762,0.02543,0.00302,1.93143,7.40835,0.07707,0.17443,0.17443,0.63153,6.85798,0.3369,0.05751,0.00402,0.00584,0.32968,11.13311,12.00378
"27","2017_Q2",21.9222222222222,"Up",11126000,8542000,9721000,-1179000,2584000,-73000,11053000,-7071000,-7071000,3982000,3982000,3982000,-1143000,2839000,2839000,2839000,2839000,38842000,2897000,210105000,765423000,21222000,4074000,24988000,1067551000,894691000,424174000,470517000,39014000,6129000,939834000,-218000,129655000,-1720000,127717000,127717000,1067551000,2839000,455000,2472000,-352000,5414000,-220000,6681000,-9375000,-2914000,-1053000,-42363000,52488000,9072000,11572000,11572000,11572000,4437000,39014000,5008000,0.3579,0.25517,0.02223,0.00266,1.764,7.35872,0.03655,0.15504,0.15504,0.60762,6.97492,0.2735,0.05751,0.00365,0.00469,0.37091,0.03876,0.04319
"28","2017_Q3",28.5730158730159,"Up",11644000,8871000,10124000,-1253000,2773000,-25000,11619000,-7098000,-7098000,4521000,4521000,4521000,-1298000,3223000,3223000,3223000,3223000,28613000,3187000,199299000,785646000,20942000,4074000,24414000,1066175000,877475000,413469000,464006000,51239000,6226000,934940000,-117000,131734000,-382000,131235000,131235000,1066175000,3223000,515000,1045000,-1870000,2913000,-249000,4709000,-11873000,-7413000,-1053000,12134000,-17216000,-6135000,-10635000,-10635000,-10635000,5036000,51239000,4215000,0.38827,0.27679,0.02456,0.00302,1.30779,7.12417,0.04806,0.17602,0.17602,0.63591,7.16704,0.23019,0.05751,0.00401,0.00395,0.32671,4.49285,5.00464
"29","2017_Q4",34.7657142857143,"Up",11837000,9202000,10535000,-1333000,2635000,-99000,11738000,-7357000,-7357000,4381000,4381000,4381000,-1159000,3222000,3222000,3222000,3222000,48313000,3332000,196528000,790482000,21473000,4074000,25953000,1090155000,903366000,418492000,484874000,46743000,7157000,957266000,-738000,134320000,-693000,132889000,132889000,1090155000,3222000,456000,827000,-716000,3789000,-990000,2038000,-5011000,-3963000,-1144000,-4545000,25891000,20019000,19845000,19845000,19845000,4837000,46743000,4290000,0.37011,0.2722,0.02425,0.00296,1.33147,7.2035,0.04288,0.35181,0.35181,1.29247,14.51,0.46842,0.12491,0.004,0.00394,0.35506,-0.32458,-0.35837
"30","2018_Q1",34.6049180327869,"Down",12249000,9506000,10868000,-1362000,2743000,-25000,12224000,-7205000,-7205000,5019000,5019000,5019000,-1583000,3436000,3436000,3436000,3436000,33480000,5005000,200077000,817377000,21617000,4074000,25379000,1107009000,919340000,421515000,497825000,45688000,7844000,972872000,-614000,136577000,-1826000,134137000,134137000,1107009000,3436000,187000,-572000,4091000,7142000,-335000,-5678000,-29479000,-35492000,-1193000,-1055000,15974000,13713000,-14637000,-14637000,-14637000,5206000,45688000,10545000,0.40975,0.28051,0.02562,0.0031,3.06898,7.25282,0.04127,0.37456,0.37456,1.33528,14.62251,1.14953,0.13005,0.00418,0.00953,0.34721,2.34499,2.43236
"31","2018_Q2",37.5490625,"Up",12283000,9673000,11136000,-1463000,2610000,-40000,12243000,-7640000,-7640000,4603000,4603000,4603000,-836000,3767000,3767000,3767000,3767000,39349000,4578000,196576000,830706000,21980000,4074000,26479000,1123742000,953338000,432240000,521098000,29500000,6027000,988865000,-468000,139483000,-4138000,134877000,134877000,1123742000,3767000,448000,-1206000,-3998000,-989000,-813000,791000,-10165000,-10187000,-1193000,-16188000,33998000,16617000,5441000,5441000,5441000,5051000,29500000,1076000,0.37475,0.30668,0.02793,0.00335,0.28564,7.33161,0.02625,0.41064,0.41064,1.33896,14.70285,0.11729,0.13005,0.00441,0.00096,0.3167,-1.94991,-2.13969
"32","2018_Q3",39.5993650793651,"Up",12816000,10010000,11537000,-1527000,2806000,-132000,12684000,-7638000,-7638000,5046000,5046000,5046000,-932000,4114000,4114000,4114000,4114000,31838000,4745000,190753000,825139000,21957000,4074000,26826000,1105332000,930766000,419514000,511252000,30182000,6808000,967756000,-344000,142330000,-4410000,137576000,137576000,1105332000,4114000,471000,2428000,1660000,8673000,-340000,5235000,2261000,7156000,-1192000,591000,-22572000,-23173000,-7344000,-7344000,-7344000,5517000,30182000,7769000,0.39373,0.321,0.0299,0.00372,1.88843,7.03434,0.02731,0.44846,0.44846,1.39706,14.99706,0.84689,0.12994,0.0048,0.00703,0.28974,-0.300159999999999,-0.32818
"33","2018_Q4",36.718253968254,"Down",12671000,9988000,11753000,-1765000,2683000,-47000,12624000,-8126000,-8126000,4498000,4498000,4498000,-623000,3875000,3875000,3875000,3875000,28782000,4958000,186792000,833622000,22117000,4074000,27667000,1108012000,928859000,416898000,511961000,33313000,6493000,968665000,-1820000,146072000,-4905000,139347000,139347000,1108012000,3875000,492000,-2092000,-186000,2089000,-758000,-3680000,59000,-4379000,-1284000,3128000,-1907000,-553000,-2843000,-2843000,-2843000,4990000,33313000,4669000,0.35498,0.30582,0.02781,0.0035,1.2049,6.95146,0.03007,0.42205,0.42205,1.38008,15.17718,0.50853,0.13985,0.00466,0.00421,0.33135,0.90802,1.00734
"34","2019_Q1",28.0783606557377,"Down",12951000,10186000,12003000,-1817000,2765000,-105000,12846000,-8743000,-8743000,4103000,4103000,4103000,-910000,3193000,3193000,3193000,3193000,37492000,4892000,172126000,840094000,22615000,4074000,34870000,1116163000,928790000,415114000,513676000,33560000,10526000,972876000,-1586000,147887000,-3014000,143287000,143287000,1116163000,3193000,467000,2607000,-5303000,964000.000000001,-717000,13599000,-4001000,8881000,-1287000,154999.999999998,-69000,-1201000,8644000,8644000,8644000,4570000,33560000,-539999.999999999,0.31681,0.24654,0.02228,0.00286,-0.16912,6.7897,0.03007,0.34739,0.34739,1.40903,15.58917,-0.05875,0.14002,0.00401,-0.00048,0.40307,-0.86039,-0.95832
"35","2019_Q2",27.0973015873016,"Down",15472000,12777000,15862000,-3085000,2695000,-30000,15442000,-11511000,-11511000,3931000,3931000,3931000,-707000,3224000,3224000,3224000,3224000,48740000,37618000,180471000,1092688000,25205000,47340000,33599000,1465661000,1187424000,531804000,655620000,51857000,9446000,1248727000,69080000,149466000,-1612000,216934000,216934000,1465661000,3224000,654000,368000,3557000,7803000,-704000,1813000,16148000,15168000,-1379000,-30311000,52416000,20513000,43484000,43484000,43484000,4585000,51857000,8145000,0.25407,0.20838,0.01486,0.0022,2.52636,5.75625,0.03538,0.29292,0.29292,1.40572,19.70977,0.74002,0.12529,0.00314,0.00556,0.42773,0.67983,0.79293
"36","2019_Q3",24.204375,"Down",17515000,14534000,18283000,-3749000,2981000,-133000,17382000,-9712000,-9712000,7670000,7670000,7670000,-1490000,6180000,6180000,6180000,6180000,108085000,19702000,210204000,1086357000,26013000,47340000,32846000,1530547000,1242347000,569332000,673015000,53288000,10865000,1306500000,69248000,153993000,806000,224047000,224047000,1530547000,6180000,663000,-2851000,1302000,5294000,-1465000,-26573000,9694000,-18344000,-1655000,1294000,54840000,54479000,41429000,41429000,41429000,8333000,53288000,9660000,0.43791,0.35284,0.02758,0.00404,1.56311,5.83137,0.03482,0.56033,0.56033,1.58806,20.314,0.87586,0.15006,0.00512,0.00631,0.2678,-6.5759,-7.14433
