"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",16.0375,"Up",588656000,-348640000,240016000,-213879000,-213879000,26137000,-5653000,-5653000,20484000,15305000,-7946000,7359000,-10832000,70000,-10762000,-10762000,44669000,44669000,96734000,96734000,485923000,94822000,43167000,722148000,137299000,235260000,64241000,115591000,372559000,1094707000,307580000,188948000,118632000,395069000,198870000,87834000,81066000,286704000,681773000,123531000,288434000,225000,412190000,744000,412934000,1094707000,-10832000,10529000,18231000,8033000,25961000,-7367000,-1040000,-6907000,-3027000,-3.9e+07,-108000,-42135000,-23081000,-23081000,-473000,-23554000,36666000,264870000,45278000,0.40774,0.0444,-0.01828,-0.02606,-0.00983,-4.20721,1.8279,1.65105,0.24196,-0.26204,-0.26078,14.33299,10.03628,1.10246,0.0737,-0.0101,0.05914,-0.28127,6.00559,8.42488
"12","2013_Q3",20.36015625,"Up",621706000,-367080000,254626000,-231071000,-231071000,23555000,-5110000,-5110000,18445000,17702000,-4081000,13621000,15283000,74000,15357000,15357000,53137000,53137000,120054000,120054000,615916000,53506000,51845000,842613000,147955000,190452000,62734000,113764000,338407000,1181020000,453541000,309806000,143735000,480077000,198917000,75625000,75625000,274542000,754619000,124975000,300770000,-27000,425718000,683000,426401000,1181020000,15283000,10340000,8394000,-24489000,9528000,-20430000,-1598000,45819000,-3021000,-4.3e+07,126000,-45895000,9452000,9452000,-984000,8468000,33895000,221917000,-6942999.99999999,0.40956,0.03789,0.0247,0.03602,0.013,-0.45211,1.75516,1.76974,0.1879,0.37141,0.36841,15.03594,10.29598,-0.16792,0.07306,0.02539,-0.00959,0.19672,4.9795,7.16536
"13","2013_Q4",21.4925,"Up",702788000,-424548000,278240000,-233572000,-233572000,44668000,-5122000,-5122000,39546000,39546000,-12495000,27051000,27284000,30000,27314000,27314000,42406000,42406000,112491000,112491000,544589000,52415000,52234000,751901000,148182000,186828000,61227000,111647000,335010000,1086911000,351848000,200706000,151142000,353958000,198963000,82031000,82031000,280994000,634952000,126263000,325059000,-21000,451301000,658000,451959000,1086911000,27284000,10517000,5800000,-17105000,26496000,-10091000,-1077000,-11168000,-3025000,-2.3e+07,157000,-25868000,-10540000,-10540000,-191000,-10731000,55185000,198963000,40484000,0.39591,0.06356,0.03887,0.06043,0.02513,1.48217,2.12427,1.40489,0.18305,0.65903,0.65406,16.95671,10.88889,0.97679,0.07299,0.04139,0.05523,0.11075,2.83695,3.5049
"14","2014_Q1",22.0913114754098,"Up",599963000,-358557000,241406000,-231227000,-231227000,10179000,-4992000,-4992000,5187000,5187000.00000001,763999.999999996,5951000,6161000,3000,6164000,6164000,82546000,82546000,129217000,129217000,547531000,33255000,29746000,792549000,143560000,213294000,59719000,53012000,356854000,1149403000,316555000,226602000,85603000,386855000,199010000,86176000,76805000,285186000,672041000,131832000,328191000,16676000,476699000,663000,477362000,1149403000,6161000,10896000,25496000,-506000,42047000,-6080000,-1520000,-7599999.99999999,-3032000,7e+06,4118000,8086000,42533000,42533000,-2393000,40140000,21075000,206010000,13725000,0.40237,0.01697,0.01027,0.01291,0.00536,2.22664,2.0487,1.40782,0.17923,0.14832,0.14712,14.43607,11.47014,0.33025,0.07295,0.01195,0.01784,0.49189,5.85832,12.12929
"15","2014_Q2",23.0809523809524,"Up",591162000,-348821000,242341000,-213615000,-213615000,28726000,-5230000,-5230000,23496000,23496000,-8020000,15476000,15476000,-47000,15429000,15429000,36668000,36668000,105746000,105746000,512811000,37913000,37913000,693138000,141818000,274006000,123796000,136256000,415824000,1108962000,337421000,195703000,141718000,337421000,199057000,79713000,79713000,278770000,616191000,134353000,340567000,17153000,492073000,698000,492771000,1108962000,15476000,9472000,3823000,7612000,36383000,-72446000,-1245000,-73691000,-3053000,-7e+06,966000,-9087000,-46395000,-46395000,517000,-45878000,38198000,199057000,-18616000,0.40994,0.04859,0.0261,0.03131,0.01391,-1.20656,2.05422,1.25046,0.1795,0.36835,0.36635,14.11326,11.74763,-0.44443,0.07289,0.02395,-0.02413,0.19787,4.25124,5.65303
"16","2014_Q3",25.5496875,"Up",635877000,-376235000,259642000,-228340000,-228340000,31302000,-5016000,-5016000,26286000,26286000,-8247000,18039000,18039000,25000,18064000,18064000,46876000,46876000,125484000,125484000,657656000,39167000,39167000,869183000,148358000,271541000,122808000,134779000,419899000,1289082000,500846000,341694000,159152000,500846000,199104000,79880000,79880000,278984000,779830000,136367000,355574000,16641000,508582000,670000,509252000,1289082000,18039000,9666000,4287000,-1884000,30108000,-16130000,-1469000,-17599000,-3057000,3.72529029846191e-09,608000,-2449000,10060000,10060000,148000,10208000,40968000,199104000,31201000,0.40832,0.04923,0.02841,0.03547,0.01401,1.72725,1.73543,1.53132,0.15445,0.42934,0.42729,15.1133,12.0878,0.74157,0.07266,0.0268,0.03958,0.16923,3.71578,4.8632
"17","2014_Q4",25.70453125,"Up",729277000,-438547000,290730000,-237517000,-237517000,53213000,-5097000,-5097000,48116000,48116000,-14879000,33237000,33237000,-124000,33113000,33113000,39080000,39080000,138217000,138217000,567777000,37845000,37845000,782919000,151289000,275652000,121820000,139878000,426941000,1209860000,375139000,203062000,172077000,389139000,199150000,80554000,80554000,279704000,668843000,139119000,385624000,15511000,540254000,763000,541017000,1209860000,33237000,9859000,5720000,-46805000,2011000,-13020000,-1135000,-21155000,-3063000,1.4e+07,1145000,12082000,-7062000,-7062000,-734000,-7796000,63072000,213150000,18126000,0.39866,0.07297,0.04541,0.06121,0.02737,0.5474,2.01193,1.23627,0.17618,0.78571,0.7823,17.30441,12.81924,0.4301,0.07268,0.04334,0.02172,0.0925,2.75986,3.27119
"18","2015_Q1",27.1019672131148,"Up",615393000,-368006000,247387000,-231210000,-231210000,16177000,-4723000,-4723000,11454000,12229000,3962000,16191000,16191000,52999.9999999999,16244000,16244000,67403000,67403000,136646000,136646000,543103000,42996000,42376000,790148000,149743000,274436000,120633000,58821000,424179000,1214327000,310946000,215921000,88740000,369539000,196712000,106454000,78910000,303166000,672705000,139394000,398804000,2712000,540910000,712000,541622000,1214327000,16191000,9956000,4467000,19696000,50310000,-8421000,-1237000,462000,-3064000,-1.4e+07,-3965000,-21029000,29743000,29743000,-1420000,28323000,26133000,196712000,33446000,0.402,0.02629,0.0264,0.02999,0.01338,2.05898,2.1382,1.24202,0.16199,0.38512,0.38333,14.59003,12.82415,0.79295,0.07264,0.02286,0.03959,0.18862,4.94811,7.99339
"19","2015_Q2",27.7979365079365,"Up",602283000,-353757000,248526000,-218190000,-218190000,30336000,-4159000,-4159000,26177000,26177000,-6786000,19391000,19391000,-130000,19261000,19261000,66330000,66330000,126512000,126512000,498513000,41003000,41003000,732358000,153350000,275626000,119703000,141969000,428976000,1161334000,309848000,172116000,137732000,309848000,196904000,100262000,100262000,297166000,607014000,134810000,414992000,3672000,553474000,846000,554320000,1161334000,19391000,9488000,3551000,-10516000,21914000,-12905000,-955000,-13860000,-3073000,0,-1350000,-9344000,-1290000,-1290000,217000,-1073000,39824000,196904000,23189000,0.41264,0.05037,0.03198,0.03475,0.01659,1.20394,2.3636,1.09506,0.16955,0.4552,0.45365,14.23399,13.08047,0.54803,0.07263,0.02623,0.02723,0.15955,3.27878,4.30426
"20","2015_Q3",28.7709375,"Up",637834000,-375039000,262795000,-227061000,-227061000,35734000,-4107000,-4107000,31627000,22937000,-6074000,16863000,16863000,-38000,16825000,16825000,129345000,129345000,144213000,144213000,641128000,82484000,41002000,997170000,150839000,275383000,118783000,142646000,426222000,1423392000,517743000,382626000,135117000,556900000,195919000,101345000,101345000,297264000,854164000,136564000,428754000,3027000,568345000,883000,569228000,1423392000,16863000,9862000,13773000,38843000,79341000,-4856000,-1743000,-6599000,-3062000,39300000,-45372000,-9134000,63608000,63608000,-593000,63015000,45596000,235076000,85657000,0.41201,0.05602,0.02638,0.02956,0.01182,5.09105,1.79057,1.50057,0.16515,0.39752,0.39637,15.06991,13.42812,2.02379,0.07234,0.02196,0.09458,0.18199,2.31887,2.95883
"21","2015_Q4",26.055625,"Down",728639000,-440205000,288434000,-236211000,-236211000,52223000,-3912000,-3912000,48311000,46350000,-12358000,33992000,33992000,-9000,33983000,33983000,86298000,86298000,148192000,148192000,544341000,40815000,40815000,819646000,163442000,273658000,117864000,141840000,437100000,1256746000,354555000,200251000,154304000,354555000,196463000,103873000,103873000,300336000,654891000,138364000,459678000,2961000,601003000,852000,601855000,1256746000,33992000,9871000,7493000,-68561000,-17205000,-22150000,-2724000,-24874000,-3060000,-39300000,41515000,-845000,-42924000,-42924000,-123000,-43047000,62094000,196463000,-16259000,0.39585,0.07167,0.04664,0.05646,0.02704,-0.47845,2.31176,1.08812,0.15633,0.80253,0.80026,17.2072,14.19301,-0.38397,0.07226,0.04106,-0.01802,0.09005,1.77416,2.10951
"22","2016_Q1",23.8437704918033,"Down",608674000,-360626000,248048000,-231234000,-231234000,16814000,-3512000,-3512000,13302000,13302000,-1724000,11578000,11578000,-168000,11410000,11410000,118151000,118151000,153664000,153664000,546745000,56505000,45359000,875065000,179010000,249248000,116945000,51612000,428258000,1303323000,335306000,237802000,93985000,390299000,196544000,114008000,81740000,310552000,700851000,139318000,468030000,-5864000,601484000,988000,602472000,1303323000,11578000,9895000,18285000,25344000,65102000,-26135000,-2313000,-28448000,-3058000,-1.49011611938477e-08,-1089000.00000003,-4147000,32507000,32507000,-654000,31853000,26709000,196544000,27642000,0.40752,0.02762,0.01875,0.01894,0.00875,2.42261,2.24204,1.16329,0.1508,0.26636,0.2638,14.20907,14.04123,0.64528,0.07139,0.01585,0.03028,0.26801,2.93508,4.66236
"23","2016_Q2",22.09703125,"Down",584733000,-336940000,247793000,-219050000,-219050000,28743000,-3363000,-3363000,25380000,25380000,-7502000,17878000,17878000,-96000,17782000,17782000,149534000,149534000,116961000,116961000,487876000,39809000,39809000,794180000,185586000,246326000,116025000,116347000,431912000,1226092000,314559000,189154000,125405000,314559000,196659000,106897000,106897000,303556000,618115000,128189000,482744000,-4054000,606879000,1098000,607977000,1226092000,17878000,9939000,3908000,33435000,65160000,-16367000,-1820000,-18187000,-3068000,0,-986000,-16184000,30789000,30789000,594000,31383000,38682000,196659000,63252000,0.42377,0.04916,0.03041,0.02925,0.0145,3.55708,2.52474,1.01667,0.16039,0.41906,0.41746,13.78015,14.30205,1.49063,0.0723,0.02287,0.06939,0.17253,1.21827,1.63953
"24","2016_Q3",22.94296875,"Up",622937000,-363382000,259555000,-227297000,-227297000,32258000,-3169000,-3169000,29089000,29089000,-9410000,19679000,19679000,90000,19769000,19769000,165729000,165729000,144309000,144309000,648881000,30190000,30190000,989109000,186776000,244508000,115106000,115448000,431284000,1420393000,500836000,358751000,142085000,500836000,196774000,108018000,108018000,304792000,805628000,119670000,499492000,-5375000,613787000,978000,614765000,1420393000,19679000,10225000,6325000,7175000,43404000,-11076000,-1958000,-13034000,-3021000,0,147999.999999998,-13882000,16488000,16488000,-293000,16195000,42483000,196774000,47992000,0.41666,0.05178,0.03174,0.03216,0.01392,2.42764,1.97492,1.31046,0.13853,0.47021,0.46863,14.81666,14.59903,1.1415,0.07186,0.02478,0.05219,0.15282,0.73076,0.9624
"25","2016_Q4",26.5131746031746,"Up",732230000,-438459000,293771000,-238319000,-238319000,55452000,-3125000,-3125000,52327000,52327000,-17602000,34725000,34725000,4000,34729000,34729000,173435000,173435000,139475000,139475000,524823000,31716000,31716000,869449000,191754000,242992000,114187000,114851000,434746000,1304195000,353974000,212088000,141886000,353974000,196888000,106270000,106270000,303158000,657132000,121204000,531216000,-6310000,646110000,953000,647063000,1304195000,34725000,10725000,6366000,-23377000,28439000,-15576000,-1894000,-17470000,-3005000,0,-103000,-3108000,7861000,7861000,-155000,7706000,66177000,196888000,44826000,0.4012,0.07573,0.04743,0.05367,0.02663,1.29074,2.45625,1.01556,0.15097,0.8308,0.82808,17.51663,15.45644,1.07234,0.07189,0.03971,0.04717,0.08653,0.3544,0.42294
"26","2017_Q1",27.2548387096774,"Up",639488000,-378616000,260872000,-242936000,-242936000,17936000,-4074000,-4074000,13862000,-9542000.00000001,3346000,-6196000.00000001,-6196000,-426000,-6622000,-6622000,55332000,55332000,153121000,153121000,585764000,49528000,49528000,843745000,219196000,412332000,343758000,68574000,631528000,1475273000,417595000,266370000,151225000,527595000,197003000,136189000,136189000,333192000,860787000,121736527.132521,534584342.429933,-18772832.2810006,613117000,1369000,614486000,1475273000,-6196000.00000001,12235000,17349000,23231000,46619000,-7504000,-3367000,-270803000,-3010000,1.1e+08,-996000,105994000,-118190000,-118190000,87000,-118103000,30171000,307003000,42552000,0.40794,0.02805,-0.01036,-0.01078,-0.00449,-6.42585,1.59923,1.40082,0.2081,-0.15832,-0.15765,15.28925,14.65875,1.01736,0.07196,-0.00342,0.04023,-0.45455,8.34149,14.03161
"27","2017_Q2",24.4242857142857,"Down",631509000,-360601000,270908000,-246511000,-246511000,24397000,-2373000,-4809000,22024000,20916000,-6032000,14884000,14884000,18000,14902000,14902000,71816000,71816000,107021000,107021000,565051000,38318000,38318000,782206000,217854000,409497000,215127000,67289000,627351000,1409557000,371347000,225032000,146315000,456347000,197118000,134359000,134359000,331477000,787824000,122256000,527909000,-29778000,620387000,1346000,621733000,1409557000,14884000,12189000,8001000,30310000,65384000,-10978000,-1390000,-12368000,-3025000,-2.5e+07,-2422000,-36440000,16576000,16576000,-92000,16484000,36586000,282118000,61950000,0.42899,0.03863,0.0236,0.02397,0.01057,4.15716,1.71406,1.26714,0.20015,0.35623,0.3548,15.09631,14.83044,1.48092,0.07231,0.01727,0.05967,0.20299,5.74816,8.61999
"28","2017_Q3",24.6250793650794,"Up",676954000,-389493000,287461000,-256170000,-256170000,31291000,-1705000,-4375000,29586000,26721000,-9047000,17674000,17674000,-79000,17595000,17595000,52942000,52942000,143616000,143616000,722005000,36972000,36972000,955535000,217838000,410784000,214114000,69589000,628622000,1584157000,573311000,402812000,170499000,608311000,197233000,137439000,137439000,334672000,942983000,125281000,542499000,-28051000,639729000,1445000,641174000,1584157000,17674000,12731000,9287000,9204000,48896000,-13273000,-1762000,-15035000,-3005000,-5e+07,-68000,-53073000,-19212000,-19212000,338000,-18874000,44022000,232233000,4.9e+07,0.42464,0.04622,0.02599,0.02744,0.01111,2.78488,1.5708,1.47071,0.1466,0.4211,0.41939,16.20166,15.31075,1.17273,0.07192,0.02038,0.04847,0.17079,4.07276,5.72979
"29","2017_Q4",27.7131746031746,"Up",774656000,-457771000,316885000,-266507000,-266507000,50378000,-1554000,-4046000,48824000,48824000,-14451000,34373000,34373000,14000,34387000,34387000,31379000,31379000,132942000,132942000,598365000,40982000,40982000,803668000,214982000,408498000,213101000,68316000,623480000,1427148000,397319000,223832000,173487000,417319000,197348000,137394000,137394000,334742000,752061000,127884000,573883000,-28122000,673645000,1442000,675087000,1427148000,34373000,12493000,7878000,-46763000,7981000,-10113000,-1379000,-11492000,-3003000,-1.5e+07,13000,-17990000,-21501000,-21501000,-62000,-21563000,62871000,217348000,20446000,0.40907,0.06503,0.04439,0.05094,0.02409,0.59459,1.92579,1.11402,0.1523,0.82289,0.81932,18.53776,16.12054,0.48928,0.07186,0.03631,0.01985,0.08733,2.95795,3.69147
"30","2018_Q1",28.0586885245902,"Up",702465000,-409070000,293395000,-254515000,-254515000,38880000,-11693000,-4095000,27187000,26245000,-5945000,20300000,20300000,16000,20316000,20316000,64047000,64047000,152613000,152613000,569379000,60750000,60750000,846789000,212799000,429827000,212087000,90659000,642626000,1489415000,430159000,272962000,157197000,430159000,197472000,142822000,142822000,340294000,770453000,136890000,595769000,-15170000,717489000,1473000,718962000,1489415000,20300000,12459000,7369000,28986000,69114000,-10356000,-1927000,-12283000,-2994000,-2e+07,-1339000,-24333000,32498000,32498000,170000,32668000,51339000,197472000,75914000,0.41766,0.05535,0.02892,0.02826,0.01364,3.73666,1.96855,1.07162,0.13258,0.48602,0.48377,16.80498,17.1644,1.81608,0.07163,0.02201,0.07167,0.14737,2.5989,3.43171
