"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","prepaid_pension_costs","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2018_Q4",141.069523809524,"Down",1.859e+09,-1.792e+09,-1.238e+09,-1.8e+08,-3.74e+08,6.7e+07,1.9e+07,-5.1e+07,8.6e+07,-5e+07,3.6e+07,1e+07,4.6e+07,4.6e+07,-2e+06,4.4e+07,4.4e+07,9.31e+08,9.31e+08,2.132e+09,2.132e+09,1.3693e+10,5.47e+08,1.3146e+10,1.6756e+10,9.44e+08,1.5341e+10,1.0457e+10,3.429e+09,9.55e+08,5e+08,1.6285e+10,3.3041e+10,1.465e+09,1.465e+09,1.86e+08,1.3904e+10,1.3904e+10,1.5555e+10,4.498e+09,2.798e+09,1.087e+09,6.78e+08,1.033e+09,7.296e+09,2.2851e+10,1.0577e+10,-3e+06,1.102e+09,-1.627e+09,1.0049e+10,1.41e+08,1.019e+10,3.3041e+10,4.6e+07,1.81e+08,-5.5e+07,1.49e+08,3.21e+08,-6.8e+07,0,-1.9e+07,-8.7e+07,-7.9e+07,2e+07,-1.29e+08,-1.9e+07,-2.07e+08,2.7e+07,2.7e+07,-7e+06,2e+07,2.48e+08,4.684e+09,3.19e+08,0.03604,0.02367,0.00432,0.00133,7.25,1.07721,2.24249,0.14176,0.33588,0.33333,14.19084,76.70992,2.43511,0.60305,0.00696,0.01805,1.79545,15.13306,56.01493
"12","2019_Q1",157.041639344262,"Up",2.372e+09,-1.848e+09,-1.233e+09,-1.81e+08,-4.34e+08,5.24e+08,7e+06,-5.4e+07,5.31e+08,-5.4e+07,4.77e+08,-9.4e+07,3.83e+08,3.83e+08,-5e+06,3.78e+08,3.78e+08,1.033e+09,1.033e+09,2.379e+09,2.379e+09,1.3008e+10,4.04e+08,1.2604e+10,1.642e+10,9.42e+08,1.5023e+10,1.0465e+10,3.318e+09,7.73e+08,4.67e+08,1.5965e+10,3.2385e+10,1.647e+09,1.647e+09,1.86e+08,1.3468e+10,1.3468e+10,1.5301e+10,4.389e+09,2.698e+09,1.17e+09,5.59e+08,9.69e+08,7.087e+09,2.2388e+10,1.0615e+10,-3e+06,1.201e+09,-1.961e+09,9.852e+09,1.45e+08,9.997e+09,3.2385e+10,3.83e+08,1.81e+08,-3.7e+07,4.5e+07,5.72e+08,-5.9e+07,-2.8e+07,-1.4e+07,-1.01e+08,-7.8e+07,-1e+08,-1.77e+08,-6e+06,-3.61e+08,1.1e+08,1.1e+08,-8e+06,1.02e+08,7.05e+08,4.575e+09,7.85e+08,0.22091,0.15936,0.03781,0.01167,2.07672,1.07313,2.23947,0.14127,2.95312,2.90769,18.53125,76.96875,6.13281,0.60938,0.0264,0.04545,0.20635,5.02411,6.75954
"13","2019_Q2",171.978888888889,"Up",2.312e+09,-1.947e+09,-1.348e+09,-1.81e+08,-4.18e+08,3.65e+08,1e+06,-5.4e+07,3.66e+08,-6e+06,3.6e+08,-6.7e+07,2.93e+08,2.93e+08,-6e+06,2.87e+08,2.87e+08,9.92e+08,9.92e+08,2.49e+09,2.49e+09,1.5538e+10,4.09e+08,1.5129e+10,1.902e+10,9.57e+08,1.5916e+10,1.0456e+10,3.187e+09,8.33e+08,1.44e+09,1.6873e+10,3.5893e+10,1.24e+09,1.24e+09,1.87e+08,1.6227e+10,1.6227e+10,1.7654e+10,4.518e+09,3.479e+09,1.135e+09,5.44e+08,1.8e+09,7.997e+09,2.5651e+10,1.063e+10,-3e+06,1.439e+09,-1.974e+09,1.0092e+10,1.5e+08,1.0242e+10,3.5893e+10,2.93e+08,1.81e+08,6e+06,-5.27e+08,-4.7e+07,-5.7e+07,-1e+06,-1.7e+07,-7.5e+07,-7.7e+07,1.37e+08,2.2e+07,0,8.2e+07,-4e+07,-4e+07,-1e+06,-4.1e+07,5.46e+08,4.705e+09,2.9e+07,0.15787,0.12413,0.02802,0.008,0.10105,1.07738,2.50449,0.13108,2.20769,2.20769,17.78462,77.63077,0.22308,0.59231,0.01975,0.00157,0.26829,6.80037,10.1726
"14","2019_Q3",186.12703125,"Up",2.048e+09,-1.872e+09,-1.278e+09,-1.82e+08,-4.12e+08,1.76e+08,1.1e+07,-5.6e+07,1.87e+08,-3.72529029846191e-09,1.87e+08,-3.8e+07,1.49e+08,1.49e+08,-1.1e+07,1.38e+08,1.38e+08,8.12e+08,8.12e+08,2.461e+09,2.461e+09,1.506e+10,4.51e+08,1.4609e+10,1.8333e+10,9.67e+08,1.5866e+10,1.0454e+10,3.055e+09,8.86e+08,1.471e+09,1.6833e+10,3.5166e+10,1.444e+09,1.444e+09,1.87e+08,1.5573e+10,1.5573e+10,1.7204e+10,4.284e+09,3.446e+09,1.125e+09,5.32e+08,1.789e+09,7.73e+09,2.4934e+10,1.0644e+10,-3e+06,1.442e+09,-1.993e+09,1.009e+10,1.42e+08,1.0232e+10,3.5166e+10,1.49e+08,1.82e+08,5e+06,1.4e+07,3.5e+08,-6.3e+07,13000000.0000001,-2.3e+07,-73000000.0000001,-8.4e+07,-2.46e+08,-4.6e+07,-79999999.9999999,-4.56e+08,-1.79e+08,-1.79e+08,-999999.999999998,-1.8e+08,3.58e+08,4.471e+09,3.47e+08,0.08594,0.06738,0.01349,0.00392,2.51449,1.06562,2.43686,0.12714,1.06154,1.06154,15.75385,77.61538,2.66923,0.64615,0.01223,0.01912,0.6087,10.22067,20.78977
"15","2019_Q4",183.25140625,"Down",1.989e+09,-1.876e+09,-1.283e+09,-1.76e+08,-4.17e+08,1.13e+08,-7e+06,-6.2e+07,1.06e+08,-6e+06,1e+08,-2e+07,8e+07,8e+07,-5e+06,7.5e+07,7.5e+07,8.67e+08,8.67e+08,2.167e+09,2.167e+09,1.4366e+10,5.87e+08,1.3779e+10,1.74e+10,9.63e+08,1.734e+10,1.1187e+10,3.561e+09,9.32e+08,1.66e+09,1.8303e+10,3.5703e+10,1.521e+09,1.521e+09,4.84e+08,1.4731e+10,1.4731e+10,1.6736e+10,5.381e+09,3.555e+09,1.039e+09,6.9e+08,1.826e+09,8.936e+09,2.5672e+10,1.0667e+10,-3e+06,1.336e+09,-2.113e+09,9.887e+09,1.44e+08,1.0031e+10,3.5703e+10,8e+07,1.76e+08,2.4e+07,3.7e+07,3.17e+08,-5.5e+07,-1.319e+09,-9e+06,-1.383e+09,-8.4e+07,2.4e+08,-9.2e+07,1.084e+09,1.148e+09,8.2e+07,8.2e+07,-2e+07,6.2e+07,2.89e+08,5.865e+09,2.91e+08,0.05681,0.03771,0.00748,0.0021,3.88,1.03967,2.55927,0.16427,0.57692,0.57692,15.3,76.05385,2.23846,0.64615,0.00817,0.01496,1.12,17.29412,44.23009
"16","2020_Q1",188.620322580645,"Up",2.021e+09,-1.608e+09,-1.02e+09,-1.88e+08,-4e+08,4.13e+08,-1.3e+07,-6.2e+07,4e+08,-1e+06,3.99e+08,-7.2e+07,3.27e+08,5.51e+08,-7e+06,5.44e+08,5.44e+08,8.87e+08,8.87e+08,2.621e+09,2.621e+09,1.3529e+10,5.25e+08,1.3004e+10,1.7037e+10,1.046e+09,1.7343e+10,1.1194e+10,3.478e+09,8.68e+08,1.803e+09,1.8389e+10,3.5426e+10,1388341164.03381,1388341164.03381,3.16e+08,1.5754e+10,1.397e+10,1.607e+10,5.301e+09,3.686e+09,1.324e+09,5.26e+08,1.836e+09,8.987e+09,2.5057e+10,1.0687e+10,-3e+06,1.792e+09,-2.227e+09,1.0249e+10,1.2e+08,1.0369e+10,3.5426e+10,5.51e+08,1.9e+08,3.4e+07,-3.14e+08,4.61e+08,-7.1e+07,-5e+06,-7e+06,-83000000.0000002,-8.4e+07,8.4e+08,1.1e+07,-1.086e+09,-3.19e+08,5.9e+07,5.9e+07,2.2e+07,8.1e+07,6.03e+08,5.617e+09,2.9e+08,0.20435,0.26917,0.05246,0.01536,0.53309,1.06017,2.41653,0.15856,4.18462,4.18462,15.54615,78.83846,2.23077,0.64615,0.03192,0.01474,0.15441,7.84411,11.45278
"17","2020_Q2",184.376507936508,"Down",2.466e+09,-2.097e+09,-1.394e+09,-2.19e+08,-4.84e+08,3.69e+08,3.1e+07,-6.1e+07,4e+08,-9e+06,3.91e+08,-7.8e+07,3.13e+08,3.13e+08,-8e+06,3.05e+08,3.05e+08,8.98e+08,8.98e+08,2.594e+09,2.594e+09,1.6058e+10,4.69e+08,1.5589e+10,1.955e+10,9.74e+08,1.7203e+10,1.1162e+10,3.36e+09,9.15e+08,1.766e+09,1.8177e+10,3.7727e+10,1.329e+09,1.329e+09,6.97e+08,1.6598e+10,1.6598e+10,1.8624e+10,5.177e+09,3.537e+09,1.261e+09,5.01e+08,1.775e+09,8.714e+09,2.7338e+10,1.0703e+10,-3e+06,2.009e+09,-2.446e+09,1.0263e+10,1.26e+08,1.0389e+10,3.7727e+10,3.13e+08,2.19e+08,-1e+06,-5.08e+08,2.3e+07,-6.6e+07,-6.6e+07,-3e+07,-1.62e+08,-8.4e+07,2.68e+08,3e+06,-1e+06,1.86e+08,4.7e+07,4.7e+07,-3.6e+07,1.1e+07,5.88e+08,5.874e+09,9.2e+07,0.14964,0.12368,0.02936,0.00808,0.30164,1.04972,2.63144,0.1557,2.34615,2.34615,18.96923,78.94615,0.70769,0.64615,0.01965,0.00465,0.27541,8.46259,13.48509
"18","2020_Q3",197.34390625,"Up",2.113e+09,-1.936e+09,-1.363e+09,-1.86e+08,-3.87e+08,1.77e+08,1.4e+07,-6.2e+07,1.91e+08,-1.4e+07,1.77e+08,-7.5e+07,1.02e+08,1.02e+08,-8e+06,9.4e+07,9.4e+07,1.087e+09,1.087e+09,2.43e+09,2.43e+09,1.6405e+10,3.63e+08,1.6042e+10,1.9922e+10,9.89e+08,1.7199e+10,1.1196e+10,3.257e+09,9.75e+08,1.771e+09,1.8188e+10,3.811e+10,1.504e+09,1.504e+09,5.25e+08,1.699e+10,1.699e+10,1.9019e+10,5.068e+09,3.567e+09,1.235e+09,5.75e+08,1.757e+09,8.635e+09,2.7654e+10,1.0713e+10,-3e+06,2.015e+09,-2.39e+09,1.0335e+10,1.21e+08,1.0456e+10,3.811e+10,1.02e+08,1.86e+08,7e+07,3.04e+08,6.62e+08,-6.9e+07,2e+06,-2e+07,-86999999.9999999,-8.7e+07,-2.97e+08,2e+06,-1.9e+07,-4.01e+08,1.74e+08,1.74e+08,1.4e+07,1.88e+08,3.63e+08,5.593e+09,6.73e+08,0.08377,0.04449,0.00899,0.00247,7.15957,1.04748,2.6448,0.14676,0.72308,0.72308,16.25385,79.5,5.17692,0.66923,0.00923,0.03431,0.92553,12.41322,25.45763
"19","2020_Q4",199.63984375,"Up",1.367e+09,-1.568e+09,-1.05e+09,-1.79e+08,-3.39e+08,-2.01e+08,9.2e+07,-6.1e+07,-1.09e+08,-4.2e+07,-1.51e+08,2e+07,-1.31e+08,1.22e+08,-1e+06,1.21e+08,1.21e+08,1.647e+09,1.647e+09,2.223e+09,2.223e+09,1.6044e+10,4.84e+08,1.556e+10,1.9914e+10,9.97e+08,1.7126e+10,1.1131e+10,3.125e+09,1.041e+09,1.829e+09,1.8123e+10,3.8037e+10,1.733e+09,1.733e+09,9.73e+08,1.6514e+10,1.6514e+10,1.922e+10,4.641e+09,3.556e+09,1.172e+09,5.87e+08,1.797e+09,8.197e+09,2.7417e+10,1.0724e+10,-3e+06,2.047e+09,-2.253e+09,1.0515e+10,1.05e+08,1.062e+10,3.8037e+10,1.22e+08,1.81e+08,-7.3e+07,2.91e+08,5.21e+08,-4.8e+07,2.1e+08,-2.1e+07,1.41e+08,-8.8e+07,-8e+06,3e+06,-2.6e+07,-1.19e+08,5.43e+08,5.43e+08,1.7e+07,5.6e+08,-2e+07,5.614e+09,2.03e+08,-0.14704,0.08851,0.01139,0.00318,1.67769,1.03611,2.58164,0.14759,0.93077,0.93077,10.51538,80.88462,1.56154,0.67692,0.01056,0.01026,0.72727,-198.35,-19.73632
"20","2021_Q1",212.024918032787,"Up",2.669e+09,-2.021e+09,-1.35e+09,-1.84e+08,-4.87e+08,6.48e+08,1.5e+07,-6e+07,6.63e+08,-6.9e+07,5.94e+08,-1.16e+08,4.78e+08,4.83e+08,-7e+06,4.76e+08,4.76e+08,2.039e+09,2.039e+09,2.408e+09,2.408e+09,1.5854e+10,4.79e+08,1.2003e+10,2.0301e+10,1.013e+09,1.7217e+10,1.0392e+10,2.989e+09,9.71e+08,2.865e+09,1.823e+10,3.8531e+10,2.098e+09,2.098e+09,9.71e+08,1.6263e+10,1.6263e+10,1.9332e+10,4.664e+09,3.603e+09,1.403e+09,5.61e+08,1.639e+09,8.267e+09,2.7599e+10,1.0748e+10,-3e+06,2.434e+09,-2.359e+09,1.082e+10,1.12e+08,1.0932e+10,3.8531e+10,4.83e+08,1.84e+08,4.4e+07,-1.43e+08,5.68e+08,-4e+07,21999999.9999999,-3.4e+07,-52000000.0000001,-8.7e+07,-8e+06,8e+06,7.99e+08,7.12e+08,1.228e+09,1.228e+09,1.31e+08,1.359e+09,8.32e+08,5.635e+09,7.65e+08,0.24279,0.17834,0.04354,0.01235,1.60714,1.05012,2.52461,0.14625,3.66154,3.66154,20.53077,83.23077,5.88462,0.66923,0.02791,0.03793,0.18277,4.32212000000004,5.54938
"21","2021_Q2",242.92380952381,"Up",2.228e+09,-1.993e+09,-1.419e+09,-1.74e+08,-4e+08,2.35e+08,3.79e+08,-5.9e+07,6.14e+08,-2.4e+07,5.9e+08,-4.4e+07,5.46e+08,7.36e+08,-3e+06,7.33e+08,7.33e+08,1.96e+09,1.96e+09,2.569e+09,2.569e+09,1.6343e+10,4.32e+08,1.5911e+10,2.0872e+10,9.51e+08,1.6809e+10,1.0986e+10,2.878e+09,9.91e+08,1.954e+09,1.776e+10,3.8632e+10,2101962506.31596,2101962506.31596,4.71e+08,1.8549e+10,1.7023e+10,1.902e+10,4.632e+09,3.406e+09,1.278e+09,5.76e+08,1.552e+09,8.038e+09,2.7058e+10,1.0765e+10,-3e+06,3.075e+09,-2.311e+09,1.1526e+10,4.8e+07,1.1574e+10,3.8632e+10,7.36e+08,1.74e+08,-3.45e+08,-6.93e+08,-1.28e+08,-3.7e+07,6.96e+08,-2.3e+08,4.29e+08,-9.2e+07,-5.08e+08,1e+06,-2.33e+08,-8.32e+08,-5.31e+08,-5.31e+08,-6e+07,-5.91e+08,4.09e+08,5.103e+09,-2.77e+08,0.10548,0.32899,0.06333,0.01897,-0.3779,1.09737,2.33783,0.13209,5.63846,5.63846,17.13846,88.66154,-2.13077,0.70769,0.04108,-0.01379,0.12551,7.6846,13.37447
"22","2021_Q3",217.83734375,"Down",2.091e+09,-1.87e+09,-1.317e+09,-1.69e+08,-3.84e+08,2.21e+08,2.2e+07,-5.2e+07,2.43e+08,-50999999.9999999,1.92e+08,-7.5e+07,1.17e+08,1.86e+08,-2e+06,1.84e+08,1.84e+08,2.217e+09,2.217e+09,2.507e+09,2.507e+09,1.5844e+10,4.65e+08,1.5379e+10,2.0568e+10,9.27e+08,1.6772e+10,1.0995e+10,2.786e+09,1.026e+09,1.965e+09,1.7699e+10,3.8267e+10,1890352345.9837,1890352345.9837,1.11e+09,1.8064e+10,1.6282e+10,1.9174e+10,3.995e+09,3.383e+09,1.238e+09,6.28e+08,1.517e+09,7.378e+09,2.6552e+10,1.0785e+10,-3e+06,3.166e+09,-2.278e+09,1.167e+10,4.5e+07,1.1715e+10,3.8267e+10,1.86e+08,1.7e+08,8e+07,58000000.0000001,4.94e+08,-4.2e+07,-1.19209289550781e-07,-1.3e+07,-5.5e+07,-1.77e+08,-6999999.99999982,1e+06,-52000000.0000001,-2.35e+08,2.04e+08,2.04e+08,9999999.99999997,2.14e+08,3.91e+08,5.105e+09,4.82e+08,0.10569,0.088,0.01571,0.00481,2.61957,1.0727,2.2665,0.1334,1.41538,1.41538,16.08462,89.76923,3.70769,1.36154,0.01787,0.02386,0.96196,7.38619000000001,13.06787
"23","2021_Q4",232.40078125,"Up",1.973e+09,-5.39e+08,-2153705767.85292,-1.54e+08,-3.85e+08,1.79e+08,5.5e+07,-5e+07,2.34e+08,9.52e+08,1.186e+09,-2.67e+08,9.19e+08,9.07e+08,-4e+06,9.03e+08,9.03e+08,2.162e+09,2.162e+09,2.065e+09,2.065e+09,1.6364e+10,4.8e+08,1.0923e+10,2.0591e+10,8.81e+08,1.581e+10,1.0146e+10,2.681e+09,1.056e+09,1.927e+09,1.6691e+10,3.7282e+10,1.829e+09,1.829e+09,6.44e+08,1.6143e+10,1.6143e+10,1.8616e+10,3.993e+09,3.24e+09,1.188e+09,6.12e+08,1.44e+09,7.233e+09,2.5849e+10,1.0786e+10,-3e+06,2.969e+09,-2.359e+09,1.1393e+10,4e+07,1.1433e+10,3.7282e+10,9.07e+08,1.54e+08,-3.3e+07,4.83e+08,1.511e+09,-3e+07,3e+07,-1.3e+07,-1.3e+07,-6e+06,-4.55e+08,-1e+09,2.72e+08,-1.189e+09,3.09e+08,3.09e+08,5e+07,3.59e+08,3.33e+08,4.637e+09,1.053e+09,0.09072,0.45768,0.07898,0.02422,1.16611,1.10609,2.26091,0.12438,6.94615,6.94615,15.17692,87.63846,8.1,0.04615,0.04707,0.05453,0.00664,7.43243,13.82682
"24","2022_Q1",225.600967741935,"Down",2.706e+09,-3.174e+09,-2.517e+09,-1.53e+08,-5.04e+08,7.87e+08,3.4e+07,-5e+07,8.21e+08,-96999999.9999999,7.24e+08,-1.5e+08,5.74e+08,2.407e+09,-5e+06,2.402e+09,2.402e+09,4.486e+09,4.486e+09,2.37e+09,2.37e+09,1.1632e+10,6.12e+08,1.1014e+10,1.8488e+10,8.51e+08,1.5631e+10,1.0183e+10,2.555e+09,9.71e+08,1.922e+09,1.6482e+10,3.497e+10,1.926e+09,1.926e+09,6.13e+08,1.2185e+10,1.2185e+10,1.4724e+10,3.974e+09,2.964e+09,7.57e+08,8.45e+08,1.362e+09,6.938e+09,2.1662e+10,1.0804e+10,-3e+06,4.645e+09,-2.186e+09,1.326e+10,4.8e+07,1.3308e+10,3.497e+10,2.407e+09,1.52e+08,-2.078e+09,-2.97e+08,1.84e+08,-3.9e+07,3.275e+09,-8.27e+08,2.209e+09,-9.9e+07,-38000000.0000001,-6.19e+08,-1.02e+08,-8.58e+08,1.535e+09,1.535e+09,-1.27e+08,1.408e+09,9.39e+08,4.587e+09,7.53e+08,0.29084,0.88766,0.18049,0.06869,0.31349,1.25564,1.62774,0.13117,17.00531,17.00531,19.15752,93.87611,5.33097,0.70088,0.1199,0.0361,0.0412199999999999,0.10756,0.128340000000001
"25","2022_Q2",211.961774193548,"Down",2.16e+09,-1.955e+09,-1.318e+09,-1.51e+08,-4.86e+08,2.05e+08,-2.2e+07,-4.9e+07,1.83e+08,-2.6e+07,1.57e+08,-4.3e+07,1.14e+08,1.25e+08,-3e+06,1.22e+08,1.22e+08,2.198e+09,2.198e+09,2.186e+09,2.186e+09,1.2028e+10,3.9e+08,1.1631e+10,1.6412e+10,8.17e+08,1.5612e+10,1.02e+10,2.492e+09,9.92e+08,1.928e+09,1.6429e+10,3.2841e+10,1.398e+09,1.398e+09,5.99e+08,1.2917e+10,1.2917e+10,1.4914e+10,3.975e+09,2.877e+09,6.98e+08,8.35e+08,1.344e+09,6.852e+09,2.1766e+10,1.0826e+10,-3e+06,2.423e+09,-2.242e+09,1.1004e+10,7.1e+07,1.1075e+10,3.2841e+10,1.25e+08,1.51e+08,1.3e+08,-3.85e+08,2.1e+07,-3.1e+07,-6.8e+07,-2.7e+07,7.4e+07,-9.8e+07,-1e+06,-2.249e+09,-2.32e+08,-2.58e+09,-2.485e+09,-2.485e+09,-3.4e+07,-2.519e+09,3.56e+08,4.574e+09,-1.7e+07,0.09491,0.05648,0.01102,0.00371,-0.13934,1.10044,1.96533,0.13928,0.976,0.976,17.28,88.032,-0.136,0.784,0.01188,-0.00092,0.80328,6.67416,11.59024
"26","2022_Q3",204.85921875,"Down",2.031e+09,-1.8e+09,-1.259e+09,-1.48e+08,-3.93e+08,2.31e+08,4.2e+07,-5.1e+07,2.73e+08,-9.4e+07,1.79e+08,-1.9e+07,1.6e+08,1.14e+08,-5e+06,1.09e+08,1.09e+08,1.92e+09,1.92e+09,2.025e+09,2.025e+09,1.2425e+10,4.32e+08,1.1988e+10,1.637e+10,7.44e+08,1.5395e+10,1.0158e+10,2.408e+09,1.002e+09,1.827e+09,1.6139e+10,3.2509e+10,1.534e+09,1.534e+09,-1360038.52146244,1.3158e+10,1.3158e+10,1.4692e+10,4.72e+09,2.68e+09,6.38e+08,8.04e+08,1.238e+09,7.4e+09,2.2092e+10,1.0855e+10,-3e+06,1.971e+09,-2.486e+09,1.0337e+10,8e+07,1.0417e+10,3.2509e+10,1.14e+08,1.48e+08,8.1e+07,-1.06e+08,2.37e+08,-2.9e+07,-8000000.00000048,-18000000.0000001,-55000000.0000005,-9.1e+07,1.68e+08,-4.71e+08,2.84e+08,-1.1e+08,7.2e+07,7.2e+07,-1.36e+08,-63999999.999999,3.79e+08,4.72e+09,2.63e+08,0.11374,0.05367,0.01046,0.00335,2.41284,1.11421,2.12076,0.14519,0.973209999999999,0.973209999999999,18.13393,92.29464,2.34821,0.8125,0.01123,0.01476,0.83486,7.38786,12.12121
