"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",7.075,"Up",1.791e+09,-2.99e+08,1.492e+09,-1.161e+09,-8.41e+08,-2.49e+08,-7.1e+07,3.31e+08,-1.4e+07,-3.4e+07,2e+07,3.17e+08,-2.7e+07,2.9e+08,-7.4e+07,2.16e+08,2.16e+08,2.16e+08,2.16e+08,4.252e+09,4.2e+09,5.2e+07,1.081e+09,1.081e+09,4.63e+08,2.7e+08,5.816e+09,1.13e+09,7.016e+09,1.065e+09,5.843e+09,1.08e+08,8.146e+09,1.3962e+10,7.71e+08,3.17e+08,4.54e+08,3.729e+09,4.31e+08,5.482e+09,2.094e+09,1.23e+09,3.21e+08,4.01e+08,3.324e+09,8.806e+09,7.239e+09,-2.285e+09,2.02e+08,5.156e+09,5.156e+09,1.3962e+10,2.16e+08,1.59e+08,5.8e+07,3e+07,4.63e+08,-7.7e+07,1e+06,-7.6e+07,0,-1.75e+08,-2e+06,-1.77e+08,2.1e+08,2.1e+08,-1.2e+07,1.98e+08,4.9e+08,3.076e+09,5.17e+08,0.83305,0.18481,0.1206,0.04189,0.01547,2.39352,1.06093,1.70791,0.22031,0.31124,0.30769,2.58069,7.42939,0.74496,6,0.02283,0.05464,-2.4,-3.55287
"12","2013_Q1",8.73433333333333,"Up",1.748e+09,-3.08e+08,1.44e+09,-1.193e+09,-8.41e+08,-2.81e+08,-7.1e+07,2.47e+08,-2.2e+07,-3.4e+07,1.2e+07,2.25e+08,8e+06,2.33e+08,-4.3e+07,1.9e+08,1.9e+08,1.9e+08,1.9e+08,4.747e+09,4.685e+09,6.2e+07,1.031e+09,1.031e+09,6.14e+08,4.45e+08,6.416e+09,1.122e+09,6.97e+09,9.77e+08,5.841e+09,1.52e+08,8.092e+09,1.4508e+10,7.56e+08,3.34e+08,4.22e+08,3.814e+09,3.18e+08,5.567e+09,2.094e+09,1.371e+09,4.09e+08,3.78e+08,3.465e+09,9.032e+09,7.32e+09,-2.046e+09,2.02e+08,5.476e+09,5.476e+09,1.4508e+10,1.9e+08,1.57e+08,7.9e+07,1.86e+08,6.12e+08,-9.1e+07,-4.9e+07,-9.5e+07,-5.96046447753906e-08,5.6e+07,-3.2e+07,2.4e+07,5.41e+08,5.41e+08,-5.6e+07,4.85e+08,4.04e+08,3.091e+09,5.42e+08,0.8238,0.1413,0.1087,0.0347,0.0131,2.85263,1.15251,1.64938,0.21305,0.27457,0.26611,2.52601,7.91329,0.78324,6,0.01912,0.05454,-4.09901,-6.70445
"13","2013_Q2",9.13796875,"Up",1.709e+09,-3e+08,1.409e+09,-1.104e+09,-7.71e+08,-2.62e+08,-7.1e+07,3.05e+08,-4e+06,-2.2e+07,1.8e+07,3.01e+08,-8.1e+07,2.2e+08,-6.3e+07,1.57e+08,1.57e+08,1.57e+08,1.57e+08,3.783e+09,3.749e+09,3.4e+07,7.44e+08,7.44e+08,6.35e+08,4.63e+08,5.179e+09,1.102e+09,6.87e+09,8.9e+08,5.841e+09,1.39e+08,7.972e+09,1.3151e+10,5.95e+08,2.74e+08,3.21e+08,3.61e+09,3.18e+08,4.205e+09,2.094e+09,1.355e+09,4.43e+08,3.92e+08,3.449e+09,7.654e+09,7.16e+09,-1.84e+09,1.77e+08,5.497e+09,5.497e+09,1.3151e+10,1.57e+08,1.56e+08,6e+07,-6.1e+07,3.12e+08,-6.1e+07,3.2e+07,-2.9e+07,-1.189e+09,-7.1e+07,1.73e+08,-1.192e+09,-9.09e+08,-9.09e+08,-2.7e+07,-9.36e+08,4.61e+08,2.094e+09,4.02e+08,0.82446,0.17847,0.09187,0.02856,0.01194,2.56051,1.23163,1.3924,0.15923,0.22525,0.22207,2.45194,7.88666,0.57676,6,0.02929,0.04494,-3.66377,-5.5377
"14","2013_Q3",9.825625,"Up",1.637e+09,-2.84e+08,1.353e+09,-9.83e+08,-7.06e+08,-2.48e+08,-2.9e+07,3.7e+08,3e+06,-1.7e+07,2e+07,3.73e+08,-1.22e+08,2.51e+08,-9999999.99999999,2.41e+08,2.41e+08,2.41e+08,2.41e+08,3.832e+09,3.727e+09,1.05e+08,5.73e+08,5.73e+08,5.49e+08,3.75e+08,4.97e+09,1.091e+09,6.853e+09,8.52e+08,5.859e+09,1.42e+08,7.944e+09,1.2914e+10,5.61e+08,2.49e+08,3.12e+08,3.346e+09,3.43e+08,3.907e+09,2.094e+09,1.256e+09,4.74e+08,2.84e+08,3.35e+09,7.257e+09,7.073e+09,-1.599e+09,1.83e+08,5.657e+09,5.657e+09,1.2914e+10,2.41e+08,1.11e+08,3.9e+07,-2e+08,1.91e+08,-5.7e+07,-6.7e+07,-1.41e+08,0,-1.9e+07,-1000000.00000003,-1.25e+08,-74999999.9999998,-74999999.9999998,5.3e+07,-21999999.9999998,4.81e+08,2.094e+09,2.34e+08,0.82651,0.22602,0.14722,0.0426,0.01866,0.97095,1.27208,1.28284,0.16215,0.34478,0.34088,2.34192,8.09299,0.33476,5,0.03841,0.02598,-3.61331,-4.6973
"15","2013_Q4",9.20796875,"Down",1.705e+09,-2.83e+08,1.422e+09,-9.88e+08,-7.08e+08,-2.52e+08,-2.8e+07,4.34e+08,-1.8e+07,-1.7e+07,-1e+06,4.16e+08,-2.9e+07,3.87e+08,-1.04e+08,2.83e+08,2.83e+08,2.83e+08,2.83e+08,3.89e+09,3.813e+09,7.7e+07,8.92e+08,8.92e+08,5.21e+08,3.51e+08,5.316e+09,1.11e+09,6.832e+09,8.09e+08,5.856e+09,1.67e+08,7.942e+09,1.3258e+10,6.44e+08,3.06e+08,3.38e+08,3.505e+09,4.18e+08,4.149e+09,2.094e+09,1.257e+09,4.4e+08,3.16e+08,3.351e+09,7.5e+09,6.892e+09,-1.316e+09,1.82e+08,5.758e+09,5.758e+09,1.3258e+10,2.83e+08,1.1e+08,-1e+07,-5.4e+07,3.29e+08,-6.5e+07,-7.2e+07,-3.8e+07,0,-1.02e+08,-2e+06,-2.08e+08,8.3e+07,8.3e+07,3e+06,8.6e+07,5.44e+08,2.094e+09,5.29e+08,0.83402,0.25455,0.16598,0.04915,0.02135,1.86926,1.28127,1.30254,0.15794,0.40661,0.40313,2.44971,8.27299,0.76006,6,0.04249,0.05807,-3.30147,-4.13825
"16","2014_Q1",8.48573770491803,"Down",-8.68e+08,7.6e+07,-7.92e+08,73999999.9999999,-1e+06,39999999.9999999,3.5e+07,-7.18e+08,-1.8e+07,-1.7e+07,-999999.999999998,-7.36e+08,-1.5e+07,-7.51e+08,1.61e+08,-5.9e+08,2.17e+08,2.17e+08,2.17e+08,4.084e+09,3.707e+09,3.77e+08,1.007e+09,1.007e+09,5.61e+08,4.19e+08,5.652e+09,1.116e+09,6.771e+09,7.68e+08,5.858e+09,1.45e+08,7.887e+09,1.3539e+10,6.47e+08,2.82e+08,3.65e+08,3.659e+09,3.37e+08,4.306e+09,2.095e+09,1.341e+09,4.25e+08,3.35e+08,3.436e+09,7.742e+09,6.751e+09,-1.148e+09,1.94e+08,5.797e+09,5.797e+09,1.3539e+10,-5.9e+08,-9999999.99999999,2.7e+07,-1.51e+08,4.49e+08,-1.1e+07,-3.16e+08,-3.75e+08,-2.98023223876953e-08,-7.4e+07,-8999999.99999999,-1.87e+08,-1.13e+08,-1.13e+08,7000000.00000001,-1.06e+08,-7.28e+08,2.095e+09,-1.051e+09,0.91244,0.82719,-0.25,0.03743,0.01603,-4.84332,1.31259,1.33552,0.15474,0.31358,0.31,-1.25434,8.37717,-1.51879,7,0.03477,-0.11383,2.73214,2.77019
"17","2014_Q2",8.47920634920635,"Down",1.735e+09,-3.09e+08,1.426e+09,-1.084e+09,-7.47e+08,-3.08e+08,-2.9e+07,3.42e+08,-1.7e+07,-1.8e+07,1e+06,3.25e+08,-2e+07,3.05e+08,-6.9e+07,2.36e+08,2.36e+08,2.36e+08,2.36e+08,4.049e+09,3.067e+09,9.82e+08,6.85e+08,6.85e+08,5.43e+08,3.94e+08,5.288e+09,1.14e+09,6.736e+09,7.35e+08,5.871e+09,1.3e+08,7.876e+09,1.3164e+10,5.63e+08,2.3e+08,3.33e+08,3.416e+09,2.75e+08,3.979e+09,2.095e+09,1.252e+09,4.62e+08,2.18e+08,3.347e+09,7.326e+09,6.554e+09,-9.12e+08,1.96e+08,5.838e+09,5.838e+09,1.3164e+10,2.36e+08,1.16e+08,6.2e+07,-1.21e+08,2.93e+08,-9.2e+07,-6.9e+08,-7.24e+08,-1.8e+07,-1.02e+08,8e+06,-2.16e+08,-6.47e+08,-6.47e+08,7e+06,-6.4e+08,4.58e+08,2.095e+09,3.14e+08,0.8219,0.19712,0.13602,0.04042,0.01793,1.33051,1.32898,1.25488,0.15915,0.34104,0.33859,2.50723,8.43642,0.45376,8,0.03702,0.03419,-4.26638,-5.71345
"18","2014_Q3",9.576875,"Up",1.617e+09,-2.78e+08,1.339e+09,-9.61e+08,-6.58e+08,-2.76e+08,-2.7e+07,3.78e+08,-1.5e+07,-1.6e+07,1e+06,3.63e+08,-3e+07,3.33e+08,-8.9e+07,2.44e+08,2.44e+08,2.44e+08,2.44e+08,3.793e+09,2.972e+09,8.21e+08,7.22e+08,7.22e+08,5.12e+08,3.6e+08,5.038e+09,1.181e+09,6.664e+09,6.9e+08,5.86e+09,1.14e+08,7.845e+09,1.2883e+10,5.29e+08,2.19e+08,3.1e+08,3.166e+09,2.92e+08,4.045e+09,1.745e+09,1.196e+09,4.41e+08,2.12e+08,2.941e+09,6.986e+09,6.411e+09,-6.68e+08,1.54e+08,5.897e+09,5.897e+09,1.2883e+10,2.44e+08,1.11e+08,5.7e+07,-2.39e+08,1.73e+08,-1.07e+08,-2.25e+08,2e+06,0,-8.2e+07,-3e+06,-1.88e+08,-1.3e+07,-1.3e+07,-8.2e+07,-9.5e+07,4.89e+08,2.095e+09,2.32e+08,0.82808,0.23377,0.1509,0.04138,0.01894,0.950820000000001,1.24549,1.18467,0.16262,0.35362,0.35057,2.34348,8.54638,0.33623,7,0.03777,0.02525,-3.47239,-4.49206
"19","2014_Q4",10.06171875,"Up",-2.95e+08,3.6e+07,-2.59e+08,-1.66e+08,-1.36e+08,-2e+07,-1e+07,-4.25e+08,-1.2e+07,-1.6e+07,4e+06,-4.37e+08,-4.2e+07,-4.79e+08,5.3e+07,-4.26e+08,2.22e+08,2.22e+08,2.22e+08,3.74e+09,2.764e+09,9.76e+08,9.82e+08,9.82e+08,5.21e+08,3.78e+08,5.255e+09,1.186e+09,6.661e+09,6.69e+08,5.854e+09,1.38e+08,7.847e+09,1.3102e+10,5.94e+08,2.12e+08,3.82e+08,3.289e+09,3.28e+08,4.233e+09,1.745e+09,1.214e+09,4.65e+08,2.16e+08,2.959e+09,7.192e+09,6.237e+09,-4.46e+08,1.19e+08,5.91e+09,5.91e+09,1.3102e+10,-4.26e+08,3.8e+07,9e+06,-1.37e+08,3.58e+08,-5e+07,-2.44e+08,-2.81e+08,-1e+06,-1.13e+08,0,-2.18e+08,-1.41e+08,-1.41e+08,-6.7e+07,-2.08e+08,-3.87e+08,2.095e+09,-6.27e+08,0.87797,1.44068,-0.75254,0.03756,0.01694,-2.82432,1.24144,1.21692,0.1599,0.32221,0.32221,-0.42816,8.57765,-0.91001,6,0.03536,-0.06801,4.25065,3.87059
"20","2015_Q1",10.1570491803279,"Up",8.99e+08,-1.76e+08,7.23e+08,-7e+08,-4.71e+08,-2.08e+08,-2.1e+07,22999999.9999999,-9e+06,-1.7e+07,8e+06,1.4e+07,-7.2e+07,-57999999.9999999,1.13e+08,5.5e+07,1.76e+08,1.76e+08,1.76e+08,3.86e+09,2.843e+09,1.017e+09,7e+08,7e+08,8.62e+08,2.95e+08,5.422e+09,9.5e+08,6.861e+09,5.25e+08,3.146e+09,7e+07,7.811e+09,1.3233e+10,4.48e+08,1.69e+08,2.32e+08,3.655e+09,1.228e+09,4.453e+09,1.746e+09,1.099e+09,3.08e+08,2.13e+08,2.845e+09,7.298e+09,6.101e+09,-2.7e+08,1.04e+08,5.935e+09,5.935e+09,1.3233e+10,5.5e+07,9e+07,-2.8e+07,-5e+07,4.88e+08,-5.4e+07,-5.99e+08,-1.51e+08,-2e+06,-8.7e+07,2e+06,-1.89e+08,1.48e+08,1.48e+08,-3.8e+07,1.1e+08,1.13e+08,2.096e+09,-1.04e+08,0.80423,0.0255799999999999,0.19577,0.02965,0.0133,-0.59091,1.21761,1.22965,0.15839,0.25693,0.25071,1.31241,8.66423,-0.15182,5,0.03045,-0.01139,-15.61062,-76.69565
"21","2015_Q2",9.97793650793651,"Down",9.12e+08,-1.58e+08,7.54e+08,-6.36e+08,-4.24e+08,-1.98e+08,-1.4e+07,1.18e+08,-2.3e+07,-1.7e+07,-6e+06,9.5e+07,-3.5e+07,6e+07,-3.5e+07,2.5e+07,1.17e+08,1.17e+08,1.17e+08,3.884e+09,2.981e+09,9.03e+08,6.04e+08,6.04e+08,5.34e+08,3.82e+08,5.022e+09,1.201e+09,6.561e+09,5.96e+08,5.849e+09,1.16e+08,7.762e+09,1.2784e+10,4.67e+08,1.84e+08,2.83e+08,3.249e+09,3.48e+08,4.064e+09,1.741e+09,1.083e+09,3.35e+08,2.3e+08,2.824e+09,6.888e+09,5.933e+09,-1.53e+08,1.16e+08,5.896e+09,5.896e+09,1.2784e+10,2.5e+07,7.7e+07,6.4e+07,-1.07e+08,3e+08,-6.1e+07,-1.07e+08,3.7e+07,-1.7e+07,-8.6e+07,-2.8e+07,-2.38e+08,9.9e+07,9.9e+07,8e+06,1.07e+08,1.95e+08,2.089e+09,6.2e+07,0.82675,0.12939,0.12829,0.01984,0.00915,0.52991,1.23573,1.16825,0.16341,0.17155,0.16932,1.33724,8.64516,0.09091,6,0.0247,0.00684,-9.20513,-15.21186
"22","2015_Q3",8.8675,"Down",9.06e+08,-1.6e+08,7.46e+08,-6.15e+08,-4.02e+08,-1.99e+08,-1.4e+07,1.31e+08,-1.3e+07,-1.7e+07,4e+06,1.18e+08,-3.1e+07,8.7e+07,-3.4e+07,5.3e+07,1.56e+08,1.56e+08,1.56e+08,3.357e+09,3.097e+09,2.6e+08,7.38e+08,7.38e+08,5.69e+08,3.62e+08,4.664e+09,1.262e+09,6.534e+09,5.72e+08,5.847e+09,1.15e+08,7.796e+09,1.246e+10,6.15e+08,3.26e+08,2.89e+08,3.114e+09,3.48e+08,3.729e+09,1.74e+09,1.099e+09,3.81e+08,2.13e+08,2.839e+09,6.568e+09,5.801e+09,3e+06,8.8e+07,5.892e+09,5.892e+09,1.246e+10,5.3e+07,7.6e+07,3.3e+07,-5.8e+07,1.34e+08,-5e+07,-1.43e+08,5.78e+08,-3.5e+08,-1.2e+08,-3000000.00000003,-5.76e+08,1.36e+08,1.36e+08,-2e+07,1.16e+08,2.07e+08,1.74e+09,1.33e+08,0.8234,0.14459,0.17219,0.02648,0.01252,0.85256,1.25074,1.11473,0.13965,0.22874,0.22707,1.32845,8.6393,0.19501,4,0.02966,0.01523,-7.81159,-12.34351
"23","2015_Q4",8.448125,"Down",9.09e+08,-1.5e+08,7.59e+08,-5.63e+08,-3.76e+08,-1.74e+08,-1.3e+07,1.96e+08,-1.7e+07,-1.6e+07,-1e+06,1.79e+08,-5e+07,1.29e+08,-1.5e+07,1.14e+08,1.7e+08,1.7e+08,1.7e+08,2.269e+09,2.213e+09,5.6e+07,4.9e+08,4.9e+08,4.414e+09,2.41e+08,7.173e+09,9.86e+08,3.777e+09,4.64e+08,3.146e+09,1.67e+08,4.763e+09,1.1936e+10,4.44e+08,2.41e+08,2.03e+08,3.383e+09,1.203e+09,3.827e+09,1.74e+09,9.75e+08,3.99e+08,2.1e+08,2.715e+09,6.542e+09,5.246e+09,7.3e+07,7.5e+07,5.394e+09,5.394e+09,1.1936e+10,1.14e+08,7.4e+07,9.2e+07,-1.27e+08,1.12e+08,-1.14e+08,1.72e+08,5.9e+07,-1e+06,-5.99e+08,-1.5e+07,-7.17e+08,-5.46e+08,-5.46e+08,-3.9e+07,-5.85e+08,2.7e+08,1.74e+09,4.4e+07,0.83498,0.21562,0.18702,0.03152,0.01424,0.25882,1.87431,1.21283,0.14578,0.25564,0.25335,1.36692,8.11128,0.06617,5,0.03354,0.00543,-1.95926,-2.69898
"24","2016_Q1",8.62819672131148,"Up",8.73e+08,-1.47e+08,7.26e+08,-5.78e+08,-3.85e+08,-1.77e+08,-1.6e+07,1.48e+08,-1.2e+07,-2.5e+07,1.3e+07,1.36e+08,-2e+07,1.16e+08,-1.129e+09,-1.013e+09,2.045e+09,2.045e+09,2.045e+09,5.983e+09,5.983e+09,23117092.7601819,5.56e+08,5.56e+08,4.2e+08,4.2e+08,6.959e+09,9.57e+08,3.851e+09,4.43e+08,3.148e+09,1.03e+08,4.808e+09,1.1767e+10,1.335e+09,1.75e+08,2.19e+08,2.698e+09,4.19e+08,4.033e+09,2.207e+09,1.851e+09,1.235e+09,2.57e+08,4.058e+09,8.091e+09,4.309e+09,-6.55e+08,2.2e+07,3.676e+09,3.676e+09,1.1767e+10,-1.013e+09,7.2e+07,1.072e+09,1.015e+09,2.56e+08,-4.7e+07,-3e+08,5.144e+09,5.18e+08,-9.98e+08,1.314e+09,-1.884e+09,3.516e+09,3.516e+09,-4.5e+07,3.471e+09,2.2e+08,2.207e+09,2.317e+09,0.83162,0.16953,2.3425,0.55631,0.17379,1.13301,1.72551,2.20103,0.18756,3.14132,3.24089,1.34101,5.6467,3.55914,7,0.61585,0.29959,-17.16364,-25.51351
"25","2016_Q2",9.399375,"Up",8.84e+08,-1.49e+08,7.35e+08,-5.59e+08,-3.75e+08,-1.7e+08,-1.4e+07,1.76e+08,-9e+06,-2.2e+07,1.3e+07,1.67e+08,-7e+07,9.7e+07,-3.1e+07,6.6e+07,1.35e+08,1.35e+08,1.35e+08,6.118e+09,6.108e+09,1e+07,3.14e+08,3.14e+08,3.67e+08,3.67e+08,6.799e+09,9.04e+08,3.827e+09,4.23e+08,3.146e+09,1.01e+08,4.731e+09,1.153e+10,3.05e+08,1.15e+08,1.66e+08,2.418e+09,3.33e+08,3.322e+09,2.605e+09,1.837e+09,1.266e+09,2.39e+08,4.442e+09,7.764e+09,4.289e+09,-5.2e+08,-3e+06,3.766e+09,3.766e+09,1.153e+10,6.6e+07,7.2e+07,1.09e+08,-9.87e+08,-7.7e+08,-2.2e+07,7e+06,1.5e+07,9.77e+08,1e+06,-1.4e+07,8.96e+08,1.41e+08,1.41e+08,-1.6e+07,1.25e+08,2.48e+08,3.204e+09,-7.3e+08,0.83145,0.1991,0.15271,0.03585,0.01171,-5.40741,2.04666,2.0616,0.27788,0.22023,0.21774,1.44209,6.14356,-1.19086,6,0.02305,-0.08289,-11.75,-16.55682
"26","2016_Q3",11.93015625,"Up",9.79e+08,-2.1e+08,7.69e+08,-7.17e+08,-4.83e+08,-2e+08,-3.4e+07,5.2e+07,-3.8e+07,-4.8e+07,1e+07,1.4e+07,-6.4e+07,-5e+07,-1.9e+07,-6.9e+07,-1.44e+08,-1.44e+08,-1.44e+08,5.619e+09,5.61e+09,9e+06,4.59e+08,4.59e+08,3.91e+08,3.91e+08,6.469e+09,9.33e+08,9.462e+09,1.961e+09,7.232e+09,1.1e+08,1.0395e+10,1.6864e+10,4.53e+08,1.39e+08,2.18e+08,2.456e+09,3.71e+08,3.509e+09,6.576e+09,2.917e+09,2.234e+09,2.81e+08,9.493e+09,1.3002e+10,4.527e+09,-6.64e+08,-1e+06,3.862e+09,3.862e+09,1.6864e+10,-6.9e+07,1.33e+08,1.05e+08,1.2e+07,57999999.9999998,-1.7e+07,0,-4.549e+09,4.005e+09,4.8e+07,-1e+07,3.991e+09,-5e+08,-5e+08,2e+06,-4.98e+08,1.85e+08,7.176e+09,1.99e+08,0.7855,0.05312,-0.14709,-0.03729,-0.00854,-1.38194,1.84355,3.36665,0.42552,-0.23226,-0.23226,1.57903,6.22903,0.320969999999999,4,-0.00659,0.01426,8.41622,29.94231
"27","2016_Q4",12.9209523809524,"Up",1.041e+09,-2.35e+08,8.06e+08,-7.55e+08,-5.08e+08,-2.04e+08,-4.3e+07,5.1e+07,-4.5e+07,-5e+07,5e+06,6e+06,-6.7e+07,-6.1e+07,5e+06,-5.6e+07,4.6e+07,4.6e+07,4.6e+07,5.575e+09,5.575e+09,2395378.74783194,5.57e+08,5.57e+08,3.79e+08,3.79e+08,6.511e+09,8.93e+08,9.356e+09,1.867e+09,7.227e+09,1.04e+08,1.0249e+10,1.676e+10,3.98e+08,1.43e+08,2.4e+08,2.427e+09,3.52e+08,3.605e+09,6.358e+09,2.848e+09,2.164e+09,2.86e+08,9.206e+09,1.2811e+10,4.564e+09,-6.18e+08,3e+06,3.949e+09,3.949e+09,1.676e+10,-5.6e+07,1.51e+08,9.3e+07,-8.9e+07,1.48e+08,-1.8e+07,-5e+06,-1.6e+07,-5.1e+07,4e+06,-1.6e+07,-1.16e+08,1.6e+07,1.6e+07,-5.1e+07,-3.5e+07,2.02e+08,7.138e+09,9e+07,0.77426,0.04899,0.04419,0.01165,0.00274,1.95652,1.8061,3.24411,0.42589,0.07419,0.07419,1.67903,6.36935,0.14516,4,0.0071,0.00646,7.73762,30.64706
"28","2017_Q1",14.9687096774194,"Up",1.115e+09,-2.59e+08,8.56e+08,-9.62e+08,-6.57e+08,-2.49e+08,-5.6e+07,-1.06e+08,-7e+07,-8.8e+07,1.8e+07,-1.76e+08,-7.2e+07,-2.48e+08,7.1e+07,-1.77e+08,-1.43e+08,-1.43e+08,-1.43e+08,4.256e+09,4.247e+09,9e+06,6.49e+08,6.49e+08,4.19e+08,4.19e+08,5.324e+09,9.37e+08,1.1913e+10,3.004e+09,8.627e+09,2.82e+08,1.285e+10,1.8174e+10,4.52e+08,1.8e+08,2.72e+08,2.86e+09,5.07e+08,4.622e+09,6.876e+09,3.189e+09,2.401e+09,3.54e+08,1.0065e+10,1.4687e+10,4.236e+09,-7.61e+08,1.2e+07,3.487e+09,3.487e+09,1.8174e+10,-1.77e+08,1.36e+08,4.6e+07,3.1e+08,3.55e+08,-1.3e+07,3.72529029846191e-09,-2.247e+09,1.048e+09,-4.58e+08,-999999.999999985,5.4e+08,-1.352e+09,-1.352e+09,2.4e+07,-1.328e+09,3e+07,8.186e+09,2.56e+08,0.76771,-0.09507,-0.12825,-0.04101,-0.00787,-1.79021,1.15188,4.21193,0.45042,-0.23102,-0.23366,1.80129,5.63328,0.41357,4,-0.00632,0.01723,131,-37.07547
"29","2017_Q2",15.998253968254,"Up",1.175e+09,-2.57e+08,9.18e+08,-8.74e+08,-5.82e+08,-2.33e+08,-5.9e+07,4.4e+07,-9e+07,-8.4e+07,-6e+06,-4.6e+07,-8.8e+07,-1.34e+08,2.4e+07,-1.1e+08,-1.33e+08,-1.33e+08,-1.33e+08,2.306e+09,2.306e+09,60698351.161532,4.68e+08,4.68e+08,3.99e+08,3.99e+08,3.173e+09,8.95e+08,1.18e+10,2.892e+09,8.638e+09,1.12e+08,1.2695e+10,1.5868e+10,3.49e+08,1.21e+08,2.06e+08,2.772e+09,4.43e+08,3.121e+09,6.202e+09,3.156e+09,2.332e+09,3.59e+08,9.358e+09,1.2479e+10,4.273e+09,-8.94e+08,1e+07,3.389e+09,3.389e+09,1.5868e+10,-1.1e+08,1.65e+08,1.25e+08,7.1e+07,2.13e+08,-4.7e+07,1e+06,-5.4e+07,-2.01e+09,1.1e+07,-6.1e+07,-2.126e+09,-1.967e+09,-1.967e+09,2.6e+07,-1.941e+09,2.09e+08,6.202e+09,2.09e+08,0.78128,0.03745,-0.11319,-0.03924,-0.00838,-1.57143,1.01666,3.68221,0.39085,-0.21839,-0.21839,1.92939,5.56486,0.34319,4,-0.00526,0.0164,18.64115,88.54545
"30","2017_Q3",16.1680952380952,"Up",1.24e+09,-2.62e+08,9.78e+08,-8.9e+08,-5.94e+08,-2.41e+08,-5.5e+07,8.8e+07,-6e+07,-5.7e+07,-3e+06,2.8e+07,-9.7e+07,-68999999.9999999,5.3e+07,-15999999.9999999,-11999999.9999999,-12000000.0000001,-12000000.0000001,2.026e+09,1.826e+09,2e+08,5.14e+08,5.14e+08,1.147e+09,4.01e+08,3.687e+09,8.68e+08,1.1441e+10,2.847e+09,8.301e+09,1.34e+08,1.2309e+10,1.5996e+10,4.16e+08,1.87e+08,1.93e+08,2.741e+09,7e+08,3.287e+09,6.079e+09,3.095e+09,2.239e+09,3.83e+08,9.174e+09,1.2461e+10,4.434e+09,-9.06e+08,7e+06,3.535e+09,3.535e+09,1.5996e+10,-1.6e+07,1.63e+08,60999999.9999999,-3.8e+07,1.77e+08,-2.5e+07,-2.02e+08,-5.8e+08,-4.76837158203125e-07,6.3e+07,-9e+07,-75000000.000001,-4.78e+08,-4.78e+08,8e+06,-4.7e+08,2.51e+08,6.209e+09,1.35e+08,0.78871,0.07097,-0.00968000000000006,-0.00339000000000001,-0.000749999999999999,-11.25,1.12169,3.52504,0.38816,-0.0195100000000001,-0.01951,2.01626,5.74797,0.21951,7,0.0028,0.01051,16.66534,47.53409
