"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",4.5309375,"Down",-25710000,-5395000,-20315000,-25710000,136000,136000,-25574000,-25574000,-25574000,-25574000,-25574000,-25574000,272450000,34159000,238291000,2955000,2955000,275405000,5833000,1701000,1701000,7534000,282939000,8357000,2138000,6219000,9158000,8470000,8470000,8470000,17628000,1051054000,-785821000,78000,265311000,265311000,282939000,-25574000,669000,1793000,-1999000,-25111000,-676000,26462000,25786000,102236768.931156,102236768.931156,102236177.663171,675000,675000,675000,-25041000,0,-0.09639,-0.09039,30.07261,0.06644,0,-0.29348,-0.29348,3.04462,-0.09341,10.88016,10.59704
"12","2013_Q3",3.64953125,"Down",-24285000,-4892000,-19393000,-22885000,117000,117000,-22768000,-22768000,-22768000,-22768000,-22768000,-22768000,251641000,21868000,229773000,2935000,2935000,254576000,5454000,1644000,1644000,7098000,261674000,7535000,2121000,5414000,8472000,8151000,8151000,8151000,16623000,1053623000,-808589000,17000,245051000,245051000,261674000,-22768000,628000,1747000,-928000,-21321000,-249000,8457000,8208000,822000,822000,821999.999999881,-12291000,-12291000,-12291000,-22257000,-7.105427357601e-15,-0.09291,-0.08701,30.0491,0.06783,-5.29395592033938e-23,-0.26126,-0.26126,2.81193,-0.08992,11.30615,10.99589
"13","2013_Q4",2.9353125,"Down",-22251000,-4677000,-17574000,-22251000,106000,106000,-22145000,-23824000,-23824000,-23824000,-23824000,-23824000,230882000,16031000,214851000,2131000,2131000,233013000,4938000,1586000,1586000,6524000,239537000,7230000,1025000,6205000,8303000,7832000,7832000,7832000,16135000,1055686000,-832413000,129000,223402000,223402000,239537000,-23824000,644000,2063000,374000,-20743000,-128000,15034000,14906000,0,0,0,-5837000,-5837000,-5837000,-21607000,0,-0.10664,-0.09946,28.06371,0.07222,0,-0.27249,-0.27249,2.55521,-0.10303,10.68552,10.37625
"14","2014_Q1",3.56491803278689,"Up",-22694000,-4648000,-18046000,-16944000,67000,67000,-16877000,-16861000,-16861000,-16861000,-16861000,-16861000,211975000,20854000,191121000,2350000,2350000,220075000,4455000,1528000,1528000,5983000,226058000,9086000,3903000,5183000,10294000,7513000,7513000,7513000,17807000,1057478000,-849274000,47000,208251000,208251000,226058000,-16861000,651000,1547000,-4239000,-18902000,-152000,23648000,23496000,228999.999999998,228999.999999998,229000.000000002,4823000,4823000,4823000,-16293000,0,-0.08096,-0.07459,21.37896,0.08551,0,-0.19284,-0.19284,2.38181,-0.07815,13.01019,12.51033
"15","2014_Q2",3.39968253968254,"Down",-22385000,-5516000,-16869000,-22385000,82000,82000,-22303000,-22303000,-22303000,-22303000,-22303000,-22303000,195384000,14910000,180474000,2444000,2444000,197828000,3978000,1484000,1484000,5462000,203290000,6515000,1157000,5358000,7865000,7098000,7098000,7098000,14963000,1059866000,-871577000,38000,188327000,188327000,203290000,-22303000,655000,2364000,2856000,-16428000,-178000,10638000,10460000,24000,24000,24000,-5944000,-5944000,-5944000,-21730000,0,-0.11843,-0.10971,25.15296,0.07945,0,-0.25482,-0.25482,2.15167,-0.11413,8.99144,8.72834
"16","2014_Q3",2.82484375,"Down",-25456000,-5393000,-20063000,-25456000,65000,65000,-25391000,-25391000,-25391000,-25391000,-25391000,-25391000,176030000,23882000,152148000,1510000,1510000,177540000,3430000,1461000,1461000,4891000,182431000,8569000,1896000,6673000,10065000,6633000,6633000,6633000,16698000,1062659000,-896968000,42000,165733000,165733000,182431000,-25391000,623000,2132000,2692000,-19944000,-75000,28330000,28255000,661000,661000,661000,8972000,8972000,8972000,-24833000,-2.77555756156289e-17,-0.1532,-0.13918,17.63934,0.10075,0,-0.29008,-0.29008,1.8934,-0.14731,7.08855,6.91507
"17","2014_Q4",2.0225,"Down",-21040000,-4889000,-16151000,-21040000,52000,52000,-20988000,-20942000,-20942000,-20942000,-20942000,-20942000,157672000,12814000,144858000,1271000,1271000,158943000,2862000,1414000,1414000,4276000,163219000,8560000,1018000,7542000,10201000,6168000,6168000,6168000,16369000,1064744000,-917910000,16000,146850000,146850000,163219000,-20942000,574000,2034000,-43000,-18377000,40000,7264000,7304000,5000,5000,5000,-11068000,-11068000,-11068000,-20466000,0,-0.14261,-0.12831,15.58112,0.11147,0,-0.23854,-0.23854,1.67268,-0.13686,7.70409,7.49392
"18","2015_Q1",2.74180327868852,"Up",-21316000,-6703000,-14613000,-13066000,44000,44000,-13022000,-22272000,-22272000,-22272000,-22272000,-22272000,143159000,15203000,127956000,1628000,1628000,150537000,2509000,1089000,1089000,3598000,154135000,8972000,1613000,7359000,14025000,11864000,11864000,11864000,25889000,1068435000,-940182000,-7000,128246000,128246000,154135000,-22272000,507000,12461000,-5700000,-15004000,34000,16879000,16913000,480000,480000,480000,2389000,2389000,2389000,-12559000,0,-0.17367,-0.1445,10.73348,0.20187,0,-0.25368,-0.25368,1.46071,-0.15896,11.39892,10.9566
"19","2015_Q2",3.82,"Up",-20419000,-4717000,-15702000,-18241000,48000,48000,-18193000,-18193000,-18193000,-18193000,-18193000,-18193000,161155000,42718000,118437000,1261000,1261000,162522000,2106000,1061000,1061000,3167000,165689000,10290000,1136000,9154000,34349000,19192000,19192000,19192000,53541000,1070506000,-958375000,17000,112148000,112148000,165689000,-18193000,435000,2054000,33691000,17987000,-32000,9543000,9511000,17000,17000,17000,27515000,27515000,27515000,-17806000,0,-0.16222,-0.1098,4.73149,0.47741,0,-0.20664,-0.20664,1.27379,-0.13852,9.0506,8.83477
"20","2015_Q3",2.98421875,"Down",-19158000,-4099000,-15059000,-13974000,62000,62000,-13912000,-13912000,-13912000,-13912000,-13912000,-13912000,143942000,17290000,126652000,1230000,1230000,145522000,1810000,1021000,1021000,2831000,148353000,9934000,1096000,8838000,34174000,13028000,13028000,13028000,47202000,1073427000,-972287000,11000,101151000,101151000,148353000,-13912000,379000,1909000,-6522000,-18146000,-73000,-8221000,-8294000,1012000,1012000,1012000,-25428000,-25428000,-25428000,-13595000,4.33680868994202e-19,-0.13754,-0.09378,4.25827,0.46665,3.23117426778526e-27,-0.15785,-0.15785,1.14766,-0.12184,10.58786,10.3007
"21","2015_Q4",3.031875,"Up",-19777000,-4276000,-15501000,-6781000,52000,52000,-6729000,-6672000,-6672000,-6672000,-6672000,-6672000,134350000,38577000,95773000,1667000,1667000,136180000,1817000,1173000,1173000,2990000,139170000,11490000,689000,10801000,34838000,7926000,7926000,7926000,42764000,1075340000,-978959000,25000,96406000,96406000,139170000,-6672000,287000,1758000,-4830000,-9457000,-247000,30893000,30646000,98000,98000,98000,21287000,21287000,21287000,-6494000,0,-0.06921,-0.04794,3.90895,0.44358,0,-0.07538,-0.07538,1.08926,-0.06395,20.68833,19.81271
"22","2016_Q1",2.46688524590164,"Down",-21284000,-4721000,-16563000,-12747000,60000,60000,-12687000,-12687000,-12687000,-12687000,-12687000,-12687000,126276000,43456000,82820000,2545000,2545000,129024000,1613000,1110000,1110000,2723000,131747000,15100000,2763000,12337000,33796000,6570000,6570000,6570000,40366000,1083071000,-991646000,-44000,91381000,91381000,131747000,-12687000,338000,1625000,-3073000,-13797000,-134000,12884000,12750000,5926000,5926000,5926000,4879000,4879000,4879000,-12409000,3.46944695195361e-18,-0.13884,-0.0963,3.81773,0.44173,2.58493941422821e-26,-0.14247,-0.14247,1.02618,-0.12952,10.17616,9.90633
"23","2016_Q2",2.48640625,"Up",-22596000,-4423000,-18173000,-17567000,103000,103000,-17464000,-17464000,-17464000,-17464000,-17464000,-17464000,103632000,14269000,89363000,1779000,1779000,105606000,1610000,1064000,1064000,2674000,108280000,13662000,2424000,11238000,27711000,5117000,5117000,5117000,32828000,1084513000,-1009110000,49000,75452000,75452000,108280000,-17464000,324000,1438000,-6718000,-22420000,-321000,-6450000,-6771000,4000,4000,4000,-29187000,-29187000,-29187000,-17243000,0,-0.23146,-0.16129,3.81098,0.43508,0,-0.19286,-0.19286,0.83322,-0.21676,6.01009,5.89924
"24","2016_Q3",2.86671875,"Up",-22242000,-4774000,-17468000,-13648000,115000,115000,-13533000,-13533000,-13533000,-13533000,-13533000,-13533000,94940000,24946000,69994000,1862000,1862000,96897000,1581000,842000,842000,2423000,99320000,12596000,1506000,11090000,22001000,3599000,3599000,3599000,25600000,1096310000,-1022643000,53000,73720000,73720000,99320000,-13533000,260000,2014000,-7175000,-18434000,-225000,19373000,19148000,9963000,9963000,9963000,10677000,10677000,10677000,-13388000,-5.55111512312578e-17,-0.18357,-0.13626,4.40421,0.34726,-4.13590306276514e-25,-0.14631,-0.14631,0.79702,-0.17503,7.09143,6.95633
"25","2016_Q4",2.86412698412698,"Down",-20729000,-4558000,-16171000,-16969000,110000,110000,-16859000,-22629000,-22629000,-22629000,-22629000,-22629000,85255000,25950000,59305000,1292000,1292000,86547000,1294000,8e+05,8e+05,2094000,88641000,14797000,1518000,13279000,20632000,2066000,2066000,2066000,22698000,1111206000,-1045272000,9000,65943000,65943000,88641000,-22629000,214000,2033000,-2189000,-22571000,-252000,10645000,10393000,13182000,13182000,13182000,1004000,1004000,1004000,-16755000,0,-0.34316,-0.25529,4.19479,0.34421,0,-0.23707,-0.23707,0.69084,-0.33274,5.08833,5.02416
"26","2017_Q1",2.54822580645161,"Down",-18787000,-7153000,-11634000,-15787000,109000,109000,-15678000,-15590000,-15590000,-15590000,-15590000,-15590000,74766000,17632000,57134000,1448000,1448000,76214000,1156000,764000,764000,1920000,78134000,16562000,5563000,10999000,22588000,519000,519000,519000,23107000,1115907000,-1060862000,-18000,55027000,55027000,78134000,-15590000,143000,2693000,290000,-12464000,82000,2029000,2111000,2035000,2035000,2035000,-8318000,-8318000,-8318000,-15644000,-4.44089209850063e-16,-0.28332,-0.19953,3.37409,0.41992,0,-0.1574,-0.1574,0.55558,-0.28067,4.77921,4.73592
"27","2017_Q2",2.73698412698413,"Up",-19786000,-7410000,-12376000,-16202000,156000,156000,-16046000,-15314000,-15314000,-15314000,-15314000,-15314000,98141000,40144000,57997000,1383000,1383000,99524000,1072000,730000,730000,1802000,101326000,11501000,1178000,10323000,17245000,0,0,0,17245000,1160286000,-1076176000,-29000,84081000,84081000,101326000,-15314000,126000,685000,-6259000,-20762000,691000,-841000,-150000,43424000,43424000,43424000,22512000,22512000,22512000,-16076000,0,-0.18213,-0.15114,5.77118,0.2051,0,-0.13481,-0.13481,0.74016,-0.18213,6.10481,6.05734
"28","2017_Q3",2.43206349206349,"Down",-19344000,-7820000,-11524000,-19344000,197000,197000,-19147000,-19147000,-19147000,-19147000,-19147000,-19147000,82302000,32591000,49711000,1490000,1490000,83792000,982000,704000,704000,1686000,85478000,11892000,2066000,9826000,15873000,2.91038304567337e-11,2.91038304567337e-11,0,15873000,1164947000,-1095323000,-19000,69605000,69605000,85478000,-19147000,114000,1026000,-1463000,-19470000,-14000.0000000002,8370000,8356000,3560999.99999999,3560999.99999999,3561000.00000001,-7553000,-7553000,-7553000,-19230000,0,-0.27508,-0.224,5.2789,0.22804,0,-0.1563,-0.1563,0.5682,-0.27508,4.27988,4.25465
"29","2017_Q4",3.80587301587302,"Up",-18755000,-7947000,-10808000,-17855000,195000,195000,-17660000,-17660000,-17660000,-17660000,-17660000,-17660000,68076000,25879000,42197000,1485000,1485000,69561000,919000,770000,770000,1689000,71250000,12861000,2193000,10668000,15006000,77000,77000,77000,15083000,1169157000,-1112983000,-7000,56167000,56167000,71250000,-17660000,112000,782000,-844000,-17610000,-56000,7617000,7561000,3337000,3337000,3337000,-6712000,-6712000,-6712000,-17743000,0,-0.31442,-0.24786,4.63555,0.26854,0,-0.1417,-0.1417,0.45068,-0.31399,3.83678,3.81271
"30","2018_Q1",4.00262295081967,"Up",-26215000,-14654000,-11561000,-26215000,344000,344000,-25871000,-25871000,-25871000,-25871000,-25871000,-25871000,115751000,38290000,77461000,1682000,1682000,117433000,875000,803000,803000,1678000,119111000,18053000,2636000,15417000,18337000,128000,128000,128000,18465000,1239582000,-1138854000,-82000,100646000,100646000,119111000,-25871000,113000,2907000,3136000,-19715000,-53000,-35187000,-35240000,67366000,67366000,67366000,12411000,12411000,12411000,-26102000,0,-0.25705,-0.2172,6.40416,0.18346,0,-0.17895,-0.17895,0.69617,-0.25672,4.43456,4.41545
"31","2018_Q2",3.55859375,"Down",-24734000,-13492000,-11242000,-24734000,349000,349000,-24385000,-24385000,-24385000,-24385000,-24385000,-24385000,94300000,40125000,54175000,2320000,2320000,96620000,1439000,754000,754000,2193000,98813000,18790000,2623000,16167000,18790000,216000,216000,216000,19006000,1243133000,-1163239000,-87000,79807000,79807000,98813000,-24385000,113000,1406000,-528000,-23394000,-197000,23415000,23218000,2011000,2011000,2011000,1835000,1835000,1835000,-24621000,0,-0.30555,-0.24678,5.1421,0.23815,0,-0.16576,-0.16576,0.54248,-0.30472,3.83006,3.81257
"32","2018_Q3",3.00174603174603,"Down",-27868000,-17071000,-10797000,-26111000,554000,554000,-25557000,-25557000,-25557000,-25557000,-25557000,-25557000,134992000,65078000,69914000,1951000,1551000,139057000,1484000,678000,678000,2162000,141219000,17365000,3342000,14023000,17365000,287000,287000,287000,17652000,1312412000,-1188796000,-49000,123567000,123567000,141219000,-25557000,159000,929000,-2525000,-26994000,-684000,-15518000,-16202000,68149000,68149000,68149000,24953000,24953000,24953000,-25952000,-1.81898940354586e-12,-0.20683,-0.18097,8.00789,0.14285,0,-0.15817,-0.15817,0.76476,-0.20635,5.2016,5.16993
"33","2018_Q4",2.82206349206349,"Down",-29166000,-18069000,-11097000,-24370000,604000,604000,-23766000,-23766000,-23766000,-23766000,-23766000,-23766000,115637000,61486000,54151000,1592000,1562000,121036000,1481000,652000,652000,2133000,123169000,19696000,2641000,17055000,19696000,0,0,0,19696000,1316060000,-1212562000,-25000,103473000,103473000,123169000,-23766000,159000,2771000,754000,-20082000,-156000,16011000,15855000,635000,635000,635000,-3592000,-3592000,-3592000,-24211000,0,-0.22968,-0.19295,6.14521,0.19035,0,-0.14277,-0.14277,0.62159,-0.22968,4.77622,4.74506
"34","2019_Q1",2.28622950819672,"Down",-35137000,-21370000,-13767000,2532000,696000,696000,3228000,3228000,3228000,3228000,3228000,3228000,128537000,76322000,52215000,3479000,3479000,136987000,1387000,734999.999999999,734999.999999999,2122000,139109000,23106000,6391000,16715000,27734000,1498000,1498000,1498000,29232000,1319235000,-1209334000,-24000,109877000,109877000,139109000,3228000,163000,1832000,6421000,11644000,-69000,2162000,2093000,1099000,1099000,1099000,14836000,14836000,14836000,2695000,0,0.02938,0.0232,4.93932,0.26604,0,0.01933,0.01933,0.6581,0.02898,-47.69462,-50.76501
"35","2019_Q2",2.25698412698413,"Down",-30895000,-19946000,-10949000,-18378000,780000,780000,-17598000,-17598000,-17598000,-17598000,-17598000,-17598000,127923000,74696000,53227000,4652000,4652000,139319000,1600000,31865000,31865000,33465000,172784000,19365000,1179000,18186000,26138000,51331000,51331000,51331000,77469000,1322237000,-1226932000,10000,95315000,95315000,172784000,-17598000,164000,4362000,12503000,-569000,-377000,-696000,-1073000,16000,16000,16000,-1626000,-1626000,-1626000,-18214000,0,-0.18463,-0.10185,5.33013,0.81277,0,-0.10527,-0.10527,0.57016,-0.12,7.02333,6.96066
"36","2019_Q3",2.0659375,"Down",-31435000,-18209000,-13226000,-21339000,733000,733000,-20606000,-20606000,-20606000,-20606000,-20606000,-20606000,112377000,44229000,68148000,3972000,3972000,124504000,1532000,30122000,30122000,31654000,156158000,20016000,3777000,16239000,28380000,49487000,49487000,49487000,77867000,1325786000,-1247538000,43000,78291000,78291000,156158000,-20606000,173000,4049000,-266999.999999998,-16651000,-115000,-14557000,-14672000,856000,856000,856000,-30467000,-30467000,-30467000,-21166000,2.3283064365387e-10,-0.2632,-0.13196,4.38703,0.99458,1.73472347597681e-18,-0.12325,-0.12325,0.46827,-0.16126,5.30932,5.26627000000001
"37","2019_Q4",2.05890625,"Down",-32584000,-18121000,-14463000,-12037000,547000,547000,-11490000,-11490000,-11490000,-11490000,-11490000,-11490000,107480000,39093000,68387000,5789000,5789000,126002000,1718000,28341000,28341000,30059000,156061000,22164000,2661000,19503000,31006000,46355000,46355000,56144000,87150000,1327903000,-1259028000,36000,68911000,68911000,156061000,-11490000,166000,3557000,-6874000,-14641000,-352000,58000,-294000,10000,10000,9799000,-5136000,-5136000,-5136000,-11871000,9789000,-0.16674,-0.07363,4.06379,1.26467,0.06273,-0.06855,-0.06855,0.41113,-0.09188,8.22938,8.11589
"38","2020_Q1",2.12838709677419,"Up",-32559000,-18312000,-14247000,-17337000,137000,137000,-17200000,-17200000,-17200000,-17200000,-17200000,-17200000,98078000,22521000,75557000,9462000,9462000,119005000,2159000,26405000,26405000,28564000,147569000,25652000,4152000,21500000,58212000,25732000,25732000,35542000,93754000,1330020000,-1276228000,23000,53815000,53815000,147569000,-17200000,180000,-3926000,11297000,-9649000,-611000,-7006000,-7617000,694000,694000,694000,-16572000,-16572000,-16572000,-17157000,9810000,-0.31961,-0.11656,2.04434,1.74215,0.06648,-0.10261,-0.10261,0.32105,-0.19249,5.14472,5.09131
"39","2020_Q2",1.79904761904762,"Down",-34579000,-18430000,-16149000,21027000,216000,216000,21243000,21243000,21243000,21243000,21243000,21243000,95926000,45225000,50701000,9124000,9124000,116332000,2595000,24436000,24436000,27031000,143363000,21339000,2207000,19132000,31172000,23863000,23863000,33692000,64864000,1333406000,-1254985000,78000,78499000,78499000,143363000,21243000,171000,1886000,-26393000,-3093000,-607000,25068000,24461000,1336000,1336000,1336000,22704000,22704000,22704000,21198000,9829000,0.27061,0.14818,3.73194,0.8263,0.06856,0.12609,0.12602,0.46596,0.18935,-4.06156,-4.09459
"40","2020_Q3",2.4553125,"Up",-33134000,-18920000,-14214000,-17392000,-184000,-184000,-17576000,-17576000,-17576000,-17576000,-17576000,-17576000,92497000,36469000,56028000,7182000,7182000,113090000,2381000,22564000,22564000,24945000,138035000,23491000,3414000,20077000,34760000,20249000,20249000,40065000,74825000,1335725000,-1272561000,46000,63210000,63210000,138035000,-17576000,164000,1688000,1685999.99999999,-14038000,44000,-5278000,-5234000,541000,541000,10516000,-8756000,-8756000,-8756000,-17228000,19816000,-0.27806,-0.12733,3.25345,1.18375,0.14356,-0.10427,-0.10432,0.37498,-0.17019,4.21877,4.17899
"41","2020_Q4",2.895,"Up",-32030000,-17430000,-14600000,-13781000,-393000,-393000,-14174000,-14174000,-14174000,-14174000,-14174000,-14174000,72812000,36567000,36245000,10355000,10355000,99848000,2517000,20693000,20693000,23210000,123058000,22789000,2283000,20506000,34192000,18075000,18075000,37911000,72103000,1337688000,-1286735000,2000,50955000,50955000,123058000,-14174000,165000,1920000,-7393000,-19482000,-195000,19723000,19528000,52000,52000,52000,98000,98000,98000,-13616000,19836000,-0.27817,-0.11518,2.92022,1.41503,0.16119,-0.0839,-0.08391,0.30162,-0.1595,3.89072,3.84413
