"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",47.318125,"Up",65872533,-44126828,21745705,-5221294,-5221294,16524411,17768,-194576,212344,16542179,16542179,-3131520,13410659,13410659,13410659,13410659,77652645,77652645,73960377,73960377,48055210,10421535,502886,9918649,210089767,86760085,31835096,26608017,119226,118595181,328684948,31332505,5270455,26062050,16976100,2905754,1186723,51214359,51214359,123794227,136199635,17476727,277470589,277470589,328684948,13410659,13410659,4016206,473798,-11640844,6259819,-6347638,-9744,-6357382,2381210,2381210,2283647,2283647,431217,2714864,20540617,16976100,5683655,0.33012,0.25085,0.20358,0.04833,0.0408,0.42382,4.10217,0.18458,0.05165,5.76212,5.76212,28.30325,119.21996,2.44208,0.04555,0.0193,-2.95398,-3.67193
"12","2014_Q1",36.9939344262295,"Down",69781691,-45270448,24511243,-6572514,3398201,17938729,-251484,-254768,3284,17687245,17687245,-3426584,14260661,14260661,14260661,14260661,75031489,75031489,85323442,85323442,34511167,32298839,397897,20224206,227164937,50660989,70902416,26608013,165846,121563405,348728342,33038276,3375333,29662943,16099100,2737674,2737674,51875050,51875050,126114757,148925125,21813410,296853292,296853292,348728342,14260661,14260661,4733611,785359,-4955388,14824243,-17621643,185325,-17436318,-1103970,-1103970,-3716045,-3716045,1094889,-2621156,22672340,16099100,3521893,0.35126,0.25707,0.20436,0.04804,0.04089,0.24697,4.37908,0.17475,0.04617,6.10523,6.10523,29.8747,127.08782,1.50778,0.04557,0.01125,-2.59931,-3.2852
"13","2014_Q2",29.647619047619,"Down",50303347,-27833659,22469688,-9135966,-9135966,13333722,-293915,-177532,-116383,13039807,13039807,-2661350,10378457,10378457,10378457,10378457,44890502,44890502,95380068,95380068,50037697,31199700,390073,19104023,221507967,85167587,57350616,26398928,77129,142518203,364026170,31974351,3888978,28085373,16301100,5314760,1206895,53590211,53590211,129669167,158258666,22508126,310435959,310435959,364026170,10378457,10378457,5666842,1984494,-22313143,-4283350,-26418134,0,-26418134,262800,262800,-30438684,-30438684,297697,-30140987,19000564,16301100,-27069363,0.44668,0.26507,0.20632,0.03343,0.02851,-2.60823,4.13337,0.17263,0.04478,4.15668,4.15668,20.14704,124.33296,-10.84157,0.03176,-0.08285,-1.50466,-2.14414
"14","2014_Q3",25.14578125,"Down",40634601,-21783086,18851515,-13373027,17621,5478488,-352861,-282804,-70057,5125627,5125627,-1449890,3675737,3675737,3675737,3675737,13912272,13912272,76362588,76362588,71920922,39574889,369796,27391238,201770671,80496396,92933851,26237731,95761,173430247,375200918,22856078,3406023,19450055,19889550,12544359,1512337,55289987,55289987,133101676,161354049,25455206,319910931,319910931,375200918,3675737,3675737,10066344,2852155,-11893600,4700636,-39449067,0,-39449067,3566600,3566600,-31181831,-31181831,203601,-30978230,15544832,19889550,-34347945,0.46393,0.13482,0.09046,0.01149,0.0098,-9.34451,3.64932,0.17283,0.05301,1.38686,1.38686,15.3315,120.70293,-12.95954,0.01082,-0.10108,0.38452,1.09105
"15","2014_Q4",23.393125,"Down",70295981,-44135266,26160715,-14583819,-4395721,11576896,-368954,-434517,65563,11207942,9548213,-2339082,7209131,7209131,7209131,7209131,23887359,23887359,87361396,87361396,72315948,31790160,391160,21338781,215354863,74295502,90197286,25611475,70366,164492788,379847651,16913135,3036980,13876155,28856940,7928744,1557616,53698819,53698819,135466762,168065226,22616844,326148832,326148832,379847651,7209131,7209131,7594378,3526861,-17465682,864688,-225105,0,-225105,9383500,9383500,10023083,10023083,-47996,9975087,19171274,28856940,3819569,0.37215,0.16469,0.10255,0.0221,0.01898,0.52982,4.01042,0.16465,0.07597,2.71933,2.71933,26.51609,123.02539,1.44077,0.02031,0.01076,0.25922,0.42927
"16","2015_Q1",21.8055737704918,"Down",72168159,-48451304,23716855,-13626486,-9814275,10090369,-726289,-345666,-380623,9364080,5861994,-1610624,4251370,4251370,4251370,4251370,26890321,26890321,88781608,88781608,75486898,37053839,480432,36573407,228212666,48061611,116835933,25225143,2726379,164897544,393110210,9608776,3378248,6230528,24002720,27458922,27458922,61070418,61070418,137177970,172021331,22840491,332039792,332039792,393110210,4251370,4251370,9933685,4918029,-3772706,15330378,-7571859,0,-7571859,-4699660,-4699660,3058859,3058859,-55897,3002961.99999999,20024054,24002720,10290113,0.32863,0.13982,0.05891,0.0128,0.01081,2.42042,3.73688,0.18392,0.06106,1.59514,1.59514,27.07795,124.58344,3.86092,0.01194,0.0289,-0.14421,-0.28617
"17","2015_Q2",25.1720634920635,"Up",51301790,-26628356,24673434,-14186353,-3855269,10487081,-384404,-426359,41955,10102677,10102677,-2003595,8099082,8099082,8099082,8099082,41116016,41116016,75058824,75058824,100583401,40316255,529147,39787108,257074496,47275996,110413258,24823031,2748703,157689254,414763750,11167065,2812361,8354704,22947120,38829238,38829238,72943423,72943423,139748737,179224810,22846780,341820327,341820327,414763750,8099082,8099082,11749194,1475164,-3892716,17430724,-4523033,1963830,-2559203,-854550,-654550,14216971,14216971,8724,14225695,22236275,22947120,15824121,0.48095,0.20442,0.15787,0.02369,0.01953,1.95382,3.5243,0.2134,0.05533,3.00297,3.00297,19.02162,126.73977,5.86725,0.0222,0.04338,-0.81708,-1.7325
"18","2015_Q3",22.6671875,"Down",54051174,-31141180,22909994,-15826476,-5175044,7083518,-316197,-320946,4749.00000000006,6767321,6767321,-1551884,5215437,5215437,5215437,5215437,59364446,59364446,71065640,71065640,146979966,12517302,490981,12026321,289927354,46413510,103239958,24466032,1492697,149653468,439580822,16961072,2703105,10961811,23640310,51842440,51842440,92443822,92443822,143077621,180592734,23466645,347137000,347137000,439580822,5215437,5215437,12132486,1757021,2372811,21477755,-5082711,3630,-5079081,748450,1794196,18192870,18192870,55560,18248430,19216004,23640310,18057988,0.42386,0.13105,0.09649,0.01502,0.01186,3.46241,3.13625,0.2663,0.05378,1.88124,1.88124,19.49655,125.21417,6.51361,0.01407,0.0487,-1.85908,-5.04328
"19","2015_Q4",20.673125,"Down",79487215,-51296698,28190517,-15265360,-4660774,12925157,-191682,-202333,10651,12733475,12733475,-2817281,9916194,9916194,9916194,9916194,74785851,74785851,71832200,71832200,123627598,21396622,605939,20790683,291642271,45608632,91358270,24166706,215093,136966902,428609173,17509958,4339791,13170167,21438080,28174788,28174788,67122826,67122826,145489057,190995744,25001546,361486347,361486347,428609173,9916194,9916194,12021223,1138065,-4066591,19008891,-38067,1210,-36857,-2294320,-3829377,15142657,15142657,278748,15421405,24946380,21438080,23659003,0.35465,0.16261,0.12475,0.02743,0.02314,2.3859,4.3449,0.18569,0.05002,3.42518,3.42518,27.45591,124.86206,8.17213,0.03154,0.06179,-2.1385,-4.12744
"20","2016_Q1",15.5118032786885,"Down",78514109,-50332152,28181957,-16964789,-6649839,11217168,-458700,-460521,1820.99999999999,10758468,10758468,-2544055,8214413,8214413,8214413,8214413,92982564,92982564,68528598,68528598,101302947,41370237,459400,40910837,304184346,44634194,80764078,23805746,185480,125398272,429582618,11829649,2372130,9457519,23605540,21197955,21197955,56633144,56633144,148426977,198814259,25708238,372949474,372949474,429582618,8214413,8214413,11806620,841054,-11244540,9617547,-41867,4622464,4580597,2114380,3815380,18013524,18013524,183189,18196713,23023788,23605540,14281436,0.35894,0.14287,0.10462,0.02203,0.01912,1.73858,5.37114,0.15185,0.05495,2.77616,2.77616,26.53479,126.04278,4.82658,0.02071,0.03601,-3.01328,-6.1849
"21","2016_Q2",16.50796875,"Up",54184271,-29996109,24188162,-14810112,-5097397,9378050,-354936,-350373,-4563,9023114,9023114,-1777442,7245672,7245672,7245672,7245672,94360932,94360932,67400965,67400965,105405934,69612652,399698,69212954,336780483,41952514,67589160,22481635,155599,109541674,446322157,8486215,2873268,5612947,20781840,50848967,50848967,80117022,80117022,150281568,205327568,10595999,366205135,366205135,446322157,7245672,7245672,11022885,1122577,-12335021,7056113,-2590,5278598.18420836,-2590,-1915200,-1915200,5138323,5138323,-3759955,1378368,20400935,20781840,9840766,0.44641,0.17308,0.13372,0.01979,0.01623,1.35816,4.20361,0.21878,0.04656,2.42029,2.42029,18.09929,122.32433,3.28713,0.01872,0.02543,-3.60665,-7.84588
"22","2016_Q3",16.849375,"Up",56966000,-34330432,22635568,-16855837,-8191085,5779731,-227645,-228374,729,5552086,5552086,-1284551,4267535,4267535,4267535,4267535,99567375,99567375,65730552,65730552,118320621,47825762,340493,47485269,331444310,40221147,56819296,21652844,135128,97040443,428484753,9126602,2371069,6755533,18818800,36426302,36426302,64371704,64371704,151920863,209212316,2979870,364113049,364113049,428484753,4267535,4267535,10423006,1256504,-7316338,8630707,-13075.0000000001,2515340.21727333,-13075,-1360800,-1360800,7256832,7256832,-2050389,5206443,16202737,18818800,10157875,0.39735,0.10146,0.07491,0.01172,0.00996,2.38027,5.14891,0.17679,0.04392,1.38713,1.38713,18.51638,118.35228,3.30174,0.01114,0.02653,-4.98364,-13.97099
"23","2016_Q4",15.7485714285714,"Down",78638474,-53904185,24734289,-14427175,-5646282,10307114,49561,52034,-2473,10356675,10356675,-2104904,8251771,8251771,8251771,8251771,90470157,90470157,74730414,74730414,108506803,38427667,482232,37945435,312135041,39578484,48187983,21433707,122353,87766467,399901508,11784137,2599720,9184417,4808100,7586961,7586961,24179198,24179198,153118989,216901378,5701943,375722310,375722310,399901508,8251771,8251771,9799723,854691,-14706658,4199527,-943,9.31322574615479e-10,-943,-14217160,-14217160,-10018576,-10018576,921358,-9097218,20106837,4808100,7504140,0.31453,0.13107,0.10493,0.02196,0.02063,0.9094,12.90924,0.06435,0.01202,2.68006,2.68006,25.54069,122.02943,2.43724,0.02168,0.01972,-4.26034,-8.31096
"24","2017_Q1",15.6303225806452,"Down",78996275,-57524963,21471312,-14344288,-41502648,7127024,17261.0000000001,16427,834,7144285,7144285,-2205070,4939215,4939215,4939215,4939215,102896486,102896486,116573490,116573490,87436315,26399054,1310709,25088345,333305345,37569739,45631554,23840048,379047,83201293,416506638,25746374,5246153,20500221,4665500,8938663,8793845,39350537,46022306,154835441,221345279,-5696388,370484332,370484332,416506638,4939215,4939215,9065575,1002887,-535369.000000002,14472308,-2584,0,706153,390559.999999996,390560.000000002,15569021,15569021,-3142692,12426329,16192599,11337269,17859716,0.2718,0.09022,0.06252,0.01333,0.01186,3.6159,8.47016,0.12422,0.02722,1.60341,1.60341,25.64447,120.26989,5.79778,0.01294,0.04678,-5.65439,-12.84677
"25","2017_Q2",15.235873015873,"Down",61884622,-38453594,23431028,-14352337,-8243555,9078691,-102980,-61923,-41057,8975711,8975711,-1624131,7351580,7351580,7351580,7351580,108121059,108121059,116563778,116563778,79059776,33133488,1880558,31252930,336878101,36582909,38982246,23323450,434381,75565155,412443256,16977699,5927974,10992381,11371502,7320717,7189182,35669918,35669918,155553899,228121552,-6902113,376773338,376773338,412443256,7351580,7351580,7380446,210089,-9795902,5146213,-71470,0,-71470,3e+05,3e+05,5374743,5374743,-150170,5224573,16459137,11371502,8215896,0.37862,0.1467,0.11879,0.01951,0.01782,1.11757,9.44432,0.09467,0.02757,2.34416,2.34416,19.73281,120.13963,2.61976,0.01894,0.02117,-5.87817,-10.65677
"26","2017_Q3",14.9333333333333,"Down",58745013,-39564772,19180241,-12074725,-8599287,7105516,-130867,-16752,-114115,6974649,6974649,-1468638,5506011,5506011,5506011,5506011,116574852,116574852,125035022,125035022,64255981,30432887,1725644,28707243,336298742,34201866,33475699,21993441,309495,67677565,403976307,16596228,5577064,10909009,4463783,8204224,8139444,29264235,35798498,157232299,233088961,-22143451,368177809,368177809,403976307,5506011,5506011,4735463,1261581,1529722,13032777,-2883,0,-2883.00000000047,4.65661287307739e-10,0,13029894,13029894,-4576101,8453793,11840979,10998046,14836456,0.3265,0.12096,0.09373,0.01495,0.01363,2.69459,11.4918,0.09723,0.02722,1.75523,1.75523,18.72699,117.36933,4.72963,0.01452,0.03913,-8.91622,-14.85843
"27","2017_Q4",15.1471428571429,"Up",81305628,-59952995,21352633,-11658746,-10102715,9693887,177179,-153359,330538,9871066,9871066,-1679391,8191675,8191675,8191675,8191675,118259995,118259995,154950404,154950404,46418945,30341973,1801665,28540308,349971317,33909365,43096529,22589546,10183477,77005894,426977211,23912748,11783861,11831766,5965201,9642662,9589894,39520611,47691968,157807351,240726280,-19248388,379285243,379285243,426977211,8191675,8191675,2805639,5716194,-11947416,4766092,43597,-204660,-5730411,1628115,1628115,663796,663796,1021347,1685143,12499526,14136558,2275098,0.26262,0.11923,0.10075,0.0216,0.01919,0.27773,8.85541,0.12574,0.03311,2.55215,2.55215,25.33108,118.16776,0.70882,0.02082,0.00578,-8.33019,-10.74114
"28","2018_Q1",16.8649180327869,"Up",75913223,-57161945,18751278,-13108760,-24249011,5642518,-251518,6034.00000000006,-257552,5391000,5391000,-1739720,3651280,4102888,4102888,4102888,123031537,123031537,139596455,139596455,78006276,30320194,4201782,26118412,370954462,34191332,50535836,21979421,19567197,84727168,455681630,31657673,19643897,11756872,7678111,10382331,10186519,49718115,58153576,157916504,244738993,-5127443,397528054,397528054,455681630,3651280,4102888,2353964,3427690,-10282109,-1231118,-11527,-5438585,-8742,1464950,1464950,225089.999999998,225089.999999998,4565464,4790554,7996482,16113572,-557434,0.24701,0.07433,0.05405,0.01032,0.009,-0.13586,7.46115,0.14629,0.03536,1.27822,1.27822,23.65021,123.84695,-0.173659999999999,0.00992,-0.00135,-13.37063,-18.94863
"29","2018_Q2",14.81875,"Down",62128651,-43185367,18943284,-12068999,-12068999,6874285,-98872,-91661,-7211,6775413,6775413,-1722655,5052758,5094828,5094828,5094828,133909463,133909463,102418604,102418604,119601723,22960053,2668581,20291472,378889843,33384182,48993992,22446433,17679347,82378174,461268017,34499030,24124592,10046408,6327630,9037193,8920843,49863853,58404918,158537386,249212939,-4887226,402863099,402863099,461268017,5052758,5094828,1900626,41059,5111712,12095373,-5929,-11279.9999999991,-17209,-1353800,-1353800,10724364,10724364,134551,10858915,8774911,14868695,15603349,0.3049,0.11065,0.082,0.01265,0.01105,3.06259,7.59849,0.14497,0.03223,1.60173,1.60173,19.53219,126.65331,4.90543,0.0122,0.03735,-13.56604,-17.31682
"30","2018_Q3",12.7636507936508,"Down",63599325,-45097113,18502212,-8571351,-8571351,9930861,-241175,35661,-276836,9689686,9358720,-1530938,7827782,7826106,7826106,7826106,145417158,145417158,120551994,120551994,105613585,26096799,3709791,22387008,397679536,33227748,47316003,21527536,17497610,80543751,478223287,35429493,22783659,12321604,6285300,10293699,10223515,52008492,59277343,159058305,256518126,3369512,418945943,418945943,478223286,7827783,7785713,1505817,237476,-117595.000000002,8439987,-5829,-48,-5876.99999999977,23510.0000000005,23510,8457620,8457620,3050076,11507696,11436678,13554151,12844192,0.29092,0.15615,0.12305,0.01868,0.01636,1.6412,7.64643,0.14149,0.02834,2.43704,2.43704,19.80473,130.4591,3.99966,0.0181,0.0297,-11.52983,-13.2781
"31","2018_Q4",7.61047619047619,"Down",83555052,-62224070,21330982,-11664554,-11664554,9666428,-194565,-40468,-154097,9471863,9480615,-1813187,7667428,7627034,7627034,7627034,153639728,153639728,159291526,159291526,80715004,23345805,3730085,19615720,416992063,33637684,48080887,21874916,17601435,81718571,498710634,38292144,22099127,15781346,1750100,8226389,8111372,48268633,55924237,159471222,263732243,19582931,442786396,442786396,498710633,7667426,7667426,1352395,8121699,-10266391,7899405,-21449,-2937.00000000023,-32605,-4605499,-4605499,3261301,3261301,4961267,8222568,11018823,9405704,2544170,0.25529,0.11569,0.09128,0.01723,0.01529,0.33357,8.63899,0.1263,0.01886,2.37505,2.35394,26.01891,137.88297,0.79225,0.01687,0.00563000000000001,-13.08978,-14.92113
"32","2019_Q1",6.6772131147541,"Down",77770502,-62438047,15332455,-12002242,-12002242,3330213,-54672,7045,-61717,3275541,3265760,-30785347,-27519587,-27479193,-27479193,-27479193,150805639,150805639,174460937,174460937,53784814,28375261,2945247,25430014,407426651,30894683,44664627,20317914,16180246,75559310,482985961,67750245,27128921,40159264,4726300,10589729,10523586,83066274,90438173,160323276,235822726,-3598215,392547787,392547787,482985960,-27519586,-27479192,1441668,8224732,17566911,-297227,-7907,-94,-8055,3081314,3100325,2795043,2795043,-5610120,-2815077,4771881,12098199,53116232,0.19715,0.04282,-0.35334,-0.07,-0.05689,-1.93296,4.90484,0.23039,0.02505,-8.40695,-8.48167,23.793,120.09552,16.2503,-0.06791,0.13127,-29.06767,-41.65122
