"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","other_adjustments","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","investment_securities_available_for_sale","other_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","securities_sold_under_repo","short_term_borrowings","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","net_change_in_operating_loans","accrued_interest_payable","other_operating_assets_liabilities","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","decrease_in_investments","increase_in_investments","net_change_in_loans_interbank","net_change_in_other_loans","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",48.7151612903226,"Up",5.782e+09,4.646e+09,5.254e+09,-6.08e+08,1.136e+09,1.149e+09,-1.014e+09,4.768e+09,-2.997e+09,-2.997e+09,1.771e+09,1.771e+09,1.723e+09,-5.35e+08,1.188e+09,-1e+07,-1e+07,1.178e+09,1.178e+09,-4e+06,1.174e+09,1.855e+09,6.2224e+10,6.1464e+10,7.6e+08,1.97978e+11,-5.154e+09,2.03132e+11,3.519e+09,1.3901e+10,1.614e+09,1.6784e+10,3.01989e+11,2.13255e+11,1.92488e+11,2.0767e+10,1.2723e+10,9.67e+08,1.1756e+10,3.6339e+10,2.62317e+11,8.53e+08,2.5271e+10,6e+06,2.5265e+10,-3.287e+09,1.6054e+10,7.81e+08,3.9672e+10,3.9672e+10,3.01989e+11,1.178e+09,5.86e+08,1.014e+09,1.224e+09,3.7e+07,1.206e+09,1.029e+09,-3.08e+08,-9.4e+07,1.422e+09,-4.3e+07,4.988e+09,-9.7e+07,-5.726e+09,4.31e+09,-1.0036e+10,-1.772e+09,-1.772e+09,-5.3e+07,-7.648e+09,-2.9e+07,2.476e+09,3.748e+09,-1.272e+09,-1.272e+09,8.69e+08,8.7e+08,-1e+06,-6.78e+08,1.2e+07,2.65e+09,-1e+07,-1e+07,-1e+07,2.357e+09,1.2723e+10,3.824e+09,0.3063,0.20304,0.02959,0.00389,3.25724,6.61214,0.04213,2.02763,2.00924,9.98618,67.04491,6.60449,0.05009,0.00398,0.01266,0.0247,4.61095,6.13665
"12","2013_Q1",46.8435,"Down",5.624e+09,4.528e+09,5.115e+09,-5.87e+08,1.096e+09,1.108e+09,-1.151e+09,4.473e+09,-3.373e+09,-3.373e+09,1.1e+09,1.1e+09,1.367e+09,-5.44e+08,8.23e+08,-5e+06,-5e+06,8.18e+08,8.18e+08,-3e+06,8e+08,3.44e+09,6.4416e+10,6.3988e+10,4.28e+08,2.00733e+11,-5.156e+09,2.05889e+11,3.587e+09,1.3904e+10,1.694e+09,1.7526e+10,3.12918e+11,2.12485e+11,1.90018e+11,2.2467e+10,1.3934e+10,1.248e+09,1.2686e+10,4.6e+10,2.72419e+11,2.38418579101562e-07,2.6194e+10,6e+06,2.6188e+10,-3.287e+09,1.6853e+10,7.39e+08,4.0499e+10,4.0499e+10,3.12918e+11,8.18e+08,6.05e+08,1.151e+09,5.47e+08,4.6e+07,5.15e+08,-2.598e+09,-4.57e+08,5.1e+07,-2.112e+09,-1.8e+07,504999999.999999,-2.01e+08,-2.672e+09,7.454e+09,-1.0126e+10,-4.316e+09,-4.316e+09,7.65e+08,-6.424e+09,-4.4e+07,1.177e+10,1.206e+10,-2.9e+08,-1.288e+09,15999999.9999998,15999999.9999998,0,-7.57e+08,2.3e+07,1.1008e+10,5.089e+09,5.089e+09,5.089e+09,1.705e+09,1.3934e+10,-549999999.999999,0.19559,0.14225,0.01975,0.00256,-0.6875,6.72656,0.04453,1.38074,1.36589,9.70659,69.89817,-0.949260000000001,0.07594,0.0027,-0.00176,0.055,6.15484,9.54
"13","2013_Q2",49.33328125,"Up",5.551e+09,4.57e+09,5.051e+09,-4.81e+08,9.81e+08,1.006e+09,-8.85e+08,4.666e+09,-2.991e+09,-2.991e+09,1.675e+09,1.675e+09,1.675e+09,-5.41e+08,1.134e+09,-7.8e+07,-7.8e+07,1.056e+09,1.056e+09,-5e+06,1.038e+09,1.947e+09,6.4986e+10,6.3968e+10,1.018e+09,1.86727e+11,-4.606e+09,1.91333e+11,3.736e+09,1.39e+10,1.378e+09,2.269e+10,3.00163e+11,2.1241e+11,1.91093e+11,2.1317e+10,1.411e+10,8.55e+08,1.3255e+10,3.2347e+10,2.58867e+11,0,2.6262e+10,6e+06,2.6256e+10,-3.315e+09,1.7876e+10,4.73e+08,4.1296e+10,4.1296e+10,3.00163e+11,1.056e+09,3.41e+08,8.85e+08,4.46e+08,5.4e+07,4.04e+08,-2.5e+08,-2.66e+08,-1.4e+08,-1.6e+08,-1.08e+08,2.37e+09,-2.36e+08,-3.24e+08,5.597e+09,-5.921e+09,6.299e+09,6.299e+09,-1.73e+08,5.566e+09,-4.3e+07,-1.2889e+10,-1.2635e+10,-2.54e+08,-8.92e+08,-5e+06,2.3e+07,-2.8e+07,-7.6e+07,7.65e+08,-1.2248e+10,-4.312e+09,-4.312e+09,-4.312e+09,2.016e+09,1.411e+10,2.071e+09,0.30175,0.18699,0.02514,0.00346,1.99518,6.26857,0.04701,1.78811,1.77042,9.56245,71.13867,3.56761,0.07407,0.0036,0.0069,0.04143,6.03323,7.26149
"14","2013_Q3",56.60828125,"Up",5.638e+09,4.553e+09,5.01e+09,-4.57e+08,1.085e+09,1.089e+09,-7.62e+08,4.876e+09,-3.018e+09,-3.018e+09,1.858e+09,1.858e+09,1.858e+09,-6.31e+08,1.227e+09,-1.19e+08,-1.19e+08,1.108e+09,1.108e+09,-4e+06,1.091e+09,2.176e+09,6.2979e+10,6.2602e+10,3.77e+08,1.87105e+11,-4.407e+09,1.91512e+11,3.766e+09,1.39e+10,1.454e+09,2.2685e+10,2.96542e+11,2.09865e+11,1.87768e+11,2.2097e+10,1.4172e+10,1.766e+09,1.2406e+10,3.1464e+10,2.55501e+11,0,2.6345e+10,6e+06,2.6339e+10,-3.316e+09,1.8804e+10,-7.92e+08,4.1041e+10,4.1041e+10,2.96542e+11,1.108e+09,8.11e+08,7.62e+08,2.98e+08,5.8e+07,2.5e+08,-2.46e+08,-2.86e+08,1.4e+07,1.02e+08,-1.79e+08,2.554e+09,-2.14e+08,-3.72e+08,4.209e+09,-4.581e+09,-1.594e+09,-1.594e+09,1.051e+09,-1.129e+09,-1.89e+08,-1.526e+09,-196999999.999996,-1.329e+09,-1.625e+09,2e+07,2.1e+07,-1e+06,-2.552e+09,7.29e+08,-3.518e+09,-2.093e+09,-2.093e+09,-2.093e+09,2.669e+09,1.4172e+10,2.84e+09,0.32955,0.19351,0.02658,0.00368,2.60312,6.22551,0.04779,1.87618,1.85292,9.69561,70.57782,4.88392,0.32502,0.00432,0.00958,0.17324,4.49457,6.4564
"15","2013_Q4",60.17984375,"Up",5.651e+09,4.56e+09,4.998e+09,-4.38e+08,1.091e+09,1.102e+09,-8.49e+08,4.802e+09,-3.109e+09,-3.109e+09,1.693e+09,1.693e+09,1.693e+09,-5.75e+08,1.118e+09,-1.3e+07,-1.3e+07,1.105e+09,1.105e+09,-5e+06,1.087e+09,2.855e+09,6.1798e+10,6.1408e+10,3.9e+08,1.87481e+11,-4.333e+09,1.91814e+11,3.792e+09,1.3906e+10,1.304e+09,1.5889e+10,2.89888e+11,2.06834e+11,1.84553e+11,2.2281e+10,1.4081e+10,1.686e+09,1.2395e+10,2.7223e+10,2.48138e+11,0,2.6432e+10,6e+06,2.6426e+10,-3.574e+09,1.9731e+10,-8.39e+08,4.175e+10,4.175e+10,2.89888e+11,1.105e+09,4.95e+08,8.49e+08,4.37e+08,6e+07,3.81e+08,6.33e+08,-4.2e+08,-4.8e+07,9.51e+08,-4e+06,3.515e+09,-1.72e+08,7.52e+08,3.334e+09,-2.582e+09,4.414e+09,4.414e+09,3.64e+08,5.358e+09,-1.9e+08,-4.375e+09,-3.088e+09,-1.287e+09,-1.287e+09,-2.38e+08,2e+07,-2.58e+08,-3.034e+09,2.9e+07,-7.808e+09,1.065e+09,1.065e+09,1.065e+09,2.188e+09,1.4081e+10,3.224e+09,0.29959,0.19236,0.02604,0.00375,2.96596,5.94343,0.04857,1.86674,1.83894,9.70462,71.69844,5.53666,0.32629,0.00441,0.01112,0.17479,5.13071,6.63083
"16","2014_Q1",62.2716393442623,"Up",5.544e+09,4.423e+09,4.839e+09,-4.16e+08,1.121e+09,1.122e+09,-9.57e+08,4.587e+09,-3.235e+09,-3.235e+09,1.352e+09,1.352e+09,1.352e+09,-4.77e+08,8.75e+08,-2.3e+07,-2.3e+07,8.52e+08,8.52e+08,-3e+06,8.35e+08,2.821e+09,6.1806e+10,6.0932e+10,8.74e+08,1.92884e+11,-4.315e+09,1.97199e+11,3.839e+09,1.3978e+10,1.418e+09,1.6717e+10,2.96933e+11,2.04523e+11,1.8188e+11,2.2643e+10,1.4049e+10,9.15e+08,1.3134e+10,3.6729e+10,2.55301e+11,0,2.6532e+10,6e+06,2.6526e+10,-4.32e+09,2.0292e+10,-8.72e+08,4.1632e+10,4.1632e+10,2.96933e+11,8.52e+08,4.18e+08,9.57e+08,1.53e+09,6.8e+07,1.475e+09,-2.248e+09,-1.304e+09,9e+06,-9.19e+08,3.6e+07,1.545e+09,-1.96e+08,3.51e+08,3.329e+09,-2.978e+09,-6.828e+09,-6.828e+09,3.57e+08,-6.52e+09,-1.86e+08,7.982e+09,7.135e+09,8.47e+08,-2.82e+08,-7.29e+08,1.7e+07,-7.46e+08,-2.31e+09,7.91e+08,5.548e+09,5.73e+08,5.73e+08,5.73e+08,1.77e+09,1.4049e+10,-1.97e+08,0.24387,0.15061,0.02006,0.00281,-0.23593,6.13233,0.04731,1.45344,1.42931,9.65013,72.46649,-0.342910000000001,0.32376,0.00344,-0.000659999999999999,0.22275,6.3435,8.30473
"17","2014_Q2",66.1801587301587,"Up",5.37e+09,4.35e+09,4.753e+09,-4.03e+08,1.02e+09,1.025e+09,-7.35e+08,4.635e+09,-2.932e+09,-2.932e+09,1.703e+09,1.703e+09,1.703e+09,-5.79e+08,1.124e+09,3e+07,3e+07,1.154e+09,1.154e+09,-5e+06,1.136e+09,3.373e+09,6.1421e+10,6.0871e+10,5.5e+08,1.88843e+11,-4.098e+09,1.92941e+11,3.807e+09,1.3974e+10,1.325e+09,1.4948e+10,2.905e+11,2.08324e+11,1.84214e+11,2.411e+10,1.6435e+10,1.544e+09,1.4891e+10,2.294e+10,2.47699e+11,0,2.6611e+10,6e+06,2.6605e+10,-4.359e+09,2.1259e+10,-7.1e+08,4.2801e+10,4.2801e+10,2.905e+11,1.154e+09,5.14e+08,7.35e+08,7.36e+08,8.4e+07,6.72e+08,6.9e+07,-6.95e+08,-5e+07,8.09e+08,-4.9e+07,3.159e+09,-1.29e+08,2.94e+08,5.006e+09,-4.712e+09,2.817e+09,2.817e+09,7.28e+08,3.71e+09,-1.87e+08,-1.1538e+10,-1.1787e+10,2.49e+08,-1.745e+09,-1.2e+07,2.7e+07,-3.9e+07,3.799e+09,9.6e+08,-6.978e+09,-1.09e+08,-1.09e+08,-1.09e+08,2.217e+09,1.6435e+10,2.736e+09,0.31713,0.21155,0.02654,0.00391,2.40845,5.78722,0.05657,1.98949,1.95761,9.40455,74.95797,4.79159,0.3275,0.00455,0.00942,0.16461,5.89175,7.66999
"18","2014_Q3",69.926875,"Up",5.468e+09,4.315e+09,4.712e+09,-3.97e+08,1.153e+09,1.154e+09,-7.04e+08,4.764e+09,-2.979e+09,-2.979e+09,1.785e+09,1.785e+09,1.785e+09,-5.81e+08,1.204e+09,-1e+07,-1e+07,1.194e+09,1.194e+09,-4e+06,1.177e+09,3.598e+09,6.2162e+10,6.1801e+10,3.61e+08,1.9453e+11,-3.998e+09,1.98528e+11,3.764e+09,1.3977e+10,1.473e+09,1.5679e+10,2.98317e+11,2.0589e+11,1.8097e+11,2.492e+10,1.8658e+10,2.03e+09,1.6628e+10,2.9954e+10,2.54502e+11,0,2.7216e+10,6e+06,2.721e+10,-5.3e+09,2.227e+10,-3.71e+08,4.3815e+10,4.3815e+10,2.98317e+11,1.194e+09,5.03e+08,7.04e+08,8.24e+08,5.3e+07,7.83e+08,-1.483e+09,-1.225e+09,5.2e+07,-3.43e+08,1.9e+07,1.761e+09,-1.21e+08,-6.66e+08,2.529e+09,-3.195e+09,-6.864e+09,-6.864e+09,5.87e+08,-7.064e+09,-1.83e+08,7.349e+09,7032000000.00001,3.17e+08,-2.42e+09,-4.33e+08,5.08e+08,-9.41e+08,-2.436e+09,1.556e+09,5.853e+09,5.5e+08,5.5e+08,5.5e+08,2.288e+09,1.8658e+10,1.265e+09,0.32644,0.21525,0.02686,0.00395,1.07477,5.80856,0.06254,2.07401,2.03774,9.63524,77.20705,2.22907,0.32247,0.00456,0.00424,0.15548,6.58217,8.43697
"19","2014_Q4",69.8303125,"Down",5.639e+09,4.497e+09,4.887e+09,-3.9e+08,1.142e+09,1.151e+09,-9.93e+08,4.646e+09,-2.985e+09,-2.985e+09,1.661e+09,1.661e+09,1.661e+09,-5.36e+08,1.125e+09,-4.4e+07,-4.4e+07,1.081e+09,1.081e+09,-5e+06,1.056e+09,2.652e+09,6.2252e+10,6.1847e+10,4.05e+08,1.9738e+11,-4.212e+09,2.01592e+11,3.752e+09,1.397e+10,1.268e+09,1.5432e+10,3.00202e+11,2.04264e+11,1.78876e+11,2.5388e+10,2.0864e+10,2.33e+09,1.8534e+10,3.1056e+10,2.56184e+11,0,2.7278e+10,6e+06,2.7272e+10,-5.863e+09,2.3162e+10,-5.59e+08,4.4018e+10,4.4018e+10,3.00202e+11,1.081e+09,5.15e+08,9.93e+08,1.74e+09,3e+07,1.731e+09,-1.617e+09,-1.435e+09,-6e+07,-2.34e+08,6.9e+07,2.781e+09,-1.55e+08,-1.62e+08,6.009e+09,-6.171e+09,-4.304e+09,-4.304e+09,3.57e+08,-4.264e+09,-1.89e+08,2.689e+09,7.25e+08,1.964e+09,-1.018e+09,-5.41e+08,2.2e+07,-5.63e+08,-1.628e+09,5.68e+08,8.99e+08,-5.84e+08,-5.84e+08,-5.84e+08,2.176e+09,2.0864e+10,9.4e+08,0.29456,0.18727,0.02399,0.00352,0.89015,5.81998,0.0695,1.88605,1.85948,10.07144,78.61761,1.67887,0.33756,0.00415,0.00313,0.17898,8.36949,10.96448
"20","2015_Q1",67.7206557377049,"Down",5.813e+09,4.656e+09,5.045e+09,-3.89e+08,1.157e+09,1.145e+09,-1.109e+09,4.704e+09,-3.284e+09,-3.284e+09,1.42e+09,1.42e+09,1.42e+09,-4.5e+08,9.7e+08,2.9e+07,2.9e+07,9.99e+08,9.99e+08,-4e+06,9.74e+08,3.147e+09,6.2242e+10,6.2008e+10,2.34e+08,2.03933e+11,-4.383e+09,2.08316e+11,3.685e+09,1.3978e+10,1.079e+09,1.6008e+10,3.08167e+11,2.05548e+11,1.80467e+11,2.5081e+10,1.9564e+10,8.8e+08,1.8684e+10,3.8002e+10,2.63114e+11,-1.45519152283669e-11,2.7875e+10,6e+06,2.7869e+10,-6.365e+09,2.3973e+10,-4.3e+08,4.5053e+10,4.5053e+10,3.08167e+11,9.99e+08,4.7e+08,1.109e+09,2.149e+09,3.8e+07,2.203e+09,-2.898e+09,-2.264e+09,8e+07,-5.35e+08,-2.26e+08,1.603e+09,-9.7e+07,-87000000.0000001,3.312e+09,-3.399e+09,-8.212e+09,-8.212e+09,6.87e+08,-7.733e+09,-1.87e+08,4.766e+09,4.949e+09,-1.83e+08,-1.84e+08,1e+07,5.12e+08,-5.02e+08,1.282e+09,1.353e+09,7.224e+09,1.094e+09,1.094e+09,1.094e+09,1.89e+09,1.9564e+10,-6.55e+08,0.24428,0.16756,0.02162,0.00316,-0.67248,5.8401,0.06349,1.75812,1.73371,10.49278,81.3231,-1.18231,0.33755,0.00377,-0.00213,0.19199,8.68624,11.56127
"21","2015_Q2",72.6907936507937,"Up",5.647e+09,4.576e+09,4.974e+09,-3.98e+08,1.071e+09,1.086e+09,-9.35e+08,4.712e+09,-3.049e+09,-3.049e+09,1.663e+09,1.663e+09,1.663e+09,-5.29e+08,1.134e+09,1.9e+07,1.9e+07,1.153e+09,1.153e+09,-6e+06,1.115e+09,2.853e+09,6.2796e+10,6.2562e+10,2.34e+08,1.99573e+11,-4.405e+09,2.03978e+11,3.684e+09,1.3978e+10,1.078e+09,1.6224e+10,3.06224e+11,2.1044e+11,1.85208e+11,2.5232e+10,2.1492e+10,9.33e+08,2.0559e+10,2.8562e+10,2.60494e+11,0,2.7945e+10,6e+06,2.7939e+10,-6.928e+09,2.4925e+10,-2.12e+08,4.573e+10,4.573e+10,3.06224e+11,1.153e+09,4.83e+08,9.35e+08,1.263e+09,5e+07,1.249e+09,-1.795e+09,-1.916e+09,-5.9e+07,1.79e+08,-4.6e+07,1.993e+09,-1.53e+08,-3.9e+08,3.686e+09,-4.076e+09,3.143e+09,3.143e+09,4.71e+08,3.071e+09,-1.99e+08,-8.833e+09,-1.0396e+10,1.563e+09,-1.425e+09,-5.39e+08,2.4e+07,-5.63e+08,4.89e+09,1.266e+09,-3.415e+09,1.649e+09,1.649e+09,1.649e+09,2.146e+09,2.1492e+10,7.27e+08,0.29449,0.19745,0.02438,0.00364,0.65202,5.69635,0.07018,2.02654,2.00108,10.26354,83.11523,1.32134,0.36169,0.00429,0.00237,0.17848,8.68546,11.20806
"22","2015_Q3",69.86,"Down",5.672e+09,4.537e+09,4.937e+09,-4e+08,1.135e+09,1.142e+09,-1.129e+09,4.543e+09,-3.307e+09,-3.307e+09,1.236e+09,1.236e+09,1.236e+09,-3.84e+08,8.52e+08,1.1e+07,1.1e+07,8.63e+08,8.63e+08,-4e+06,8.3e+08,2.879e+09,6.3057e+10,6.2804e+10,2.53e+08,2.05029e+11,-4.676e+09,2.09705e+11,3.602e+09,1.3984e+10,1.056e+09,1.6626e+10,3.1051e+11,2.0878e+11,1.83657e+11,2.5123e+10,2.1875e+10,1.888e+09,1.9987e+10,3.3196e+10,2.63851e+11,-9.09494701772928e-13,2.9069e+10,6e+06,2.9063e+10,-7.553e+09,2.554e+10,-3.97e+08,4.6659e+10,4.6659e+10,3.1051e+11,8.63e+08,5.29e+08,1.129e+09,2.405e+09,7.4e+07,2.335e+09,-2.682e+09,-1.868e+09,6.7e+07,-9.06e+08,1.11e+08,2.355e+09,-7.6e+07,-5.35e+08,3.657e+09,-4.192e+09,-6.926e+09,-6.926e+09,-2.4e+07,-7.561e+09,-2.47e+08,3.867e+09,-4.796e+09,8.663e+09,-1.391e+09,3.92e+08,1.017e+09,-6.25e+08,-1.662e+09,1.121e+09,3.471e+09,-1.735e+09,-1.735e+09,-1.735e+09,1.765e+09,2.1875e+10,-6.09e+08,0.21791,0.14633,0.01779,0.00267,-0.73373,5.65488,0.07045,1.52126,1.50362,10.39589,85.5187,-1.1162,0.45271,0.00347,-0.00196,0.29759,10.76261,15.36893
"23","2015_Q4",66.96015625,"Down",5.9e+09,4.76e+09,5.164e+09,-4.04e+08,1.14e+09,1.145e+09,-1.092e+09,4.808e+09,-3.16e+09,-3.16e+09,1.648e+09,1.648e+09,1.648e+09,-5.3e+08,1.118e+09,-4e+06,-4e+06,1.114e+09,1.114e+09,-6e+06,1.079e+09,2.701e+09,6.3728e+10,6.3142e+10,5.86e+08,2.08482e+11,-4.847e+09,2.13329e+11,3.629e+09,1.3983e+10,1.101e+09,1.594e+10,3.137e+11,2.12903e+11,1.87848e+11,2.5055e+10,2.2794e+10,1.021e+09,2.1773e+10,3.0318e+10,2.66015e+11,0,2.96e+10,6e+06,2.9594e+10,-8.18e+09,2.6407e+10,-1.42e+08,4.7685e+10,4.7685e+10,3.137e+11,1.114e+09,5.46e+08,1.092e+09,1.671e+09,-3e+06,1.713e+09,3.63e+08,-1.296e+09,-6.4e+07,1.768e+09,-1.29e+08,4.657e+09,-1.82e+08,-2.73e+08,3.592e+09,-3.865e+09,-4.895e+09,-4.895e+09,-7.2e+07,-5.422e+09,-2.46e+08,-5.151e+09,-8.43e+08,-4.308e+09,-5.802e+09,-1.12e+08,5.15e+08,-6.27e+08,4.12e+09,1.835e+09,4.46e+08,-3.19e+08,-3.19e+08,-3.19e+08,2.194e+09,2.2794e+10,2.905e+09,0.27932,0.18288,0.02263,0.00344,2.69231,5.57859,0.07266,1.99593,1.97511,10.9138,88.20755,5.37366,0.45505,0.00422,0.00926,0.22799,9.15816,12.19235
"24","2016_Q1",58.1116393442623,"Down",6.194e+09,4.961e+09,5.384e+09,-4.23e+08,1.233e+09,1.238e+09,-1.38e+09,4.814e+09,-3.48e+09,-3.48e+09,1.334e+09,1.334e+09,1.334e+09,-4.26e+08,9.08e+08,1.2e+07,1.2e+07,9.2e+08,9.2e+08,-4e+06,8.48e+08,3.407e+09,6.4697e+10,6.368e+10,1.017e+09,2.24721e+11,-5.13e+09,2.29851e+11,3.584e+09,1.448e+10,1.189e+09,1.7354e+10,3.34048e+11,2.17721e+11,1.91874e+11,2.5847e+10,2.2818e+10,9.81e+08,2.1837e+10,4.6225e+10,2.86764e+11,-5.6843418860808e-14,2.9661e+10,6e+06,2.9655e+10,-8.806e+09,2.7045e+10,-6.16e+08,4.7284e+10,4.7284e+10,3.34048e+11,9.2e+08,5.42e+08,1.38e+09,1.171e+09,4e+07,1.538e+09,-2.876e+09,-1.862e+09,1.01e+08,-1.062e+09,-1.5e+07,1.122e+09,-1.21e+08,-9.95e+08,3.349e+09,-4.344e+09,-9.897e+09,-9.897e+09,5.13e+08,-1.9814e+10,-2.82e+08,1.5802e+10,-3.1e+07,1.5833e+10,-1.461e+09,-5.99e+08,2.7e+07,-6.26e+08,4.815e+09,9.25e+08,2.0661e+10,1.969e+09,1.969e+09,1.969e+09,1.876e+09,2.2818e+10,-6.95e+08,0.21537,0.13691,0.01793,0.00254,-0.81958,6.06472,0.06831,1.59759,1.58062,11.66918,89.08063,-1.30934,0.53127,0.00338,-0.00208,0.33255,10.34701,14.55097
"25","2016_Q2",61.57671875,"Up",6.22e+09,5.056e+09,5.517e+09,-4.61e+08,1.164e+09,1.172e+09,-1.527e+09,4.693e+09,-3.223e+09,-3.223e+09,1.47e+09,1.47e+09,1.47e+09,-4.52e+08,1.018e+09,-5e+06,-5e+06,1.013e+09,1.013e+09,-6e+06,9.7e+08,3.241e+09,6.6132e+10,6.5172e+10,9.6e+08,2.22197e+11,-5.416e+09,2.27613e+11,3.542e+09,1.4492e+10,1.221e+09,1.7527e+10,3.30346e+11,2.21779e+11,1.96597e+11,2.5182e+10,2.2653e+10,9.17e+08,2.1736e+10,3.8207e+10,2.82639e+11,0,2.9716e+10,7e+06,2.9709e+10,-9.776e+09,2.7808e+10,-4.1e+07,4.7707e+10,4.7707e+10,3.30346e+11,1.013e+09,5.91e+08,1.527e+09,1.441e+09,4.4e+07,1.581e+09,-4.83e+08,-1.611e+09,-8.2e+07,1.243e+09,1.3e+07,4.102e+09,-1.34e+08,-1.228e+09,4.281e+09,-5.509e+09,2.71e+08,2.71e+08,3.63e+08,-7.28e+08,-2.48e+08,-9.089e+09,-6.4e+07,-9.025e+09,-1.5375e+10,-9.4e+08,3e+07,-9.7e+08,4.055e+09,3e+06,-6.219e+09,-2.845e+09,-2.845e+09,-2.845e+09,2.061e+09,2.2653e+10,1.896e+09,0.23633,0.15595,0.02033,0.00294,1.95464,5.92448,0.06857,1.85291,1.83712,11.88157,91.13085,3.62178,0.47373,0.00369,0.00574,0.25567,9.41873,13.20544
"26","2016_Q3",61.1478125,"Down",6.254e+09,5.093e+09,5.571e+09,-4.78e+08,1.161e+09,1.161e+09,-1.592e+09,4.662e+09,-3.295e+09,-3.295e+09,1.367e+09,1.367e+09,1.367e+09,-4.24e+08,9.43e+08,-999999.999999998,-999999.999999998,9.42e+08,9.42e+08,-6e+06,8.71e+08,3.253e+09,6.5345e+10,6.508e+10,2.65e+08,2.28722e+11,-5.881e+09,2.34603e+11,3.556e+09,1.4495e+10,1.236e+09,1.8614e+10,3.39117e+11,2.21059e+11,1.95635e+11,2.5424e+10,2.2871e+10,9.99e+08,2.1872e+10,4.7079e+10,2.91009e+11,-3.5527136788005e-15,2.9793e+10,7e+06,2.9786e+10,-1.0405e+10,2.8479e+10,2.41e+08,4.8108e+10,4.8108e+10,3.39117e+11,9.42e+08,6.16e+08,1.592e+09,1.346e+09,4.6e+07,1.552e+09,-2.031e+09,-1.653e+09,8.4e+07,-4.47e+08,1e+06,2.466e+09,-1.9e+08,2.74e+08,3.264e+09,-2.99e+09,-8.542e+09,-8.542e+09,2.68e+08,-8.19e+09,-2.7e+08,6.612e+09,8.2e+07,6.53e+09,-2.07e+09,-5.95e+08,3.4e+07,-6.29e+08,-7.24e+08,1.92e+09,6.943e+09,1.219e+09,1.219e+09,1.219e+09,1.983e+09,2.2871e+10,1.86e+08,0.21858,0.13927,0.01811,0.00257,0.21355,6.04908,0.06744,1.70217,1.68635,12.22201,94.01603,0.36349,0.52765,0.00336,0.000550000000000002,0.30999,9.89309,14.35113
