"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",3.660625,"Down",14669000,-2304000,-1900000,-404000,-189000,74000,-5000,79000,-115000,-115000,-29000,-144000,-144000,-144000,-144000,7624000,7624000,11423000,11423000,1339000,357000,973000,20386000,24931000,6986000,8000,6978000,31917000,52303000,9147000,8302000,824000,55000,2918000,2459000,459000,12120000,437000,437000,12557000,58717000,-18971000,39746000,39746000,52303000,-144000,404000,19000,-478000,-199000,-58000,-58000,-264000,-264000,-264000,215000,492000,-292000,-0.01288,-0.00982,-0.00362,-0.00275,2.02778,1.68201,0.31593,0.00941,-0.03786,-0.03786,3.85722,10.45122,-0.07678,-0.00358,-0.00726,-33.17209,37.73545
"12","2013_Q3",4.324375,"Up",15733000,-2299000,-1894000,-405000,396000,93000,-4000,97000,489000,489000,-30000,459000,459000,459000,459000,8567000,8567000,10992000,10992000,1274000,282000,983000,20833000,24885000,6946000,8000,6938000,31831000,52664000,8364000,7357000,993000,55000,3589000,3079000,510000,12008000,424000,424000,12432000,58744000,-18512000,40232000,40232000,52664000,459000,405000,22000,382000,1268000,-312000,-312000,943000,943000,943000,801000,479000,901000,0.02517,0.02917,0.01141,0.00872,1.96296,1.73493,0.30901,0.0091,0.12069,0.11422,4.137,10.57902,0.23692,0.01127,0.02213,-10.09738,-20.42424
"13","2013_Q4",5.16109375,"Up",16386000,-2553000,-2145000,-408000,401000,50000,-6000,56000,451000,451000,-36000,415000,415000,415000,415000,8618000,8618000,11282000,11282000,1223000,337000,877000,21123000,24908000,6948000,8000,6940000,31856000,52979000,8700000,7634000,1032000,55000,3123000,2622000,501000,11878000,411000,411000,12289000,58787000,-18097000,40690000,40690000,52979000,415000,408000,50000,-379000,494000,-430000,-430000,51000,51000,51000,809000,466000,36000,0.02447,0.02533,0.0102,0.00783,0.08675,1.77833,0.30202,0.0088,0.1091,0.10116,4.30758,10.69665,0.00946,0.01008,0.00087,-10.07664,-20.32918
"14","2014_Q1",5.49918032786885,"Up",12682000,-2445000,-2026000,-419000,-337000,47000,-6000,53000,-290000,-290000,-2000,-292000,-292000,-292000,-292000,9798000,9798000,10201000,10201000,367000,349000,14999.9999999999,21181000,27563000,6835000,8000,6827000,34398000,55579000,8958000,8101000,856000,56000,2630000,2265000,365000,11644000,390000,465000,12109000,58809000,-18389000,40420000,43470000,55579000,-292000,419000,22000,-454000,-305000,-1545000,-1545000,1180000,1180000,1180000,82000,446000,-1915000,-0.02657,-0.02302,-0.00672,-0.00525,6.55822,1.81905,0.27856,0.00802,-0.07677,-0.06585,3.33445,10.62753,-0.50351,-0.00664,-0.04353,-114.04878,27.75074
"15","2014_Q2",4.49650793650794,"Down",9983000,-2228000,-1800000,-428000,-759000,67000,-5000,72000,-692000,-692000,-8000,-7e+05,-7e+05,-699000,-699000,7331000,7331000,8e+06,8e+06,1397000,4e+05,994000,16728000,30108000,6740000,8000,6732000,36848000,53576000,6939000,6157000,782000,57000,2971000,2559000,412000,9967000,376000,451000,10418000,58847000,-19088000,39759000,43158000,53576000,-7e+05,428000,25000,-602000,-849000,-1972000,-1972000,-2467000,-2467000,-2467000,-331000,433000,-2897000,-0.07603,-0.07002,-0.0162,-0.01305,4.14449,1.67834,0.24139,0.00808,-0.1838,-0.1838,2.62503,10.45464,-0.76177,-0.01601,-0.06634,20.83988,9.08827
"16","2014_Q3",4.135625,"Down",13016000,-2431000,-1876000,-555000,-201000,85000,-5000,90000,-116000,-116000,-22000,-138000,-138000,-88000,-88000,7137000,7137000,9051000,9051000,1433000,323000,1107000,17621000,30471000,6660000,8000,6652000,37131000,54752000,7550000,6416000,1124000,57000,3617000,3108000,509000,11224000,363000,438000,11662000,58867000,-19176000,39691000,43090000,54752000,-138000,555000,30000,873000,1320000,-1551000,-1551000,-194000,-194000,-194000,354000,420000,-302000,-0.01544,-0.00676000000000002,-0.00204,-0.00161,3.43182,1.56994,0.27064,0.00767,-0.02314,-0.02136,3.42256,10.43676,-0.0794099999999999,-0.00202,-0.00693,-18.97458,33.41791
"17","2014_Q4",3.39453125,"Down",14437000,-2734000,-2155000,-579000,131000,31000,-20000,51000,162000,162000,-28000,134000,134000,98000,98000,6166000,6166000,9656000,9656000,1609000,591000,1015000,17431000,33254000,7430000,8000,7422000,40684000,58115000,7694000,6485000,1203000,57000,3425000,2623000,802000,11176000,349000,3484000,14660000,58886000,-19078000,39808000,43455000,58115000,134000,579000,20000,-1057000,-324000,-624000,-3746000,-971000,-971000,-971000,710000,406000,-943000,0.00907,0.00679,0.00226,0.00169,-9.62245,1.55968,0.33736,0.00699,0.02577,0.02403,3.79621,10.46753,-0.24796,0.00209,-0.02007,-8.11268,-43.96947
"18","2015_Q1",3.00819672131148,"Down",14036000,-2788000,-2195000,-593000,-567000,28000,-27000,55000,-539000,-539000,-15000,-554000,-554000,-391000,-391000,4329000,4329000,8750000,8750000,527000,474000,45000,14553000,35954000,7337000,8000,7329000,43291000,57844000,7530000,6429000,1093000,58000,2963000,2256000,707000,10551000,4133000,4371000,14922000,58906000,-19469000,39437000,42922000,57844000,-554000,593000,46000,-178000,-93000,-2629000,-2629000,-1837000,-1837000,-1837000,26000,4191000,-2766000,-0.0404,-0.02786,-0.00911,-0.00676,7.07417,1.3793,0.34765,0.07245,-0.10278,-0.08955,3.68949,10.36636,-0.72707,-0.00826,-0.05841,-5.30769,0.243389999999998
"19","2015_Q2",2.9568253968254,"Down",10700000,-2672000,-2034000,-638000,-1279000,67000,-5000,72000,-1212000,-1212000,-7000,-1219000,-1219000,-1040000,-1040000,2543000,2543000,7958000,7958000,555000,492000,45000,12088000,38978000,6433000,8000,6425000,45411000,57499000,6965000,6050000,915000,58000,3222000,2578000,644000,10245000,319000,5534000,15779000,58923000,-20509000,38414000,41720000,57499000,-1219000,638000,-3000,-512000,-1096000,-1876000,-1876000,-1786000,-1786000,-1786000,-641000,377000,-3022000,-0.11953,-0.0972,-0.02493,-0.01809,2.90577,1.17989,0.37821,0.00656,-0.27347,-0.26689,2.81357,10.10097,-0.79464,-0.02198,-0.06387,3.3791,1.69351
"20","2015_Q3",2.066875,"Down",13955000,-2504000,-1909000,-595000,-214000,94000,-7000,101000,-120000,-120000,-17000,-137000,-137000,-5000,-5000,2322000,2322000,9857000,9857000,451000,386000,45000,13721000,41299000,6363000,8000,6355000,47662000,61383000,8905000,7619000,1286000,59000,3725000,3152000,573000,12689000,6904000,7097000,19786000,58937000,-20514000,38423000,41597000,61383000,-137000,595000,-5000,999000,1452000,-3259000,-3259000,-221000,-221000,-221000,381000,6963000,-1862000,-0.01534,-0.000360000000000013,-0.000119999999999999,-8.00000000000002e-05,372.4,1.08133,0.47566,0.11344,-0.00130999999999992,-0.00129000000000001,3.66915,10.10246,-0.48957,-0.000100000000000003,-0.03819,12.1811,-21.68692
"21","2015_Q4",1.95625,"Down",14577000,-2385000,-1782000,-603000,426000,9000,-55000,64000,435000,435000,-18000,417000,417000,529000,529000,1841000,1841000,9242000,9242000,646000,572000,45000,12713000,42192000,6235000,8000,6227000,48427000,61140000,7527000,6266000,1261000,59000,3466000,2748000,718000,11052000,290000,8062000,19114000,58949000,-19985000,38964000,42026000,61140000,417000,603000,-5000,-803000,212000,-1679000,-1679000,-481000,-481000,-481000,1029000,349000,-1435000,0.02922,0.03629,0.01259,0.00865,-2.71267,1.15029,0.45481,0.00571,0.1391,0.13913,3.83303,10.2456,-0.37733,0.01055,-0.02862,-1.44995,-3.50235
"22","2016_Q1",1.77065573770492,"Down",13858000,-2634000,-1910000,-724000,-235000,-31000,-80000,49000,-266000,-266000,-17000,-283000,-283000,-196000,-196000,1814000,1814000,9579000,9579000,565000,487000,45000,12788000,43386000,6128000,8000,6120000,49514000,62302000,9020000,8022000,998000,59000,3068000,2401000,667000,12147000,8249000,8399000,20546000,58962000,-20181000,38781000,41756000,62302000,-283000,724000,79000,803000,1323000,-1709000,-1709000,-27000,-27000,-27000,489000,8308000,-4e+05,-0.01696,-0.01414,-0.00469,-0.00315,2.04082000000006,1.05277,0.49205,0.13335,-0.05152,-0.05154,3.64301,10.19481,-0.10515,-0.0039,-0.00797,13.28016,-27.63404
"23","2016_Q2",2.01396825396825,"Up",10999000,-2552000,-1866000,-686000,-976000,-15000,-87000,72000,-991000,-991000,-9000,-1e+06,-1e+06,-908000,-908000,1248000,1248000,8749000,8749000,512000,462000,35000,11365000,43702000,6024000,8000,6016000,49726000,61091000,7831000,6891000,940000,59000,3563000,2800000,763000,11453000,259000,8872000,20325000,58972000,-21089000,37883000,40766000,61091000,-1e+06,686000,-6000,-247000,-567000,-494000,-494000,-566000,-566000,-566000,-290000,318000,-1022000,-0.08874,-0.08255,-0.02227,-0.01486,1.12555,0.99232,0.49858,0.00521,-0.23876,-0.23874,2.89219,9.96135,-0.26874,-0.01827,-0.02056,3.2069,0.95287
"24","2016_Q3",2.78390625,"Up",15642000,-2584000,-1891000,-693000,370000,-3000,-92000,89000,367000,367000,-27000,340000,340000,421000,421000,1910000,1910000,11273000,11273000,444000,399000,39000,14586000,44109000,6066000,8000,6058000,50175000,64761000,9702000,8497000,1205000,73000,4469000,3697000,772000,14244000,298000,9405000,23649000,58978000,-20668000,38310000,41112000,64761000,340000,693000,2000.00000000001,496000,1531000,-1369000,-1369000,662000,662000,662000,1063000,371000,217000,0.02365,0.02691,0.01024,0.0065,0.515440000000005,1.02401,0.57523,0.00573000000000001,0.11069,0.11046,4.11271,10.07275,0.05706,0.00832000000000001,0.00429,-1.44779,-4.15946
"25","2016_Q4",2.80238095238095,"Up",19133000,-2822000,-2108000,-714000,815000,-37000,-94000,57000,778000,778000,-43000,735000,735000,806000,806000,1604000,1604000,13737000,13737000,617000,578000,39000,16821000,44009000,5978000,8000,5970000,49987000,66808000,11350000,10208000,1121000,73000,4152000,3273000,879000,15575000,280000,9380000,24955000,58984000,-19862000,39122000,41853000,66808000,735000,714000,0,-1187000,262000,-545000,-545000,-306000,-306000,-306000,1529000,353000,-160000,0.0426,0.04213,0.01926,0.01206,-0.19851,1.08,0.59625,0.00528,0.20705,0.20704,4.91497,10.04984,-0.0411,0.01571,-0.00312,-0.81818,-1.53497
"26","2017_Q1",2.81096774193548,"Up",15578000,-53580000,-2338000,-37160000,-395000,-43000,-106000,63000,-438000,-438000,-46000,-484000,-484000,-388000,-388000,2299000,2299000,11349000,11349000,497000,462000,35000,14918000,43971000,9009000,8000,9001000,52980000,67898000,10567000,9387000,1132000,112000,3480000,2716000,764000,14159000,11746000,12363000,26522000,58991000,-20250000,38741000,41376000,67898000,-484000,723000,77000,1045000,1361000,-590000,-590000,695000,695000,695000,328000,11858000,829000,-0.02536,-0.02491,-0.00938,-0.00571,-2.1366,1.05361,0.641,0.17464,-0.1045,-0.0997,4.19568,10.43425,0.22328,-0.00721,0.01539,29.14329,-24.2
"27","2017_Q2",2.4768253968254,"Down",10702000,-11603000,-2002000,-6642000,-901000,-98000,-175000,77000,-999000,-999000,-20000,-1019000,-1019000,-926000,-926000,1079000,1079000,8986000,8986000,519000,478000,35000,11503000,43879000,9525000,8000,9517000,53404000,64907000,7508000,6378000,1130000,212000,4074000,3198000,876000,11794000,12126000,12751000,24545000,58996000,-21176000,37820000,40362000,64907000,-1019000,748000,-9000,-301000,-581000,-460000,-460000,-1220000,-1220000,-1220000,-153000,12338000,-894000,-0.08419,-0.08653,-0.02294,-0.01427,0.96544,0.97533,0.60812,0.19009,-0.24349,-0.23798,2.81409,9.94478,-0.23508,-0.01737,-0.01677,-73.58824,-12.49612
"28","2017_Q3",2.15873015873016,"Down",14577000,-14468000,-2063000,-8294000,109000,-68000,-177000,109000,41000.0000000001,41000,-32000,9000,9000,121000,121000,1675000,1675000,9899000,9899000,350000,310000,39000,12929000,43721000,9351000,8000,9343000,53072000,66001000,7845000,6652000,1193000,199000,5021000,4167000,854000,13065000,11931000,12563000,25628000,58998000,-21055000,37943000,40373000,66001000,9000,761000,-11000,540000,1299000,-567000,-567000,517000,517000,517000,870000,12130000,875000,0.00748,0.0083,0.00299999999999999,0.00183,7.2314,0.98959,0.63478,0.18379,0.03181,0.03162,3.83236,9.97539,0.23004,0.00228,0.01647,12.01724,95.91743
"29","2017_Q4",2.05126984126984,"Down",16364000,17510000,-2240000,12680000,525000,-126000,-176000,50000,399000,399000,-29000,370000,370000,547000,547000,1615000,1615000,10839000,10839000,615000,576000,39000,13994000,43575000,9269000,8000,9261000,52844000,66838000,9502000,8215000,1280000,186000,4063000,3262000,801000,13751000,11702000,12341000,26092000,59001000,-20508000,38493000,40746000,66838000,370000,747000,13000,-513000,617000,-437000,-437000,-60000,-60000,-60000,1272000,11888000,351000,0.03208,0.03343,0.01342,0.00818,0.64168,1.01767,0.64036,0.17786,0.14382,0.14331,4.30254,10.12087,0.09229,0.01027,0.00659,8.07626,19.56762
"30","2018_Q1",2.14032786885246,"Up",14205000,-47558000,-2146000,-31235000,-4000,-131000,-171000,40000,-135000,-135000,-41000,-176000,-176000,-49000,-49000,1025000,1025000,9906000,9906000,1126000,512000,614000,12907000,43215000,9256000,8000,9248000,52471000,65378000,8969000,7832000,1111000,212000,3376000,2718000,658000,12557000,11602000,12249000,24806000,59003000,-20557000,38446000,40572000,65378000,-176000,740000,-3000,-648000,-87000,-325000,-246000,-511000,-511000,-511000,736000,11814000,-196000,-0.000280000000000002,-0.00345,-0.00121,-0.000750000000000001,4,1.02787,0.61141,0.1807,-0.01289,-0.01333,3.73618,10.11203,-0.05155,-0.000920000000000002,-0.0037,14.65897,-2697.25
"31","2018_Q2",2.17578125,"Up",11516000,-12300000,-2225000,-7391000,-784000,-111000,-171000,60000,-895000,-895000,-19000,-914000,-914000,-799000,-799000,1612000,1612000,8280000,8280000,1225000,506000,719000,12099000,44161000,7680000,8000,7672000,51841000,63940000,7964000,6969000,982000,215000,3992000,3147000,845000,12171000,11455000,12109000,24280000,59006000,-21356000,37650000,39661000,63941000,-914000,729000,19000,936000,770000,-272000,-1541000,-913000,-913000,-913000,-55000,11670000,628000,-0.06808,-0.06938,-0.02015,-0.0125,-0.78598,0.99408,0.61219,0.18251,-0.2101,-0.2101,3.02814,9.90008,0.16513,-0.01537,0.01208,-182.87273,-12.82908
"32","2018_Q3",3.69952380952381,"Up",16705000,-16109000,-2215000,-9816000,596000,-61000,-174000,113000,535000,535000,-41000,494000,494000,623000,623000,2409000,2409000,11046000,11046000,1413000,378000,1035000,15878000,43992000,7701000,8000,7693000,51693000,67571000,10454000,9131000,1292000,231000,4768000,4034000,734000,15453000,11301000,11963000,27416000,59006000,-20733000,38273000,40155000,67571000,494000,726000,7000,168000,1395000,-382000,-382000,797000,797000,797000,1322000,11532000,1149000,0.03568,0.03729,0.01551,0.00922,1.8443,1.0275,0.68275,0.17066,0.16379,0.16318,4.39182,10.06215,0.30208,0.0119,0.02195,6.90090999999998,15.3070499999999
"33","2018_Q4",3.08015873015873,"Down",18148000,-17221000,-2297000,-10595000,927000,-122000,-167000,45000,805000,805000,-52000,753000,753000,849000,849000,1800000,1800000,11334000,11334000,1374000,565000,809000,15389000,45169000,7587000,8000,7579000,52756000,68145000,11171000,9755000,1360000,234000,4112000,3351000,761000,15517000,11048000,11718000,27235000,59008000,-19884000,39124000,40910000,68145000,753000,732000,18000,-524000,979000,-1341000,-1341000,-609000,-609000,-609000,1659000,11282000,-154000,0.05108,0.04678,0.02075,0.01246,-0.18139,0.99175,0.66573,0.16556,0.22323,0.2097,4.77161,10.28677,-0.04049,0.01606,-0.00291,5.71549,10.22869
"34","2019_Q1",2.75459016393443,"Down",15865000,-16041000,-2263000,-10256000,-176000,-97000,-163000,66000,-273000,-3534000,-55000,-3589000,-3589000,-1817000,-1817000,1406000,1406000,12197000,12197000,1207000,622000,585000,15630000,42534000,6605000,8000,6597000,49139000,64769000,11815000,10454000,1277000,814000,3692000,2899000,793000,16321000,10855000,10955000,27276000,59180000,-21701000,37479000,37493000,64769000,-3589000,690000,3276000,-464000,-87000,-1114000,-1114000,-1218000,-1218000,-1218000,514000,11669000,-1009000,-0.01109,-0.11453,-0.04846,-0.02805,0.55531,0.95766,0.7275,0.18016,-0.47244,-0.50662,4.12506,9.74491,-0.26235,-0.03688,-0.02048,19.96693,-58.3125
"35","2019_Q2",2.39666666666667,"Down",14608000,-15126000,-2231000,-9848000,-518000,-95000,-163000,68000,-613000,-613000,-40000,-653000,-653000,-638000,-638000,1237000,1237000,11185000,11185000,1357000,646000,711000,14698000,43311000,10625000,8000,10617000,53936000,68634000,11485000,10274000,1130000,1441000,4100000,3316000,784000,17026000,13529000,14767000,31793000,59181000,-22339000,36842000,36841000,68634000,-653000,6e+05,16000,-92000,-129000,-369000,-369000,2305000,2305000,2305000,82000,14970000,-339000,-0.03546,-0.04367,-0.01732,-0.0093,0.53135,0.86327,0.86298,0.21811,-0.16465,-0.16465,3.76981,9.50761,-0.08748,-0.01203,-0.00639,167.47561,-26.51158
"36","2019_Q3",2.35453125,"Down",18425000,-17856000,-2380000,-10914000,569000,-67000,-215000,148000,502000,502000,-57000,445000,445000,479000,479000,3280000,3280000,12271000,12271000,1661000,512000,1149000,18125000,46794000,8219000,8000,8211000,55013000,73138000,13718000,12098000,1518000,1569000,5404000,4497000,907000,20691000,13884000,15159000,35850000,59183000,-21860000,37323000,37288000,73138000,445000,618000,-27000,1481000,2517000,-2543000,-2543000,-432000,-432000,-432000,1187000,15453000,182000,0.03088,0.026,0.01285,0.00655,0.37996,0.87598,0.96144,0.21129,0.12361,0.12361,4.75484,9.63174,0.04697,0.00887,0.00337,10.25527,21.39367
