"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",26.5779032258065,"Up",93246000,-16303000,76943000,-34665000,-29973000,-15189000,-14784000,-4692000,42278000,-2748000,-2748000,39530000,39530000,-7880000,31650000,31650000,31650000,31650000,431142000,287514000,25332000,25332000,14285000,11813000,470759000,13938000,13938000,38687000,401824000,39789000,293687000,8953000,55139000,454449000,925208000,32451000,28437000,4014000,33875000,28352000,5523000,66326000,45467000,11305000,34162000,290548000,356874000,167008000,404862000,-3536000,568334000,568334000,925208000,31650000,5358000,6065000,-4880000,38193000,-2035000,-128540000,-6109000,-128684000,1885000,1922000,-37000,-1356000,235490000,144999000,144999000,-358000,144641000,47636000,245081000,48601000,0.82516,0.4534,0.33942,0.05569,0.03421,1.53558,7.09765,0.62793,0.26489,0.70329,0.69806,2.07202,12.62892,1.07996,0.04854,0.05659,-3.90589,-4.40089
"12","2013_Q1",30.1313333333333,"Up",102033000,-18659000,83374000,-41126000,-36300000,-18915000,-17385000,-4826000,42248000,-4583000,3067000,37665000,37665000,-7379000,30286000,30286000,30203000,30203000,323734000,218680000,37285000,37285000,16480000,15388000,377499000,19599000,19599000,19841000,578231000,64723000,407825000,9855000,93976000,617671000,995170000,42911000,39874000,3037000,36016000,30493000,5523000,78927000,76454000,32393000,42452000,321648000,400575000,169993000,424790000,-88000,594695000,594595000,995170000,30286000,6609000,5992000,3507000,46394000,-3786000,62925000,-173233000,-114094000,808000.000000002,829000,-21000,8460000,-1055000,-68755000,-68755000,-79000,-68834000,48857000,245194000,55957000,0.81713,0.41406,0.29601,0.0508,0.03035,1.8527,4.78289,0.67369,0.24638,0.67026,0.66494,2.26428,13.19729,1.24178,0.04423,0.06107,-1.60755,-1.85902
"13","2013_Q2",35.539375,"Up",113617000,-20235000,93382000,-60395000,-53649000,-29638000,-24011000,-6746000,32987000,-4716000,161000,28271000,28271000,-5500000,22771000,22771000,22922000,22922000,293972000,193126000,56164000,56164000,18329000,15891000,368465000,24874000,24874000,16118000,630369000,80761000,429293000,11284000,106866000,671361000,1039826000,60399000,57122000,3277000,39392000,32753000,5532000,99791000,84671000,39163000,45508000,329981000,429772000,173684000,435976000,980000,610640000,610054000,1039826000,22771000,8762000,2058000,6457000,40048000,-2266000,-11477000,-62771000,-54408000,12000,2081000,-2069000,233000,-10439000,-24799000,-24799000,-755000,-25554000,41749000,245310000,51440000,0.8219,0.29034,0.20175,0.03757,0.02204,2.24413,3.69237,0.70448,0.23591,0.50757,0.50193,2.51587,13.52166,1.13906,0.03575,0.05472,-1.16558,-1.47519
"14","2013_Q3",42.82421875,"Up",141361000,-22679000,118682000,-66075000,-59687000,-35213000,-24474000,-6388000,52607000,-4817000,42000,47790000,47790000,-11823000,35967000,35967000,36040000,36040000,323873000,214926000,62270000,62270000,20873000,16828000,407016000,28453000,28453000,29002000,639408000,84490000,433940000,10514000,106794000,696863000,1103879000,69151000,67091000,2060000,44441000,34891000,5532000,113592000,100459000,41279000,46220000,345886000,459478000,181730000,460880000,2797000,645407000,644401000,1103879000,35967000,9479000,2901000,20626000,68973000,-4984000,-26852000,-18379000,-41201000,4352000,4549000,-197000,1301000,-5425000.00000001,22347000,22347000,-547000,21800000,62086000,245427000,89551000,0.83957,0.37215,0.25495,0.05593,0.03265,2.48477,3.58314,0.71303,0.22233,0.79334,0.78317,3.11174,14.20718,1.97126,0.04758,0.09043,-1.26351,-1.49117
"15","2013_Q4",44.24609375,"Up",127788000,-21801000,105987000,-66679000,-60679000,-34787000,-25892000,-6e+06,39308000,-4576000,397000,34732000,34732000,-7105000,27627000,27627000,27806000,27806000,307224000,199181000,64279000,64279000,25508000,22779000,397011000,30143000,30143000,66899000,644037000,84023000,441687000,9666000,106531000,741079000,1138090000,70166000,68430000,1736000,46308000,35675000,5535000,116474000,101233000,41635000,47557000,346781000,463255000,191746000,475979000,8646000,676371000,674835000,1138090000,27627000,10183000,3897000,-15848000,25859000,-6650000,-40808000,-415000,-36378000,4799000,7046000,-2247000,1419000,-5287000,-15806000,-15806000,61000,-15745000,49491000,245548000,34098000,0.8294,0.3076,0.21759,0.0412,0.02443,1.22628,3.40858,0.68647,0.21575,0.60806,0.60067,2.79445,14.7908,0.74565,0.03848,0.03338,-1.24621,-1.56904
"16","2014_Q1",43.6134426229508,"Down",138035000,-22178000,115857000,-65336000,-58985000,-31679000,-27306000,-6351000,50521000,-18617000,-12072000,31904000,31904000,-10747000,21157000,21157000,20754000,20754000,298590000,207801000,67245000,67245000,23190000,20064000,389025000,31200000,31200000,47351000,686213000,100980000,457422000,10915000,115051000,764764000,1153789000,71139000,69570000,1569000,43753000,36326000,5535000,114892000,86809000,35833000,39787000,332479000,447371000,217333000,484850000,4235000,706418000,706418000,1153789000,21157000,11364000,18474000,7449000,58444000,-18927000,28291000,-44775000,-35411000,67000,141000,-73999.9999999995,-2742000,-14542000,8491000,8491000,129000,8619999.99999999,61885000,245670000,61154000,0.83933,0.366,0.15035,0.02938,0.01799,2.94661,3.38601,0.6333,0.21292,0.45238,0.44554,3.00877,15.39791,1.33298,0.0314,0.05886,-0.85513,-1.04749
"17","2014_Q2",43.3863492063492,"Down",134124000,-23388000,110736000,-69151000,-61938000,-32959000,-28979000,-7213000,41585000,-4629000,319000,36956000,36956000,-8191000,28765000,28765000,28765000,28765000,279368000,208068000,63666000,63666000,26453000,24343000,369487000,38829000,38829000,35698000,734270000,124979000,483255000,11158000,113509000,808797000,1178284000,58921000,54084000,4837000,55661000,49606000,5711000,114582000,89540000,34703000,42377000,335336000,449918000,227616000,498318000,2432000,728366000,728366000,1178284000,28765000,13137000,-703000,-3905000,37294000,-3851000,18492000,-49068000,-26217000,939000,4981000,-4042000,768000,-10711000,366000,366000,-99000,267000,54722000,245796000,55157000,0.82562,0.31005,0.21447,0.03949,0.02441,1.9175,3.22465,0.61771,0.20861,0.6204,0.61509,2.89278,15.70934,1.18962,0.03872,0.05185,-0.6135,-0.80731
"18","2014_Q3",46.3678125,"Up",144744000,-25559000,119185000,-74348000,-66747000,-35329000,-31418000,-7601000,44837000,-5496000,185999.999999998,39341000,39341000,-4292000,35049000,35049000,35049000,35049000,653568000,591881000,70830000,70830000,37073000,33841000,761471000,40662000,40662000,54934000,782750000,133629000,514539000,10902000,123680000,878346000,1639817000,70313000,65586000,4727000,59907000,57315000,909000,130220000,126402000,66095000,48565000,716005000,846225000,266590000,520351000,6651000,793592000,793592000,1639817000,35049000,15318000,2532000,1613000,54512000,-4679000,-11606000,-29870000,-39845000,-302000,389000,-691000,-20724000,368590000,383257000,383257000,556000,383813000,60155000,589603000,61381000,0.82342,0.30977,0.24214,0.04417,0.02137,1.75129,5.84757,1.06632,0.35955,0.74978,0.74465,3.09642,16.97683,1.31309,0.03175,0.04066,-1.06334,-1.42661
"19","2014_Q4",50.78890625,"Up",153018000,-28044000,124974000,-78496000,-70859000,-37047000,-33812000,-7637000,46478000,-10374000,-251000,36104000,36104000,-7345000,28759000,28759000,28759000,28759000,622415000,514997000,75016000,75016000,32268000,24817000,729699000,38787000,38787000,61415000,810103000,144398000,533403000,8021000,124281000,910305000,1640004000,71968000,70781000,1187000,58530000,57399000,540000,130498000,114481000,61710000,41826000,705945000,836443000,271326000,535567000,-3332000,803561000,803561000,1640004000,28759000,14852000,2047000,-5343000,40315000,-4031000,-59413000,-38692000,-102136000,476000,1216000,-740000,130000,-12639000,-74460000,-74460000,-2424000,-76884000,61330000,591464000,59301000,0.81673,0.30374,0.18795,0.03579,0.01754,2.062,5.59165,1.04092,0.36065,0.61391,0.60977,3.26644,17.15344,1.26589,0.02783,0.03929,-0.50466,-0.66593
"20","2015_Q1",58.7437704918033,"Up",167144000,-28998000,138146000,-84840000,-76611000,-36632000,-39979000,-8229000,53306000,-10540000,-89000.0000000001,42766000,42766000,-10012000,32754000,32754000,32754000,31763000,529869000,433663000,91699000,91699000,24615000,22602000,646183000,38217000,38217000,60508000,960294000,163766000,635675000,17556000,143297000,1059019000,1705202000,95310000,95310000,0,64057000,63457000,258000,159367000,132109000,61960000,59967000,725600000,884967000,273778000,553584000,-7127000,820235000,820235000,1705202000,32754000,19646000,478000,-7768000,45110000,-4604000,24373000,-127040000,-107271000,110000,3e+05,-190000,-4098000,-17710000,-79871000,-79871000,-1463000,-81334000,72952000,593491000,70592000,0.82651,0.31892,0.19003,0.03872,0.01863,2.22246,4.05469,1.07892,0.34805,0.67358,0.6697,3.5445,17.39414,1.49699,0.02942,0.04567,0.87211,1.19352
"21","2015_Q2",62.692380952381,"Up",161253000,-28186000,133067000,-92537000,-84090000,-37590000,-46500000,-8447000,40530000,-9529000,784000,31001000,31001000,-9124000,21877000,21877000,21877000,21877000,477776000,392017000,82572000,82572000,26757000,24611000,587105000,36618000,36618000,61718000,1012795000,184328000,669374000,16146000,142947000,1111131000,1698236000,83967000,81008000,2959000,73904000,73278000,441000,157871000,130074000,63109000,58060000,725406000,883277000,275894000,561049000,-21984000,814959000,814959000,1698236000,21877000,21287000,6257000,-3705000,45716000,-3283000,9175000,-72215000,-66323000,-579000,126000,-705000,-2072000,-16761000,-37368000,-37368000,-4278000,-41646000,61817000,595332000,63953000,0.82521,0.25134,0.13567,0.02684,0.01288,2.9233,3.71889,1.08383,0.35056,0.46132,0.458,3.40036,17.18511,1.34858,0.02336,0.04152,1.90168,2.90047
"22","2015_Q3",64.473125,"Up",176038000,-29495000,146543000,-96477000,-87509000,-40421000,-47088000,-8968000,50066000,-10969000,-88000,39097000,39097000,-180000,38917000,38917000,38917000,38917000,513118000,415930000,87319000,87319000,31654000,27140000,632091000,36778000,36778000,54177000,1003763000,175488000,674084000,14980000,139211000,1094718000,1726809000,88296000,87081000,1215000,76039000,75353000,324000,164335000,115867000,63267000,44378000,713271000,877606000,283178000,584831000,-18806000,849203000,849203000,1726809000,38917000,21894000,6272000,-15189000,51894000,-4538000,-10607000,-2093000,-17173000,1412000,3009000,-1597000,113000,-12975000,21746000,21746000,2167000,23913000,71960000,597404000,52413000,0.83245,0.2844,0.22107,0.04583,0.02254,1.34679,3.84636,1.03345,0.34596,0.81866,0.81325,3.70313,17.86382,1.10256,0.03419,0.03354,1.17129,1.6835
"23","2015_Q4",72.63265625,"Up",178701000,-30669000,148032000,-92299000,-84010000,-38808000,-45202000,-8289000,55733000,-11345000,-1086000,44388000,44388000,-7013000,37375000,37375000,37375000,37375000,357778000,272368000,97376000,97376000,44525000,36738000,499679000,59829000,59829000,52889000,1152602000,205760000,772916000,16637000,157289000,1265320000,1764999000,89700000,89638000,62000,75729000,75117000,248000,165429000,128246000,66206000,54673000,727604000,893033000,289673000,606808000,-24515000,871966000,871966000,1764999000,37375000,20454000,4715000,-11581000,50963000,-5364000,11065000,-185530000,-179829000,822000,1679000,-857000,839000,-13255000,-142121000,-142121000,-1441000,-143562000,76187000,599358000,66255000,0.82838,0.31188,0.20915,0.04286,0.02118,1.77271,3.0205,1.02416,0.33958,0.78361,0.77939,3.74665,18.28166,1.3891,0.03269,0.04142,3.17088,4.3346
"24","2016_Q1",64.9760655737705,"Down",204823000,-34608000,170215000,-117162000,-108537000,-42190000,-66347000,-8625000,53053000,-10620000,385000,42433000,42433000,-6966000,35467000,35467000,35467000,35467000,335185000,255530000,114680000,114680000,32940000,25722000,482805000,57442000,57442000,78563000,1164909000,197319000,807661000,17516000,142413000,1300914000,1783719000,119973000,114384000,5589000,76681000,76104000,214000,196654000,104672000,43989000,54145000,696857000,893511000,292543000,626789000,-29124000,890208000,890208000,1783719000,35467000,29578000,9094000,6349000,80488000,-5567000,-23775000,-42971000,-72378000,-111000,404000,-515000,-8961000,-24372000,-16262000,-16262000,-576000,-16838000,82631000,592185000,90379000,0.83103,0.25902,0.17316,0.03984,0.01988,2.54826,2.4551,1.00371,0.33199,0.74113,0.72712,4.28006,18.60212,1.88859,0.03199,0.05695,3.11021,4.84421
"25","2016_Q2",60.02484375,"Down",200502000,-34288000,166214000,-112876000,-103888000,-48112000,-55776000,-8988000,53338000,-10359000,-126000,42979000,42979000,-13036000,29943000,29943000,29943000,29943000,312576000,242755000,98329000,98329000,19706000,19706000,430611000,56370000,56370000,81896000,1202957000,202352000,829012000,18239000,147470000,1341223000,1771834000,88542000,82813000,5729000,79173000,78975000,198000,167715000,101530000,40637000,55205000,696075000,863790000,296113000,640001000,-28070000,908044000,908044000,1771834000,29943000,27174000,5152000,2255000,64524000,-4637000,4822000,-47989000,-47804000,-416000,1370000,-1786000,-14147000,-30380000,-13660000,-13660000,885000,-12775000,80512000,594545000,91166000,0.82899,0.26602,0.14934,0.03298,0.0169,3.04465,2.56752,0.95126,0.33555,0.62425,0.62073,4.18002,18.93071,1.90061,0.02853,0.05683,3.5022,5.28646
"26","2016_Q3",63.135625,"Up",211800000,-35590000,176210000,-117265000,-108052000,-48617000,-59435000,-9213000,58945000,-10088000,213000,48857000,48857000,-15087000,33770000,33770000,33770000,33770000,364669000,313754000,106365000,106365000,22472000,22472000,493506000,60053000,60053000,42537000,1197055000,190380000,840946000,17270000,141965000,1299645000,1793151000,110659000,106512000,4147000,74587000,74558000,29000,185246000,92620000,42352000,45480000,689512000,874758000,299830000,657035000,-38472000,918393000,918393000,1793151000,33770000,31059000,9464000,-6765000,67528000,-6364000,60602000,-28736000,25502000,-906000.000000002,664000,-1570000,-1560000,-18851000,74179000,74179000,-3180000,70999000,90004000,596892000,91962000,0.83196,0.27831,0.15944,0.03677,0.01883,2.72319,2.66406,0.95249,0.33287,0.70272,0.69967,4.40738,19.11098,1.91365,0.03119,0.05719,2.58014,3.93966
"27","2016_Q4",69.2957142857143,"Up",210116000,-36992000,173124000,-111002000,-102038000,-46426000,-55612000,-8964000,62122000,-719000,9718000,61403000,61403000,-15835000,45568000,45568000,45568000,45568000,325471000,285563000,114581000,114581000,26567000,26567000,466619000,61437000,61437000,53421000,1187668000,175434000,853791000,16888000,137101000,1302526000,1769145000,104037000,101830000,2207000,76450000,76259000,191000.000000007,180487000,91192000,39975000,48863000,690464000,870951000,304857000,634386000,-41049000,898194000,898194000,1769145000,45568000,30336000,9299000,-24715000,60488000,-8460000,3747000,-14676000,-19389000,-51298000,1429000,-52727000,-1552000,-69416000,-28317000,-28317000,126000,-28191000,92458000,599272000,75118000,0.82394,0.29566,0.21687,0.05073,0.02576,1.64848,2.58533,0.96967,0.33874,0.96318,0.95943,4.44126,18.98528,1.58778,0.03911,0.04728,2.96136,4.40747
"28","2017_Q1",80.056935483871,"Up",251837000,-40230000,211607000,-143446000,-132565000,-63716000,-68849000,-10881000,68161000,-9961000,438000,58200000,58200000,-15042000,43158000,43158000,43158000,43158000,123950000,123950000,199871000,199871000,24178000,24178000,347999000,68094000,68094000,0,1646235000,208155000,1122810000,173755000,136226000,1714329000,2062328000,194824000,178071000,16753000,259265000,80384000,178881000,454089000,91957000,40357000,50012000,693703000,1147792000,308803000,660382000,-54649000,914536000,914536000,2062328000,43158000,33522000,-3923000,17090000,89847000,-9606000,91728000,-489290000,-407168000,-52000,361000,-413000,-1794000,159797000,-157524000,-157524000,-4089000,-161613000,101683000,601746000,124209000,0.84025,0.27066,0.17137,0.04719,0.02093,2.87801,0.76637,1.25505,0.29178,0.91164,0.90185,5.31965,19.31809,2.62371,0.03745,0.07723,4.69888,7.00981
