"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2016_Q1",11.3093442622951,"Down",2.117e+09,-1.215e+09,9.02e+08,-8.1e+08,-6.87e+08,-1.23e+08,9.2e+07,2.9e+07,1.4e+07,1.5e+07,1.21e+08,-5.3e+07,6.8e+07,-4.8e+07,2e+07,-3.63e+08,-1.5e+07,-3.78e+08,-3.78e+08,1.951e+09,1.951e+09,1.283e+09,1.283e+09,7.8e+08,7.8e+08,4.014e+09,2.69e+09,2.379e+09,5.952e+09,2.203e+09,3.063e+09,4.67e+08,1.1021e+10,1.5035e+10,1.363e+09,2.38e+08,1.125e+09,7.47e+08,3.46e+08,4.01e+08,2.11e+09,7.89e+08,3.05e+08,1.66e+08,3.18e+08,7.89e+08,2.899e+09,1.2439e+10,6e+06,1.2433e+10,8.8e+07,-5.82e+08,1.1965e+10,1.71e+08,1.2136e+10,1.5035e+10,2e+07,-3.63e+08,1.23e+08,5.4e+07,-3.5e+07,5e+06,9.2e+07,-1.36e+08,-1.14e+08,-2.28e+08,-1e+06,0,1e+06,-3e+07,-2.53e+08,-7.9e+07,3e+06,-7.6e+07,2.15e+08,0,3.2e+08,0.42607,0.04346,-0.17855,-0.03115,-0.02514,-0.84656,1.90237,0.23888,0,-0.64893,-0.64649,3.63433,20.50644,0.54936,0.00172,-0.02917,0.02476,-0.00265,-9.07442,-21.20652
"12","2016_Q2",11.44953125,"Up",2.014e+09,-1.199e+09,8.15e+08,-7.71e+08,-6.5e+08,-1.21e+08,4.4e+07,2.5e+07,1.2e+07,1.3e+07,6.9e+07,-1.7e+07,5.2e+07,9.1e+07,1.43e+08,1.89e+08,-1.4e+07,1.75e+08,1.75e+08,1.898e+09,1.898e+09,1.301e+09,1.301e+09,6.9e+08,6.9e+08,3.889e+09,2.553e+09,2.196e+09,6.118e+09,2.143e+09,3.012e+09,9.63e+08,1.0867e+10,1.4756e+10,1.405e+09,2.72e+08,1.133e+09,7.61e+08,3.54e+08,4.07e+08,2.166e+09,7.89e+08,2.98e+08,1.71e+08,3.2e+08,7.89e+08,2.955e+09,1.2437e+10,6e+06,1.2431e+10,2.04e+08,-1.025e+09,1.1636e+10,1.65e+08,1.1801e+10,1.4756e+10,1.43e+08,1.89e+08,1.21e+08,-1.3e+07,-1.1e+08,1.41e+08,-6.3e+07,-1.4e+07,-8999999.99999997,-85999999.9999999,-1.6e+07,0,-6e+06,-3.7e+07,1.8e+07,-16999999.9999999,-3.6e+07,-5.3e+07,1.65e+08,3.72529029846191e-09,-99000000.0000001,0.40467,0.02185,0.08689,0.01483,0.01186,-0.565710000000001,1.79548,0.2504,0,0.3012,0.30033,3.46644,19.99312,-0.1704,0.02754,0.01517,-0.00786,0.0914300000000002,-11.50303,-43.13636
"13","2016_Q3",12.5271875,"Up",2.161e+09,-1.193e+09,9.68e+08,-8.11e+08,-6.88e+08,-1.23e+08,1.57e+08,2e+07,1.1e+07,9e+06,1.77e+08,-2.2e+07,1.55e+08,-4.9e+07,1.06e+08,8.2e+07,-1.9e+07,6.3e+07,6.3e+07,1.883e+09,1.883e+09,1.349e+09,1.349e+09,5.63e+08,5.63e+08,3.795e+09,2.554e+09,2.288e+09,6.238e+09,2.164e+09,3.09e+09,9.84e+08,1.108e+10,1.4875e+10,1.356e+09,2.48e+08,1.108e+09,7.4e+08,3.37e+08,4.03e+08,2.096e+09,7.8e+08,2.91e+08,1.45e+08,3.44e+08,7.8e+08,2.876e+09,1.2447e+10,6e+06,1.2441e+10,2.68e+08,-9.23e+08,1.1812e+10,1.87e+08,1.1999e+10,1.4875e+10,1.06e+08,8.2e+07,1.23e+08,2.1e+07,-4.5e+07,2.05e+08,-5.7e+07,-8.5e+07,-2.2e+07,-1.64e+08,-5.8e+07,1.49011611938477e-08,-1e+06,-6.2e+07,-2.1e+07,-2.6e+07,1.1e+07,-1.5e+07,2.8e+08,0,2.27e+08,0.44794,0.07265,0.02915,0.00525,0.00424,3.60317,1.81059,0.23969,0,0.1084,0.10812,3.71817,20.28906,0.39057,0.09979,0.00947,0.01776,0.92063,-6.725,-11.99363
"14","2016_Q4",11.7544444444444,"Down",1.891e+09,-1.084e+09,8.07e+08,-7.75e+08,-6.49e+08,-1.26e+08,3.2e+07,4.6e+07,1.1e+07,3.5e+07,7.8e+07,-3.04e+08,-2.26e+08,9.8e+07,-1.28e+08,-1.3e+08,-1.9e+07,-1.49e+08,-1.49e+08,1.972e+09,1.972e+09,1.254e+09,1.254e+09,6.79e+08,6.79e+08,3.905e+09,2.499e+09,2.264e+09,7.048e+09,2.229e+09,3.681e+09,4.72e+08,1.1811e+10,1.5716e+10,1.666e+09,2.27e+08,1.439e+09,9.82e+08,3.78e+08,6.04e+08,2.648e+09,8.34e+08,2.81e+08,2e+08,3.53e+08,1.203e+09,3.851e+09,1.2431e+10,6e+06,1.2425e+10,6e+07,-8.45e+08,1.1666e+10,1.99e+08,1.1865e+10,1.5716e+10,-1.28e+08,-1.3e+08,1.26e+08,-3.4e+07,2.79e+08,1.77e+08,-6e+07,-3.83e+08,-9999999.99999997,-4.38e+08,-1.4e+07,3.42e+08,-2e+06,3.03e+08,4.2e+07,8.2e+07,7000000.00000001,8.9e+07,1.58e+08,3.69e+08,2.79e+08,0.42676,0.01692,-0.07879,-0.01256,-0.00948,-1.87248,1.4747,0.32457,0.02348,-0.25681,-0.25597,3.25922,20.07239,0.48087,0.02413,-0.01033,0.02135,-0.0939600000000002,-10.14557,-50.09375
"15","2017_Q1",11.9454838709677,"Up",2.226e+09,-1.252e+09,9.74e+08,-8.7e+08,-7.35e+08,-1.35e+08,1.04e+08,0,9e+06,-9e+06,1.04e+08,9.6e+07,2e+08,-8.6e+07,1.14e+08,1.09e+08,-1.9e+07,9e+07,9e+07,1.832e+09,1.832e+09,1.229e+09,1.229e+09,8.28e+08,8.28e+08,3.889e+09,2.405e+09,2.27e+09,6.919e+09,2.207e+09,3.714e+09,3.96e+08,1.1594e+10,1.5483e+10,1.588e+09,2.17e+08,1.371e+09,8.54e+08,3.88e+08,4.66e+08,2.442e+09,8.7e+08,3.5e+08,1.71e+08,3.49e+08,1.239e+09,3.681e+09,1.244e+10,6e+06,1.2434e+10,1.5e+08,-1.026e+09,1.1584e+10,2.18e+08,1.1802e+10,1.5483e+10,1.14e+08,1.09e+08,1.35e+08,1.2e+07,1.02e+08,3.55e+08,-3.5e+07,-3.7e+07,-3.49e+08,-4.23e+08,-5.9e+07,0,5e+06,-5.4e+07,-1.22e+08,-1.22e+08,-1.8e+07,-1.4e+08,2.39e+08,3.69e+08,3.92e+08,0.43756,0.04672,0.04043,0.00763,0.00581,4.35556,1.59255,0.3119,0.02383,0.15517,0.15451,3.83793,19.93793,0.67586,0.10172,0.01143,0.03006,0.65556,-6.12134,-14.06731
"16","2017_Q2",12.5525396825397,"Up",1.965e+09,-1.157e+09,8.08e+08,-7.98e+08,-6.78e+08,-1.2e+08,1e+07,9000000.00000001,7e+06,1999999.99999999,1.9e+07,-2e+07,-1e+06,1e+06,0,0,-1.5e+07,-1.5e+07,-1.5e+07,1.499e+09,1.499e+09,1.294e+09,1.294e+09,5.35e+08,5.35e+08,3.328e+09,2.367e+09,2.269e+09,7.305e+09,2.381e+09,3.889e+09,4.07e+08,1.1941e+10,1.5269e+10,1.376e+09,2.4e+08,1.136e+09,9.11e+08,4.01e+08,5.1e+08,2.287e+09,8.39e+08,3.32e+08,1.71e+08,3.36e+08,1.216e+09,3.503e+09,1.244e+10,6e+06,1.2434e+10,7.6e+07,-9.86e+08,1.155e+10,2.16e+08,1.1766e+10,1.5269e+10,0,-5.96046447753906e-08,1.2e+08,-2e+06,-3.86e+08,-2.71e+08,-2.5e+07,-2.83e+08,2.97e+08,-1.1e+07,-1.8e+07,-2.3e+07,-1.8e+07,-5.9e+07,-3.41e+08,-3.41e+08,8e+06,-3.33e+08,1.3e+08,3.77e+08,-2.82e+08,0.4112,0.00508999999999999,-0.00762999999999999,-0.00127,-0.000980000000000001,18.8,1.45518,0.29772,0.02469,-0.02583,-0.02583,3.38326,19.85193,-0.48554,0.03099,0.000229999999999999,-0.02172,-1.2,-8.63077,-112.2
"17","2017_Q3",12.9939682539683,"Up",2.116e+09,-1.126e+09,9.9e+08,-7.85e+08,-6.65e+08,-1.2e+08,2.05e+08,-1e+08,1.5e+07,-1.15e+08,1.05e+08,-3.56e+08,-2.51e+08,3.2e+07,-2.19e+08,-2.19e+08,-7e+07,-2.89e+08,-2.89e+08,1.564e+09,1.564e+09,1.528e+09,1.528e+09,4.99e+08,4.99e+08,3.591e+09,1.981e+09,1.932e+09,7.023e+09,2.298e+09,3.791e+09,3.85e+08,1.0936e+10,1.4527e+10,1.361e+09,2.4e+08,1.121e+09,9.64e+08,4.04e+08,5.6e+08,2.325e+09,6.86e+08,3.15e+08,4e+07,3.31e+08,9.54e+08,3.279e+09,1.2457e+10,6e+06,1.2451e+10,-2.13e+08,-1.289e+09,1.0975e+10,2.73e+08,1.1248e+10,1.4527e+10,-2.19e+08,-2.19e+08,1.2e+08,4.25e+08,-5.4e+07,2.72e+08,-2.4e+07,-5.9e+07,-2.4e+07,-1.07e+08,-5.9e+07,-1.49011611938477e-08,-3e+06,-6.2e+07,1.03e+08,1.03e+08,-3.8e+07,6.5e+07,3.25e+08,2.68e+08,2.15e+08,0.46786,0.09688,-0.13658,-0.02569,-0.01989,-0.74394,1.54452,0.29152,0.01845,-0.49708,-0.49708,3.63949,18.84245,0.3698,0.10148,-0.01885,0.01762,-0.20415,-3.98769,-6.32195000000002
"18","2017_Q4",14.3357142857143,"Up",1.978e+09,-1.101e+09,8.77e+08,-7.71e+08,-6.62e+08,-1.09e+08,1.06e+08,-2.8e+07,8e+06,-3.6e+07,7.8e+07,-32999999.9999999,44999999.9999999,-4.5e+07,5.96046447753906e-08,0,-5e+06,-5000000.00000006,-5000000.00000006,1.85e+09,1.85e+09,1.326e+09,1.326e+09,5.86e+08,5.86e+08,3.762e+09,1.961e+09,2.01e+09,7.153e+09,2.316e+09,3.859e+09,4.42e+08,1.1124e+10,1.4886e+10,1.443e+09,2.29e+08,1.214e+09,1.018e+09,4.35e+08,5.83e+08,2.461e+09,7.15e+08,3.05e+08,8.2e+07,3.28e+08,9.88e+08,3.449e+09,1.2403e+10,6e+06,1.2397e+10,-2.19e+08,-1.045e+09,1.1159e+10,2.78e+08,1.1437e+10,1.4886e+10,5.96046447753906e-08,-5.96046447753906e-08,1.09e+08,4.8e+07,6.3e+07,2.18e+08,1.13e+08,-3e+06,-4.1e+07,6.9e+07,-1.6e+07,0,-1.5e+07,-3.1e+07,2.56e+08,2.56e+08,3e+07,2.86e+08,2.15e+08,2.73e+08,4.36e+08,0.44338,0.05359,-0.00253,-0.000439999999999999,-0.000339999999999997,-87.2,1.52865,0.30157,0.01834,-0.00859999999999989,-0.00859999999999989,3.40213,19.15893,0.74991,0.02752,0.000890000000000002,0.03509,-3.2,-7.33488,-14.87736
"19","2018_Q1",15.7559016393443,"Up",2.08e+09,-1.145e+09,9.35e+08,-8.2e+08,-7.2e+08,-1e+08,1.15e+08,-5e+06,9e+06,-1.4e+07,1.1e+08,-5.18e+08,-4.08e+08,-1.6e+07,-4.24e+08,-4.24e+08,-5e+06,-4.29e+08,-4.29e+08,2.016e+09,2.016e+09,1.276e+09,1.276e+09,3.15e+08,3.15e+08,3.815e+09,1.624e+09,2.027e+09,7.086e+09,2.281e+09,3.838e+09,4.42e+08,1.0737e+10,1.4552e+10,1.426e+09,2.22e+08,1.204e+09,9.23e+08,4.26e+08,4.97e+08,2.452e+09,7.31e+08,3.19e+08,6.1e+07,3.51e+08,1.007e+09,3.459e+09,1.2401e+10,6e+06,1.2395e+10,-6.48e+08,-9.64e+08,1.0809e+10,2.84e+08,1.1093e+10,1.4552e+10,-4.24e+08,-4.24e+08,1e+08,4.81e+08,1.18e+08,2.75e+08,-2.11e+08,1.6e+08,-5e+06,-5.6e+07,-5.9e+07,0,-6e+06,-6.5e+07,1.54e+08,1.54e+08,1.2e+07,1.66e+08,2.15e+08,3.79e+08,1.38e+08,0.44952,0.05529,-0.20625,-0.03867,-0.02948,-0.32168,1.55587,0.31182,0.02604,-0.73711,-0.73711,3.57388,18.5378,0.23711,0.10137,-0.03032,0.01131,-0.13753,-7.61395,-14.23478
"20","2018_Q2",15.1990625,"Down",2.058e+09,-1.149e+09,9.09e+08,-7.58e+08,-6.61e+08,-9.7e+07,1.51e+08,5000000.00000001,6e+06,-999999.999999993,1.56e+08,-1.5e+07,1.41e+08,-5.4e+07,8.7e+07,8.7e+07,-1.9e+07,68000000.0000001,68000000.0000001,1.877e+09,1.877e+09,1.365e+09,1.365e+09,5.26e+08,5.26e+08,3.768e+09,1.636e+09,2.044e+09,7.214e+09,2.301e+09,3.922e+09,4.38e+08,1.0894e+10,1.4662e+10,1.381e+09,2.35e+08,1.146e+09,1.036e+09,4.48e+08,5.88e+08,2.417e+09,7.48e+08,3.13e+08,7.3e+07,3.62e+08,1.029e+09,3.446e+09,1.2346e+10,6e+06,1.234e+10,-5.81e+08,-8.52e+08,1.0933e+10,2.83e+08,1.1216e+10,1.4662e+10,8.7e+07,8.7e+07,9.7e+07,1e+06,-1.89e+08,-3999999.99999994,-6.2e+07,-5.4e+07,-5e+06,-1.21e+08,-2.1e+07,0,-1e+07,-3.1e+07,-1.56e+08,-1.56e+08,1.7e+07,-1.39e+08,2.48e+08,2.81e+08,5.1e+07,0.44169,0.07337,0.0330400000000001,0.00606,0.00463999999999999,0.750000000000001,1.55896,0.30724,0.01917,0.11678,0.11656,3.53426,18.7412,0.0875799999999999,0.03606,0.00727,0.00416,0.30882,-6.43548,-10.56954
"21","2018_Q3",13.6112698412698,"Down",2.18e+09,-1.139e+09,1.041e+09,-8.11e+08,-7.11e+08,-1e+08,2.3e+08,-4.9e+07,1e+06,-5e+07,1.81e+08,-1.2e+07,1.69e+08,-2.35e+08,-6.6e+07,-6.6e+07,-1.7e+07,-8.3e+07,-8.3e+07,1.856e+09,1.856e+09,1.379e+09,1.379e+09,4.83e+08,4.83e+08,3.718e+09,1.631e+09,2.019e+09,6.991e+09,2.281e+09,3.917e+09,4.44e+08,1.0641e+10,1.4359e+10,1.329e+09,2.16e+08,1.113e+09,9.41e+08,3.9e+08,5.51e+08,2.27e+09,7.24e+08,3.05e+08,5.9e+07,3.6e+08,9.11e+08,3.181e+09,1.2356e+10,6e+06,1.235e+10,-6.64e+08,-8.32e+08,1.088e+10,2.98e+08,1.1178e+10,1.4359e+10,-6.6e+07,-6.6e+07,1e+08,5.1e+07,1.23e+08,2.08e+08,-5.1e+07,1e+06,-5e+06,-5.5e+07,-5.9e+07,-9.3e+07,-1.9e+07,-1.71e+08,-1.8e+07,-1.8e+07,-3e+06,-2.1e+07,3.3e+08,1.87e+08,6.37e+08,0.47752,0.1055,-0.03807,-0.00743,-0.00578,-7.6747,1.63789,0.28458,0.01302,-0.14244,-0.14271,3.7412,18.63738,1.09319,0.10125,-0.00199,0.05269,-0.71084,-5.05758,-7.25652
"22","2018_Q4",12.4512698412698,"Down",2.093e+09,-1.151e+09,9.42e+08,-8.6e+08,-7.6e+08,-1e+08,8.2e+07,-9.43e+08,2e+06,-9.45e+08,-8.61e+08,-2.46e+08,-1.107e+09,-3e+06,-1.11e+09,-1.11e+09,-1.8e+07,-1.128e+09,-1.128e+09,2.112e+09,2.112e+09,1.328e+09,1.328e+09,5.46e+08,5.46e+08,3.986e+09,1.642e+09,9.57e+08,6.787e+09,2.226e+09,3.724e+09,4.67e+08,9.386e+09,1.3372e+10,1.453e+09,2.3e+08,1.223e+09,1.014e+09,4.48e+08,5.66e+08,2.467e+09,7.1e+08,3.01e+08,5.5e+07,3.54e+08,8.94e+08,3.361e+09,1.2316e+10,6e+06,1.231e+10,-1.792e+09,-8.29e+08,9.715e+09,2.96e+08,1.0011e+10,1.3372e+10,-1.11e+09,-1.11e+09,1e+08,1.171e+09,1e+08,2.61e+08,5e+07,-9e+06,-9e+06,3.2e+07,-1.9e+07,0,-1.3e+07,-3.2e+07,2.61e+08,2.61e+08,-5e+06,2.56e+08,1.82e+08,1.84e+08,3.35e+08,0.45007,0.03918,-0.53894,-0.11268,-0.08436,-0.296990000000001,1.61573,0.33573,0.01376,-1.93548,-1.93548,3.59128,16.63521,0.57481,0.0326,-0.1017,0.03072,-0.0168399999999997,-10.59341,-23.5122
"23","2019_Q1",12.1726229508197,"Down",2.693e+09,-1.464e+09,1.229e+09,-1.092e+09,-9.17e+08,-1.75e+08,1.37e+08,-3.51e+08,-1.6e+07,-3.35e+08,-2.14e+08,-7.8e+07,-2.92e+08,-6.3e+07,-3.55e+08,-3.55e+08,-1.6e+07,-3.71e+08,-3.71e+08,2.034e+09,2.034e+09,1.612e+09,1.612e+09,3.72e+08,3.72e+08,4.394e+09,2.56e+09,3.93e+08,8.999e+09,2.671e+09,5.218e+09,8.31e+08,1.1952e+10,1.6346e+10,1.945e+09,6.05e+08,1.34e+09,8.88e+08,5.16e+08,3.72e+08,3.295e+09,1.064e+09,2.45e+08,3.89e+08,4.3e+08,2.554e+09,5.849e+09,1.2328e+10,6e+06,1.2322e+10,-2.163e+09,-8.74e+08,9.311e+09,1.186e+09,1.0497e+10,1.6346e+10,-3.55e+08,-3.55e+08,1.75e+08,3.93e+08,7.9e+07,2.92e+08,-1.64e+08,-1.4e+07,1e+06,-1.77e+08,-5.9e+07,-2.5e+07,-8e+07,-1.64e+08,-4.9e+07,-4.9e+07,-2.9e+07,-7.8e+07,3.12e+08,1.952e+09,2.9e+08,0.45637,0.05087,-0.13776,-0.03534,-0.0227,-0.78167,1.33354,0.55721,0.11942,-0.63636,-0.63636,4.61921,15.93654,0.49743,0.1012,-0.02309,0.02146,-0.15903,-0.26282,-0.598540000000003
"24","2019_Q2",11.927619047619,"Down",2.524e+09,-1.34e+09,1.184e+09,-9.89e+08,-8.26e+08,-1.63e+08,1.95e+08,1000000.00000006,-1.6e+07,16999999.9999999,1.96e+08,-1.8e+07,1.78e+08,-5e+07,1.28e+08,1.28e+08,-2.7e+07,1.01e+08,1.01e+08,1.886e+09,1.886e+09,1.648e+09,1.648e+09,5.47e+08,5.47e+08,4.469e+09,2.512e+09,3.9e+08,8.917e+09,2.607e+09,5.153e+09,8.97e+08,1.1819e+10,1.6288e+10,1.795e+09,5.37e+08,1.258e+09,1.079e+09,4.36e+08,6.43e+08,3.545e+09,1.127e+09,2.41e+08,4.01e+08,4.85e+08,2.313e+09,5.858e+09,1.2263e+10,6e+06,1.2257e+10,-2.032e+09,-9.7e+08,9.261e+09,1.169e+09,1.043e+10,1.6288e+10,1.28e+08,1.28e+08,1.63e+08,-12999999.9999999,-1.65e+08,1.13e+08,-1.28e+08,1e+06,6e+06,-1.21e+08,-2.3e+07,-6.1e+07,-4e+07,-1.24e+08,-1.32e+08,-1.32e+08,-1.6e+07,-1.48e+08,3.58e+08,1.857e+09,1.15e+08,0.4691,0.07726,0.0400200000000001,0.00967999999999999,0.00620000000000001,1.13861,1.26065,0.56165,0.11401,0.17297,0.17247,4.32266,15.86059,0.19695,0.03939,0.00923999999999999,0.00857,0.22772,-0.0810099999999986,-0.14872
"25","2019_Q3",13.47234375,"Up",2.627e+09,-1.484e+09,1.143e+09,-9.36e+08,-7.73e+08,-1.63e+08,2.07e+08,-1.4e+07,-1.5e+07,1e+06,1.93e+08,-1.9e+07,1.74e+08,-5.5e+07,1.19e+08,1.19e+08,-2.4e+07,9.5e+07,9.5e+07,1.618e+09,1.618e+09,1.853e+09,1.853e+09,5.58e+08,5.58e+08,4.429e+09,2.517e+09,3.45e+08,8.936e+09,2.571e+09,5.225e+09,9.12e+08,1.1798e+10,1.6227e+10,1.868e+09,6.25e+08,1.243e+09,1.1e+09,4.3e+08,6.7e+08,3.712e+09,1.145e+09,2.37e+08,3.84e+08,5.24e+08,2.081e+09,5.793e+09,1.2277e+10,6e+06,1.2271e+10,-1.937e+09,-1.076e+09,9.264e+09,1.17e+09,1.0434e+10,1.6227e+10,1.19e+08,1.19e+08,1.63e+08,2.2e+07,-5.9e+07,2.45e+08,-9.9e+07,-1.86e+08,-3e+06,-2.88e+08,-5.8e+07,-1.46e+08,-5e+06,-2.09e+08,-2.52e+08,-2.52e+08,-1.6e+07,-2.68e+08,3.7e+08,1.68e+09,2.67e+08,0.4351,0.0788,0.03616,0.0091,0.00585,2.81053,1.19316,0.5552,0.10353,0.16242,0.16184,4.49137,15.8386,0.45649,0.09916,0.01154,0.02014,0.61053,0.16757,0.299519999999999
"26","2019_Q4",13.30671875,"Down",2.457e+09,-1.4e+09,1.057e+09,-9.78e+08,-8.1e+08,-1.68e+08,7.9e+07,-1.5e+07,-1.4e+07,-1e+06,6.4e+07,-3.4e+07,3e+07,-7e+06,2.3e+07,2.3e+07,-1.3e+07,1e+07,1e+07,1.648e+09,1.648e+09,1.631e+09,1.631e+09,5.64e+08,5.64e+08,4.247e+09,2.557e+09,3.47e+08,8.907e+09,2.514e+09,5.223e+09,9.13e+08,1.1811e+10,1.6058e+10,1.796e+09,4.32e+08,1.364e+09,1.205e+09,4.6e+08,7.45e+08,3.679e+09,1.053e+09,2.37e+08,3.21e+08,4.95e+08,1.921e+09,5.6e+09,1.2235e+10,6e+06,1.2229e+10,-1.927e+09,-1.019e+09,9.289e+09,1.169e+09,1.0458e+10,1.6058e+10,2.3e+07,2.3e+07,1.68e+08,1.3e+07,9.9e+07,3.03e+08,-9.1e+07,-2e+06,-2.1e+07,-1.14e+08,-2.1e+07,-1.44e+08,-3e+06,-1.68e+08,2.1e+07,2.1e+07,9e+06,3e+07,2.47e+08,1.546e+09,2.62e+08,0.4302,0.03215,0.00407,0.000960000000000001,0.000619999999999999,26.2,1.15439,0.53548,0.09628,0.01709,0.01698,4.2,15.87863,0.44786,0.0359,0.00237,0.02007,2.1,-0.41296,-1.29114
"27","2020_Q1",12.4485483870968,"Down",2.466e+09,-1.415e+09,1.051e+09,-9.47e+08,-7.82e+08,-1.65e+08,1.04e+08,-1.5e+07,-1.4e+07,1.6e+07,8.9e+07,-1.17e+08,-2.8e+07,-1.4e+07,-4.2e+07,-4.2e+07,-9e+06,-5.1e+07,-5.1e+07,1.643e+09,1.643e+09,1.544e+09,1.544e+09,5.15e+08,5.15e+08,4.05e+09,2.554e+09,3.35e+08,8.772e+09,2.426e+09,5.147e+09,9.3e+08,1.1661e+10,1.5711e+10,1.739e+09,4.11e+08,1.328e+09,1.152e+09,4.28e+08,7.24e+08,3.34e+09,1.056e+09,2.66e+08,2.95e+08,4.95e+08,2.06e+09,5.4e+09,1.2249e+10,6e+06,1.2243e+10,-1.979e+09,-1.126e+09,9.144e+09,1.167e+09,1.0311e+10,1.5711e+10,-4.2e+07,-4.2e+07,1.65e+08,9e+07,5.4e+07,2.67e+08,-1.51e+08,-5e+06,2e+06,-1.54e+08,-5.9e+07,-8.4e+07,3.4e+07,-1.09e+08,4e+06,4e+06,-9e+06,-5e+06,2.69e+08,1.453e+09,1.86e+08,0.4262,0.04217,-0.02068,-0.00495,-0.00325,-3.64706,1.21257,0.52371,0.09248,-0.08718,-0.08644,4.21538,15.63077,0.31795,0.10085,0.00062,0.01451,-1.15686,-0.70632,-1.82692
"28","2020_Q2",10.555873015873,"Down",2.34e+09,-1.338e+09,1.002e+09,-9.43e+08,-7.81e+08,-1.62e+08,5.9e+07,6e+06,4e+06,2e+06,6.5e+07,-2.97e+08,-2.32e+08,2.1e+07,-2.11e+08,-2.11e+08,-1.6e+07,-2.27e+08,-2.27e+08,1.441e+09,1.441e+09,1.54e+09,1.54e+09,4.16e+08,4.16e+08,3.799e+09,2.433e+09,3.29e+08,9.672e+09,2.239e+09,4.885e+09,2.243e+09,1.2434e+10,1.6233e+10,1.573e+09,4.06e+08,1.167e+09,1.297e+09,4.48e+08,8.49e+08,3.492e+09,2.205e+09,2.58e+08,2.74e+08,1.673e+09,2.912e+09,6.404e+09,1.218e+10,6e+06,1.2174e+10,-2.2e+09,-1.266e+09,8.714e+09,1.115e+09,9.829e+09,1.6233e+10,-2.11e+08,-2.11e+08,1.62e+08,3.16e+08,-2.4e+08,2.7e+07,-1.14e+08,-25072929.6525935,-4e+06,-1.18e+08,-2.2e+07,-9.1e+07,1.8e+07,-9.5e+07,-1.86e+08,-1.86e+08,3056563.92199488,-1.86e+08,2.21e+08,1.329e+09,-1.54e+08,0.42821,0.02521,-0.09701,-0.02309,-0.01398,0.678409999999999,1.08792,0.65154,0.08187,-0.38691,-0.38691,3.98841,14.85257,-0.26249,0.0375,-0.01534,-0.01152,-0.0969200000000003,-0.50679,-1.89831
