"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","other_interbank_assets","short_long_term_investments","other_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","other_intangible_assets","other_assets","total_assets","total_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",21.0770967741935,"Down",2.446e+09,1.483e+09,1.72e+09,-2.37e+08,9.63e+08,-2.44e+08,2.202e+09,-1.486e+09,-3.6e+07,-1.45e+09,7.16e+08,7.16e+08,-4.3e+07,6.73e+08,-1.77e+08,4.96e+08,4.96e+08,-2e+06,4.94e+08,-2.5e+07,4.69e+08,1.557e+09,1.946e+09,1.946e+09,3.8469e+10,2.4757e+10,1.12089e+11,-2.051e+09,1.1414e+11,1.94e+09,6.718e+09,7.18e+08,1.8584e+10,1.82021e+11,1.30018e+11,3.093e+09,1.9221e+10,9.157e+09,1.61489e+11,9.448e+09,3.498e+09,5.95e+09,9.761e+09,-4.09e+08,2.0479e+10,5.3e+07,2.0532e+10,1.82021e+11,4.96e+08,1.07e+08,2.44e+08,2.9e+07,-8.25e+08,5.1e+07,2.098e+09,-1.658e+09,1.31e+08,1.945e+09,-1.48e+08,-3.688e+09,1.12e+09,4.98e+08,-6e+06,-2.224e+09,-2.28e+08,-2.28e+08,-2.28e+08,8.23e+08,2.2314e+10,0.29272,0.19174,0.02284,0.00258,7.86523,0.12259,0.67086,0.66118,3.49879,26.89179,0.2117,0.00339,0.31557,25.22114,28.99022
"12","2013_Q1",22.146,"Up",2.496e+09,1.476e+09,1.726e+09,-2.5e+08,1.02e+09,-2.52e+08,2.244e+09,-1.475e+09,-4.6e+07,-1.429e+09,7.69e+08,7.69e+08,-1.3e+07,7.56e+08,-2.07e+08,5.49e+08,5.49e+08,-1.3e+07,5.36e+08,-3e+07,5.06e+08,1.975e+09,1.064e+09,1.064e+09,3.9978e+10,2.5887e+10,1.12585e+11,-2.018e+09,1.14603e+11,1.888e+09,6.804e+09,6.73e+08,1.9532e+10,1.84499e+11,1.33075e+11,2.864e+09,1.9114e+10,8.223e+09,1.63276e+11,9.472e+09,3.499e+09,5.973e+09,1.0129e+10,-5.59e+08,2.1158e+10,6.5e+07,2.1223e+10,1.84499e+11,5.49e+08,1.02e+08,2.52e+08,4.37e+08,-2.96e+08,1.044e+09,-2.998e+09,-8.78e+08,-1.19e+08,-3.773e+09,-1.65e+08,-3.04e+08,4.37e+08,3.058e+09,7e+06,3.033e+09,3.04e+08,3.04e+08,3.04e+08,8.71e+08,2.1978e+10,0.30809,0.20272,0.02384,0.00274,7.69335,0.11912,0.72328,0.71248,3.56778,27.21864,0.23585,0.00364,0.32609,22.96556,26.0117
"13","2013_Q2",23.20140625,"Up",2.423e+09,1.422e+09,1.659e+09,-2.37e+08,1.001e+09,-2.72e+08,2.151e+09,-1.409e+09,-3.6e+07,-1.373e+09,7.42e+08,7.42e+08,-5e+06,7.37e+08,-4.81e+08,2.56e+08,2.56e+08,-1.6e+07,2.4e+08,-3e+07,2.1e+08,1.322e+09,1.89e+09,1.89e+09,3.8286e+10,2.454e+10,1.12221e+11,-1.975e+09,1.14196e+11,1.88e+09,6.823e+09,6.47e+08,1.7768e+10,1.80837e+11,1.31352e+11,3.239e+09,1.8316e+10,6.701e+09,1.59608e+11,9.482e+09,3.507e+09,5.975e+09,1.0178e+10,-6.12e+08,2.1164e+10,6.5e+07,2.1229e+10,1.80837e+11,2.56e+08,1.01e+08,2.72e+08,2.83e+08,-4.81e+08,4.31e+08,1.329e+09,5.7e+07,9.1e+07,1.563e+09,-3.31e+08,-3.81e+08,-1.5e+07,-1.723e+09,-1.5e+07,-2.465e+09,-4.71e+08,-4.71e+08,-4.71e+08,8.43e+08,2.1555e+10,0.30623,0.08667,0.00989,0.00116,7.51839,0.1192,0.29988,0.29535,3.46007,27.20074,0.47267,0.00299,1.57619,24.00119,27.26819
"14","2013_Q3",25.57,"Up",2.461e+09,1.415e+09,1.643e+09,-2.28e+08,1.046e+09,-1.68e+08,2.293e+09,-1.469e+09,-4.7e+07,-1.422e+09,8.24e+08,8.24e+08,-2.7e+07,7.97e+08,-2.21e+08,5.76e+08,5.76e+08,-1.6e+07,5.6e+08,-1.3e+07,5.47e+08,1.444e+09,9.35e+08,9.35e+08,3.9649e+10,2.5361e+10,1.13893e+11,-1.901e+09,1.15794e+11,1.893e+09,6.824e+09,6.2e+08,1.7477e+10,1.82735e+11,1.31079e+11,3.192e+09,1.9362e+10,7.106e+09,1.60739e+11,9.557e+09,3.515e+09,6.042e+09,1.0564e+10,-7.84e+08,2.194e+10,5.6e+07,2.1996e+10,1.82735e+11,5.76e+08,1.06e+08,1.68e+08,1.2e+07,1.015e+09,1.877e+09,-1.536e+09,-2.059e+09,1.42e+08,-3.354e+09,-1.97e+08,1.076e+09,5.02e+08,-272999999.999999,1.8e+08,1.288e+09,-1.89e+08,-1.89e+08,-1.89e+08,9.3e+08,2.2554e+10,0.33482,0.22227,0.02487,0.00299,7.30765,0.12342,0.77896,0.76721,3.50462,27.53715,0.28054,0.00407,0.36015,22.69892,25.61893
"15","2013_Q4",25.47703125,"Down",2.322e+09,1.417e+09,1.639e+09,-2.22e+08,9.05e+08,-9.2e+07,2.23e+09,-1.467e+09,-6e+07,-1.407e+09,7.63e+08,7.63e+08,-4e+06,7.59e+08,-4.5e+08,3.09e+08,3.09e+08,-4e+06,3.05e+08,-3.7e+07,2.68e+08,1.811e+09,6.58e+08,6.58e+08,3.7676e+10,2.3626e+10,1.13787e+11,-1.838e+09,1.15625e+11,1.876e+09,6.823e+09,5.95e+08,1.7824e+10,1.8105e+11,1.27484e+11,4.813e+09,2.0402e+10,6.257e+09,1.58956e+11,9.637e+09,3.525e+09,6.112e+09,1.0669e+10,-8.6e+08,2.2049e+10,4.5e+07,2.2094e+10,1.8105e+11,3.09e+08,1.06e+08,9.2e+07,2.6e+08,-1.325e+09,-5.58e+08,1.669e+09,-9.3e+07,5.8e+07,1.774e+09,-1.92e+08,2.618e+09,0,-3.594e+09,4.2e+07,-1.126e+09,9e+07,9e+07,9e+07,8.69e+08,2.5215e+10,0.3286,0.11542,0.01213,0.00148,7.19453,0.13927,0.38059,0.37438,3.29751,27.61561,0.27266,0.00254,0.71642,26.93211,30.67366
"16","2014_Q1",28.3852459016393,"Up",2.446e+09,1.362e+09,1.566e+09,-2.04e+08,1.084e+09,-6e+07,2.386e+09,-1.386e+09,-4.6e+07,-1.34e+09,1e+09,1e+09,-1e+07,9.9e+08,-4.01e+08,5.89e+08,5.89e+08,-1.4e+07,5.75e+08,-3.7e+07,5.38e+08,1.565e+09,6e+08,6e+08,4.0627e+10,2.2526e+10,1.14185e+11,-1.732e+09,1.15917e+11,1.869e+09,6.814e+09,5.69e+08,1.6781e+10,1.8301e+11,1.27475e+11,4.138e+09,2.1493e+10,7.095e+09,1.60201e+11,9.705e+09,3.533e+09,6.172e+09,1.1044e+10,-5.93e+08,2.2759e+10,5e+07,2.2809e+10,1.8301e+11,5.89e+08,1.08e+08,6e+07,3.13e+08,2.488e+09,3.558e+09,-4.038e+09,-9.82e+08,2.43e+08,-4.192e+09,-1.92e+08,4.91e+08,0,-1e+07,4.1e+07,3.3e+08,-3.04e+08,-3.04e+08,-3.04e+08,1.108e+09,2.5631e+10,0.40883,0.21995,0.02359,0.00294,7.02359,0.14005,0.76257,0.74972,3.46699,28.56936,0.27214,0.00399,0.35688,21.72022,24.066
"17","2014_Q2",28.6150793650794,"Up",2.274e+09,1.347e+09,1.546e+09,-1.99e+08,9.27e+08,-6e+07,2.214e+09,-1.377e+09,-3.3e+07,-1.344e+09,8.37e+08,8.37e+08,-8e+06,8.29e+08,-2.56e+08,5.73e+08,5.73e+08,-4e+07,5.33e+08,-3.7e+07,4.96e+08,1.722e+09,4.98e+08,4.98e+08,4.2196e+10,2.0859e+10,1.14886e+11,-1.642e+09,1.16528e+11,1.854e+09,6.824e+09,5.46e+08,1.6125e+10,1.84651e+11,1.27476e+11,3.285e+09,2.3384e+10,6.95e+09,1.61095e+11,9.977e+09,3.592e+09,6.385e+09,1.1382e+10,-5e+08,2.3462e+10,9.4e+07,2.3556e+10,1.84651e+11,5.73e+08,1.04e+08,6e+07,1.8e+07,-1.23e+08,6.32e+08,-9.71e+08,-9.16e+08,2.32e+08,-1.665e+09,-1.93e+08,1.031e+09,2.45e+08,1e+06,4e+06,1.088e+09,5.5e+07,5.5e+07,5.5e+07,9.41e+08,2.6669e+10,0.36807,0.21812,0.02106,0.00269,6.83881,0.14443,0.69581,0.68482,3.19005,29.26174,0.27075,0.00373,0.38911,26.51116,29.80526
"18","2014_Q3",28.37578125,"Down",2.301e+09,1.343e+09,1.537e+09,-1.94e+08,9.58e+08,-7.4e+07,2.227e+09,-1.521e+09,-3.4e+07,-1.487e+09,7.06e+08,7.06e+08,-1.3e+07,6.93e+08,-2.16e+08,4.77e+08,4.77e+08,-1.6e+07,4.61e+08,-3.7e+07,4.24e+08,1.718e+09,7.3e+08,7.3e+08,4.166e+10,2.1228e+10,1.17933e+11,-1.59e+09,1.19523e+11,1.857e+09,6.868e+09,5.52e+08,1.6694e+10,1.88012e+11,1.31586e+11,3.979e+09,2.1927e+10,6.555e+09,1.64047e+11,1.0049e+10,3.598e+09,6.451e+09,1.1634e+10,-4.06e+08,2.388e+10,8.5e+07,2.3965e+10,1.88012e+11,4.77e+08,1.03e+08,7.4e+07,5e+07,-4.59e+08,2.45e+08,79000000.0000005,-3.163e+09,3.8e+07,-1.877e+09,-2.02e+08,-8.23e+08,-2.45e+08,2.882e+09,2.48e+08,1.86e+09,2.28e+08,2.28e+08,2.28e+08,8.09e+08,2.5906e+10,0.30682,0.18427,0.01769,0.00226,6.84527,0.13779,0.58961,0.58202,3.19977,29.5878,0.2809,0.00333,0.47642,29.89864,34.26062
"19","2014_Q4",28.47296875,"Up",2.298e+09,1.349e+09,1.541e+09,-1.92e+08,9.49e+08,-3.4e+07,2.264e+09,-1.41e+09,-3.4e+07,-1.376e+09,8.54e+08,8.54e+08,-1.29e+08,7.25e+08,-1.72e+08,5.53e+08,5.53e+08,-4e+06,5.49e+08,-3.7e+07,5.12e+08,1.439e+09,5.78e+08,5.78e+08,4.2183e+10,2.1466e+10,1.17185e+11,-1.504e+09,1.18689e+11,1.842e+09,6.869e+09,5.27e+08,1.6399e+10,1.87022e+11,1.30895e+11,3.385e+09,2.2355e+10,6.073e+09,1.62708e+11,1.0095e+10,3.601e+09,6.494e+09,1.1982e+10,-4.42e+08,2.4238e+10,7.6e+07,2.4314e+10,1.87022e+11,5.53e+08,1.09e+08,3.4e+07,1.05e+08,-1.74e+08,6.27e+08,-5.95e+08,5.08e+08,9.7e+07,5.4e+07,-2.09e+08,-2.18e+08,-35718558.2706009,-6.91e+08,6e+06,-1.112e+09,-4.31e+08,-4.31e+08,-4.31e+08,9.63e+08,2.574e+10,0.37163,0.2228,0.02106,0.00274,6.69195,0.13763,0.71095,0.70136,3.19094,30.04181,0.29021,0.00386,0.4082,25.23468,28.4555
"20","2015_Q1",28.6826229508197,"Up",2.357e+09,1.335e+09,1.518e+09,-1.83e+08,1.022e+09,-8.3e+07,2.274e+09,-1.376e+09,-3.8e+07,-1.338e+09,8.98e+08,8.98e+08,-1.8e+07,8.8e+08,-2.77e+08,6.03e+08,6.03e+08,-1.5e+07,5.88e+08,-3.7e+07,5.51e+08,1.639e+09,6.86e+08,6.86e+08,4.1521e+10,2.1281e+10,1.1841e+11,-1.474e+09,1.19884e+11,1.827e+09,6.869e+09,5.05e+08,1.5377e+10,1.86834e+11,1.2904e+11,3.717e+09,2.3312e+10,6.388e+09,1.62457e+11,1.012e+10,3.603e+09,6.517e+09,1.2317e+10,-7.51e+08,2.4289e+10,8.8e+07,2.4377e+10,1.86834e+11,6.03e+08,1.08e+08,8.3e+07,1.5e+07,8.97e+08,1.706e+09,8.62e+08,-1.47e+09,2.59e+08,-5.27e+08,-2.1e+08,1.187e+09,2.98e+08,-1.855e+09,-2.91e+08,-8.71e+08,3.08e+08,3.08e+08,3.08e+08,1.006e+09,2.7029e+10,0.38099,0.23377,0.0226,0.00295,6.66436,0.14467,0.76481,0.75407,3.27161,30.10101,0.29149,0.00407,0.38113,25.23857,28.27394
