"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q4",7.59253968253968,"Down",9544000,-7117000,2427000,-1763000,-1763000,664000,-23000,-35000,12000,641000,51000,692000,-172000,520000,520000,520000,520000,3781000,2687000,10091000,10091000,3262000,2354000,533000,496000,19488000,10876000,4576000,4576000,15452000,34940000,4070000,2385000,1347000,659000,2644000,1415000,7373000,2744000,6583000,1194000,5389000,9327000,16700000,6038000,-102000,12345000,18240000,18240000,34940000,520000,336000,2947000,3254000,7057000,-5034000,-5042000,-167000,-167000,1848000,1848000,1848000,1e+06,3403000,-608000,0.2543,0.06957,0.05448,0.02851,0.01488,-1.16923,2.64316,0.91557,0.0974,0.10236,0.10198,1.87874,3.59055,-0.11969,0.01842,-0.02154,-0.378,-0.56928
"12","2019_Q1",7.12786885245902,"Down",11718000,-8222000,3496000,-2302000,-2302000,1194000,-7000,-28000,21000,1187000,20000,1207000,-310000,897000,897000,897000,897000,3053000,1946000,12281000,12281000,3560000,2702000,480000,1313000,21596000,14102000,5671000,5671000,19773000,41369000,6659000,4212000,2166000,711000,4490000,3378000,11860000,2792000,7870000,1427000,5873000,10662000,22522000,6024000,-102000,12962000,18847000,18847000,41369000,897000,407000,168000,1282000,2754000,922000,-4594000,1099000,1099000,-741000,-741000,-741000,1601000,3503000,4115000,0.29834,0.10189,0.07655,0.04759,0.02168,4.58751,1.82091,1.19499,0.08468,0.17776,0.17703,2.32224,3.73504,0.8155,0.02968,0.13617,0.28107,0.37688
"13","2019_Q2",8.52809523809524,"Up",10189000,-7967000,2222000,-1774000,-1774000,448000,-19000,-33000,14000,429000,2000,431000,-99000,332000,332000,332000,332000,4167000,3033000,9540000,9540000,3047000,1360000,402000,564000,18114000,15254000,5870000,5870000,21124000,39238000,4056000,2730000,1326000,719000,4123000,2909000,8898000,2606000,8457000,1435000,6371000,11063000,19961000,6108000,-102000,13293000,19277000,19277000,39238000,331000,426000,1e+05,1603000,2460000,-1047000,-1413000,322000,41000,1088000,1088000,1088000,874000,3325000,1529000,0.21808,0.04397,0.03258,0.01722,0.00846,4.60542,2.03574,1.03548,0.08474,0.06467,0.06457,1.98461,3.75477,0.29782,0.01974,0.04923,-0.96339,-1.87946
"14","2019_Q3",8.1371875,"Down",10852000,-8696000,2156000,-1783000,-1783000,373000,-25000,-31000,6000,348000,10000,358000,-86000,272000,272000,272000,272000,2797000,1641000,11085000,11085000,3003000,1030000,553000,267000,17915000,15894000,5689000,5689000,21583000,39498000,3566000,2560000,1006000,740000,5155000,3737000,9461000,2468000,7939000,1339000,5990000,10407000,19868000,6178000,-102000,13566000,19630000,19630000,39498000,273000,447000,8000,-1052000,-324000,-942000,-953000,-116000,-116000,-1393000,-1393000,-1393000,820000,3208000,-1088000,0.19867,0.03437,0.02506,0.01386,0.00689,-4,1.89356,1.01212,0.08122,0.05298,0.05292,2.11375000000001,3.82352999999998,-0.211919999999999,0.00884,-0.03535,0.50122,1.10188
"15","2019_Q4",6.98640625,"Down",13208000,-10615000,2593000,-1841000,-1841000,752000,12000,-32000,44000,764000,18000,782000,-179000,603000,603000,603000,603000,2189000,1019000,12067000,12067000,2567000,1212000,547000,539000,18035000,16855000,5513000,5513000,22368000,40403000,4286000,3239000,1047000,733000,5046000,3692000,10065000,2264000,7796000,1429000,5679000,10060000,20125000,6247000,-102000,14140000,20277000,20277000,40402000,603000,448000,172000,-369000,854000,-1258000,-1263000,-213000,-213000,-622000,-622000,-622000,1200000,2997000,-248000,0.19632,0.05694,0.04565,0.02974,0.01492,-0.41128,1.79185,0.9925,0.07418,0.11745,0.1175,2.57265,3.94955,-0.04831,0.01941,-0.00798,0.67333,1.07447
"16","2020_Q1",5.69370967741935,"Down",12442000,-9444000,2998000,-2025000,-2025000,973000,-62000,-43000,-19000,911000,16000,927000,-185000,742000,742000,742000,742000,2540000,1364000,12723000,12723000,2242000,1526000,784000,310000,19031000,17735000,5349000,5349000,23084000,42115000,4662000,3180000,1200000,925000,4015000,2124000,9602000,4086000,7606000,1886000,5479000,11692000,21294000,6294000,-102000,14629000,20821000,20821000,42115000,742000,472000,532000,-804000,942000,-1104000,-1112000,515000,515000,345000,345000,345000,1445000,5011000,-278000,0.24096,0.0782,0.05964,0.03564,0.01762,-0.37466,1.98198,1.02272,0.11898,0.143630000000002,0.14341,2.40843999999992,4.03039000000008,-0.0538100000000014,0.02219,-0.00831,1.71003,2.53957
"17","2020_Q2",4.9747619047619,"Down",9825000,-8225000,1600000,-1642000,-1642000,-42000,-43000,-47000,4000,-85000,36000,-49000,11000,-38000,-38000,-38000,-38000,3360000,2198000,9444000,9444000,2171000,2128000,708000,956000,17103000,17998000,5198000,5198000,23196000,40299000,3524000,2669000,855000,847000,3354000,1610000,7725000,4660000,7147000,1902000,5128000,11807000,19532000,6294000,-102000,14601000,20767000,20767000,40299000,-38000,572000,-3000,725000,1256000,-628000,-636000,496000,214000,834000,834000,834000,530000,5507000,616000,0.16285,-0.00427,-0.00387,-0.00183,-0.00094,-16.21053,2.21398,0.94053,0.13665,-7.33166,-7.33166,1895.6203,4006.75285,118.85009,0.0073,0.01843,4.05094,-51.11905
"18","2020_Q3",5.81453125,"Up",10450000,-8072000,2378000,-1804000,-1804000,574000,-33000,-49000,16000,541000,30000,571000,-130000,441000,441000,441000,441000,5593000,4404000,10757000,10757000,2108000,1643000,845000,502000,20101000,19240000,4990000,4990000,24230000,44331000,4314000,3118000,1196000,2057000,3706000,2092000,10077000,5965000,7065000,1889000,4664000,13030000,23107000,6294000,-102000,15032000,21224000,21224000,44331000,441000,608000,5000,272000,1326000,-1627000,-1634000,2514000,2514000,2206000,2206000,2206000,1182000,8022000,-43000,0.22756,0.05493,0.0422,0.02078,0.00995,-0.0975099999999962,1.99474,1.08872,0.18096,85.05304,85.05304,2015.42912,4093.34619,-8.29315,0.01215,-0.00118000000000001,2.05499,4.23171
"19","2020_Q4",7.85703125,"Up",12514000,-8674000,3840000,-1791000,-1791000,2049000,-23000,-44000,21000,2026000,-8000,2018000,-469000,1549000,1549000,1549000,1549000,8657000,7449000,9753000,9753000,2164000,1664000,838000,703000,22238000,18923000,4772000,4772000,23695000,45933000,5162000,2499000,2358000,819000,3491000,1880000,9472000,6961000,6727000,1881000,4323000,13688000,23160000,6294000,-102000,16581000,22773000,22773000,45933000,1549000,611000,-26000,1262000,3396000,-102000,-109000,-242000,-242000,3045000,3045000,3045000,2660000,7780000,4289000,0.30686,0.16374,0.12378,0.06802,0.03372,2.76888,2.34776,1.01699,0.16938,0.09967,0.09967,0.80519,1.46529,0.27597,0.04155,0.11505,-0.3297,-0.42801
"20","2021_Q1",11.3906557377049,"Up",11073000,-7849000,3224000,-2046000,-2046000,1178000,-1000,-42000,41000,1177000,75000,1252000,-539000,713000,713000,713000,713000,9992000,8764000,9798000,9798000,2194000,1357000,615000,742000,23341000,18602000,4556000,4556000,23158000,46499000,4529000,1866000,2193000,740000,3631000,1857000,8900000,6888000,7062000,2461000,4001000,13950000,22850000,6457000,-102000,17294000,23649000,23649000,46499000,713000,621000,670000,-495000,1509000,-35000,-42000,-152000,-152000,1315000,1315000,1315000,1799000,7628000,1808000,0.29116,0.10638,0.06439,0.03015,0.01533,2.53576,2.62258,0.96621,0.16405,0.137430000000006,0.13722000000001,2.13434999999977,4.5583999999998,0.3485,0.0186,0.04716,-1.31406,-2.00679
"21","2021_Q2",15.8009523809524,"Up",15218000,-9496000,5722000,-1920000,-1920000,3802000,-40000,-33000,-7000,3762000,46000,3808000,-941000,2867000,2867000,2867000,2867000,13760000,12534000,10922000,10922000,2347000,1329000,528000,801000,28358000,18528000,4322000,4322000,22850000,51208000,6047000,2567000,2051000,646000,4983000,2892000,11676000,4094000,8881000,2457000,5620000,12975000,24651000,6498000,-102000,20161000,26557000,26557000,51208000,2867000,646000,-1000,790000,4302000,-330000,-337000,-195000,-195000,3770000,3770000,3770000,4448000,4740000,5849000,0.376,0.24984,0.1884,0.10796,0.05599,2.04011,2.42874,0.92823,0.09256,0.55294,0.55273,2.935,5.12189,1.12806,0.07136,0.14558,-2.02788,-2.37244
"22","2021_Q3",18.32046875,"Up",12305000,-8992000,3313000,-2036000,-2036000,1277000,-6000,-46000,40000,1271000,42000,1313000,-328000,985000,985000,985000,985000,14437000,13194000,11826000,11826000,2743000,1194000,558000,636000,30200000,18612000,4105000,4105000,22717000,52917000,6062000,2944000,2073000,3248000,4732000,2115000,14042000,3959000,7243000,2457000,3363000,11202000,25244000,6629000,-102000,21146000,27673000,27673000,52917000,985000,672000,85000,-342000,1400000,-508000,-514000,-226000,-226000,660000,660000,660000,1949000,7207000,1427000,0.26924,0.10378,0.08005,0.03559,0.01861,1.44873,2.15069,0.91222,0.13619,0.18935,0.18881,2.36544,5.31968,0.27432,0.02338,0.03388,-3.70959,-5.66171
"23","2021_Q4",27.94640625,"Up",13100000,-9898000,3202000,-1934000,-1934000,1268000,-29000,-37000,8000,1239000,2897000,4136000,-442000,3694000,3694000,3694000,3694000,16238000,14995000,12572000,12572000,3196000,1105000,622000,483000,33111000,18249000,3886000,3886000,22135000,55246000,6691000,3166000,2039000,486000,5857000,2801000,13034000,3879000,6879000,2458000,3144000,10758000,23792000,6716000,-102000,24840000,31454000,31454000,55246000,3694000,658000,-2784000,292000,1860000,94000,87000,-146000,-146000,1801000,1801000,1801000,1926000,4365000,2754000,0.24443,0.09679,0.28198,0.11744,0.06686,0.74553,2.54036,0.75641,0.07901,0.71011,0.70807,2.51826,6.04652,0.52941,0.08651,0.0645,-6.16459,-9.36356
"24","2022_Q1",25.3264516129032,"Down",10019000,-7836000,2183000,-2362000,-2362000,-179000,-8000.00000000001,-39000,31000,-187000,24000,-163000,187000,24000,24000,24000,24000,13492000,13492000,10013000,10013000,2845000,1401000,551000,439000,27751000,21926000,3648000,3648000,25574000,53325000,5797000,2071000,1693000,468000,7644000,5190000,13909000,3724000,3942000,1955000,122000,7666000,21575000,6988000,-102000,24864000,31750000,31750000,53325000,24000,695000,-244000,1089000,1564000,-4134000,-2890000,-177000,-177000,-1503000,-1503000,-1503000,516000,4192000,-2716000,0.21789,-0.01787,0.00240000000000001,0.000759999999999997,0.00045000000000002,-113.16667,1.99518,0.67953,0.07861,0.00466999999999984,0.00470999999999999,1.9515,6.18426,-0.52902,0.000599999999999976,-0.0681,-18.02326,51.95531
"25","2022_Q2",16.0474193548387,"Down",10435000,-8787000,1648000,-1821000,-1821000,-173000,-25000,-45000,20000,-198000,39000,-159000,40000,-119000,-119000,-119000,-119000,14818000,14818000,12047000,12047000,3325000,1317000,443000,463000,31507000,21632000,3431000,3431000,25063000,56570000,6714000,3525000,1199000,607000,7248000,4865000,14569000,6261000,3983000,1960000,98000,10244000,24813000,7114000,-102000,24745000,31757000,31757000,56570000,-119000,703000,122000,-1899000,-1193000,-157000,-157000,2676000,2676000,1326000,1326000,1326000,530000,6868000,-1566000,0.15793,-0.01658,-0.0114,-0.00375,-0.0021,13.15966,2.16261,0.78134,0.12141,-0.02288,-0.0228,2.00596,6.10477,-0.30104,-0.00279,-0.03675,-15,45.95376
"26","2022_Q3",19.2571875,"Up",13253000,-10023000,3230000,-2135000,-2135000,1095000,96000,-67000,163000,1191000,26000.0000000001,1217000,-307000,910000,910000,910000,910000,12425000,12425000,12668000,12668000,3531000,1266000,472000,560000,29890000,22906000,2216000,2216000,25122000,55012000,5645000,3732000,1791000,613000,5227000,3561000,11485000,6105000,4629000,1956000,75000,10734000,22219000,7240000,-102000,25655000,32793000,32793000,55012000,910000,697000,111000,-3210000,-1492000,-1740000,-752000,-149000,-148999.999999999,-2393000,-2393000,-2393000,1792000,6718000,-2851000,0.24372,0.08262,0.06866,0.02775,0.01654,-3.13297,2.60253,0.67755,0.12212,0.174,0.17281,2.53403,6.27017,-0.54512,0.02062,-0.06459,-3.18471,-5.21187
