"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2015_Q4",10.661875,"Down",23610000,-10948000,12662000,-18362000,-13924000,-7657000,-6267000,-4438000,-5700000,-6000,0,-6000,-5706000,-5706000,-80000,-5786000,-5786000,-5786000,-5786000,93811000,93811000,20853000,20853000,3341000,2716000,625000,118005000,7657000,3677000,378000,1509000,1790000,11334000,129339000,16067000,3405000,12662000,26344000,26344000,42411000,2900000,993000,2900000,45311000,182071000,-97680000,-363000,84028000,84028000,129339000,-5786000,1113000,2788000,3302000,1417000,-726000,-1359000,598000,598000,598000,656000,656000,-4000,652000,-4587000,0,-1931000,0.5363,-0.24142,-0.24507,-0.06886,-0.04474,0.33374,2.78241,0.53924,0,-0.21986,-0.21986,0.89714,3.19292,-0.07337,-0.06656,-0.02221,20.45149,16.45807
"12","2016_Q1",10.4459016393443,"Down",25381000,-11535000,13846000,-18761000,-14033000,-8046000,-5987000,-4728000,-4915000,81000,0,81000,-4834000,-4834000,-121000,-4955000,-4955000,-4955000,-4955000,91019000,91019000,16106000,16106000,3836000,3229000,607000,110961000,7553000,3456000,317000,1509000,1630000,11009000,121970000,14108000,1597000,12511000,22039000,22039000,36147000,2761000,819000,2761000,38908000,186163000,-102635000,-466000,83062000,83062000,121970000,-4955000,1080000,2983000,-2037000,-2929000,-327000,-975000,1150000,1150000,1150000,-2754000,-2754000,-38000,-2792000,-3835000,-1.81898940354586e-12,-6078000,0.54553,-0.19365,-0.19522,-0.05965,-0.04062,1.22664,3.06972,0.46842,0,-0.18664,-0.18664,0.95601,3.12863,-0.22894,-0.05774,-0.07082,23.73377,18.51862
"13","2016_Q2",11.7359375,"Up",24487000,-12429000,12058000,-19711000,-14427000,-7707000,-6720000,-5284000,-7653000,-58000,-1000,-57000,-7711000,-7711000,-90000,-7801000,-7801000,-7801000,-7801000,70353000,70353000,22202000,22202000,4120000,3336000,784000,96675000,7452000,15338000,6832000,6939000,1567000,22790000,119465000,13149000,1547000,11602000,25370000,25370000,38519000,3023000,702000,3023000,41542000,188848000,-110434000,-491000,77923000,77923000,119465000,-7799000,1319000,2596000,-3406000,-7290000,-357000,-13504000,135000,135000,135000,-20659000,-20659000,-7000,-20666000,-6334000,0,-10007000,0.49242,-0.31253,-0.31858,-0.10011,-0.0653,1.28278,2.5098,0.53312,-5.42101086242752e-20,-0.29079,-0.29079,0.91277,2.90465,-0.37302,-0.09637,-0.12363,11.1072,9.19287
"14","2016_Q3",11.7225,"Down",26059000,-13839000,12220000,-21126000,-14951000,-8307000,-6644000,-6175000,-8906000,27000,15000,12000,-8879000,-8879000,-29000,-8908000,-8908000,-8908000,-8908000,69995000,69995000,22454000,22454000,4598000,3417000,1181000,97047000,7042000,14808000,6449000,6939000,1420000,21850000,118897000,12874000,1507000,11367000,30333000,30333000,43207000,2659000,629000,2659000,45866000,192866000,-119344000,-491000,73031000,73031000,118897000,-8910000,1537000,2570000,3871000,-931999.999999999,-746000,-829000,1410000,1410000,1410000,-350999.999999993,-350999.999999993,-7000,-358000.000000004,-7369000,2.91038304567337e-11,-4215000,0.46894,-0.34176,-0.34184,-0.12198,-0.07492,0.47317,2.24609,0.62803,0,-0.32708,-0.32708,0.95682,2.68151,-0.15476,-0.11769,-0.05569,9.49858,7.85931
"15","2016_Q4",9.3031746031746,"Down",27917000,-13851000,14066000,-22581000,-16391000,-7982000,-8409000,-6190000,-8515000,36000,14000,22000,-8479000,-8479000,-167000,-8646000,-8646000,-8646000,-8646000,70125000,70125000,19782000,19782000,6141000,4345000,1796000,96048000,6638000,14415000,6067000,6939000,1409000,21053000,117101000,16014000,2333000,13681000,30592000,30592000,46606000,2088000,644000,2088000,48694000,196984000,-127990000,-587000,68407000,68407000,117101000,-8646000,1546000,3686000,3866000,452000,-526000,-791000,490000,490000,490000,151000,151000,-21000,130000,-6969000,0,-3462000,0.50385,-0.30501,-0.3097,-0.12639,-0.07383,0.40042,2.06085,0.71183,-8.67361737988404e-19,-0.31359,-0.31359,1.01255,2.48112,-0.12557,-0.12265,-0.04911,10.06242,8.23547
"16","2017_Q1",9.74838709677419,"Up",28508000,-13574000,14934000,-22600000,-16543000,-8265000,-8278000,-6057000,-7666000,-41000,22000,-63000,-7707000,-7707000,-48999.9999999999,-7756000,-7756000,-7756000,-7756000,66149000,66149000,19925000,19925000,6758000,4845000,1913000,92832000,6141000,13994000,5684000,6939000,1371000,20135000,112967000,15390000,3334000,12056000,28854000,28854000,44244000,2521000,597000,2521000,46765000,202510000,-135746000,-562000,66202000,66202000,112967000,-7756000,1527000,4294000,-2619000,-4554000,-473000,-665000,1244000,1244000,1244000,-3975000,-3975000,-1000,-3976000,-6139000,0,-9182000,0.52385,-0.26891,-0.27206,-0.11716,-0.06866,1.18386,2.09818,0.7064,0,-0.27816,-0.27816,1.02242,2.37428,-0.3293,-0.11286,-0.13361,10.77521,8.62888
"17","2017_Q2",11.9587301587302,"Up",28063000,-13822000,14241000,-21894000,-15919000,-8734000,-7185000,-5975000,-7653000,187000,33000,154000,-7466000,-7466000,-134000,-7600000,-7600000,-7600000,-7600000,52446000,52446000,19263000,19263000,5670000,4093000,1577000,77379000,5748000,17974000,5320000,6939000,5715000,23722000,101101000,13520000,3793000,9727000,25591000,25591000,39111000,1589000,663000,1589000,40700000,204423000,-143346000,-676000,60401000,60401000,101101000,-7600000,1094000,1944000,-3667000,-8229000,-194000,-5469000,17000,17000,17000,-13681000,-13681000,-22000,-13703000,-6559000,0,-10286000,0.50747,-0.27271,-0.27082,-0.12583,-0.07517,1.35342,1.97845,0.67383,-1.38777878078145e-17,-0.27135,-0.27135,1.00196,2.15656,-0.36725,-0.1226,-0.16593,7.99604,6.853
"18","2017_Q3",13.3666666666667,"Up",33257000,-16039000,17218000,-32210000,-23276000,-11608000,-11668000,-8934000,-14992000,-1608000,-1380000,-228000,-16600000,-16600000,4110000,-12490000,-12490000,-12490000,-12490000,53682000,53682000,27016000,27016000,5502000,4106000,1396000,86200000,6399000,83023000,42991000,39283000,749000,89422000,175622000,18504000,3848000,14656000,46566000,46566000,65070000,1629000,830000,58396000,123466000,208507000,-155836000,-515000,52156000,52156000,175622000,-12490000,2399000,-1090000,5799000,-5382000,-28000,-42811000,1531000,1531000,49411000,1218000,1218000,18000,1236000,-12593000,56767000,-10932000,0.51773,-0.45079,-0.37556,-0.23947,-0.07112,0.87526,1.32473,2.36724,0.32323,-0.43905,-0.43905,1.16905,1.83338,-0.38428,-0.11298,-0.09889,-0.24498,-0.20578
"19","2017_Q4",15.0579365079365,"Up",34244000,-15772000,18472000,-27228000,-18835000,-10739000,-8096000,-8393000,-8756000,-1445000,-1442000,-3000,-10201000,-10201000,-234000,-10435000,-10435000,-10435000,-10435000,51831000,51831000,33715000,33715000,4436000,3223000,1213000,89982000,5531000,81713000,41573000,39283000,857000,87244000,177226000,21493000,3729000,17764000,51966000,51966000,73459000,1575000,1025000,58600000,132059000,211903000,-166271000,-465000,45167000,45167000,177226000,-10435000,2373000,2803000,2606000,-2653000,-68000,-118000,909000,909000,909000,-1862000,-1862000,11000,-1851000,-6383000,57025000,-3611000,0.53942,-0.25569,-0.30472,-0.23103,-0.05888,0.34605,1.22493,2.92379,0.32176,-0.36062,-0.36062,1.18344,1.56093,-0.12479,-0.10056,-0.0348,-0.81372,-0.59319
"20","2018_Q1",16.6672131147541,"Up",35605000,-15463000,20142000,-27352000,-19590000,-10258000,-9332000,-7762000,-7210000,-1355000,-1370000,15000,-8565000,-8565000,-457000,-9022000,-9022000,-9022000,-9022000,57558000,57558000,24784000,24784000,4746000,3733000,1013000,87088000,4611000,80237000,40156000,39283000,798000,84848000,171936000,22977000,3002000,19975000,49186000,49186000,76916000,1307000,1307000,53759000,130675000,217056000,-175293000,-502000,41261000,41261000,171936000,-9022000,2319000,3850000,7152000,4299000,-69000,-102999.999999993,1529000,1529000,1529000.00000001,5725000,5725000,2000,5727000,-4891000,57205000,2649000,0.56571,-0.2025,-0.25339,-0.21866,-0.05247,-0.29362,1.13225,3.16703,0.33271,-0.30893,-0.30893,1.21918,1.41285,0.09071,-0.09043,0.02655,0.07217,0.04896
"21","2018_Q2",17.61953125,"Up",39067000,-16809000,22258000,-26291000,-17223000,-8492000,-8731000,-9068000,-4033000,-1548000,-1423000,-125000,-5581000,-5581000,324000,-5257000,-5257000,-5257000,-5257000,48324000,48324000,38679000,38679000,4002000,2800000,1202000,91005000,3823000,79125000,38738000,39283000,1104000,82948000,173953000,17411000,4240000,13171000,57135000,57135000,79377000,1266000,1266000,53876000,133253000,221643000,-180550000,-393000,40700000,40700000,173953000,-5257000,2265000,3781000,-10530000,-9741000,-60000,-60000,552000,552000,552000,-9249000,-9249000,15000,-9234000,-1768000,57441000,-12682000,0.56974,-0.10323,-0.13456,-0.12916,-0.03022,2.4124,1.14649,3.27403,0.33021,-0.1788,-0.1788,1.32876,1.38431,-0.43135,-0.05288,-0.12758,-5.15667,-2.2606
"22","2018_Q3",17.5015873015873,"Down",39234000,-17253000,21981000,-24386000,-16339000,-9015000,-7324000,-8047000,-2405000,-1362000,-1449000,87000,-3767000,-3767000,-129000,-3896000,-3896000,-3896000,-3896000,55229000,55229000,31490000,31490000,4813000,4242000,571000,91532000,3043000,77697000,37358000,39283000,1056000,80740000,172272000,15012000,2319000,12693000,56025000,56025000,76262000,1369000,1369000,53827000,130089000,227112000,-184446000,-483000,42183000,42183000,172272000,-3896000,2162000,3385000,3064000,4715000,-31000,-30999.9999999995,2221000,2221000,2221000,6905000,6905000,0,6905000,-243000,57683000,2919000,0.56025,-0.0613,-0.0993,-0.09236,-0.02262,-0.749229999999999,1.20023,3.08392,0.33484,-0.12997,-0.12997,1.3088,1.40718,0.0973700000000001,-0.03848,0.02883,-10.09877,-1.02037
"23","2018_Q4",14.4312698412698,"Down",39617000,-16445000,23172000,-34128000,-26382000,-9338000,-17044000,-7746000,-10956000,-4134000,-4478000,344000,-15090000,-15090000,-345000,-15435000,-15435000,-15435000,-15435000,57645000,57645000,31707000,31707000,3712000,3307000,405000,93064000,2496000,76256000,35977000,39283000,996000,78752000,171816000,17800000,1383000,16417000,54902000,54902000,78697000,1651000,1651000,54497000,133194000,239377000,-199881000,-874000,38622000,38622000,171816000,-15435000,1983000,15363000,2473000,4384000,-74000,-74000,235000,235000,-1822000,2488000,2488000,-72000,2416000,-8973000,58841000,-6229000,0.5849,-0.27655,-0.38961,-0.39964,-0.08983,0.40356,1.18256,3.44866,0.34247,-0.50198,-0.50198,1.28844,1.25608,-0.20258,-0.15573,-0.06285,-0.133290000000001,-0.10916
"24","2019_Q1",15.9880327868852,"Up",36714000,-14827000,21887000,-25271000,-17716000,-8637000,-9079000,-7555000,-3384000,-412000,-828000,416000,-3796000,-3796000,177000,-3619000,-3619000,-3619000,-3619000,56704000,56704000,28273000,28273000,4086000,3631000,455000,89063000,2146000,74944000,34597000,39283000,1064000,77090000,166153000,19057000,1664000,17393000,52176000,52176000,72608000,1182000,1182000,53511000,126119000,244819000,-203500000,-1285000,40034000,40034000,166153000,-3619000,1889000,4482000,413000,3165000,-87000,-87000,1431000,1431000,-3954000,-876000.000000001,-876000.000000001,-65000,-941000,-1495000,53704000,-1346000,0.59615,-0.09217,-0.09857,-0.0904,-0.02178,0.37193,1.22663,3.1503,0.32322,-0.11542,-0.11542,1.17095,1.27684,-0.04293,-0.03813,-0.01418,2.00669,0.88652
"25","2019_Q2",18.4042857142857,"Up",35077000,-16567000,18510000,-21620000,-14208000,-8052000,-6156000,-7412000,-3110000,-1018000,-733000,-285000,-4128000,-4128000,-598000,-4726000,-4726000,-4726000,-4726000,52178000,52178000,27556000,27556000,4751000,2494000,2257000,84485000,1709000,76091000,33226000,39283000,3582000,77800000,162285000,15447000,3387000,12060000,42335000,42335000,59532000,821000,821000,52636000,112168000,249058000,-197842000,-1099000,50117000,50117000,162285000,-4726000,1842000,4665000,-6042000,-4261000,-141000,-141000,36000,36000,-214000,-4616000,-4616000,90000,-4526000,-1268000,53565000,-6853000,0.5277,-0.08866,-0.13473,-0.0943,-0.02912,1.45006,1.41915,2.23812,0.33007,-0.15009,-0.15009,1.11398,1.59162,-0.21764,-0.04522,-0.06558,-1.09385,-0.44598
"26","2019_Q3",24.83484375,"Up",34843000,-16746000,18097000,-22846000,-15431000,-8598000,-6833000,-7415000,-4749000,-1018000,-891000,-127000,-5767000,-5767000,-141000,-5908000,-5908000,-5908000,-5908000,54090000,54090000,19450000,19450000,4063000,1632000,2431000,77603000,1413000,74921000,31861000,39283000,3777000,76334000,153937000,16877000,2414000,14463000,35989000,35989000,57613000,885000,885000,45132000,102745000,255936000,-203750000,-994000,51192000,51192000,153937000,-5908000,1691000,5402000,3541000,4726000,-26000,-26000,1982000,1982000,-2768000,1932000,1932000,-20000,1912000,-3058000,48994000,597999.999999999,0.51939,-0.1363,-0.16956,-0.11541,-0.03838,-0.10122,1.34697,2.00705,0.31827,-0.18466,-0.18466,1.08905,1.60005,0.01869,-0.05845,0.00592,1.66645,1.07307
"27","2019_Q4",30.4334375,"Up",34712000,-15864000,18848000,-20937000,-13877000,-7164000,-6713000,-7060000,-2089000,-685000,-689000,4000,-2774000,-2774000,-230000,-3004000,-3004000,-3004000,-3004000,58529000,58529000,25505000,25505000,5e+06,2174000,2826000,89034000,1232000,74197000,30496000,39283000,4418000,75429000,164463000,20615000,2688000,17927000,41557000,41557000,6.7e+07,1070000,1070000,45347000,112347000,259839000,-206754000,-969000,52116000,52116000,164463000,-3004000,1658000,4116000,1566000,4336000,-60000,-60000,180000,180000,180000,4456000,4456000,-17000,4439000,-431000,49105000,1305000,0.54298,-0.06018,-0.08654,-0.05764,-0.01827,-0.43442,1.32887,2.15571,0.29858,-0.09214,-0.09214,1.06472,1.59855,0.04003,-0.02937,0.01276,21.86543,4.51125
"28","2020_Q1",29.2122580645161,"Down",36603000,-16953000,19650000,-24713000,-16591000,-9080000,-7511000,-8122000,-5063000,-531000,-620000,89000,-5594000,-5594000,-60999.9999999999,-5655000,-5655000,-5655000,-5655000,60780000,60780000,26953000,26953000,6815000,2776000,4039000,94548000,1043000,74002000,29131000,39283000,5588000,75045000,169593000,26562000,2302000,24260000,44875000,44875000,76348000,1152000,1152000,40523000,116871000,266300000,-212409000,-1169000,52722000,52722000,169593000,-5655000,1599000,9572000,133000,5649000,-53000,-53000,1672000,1672000,-3328000,2268000,2268000,-17000,2251000,-3464000,44282000,-3323000,0.53684,-0.13832,-0.1545,-0.10726,-0.03334,0.58762,1.23838,2.21674,0.26111,-0.17218,-0.17218,1.11445,1.60522,-0.10118,-0.05761,-0.03385,4.7627,3.25854
"29","2020_Q2",29.1336507936508,"Down",38388000,-16352000,22036000,-24494000,-15978000,-9013000,-6965000,-8516000,-2458000,-551000,-563000,12000,-3009000,-3009000,11000,-2998000,-2998000,-2998000,-2998000,55789000,55789000,31111000,31111000,7658000,1840000,5818000,94558000,856000,78438000,27894000,39283000,11261000,79294000,173852000,16557000,2439000,14118000,49021000,45937000,70684000,4544000,4544000,43830000,114514000,275871000,-215407000,-1126000,59338000,59338000,173852000,-2998000,1452000,6366000,-9811000,-4991000,-29000,-29000,18000,18000,18000,-5002000,-5002000,11000,-4991000,-1006000,44392000,-10857000,0.57403,-0.06403,-0.0781,-0.05052,-0.01724,3.62141,1.33776,1.92986,0.25534,-0.09045,-0.09045,1.15818,1.79025,-0.32756,-0.02769,-0.10027,11.32903,4.6367
"30","2020_Q3",37.77984375,"Up",39952000,-16483000,23469000,-27600000,-18498000,-10953000,-7545000,-9102000,-4131000,-159000,-402000,243000,-4290000,-4290000,-339000,-4629000,-4629000,-4629000,-4629000,61283000,61283000,26448000,26448000,8245000,1347000,6898000,95976000,726000,77107000,26723000,39283000,11101000,77833000,173809000,18881000,3172000,15709000,48172000,45579000,67997000,5111000,5111000,43590000,111587000,284104000,-220036000,-1846000,62222000,62222000,173809000,-4629000,1361000,6863000,4831000,8426000,-69000,-69000.0000000002,2224000,2224000,-2776000.00000001,5581000,5581000,-87000,5494000.00000001,-2770000,39423000,2331000,0.58743,-0.1034,-0.11586,-0.07439,-0.02663,-0.503559999999999,1.41147,1.79337,0.22682,-0.13699,-0.13699,1.18233,1.84138,0.06898,-0.04336,0.02183,7.8917,5.2917
