"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2015_Q2",53.3896825396825,"Up",192300000,-53400000,138900000,-162700000,-125400000,-37300000,-23800000,-5100000,-5500000,4e+05,-28900000,-28900000,-1200000,-30100000,-30100000,-30100000,-30100000,771499000,543747000,227752000,116224000,116224000,45844000,45844000,933567000,49823000,289011000,267955000,65471000,606789000,1540356000,74284000,10497000,63787000,286682000,286682000,360966000,214323000,184038000,30285000,686179000,1047145000,859018000,-365794000,-13000,493211000,493211000,1540356000,-30100000,6100000,44300000,54600000,74900000,-5900000,-195200000,-201100000,15800000,15800000,222758.42568541,3e+05,16100000,-110100000,-110100000,-110100000,-17700000,471856000,32200000,0.72231,-0.12376,-0.15653,-0.06103,-0.01954,-1.06977,2.5863,2.12312,0.30633,-0.12636,-0.12636,0.8073,2.07058,0.13518,-0.02552,0.0273,16.92898,12.59004
"12","2015_Q3",59.00640625,"Up",217700000,-59400000,158300000,-196800000,-149800000,-4.7e+07,-38500000,-5200000,-5500000,3e+05,-43700000,-43700000,7e+05,-4.3e+07,-4.3e+07,-4.3e+07,-4.3e+07,675057000,342983000,332074000,135251000,135251000,51196000,51196000,861504000,52639000,463908000,294733000,93475000,811280000,1672784000,90595000,14001000,76594000,324479000,324479000,415074000,264777000,211364000,53413000,741649000,1156723000,924642000,-408802000,221000,516061000,516061000,1672784000,-4.3e+07,6800000,62200000,50900000,76900000,-6200000,-280100000,-286300000,7700000,7700000,227525.624603183,1e+06,8700000,-200700000,-200700000,-200700000,-31700000,476872000,12300000,0.72715,-0.17685,-0.19752,-0.08332,-0.02571,-0.28605,2.07554,2.24145,0.28508,-0.17739,-0.17739,0.8981,2.12896,0.0507400000000001,-0.03419,0.00978,6.25189,5.14766
"13","2015_Q4",57.70625,"Down",234200000,-64400000,169800000,-206500000,-158100000,-48400000,-36700000,-5700000,-5700000,0,-42400000,-42400000,-3500000,-45900000,-45900000,-45900000,-45900000,822973000,454123000,368850000,150523000,150523000,67013000,67013000,1040509000,59546000,408465000,275912000,76625000,743923000,1784432000,96663000,14661000,82002000,365384000,365384000,944007000,386147000,238506000,147641000,386147000,1330154000,908875000,-454737000,140000,454278000,454278000,1784432000,-45900000,7400000,67400000,58300000,87200000,-9800000,16600000,6800000,17900000,17900000,151530.011219365,-8e+05,17100000,111100000,111100000,111100000,-29300000,481960000,22700000,0.72502,-0.1567,-0.19599,-0.10104,-0.02572,-0.49455,1.10223,2.92806,0.27009,-0.18591,-0.18591,0.94856,1.83993,0.09194,-0.03471,0.01717,11.63867,9.29190999999999
"14","2016_Q1",49.1703278688525,"Down",283900000,-74300000,209600000,-210400000,-157300000,-53100000,-8e+05,-6100000,-5600000,-5e+05,-6900000,-6899999.99999999,-5400000,-12300000,-12300000,-12300000,-12300000,7.89e+08,375800000,413200000,212400000,212400000,72600000,72600000,1.074e+09,62900000,538800000,289500000,73300000,891200000,1965200000,121200000,13200000,1.08e+08,423900000,423900000,1032200000,445100000,289800000,155300000,445100000,1477300000,988700000,-500700000,-1e+05,487900000,487900000,1965200000,-12300000,8600000,72900000,44600000,113800000,-11900000,-171400000,-198400000,6800000,6800000,0,-5e+05,6300000,-78300000,-78300000,-78300000,7800000,487100000,45900000,0.73829,-0.00281999999999999,-0.04333,-0.02521,-0.00626,-3.73171,1.0405,3.02787,0.24786,-0.04887,-0.04887,1.12793,1.93842,0.18236,-0.00866,0.03232,-38.70513,377.375
"15","2016_Q2",46.319375,"Down",297200000,-79200000,2.18e+08,-2.5e+08,-190300000,-59700000,-3.2e+07,-3600000,-5800000,2200000,-35600000,-35600000,-4300000,-39900000,-39900000,-39900000,-39900000,761300000,275800000,485500000,196400000,196400000,82200000,82200000,1039900000,76700000,694500000,283300000,68800000,1054500000,2094400000,108600000,17500000,91100000,477300000,477300000,1078200000,472400000,327200000,145200000,472400000,1550600000,1083600000,-539400000,-4e+05,543800000,543800000,2094400000,-39900000,9200000,79200000,98200000,146700000,-19500000,-2.44e+08,-263500000,16600000,16600000,0,2e+05,16800000,-1e+08,-1e+08,-1e+08,-22800000,492300000,60200000,0.73351,-0.10767,-0.13425,-0.07337,-0.01905,-1.50877,0.96448,2.85142,0.23506,-0.15629,-0.15629,1.16412,2.13004,0.2358,-0.02645,0.03991,11.79825,8.40625
"16","2016_Q3",45.5740625,"Down",334700000,-94200000,240500000,-290600000,-216600000,-7.4e+07,-50100000,-3300000,-5800000,2500000,-53400000,-53400000,-3900000,-57300000,-57300000,-57300000,-57300000,964600000,413200000,551400000,254400000,254400000,88100000,88100000,1307100000,92600000,631100000,285800000,73600000,1009500000,2316600000,147700000,32500000,115200000,541200000,541200000,1186400000,537400000,387600000,149800000,537400000,1723800000,1195400000,-601900000,-7e+05,592800000,592800000,2316600000,-57300000,10300000,108700000,92600000,154300000,-17400000,-3800000,-21200000,4500000,4500000,-5.82076609134674e-11,-2e+05,4300000,137400000,137400000,137400000,-39800000,497500000,39300000,0.71855,-0.14969,-0.1712,-0.09666,-0.02473,-0.68586,1.10174,2.90789,0.21475,-0.22055,-0.22055,1.2883,2.28176,0.15127,-0.0352,0.02414,11.73618,9.32335
"17","2016_Q4",47.9203174603175,"Up",345800000,-94900000,250900000,-303400000,-229400000,-7.4e+07,-52500000,-4800000,-5800000,1e+06,-57300000,-57300000,-6800000,-64100000,-64100000,-64100000,-64100000,1087500000,5.5e+08,537500000,267600000,267600000,91100000,91100000,1446200000,100500000,682900000,277400000,67500000,1060800000,2.507e+09,125800000,24300000,101500000,610400000,610400000,1.239e+09,6.09e+08,458800000,150200000,6.09e+08,1.848e+09,1330500000,-672100000,6e+05,6.59e+08,6.59e+08,2.507e+09,-64100000,11200000,115100000,108100000,170300000,-19300000,-35300000,-54600000,21100000,21100000,0,0,21100000,136800000,136800000,136800000,-41300000,502800000,54300000,0.72556,-0.15182,-0.18537,-0.09727,-0.02557,-0.84711,1.16723,2.80425,0.20056,-0.24336,-0.24336,1.31283,2.5019,0.20615,-0.0362,0.03066,14.15738,11.13714
"18","2017_Q1",44.7117741935484,"Down",400800000,-101700000,299100000,-321800000,-245300000,-76500000,-22700000,-3300000,-6e+06,2700000,-2.6e+07,-2.6e+07,-5400000,-31400000,-31400000,-31400000,-31400000,1285600000,734400000,551200000,348700000,348700000,139700000,139700000,1.774e+09,117200000,652800000,314200000,106700000,1084200000,2858200000,142900000,30200000,112700000,703900000,703900000,846800000,616300000,536900000,79400000,1116500000,1963300000,1515500000,-621600000,1e+06,894900000,894900000,2858200000,-31400000,12100000,116200000,90400000,187300000,-16300000,16700000,4e+05,3100000,3099999.99999999,0,-6400000,-3300000,184400000,184400000,184400000,-10600000,500200000,68900000,0.74626,-0.05664,-0.07834,-0.03509,-0.01099,-2.19427,2.09495,2.19388,0.17501,-0.11774,-0.11774,1.50281,3.35546,0.25834,-0.01561,0.03425,74.09434,34.59912
"19","2017_Q2",40.4026984126984,"Down",398100000,-101200000,296900000,-345900000,-261700000,-84200000,-4.9e+07,-3500000,-6e+06,2500000,-52500000,-52500000,-4400000,-56900000,-56900000,-56900000,-56900000,1.39e+09,839400000,550600000,346500000,346500000,129400000,129400000,1865900000,1.25e+08,708400000,307200000,1.02e+08,1140600000,3006500000,136600000,29200000,107400000,758100000,758100000,1400900000,748700000,601500000,147200000,748700000,2149600000,1542200000,-683400000,-1900000,856900000,856900000,3006500000,-56900000,13600000,1.2e+08,126800000,203500000,-20900000,-50300000,-71200000,-27300000,22700000,-5e+07,0,-27300000,1.05e+08,1.05e+08,1.05e+08,-35400000,506200000,74900000,0.74579,-0.12308,-0.14293,-0.0664,-0.01893,-1.31634,1.33193,2.50858,0.16837,-0.21121,-0.21121,1.47773,3.18077,0.27803,-0.02694,0.03547,24.9661,18.03673
"20","2017_Q3",45.5477777777778,"Up",422600000,-113200000,309400000,-363800000,-273900000,-89900000,-54400000,-3400000,-6100000,2700000,-57800000,-57800000,-2800000,-60600000,-60600000,-60600000,-60600000,1354400000,761400000,5.93e+08,386100000,386100000,139900000,139900000,1880400000,154100000,790500000,349600000,146600000,1294200000,3174600000,165600000,2.8e+07,137600000,8.28e+08,8.28e+08,993600000,798100000,670600000,127500000,1310400000,2.304e+09,1613300000,-737600000,-5100000,870600000,870600000,3174600000,-60600000,14400000,134100000,126400000,214300000,-44700000,-128400000,-173100000,-119200000,9e+05,-120100000,9.31322574615479e-10,-119200000,-7.8e+07,-7.8e+07,-7.8e+07,-4e+07,512300000,44500000,0.73213,-0.12873,-0.1434,-0.06961,-0.01909,-0.73432,1.89251,2.64645,0.16137,-0.22271,-0.22271,1.55311,3.19956,0.16354,-0.02779,0.0204,21.0525,15.47978
"21","2017_Q4",48.6547619047619,"Up",431800000,-123700000,308100000,-357200000,-271200000,-8.6e+07,-49100000,-4100000,-6200000,2100000,-53200000,-53200000,-7700000,-60900000,-60900000,-60900000,-60900000,1.372e+09,6.92e+08,6.8e+08,364100000,364100000,159100000,159100000,1895200000,192300000,719100000,443500000,148200000,1354900000,3250100000,169700000,33200000,136500000,8.85e+08,8.85e+08,1054700000,863900000,726800000,137100000,1382300000,2.437e+09,1615800000,-798500000,-4200000,813100000,813100000,3250100000,-60900000,15100000,123100000,133900000,211200000,-48600000,-27500000,-166800000,-102800000,22200000,-1.25e+08,-1.1e+07,-113800000,-69400000,-69400000,-69400000,-3.4e+07,518400000,5.9e+07,0.71352,-0.11371,-0.14104,-0.0749,-0.01874,-0.9688,1.79691,2.99717,0.1595,-0.22308,-0.22308,1.58168,2.97839,0.21612,-0.02774,0.02687,25.10588,17.38493
"22","2018_Q1",55.5665573770492,"Up",509100000,-138500000,370600000,-397900000,-310600000,-87300000,-27300000,-3300000,-6200000,2900000,-30600000,-30600000,-7600000,-38200000,-38200000,-38200000,-38200000,1.375e+09,744300000,630700000,432100000,432100000,169200000,169200000,1976300000,211100000,789300000,461600000,169100000,1.462e+09,3438300000,232900000,35500000,197400000,968400000,968400000,1201300000,952700000,805100000,147600000,1477400000,2678700000,1599700000,-836700000,-3400000,759600000,759600000,3438300000,-38200000,16700000,145400000,115600000,239500000,-49200000,-12300000,-61500000,-115300000,599999.999999993,-115900000,-10400000,-125700000,52300000,52300000,52300000,-10600000,524700000,63400000,0.72795,-0.05362,-0.07503,-0.05029,-0.01111,-1.65969,1.64513,3.52646,0.1526,-0.14008,-0.14008,1.86689,2.78548,0.23249,-0.01708,0.02834,80.21698,31.14652
"23","2018_Q2",66.6778125,"Up",501800000,-141300000,360500000,-4.14e+08,-319800000,-94200000,-53500000,-1500000,-6300000,4800000,-5.5e+07,-5.5e+07,-8200000,-63200000,-63200000,-63200000,-63200000,1503200000,842600000,660600000,350800000,350800000,185500000,185500000,2039500000,256900000,777400000,412700000,122900000,1.447e+09,3486500000,194100000,38800000,155300000,1017900000,1017900000,1.743e+09,1.078e+09,846600000,231400000,1.078e+09,2.821e+09,1573200000,-900700000,-7e+06,665500000,665500000,3486500000,-63200000,21300000,1.76e+08,139900000,2.74e+08,-32200000,-20200000,-52400000,-1.12e+08,22100000,-134100000,-11400000,-123400000,98200000,98200000,98200000,-32200000,5.31e+08,83700000,0.71841,-0.10662,-0.12595,-0.09497,-0.01813,-1.32437,1.17011,4.23892,0.1523,-0.23176,-0.23176,1.84012,2.44041,0.30693,-0.02779,0.0368,30.19255,18.17196
"24","2018_Q3",72.8085714285714,"Up",546100000,-159400000,386700000,-419300000,-322700000,-96600000,-32600000,-1500000,-6400000,4900000,-34100000,-34100000,-1600000,-35700000,-35700000,-35700000,-35700000,1635700000,9.15e+08,720700000,365100000,365100000,209400000,209400000,2210200000,264700000,722300000,430300000,143200000,1417300000,3627500000,230200000,33400000,196800000,1088800000,1088800000,1856400000,1.138e+09,907900000,230100000,1.138e+09,2994400000,1575900000,-935600000,-7200000,633100000,633100000,3627500000,-35700000,22100000,110500000,146900000,243800000,-25600000,-10500000,-36100000,-123700000,1299999.99999999,-1.25e+08,-11500000,-135200000,72500000,72500000,72500000,-10500000,537400000,112400000,0.70811,-0.0597,-0.06537,-0.05639,-0.00984,-3.14846,1.19058,4.72974,0.14815,-0.13063,-0.13063,1.99817,2.3165,0.41127,-0.01546,0.04869,104.6,33.69018
"25","2018_Q4",62.3507936507936,"Down",567100000,-159900000,407200000,-458800000,-359200000,-99600000,-51600000,2100000,-6500000,8600000,-49500000,-49500000,2800000,-46700000,-46700000,-46700000,-46700000,1621200000,9.49e+08,672200000,361800000,361800000,222500000,222500000,2205500000,264200000,592900000,845700000,175800000,1702800000,3908300000,233800000,32700000,201100000,1165500000,1165500000,1943100000,1243100000,989400000,253700000,1243100000,3186200000,1717600000,-982300000,-13200000,722100000,722100000,3908300000,-46700000,24600000,147500000,115900000,241300000,-28800000,173800000,-225100000,29200000,29200000,0,-11400000,17800000,3.4e+07,3.4e+07,3.4e+07,-2.7e+07,543800000,57300000,0.71804,-0.09099,-0.08235,-0.06467,-0.01195,-1.22698,1.13504,4.41241,0.13914,-0.16939,-0.16939,2.05695,2.61915,0.20783,-0.01861,0.02284,39.9037,20.87984
"26","2019_Q1",74.1770491803279,"Up",658100000,-184700000,473400000,-464800000,-354500000,-110300000,8599999.99999999,-2e+05,-10400000,10200000,8399999.99999999,8400000,-10700000,-2300000,-2300000,-2300000,-2300000,3403400000,2506900000,896500000,4.67e+08,4.67e+08,268100000,268100000,4138500000,273100000,547500000,989800000,326200000,1810400000,5948900000,337700000,49400000,288300000,1213600000,1213600000,2101700000,1317200000,1065700000,251500000,2686900000,4788600000,1967400000,-790700000,-16400000,1160300000,1160300000,5948900000,-2300000,28400000,133100000,118700000,277900000,-25400000,-1.77e+08,-206400000,-1.49011611938477e-08,-7.45058059692383e-09,-1.49011611938477e-08,-9400000,1486400000,1557900000,1557900000,1557900000,3.7e+07,1920100000,1.41e+08,0.71934,0.01307,-0.00348999999999999,-0.00198,-0.00039,-61.30435,1.96912,4.12704,0.32277,-0.00825000000000001,-0.00825000000000004,2.36132,4.16326,0.50592,-0.00052,0.03206,-40.08919,-172.47674
"27","2019_Q2",74.8122222222222,"Up",6.56e+08,-183500000,472500000,-504600000,-391200000,-113400000,-32100000,-9700000,-22700000,1.3e+07,-41800000,-41800000,3500000,-38300000,-38300000,-38300000,-38300000,3203800000,1784400000,1419400000,382300000,382300000,229100000,229100000,3815200000,276500000,565500000,1144300000,321700000,1986300000,5801500000,3.06e+08,4.3e+07,2.63e+08,1269800000,1269800000,1815700000,1348300000,1114600000,233700000,2732800000,4548500000,2129300000,-857300000,-1.9e+07,1.253e+09,1.253e+09,5801500000,-38300000,32500000,144900000,113200000,252300000,-34300000,-5.24e+08,-713100000,30700000,30700000,0,-13900000,-261800000,-722600000,-722600000,-722600000,4e+05,1624400000,75800000,0.72027,-0.04893,-0.05838,-0.03057,-0.0066,-1.97911,2.10123,3.63009,0.28,-0.13611,-0.13611,2.3312,4.45274,0.26937,-0.00906,0.01794,-3948.5,49.2024900000001
"28","2019_Q3",70.7875,"Down",711200000,-202600000,508600000,-5.02e+08,-373700000,-128300000,6599999.99999999,-4600000,-20600000,1.6e+07,2000000.00000001,1999999.99999999,-4600000,-2600000,-2600000,-2600000,-2600000,2.83e+09,1127800000,1702200000,4.15e+08,4.15e+08,242500000,242500000,3487500000,273200000,808600000,1138200000,3.3e+08,2.22e+09,5707500000,342700000,27900000,314800000,1369200000,1369200000,1868200000,1.368e+09,1156500000,211500000,2767500000,4635700000,1941500000,-859900000,-9800000,1071800000,1071800000,5707500000,-2600000,38800000,181700000,57500000,275400000,-23500000,-500200000,-523800000,-327100000,2900000,-3.3e+08,-7100000,-407800000,-656200000,-656200000,-656200000,45400000,1555800000,8.4e+07,0.71513,0.00928,-0.00366000000000002,-0.00243,-0.00046,-32.30769,1.86677,4.32515,0.27259,-0.00922000000000003,-0.00922000000000003,2.52199,3.80071,0.29787,-0.00065,0.02102,-28.06608,-193.06061
