"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","total_otti_realized","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","equity_securities","other_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","property_plant_equipment_net","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","reserve_for_outstanding_claims_losses","premium_reserve_unearned","other_insurance_reserves","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",16.61109375,"Up",2.455e+09,1.764e+09,5.91e+08,1e+08,2.3e+07,2.3e+07,7.7e+07,-1.396e+09,-3.28e+08,-3.4e+08,3.91e+08,-4.2e+07,-4.2e+07,3.49e+08,3.49e+08,-1.08e+08,2.41e+08,2.5e+08,2.5e+08,2.5e+08,46848882863.5933,42129058932.6254,222481967.248178,4064132309.72082,128654870.047047,8259054906.2348,324771334.092977,621640901.922438,1789740588.67074,57972745464.5613,39723271787.4219,24736809948.453,3712959192.51077,11273502646.4582,2509444888.82813,3554483018.5146,45843955396.6093,2826042584.7348,-95097821.7397175,8883379944.36709,386466920.928878,12128978152.3112,12128790067.952,57972745464.5613,2.5e+08,2.5e+08,3.3e+07,-7.8e+07,-1.4e+07,1.91e+08,-2.1e+07,-2.1e+07,-1.46e+08,6e+06,-1.61e+08,-5.5e+07,-2e+06,-5.6e+07,-2.6e+07,-2.6e+07,-7e+06,-3.3e+07,4.24e+08,0,4.97e+08,0.15927,0.10183,0.00146078895912214,0.000246456042782245,1.988,3.77817190761461,0.0442711193457056,0.92764,0.92627,9.10946,44.9927569896722,1.84416,0.20408,0.00092716276305472,0.00409735419930782,0.22,54.3251959439364,-254.197501029156
"12","2013_Q3",17.915625,"Up",2.45e+09,1.8e+09,5.34e+08,1.16e+08,-1.4e+07,-1.4e+07,1.3e+08,-1.485e+09,-3.35e+08,-3.19e+08,3.11e+08,-4.1e+07,-4.1e+07,2.7e+08,2.7e+08,-8e+07,1.9e+08,1.94e+08,1.94e+08,1.94e+08,4.6299e+10,4.1431e+10,1.99e+08,4.232e+09,1.21e+08,8.103e+09,3.27e+08,6.5e+08,2.067e+09,5.7567e+10,3.8995e+10,2.4339e+10,3.869e+09,1.0787e+10,2.558e+09,3.924e+09,4.549e+10,2.823e+09,-9.1e+07,9.11e+09,1.02e+08,1.2077e+10,1.2077e+10,5.7567e+10,1.94e+08,1.94e+08,2.5e+07,1.4e+07,1.45e+08,3.78e+08,-2.1e+07,-2.1e+07,-2.89e+08,0,-3.1e+08,-5.3e+07,-1.8e+07,-7.1e+07,-3e+06,-3e+06,1e+06,-1999999.99999999,3.36e+08,2.571e+09,5.4e+08,0.12694,0.07918,0.01606,0.00337,2.78351,3.76666,0.04466,0.71932,0.71825,9.08417,44.77938,2.00222,0.19651,0.00429,0.00938,0.2732,7.29167000000002,7.87781000000012
"13","2013_Q4",20.4484375,"Up",2.458e+09,1.825e+09,5.55e+08,7.8e+07,1e+06,1e+06,7.7e+07,-1.378e+09,-3.41e+08,-3.26e+08,4.13e+08,-4.2e+07,-4.2e+07,3.71e+08,3.71e+08,-1e+08,2.71e+08,2.72e+08,2.72e+08,2.72e+08,4.6233e+10,4.1274e+10,1.99e+08,4.32e+09,1.85e+08,7.724e+09,3.34e+08,6.42e+08,2.069e+09,5.7187e+10,3.8463e+10,2.3962e+10,3.82e+09,1.0681e+10,2.559e+09,3.885e+09,4.4907e+10,2.825e+09,-9.1e+07,9.328e+09,9.1e+07,1.228e+10,1.228e+10,5.7187e+10,2.72e+08,2.72e+08,2.2e+07,-6.1e+07,1.19e+08,3.52e+08,-2.5e+07,-2.5e+07,-1.96e+08,3e+06,-2.18e+08,-5.4e+07,-6e+06,-7.3e+07,6.1e+07,6.1e+07,3e+06,6.4e+07,4.35e+08,2.559e+09,6.29e+08,0.16802,0.11066,0.02215,0.00476,2.3125,3.65692,0.04475,1.00853,1.00666,9.11383,45.53207,2.33222,0.20022,0.0057,0.011,0.19853,5.45747,5.74818
"14","2014_Q1",21.3362295081967,"Up",2.569e+09,1.882e+09,6.02e+08,8.5e+07,1e+07,1e+07,7.5e+07,-1.547e+09,-3.58e+08,-3.37e+08,3.27e+08,-4.1e+07,-4.1e+07,2.86e+08,2.86e+08,-7.3e+07,2.13e+08,2.21e+08,2.21e+08,2.21e+08,4.6107e+10,4.1233e+10,1.85e+08,4.181e+09,1.95e+08,7.996e+09,3.04e+08,6.24e+08,1.968e+09,5.7194e+10,3.8278e+10,2.4089e+10,3.718e+09,1.0471e+10,2.011e+09,3.589e+09,4.4427e+10,2.828e+09,-9.1e+07,9.495e+09,4.19e+08,1.2767e+10,1.2767e+10,5.7194e+10,2.21e+08,2.21e+08,2.1e+07,-1.86e+08,2.27e+08,2.83e+08,8e+06,-2.4e+07,-2.19e+08,2e+06,-2.09e+08,-5.4e+07,-9e+06,-6.4e+07,1e+07,9999999.99999999,4.65661287307739e-10,1e+07,3.48e+08,2.56e+09,6.56e+08,0.12729,0.08603,0.01731,0.00386,2.96833,3.47983,0.04476,0.81882,0.8167,9.51834,47.3027,2.43053,0.20007,0.00481,0.01147,0.244339999999999,6.79598,7.23242000000001
"15","2014_Q2",21.4549206349206,"Up",2.463e+09,1.806e+09,5.26e+08,1.31e+08,4.6e+07,4.6e+07,8.5e+07,-1.446e+09,-3.29e+08,-3.46e+08,3.42e+08,-4.4e+07,-4.4e+07,2.98e+08,2.98e+08,-7.8e+07,2.2e+08,1.3e+07,1.3e+07,1.3e+07,4.5008e+10,3.9415e+10,1.74e+08,4.924e+09,2.06e+08,7.084e+09,2.93e+08,6.52e+08,4.981e+09,5.8224e+10,3.6025e+10,2.3933e+10,3.838e+09,8.254e+09,2.558e+09,6.484e+09,4.5616e+10,2.827e+09,-8.5e+07,9.17e+09,6.7e+08,1.2608e+10,1.2608e+10,5.8224e+10,1.3e+07,1.3e+07,2e+07,3.85e+08,-2.5e+08,1.68e+08,-1e+07,-1e+07,-3.45e+08,1e+06,-3.54e+08,-3.38e+08,2e+06,2.1e+08,2.4e+07,1e+07,1e+06,1.1e+07,3.62e+08,3.107e+09,1.8e+08,0.13886,0.00528,0.00103,0.00022,13.84615,3.61802,0.05336,0.04818,0.04806,9.12898,46.73091,0.66716,1.25278,0.00603,0.00309,26,8.01381,8.48246
"16","2014_Q3",20.3825,"Down",2.44e+09,1.811e+09,5.5e+08,7.9e+07,-1.4e+07,-1.4e+07,9.3e+07,-1.441e+09,-3.35e+08,-2.54e+08,4.1e+08,-4.6e+07,-4.6e+07,3.64e+08,3.64e+08,-1.03e+08,2.61e+08,2.67e+08,2.67e+08,2.67e+08,4.608e+10,4.0468e+10,1.94e+08,4.9e+09,2.04e+08,7.192e+09,2.89e+08,6.5e+08,5.022e+09,5.9437e+10,3.6543e+10,2.3996e+10,3.851e+09,8.696e+09,2.558e+09,6.686e+09,4.6336e+10,2.829e+09,-8.5e+07,9.369e+09,9.61e+08,1.3101e+10,1.3101e+10,5.9437e+10,2.67e+08,2.67e+08,2.2e+07,-23999999.9999999,1.54e+08,4.19e+08,-1.7e+07,-1.7e+07,-3.69e+08,5999999.99999999,-3.8e+08,-6.8e+07,2.1e+07,-47000000.0000001,-7999999.99999999,-3e+06,1e+06,-2e+06,4.32e+08,3.107e+09,6.72e+08,0.16803,0.10943,0.02038,0.00449,2.51685,3.53683,0.05227,0.98926,0.9867,9.04039,48.5402,2.48981,0.25195,0.00564,0.01131,0.254680000000004,6.71991,7.08049
"17","2014_Q4",20.3634375,"Down",2.411e+09,1.81e+09,4.8e+08,1.21e+08,3.7e+07,3.7e+07,8.4e+07,-1.354e+09,-3.32e+08,-3.84e+08,3.41e+08,-4.8e+07,-4.8e+07,2.93e+08,2.93e+08,-8.4e+07,2.09e+08,2.13e+08,2.13e+08,2.13e+08,4.632e+10,4.07e+10,2.11e+08,4.853e+09,2.47e+08,6.763e+09,2.87e+08,6.27e+08,1.487e+09,5.5731e+10,3.6068e+10,2.3475e+10,3.703e+09,8.89e+09,2.559e+09,3.494e+09,4.267e+10,2.832e+09,-8.5e+07,9.515e+09,7.72e+08,1.3061e+10,1.3061e+10,5.5731e+10,2.13e+08,2.13e+08,2e+07,-2.1e+07,2.48e+08,4.6e+08,-1.5e+07,-1.5e+07,-5.37e+08,1.99e+08,-3.53e+08,-6.7e+07,-1e+06,-6.8e+07,3.9e+07,4.8e+07,-5e+06,4.3e+07,3.61e+08,3.108e+09,6.78e+08,0.14144,0.08835,0.01631,0.00382,3.1831,3.26698,0.05577,0.78918,0.78714,8.93294,48.392,2.51204,0.24824,0.00502,0.01217,0.31455,7.92521,8.39003
"18","2015_Q1",21.9685245901639,"Up",2.378e+09,1.785e+09,5.11e+08,8.2e+07,-1.2e+07,-1.2e+07,9.4e+07,-1.35e+09,-3.21e+08,-4.1e+08,2.97e+08,-4.5e+07,-4.5e+07,2.52e+08,2.52e+08,-5.4e+07,1.98e+08,1.98e+08,1.98e+08,1.98e+08,4.6262e+10,4.0768e+10,2.22e+08,4.684e+09,1.9e+08,6.63e+09,2.95e+08,6e+08,1.589e+09,5.5566e+10,3.6353e+10,2.3271e+10,3.592e+09,9.49e+09,2.559e+09,3.833e+09,4.2745e+10,2.834e+09,-8.4e+07,9.645e+09,3.99e+08,1.2821e+10,1.2821e+10,5.5566e+10,1.98e+08,1.98e+08,2.1e+07,-4.4e+07,2.18e+08,3.93e+08,-2.9e+07,-2.9e+07,1.9e+08,8e+06,1.69e+08,-6.8e+07,3e+06,-6.14e+08,-5.2e+07,-5.2e+07,-5e+06,-5.7e+07,3.18e+08,2.559e+09,5.61e+08,0.12489,0.08326,0.01544,0.00356,2.83333,3.33398,0.04605,0.73333,0.73144,8.80741,47.48519,2.07778,0.25185,0.00479,0.0101,0.343429999999999,7.44969,7.97643
"19","2015_Q2",22.3598412698413,"Up",2.352e+09,1.687e+09,5.58e+08,1.07e+08,1e+07,1e+07,9.7e+07,-1.339e+09,-3.03e+08,-3.58e+08,3.52e+08,-3.9e+07,-3.9e+07,3.13e+08,3.13e+08,-8e+07,2.33e+08,2.33e+08,2.33e+08,2.33e+08,4.5932e+10,4.0605e+10,2.25e+08,4.516e+09,2.01e+08,6.77e+09,2.98e+08,6.16e+08,1.648e+09,5.5465e+10,3.6705e+10,2.3248e+10,3.71e+09,9.747e+09,2.56e+09,3.763e+09,4.3028e+10,2.826e+09,-7.9e+07,9.27e+09,4.2e+08,1.2437e+10,1.2437e+10,5.5465e+10,2.33e+08,2.33e+08,1.9e+07,-1.7e+07,-1.41e+08,9.4e+07,-2e+07,-2e+07,5.44e+08,2e+06,5.26e+08,-6.08e+08,5e+06,-6.03e+08,1.7e+07,1.7e+07,-6e+06,1.1e+07,3.71e+08,2.56e+09,2.9e+08,0.14966,0.09906,0.01873,0.0042,1.24464,3.45968,0.04616,0.86264,0.86073,8.70789,46.04591,1.07368,2.25102,0.01516,0.00523,2.60944,6.35849,6.7017
"20","2015_Q3",21.33390625,"Down",2.327e+09,1.735e+09,5e+08,9.2e+07,0,0,9.2e+07,-1.469e+09,-3.14e+08,-3.41e+08,2.03e+08,-3.9e+07,-3.9e+07,1.64e+08,1.64e+08,-2.6e+07,1.38e+08,1.38e+08,1.38e+08,1.38e+08,4.5332e+10,3.9849e+10,2.16e+08,4.645e+09,1.45e+08,6.841e+09,3.17e+08,6.21e+08,1.766e+09,5.5022e+10,3.6368e+10,2.3193e+10,3.815e+09,9.36e+09,2.56e+09,3.86e+09,4.2788e+10,2.829e+09,-7.8e+07,9.34e+09,1.43e+08,1.2234e+10,1.2234e+10,5.5022e+10,1.38e+08,1.38e+08,2e+07,-2.1e+07,3.09e+08,4.46e+08,-3.7e+07,-3.7e+07,-4e+08,-2000000.00000001,-4.39e+08,-68000000.0000001,1e+06,-67000000.0000001,-6e+07,-6e+07,4e+06,-5.6e+07,2.23e+08,2.56e+09,5.21e+08,0.08724,0.0593,0.01128,0.00251,3.77536,3.49747,0.04653,0.51054,0.50979,8.60895,45.26082,1.92749,0.25157,0.00374,0.00947,0.49275,10.8296,11.89655
"21","2015_Q4",20.41703125,"Down",2.153e+09,1.751e+09,3.54e+08,4.8e+07,-4.9e+07,-4.9e+07,9.7e+07,-1.2e+09,-3.19e+08,-3.62e+08,2.72e+08,-3.9e+07,-3.9e+07,2.33e+08,2.33e+08,-5.5e+07,1.78e+08,1.78e+08,1.78e+08,1.78e+08,4.5318e+10,4.0201e+10,2.12e+08,4.265e+09,2.36e+08,6.548e+09,3.2e+08,6.06e+08,1.784e+09,5.4812e+10,3.6093e+10,2.2867e+10,3.706e+09,9.52e+09,2.211e+09,3.893e+09,4.2547e+10,2.833e+09,-7.8e+07,9.45e+09,6e+07,1.2265e+10,1.2265e+10,5.4812e+10,1.78e+08,1.78e+08,2.3e+07,2.31e+08,7.3e+07,5.05e+08,-2.7e+07,-2.7e+07,-3.21e+08,7e+06,-3.41e+08,-6.8e+07,-1e+06,-6.9e+07,9.5e+07,9.5e+07,-4e+06,9.1e+07,2.95e+08,2.561e+09,3.96e+08,0.12634,0.08268,0.01451,0.00325,2.22472,3.46898,0.04672,0.65853,0.65731,7.96522,45.37551,1.46504,0.25157,0.00449,0.00722,0.38202,7.88136,8.54779
