"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",7.04578125,"Up",86740000,-86296000,444000,-5936000,-5936000,-5492000,34000,-104000,-5458000,-5458000,-436000,-5894000,-8076000,-8022000,-8022000,31862000,31862000,40079000,40079000,9838000,9585000,8133000,91364000,140322000,623126000,-482804000,39878000,3561000,187387000,278751000,37095000,14055000,23040000,21617000,21617000,58712000,126948000,124451000,121534000,2917000,2497000,126948000,185660000,496269000,-329251000,-73064000,93007000,93091000,278751000,-5894000,5936000,-4417000,5192000,933000,-1194000,-1362000,-1201000,-1367000,-1964000,-2232000,-2232000,-2232000,444000,0,4878000,0.00512,-0.06332,-0.09248,-0.08617,-0.02878,-0.60808,1.55614,1.99439,0,-1.45637,-1.45637,15.74743,16.88519,0.88559,0.24818,-0.03024,0.02217,-0.17041,-71.76126,5.80153
"12","2013_Q3",8.41359375,"Up",48489000,-44485000,4004000,-1967000,-1967000,2037000,606000,68000.0000000001,2643000,2643000,-553000,2090000,1116000,1181000,1181000,32851000,32851000,39890000,39890000,8280000,33133000,7204000,114154000,111947000,578436000,-466489000,38472000,3532000,159532000,273686000,35828000,14418000,21410000,20801000,20801000,56629000,124413000,121631000,118702000,2929000,2782000,124413000,181042000,496485000,-329438000,-72818000,92515000,92644000,273686000,2090000,1967000,-888000.000000004,-2099000,5890000,-1089000,-921000,-2948000,-1368000,-1953000,989000,989000,989000,4004000,0,1369000,0.08258,0.04201,0.02436,0.01275,0.00432,1.15919,2.01582,1.95417,0,0.21432,0.21342,8.7996,16.78927,0.24844,0.24826,0.01174,0.00630999999999999,1.15834,-8.20454999999998,-16.12715
"13","2013_Q4",8.880625,"Up",67473000,-63951000,3522000,-3690000,-3690000,-168000,983000,152000,815000,815000,-384000,431000,5269000,5321000,5321000,56436000,56436000,34375000,34375000,8496000,25615000,7140000,124922000,99567000,544413000,-444846000,36251000,4557000,145652000,270574000,33711000,15376000,18335000,26715000,19562000,60426000,114427000,111069000,108146000,2923000,3358000,114427000,174853000,496782000,-325931000,-72573000,95642000,95721000,270574000,431000,3690000,-9554000,1291000,-343000,-749000,-749000,26655000,-1814000,-2727000,23585000,23585000,23585000,3522000,0,4448000,0.0522,-0.00249,0.07886,0.05559,0.01967,0.83593,2.06736,1.82669,0,0.96997,0.97413,12.29977,17.43474,0.81083,0.33068,0.03395,0.02117,0.34091,-16.02385,335.92857
"14","2014_Q1",11.3495081967213,"Up",73481000,-65247000,8234000,-3389000,-3389000,4845000,531000,-231000,5376000,5376000,-86999.9999999999,5289000,17617000,17639000,17639000,82193000,82193000,32270000,32270000,5567000,48395000,5618000,168425000,74863000,488998000,-414135000,28597000,3236000,110793000,279218000,27992000,13717000,14275000,26380000,14842000,54372000,56070000,52812000,50082000,2730000,3258000,56070000,110442000,496682000,-310099000,-14870000,168600000,168776000,279218000,5289000,3389000,6000.00000000186,-3968000,7758000,-1220000,-1226000,20178000,-1807000,-2179000,25757000,25757000,25757000,8234000,0,3133000,0.11206,0.06594,0.24005,0.10451,0.06317,0.17762,3.09764,0.65437,0,3.22858,3.17279,13.44971,30.85998,0.57345,0.33075,0.08649,0.01393,0.10244,-9.98215000000001,-16.9645
"15","2014_Q2",14.2606349206349,"Up",64392000,-64596000,-204000,-3440000,-3440000,-3644000,-291000,117000,-3935000,-3935000,-891000,-4826000,-4043000,-4037000,-4037000,82540000,82540000,32606000,32606000,11024000,10846000,9817000,137016000,94257000,545327000,-451070000,32779000,3701000,133960000,270976000,33076000,14950000,18126000,20376000,19748000,53452000,53849000,50021000,47257000,2764000,3828000,53849000,107301000,498274000,-315941000,-15040000,163505000,163675000,270976000,-4826000,3440000,-1572000,2443000,2966000,-1008000,-1008000,-1207000,-1805000,-1412000,347000,347000,347000,-204000,0,2122000,-0.00317,-0.05659,-0.06269,-0.02466,-0.0149,-0.52564,2.56335,0.65557,0,-0.73675,-0.73675,11.75144,29.8394,0.38726,0.32941,-0.01026,0.00976,-0.44711,404.60784,22.65093
"16","2014_Q3",14.94015625,"Up",69261000,-63476000,5785000,-3378000,-3378000,2407000,18708000,141000,21115000,21115000,-1428000,19687000,21956000,21980000,21980000,59754000,59754000,28399000,28399000,7974000,47480000,8181000,143607000,68308000,488364000,-420056000,29464000,4098000,106283000,249890000,25639000,12575000,13064000,24044000,14555000,49683000,51018000,46846000,44187000,2659000,4172000,51018000,100701000,498890000,-329585000,-15213000,148861000,149189000,249890000,19687000,3378000,-21860000,-6833000,-849000.000000001,-1709000,-1709000,14620000,-35624000,-36557000,-22786000,-22786000,-22786000,5785000,0,-1329000,0.08352,0.03475,0.31735,0.14733,0.08796,-0.0604599999999998,2.89047,0.67499,0,3.9938,3.97438,12.58483,27.04827,-0.24148,6.47293,0.28772,-0.00664,1.62075,-10.32913,-24.82509
"17","2014_Q4",15.80375,"Up",65923000,-62021000,3902000,-3402000,-3402000,5e+05,2925000,3878000,3425000,3425000,-1156000,2269000,18394000,18444000,18444000,108063000,108063000,25095000,25095000,6971000,9108000,8233000,149237000,66825000,474406000,-407581000,3e+07,4083000,103646000,252883000,28764000,11929000,16835000,15411000,14416000,44175000,44190000,40140000,37500000,2640000,3913000,44190000,88365000,499168000,-312937000,-15386000,164190000,164518000,252883000,2269000,3402000,-10344000,6791000,244000,1524000,-1877000,51080000,-1796000.00000001,-3015000,48309000,48309000,48309000,3902000,0,13373000,0.05919,0.00758,0.27978,0.11211,0.07293,0.72506,3.37831,0.53711,0,3.37622,3.3416,12.06738,30.05542,2.44796,0.32876,0.09698,0.06408,0.0973800000000018,-27.69426,-216.126
"18","2015_Q1",14.8477049180328,"Down",73212000,-76363000,-3151000,-3798000,-3798000,-6949000,78329000,1637000,71380000,71380000,-2503000,68877000,56470000,56542000,56542000,158171000,158171000,34396000,34396000,4901000,8987000,8422000,206455000,61589000,472186000,-410597000,28131000,2893000,92292000,298747000,84969000,12904000,21917000,16437000,15894000,101406000,71322000,68515000,65859000,2656000,2277000,71322000,172728000,499320000,-308330000,-57140000,125763000,126019000,298747000,68877000,3798000,-92088000,-9880000,-28823000,-6651000,-3250000,82010000,-1787000,-3079000,50108000,50108000,50108000,-3151000,0,-17179000,-0.04304,-0.09492,0.77231,0.44868,0.18926,-0.30383,2.03592,1.37065,0,10.36771,10.32432,13.42437,23.06028,-3.14999,0.32767,0.29557,-0.08705,0.0316,50.19708,22.76169
"19","2015_Q2",10.8895238095238,"Down",65436000,-67129000,-1693000,-3413000,-3413000,-5106000,-305000,109000,-5411000,-5411000,5730000,319000,307000,363000,363000,81442000,81442000,30911000,30911000,4618000,11028000,10763000,127999000,59816000,469158000,-409342000,49637000,2817000,112030000,240029000,25942000,11723000,14219000,16601000,16451000,42543000,69423000,66921000,64391000,2530000,1461000,69423000,111966000,500267000,-309742000,-56827000,124496000,128063000,240029000,319000,3413000,-4328000,-7879000,-8568000,-1170000,-1170000,-15700000,-51923000,-52461000,-76729000,-76729000,-76729000,-1693000,0,-16472000,-0.02587,-0.07803,0.00555,0.00283,0.00151,-45.37741,3.0087,0.8743,0,0.0667,0.06647,12.02277,22.87405,-3.02645,9.53998,0.26476,-0.08341,143.03857,48.10514,15.95025
"20","2015_Q3",8.42359375,"Down",66676000,-63963000,2713000,-3248000,-3248000,-535000,158000,-532000,-377000,-376999.999999993,-316999.999999999,-693999.999999993,-692000,-592000.000000007,-592000.000000007,84061000,84061000,32249000,32249000,3903000,11330000,11063000,131543000,52034000,443377000,-391343000,49221000,3236000,103557000,235100000,26138000,13769000,12369000,15514000,15429000,41652000,68245000,65448000,62923000,2525000,1821000,68245000,109897000,500386000,-312103000,-56513000,121736000,125203000,235100000,-703999.999999993,3248000,-843000,-1930000,-292000,-1504000,-1504000,5471999.99999999,-1769000,-2561000,2619000,2619000,2619000,2713000,0,-403999.999999998,0.04069,-0.00802,-0.00888000000000017,-0.00473000000000007,-0.00252000000000001,0.682430000000004,3.15814,0.87775,0,-0.108889999999998,-0.109269999999999,12.26447,22.39228,-0.0743100000000001,0.32539,0.00607999999999997,-0.00208999999999999,-2.98818,-30.98452,157.12336
"21","2015_Q4",9.190625,"Up",66908000,-66869000,39000,-3141000,-3141000,-3102000,-1053000,-489000,-4155000,-4155000,188000,-3967000,-4019000,-3956000,-3956000,79681000,79681000,32259000,32259000,3163000,12146000,12097000,127249000,50980000,445095000,-394115000,48180000,2556000,100898000,228147000,27247000,12522000,14725000,15356000,15356000,42603000,66360000,63978000,61455000,2523000,1805000,66360000,108963000,500472000,-317817000,-56200000,115779000,119184000,228147000,-4019000,3141000,131000,606000,-8000,-1872000,-1872000,-1972000,-1758000,-2400000,-4380000,-4380000,-4380000,39000,0,-1415000,0.00058,-0.04636,-0.05913,-0.03319,-0.01734,0.35768,2.98686,0.91424,0,-0.73094,-0.73094,12.36241,21.39216,-0.26145,0.32482,-0.01185,-0.00763,-0.444389999999999,-2043.10256,25.68698
"22","2016_Q1",9.55032786885246,"Up",73088000,-79578000,-6490000,-3062000,-3062000,-9552000,-269000.000000001,508000,-9821000,-9821000,-4031000,-13852000,-13853000,-13657000,-13657000,78380000,78380000,31502000,31502000,4052000,9415000,9415000,123349000,51358000,448223000,-396865000,46794000,4133000,98152000,221501000,24548000,12736000,11812000,14424000,14424000,38972000,62258000,59935000,57446000,2489000,1277000,62258000,101230000,500449000,-333222000,-38213000,117781000,120271000,221501000,-13853000,3062000,15837000,-980000,4065000,-3026000,-3026000,-3070000,-1750000,-2296000,-1301000,-1301000,-1301000,-6490000,0,-6465000,-0.0888,-0.13069,-0.18686,-0.11355,-0.06166,0.47338,3.16507,0.84168,0,-2.66867,-2.66867,14.28188,23.01519,-1.2633,0.34196,-0.06523,-0.03542,-0.12814,12.0770399999999,8.20561
"23","2016_Q2",8.7171875,"Down",62483000,-61406000,1077000,-2858000,-2858000,-1781000,79000,79000,-1702000,-1702000,1109000,-593000,-593000,-632000,-632000,74656000,74656000,26355000,26355000,4746000,12323000,12323000,118080000,50822000,450319000,-399497000,44932000,2497000,97386000,215466000,19683000,9950000,9733000,15564000,15564000,35247000,62153000,59074000,56574000,2500000,2037000,62153000,97400000,500853000,-335599000,-38220000,115801000,118066000,215466000,-593000,2858000,-499000,-1419000,347000,-2095000,-2095000,-2095000,-1745000,-1976000,-3724000,-3724000,-3724000,1077000,0,-3546000,0.01724,-0.0285,-0.01011,-0.00535,-0.00293,5.61076,3.35007,0.82496,0,-0.1175,-0.1175,11.61711,21.53022,-0.65929,0.32444,0.00618,-0.01968,-2.76108,-69.31848,41.91802
"24","2016_Q3",10.6125,"Up",66626000,-61133000,5493000,-2834000,-2834000,2659000,408000,408000,3067000,3067000,-2393000,674000,674000.000000002,693000,693000,82384000,82384000,25461000,25461000,5194000,10279000,10279000,123318000,49295000,446075000,-396780000,44589000,2383000,95516000,218834000,25457000,11988000,13469000,14525000,14525000,39982000,63457000,58125000,55703000,2422000,4277000,63457000,103439000,500655000,-338426000,-38243000,112753000,115395000,218834000,674000,2834000,-1118000,5486000,7876000,-1079000,-1079000,-1079000,-1758000,931000,7728000,7728000,7728000,5493000,0,12293000,0.08245,0.03991,0.0104,0.00601,0.00317,17.73882,3.08434,0.89639,0,0.12825,0.12637,12.33,20.8664,2.27498,0.32534,0.0137,0.06873,2.5368,-14.998,-30.98308
"25","2016_Q4",11.7928571428571,"Up",64780000,-62556000,2224000,-2713000,-2713000,-489000,114000,114000,-375000,-375000,-77000,-452000,-452000,-497000,-497000,78341000,78341000,26750000,26750000,4257000,11734000,9134000,121082000,45804000,445069000,-399265000,45064000,3083000,92300000,213382000,23446000,10838000,12608000,13211000,13211000,36657000,63547000,57261000,54831000,2430000,5227000,63547000,100204000,500741000,-340686000,-38260000,110562000,113178000,213382000,-452000,2713000,-590000,-3215000,-1544000,-994000,-994000,-666000,-1762000,-1833000,-4043000,-4043000,-4043000,2224000,0,-1908000,0.03433,-0.00755,-0.00767,-0.00439,-0.00233,3.83903,3.30311,0.88537,0,-0.09171,-0.09309,11.95364,20.40164,-0.35208,0.32514,0.00716,-0.0108,-3.54527,-35.22527,160.20654
"26","2017_Q1",11.5887096774194,"Down",66095000,-64334000,1761000,-3214000,-3214000,-1453000,1693000,1693000,240000,-22442000,3633000,-18809000,-18809000,-18874000,-18874000,80071000,80071000,29114000,29114000,3386000,9553000,9553000,122124000,43759000,445874000,-402115000,26848000,7775000,70607000,192731000,24011000,9036000,14975000,13243000,13243000,37254000,63655000,57172000,54843000,2329000,6483000,63655000,100909000,499552000,-361324000,-39077000,87918000,91822000,192731000,-18809000,3214000,19195000,-2663000,937000,-2429000,-2429000,2629000,-1764000,-1836000,1730000,1730000,1730000,1761000,0,-6964000,0.02664,-0.02198,-0.28556,-0.20555,-0.09793,0.36897,3.27814,1.09896,0,-3.48282,-3.48282,12.19652,16.22352,-1.28507,0.32551,-0.11005,-0.04479,-0.09346,-45.46905,55.10736
"27","2017_Q2",10.6919047619048,"Down",60901000,-62961000,-2060000,-2706000,-2706000,-4766000,522000,522000,-4244000,-4472000,42000,-4430000,-4430000,-4430000,-4430000,69205000,69205000,25524000,25524000,4063000,10705000,10705000,109497000,41582000,446203000,-404621000,26553000,7908000,68135000,177632000,23118000,11550000,11568000,13791000,13791000,36909000,64020000,56242000,53916000,2326000,7778000,64020000,100929000,494486000,-367531000,-39019000,76703000,76703000,177632000,-4430000,2706000,-190000,2951000,1037000,-852000,-852000,-852000,-1763000,-11051000,-10866000,-10866000,-10866000,-2060000,0,-3000,-0.03383,-0.07826,-0.07274,-0.05776,-0.02494,0.00068,2.96667,1.31584,0,-0.81695,-0.81695,11.23097,14.14508,-0.00055,0.32512,-0.01895,-2e-05,-0.39797,33.59466,14.52056
"28","2017_Q3",9.35968253968254,"Down",63089000,-61441000,1648000,-2926000,-2926000,-1278000,766000,766000,-512000,-512000,-293000,-805000,-805000.000000002,-804999.999999998,-804999.999999998,64856000,64856000,23960000,23960000,3071000,19529000,10789000,111416000,33531000,441024000,-407493000,25334000,6888000,58865000,170281000,21330000,8411000,12919000,12832000,12832000,34162000,61766000,55310000,52989000,2321000,6456000,61766000,95928000,494671000,-370122000,-38963000,74353000,74353000,170281000,-804999.999999998,2926000,-423999.999999998,-212000,1485000,-3937000,-3937000,-3937000,-1775000,-1897000,-4349000,-4349000,-4349000,1648000,0,-2208000,0.02612,-0.02026,-0.01276,-0.01083,-0.00473000000000001,2.74286,3.2614,1.29017,0,-0.14809,-0.14809,11.60594,13.67808,-0.40619,0.32653,0.00713000000000002,-0.01622,-2.20497,-39.35437,50.7480399999996
"29","2017_Q4",9.26444444444444,"Down",60559000,-57750000,2809000,-2807000,-2807000,2000,2588000,2588000,2590000,2590000,-10000,2580000,2580000,2580000,2580000,49955000,49955000,25914000,25914000,3417000,15695000,10185000,94981000,33591000,440432000,-406841000,25221000,6975000,58812000,153793000,22157000,9121000,13036000,12179000,12179000,34336000,34521000,30602000,28413000,2189000,3919000,34521000,68857000,494820000,-369303000,-29348000,84936000,84936000,153793000,2580000,2807000,-21918000,-1781000,-18312000,-3048000,-3048000,5186000,-1775000,-1775000,-14901000,-14901000,-14901000,2809000,0,-2010000,0.04638,3e-05,0.0426,0.03038,0.01678,-0.77907,2.76622,0.81069,0,0.4744,0.4744,11.13546,15.61785,-0.36959,0.32638,0.03646,-0.01683,0.68798,-17.78391,-24977.5
"30","2018_Q1",10.1208196721311,"Up",64077000,-59498000,4579000,-2775000,-2775000,1804000,7607000,7607000,9411000,6295000,6521000,12816000,12816000,12816000,12816000,57660000,57660000,26740000,26740000,3171000,14823000,13734000,102394000,31706000,418730000,-387024000,28748000,5347000,60454000,162848000,22821000,10303000,12518000,11670000,11670000,34491000,30658000,25090000,23038000,2052000,5568000,30658000,65149000,494989000,-361288000,-24700000,97699000,97699000,162848000,12816000,2775000,-8172000,-3724000,3695000,-4168000,-4168000,8880000,-4801000,-4870000,7705000,7705000,7705000,4579000,0,-9834000,0.07146,0.02815,0.20001,0.13118,0.0787,-0.76732,2.96872,0.66683,0,2.36258,2.36192,11.81233,18.0104,-1.81286,0.88504,0.13725,-0.07661,0.37461,-12.59227,-31.962309999999
