"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2019_Q3",65.82296875,"Down",-8.767e+09,7.609e+09,-1.158e+09,4.88e+08,3.04e+08,2.18e+08,-3.4e+07,-6.7e+08,1.8e+07,1.38e+08,6.3e+07,-1.83e+08,-6.52e+08,-1.241e+09,-1.893e+09,1.45e+08,-1.748e+09,1.212e+09,1.212e+09,-5.36e+08,-3.4e+07,-5.7e+08,-5.7e+08,1.669e+09,1.661e+09,4.214e+09,4.214e+09,4.39e+09,3.5e+08,1.0623e+10,9.806e+09,1.718e+09,4.8696e+10,3.333e+10,1.415e+10,2.19e+08,9.97e+08,6.022e+10,7.0843e+10,1.816e+09,6220400174.10551,1.64e+08,1.652e+09,4.641e+09,6.457e+09,1.5608e+10,6.202e+09,1.102e+09,3.662e+09,1.438e+09,2.181e+10,2.8267e+10,5.1136e+10,-8.299e+09,-8.31e+08,4.2006e+10,5.7e+08,4.2576e+10,7.0843e+10,-5.37e+08,6.43e+08,1.031e+09,-1.214e+09,-7.7e+07,-6.61e+08,1.3e+07,-3e+06,1e+06,-1e+07,-6.57e+08,-3.14e+08,-1.805e+09,-9.8e+07,4e+06,-1.02e+08,-7.412e+09,-9.629e+09,-1.0363e+10,-1.0363e+10,-2e+06,-1.0365e+10,-2.7e+07,2.0249e+10,-2.047e+09,0.13209,0.07642,0.06502,-0.01339,-0.00805,3.59123,1.64519,0.66392,0.28583,-0.76077,-0.76386,-11.70116,56.06469,-2.7321,0.41909,-0.00371,-0.02966,-0.55088,-688.14815,-27.73134
"12","2019_Q4",62.24828125,"Down",5426000000.00001,-3.531e+09,1.895e+09,-1.117e+09,-6.45e+08,-2.25e+08,-2.47e+08,7.78e+08,-5.5e+07,-1.77e+08,4.3e+07,7.9e+07,7.23e+08,-2.73e+08,4.5e+08,-7.8e+07,3.72e+08,5e+06,5e+06,3.77e+08,-5e+06,3.72e+08,3.72e+08,2.113e+09,2.107e+09,3.962e+09,3.962e+09,4.306e+09,3.07e+08,1.0688e+10,9.699e+09,1.733e+09,4.7999e+10,3.2935e+10,1.3769e+10,2.31e+08,1.064e+09,5.9431e+10,7.0119e+10,1.697e+09,4146826088.84125,1.48e+08,1.549e+09,4.919e+09,6.616e+09,1.561e+10,5.981e+09,1.05e+09,3.474e+09,1.457e+09,2.1591e+10,2.8207e+10,5.1162e+10,-8.289e+09,-1.529e+09,4.1344e+10,5.68e+08,4.1912e+10,7.0119e+10,3.77e+08,4.99e+08,-1.13e+08,1.19e+08,8.82e+08,-5.3e+07,2e+06,-3e+06,-1.35e+08,3.6e+07,-1.5e+08,-2.24e+08,3.52e+08,-3.5e+08,9e+06,-3.59e+08,-1.4e+07,-2.36e+08,4.96e+08,4.96e+08,-5e+07,4.46e+08,1.277e+09,2.0529e+10,1.421e+09,0.34924,0.14338,0.06856,0.00888,0.00531,3.81989,1.61548,0.67301,0.29277,0.49906,0.49906,7.27931,55.46552,1.90636,0.30051,0.00871,0.02077,0.60215,14.4213,23.67095
"13","2020_Q1",46.101935483871,"Down",-8.72e+08,6.22e+08,-2.5e+08,4.5e+07,-4.4e+07,3.5e+07,5.4e+07,-2.05e+08,-2.21e+08,-1.74e+08,-4.7e+07,0,-4.26e+08,9.63e+08,5.37e+08,1.44e+08,6.81e+08,-4.93e+08,-4.93e+08,1.88e+08,-1.2e+07,1.76e+08,1.76e+08,1.54e+09,1.54e+09,3.802e+09,3.802e+09,4.319e+09,3.38e+08,9.999e+09,1.0143e+10,1.26e+09,4.7947e+10,3.3151e+10,1.3593e+10,1.89e+08,1.014e+09,5.935e+10,6.9349e+10,4.516e+09,2.934e+09,2.4e+08,1.342e+09,3.83e+09,8.346e+09,1.3617e+10,5.83e+09,1.172e+09,3.467e+09,1.191e+09,1.9447e+10,2.7793e+10,5.0803e+10,-8.4e+09,-1.416e+09,4.0987e+10,5.69e+08,4.1556e+10,6.9349e+10,1.88e+08,5.33e+08,-3.57e+08,2.14e+08,5.78e+08,-6.4e+08,7e+06,-2e+06,1.28e+08,-1e+06,-5.06e+08,-2.22e+08,-1.42e+08,-2.8e+08,9e+06,-2.89e+08,-9e+06,-6.53e+08,-5.81e+08,-5.81e+08,1.1e+07,-5.7e+08,3.28e+08,1.7447e+10,-2.42e+08,0.2867,0.23509,-0.20183,0.00424,0.00254,-1.375,1.19806,0.66881,0.25158,0.23765,0.23765,-1.17742,55.34297,-0.32676,0.29976,0.00614,-0.00373,1.26136,48.49695,-77.59512
"14","2020_Q2",44.32,"Down",3.67e+09,-2.319e+09,1.351e+09,-8.33e+08,-4.82e+08,-1.73e+08,-1.78e+08,5.18e+08,8e+07,-1.71e+08,3.9e+07,2.12e+08,5.98e+08,-1.054e+09,-4.56e+08,-94000000.0000001,-5.5e+08,-59999999.9999999,-59999999.9999999,-6.1e+08,-6e+06,-6.16e+08,-6.16e+08,1.748e+09,1.748e+09,3.869e+09,3.869e+09,4.41e+09,3.65e+08,1.0392e+10,9.912e+09,1.282e+09,4.6401e+10,3.2317e+10,1.2834e+10,2.1e+08,1.04e+09,5.7595e+10,6.7987e+10,4.62e+09,2.846e+09,3.4e+08,1.434e+09,3.925e+09,8.545e+09,1.3618e+10,5.707e+09,1.155e+09,3.314e+09,1.238e+09,1.9325e+10,2.787e+10,5.0612e+10,-9.251e+09,-1.81e+09,3.9551e+10,5.66e+08,4.0117e+10,6.7987e+10,-6.1e+08,7.72e+08,5.75e+08,-1.9e+07,7.18e+08,-4.81e+08,-999999.999999996,-1e+06,3.54e+08,4e+06,-1.24e+08,-2.22e+08,9.3e+07,-1.98e+08,3.4e+07,-2.32e+08,-1.7e+07,-3.44e+08,2.5e+08,2.5e+08,-4.5e+07,2.05e+08,1.29e+09,1.7543e+10,8.84e+08,0.36812,0.14114,-0.16785,-0.01536,-0.00906,-1.43506,1.21615,0.69472,0.25803,-0.83401,-0.83401,4.96886,53.54861,1.19686,0.30057,-0.00622,0.01395,-0.36039,12.24419,30.49228
"15","2020_Q3",53.57265625,"Up",3.289e+09,-2.298e+09,9.91e+08,-7.44e+08,-4.14e+08,-1.53e+08,-1.77e+08,2.47e+08,-9e+07,-1.81e+08,1.02e+08,-1.1e+07,1.57e+08,-2.538e+09,-2.381e+09,-8e+06,-2.389e+09,-8.2e+07,-8.2e+07,-2.471e+09,-7e+06,-2.478e+09,-2.478e+09,3.737e+09,3.737e+09,3.615e+09,3.615e+09,4.307e+09,3.27e+08,1.1986e+10,9.909e+09,1.267e+09,4.3591e+10,3.0018e+10,1.2349e+10,1.95e+08,1.029e+09,5.4767e+10,6.6753e+10,4.451e+09,2.632e+09,3.23e+08,1.496e+09,3.559e+09,8.01e+09,1.5608e+10,5.558e+09,1.166e+09,3.174e+09,1.218e+09,2.1166e+10,2.9176e+10,5.0198e+10,-1.1728e+10,-1.465e+09,3.7005e+10,5.72e+08,3.7577e+10,6.6753e+10,-2.471e+09,7.74e+08,2.332e+09,1.67e+08,8.02e+08,-2.38e+08,1e+06,0,0,1.3e+07,-2.24e+08,-2.2e+08,1.631e+09,0,0,0,-1.7e+07,1.394e+09,1.972e+09,1.972e+09,1.5e+07,1.987e+09,1.021e+09,1.9167e+10,9.58e+08,0.30131,0.0751,-0.75342,-0.06594,-0.03712,-0.3866,1.49638,0.77643,0.28713,-3.37418,-3.37418,4.47849,50.38807,1.30447,0.29956,-0.03624,0.01538,-0.08878,15.11263,62.46964
"16","2020_Q4",60.24921875,"Up",3.629e+09,-2.417e+09,1.212e+09,-7.15e+08,-4.03e+08,-1.4e+08,-1.72e+08,4.97e+08,2.94e+08,-1.65e+08,2.9e+07,4.3e+08,7.91e+08,-5.83e+08,2.08e+08,-1.22e+08,85999999.9999995,-1.58e+08,-1.58e+08,-7.2e+07,-7e+06,-78999999.9999995,-7.9e+07,4.008e+09,4.008e+09,3.623e+09,3.623e+09,3.902e+09,1.073e+09,1.2606e+10,9.686e+09,1.122e+09,4.8727e+10,2.969e+10,1.1528e+10,2.37e+08,7.272e+09,5.9535e+10,7.2141e+10,4.463e+09,2.685e+09,4.14e+08,1.364e+09,2.394e+09,6.984e+09,2.1802e+10,5.237e+09,1.193e+09,3.011e+09,1.033e+09,2.7039e+10,3.4023e+10,5.0226e+10,-1.1808e+10,-8.59e+08,3.7559e+10,5.59e+08,3.8118e+10,7.2141e+10,-7.2e+07,7.8e+08,-1.9e+07,5.85e+08,1.274e+09,-2.03e+08,-2.98023223876953e-08,2.98023223876953e-08,5.81e+08,5e+06,3.83e+08,-2.2e+08,5.083e+09,0,0,2.98023223876953e-08,-8.3e+07,4.78e+09,6.437e+09,6.437e+09,3.4e+07,6.471e+09,1.277e+09,2.4196e+10,1.781e+09,0.33398,0.13695,-0.02177,-0.00206999999999999,-0.0011,-22.5443,1.80498,0.89257,0.3354,-0.10757,-0.10757,4.94145,51.14243,2.42511,0.29956,0.00209,0.02637,-2.78481,15.80893,40.61972
"17","2021_Q1",73.864262295082,"Up",5.4e+08,-2.9e+07,5.11e+08,-3.07e+08,-1.93e+08,-9.9e+07,-1.5e+07,2.04e+08,-1.56e+08,-1.55e+08,-2e+06,1e+06,4.8e+07,1.322e+09,1.37e+09,1.34e+08,1.504e+09,-1.274e+09,-1.274e+09,2.3e+08,-8e+06,2.22e+08,2.22e+08,2.544e+09,2.544e+09,2.421e+09,2.421e+09,2.393e+09,2.165e+10,2.9008e+10,6.867e+09,1.047e+09,3.3982e+10,1.8702e+10,8.072e+09,1.9e+08,7.018e+09,4.1896e+10,7.0904e+10,3.475e+09,2.222e+09,1.69e+08,1.084e+09,1e+06,1.2226e+10,1.5611e+10,3.997e+09,1.11e+09,2.053e+09,8.34e+08,1.9608e+10,3.1834e+10,5.0046e+10,-1.1586e+10,4.4e+07,3.8504e+10,5.66e+08,3.907e+10,7.0904e+10,2.3e+08,7.68e+08,-1.32e+08,4.35e+08,1.301e+09,-2.72e+08,0,1e+06,2.8e+07,7e+06,-2.37e+08,-2.2e+08,-2.392e+09,2.55e+08,2.3e+07,2.32e+08,-2.35e+08,-2.592e+09,-1.528e+09,-1.528e+09,6.3e+07,-1.465e+09,9.72e+08,1.5612e+10,1.001e+09,0.9463,0.37778,0.41111,0.00568,0.00313,4.50901,2.37265,0.81479,0.22019,0.30221,0.30221,0.73509,52.41492,1.36265,0.29948,0.00753,0.01706,0.99099,13.44444,64.05882
"18","2021_Q2",77.6998412698413,"Up",3.017e+09,-1.861e+09,1.156e+09,-6.59e+08,-3.95e+08,-1.39e+08,-1.25e+08,4.97e+08,-1.04e+08,-1.46e+08,2.3e+07,1.9e+07,3.93e+08,-8e+06,3.85e+08,1e+06,3.86e+08,5.012e+09,5.012e+09,5.398e+09,-4e+06,5.394e+09,5.394e+09,6.385e+09,4.384e+09,2.609e+09,2.609e+09,2.499e+09,1.047e+09,1.254e+10,6.744e+09,1.059e+09,2.7461e+10,1.8511e+10,7.857e+09,1.77e+08,9.16e+08,3.5264e+10,4.7804e+10,3.537e+09,2.219e+09,1.89e+08,1.129e+09,1.997e+09,5.667e+09,1.0625e+10,3.807e+09,1.04e+09,1.918e+09,8.49e+08,1.4432e+10,2.0099e+10,4.9969e+10,-2.2618e+10,-1.63e+08,2.7188e+10,5.17e+08,2.7705e+10,4.7804e+10,5.398e+09,3.91e+08,-5.076e+09,-3.35e+08,3.78e+08,-2.83e+08,-2.001e+09,-2.001e+09,2e+07,4e+06,-2.26e+09,-1.61e+08,-1.75e+09,-4.1e+08,9e+07,-5e+08,-1.37e+08,-2.458e+09,-4.34e+09,-4.34e+09,-3.7e+07,-4.377e+09,8.88e+08,1.2622e+10,2.69e+08,0.38316,0.16473,1.78787,0.19469,0.11284,0.0498700000000021,2.21281,0.72546,0.26404,8.91865,8.89659,4.98843,44.9537,0.44478,0.2662,0.12587,0.0061,0.0298500000000002,7.02365,12.5493
"19","2021_Q3",72.0425,"Down",3.104e+09,-1.959e+09,1.145e+09,-6.55e+08,-3.95e+08,-1.33e+08,-1.27e+08,4.9e+08,2.6e+07,-1.29e+08,2e+07,1.35e+08,5.16e+08,-2.8e+07,4.88e+08,-9.3e+07,3.95e+08,9.2e+07,9.2e+07,4.87e+08,-9e+06,4.78e+08,4.78e+08,3.962e+09,3.962e+09,2.826e+09,2.826e+09,2.642e+09,1.062e+09,1.0492e+10,6.856e+09,1.068e+09,2.7423e+10,1.8565e+10,7.707e+09,1.83e+08,9.68e+08,3.5347e+10,4.5839e+10,3.804e+09,2.349e+09,2.36e+08,1.219e+09,2559043438.54546,3.94e+09,1.0627e+10,3.808e+09,1.045e+09,1.869e+09,8.94e+08,1.4435e+10,1.8375e+10,4.9686e+10,-2.2783e+10,-2.6e+07,2.6877e+10,5.87e+08,2.7464e+10,4.5839e+10,4.87e+08,3.33e+08,-1.73e+08,-2.07e+08,4.4e+08,-2.16e+08,2.001e+09,0,1.41e+08,5e+06,1.931e+09,-1.58e+08,-2e+09,-6.25e+08,1.8e+07,-6.43e+08,-1.5e+07,-2.798e+09,-4.27e+08,-4.27e+08,9e+06,-4.18e+08,8.23e+08,1.0627e+10,4.93e+08,0.36888,0.15786,0.15399,0.0174,0.01043,1.03138,2.66294,0.66906,0.23183,0.79034,0.78839,5.13228,44.43948,0.81515,0.26124,0.01518,0.01177,0.33054,8.09842,13.60204
"20","2021_Q4",74.195,"Up",3.199e+09,-2.032e+09,1.167e+09,-7.06e+08,-4.11e+08,-1.37e+08,-1.58e+08,4.61e+08,-9.2e+07,-1.15e+08,2.2e+07,999999.999999985,3.69e+08,-29999999.9999999,3.39e+08,-8e+07,2.59e+08,1.45e+08,1.45e+08,4.04e+08,-1.3e+07,3.91e+08,3.91e+08,1.67e+09,1.67e+09,2.908e+09,2.908e+09,2.844e+09,1.075e+09,8.497e+09,6.921e+09,1.029e+09,2.9568e+10,1.9688e+10,8.644e+09,1.75e+08,1.061e+09,3.7518e+10,4.6015e+10,4.079e+09,2.538e+09,2.06e+08,1.335e+09,1280786063.12727,4.221e+09,1.0629e+10,3.926e+09,1.017e+09,2.014e+09,8.95e+08,1.4555e+10,1.8776e+10,4.9707e+10,-2.2892e+10,-1.82e+08,2.6633e+10,6.06e+08,2.7239e+10,4.6015e+10,4.04e+08,3.7e+08,-8e+06,7.6e+07,8.42e+08,-2.08e+08,-9.5367431640625e-07,2.001e+09,-2.199e+09,9e+06,-2.398e+09,-1.57e+08,0,-4.98e+08,2000000.00000001,-5e+08,-9999999.99999988,-6.65e+08,-2.221e+09,-2.221e+09,-2.1e+07,-2.242e+09,8.31e+08,1.0629e+10,7.79e+08,0.3648,0.14411,0.12223,0.01435,0.00850000000000001,1.99233,2.01303,0.68931,0.23099,0.70872,0.70692,5.79844,48.27442,1.412,0.28457,0.01311,0.01864,0.40153,10.78099,19.43384
"21","2022_Q1",76.3801612903226,"Up",3.246e+09,-2.119e+09,1.127e+09,-7.05e+08,-4.01e+08,-1.48e+08,-1.56e+08,4.22e+08,-1.25e+08,-1.35e+08,2e+07,-1e+07,2.97e+08,-6.5e+07,2.32e+08,-6.5e+07,1.67e+08,5.9e+07,5.9e+07,2.26e+08,-2.2e+07,2.04e+08,2.04e+08,1.972e+09,1.972e+09,2.159e+09,2665931517.07731,2.086e+09,8.086e+09,1.4303e+10,5.753e+09,9.19e+08,2.4732e+10,1.6981e+10,6.222e+09,1.16e+08,1.413e+09,3.1404e+10,4.5707e+10,3.343e+09,2.102e+09,2.01e+08,1.04e+09,1.5e+08,4.931e+09,1.0632e+10,3.094e+09,7.62e+08,1.459e+09,8.73e+08,1.3726e+10,1.8657e+10,4.9579e+10,-2.3187e+10,4.1e+07,2.6433e+10,6.17e+08,2.705e+10,4.5707e+10,2.26e+08,3.64e+08,3e+06,2.8e+07,6.21e+08,-1.84e+08,0,3037894635.70606,4.89e+08,2.1e+07,3.26e+08,-1.54e+08,1.5e+08,1.648e+09,5e+06,1.643e+09,-2.23e+09,-5.86e+08,3.61e+08,3.61e+08,-2.3e+07,3.38e+08,7.86e+08,1.0782e+10,6.95e+08,0.3472,0.13001,0.06285,0.00754,0.00446,3.40686,2.90063,0.68972,0.23589,0.47343,0.47102,7.53307,61.3437,1.6129,0.35739,0.00875,0.01698,0.7549,11.20865,20.87678
"22","2022_Q2",64.3364516129032,"Down",3.274e+09,-2.11e+09,1.164e+09,-6.85e+08,-3.89e+08,-1.43e+08,-1.53e+08,4.79e+08,-9.1e+07,-1.2e+08,2.6e+07,3e+06,3.88e+08,-1.09e+08,2.79e+08,-4.7e+07,2.32e+08,2.76e+08,2.76e+08,5.08e+08,-2e+07,4.88e+08,4.88e+08,1.672e+09,1.672e+09,2.327e+09,2.327e+09,2.238e+09,8.206e+09,1.4443e+10,5.668e+09,8.21e+08,2.4461e+10,1.6878e+10,6.04e+09,1.27e+08,1.416e+09,3.095e+10,4.5393e+10,3.351e+09,2.176e+09,1.97e+08,9.78e+08,4.05e+08,5.122e+09,1.0634e+10,2.846e+09,7.33e+08,1.276e+09,8.37e+08,1.348e+10,1.8602e+10,4.9492e+10,-2.3096e+10,-2.2e+08,2.6176e+10,6.15e+08,2.6791e+10,4.5393e+10,5.08e+08,3.42e+08,-1.27e+08,-5.14e+08,2.09e+08,-2.51e+08,782566408.43803,2633194635.70606,19999999.9999995,2e+06,-2.29e+08,-1.69e+08,2.54e+08,-2.92e+08,8.3e+07,-3.75e+08,-51000000.0000005,-2.58e+08,-2.78e+08,-2.78e+08,-2.5e+07,-3.03e+08,8.21e+08,1.1039e+10,1.03e+08,0.35553,0.1463,0.14905,0.01822,0.01075,0.21107,2.8198,0.69434,0.24319,0.94555,0.94245,6.34373,50.71885,0.19957,0.32746,0.01615,0.00253,0.34631,11.40926,19.55532
"23","2022_Q3",56.493125,"Down",3.322e+09,-2.149e+09,1.173e+09,-6.74e+08,-3.85e+08,-1.41e+08,-1.48e+08,4.99e+08,-8e+06,-1.22e+08,2e+07,9.4e+07,4.91e+08,-1.3e+07,4.78e+08,-1.13e+08,3.65e+08,4.3e+08,4.3e+08,7.95e+08,-8e+06,7.87e+08,7.87e+08,1.439e+09,1.439e+09,2.267e+09,2.267e+09,2.356e+09,7.944e+09,1.4006e+10,5.564e+09,8.36e+08,2.4034e+10,1.661e+10,5.805e+09,1.37e+08,1.482e+09,3.0434e+10,4.444e+10,3.491e+09,2.135e+09,3.52e+08,1.004e+09,6.61e+08,5.494e+09,1.0625e+10,2.184e+09,6.94e+08,5.9e+08,9e+08,1.2809e+10,1.8303e+10,4.9181e+10,-2.2808e+10,-8.45e+08,2.5528e+10,6.09e+08,2.6137e+10,4.444e+10,7.95e+08,2.81e+08,-7.6e+08,-2.3e+08,8.6e+07,-1.35e+08,-1.5e+07,-1.5e+07,2.85e+08,4e+06,1.39e+08,-1.66e+08,2.57e+08,-5e+08,0,-5e+08,-7e+06,-4.16e+08,-1.91e+08,-1.91e+08,-5.3e+07,-2.44e+08,7.8e+08,1.1286e+10,5.28e+08,0.3531,0.15021,0.23691,0.03011,0.01771,0.6709,2.54933,0.70027,0.25396,1.55718,1.55441,6.57301,50.51049,1.04472,0.32845,0.02406,0.01333,0.21093,12.62436,19.73347
