"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",37.11546875,"Up",177494000,-122095000,55399000,-24308000,-4212000,-20096000,31091000,-9445000,-9445000,21646000,-1355000,20291000,-8020000,12271000,12197000,12197000,12197000,7399000,7399000,85872000,85872000,33818000,19988000,127089000,312147000,674936000,18838000,630749000,25349000,987083000,1114172000,73374000,28072000,45302000,13305000,86679000,556276000,20377000,18110000,576653000,663332000,459082000,450840000,450840000,1114172000,12271000,4212000,5318000,6594000,28304000,-16945000,-16945000,-16945000,-4380000,-120681000,0,1000,1000,-92376000,-92376000,-92376000,35303000,569581000,32972000,0.31212,0.17517,0.06872,0.02705,0.01095,2.70329,1.4662,1.47132,0.51121,0.24389,0.24325,3.5491,9.01482,0.65929,0.01172,0.03168,15.92448,18.08182
"12","2013_Q4",43.45390625,"Up",184702000,-125207000,59495000,-26759000,-4414000,-22345000,32736000,-9465000,-9465000,23271000,-984000.000000001,22287000,-7741000,14546000,14364000,14364000,14364000,4034000,4034000,93311000,93311000,45535000,32516000,142880000,329735000,690371000,19183000,647010000,24178000,1020106000,1162986000,87968000,26449000,61519000,13305000,101273000,571955000,23225000,18246000,595180000,696453000,460411000,466533000,466533000,1162986000,14546000,4414000,7062000,-8856000.00000001,16983000,-20969000,-20969000,-20969000,-1251000,-36094000,15750000,-4000,15746000,-3365000,-3365000,-3365000.00000001,37150000,585260000,15066000,0.32211,0.17724,0.07777,0.03079,0.01235,1.04887,1.41084,1.49283,0.50324,0.28706,0.28587,3.69116,9.32339,0.30109,0.01336,0.01401,15.64538,17.75495
"13","2014_Q1",49.3314754098361,"Up",189999000,-131159000,58840000,-25990000,-4842000,-21148000,32850000,-9578000,-9578000,23272000,-3337000,19935000,-7536000,12399000,12280000,12280000,12280000,4569000,4569000,95885000,95885000,44672000,28969000,145126000,370109000,709424000,20568000,661549000,27307000,1079533000,1224659000,99495000,36026000,63469000,15195000,114690000,601941000,27318000,19347000,629259000,743949000,462308000,480710000,480710000,1224659000,12399000,4842000,1626000,-306000,19334000,-18263000,-18263000,-18263000,-4254000,-50931000,31945000,392000,32132000,535000,535000,535000,37692000,617136000,26659000,0.30969,0.1729,0.06463,0.02555,0.01003,2.17093,1.26538,1.5476,0.50392,0.24533,0.24363,3.7958,9.60364,0.53259,0.01091,0.02369,16.25191,18.6474
"14","2014_Q2",43.9520634920635,"Down",201418000,-140790000,60628000,-28546000,-5436000,-23110000,32082000,-9707000,-9707000,22375000,-1579000,20796000,-7775000,13021000,13058000,13058000,13058000,7243000.00000001,7243000.00000001,104585000,104585000,45209000,28180000,157037000,403366000,722542000,20730000,665421000,32066000,1125908000,1282945000,88335000,28405000,59930000,9570000,97905000,653626000,35264000,19865000,688890000,786795000,464690000,496150000,496150000,1282945000,13021000,5436000,4652000,-15794000,7346000,-21649000,-21649000,-21649000,-16275000,-47924000,46125000,-2873000,43252000,2674000,2674000,2673999.99999999,37518000,663196000,7850000.00000001,0.30101,0.15928,0.06483,0.02632,0.01018,0.60116,1.60397,1.5858,0.51693,0.26053,0.25865,4.01872,9.89924,0.15662,0.01093,0.00657,17.48369,20.44614
"15","2014_Q3",48.89125,"Up",213803000,-146849000,66954000,-30581000,-5935000,-24646000,36373000,-9730000,-9730000,26643000,10719000,37362000,-14905000,22457000,22451000,22451000,22451000,277744000,277744000,110904000,110904000,60948000,48192000,449596000,419386000,723570000,20852000,665695000,32796000,1142956000,1592552000,91220000,31515000,59705000,11445000,102665000,555812000,38853000,20959000,594665000,697330000,841311000,895222000,895222000,1592552000,22457000,5935000,-3761000,-2696000,21893000,-21674000,-21674000,-21674000,-2490000,-24164000,-95875000,-5689000,272772000,270501000,270501000,270501000,42308000,567257000,32843000,0.31316,0.17012,0.10501,0.02508,0.0141,1.46287,4.37925,0.77895,0.35619,0.43489,0.4329,4.14154,17.3412,0.6362,0.01495,0.02188,6.84298,7.95956
"16","2014_Q4",58.2028125,"Up",294479000,-200786000,93693000,-41757000,-10325000,-31432000,51936000,-14068000,-14068000,37868000,-4712000,33156000,-7703000,25453000,25402000,25402000,25402000,42179000,42179000,130253000,130253000,57408000,37626000,229840000,1026378000,884250000,21621000,804647000,42049000,1910628000,2140468000,129220000,43260000,85960000,13320000,142540000,1016002000,95350000,30579000,1111352000,1253892000,844120000,886576000,886576000,2140468000,25453000,10325000,-2141000,6186000,39807000,-27357000,-27357000,-27357000,11047000,-729107000,462125000,-7045000,455175000,-234125000,-234125000,-235565000,62261000,1029322000,48793000,0.31817,0.17637,0.08626,0.02865,0.01187,1.92083,1.61246,1.41431,0.48089,0.42861,0.42751,4.96877,14.95927,0.82329,0.01263,0.02426,15.85492,19.00691
"17","2015_Q1",64.1286885245902,"Up",294901000,-200092000,94809000,-42437000,-10971000,-31466000,52372000,-14716000,-14716000,37656000,-2816000,34840000,-12539000,22301000,22129000,22129000,22129000,94040000,94040000,118378000,118378000,61725000,41570000,274143000,1069700000,863112000,21636000,802986000,25349000,1932812000,2206955000,138969000,48696000,90273000,26965000,165934000,1052670000,107386000,43506000,1160056000,1325990000,847893000,880965000,880965000,2206955000,22301000,10971000,6947000,6192000,46240000,-42564000,-42564000,-42564000,-1110000,-59579000,68930000,-2157000,66773000,53434000,53434000,51861000,63343000,1079635000,39510000,0.32149,0.17759,0.07504,0.02512,0.01003,1.78544,1.65212,1.50516,0.4892,0.37354,0.37165,4.9779,14.87062,0.66693,0.0107,0.01911,15.55965,18.81912
"18","2015_Q2",71.9765079365079,"Up",365783000,-250438000,115345000,-53631000,-13104000,-40527000,61714000,-22146000,-22146000,39568000,-18363000,21205000,-6613000,14592000,14594000,14594000,14594000,38032000,38032000,172938000,172938000,114408000,77596000,325378000,1229677000,2072090000,58508000,1904055000,69033000,3301767000,3627145000,195351000,64918000,130433000,35309000,230660000,2018681000,128017000,81382000,2146698000,2377358000,1231510000,1249787000,1249787000,3627145000,14592000,13104000,24911000,-34519000,18222000,-52879000,-52879000,-52879000,-2105000,-104602000,55595000,-22991000,32604000,-53776000.0000001,-53776000,-56008000,74818000,2053990000,-5967000,0.31534,0.16872,0.0399,0.01168,0.00402,-0.40887,1.41064,1.90221,0.56628,0.23339,0.23204,5.84972,19.987,-0.09543,0.00425,-0.00174,26.94483,32.66614
"19","2015_Q3",76.926875,"Up",453660000,-302084000,151576000,-66054000,-14926000,-51128000,85522000,-28049000,-28049000,57473000,-8118000,49355000,-15512000,33843000,33844000,33844000,33844000,34572000,34572000,182315000,182315000,109018000,70325000,325905000,1455390000,2145090000,58514000,1946028000,106582000,3600480000,3926385000,204456000,58714000,145742000,38652000,243108000,1914555000,102418000,82218000,2016973000,2260081000,1568010000,1666304000,1666304000,3926385000,33843000,14926000,13838000,9892000,72919000,-69156000,-69156000,-69156000,-2712000,-308984000,-100937000,-1433000,229160000,-6905000,-6905000,-3460000,100448000,1953207000,56696000,0.33412,0.18852,0.0746,0.02031,0.00862,1.67522,1.34058,1.35634,0.49746,0.49532,0.49285,6.63945,24.38684,0.82976,0.00909,0.01523,19.10078,22.4344
"20","2015_Q4",65.1440625,"Down",479730000,-319345000,160385000,-74134000,-16890000,-57244000,86251000,-27737000,-27737000,58514000,-16839000,41675000,-12669000,29006000,29086000,29550000,29550000,50762000,50762000,214883000,214883000,112626000,75335000,378271000,1624166000,2142802000,58976000,1981140000,69408000,3766968000,4145239000,222456000,78384000,144072000,41996000,264452000,2092317000,109218000,87008000,2201535000,2465987000,1575415000,1670552000,1679252000,4145239000,29006000,16890000,22796000,-15715000,50944000,-78806000,-78806000,-78806000,-19972000,-203260000,171841000,-1096000,170575000,18259000,18259000,16190000,103141000,2134313000,21289000,0.33432,0.17979,0.0616,0.0176,0.00713,0.72044,1.4304,1.4685,0.51488,0.41782,0.41589,6.78313,23.62072,0.30102,0.00753,0.00543,20.201,24.15683
"21","2016_Q1",57.0703278688525,"Down",495319000,-331519000,163800000,-76477000,-18630000,-57847000,87323000,-28810000,-28810000,58513000,-5995000,52518000,-18594000,33924000,33952000,34566000,34566000,11215000,11215000,216626000,216626000,66895000,66895000,294736000,1709053000,2275419000,59575000,2128215000,38515000,3984472000,4279208000,244843000,91341000,153502000,45360000,290203000,2195384000,102538000,78602000,2297922000,2588125000,1573679000,1683028000,1691083000,4279208000,33924000,18630000,23608000,22412000,98318000,-75206000,-75206000,-75206000,-8858000,-267625000,140089000,-8774000,131263000,-38044000,-38044000,-39547000,105953000,2240744000,71753000,0.3307,0.1763,0.06979,0.02044,0.00808,2.07583,1.01562,1.53045,0.52364,0.48851,0.48721,7.00018,23.78569,1.01406,0.00857,0.01779,21.04262,25.53198
"22","2016_Q2",58.4896875,"Up",616813000,-422510000,194303000,-98222000,-27975000,-70247000,96081000,-37714000,-37714000,58367000,-25888000,32479000,-7110000,25369000,25369000,25688000,25688000,36582000,36582000,276880000,276880000,79803000,79803000,393265000,3337765000,2965329000,102593000,2771365000,49618000,6303094000,6696359000,339587000,118210000,221377000,69223000,408810000,3497569000,219374000,124492000,3716943000,4125753000,2476248000,2562870000,2570606000,6696359000,25369000,27975000,18660000,-12721000,58664000,-90089000,-90089000,-90089000,-15262000,-685447000,9942000,-41070000,653969000,27186000,27186000,25367000,124056000,3566792000,28356000,0.31501,0.15577,0.04165,0.00999,0.00384,1.10386,0.96198,1.60497,0.53265,0.30971,0.30794,7.43659,30.89917,0.34187,0.00404,0.00446,28.45658,36.74202
"23","2016_Q3",52.08671875,"Down",756548000,-510255000,246293000,-117707000,-36752000,-80955000,128586000,-48758000,-48758000,79828000,-5976000,73852000,-18261000,55591000,55591000,56445000,56445000,30716000,30716000,285132000,285132000,76519000,76519000,392367000,3274540000,3017592000,84996000,2832201000,42007000,6292132000,6684499000,346391000,108211000,238180000,73410000,419801000,3578383000,237154000,151628000,3815537000,4235338000,2482762000,2436280000,2449161000,6684499000,55591000,36752000,17157000,17048000,124194000,-87629000,-87629000,-87629000,-13753000,-204571000,83800000,-2629000,81171000,794000,794000,-5866000,165338000,3651793000,113018000,0.32555,0.16996,0.07461,0.02305,0.00844,2.00227,0.93465,1.7293,0.54631,0.65214,0.65116,8.74086,28.14784,1.30577,0.00891,0.01783,21.90106,28.16074
"24","2016_Q4",38.8063492063492,"Down",734665000,-506224000,228441000,-116166000,-36418000,-79748000,112275000,-48843000,-48843000,63432000,-179246000,-115814000,-2396000,-118210000,-118210000,-117808000,-117808000,27751000,27751000,277568000,277568000,87628000,87628000,392947000,2786646000,3273385000,84385000,2702009000,433297000,6060031000,6452978000,302640000,92819000,209821000,77598000,380238000,3583879000,228593000,147150000,3812472000,4192710000,2489669000,2242121000,2260268000,6452978000,-118210000,36418000,197101000,-35959000,76799000,-72243000,-72243000,-72243000,-9544000,-81787000,4800000,-1787000,3013000,-1975000,-1975000,-2965000,148693000,3661477000,42887000,0.31095,0.15282,-0.16036,-0.05212,-0.01826,-0.36404,1.03342,1.85496,0.56741,-1.35987,-1.36948,8.4803,25.88098,0.49505,-0.01915,0.00697,24.43777,32.36452
"25","2017_Q1",40.5756451612903,"Up",702888000,-479124000,223764000,-115564000,-33958000,-81606000,108200000,-46010000,-46010000,62190000,-19752000,42438000,-1012000,41426000,41426000,41818000,41818000,57063000,57063000,263327000,263327000,107537000,107537000,427927000,2703695000,2893104000,83310000,2681188000,51317000,5596799000,6024726000,308060000,80034000,228026000,34805000,342865000,3253004000,243379000,164859000,3496383000,3839248000,2497155000,2167724000,2185478000,6024726000,41426000,33958000,21652000,9517000,101821000,-57511000,-57511000,-57511000,-4145000,311440000,-375466000,-3846000,-379312000,33949000,33949000,29312000,142158000,3287809000,95176000,0.31835,0.15394,0.05949,0.01913,0.00694,2.27596,1.24809,1.75671,0.54572,0.48246,0.4765,8.10937,25.00951,1.09807,0.00732,0.01665,22.72645,29.85902
"26","2017_Q2",44.2944444444444,"Up",679194000,-466510000,212684000,-117324000,-33613000,-83711000,95360000,-42757000,-42757000,52603000,-4119000,48484000,-13711000,34773000,34773000,34958000,34958000,43087000,43087000,276089000,276089000,104837000,104837000,424013000,2749538000,2892239000,83718000,2683787000,61727000.0000001,5641777000,6065790000,301052000,92673000,208379000,34805000,335857000,3246577000,229853000,165995000,3476430000,3812287000,2500629000,2235933000,2253503000,6065790000,34773000,33613000,15624000,-26571000,57014000,-50549000,-50549000,-50549000,-7546000,-58095000,-8637999.99999994,-5099000,-13737000,-14818000,-14818000,-13976000,128973000,3281382000,65564000,0.31314,0.1404,0.05147,0.01551,0.00576,1.87551,1.26248,1.69172,0.54097,0.40292,0.40224,7.82824,25.77088,0.75568,0.00606,0.01137,25.10832,33.95863
"27","2017_Q3",48.7385714285714,"Up",715896000,-477990000,237906000,-118323000,-35201000,-83122000,119583000,-43505000,-43505000,76078000,-9862000,66216000,-16578000,49638000,49638000,49630000,49630000,79434000,79434000,288106000,288106000,91972000,91972000,459512000,2866086000,2902424000,84982000,2710333000,59637000,5768510000,6228022000,312162000,81399000,230763000,34805000,346967000,3240473000,246145000,171678000,3486618000,3833585000,2376860000,2376860000,2394437000,6228022000,49638000,35201000,28517000,17640000,130592000,-66972000,-66972000,-66972000,-21242000,-88214000,-8637000,-849000,-9486000,32892000,32892000,36347000,154784000,3275278000,122030000,0.33232,0.16704,0.06933,0.02073,0.00797,2.4588,1.32437,1.60104,0.52589,0.57075,0.5699,8.23285,27.33405,1.40335,0.00839,0.02063,20.64712,26.7249
"28","2017_Q4",34.6507936507937,"Down",716714000,-486305000,230409000,-118770000,-36442000,-82328000,111639000,-44515000,-44515000,67124000,-5665000,61459000,-15970000,45489000,45489000,45618000,45618000,75661000,75661000,295756000,295756000,92407000,92407000,463824000,2966215000,2912547000,86951000,2730362000,65369000,5878762000,6342586000,306401000,95105000,211296000,34805000,341206000,3234146000,261001000,179329000,3495147000,3836353000,2487585000,2487585000,2506233000,6342586000,45489000,36442000,23104000,-20858000,83745000,-76296000,-76296000,-76296000,-10571000,-86867000,-8638000,4319000,-4319000.00000001,-7441000,-7441000,-3773000.00000001,148081000,3268951000,66897000,0.32148,0.15577,0.06365,0.0182,0.00719,1.46646,1.35937,1.53072,0.5154,0.52424,0.52362,8.23639,28.58702,0.76877,0.00756,0.01108,21.56448,28.60371
"29","2018_Q1",36.6667213114754,"Up",724512000,-492792000,231720000,-120420000,-37754000,-82666000,111300000,-45230000,-45230000,66070000,-5431000,60639000,9050000,69689000,69689000,69629000,69629000,67290000,67290000,296925000,296925000,107335000,107335000,471550000,3048130000,2904822000,87348000,2751174000,49572000,5952952000,6424502000,342559000,102299000,240260000,34830000,377389000,3205058000,246767000,166434000,3451825000,3829214000,2518416000,2572871000,2595288000,6424502000,69689000,37754000,9671000,11544000,128226000,-80360000,-80360000,-80360000,-4799000,-103350000,-31392000,-1140000,-32532000,-7656000,-7656000,-8371000,149054000,3239888000,71188000,0.31983,0.15362,0.0961,0.02683,0.01084,1.02239,1.24951,1.47545,0.5043,0.79982,0.79918,8.32237,29.55421,0.81773,0.01145,0.0117,21.28489,28.50492
"30","2018_Q2",40.3278125,"Up",742241000,-515198000,227043000,-128004000,-39773000,-88231000,99039000,-45243000,-45243000,53796000,-5708000,48088000,2786000,50874000,50874000,50819000,50819000,57808000,57808000,325148000,325148000,120937000,120937000,503893000,3151529000,2929307000,91036000,2779401000,55172000,6080836000,6584729000,355811000,122430000,233381000,33830000,389641000,3208088000,260723000,168633000,3468811000,3858452000,2523618000,2701619000,2726277000,6584729000,50874000,39773000,13324000,-31334000,72350000,-70327000,-70327000,-70327000,-8359000,-78686000,-42164597.9536902,-4734000,-4734000,-11070000,-11070000,-9482000,138812000,3241918000,34365000,0.30589,0.13343,0.06847,0.01864,0.00772,0.67622,1.29322,1.41528,0.49234,0.58332,0.58216,8.51966,31.00996,0.39445,0.00816,0.00552,22.93829,32.15006
