"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",6.21125,"Up",68203000,-30266000,37937000,-37389000,-26933000,-10456000,548000,91000,256000,-165000,639000,-1811000,-409000,-2220000,-2220000,-2220000,-2220000,119928000,77592000,43612000,43612000,15658000,5978000,5690000,185176000,11220000,12866000,4273000,8593000,93257000,278433000,24114000,10336000,13778000,60490000,45932000,14558000,84604000,9408000,8007000,1401000,9408000,94012000,818655000,-634087000,-147000,184421000,184421000,278433000,-2220000,1097000,2125000,-2076000,-1074000,-1396000,-7047000,-3877000,925000,-3877000,-11998000,-11998000,-176000,-12174000,1645000,0,-1418000,0.55624,0.00803,-0.03255,-0.01204,-0.00797,0.63874,2.18874,0.50977,4.33680868994202e-19,-0.02388,-0.02388,0.73361,1.98368,-0.01525,-0.01145,-0.00732000000000004,-72.90456,-218.84672
"12","2014_Q1",6.34901639344262,"Up",79462000,-35487000,43975000,-41032000,-30871000,-10161000,2943000,527000,284000,243000,3470000,3470000,-286000,3184000,3184000,3184000,3184000,138837000,95803000,47642000,47642000,16167000,6135000,5749000,208781000,23644000,12223000,4243000,7980000,102643000,311424000,43962000,27163000,16799000,68540000,50572000,17968000,112502000,9777000,8270000,1507000,9777000,122279000,821425000,-630903000,-1377000,189145000,189145000,311424000,3184000,1154000,1569000,19327000,25234000,-8605000,-7654000,1043000,4545000,1043000,18623000,18623000,-412000,18211000,4097000,9.31322574615479e-10,15105000,0.55341,0.03704,0.04007,0.01683,0.01022,4.74403,1.8558,0.64648,0,0.03401,0.03275,0.84887,2.02059,0.16136,0.01601,0.07593,-33.88748,-47.17533
"13","2014_Q2",4.71746031746032,"Down",75916000,-32209000,43707000,-43335000,-29628000,-13707000,372000,20000,275000,-255000,392000,392000,-427000,-35000,-35000,-35000,-35000,199435000,103008000,39297000,39297000,30389000,12120000,11712000,281241000,25807000,11922000,3957000,7965000,37729000,318970000,44848000,28451000,16397000,66366000,50680000,15686000,111214000,14738000,8156000,6582000,14738000,125952000,824799000,-630938000,-843000,193018000,193018000,318970000,-35000,1437000,1975000,-1452000,1925000,-9808000,3254000,1799000,1799000,1799000,6978000,6978000,227000,7205000,1809000,0,-9024000,0.57573,0.0049,-0.00046,-0.00018,-0.000110000000000001,257.82857,2.52883,0.65254,-6.93889390390723e-18,-0.00037,-0.00037,0.80708,2.05203,-0.09594,-0.000170000000000003,-0.04344,-110.24599,-536.11559
"14","2014_Q3",4.854375,"Up",146582000,-76738000,69844000,-83617000,-51827000,-28012000,-13773000,-1289000,-352000,-937000,-15062000,-15062000,-925000,-15987000,-15987000,-15987000,-15987000,112017000,68304000,94337000,94337000,62935000,16136000,15273000,285425000,49416000,182614000,109146000,15546000,232030000,517455000,85597000,54422000,31175000,120029000,93619000,26410000,209689000,28248000,18335000,9913000,123373000,333062000,831261000,-646925000,57000,184393000,184393000,517455000,-15987000,2706000,11839000,-5352000,-6794000,-2754000,-130221000,3004000,3004000,102191000,-34824000,-34824000,120000,-34704000,-11067000,99188000,-18248000,0.47648,-0.09396,-0.10907,-0.0867,-0.0309,1.14142999999996,1.36118,1.80626,0.19168,-0.1679,-0.1679,1.53947,1.93658,-0.19165,-0.05127,-0.05852,1.15921,0.93146
"15","2014_Q4",3.65296875,"Down",141763000,-70907000,70856000,-94249000,-55879000,-30704000,-23393000,-754000,-608000,-146000,-24147000,-24147000,-910000,-25057000,-25057000,-25057000,-25057000,106055000,71355000,94187000,94187000,63142000,17398000,16552000,280782000,47209000,179803000,97205000,18061000,227012000,507794000,69446000,36138000,33308000,122263000,95400000,26863000,220584000,28173000,19667000,8506000,121673000,342257000,837595000,-671982000,-76000.0000000001,165537000,165537000,507794000,-25057000,3624000,18162000,-22477000,-25748000,-4822000,3854000,1493000,1493000,24681000,2787000,2787000,264000,3051000,-19769000,122375000,-46158000,0.49982,-0.16501,-0.17675,-0.15137,-0.04934,1.84212,1.2729,2.06756,0.24099,-0.26082,-0.26082,1.47564,1.72311,-0.48047,-0.07927,-0.14603,-0.825530000000002,-0.697640000000051
"16","2015_Q1",3.26344262295082,"Down",155293000,-72371000,82922000,-96360000,-60144000,-30949000,-13438000,-866000,-649000,-217000,-14304000,-14304000,-1927000,-16231000,-16231000,-16231000,-16231000,105882000,73190000,124664000,124664000,57109000,15201000,14143000,302856000,46554000,177022000,87459000,18686000,223576000,526432000,71536000,37308000,34228000,145084000,106727000,38357000,246308000,31537000,22942000,7331000,123412000,369720000,845364000,-688213000,-439000,156712000,156712000,526432000,-16231000,2861000,18749000,-1605000,3774000,-5076000,-3076000,1721000,1721000,909000,1607000,1607000,228000,1835000,-10577000,121563000,-15331000,0.53397,-0.08653,-0.10452,-0.10357,-0.03083,0.944549999999998,1.22958,2.35923,0.23092,-0.16783,-0.16783,1.60571,1.62038,-0.15852,-0.05239,-0.04948,-1.48256,-1.16691
"17","2015_Q2",2.69666666666667,"Down",136274000,-65747000,70527000,-87725000,-55853000,-27405000,-17198000,-1124000,-690000,-434000,-18322000,-18322000,-1008000,-19330000,-19330000,-19330000,-19330000,104462000,74067000,99980000,99980000,55341000,14555000,13486000,274338000,46258000,168454000,78710000,18867000,214712000,489050000,59595000,29994000,29601000,134613000,98659000,35954000,224708000,30982000,21968000,9014000,121232000,345940000,851915000,-707543000,-1262000,143110000,143110000,489050000,-19330000,3037000,15309000,2616000,1632000,-3036000,-1036000,1738000,1738000,925000,1521000,1521000,-644000,877000,-14161000,120750000,-13573000,0.51754,-0.1262,-0.14185,-0.13507,-0.03953,0.70217,1.22086,2.4173,0.24691,-0.19864,-0.19864,1.40035,1.4706,-0.13948,-0.06556,-0.04603,-1.1502,-0.947089999999994
"18","2015_Q3",2.7878125,"Up",147208000,-72046000,75162000,-86244000,-54277000,-27500000,-11082000,-693000,-629000,-63999.9999999999,-11775000,-11775000,-1330000,-13105000,-13105000,-13105000,-13105000,109293000,88972000,93519000,93519000,54431000,12840000,11929000,270083000,43568000,161660000,69880000,20903000,205228000,475311000,75824000,45503000,30321000,141630000,105525000,36105000,225579000,34616000,23940000,10676000,115616000,341195000,856648000,-720648000,-1884000,134116000,134116000,475311000,-13105000,3369000,15283000,34274000,39821000,-1345000,8706000,-16000,-16000.0000000002,-31641000,16886000,16886000,-1981000,14905000,-7713000,89125000,26546000,0.51058,-0.07528,-0.08902,-0.09771,-0.02757,-2.02564,1.19729,2.54403,0.18751,-0.13281,-0.13281,1.49182,1.35914,0.26902,-0.05082,0.10295,2.61481,1.81989
"19","2015_Q4",3.87671875,"Up",119590000,-61866000,57724000,-78988000,-48937000,-25583000,-21264000,-1164000,-629000,-535000,-22428000,-22428000,-1120000,-23548000,-23548000,-23548000,-23548000,75573000,74067000,78727000,78727000,66811000,10866000,10069000,231977000,42399000,157002000,61096000,25029000,199401000,431378000,74759000,46378000,28381000,138713000,108893000,29820000,223222000,33647000,23141000,7934000,92397000,315619000,861753000,-744196000,-1798000,115759000,115759000,431378000,-23548000,3246000,15265000,-2852000,-7889000,-1798000,14017000,733000,733000,-19891000,-13763000,-13763000,-1142000,-14905000,-18018000,68500000,-21548000,0.48268,-0.17781,-0.19691,-0.20342,-0.05459,0.91507,1.03922,2.72652,0.15879,-0.23599,-0.23599,1.1985,1.16011,-0.21595,-0.10806,-0.09889,0.39255,0.332629999999999
"20","2016_Q1",3.07491803278689,"Down",149868000,-73544000,76324000,-89774000,-52324000,-32983000,-13450000,-861000,-688000,-173000,-14311000,-14311000,-1349000,-15660000,-15660000,-15660000,-15660000,76225000,76225000,92737000,92737000,58014000,11018000,10258000,237994000,39862000,150804000,52132000,27795000,190666000,428660000,74006000,40135000,33871000,150049000,117426000,32623000,235430000,33495000,23231000,7285000,88995000,324425000,865382000,-759856000,-1291000,104235000,104235000,428660000,-15660000,3180000,14464000,1875000,3859000,-1595000,-89000.0000000019,-237000,-237000,-1863000,1907000,1907000,251000,2158000,-10270000,66875000,-8641000,0.50927,-0.08975,-0.10449,-0.15024,-0.03653,0.55179,1.01089,3.11244,0.15601,-0.15625,-0.15625,1.4953,1.04,-0.08622,-0.07654,-0.04223,0.91042,0.69517
"21","2016_Q2",3.4234375,"Up",124581000,-59463000,65118000,-75914000,-45238000,-26209000,-10796000,168000,-799000,967000,-10628000,-10628000,-898000,-11526000,-11526000,-11526000,-11526000,82025000,82025000,60330000,60330000,61679000,11206000,10510000,215240000,35594000,142653000,43241000,28535000,178247000,393487000,60552000,29933000,30619000,135067000,107688000,27379000,208619000,34247000,21945000,9078000,86497000,295116000,871908000,-771382000,-2155000,98371000,98371000,393487000,-11526000,3076000,15136000,-160000,6526000,-633000,-633000,1855000,1855000,230000,6123000,6123000,-323000,5800000,-7720000,65250000,-7615000,0.5227,-0.08666,-0.09252,-0.11717,-0.02929,0.66068,1.03174,3.00003,0.16583,-0.11414,-0.11414,1.23366,0.97411,-0.07541,-0.05825,-0.03849,2.17293,1.55382
"22","2016_Q3",3.94515625,"Up",139305000,-69030000,70275000,-75638000,-46833000,-24554000,-5363000,-668000,-780000,112000,-6031000,-6031000,-1203000,-7234000,-7234000,-7234000,-7234000,85865000,85865000,73110000,73110000,56601000,10630000,9925000,226206000,32948000,133633000,35138000,27618000,166581000,392787000,64946000,25536000,39410000,137193000,107225000,29968000,216764000,33512000,21505000,8536000,80887000,297651000,876328000,-778616000,-2576000,95136000,95136000,392787000,-7234000,2290000,15541000,-3156000,7441000,-776000,-776000,475000,475000,-2775000,3890000,3890000,-50000.0000000001,3840000,-3073000,6.2e+07,-5802000,0.50447,-0.0385,-0.05193,-0.07604,-0.01842,0.80205,1.04356,3.12869,0.15785,-0.07067,-0.07067,1.36081,0.92934,-0.05668,-0.03794,-0.03043,7.76603,4.44993
"23","2016_Q4",4.53047619047619,"Up",124886000,-62166000,62720000,-71631000,-47267000,-20222000,-8911000,-1007000,-741000,-266000,-9918000,-9918000,-866000,-10784000,-10784000,-10784000,-10784000,88334000,88334000,62670000,62670000,52755000,10287000,9710000,214046000,30439000,124506000,27425000,26204000,154945000,368991000,54327000,21127000,33200000,130827000,100645000,30182000,201404000,34802000,22227000,8634000,77302000,278706000,881962000,-789400000,-2277000,90285000,90285000,368991000,-10784000,2838000,11990000,902000,4946000,-1388000,-1388000,2130000,2130000,-1120000,2438000,2438000,31000,2469000,-6073000,58750000,-5693000,0.50222,-0.07135,-0.08635,-0.11944,-0.02923,0.52791,1.06277,3.08696,0.15922,-0.10359,-0.10359,1.19963,0.86726,-0.05469,-0.05866,-0.03097,4.8714,3.31994
"24","2017_Q1",5.99016129032258,"Up",131062000,-63772000,67290000,-72249000,-48237000,-19871000,-4959000,-491000,-665000,174000,-5450000,-5450000,-1369000,-6819000,-6819000,-6819000,-6819000,94122000,94122000,81419000,81419000,40989000,12438000,12438000,228968000,29580000,116301000,19762000,25662000,145881000,374849000,67456000,30711000,36745000,126442000,99751000,26691000,211773000,35254000,21926000,8635000,72879000,284652000,884811000,-791740000,-2874000,90197000,90197000,374849000,-6819000,2598000,11118000,4556000,11453000,-2530000,-2530000,177000,177000,-3073000,5850000,5850000,-62000,5788000,-2361000,55500000,1034000,0.51342,-0.03784,-0.05203,-0.0756,-0.01819,-0.15164,1.0812,3.15589,0.14806,-0.06504,-0.06504,1.25014,0.86035,0.00985999999999999,-0.03768,0.00571,16.35832,7.78826
"25","2017_Q2",8.85238095238095,"Up",122604000,-56718000,65886000,-69908000,-45146000,-20620000,-4022000,-813000,-590000,-223000,-4835000,-4835000,-907000,-5742000,-5742000,-5742000,-5742000,102265000,102265000,68246000,68246000,43395000,11507000,11507000,225413000,30058000,107638000,11707000,25054000,137696000,363109000,56779000,28332000,28447000,128308000,100926000,27382000,204356000,35397000,21540000,8728000,68018000,272374000,891702000,-798219000,-2748000,90735000,90735000,363109000,-5742000,2437000,12033000,846000,9574000,-1635000,-1635000,3416000,3416000,166000,8105000,8105000,38000,8143000,-1585000,51890000,-1467000,0.53739,-0.0328,-0.04683,-0.06328,-0.01581,0.25549,1.10304,3.00186,0.1429,-0.05419,-0.05419,1.15713,0.85635,-0.01385,-0.03225,-0.00824,31.78233,12.52486
"26","2017_Q3",10.2831746031746,"Up",156377000,-76725000,79652000,-82632000,-50422000,-30035000,-2980000,-69999.9999999999,-1095000,1025000,-3050000,-3050000,-1179000,-4229000,-4229000,-4229000,-4229000,103786000,103786000,117819000,117819000,47394000,14806000,14806000,283805000,30599000,135593000,29854000,25026000,166192000,449997000,65257000,26841000,38416000,162622000,122737000,39885000,237899000,39151000,24519000,9017000,126278000,364177000,896498000,-806830000,-3848000,85820000,85820000,449997000,-4229000,2395000,8968000,2580000,9714000,-3027000,-54115000,1415000,1415000,46075000,1674000,1674000,-153000,1521000,-585000,97147000,147000,0.50936,-0.01906,-0.02704,-0.04928,-0.0094,-0.0347600000000002,1.19296,4.2435,0.21588,-0.03937,-0.03937,1.45569,0.79888,0.00137,-0.01904,0.00066,11.34872,2.22785
"27","2017_Q4",12.3392063492063,"Up",149196000,-66392000,82804000,-85423000,-48402000,-35828000,-2619000,-1192000,-941000,-251000,-3811000,-3811000,-1166000,-4977000,-4977000,-4977000,-4977000,117280000,117280000,101960000,101960000,47689000,25343000,25343000,292272000,30409000,133900000,27766000,23454000,164309000,456581000,73829000,35629000,38200000,160238000,123176000,37062000,245216000,39804000,23856000,9808000,123579000,368795000,903319000,-812434000,-3099000,87786000,87786000,456581000,-4977000,2884000,6671000,20095000,24673000,-3170000,-13409000,4349000,4349000,2087000,13351000,13351000,143000,13494000,265000,94924000,18356000,0.555,-0.01755,-0.03336,-0.05669,-0.0109,-3.68817,1.1919,4.20107,0.2079,-0.04557,-0.04557,1.3661,0.80381,0.16808,-0.02237,0.08249,-84.36226,8.53608
"28","2018_Q1",12.6280327868852,"Up",178907000,-76292000,102615000,-86954000,-56520000,-29242000,15661000,-1369000,-771000,-598000,14292000,14292000,-1088000,13204000,13204000,13204000,13204000,130450000,130450000,93115000,93115000,47410000,27867000,27867000,298842000,30240000,130618000,25337000,25065000,160858000,459700000,84833000,31587000,53246000,116092000,79048000,37044000,213205000,40395000,25293000,8526000,120817000,334022000,909266000,-781286000,-2302000,125678000,125678000,459700000,13204000,2902000,5383000,-6167000,15322000,-2593000,-2593000,2642000,2642000,380000,13109000,13109000,61000,13170000,18563000,92702000,10891000,0.57357,0.08754,0.0738,0.10506,0.02872,0.82483,1.40167,2.65776,0.20166,0.11949,0.11949,1.61908,1.13737,0.09856,0.05103,0.04209,-2.03351,-2.41032
"29","2018_Q2",9.598125,"Down",211715000,-99334000,112381000,-107889000,-67746000,-38529000,4492000,1559000,-1568000,3127000,6051000,6051000,-1675000,4376000,4376000,4376000,4376000,153014000,153014000,116500000,116500000,58100000,18237000,18237000,345851000,38627000,213406000,67328000,27524000,252033000,597884000,102876000,50567000,52309000,143040000,90705000,52335000,263779000,48939000,28500000,13235000,198668000,462447000,914111000,-776910000,-1764000,135437000,135437000,597884000,4376000,3125000,7260000,3837000,18598000,-7421000,-70546000,42000,42000,74455000,22507000,22507000,57000,22564000,7617000,167592000,5708000,0.53081,0.02122,0.02067,0.03231,0.00732000000000001,1.30439,1.31114,3.41448,0.28031,0.03899,0.03695,1.88625,1.20666,0.05085,0.01243,0.01622,1.91388,3.24533
