"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"18","2015_Q2",44.4892063492063,"Down",1258765000,-835480000,423285000,-235560000,-118582000,-67593000,-49385000,187725000,-31471000,-29764000,-1707000,156254000,156254000,-58659000,97595000,97595000,97595000,97595000,123832000,123832000,607421000,607421000,387511000,387511000,1118764000,6912541000,8661288000,-1748747000,1083788000,341759000,7996329000,9115093000,397595000,550903000,472113000,472113000,1420611000,2455131000,2175426000,1256443000,573633000,4630557000,6051168000,2182149000,975975000,-94199000,3063925000,3063925000,9115093000,97595000,67868000,60307000,-198355000,27415000,-261313000,-8724000,-270037000,-39592000,344112000,6312000,6312000,13364000,324196000,81574000,81574000,81574000,255593000,3006034000,-145416000,0.33627,0.14913,0.07753,0.03185,0.01071,-1.48999,0.78752,1.97497,0.32979,0.96076,0.96076,12.39174,30.16238,-1.43153,0.38976,0.01664,-0.01764,0.40568,11.27653,15.35332
"19","2015_Q3",45.94328125,"Up",1540068000,-1019330000,520738000,-270528000,-133460000,-68022000,-69046000,250210000,-29008000,-27447000,-1561000,221202000,221202000,-83518000,137684000,137684000,137684000,137684000,95525000,95525000,511830000,511830000,210282000,210282000,817637000,7026078000,8789599000,-1763521000,1082929000,340900000,8109007000,8926644000,295589000,224986000,497927000,497927000,1018502000,2455217000,2313231000,1338755000,623587000,4768448000,5786950000,2192605000,1075177000,-128088000,3139694000,3139694000,8926644000,137684000,68313000,81317000,226119000,513433000,-180331000,-607000,-180938000,-38482000,-328735000,6415000,6415000,0,-360802000,-28307000,-28307000,-28307000,318523000,2680203000,447829000,0.33813,0.16247,0.0894,0.04385,0.01542,3.25259,0.80278,1.84316,0.30025,1.35321,1.35321,15.1364,30.85816,4.40144,0.37822,0.02166,0.05506,0.2795,8.11457,10.33003
"20","2015_Q4",51.75234375,"Up",686401000,-304728000,381673000,-264066000,-132447000,-68444000,-63175000,117607000,-27321000,-27955000,634000,90286000,90286000,-34005000,56281000,56281000,56281000,56281000,43153000,43153000,301743000,301743000,271753000,271753000,616649000,7212088000,9017043000,-1804955000,1055752000,313723000,8267840000,8884489000,227256000,251977000,437344000,437344000,916577000,2455303000,2274354000,1429090000,527124000,4729657000,5646234000,2207609000,1092887000,-62241000,3238255000,3238255000,8884489000,56281000,68731000,41149000,10573000,176734000,-225839000,227000,-225612000,-38571000,26991000,8086000,8086000,0,-3494000,-52372000,-52372000,-52372000,186338000,2707280000,5077000,0.55605,0.17134,0.08199,0.01738,0.00633,0.0902099999999999,0.67277,1.7436,0.30472,0.55177,0.55177,6.72942,31.7476,0.0497699999999996,0.37815,0.01154,0.000620000000000002,0.68533,14.29728,22.65279
"21","2016_Q1",58.1916393442623,"Up",-558249000,863863000,305614000,-248924000,-131917000,-68349000,-48658000,56690000,-29260000,-31075000,1815000,27430000,27430000,-13367000,14063000,23515000,23515000,23515000,28653000,28653000,295160000,295160000,302493000,302493000,626306000,7430580000,9240100000,-1809520000,1018186000,275484000,8448766000,9075072000,238942000,457927000,457954000,457954000,1154823000,2437515000,2287937000,1411315000,589249000,4725452000,5880275000,2231098000,1073029000,-109330000,3194797000,3194797000,9075072000,23515000,69884000,32374000,-31441000,94332000,-296138000,19905000,-274636000,-43373000,217924000,10139000,10139000,-18886000,165804000,-14500000,-14500000,-14500000,126574000,2895442000,-187638000,-0.54745,-0.10155,-0.04212,0.00736,0.00259,-7.9795,0.54234,1.84058,0.31905,0.23,0.23,-5.46013,31.24771,-1.83525,0.42422,0.00798,-0.0224,1.84448,22.64911,50.56957
"22","2016_Q2",63.21578125,"Up",674753000,-240326000,434427000,-241698000,-119828000,-70656000,-51214000,192729000,-30416000,-29537000,-879000,162313000,162313000,-60767000,101546000,102861000,102861000,102861000,78903000,78903000,456904000,456904000,327463000,327463000,863270000,7653287000,9502944000,-1849657000,1038096000,295394000,8691383000,9554653000,280487000,763236000,471333000,471333000,1515056000,2455474000,2312014000,1441325000,580750000,4767488000,6282544000,2242817000,1132254000,-102962000,3272109000,3272109000,9554653000,102861000,71239000,62770000,-166729000,70141000,-290412000,119000,-290293000,-43636000,305309000,8729000,8729000,0,270402000,50250000,50250000,50250000,263968000,3218710000,-132406000,0.64383,0.28563,0.15244,0.03144,0.01077,-1.28723,0.56979,1.92003,0.33687,1.00144,1.00144,6.5693,31.85681,-1.28909,0.42483,0.01664,-0.01504,0.42422,11.89465,16.29131
"23","2016_Q3",65.969375,"Up",890040000,-377356000,512684000,-261028000,-127857000,-71391000,-61780000,251656000,-27888000,-27559000,-329000,223768000,223768000,-80765000,143003000,141810000,141810000,141810000,47918000,47918000,361582000,361582000,243412000,243412000,652912000,7839413000,9722228000,-1882815000,1051601000,308899000,8891014000,9543926000,226641000,626929000,373783000,373783000,1227353000,2455559000,2516449000,1557790000,664282000,4972008000,6199361000,2256386000,1245418000,-157239000,3344565000,3344565000,9543926000,141810000,71972000,78457000,90575000,382814000,-245592000,2361000,-243231000,-43173000,-136307000,8912000,8912000,0,-170568000,-30985000,-30985000,-30985000,323628000,3082488000,249376000,0.57602,0.28275,0.15933,0.0424,0.01486,1.75852,0.53197,1.85356,0.32298,1.37752,1.37752,8.6457,32.48854,2.4224,0.41938,0.02068,0.02788,0.30444,9.37672,12.05841
"24","2016_Q4",62.2698412698413,"Down",456212000,-64583000,391629000,-263233000,-131388000,-72880000,-58965000,128396000,-26561000,-27679000,1118000,101835000,101835000,-35692000,66143000,71193000,71193000,71193000,66206000,66206000,277362000,277362000,305345000,305345000,648913000,8053547000,9972415000,-1918868000,1024908000,282206000,9078455000,9727368000,198882000,920466000,410452000,410452000,1529800000,2205645000,2525199000,1585500000,656120000,4730844000,6260644000,2371900000,1273057000,-178233000,3466724000,3466724000,9727368000,71193000,73459000,44245000,-11906000,176991000,-253684000,3809000,-249875000,-43554000,43537000,107519000,107519000,-16330000,91171999.9999999,18288000,18288000,18288000,201855000,3126111000,-28043000,0.85844,0.28144,0.15605,0.02054,0.00732,-0.3939,0.42418,1.80593,0.32137,0.6862,0.6862,4.39722,33.41421,-0.27029,0.4198,0.01258,-0.00308000000000001,0.61177,15.15893,23.83178
"25","2017_Q1",66.5683870967742,"Up",433643000,-63927000,369716000,-285267000,-159519000,-75864000,-49884000,84449000,-30181000,-30037000,-144000,54268000,54268000,-19418000,34850000,34240000,34240000,34240000,47534000,47534000,215880000,215880000,418272000,267155000,681686000,8268606000,10142506000,-1873900000,1060597000,333635000,9329203000,10010889000,196485000,1079811000,511985000,511985000,1788281000,2188779000,2570770000,1603056000,669971000,4759549000,6547830000,2388547000,1262534000,-188022000,3463059000,3463059000,10010889000,34240000,76426000,29530000,24848000,165044000,-297262000,171000,-296333000,-44763000,159345000,7692000,7692000,-9657000,112617000,-18672000,-18672000,-18672000,160875000,3268590000,-92121000,0.85258,0.19474,0.07896,0.00989,0.00342,-2.69045,0.3812,1.89076,0.3265,0.32707,0.32707,4.14228,33.08012,-0.87997,0.42759,0.00849,-0.0099,1.30733,20.0221,38.14203
"26","2017_Q2",71.5925396825397,"Up",780168000,-311305000,468863000,-258945000,-124938000,-76958000,-57049000,209918000,-32024000,-31030000,-994000,177894000,177894000,-63856000,114038000,125032000,125032000,125032000,44624000,44624000,458813000,458813000,475995000,240513000,979432000,8552962000,10492625000,-1939663000,1046761000,317088000,9599723000,10579155000,268647000,1190747000,490421000,490421000,1949815000,2314199000,2616166000,1725433000,589018000,4930365000,6880180000,2451803000,1339826000,-92654000,3698975000,3698975000,10579155000,125032000,77143000,61504000,-146716000,116963000,-297962000,-94175000,-392137000,-47740000,235936000,58398000,58398000,25670000,272264000,-2910000,-2910000,-2910000,287061000,3504946000,-93761000,0.60098,0.26907,0.16026,0.0338,0.01182,-0.7499,0.50232,1.86002,0.33131,1.18757,1.18757,7.41013,35.13331,-0.89055,0.45344,0.01759,-0.00955,0.38182,12.05431,16.48416
"27","2017_Q3",75.6695238095238,"Up",988186000,-427494000,560692000,-275520000,-132239000,-77667000,-65614000,285172000,-26111000,-26944000,833000,259061000,259061000,-97049000,162012000,164728000,164728000,164728000,45403000,45403000,336637000,336637000,181044000,181044000,563084000,8738487000,10725834000,-1987347000,1059895000,330222000,9798382000,10361466000,185212000,920607000,390253000,390253000,1496072000,2314620000,2715910000,1810160000,599905000,5030530000,6526602000,2464778000,1456980000,-86894000,3834864000,3834864000,10361466000,164728000,77667000,74034000,118611000,435040000,-261423000,3330000,-124533000,-47574000,-270140000,7985999.99999999,7985999.99999999,0,-309728000,779000,779000,779000,362839000,3235227000,317076000,0.5674,0.28858,0.1667,0.04296,0.0159,1.92485,0.37637,1.70191,0.31224,1.55499,1.55499,9.32823,36.20016,2.99312,0.44909,0.02169,0.0324,0.2888,8.79129,11.18561
