"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",0.65046875,"Down",14118627,-11358976,2759651,-2758971,-2758971,-246990.440894035,680,-23831,-23831,-23151,-23151,0,-23151,-23151,-23151,-23151,4632509,4632509,1380343,480048,900295,18577624,243312,1850653,1768861,21792,2093965,20671589,11283658,11283658,1720349,1720349,13504007,44950,44950,1877251,15381258,66414887,-1503496,-59621060,5290331,5290331,20671589,-23151,50133,107614,-965415,-830819,-19994,-19994,-125000,-975813,-975813,-975813,50813,2332301,-934596,0.19546,5e-05,-0.00164,-0.00438,-0.00112,40.36957,1.37571,2.90743,0.11283,-0.00161,-0.00161,0.98343,0.3685,-0.0651,-0.00302,-0.12189,-45.2681,-3382.65882
"12","2013_Q3",0.6803125,"Up",6951373,-4981024,1970349,-2881029,-2769029,-112000,-910680,-54169,-39169,-964849,-964849,-3.5527136788005e-15,-964849,-964849,-964849,-964849,3088122,3088122,1480341,779525,700816,10987912,320682,3145716,1830316,205487,3466398,14454310,4705109,4705109,3959265,3959265,8793374,37275,37275,779618,9572992,66977164,-1510106,-60585740,4881318,4881318,14454310,-964849,61867,120386,-563585,-1346181,-66006,-1166006,968000,-1544187,-1544187,-1544187,-848813,871343,-1478404,0.28345,-0.13101,-0.1388,-0.19766,-0.06675,1.53225999999999,1.24957,1.96115,0.06028,-0.0671,-0.0671,0.48342,0.33946,-0.10281,-0.16664,-0.25534,2.61162,2.43420000000015
"13","2013_Q4",0.5771875,"Down",10293000,-8082000,2211000,-3160000,-3055000,-105000,-949000,-70000,-65000,-1019000,-1019000,0,-1019000,-1019000,-1019000,-1019000,590626,590626,1742283,422560,1319723,14088394,392061,3257641,1906688,167811,3649702,17738096,6971290,6971290,5962481,5962481,13066771,9599,9599,742442,13809213,67045222,-1511686,-61604653,3928883,3928883,17738096,-1019000,82000,-384000,-1421000,-2742000,-168000,-537000,782000,-2497000,-2497000,-2497000,-867000,865843,-2456000,0.21481,-0.0922,-0.099,-0.25936,-0.05745,2.41021,1.07818,3.51479,0.04881,-0.07071,-0.07071,0.71425,0.27263,-0.17043,-0.2121,-0.51121,-0.31744,-0.29001
"14","2014_Q1",0.452295081967213,"Down",13066000,-11034000,2032000,-2750000,-2609000,-141000,-718000,-69000,-69000,-787000,-787000,0,-787000,-787000,-787000,-787000,3291000,3291000,1493000,448000,1045000,13411000,437000,3177000,1907000,154000,3614000,17025000,7590000,7590000,5316000,5316000,13043000,9000,9000,732000,13775000,67154000,-1512000,-62392000,3250000,3250000,17025000,-787000,164000,168000,3299000,2844000,-117000,-117000,-27000,2700000,2700000,2700000,-554000,860000,2628000,0.15552,-0.05495,-0.06023,-0.24215,-0.04623,-3.33926,1.02821,4.23846,0.05051,-0.05483,-0.05483,0.91033,0.22643,0.1831,-0.19107,0.63802,4.38809,3.38578999999998
"15","2014_Q2",0.386666666666667,"Down",7059000,-4824000,2235000,-3063000,-2899000,-164000,-828000,-64000,-64000,-892000,-892000,0,-892000,-892000,-892000,-892000,1092944,1092944,855347,288240,567107,9792660,495397,3118777,1906688,130282,3614174,13406834,5288205,5288205,4866801,4866801,10194006,8949,8949,721292,10915298,67287393,-1511688,-63284169,2491536,2491536,13406834,-892000,122000,491000,-1672000,-1951000,-122000,-122000,-125000,-2198000,-2198000,-2198000,-706000,751343,-2500000,0.31662,-0.1173,-0.12636,-0.35801,-0.06653,2.80269,0.96063,4.38095,0.05604,-0.06166,-0.06166,0.48794,0.17222,-0.17281,-0.27431,-0.7688,0.48385,0.41256
"16","2014_Q3",0.2675,"Down",6302000,-4643000,1659000,-2888000,-2811000,-77000,-1229000,-73000,-73000,-1302000,-1302000,-4.54747350886464e-13,-1302000,-1302000,-1302000,-1302000,1393000,1393000,1425000,446000,979000,9098000,585000,3062000,1907000,108000,3647000,12745000,4451000,4451000,6244000,6244000,10737000,2000,2000,702000,11439000,67404000,-1512000,-64586000,1306000,1306000,12745000,-1302000,119000,63999.9999999999,595000,-524000,-151000,-151000,975000,3e+05,3e+05,3e+05,-1110000,742000,-666000.000000001,0.26325,-0.19502,-0.2066,-0.99694,-0.10216,0.511520000000001,0.84735,8.75881,0.05822,-0.08995,-0.08995,0.43537,0.09022,-0.04601,-0.63512,-0.32488,0.58649,0.529699999999999
"17","2014_Q4",0.27984375,"Up",6214000,-4051000,2163000,-2456000,-2326000,-130000,-293000,-73000,-73000,-366000,-366000,0,-366000,-366000,-366000,-366000,907000,907000,1558000,309000,1249000,8552000,604000,3003000,1907000,83000,3607000,12159000,4647000,4647000,5725000,5725000,10530000,2000,2000,577000,11107000,67516000,-1512000,-64952000,1052000,1052000,12159000,-366000,130000,367000,728000,859000,-91000,-91000,-1254000,-486000,-486000,-486000,-163000,733000,474000,0.34808,-0.04715,-0.0589,-0.34791,-0.0301,-1.29508,0.81216,10.55798,0.06028,-0.02428,-0.02428,0.41221,0.06978,0.03144,-0.20481,0.26525,1.06748,0.59386
"18","2015_Q1",0.516065573770492,"Up",8410000,-5906000,2504000,-2627000,-2510000,-117000,-123000,-67000,-67000,-190000,-190000,-53000,-243000,-243000,-243000,-243000,1378000,1378000,1285000,243000,1042000,6768000,670000,2977000,1907000,91000,3647000,10415000,5547000,5547000,3180000,3180000,8876000,18000,18000,593000,9469000,67653000,-1512000,-65195000,946000,946000,10415000,-243000,21000,233000,2227000,2238000,-143000,-143000,-1624000,471000,471000,471000,-102000,724000,2035000,0.29774,-0.01463,-0.02889,-0.25687,-0.02333,-8.37449,0.76251,10.00951,0.06952,-0.01514,-0.01514,0.52395,0.05894,0.12678,-0.14396,1.20557,6.41176,5.31707
"19","2015_Q2",0.556031746031746,"Up",7272000,-4868000,2404000,-2734000,-2604000,-130000,-330000,-72000,-72000,-402000,-402000,0,-402000,-402000,-402000,-402000,708000,708000,1326000,150000,1176000,5774000,690000,2958000,1907000,107000,3648000,9422000,4756000,4756000,2388000,2388000,7807000,16000,16000,799000,8606000,67925000,-1512000,-65597000,816000,816000,9422000,-402000,114000,126000,-1185000,-1347000,-92000,-92000,769000,-670000,-670000,-670000,-216000,1446000,-1493000,0.33058,-0.04538,-0.05528,-0.49265,-0.04267,3.71393,0.73959,10.54657,0.15347,-0.0263,-0.0263,0.47582,0.05339,-0.09769,-0.17647,-0.6554,-3.41667,-2.23636
"20","2015_Q3",0.3390625,"Down",5847000,-4405000,1442000,-2573000,-2425000,-148000,-1131000,-87000,-87000,-1218000,-1218000,1.45519152283669e-11,-1218000,-1218000,-1218000,-1218000,916000,916000,1694000,659000,1035000,5896000,688000,2905000,1907000,88000,3593000,9489000,5192000,5192000,3154000,3154000,8946000,7000,7000,798000,9744000,68072000,-1512000,-66815000,-255000,-255000,9489000,-1218000,164000,154000,1173000,273000,-107000,-107000,41999.9999999998,208000,208000,208000,-967000,1391000,99000,0.24662,-0.19343,-0.20831,4.77647,-0.12836,-0.08128,0.65907,-38.21176,0.14659,-0.07775,-0.07775,0.37325,-0.01628,0.00631999999999998,-1.06562,0.08661,-0.491209999999999,-0.419980000000001
"21","2015_Q4",0.15109375,"Down",6292000,-4292000,2e+06,-2527000,-2383000,-144000,-527000,-74000,-74000,-601000,-601000,0,-601000,-601000,-601000,-601000,993000,993000,1403000,503000,9e+05,5709000,672000,2857000,1907000,74000,3529000,9238000,4770000,4770000,3821000,3821000,9166000,5000,5000,798000,9964000,68202000,-1512000,-67416000,-726000,-726000,9238000,-601000,144000,132000,305000,-20000,-83000,-83000,180000,77000,77000,77000,-383000,1368000,-161000,0.31786,-0.08376,-0.09552,0.82782,-0.06506,0.26789,0.62285,-13.72452,0.14808,-0.03845,-0.03845,0.40251,-0.04644,-0.0103,-0.9289,-0.24884,-0.97911,-0.71157
"22","2016_Q1",0.100655737704918,"Down",10076000,-7554000,2522000,-2383000,-2239000,-144000,139000,-102000,-111000,37000,37000,-21000,16000,15999.9999999998,15999.9999999998,15999.9999999998,1132000,1132000,1319000,235000,1084000,9514000,702000,2778000,1907000,30000,3480000,12994000,7608000,7608000,4626000,4626000,12521000,37000,37000,1073000,13594000,68331000,-1531000,-67400000,-6e+05,-6e+05,12994000,15999.9999999998,144000,139000,-757000,-458000,-129000,-129000,726000,139000,139000,139000,283000,1323000,-582000,0.2503,0.0138,0.00158999999999999,-0.0266700000000002,0.00123000000000001,-36.375,0.75984,-22.65667,0.10182,0.00103,0.00126,0.64623,-0.03848,-0.03733,0.0210499999999999,-0.76579,0.67491,1.3741
"23","2016_Q2",0.1703125,"Up",7675000,-6370000,1305000,-2399000,-2252000,-147000,-1094000,-73000,-80000,-1167000,-1167000,0,-1167000,-1167000,-1167000,-1167000,869000,869000,1137000,202000,935000,5275000,677000,2743000,1907000,29000,3420000,8695000,5885000,5885000,3210000,3210000,9458000,32000,32000,932000,10390000,68403000,-1531000,-68567000,-1695000,-1695000,8695000,-1167000,147000,77000,1637000,694000,-81000,-81000,-876000,-263000,-263000,-263000,-947000,1263000,609000,0.17003,-0.14254,-0.15205,0.6885,-0.13422,-0.52185,0.55773,-6.12979,0.14526,-0.07453,-0.07453,0.49016,-0.10825,0.03889,2.9175,-1.5225,-0.41605,-0.36015
"24","2016_Q3",0.1090625,"Down",7029000,-4861000,2168000,-2228000,-2077000,-151000,-59999.9999999998,-109000,-111000,-169000,-169000,0,-169000,-169000,-169000,-169000,540000,540000,1119000,425000,694000,4208000,663000,2710000,1907000,30000,3373000,7581000,6177000,6177000,1948000,1948000,8418000,41000,41000,965000,9383000,68465000,-1531000,-68736000,-1802000,-1802000,7581000,-169000,151000,93000,778000,853000,-95000,-95000,-1087000,-329000,-329000,-329000,91000,1217000,774000,0.30844,-0.00853999999999999,-0.02404,0.09378,-0.02229,-4.57988,0.49988,-5.20699,0.16053,-0.01079,-0.01079,0.44868,-0.11503,0.04941,0.310659999999999,-1.42279,7.43956,-11.28333
"25","2016_Q4",0.083968253968254,"Down",5416000,-3955000,1461000,-2131000,-1970000,-161000,-670000,-75000,-72000,-745000,165000,0,165000,165000,165000,165000,978000,978000,746000,291000,455000,4786000,603000,2675000,1907000,29000,3278000,8064000,5887000,5887000,2588000,2588000,8795000,40000,40000,873000,9668000,68498000,-1531000,-68571000,-1604000,-1604000,8064000,165000,161000,-869000,308000,-235000,-66000,480000,193000,438000,438000,438000,-509000,1153000,-267000,0.26976,-0.12371,0.03047,-0.10287,0.02046,-1.61818,0.54417,-6.02743,0.14298,0.01054,0.01051,0.34603,-0.10248,-0.01706,-0.40146,0.64964,-0.34381,-0.26119
"26","2017_Q1",0.0624193548387097,"Down",7253000,-4979000,2274000,-1993000,-1850000,-143000,281000,-114000,-102000,167000,167000,-19000,148000,148000,148000,148000,2152000,2152000,791000,252000,539000,5391000,544000,2641000,1907000,30000,3185000,8576000,5319000,5319000,3555000,3555000,9120000,62000,62000,887000,10007000,68524000,-1532000,-68423000,-1431000,-1431000,8576000,148000,143000,7999.99999999988,621000,920000,-48000,198000,56000,1174000,1174000,1174000,424000,1071000,1016000,0.31353,0.03874,0.02041,-0.10342,0.01726,6.86486,0.59112,-6.99301,0.12488,0.01011,0.01014,0.49529,-0.09772,0.06938,-0.49664,-3.4094,-2.54953,-3.84698
"27","2017_Q2",0.182698412698413,"Up",4389000,-2530000,1859000,-1880000,-1741000,-139000,-21000,-77000,-77000,-98000,223000,31000,254000,254000,254000,254000,1295000,1295000,481000,191000,290000,3319000,475000,2688000,1907000,112000,3163000,6482000,3696000,3696000,3005000,3005000,6799000,16000,16000,851000,7650000,68534000,-1533000,-68169000,-1168000,-1168000,6482000,254000,139000,-301000,-776000,-684000,-33000,281000,-454000,-857000,-857000,-857000,118000,933000,-722000,0.42356,-0.00478,0.05787,-0.21747,0.03919,-2.84252,0.48816,-6.54966,0.14394,0.01636,0.01635,0.28269,-0.07523,-0.0465,-1.15982,3.2968,-3.0678,17.2381
"28","2017_Q3",0.183968253968254,"Up",4198000,-2444000,1754000,-1681000,-1557000,-124000,73000.0000000001,-77000,-74000,-3999.99999999994,-4000,-21000,-25000.0000000001,-24999.9999999999,-24999.9999999999,-24999.9999999999,1026000,1026000,683000,383000,3e+05,3026000,436000,2652000,1907000,112000,3088000,6114000,2940000,2940000,3372000,3372000,6412000,23000,23000,868000,7280000,68561000,-1533000,-68194000,-1166000,-1166000,6114000,-24999.9999999999,124000,37000,-208000,-72000,-47000,-46999.9999999999,-150000,-269000,-269000,-269000,197000,945000,-37000,0.41782,0.01739,-0.00595999999999999,0.0214400000000001,-0.00409,1.48,0.47193,-6.24357,0.15456,-0.00161,-0.00142,0.27087,-0.07524,-0.00239,0.12626,0.18687,-0.41117,-1.10959
"29","2017_Q4",0.350793650793651,"Up",4898000,-2818000,2080000,-1687000,-1578000,-109000,393000,-82000,-82000,311000,311000,-13000,298000,298000,298000,298000,970000,970000,374000,269000,105000,3578000,420000,2616000,1907000,112000,3036000,6614000,2758000,2758000,3149000,3149000,5907000,36000,36000,1447000,7354000,68689000,-1533000,-67896000,-740000,-740000,6614000,298000,109000,48000,-716000,-261000,-61000,-61000,266000,-56000,-56000,-56000,502000,1411000,-262000,0.42466,0.08024,0.06084,-0.4027,0.04506,-0.87919,0.60572,-9.93784,0.21334,0.01923,0.01749,0.31606,-0.04775,-0.01691,0.4215,-0.37058,0.87849,1.12214
"30","2018_Q1",0.484918032786885,"Up",4831000,-2799000,2032000,-1692000,-1583000,-109000,340000,-95000,-95000,245000,245000,-6000,239000,239000,239000,239000,2268000,2268000,337000,114000,223000,3729000,418000,2580000,1907000,112000,2998000,6727000,2841000,2841000,2494000,2494000,5335000,41000,41000,1697000,7032000,68888000,-1536000,-67657000,-305000,-305000,6727000,239000,109000,44000,580000,972000,-71000,-71000,397000,1298000,1298000,1298000,449000,1656000,964000,0.42062,0.07038,0.04947,-0.78361,0.03553,4.03347,0.69897,-23.05574,0.24617,0.01542,0.01454,0.3117,-0.01968,0.0622,0.1717,0.69253,-1.36303,-1.8
"31","2018_Q2",0.47578125,"Down",4849000,-2983000,1866000,-1681000,-1575000,-106000,185000,-93000,-93000,92000,92000,-11000,81000,81000,81000,81000,1837000,1837000,308000,115000,193000,4214000,385000,2544000,1907000,112000,2929000,7143000,2647000,2647000,2801000,2801000,5448000,168000,168000,1870000,7318000,68937000,-1536000,-67576000,-175000,-175000,7143000,81000,106000,95000,-676000,-394000,-37000,-37000,0,-431000,-431000,-431000,291000,1702000,-411000,0.38482,0.03815,0.0167,-0.46286,0.01134,-5.07407,0.77349,-41.81714,0.23828,0.00507,0.00429,0.30365,-0.01096,-0.02574,0.04779,-0.24248,-0.46392,-0.72973
"32","2018_Q3",0.598571428571429,"Up",5367000,-3302000,2065000,-1618000,-1518000,-1e+05,447000,-111000,-111000,336000,336000,-19000,317000,317000,317000,317000,3312000,3312000,595000,270000,325000,5528000,423000,2510000,1907000,109000,2933000,8461000,2901000,2901000,3406000,3406000,6307000,198000,198000,1946000,8253000,69003000,-1536000,-67259000,208000,208000,8461000,317000,1e+05,112000,1053000,1582000,-107000,-107000,-2.91038304567337e-11,1475000,1475000,1475000,547000,1748000,1512000,0.38476,0.08329,0.05906,1.52404,0.03747,4.76972,0.87649,39.67788,0.20659,0.01948,0.01655,0.32973,0.01278,0.09289,0.14717,0.70195,-2.85923,-3.49888
"33","2018_Q4",0.78968253968254,"Up",6371000,-3855000,2516000,-1745000,-1654000,-91000,771000,-102000,-102000,669000,669000,-17000,652000,652000,652000,652000,3186000,3186000,528000,217000,311000,6417000,408000,2486000,1907000,109000,2894000,9311000,3088000,3088000,3330000,3330000,6418000,175000,175000,1970000,8388000,69068000,-1538000,-66607000,923000,923000,9311000,652000,91000,109000,-927000,-75000,-52000,-52000,1000,-126000,-126000,-126000,862000,1795000,-1e+05,0.39491,0.12102,0.10234,0.70639,0.07002,-0.15337,0.99984,9.08776,0.19278,0.04003,0.03332,0.39115,0.05667,-0.00614,0.22537,-0.03457,-1.61369,-1.80415
"34","2019_Q1",0.862786885245902,"Up",5748000,-3712000,2036000,-1713000,-1625000,-88000,323000,-97000,-97000,226000,1366000,21000,1387000,1387000,1387000,1387000,6178000,6178000,420000,266000,154000,7433000,390000,1287000,780000,109000,1677000,9110000,2390000,2390000,2181000,2181000,4571000,220000,220000,2058000,6629000,69243000,-1542000,-65220000,2481000,2481000,9110000,1387000,88000,-1595000,907000,787000,-46000,2098000,107000,2992000,2992000,2992000,411000,1838000,1251000,0.35421,0.05619,0.2413,0.55905,0.15225,0.901949999999999,1.62612,2.67191,0.20176,0.10203,0.08105,0.42283,0.18251,0.09203,0.30557,0.27561,-10.55961,-13.43653
"35","2019_Q2",0.819206349206349,"Down",4660000,-3024000,1636000,-1586000,-1505000,-81000,50000,-73000,-109000,-23000,-23000,-8000,-31000,-31000,-31000,-31000,6026000,6026000,434000,280000,154000,7400000,395000,3098000,780000,1943000,3493000,10893000,2437000,2437000,2604000,2604000,5041000,1558000,1558000,3436000,8477000,69346000,-1679000,-65251000,2416000,2416000,10893000,-31000,81000,-2000,-31000,17000,-63000,-63000,-106000,-152000,-152000,-152000,131000,1878000,45000,0.35107,0.01073,-0.00665,-0.01283,-0.00285,-1.45161,1.46796,3.50869,0.1724,-0.00175,-0.00175,0.26313,0.13642,0.00254,-0.0053,0.00769,-31.66412,-82.96
