"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q2",11.3015625,"Down",50422000,-36169000,14253000,-15809000,-7413000,-8396000,-1556000,34000,-3e+05,334000,-1522000,-1522000,-1330000,-1330000,-1330000,-1330000,53488000,45528000,34868000,34868000,60258000,11865000,6859000,5006000,160479000,123656000,11726000,3959000,7767000,135382000,295861000,34421000,25113000,9308000,40972000,77804000,52178000,52178000,129982000,234246000,-69577000,1210000,165879000,165879000,295861000,-1330000,2957000,1533000,5748000,8908000,-15927000,-1981000,-17908000,26633000,85000,85000,26718000,17718000,17718000,-264000,17454000,1401000,93150000,0.28267,-0.03086,-0.02638,-0.00802,-0.0045,2.06261,0.7836,0.31484,-0.07856,-0.07856,2.97822,9.79778,-0.00513,28.30978,-25.48972
"12","2016_Q3",15.4828125,"Up",55254000,-37952000,17302000,-15330000,-7516000,-7814000,1972000,-1317000,-385000,-932000,655000,655000,603000,603000,603000,603000,42336000,42289000,41536000,41536000,59833000,10006000,5074000,4932000,153711000,136828000,10827000,3962000,6865000,147655000,301366000,46892000,33130000,13762000,28828000,78155000,56040000,56040000,134195000,235355000,-68974000,790000,167171000,167171000,301366000,603000,3284000,2896000,6446000,13229000,-17369000,8596000,-8773000,-8225000,134000.000000002,134000.000000002,-8091000,-3635000,-3635000,396000,-3239000,5256000,84868000,0.31314,0.03569,0.01091,0.00361,0.002,1.96675,0.80274,0.28161,0.0352799999999999,0.03528,3.23298,9.78137,0.00239,8.09209,21.56795
"13","2016_Q4",23.171746031746,"Up",70137000,-46976000,23161000,-16401000,-8039000,-8362000,6760000,-356000,-422000,66000,6404000,6404000,17736000,17736000,17736000,17736000,55954000,55907000,44242000,44242000,54919000,9046000,4761000,4285000,164161000,140516000,22114000,4004000,6254000,162630000,326791000,43729000,32413000,11316000,25092000,72052000,67201000,67201000,139253000,236663000,-51238000,2113000,187538000,187538000,326791000,17736000,3685000,-14076000,-1114000,6231000,-6171000,946000,-5225000,7280000,261000,261000,7541000,8547000,8547000,4637000,13184000,10445000,92293000,0.33023,0.09638,0.25288,0.09457,0.05427,2.27837,0.74253,0.28242,1.03405,0.89388,4.08913,10.93385,0.06338,3.47908,5.37559
"14","2017_Q1",39.4529032258065,"Up",84900000,-52662000,32238000,-16394000,-9186000,-7208000,15844000,-378000,-363000,-15000,15466000,15466000,14225000,14225000,14225000,14225000,50268000,50224000,49766000,49766000,51817000,5701000,3969000,1732000,157552000,144098000,20668000,3993000,5254000,164766000,322318000,51801000,36375000,14452000,7865000,59973000,34961000,34961000,94934000,265282000,-37013000,-885000,227384000,227384000,322318000,14225000,4262000,4950000,5299000,28736000,-10508000,879000,-9629000,-52129000,27616000,27616000,-24513000,-5406000.00000001,-5406000.00000001,-2822000,-8228000,20106000,42826000,0.37972,0.18662,0.16755,0.06256,0.04413,2.62705,0.41751,0.13287,0.80669,0.83731,4.8146,12.89474,0.05264,-0.37014,-0.469700000000002
"15","2017_Q2",58.4166666666667,"Up",96224000,-54752000,41472000,-17157000,-9725000,-7432000,24315000,-872000,-264000,-608000,23443000,23443000,19789000,19789000,19789000,19789000,59714000,59672000,66759000,66759000,57503000,10246000,9385000,861000,194222000,150566000,22838000,3984000,6805000,173404000,367626000,62900000,48252000,10535000,4690000,67590000,23863000,23863000,91453000,288625000,-16024000,3572000,276173000,276173000,367626000,19789000,4302000,2534000,-16949000,9676000,-7497000,-1432000,-8929000,-15050000,22195000,22195000,6779000,7526000,7526000,1043000,8569000,28617000,28553000,0.43099,0.25269,0.20566,0.07165,0.05383,2.87353,0.33114,0.07767,1.06406,1.00441,5.174,14.84992,0.06494,-1.0889,-1.28155
"16","2017_Q3",70.671746031746,"Up",117371000,-64089000,53282000,-19017000,-10944000,-8073000,34265000,-111000,-175000,64000,34154000,34154000,29071000,29071000,29071000,29071000,74867000,74825000,73759000,73759000,59701000,10185000,9131000,1054000,218512000,165154000,23320000,4007000,9287000,188474000,406986000,72118000,53321000,13850000,4552000,76670000,22814000,22814000,99484000,290086000,13047000,4369000,307502000,307502000,406986000,29071000,4627000,4332000,2178000,40208000,-19271000,-2404000,-21675000,-1168000,678000,678000,-1967000,16566000,16566000,-1220000,15346000,38892000,27366000,0.45396,0.29194,0.24768,0.09454,0.07143,2.85003,0.32352,0.06724,1.52334,1.43844,6.15033,16.11333,0.08681,-1.22136,-1.38628
"17","2017_Q4",44.1065079365079,"Down",88879000,-49507000,39372000,-21321000,-12131000,-9190000,18051000,-541000,-187000,-354000,17510000,17510000,19375000,19375000,19375000,19375000,70966000,70930000,73029000,73029000,74552000,11520000,10448000,1072000,230067000,181481000,27156000,4041000,7948000,208637000,438704000,73253000,50993000,16801000,3638000,76891000,37371000,37371000,114262000,285619000,32423000,6400000,324442000,324442000,438704000,19375000,5403000,-2404000,-14760000,7614000,-19997000,1475000,-18522000,13611000,98000,98000,7062000,-3846000,-3846000,-31000,-3877000,23454000,41009000,0.44298,0.2031,0.21799,0.05972,0.04416,2.99212,0.35218,0.09348,1.004,0.94564,4.60563,16.8123,0.05302,-1.27727,-1.65958
"18","2018_Q1",31.1116393442623,"Down",79855000,-47701000,32154000,-21834000,-11164000,-10670000,10320000,-901000,-11000,-890000,9419000,9419000,5716000,5716000,5716000,5716000,82972000,82936000,59850000,59850000,75768000,11107000,8701000,1012000,229697000,197943000,25344000,4007000,8536000,223287000,452984000,70149000,43624000,19103000,559000,70708000,4.9e+07,4.9e+07,119708000,285395000,38138000,9743000,333276000,333276000,452984000,5716000,6049000,5512000,9509000.00000001,26786000,-20531000,-502000,-21033000,8540000,61000,61000,6370000,12123000,12123000,-177000,11946000,16369000,49559000,0.40265,0.12923,0.07158,0.01715,0.01262,3.24853,0.35919,0.10941,0.29448,0.2836,4.11407,17.17013,0.01493,-2.04124,-3.23769
"19","2018_Q2",35.528125,"Up",65239000,-39403000,25836000,-23666000,-11930000,-11736000,2170000,-1046000,-19000,-1027000,1124000,1124000,2120000,2120000,2120000,2120000,82251000,82251000,53655000,53655000,92624000,13295000,10921000,1048000,241825000,204644000,29148000,4015000,11198000,233792000,475617000,67169000,46223000,13358000,2690000,69859000,62464000,62464000,132323000,286958000,40258000,16078000,343294000,343294000,475617000,2120000,6964000,1632000,-14780000,-4064000,-9793000,-2427000,-12220000,15585000,52000,52000,14576000,-1708000,-1708000,1059000,-649000,9134000,65154000,0.39602,0.03326,0.0325,0.00618,0.00446,3.46162,0.38545,0.13699,0.10876,0.10606,3.34692,17.61182,0.00519,-1.8718,-7.8788
"20","2018_Q3",39.198253968254,"Up",87822000,-53959000,33863000,-24920000,-12275000,-12645000,8943000,1387000,-194000,1581000,10330000,10330000,8034000,8034000,8034000,8034000,76190000,76190000,48668000,48668000,93269000,12461000,10070000,1753000,230588000,212105000,29511000,3978000,12382000,241616000,472204000,68544000,51429000,16651000,3161000,71705000,57868000,57868000,129573000,288706000,48292000,5633000,342631000,342631000,472204000,8034000,7327000,4552000,2230000,22143000,-21316000,-1684000,-2.3e+07,-4122000,1000,1000,-5272000.00000001,-6129000,-6129000,773000,-5356000,16270000,61029000,0.38559,0.10183,0.09148,0.02345,0.01701,3.21579,0.37817,0.12924,0.41009,0.40098,4.48284,17.48947,0.0199,-0.93184,-1.69529
"21","2018_Q4",20.1561904761905,"Down",56386000,-38849000,17537000,-27141000,-12961000,-14180000,-9604000,578000,-188000,766000,-9026000,-9026000,-3732000,-3732000,-3732000,-3732000,62402000,56380000,32028000,32028000,107905000,12835000,10377000,1695000,215170000,222545000,43370000,3971000,20906000,265915000,481085000,74429000,53706000,20723000,8275000,82704000,62896000,62896000,145600000,290090000,44560000,835000,335485000,335485000,481085000,-3732000,7516000,1405000,2357000,7546000,-20805000,-1.5e+07,-35805000,10141000,67000,67000,8632000,-19627000,-19627000,-241000,-19868000,-2088000,71171000,0.31102,-0.17033,-0.06619,-0.01112,-0.00776,2.60169,0.434,0.14794,-0.18936,-0.18575,2.86099,17.02228,-0.00918,-4.19971,-0.91306
"22","2019_Q1",15.0795081967213,"Down",58018000,-47481000,10537000,-22814000,-11472000,-11342000,-12277000,71000.0000000002,-423000,494000,-12206000,-12206000,-8568000,-8568000,-8568000,-8568000,55646000,55646000,30534000,30534000,93256000,14839000,11293000,2358000,194275000,234211000,38354000,3977000,12663000,272565000,466840000,49201000,29910000,19291000,23589000,77418000,60328000,60328000,137746000,292500000,35992000,602000,329094000,329094000,466840000,-8568000,7891000,1234000,-12153000,-11596000,-25310000,19821000,-5489000,17216000,0,0,16867000,-218000,-218000,147000,-71000.0000000037,-4386000,83917000,0.18162,-0.21161,-0.14768,-0.02604,-0.01835,2.50943,0.41856,0.17976,-0.4328,-0.46384,2.93073,16.62388,-0.02075,-6.44574,-2.30276
"23","2019_Q2",10.6922222222222,"Down",52719000,-40368000,12351000,-24220000,-13035000,-11185000,-11869000,-1079000,-924000,-155000,-12948000,-12948000,-10474000,-10474000,-10474000,-10474000,74930000,74930000,32123000,32123000,84464000,11757000,7726000,2608000,203274000,242623000,45308000,4001000,17119000,287931000,491205000,40756000,28332000,12424000,18168000,65175000,93974000,102412000,167587000,295150000,25518000,2950000,323618000,323618000,491205000,-10474000,5948000,2758000,1808000,40000,-12966000,3931000,-9035000,28311000,7000,7000,28019000,19024000,19024000,431000,19455000,-5921000,112142000,0.23428,-0.22514,-0.19868,-0.03237,-0.02132,3.1189,0.51785,0.2283,-0.52731,-0.52731,2.65412,16.29244,-0.02358,-6.28475,-3.13523
"24","2019_Q3",10.0240625,"Down",43411000,-32873000,10538000,-24366000,-13215000,-11151000,-13828000,-729000,-1180000,451000,-14557000,-14557000,-11366000,-11366000,-11366000,-11366000,81070000,81070000,28406000,28406000,81475000,10084000,5719000,3053000,201035000,247887000,46200000,4028000,14735000,294087000,495122000,45512000,31526000,13986000,19180000,68127000,107098000,115280000,183407000,297942000,14152000,-379000,311715000,311715000,495122000,-11366000,6016000,2936000,9541000,7127000,-13635000,1832000,-11803000,11545000,-1.45519152283669e-11,-1.45519152283669e-11,11318000,6642000,6642000,-114000,6528000,-7812000,126278000,0.24275,-0.31854,-0.26182,-0.03646,-0.02296,2.95089,0.58838,0.25504,-0.57024,-0.57024,2.17794,15.63883,-0.02547,-5.78699,-3.26931
"25","2019_Q4",10.665,"Up",46084000,-34108000,11976000,-22972000,-12506000,-10466000,-10996000,276000,-1170000,1446000,-10720000,-10720000,-8780000,-8780000,-8780000,-8780000,69994000,69994000,29709000,29709000,82118000,8826000,5685000,2382000,190647000,245535000,47696000,4072000,14262000,293231000,483878000,43616000,28074000,15542000,15803000,64423000,109208000,117170000,181593000,300745000,5372000,-3832000,302285000,302285000,483878000,-8780000,6018000,2613000,-5607000,-5756000,124000,-6283000,-6159000,424000,1000,1000,249000,-11666000,-11666000,55000,-11611000,-4978000,125011000,0.25987,-0.23861,-0.19052,-0.02905,-0.01815,2.9593,0.60073,0.25835,-0.43848,-0.43848,2.30148,15.09643,-0.02017,-11.05203,-5.00336
"26","2020_Q1",10.5527419354839,"Down",48658000,-37322000,11336000,-23390000,-12793000,-10597000,-12054000,-1108000,-1206000,98000.0000000002,-13162000,-13162000,-35429000,-35429000,-35429000,-35429000,59977000,59977000,34654000,34654000,85028000,13145000,5869000,7052000,192804000,248444000,25577000,4081000,14209000,274021000,466825000,50692000,32828000,17864000,33371000,91355000,93593000,101676000,193031000,303421000,-30057000,430000,273794000,273794000,466825000,-35429000,6032000,25499000,733000,-3165000,-2951000,-2168000,-5119000,3201000,6000,6000,3010000,-5274000,-5274000,-74000,-5348000,-6022000,126964000,0.23297,-0.24773,-0.72812,-0.1294,-0.07589,2.11049,0.70502,0.27197,-1.7617,-1.7617,2.41952,13.61439,-0.08666,-11.12371,-5.55724
"27","2020_Q2",9.16555555555555,"Down",40467000,-34129000,6338000,-24132000,-13574000,-10558000,-17794000,-1052000,-1308000,256000,-18846000,-18846000,-16797000,-16797000,-16797000,-16797000,55908000,55908000,25783000,25783000,87109000,13888000,6904000,6609000,182688000,243717000,27131000,4051000,14002000,270848000,453536000,46913000,36236000,10677000,38096000,95514000,92550000,100523000,196037000,306325000,-46854000,-1972000,257499000,257499000,453536000,-16797000,6031000,3161000,-641000,-8246000,-2847000,-353000,-3200000,7192000,-75000,-75000,6854000,-4592000,-4592000,81000,-4511000,-11763000,130646000,0.15662,-0.43972,-0.41508,-0.06523,-0.03704,1.91268,0.76131,0.28806,-0.83119,-0.83119,2.00249,12.74219,-0.0424,-6.35365,-4.20018
"28","2020_Q3",12.11546875,"Up",65222000,-51486000,13736000,-24844000,-14041000,-10803000,-11108000,-467000,-1442000,975000,-11575000,-11575000,-18600000,-18600000,-18600000,-18600000,51131000,51131000,50029000,50029000,97251000,14598000,6610000,7778000,213009000,244126000,20956000,4006000,14814000,265082000,478091000,66711000,51154000,15557000,42234000,119769000,92981000,100867000,220636000,323427000,-65454000,-518000,257455000,257455000,478091000,-18600000,6123000,11770000,-14816000,-15523000,-4068000,-1951000,-6019000,4451000,14007000,14007000,18247000,-3295000,-3295000,-313000,-3608000,-4985000,135215000,0.2106,-0.17031,-0.28518,-0.07225,-0.0389,1.7785,0.85699,0.28282,-0.89172,-0.89172,3.12689,12.34296,-0.04644,-16.8674,-7.56968
"29","2020_Q4",9.1175,"Down",76609000,-57419000,19190000,-25969000,-14763000,-11206000,-6779000,-589000,-1454000,865000,-7368000,-7368000,-9616000,-9616000,-9616000,-9616000,46772000,46772000,51453000,51453000,111427000,20278000,8805000,11296000,229930000,249740000,18117000,4031000,14086000,267857000,497787000,73660000,56134000,17526000,44292000,132318000,92210000,100303000,232621000,335058000,-75070000,5178000,265166000,265166000,497787000,-9616000,6196000,5936000,-8652000,-6136000,-5427000,-429000,-5856000,3515000,8714000,8714000,11877000,-115000,-115000,-726000,-841000,-583000,136502000,0.25049,-0.08849,-0.12552,-0.03626,-0.01932,1.73771,0.87727,0.27422,-0.42249,-0.42249,3.36588,11.65027,-0.02347,-153.91081,-13.23647
"30","2021_Q1",10.0386885245902,"Up",52325000,-41048000,11277000,-24438000,-13612000,-10826000,-13161000,-274000,-1176000,902000,-13435000,-13435000,-13439000,-13439000,-13439000,-13439000,43425000,43425000,43042000,43042000,110397000,12305000,5213000,7090000,209169000,252984000,18652000,3999000,14653000,271636000,480805000,47993000,29482000,18511000,38265000,103148000,91758000,99766000,202914000,354710000,-88509000,11690000,277891000,277891000,480805000,-13439000,6383000,3252000,-10300000,-14104000,-3726000,-546000,-4272000,-5836000,16570000,16570000,10463000,-7913000,-7913000,-40999.9999999999,-7954000,-6778000,130023000,0.21552,-0.25152,-0.25684,-0.04836,-0.02795,2.02785,0.73019,0.27043,-0.56851,-0.56851,2.21349,11.75552,-0.03231,-12.77634,-6.5799
"31","2021_Q2",8.14031746031746,"Down",49701000,-38982000,10719000,-24757000,-13829000,-10928000,-14038000,-1584000,-1415000,-169000,-15622000,-15622000,-15622000,-15622000,-15622000,-15622000,45482000,45482000,47570000,47570000,106336000,10467000,5169000,5296000,209855000,248303000,18204000,3943000,14261000,266507000,476362000,40229000,26201000,14028000,50803000,98415000,91744000,99475000,197890000,371947000,-104131000,10656000,278472000,278472000,476362000,-15622000,6444000,4527000,-10563000,-15214000,-2307000,-115000,-2422000,2655000,15082000,15082000,17475000,-161000,-161000,-615000,-776000,-7594000,142547000,0.21567,-0.28245,-0.31432,-0.0561,-0.03279,2.13235,0.71063,0.29924,-0.59089,-0.59089,1.8799,10.53299,-0.03644,-12.7818,-6.91445
"32","2021_Q3",7.37453125,"Down",54189000,-43411000,10778000,-24427000,-13513000,-10914000,-13649000,5446000,-1351000,6797000,-8203000,-8203000,-8203000,-8203000,-8203000,-8203000,44013000,44013000,48404000,48404000,100399000,15408000,5101000,10305000,208224000,246797000,18123000,3888000,14235000,264920000,473144000,41102000,25593000,15509000,41876000,90485000,97624000,105368000,195853000,375339000,-112334000,14286000,277291000,277291000,473144000,-8203000,6426000,-1691000,3800000,332000,-1353000,-157000,-1510000,2257000,262000,262000,2370000,1192000,1192000,-31000,1161000,-7223000,139500000,0.1989,-0.25188,-0.15138,-0.02958,-0.01734,2.3012,0.70631,0.29484,-0.31027,-0.31027,2.04966,10.48832,-0.01932,-13.21985,-6.9959
"33","2021_Q4",6.376875,"Down",53267000,-45143000,8124000,-23577000,-13428000,-10149000,-15453000,-344000,-1342000,998000,-15797000,-15797000,-15797000,-15797000,-15797000,-15797000,43534000,43534000,43942000,43942000,94507000,18587000,4717000,13868000,200570000,242452000,19502000,3877000,15625000,261954000,462524000,44537000,28333000,16204000,41254000,93335000,97743000,105221000,198556000,378234000,-128131000,13865000,263968000,263968000,462524000,-15797000,6318000,4796000,8182000,3499000,-2108000,-1869000,-3977000,-633000,61000,61000,-870000,-1348000,-1348000,-254000,-1602000,-9135000,138997000,0.15251,-0.2901,-0.29656,-0.05984,-0.03415,2.14893,0.7522,0.30052,-0.58963,-0.58963,1.98821,9.85271,-0.03849,-10.45025,-6.17764
"34","2022_Q1",3.87129032258064,"Down",54408000,-46314000,8094000,-21720000,-12491000,-9229000,-13626000,-912000,-1442000,530000,-14538000,-14538000,-14540000,-14540000,-14540000,-14540000,34656000,34656000,47944000,47944000,92516000,18963000,4334000,14628000,194079000,243035000,17345000,3836000,13509000,260380000,454459000,49989000,34402000,15587000,49689000,108957000,83680000,90932000,199889000,381170000,-142671000,16071000,254570000,254570000,454459000,-14540000,6183000,3558000,4538000,-261000,-2556000,-81000.0000000005,-2637000,-4618000,0,0,-4887000,-7785000,-7785000,24000,-7761000,-7443000,133369000,0.14876,-0.25044,-0.26724,-0.05712,-0.03199,1.78124,0.7852,0.29347,-0.519,-0.519,1.94209,9.08684,-0.03679,-13.26253,-7.24446
