"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2015_Q1",213.774098360656,"Down",-47592000,-8062000,-39530000,-47592000,109000,101000,-47483000,-47483000,-47483000,-47483000,-47483000,-47483000,141327000,38539000,6292000,6292000,149379000,2157000,11222000,11222000,13379000,162758000,44441000,14997000,29444000,44441000,434000,434000,434000,44875000,399194000,117883000,117883000,162758000,-47483000,189000,16564000,12269000,-18461000,22204000,10276000,10276000,10276000,-47403000,0,-0.4028,-0.29174,3.36129,0.38067,0,-1.57014,-1.57014,3.89809,-0.40132,2.98139,2.96955
"12","2015_Q2",181.094603174603,"Down",-52599000,-7871000,-44728000,-52599000,145000,123000,-52454000,-52454000,-52454000,-52454000,-52454000,-52454000,310329000,155466000,6357000,6357000,316686000,2412000,12786000,12786000,15198000,331884000,26077000,12608000,13469000,26077000,1471000,1471000,1471000,27548000,638095000,304336000,304336000,331884000,-52454000,180000,20282000,-18031000,-50023000,-52683000,116927000,116927000,116927000,-52419000,3.5527136788005e-15,-0.17236,-0.15805,12.14427,0.0905200000000001,2.64697796016969e-23,-1.66055,-1.66055,9.63445,-0.17153,5.92016,5.8999
"13","2015_Q3",94.569375,"Down",-64913000,-5532000,-59381000,-64913000,219000,213000,-64694000,-64694000,-64694000,-64694000,-64694000,-64694000,282368000,59837000,5416000,5416000,287784000,2579000,11998000,11998000,14577000,302361000,26099000,10444000,15655000,26099000,1299000,1299000,1299000,27398000,673508000,274963000,274963000,302361000,-64694000,189000,28194000,1764000,-34547000,-68116000,-95629000,-95629000,-95629000,-64724000,0,-0.23528,-0.21396,11.02663,0.09964,0,-2.01175,-2.01175,8.55035,-0.23418,4.36265,4.34995
"14","2015_Q4",78.4934375,"Down",-60733000,-8809000,-51924000,-60733000,316000,318000,-60417000,-60417000,-60417000,-60417000,-60417000,-60417000,247775000,23598000,6888000,6888000,254663000,2532000,14429000,14429000,16961000,271624000,25331000,9783000,15548000,25331000,1452000,1452000,1452000,26783000,703654000,244841000,244841000,271624000,-60417000,199000,24957000,-1606000,-36867000,-4746000,-36239000,-36239000,-36239000,-60534000,0,-0.24676,-0.22243,10.05341,0.10939,-2.11758236813575e-22,-1.87031,-1.87031,7.57947,-0.24531,4.09315,4.07974
"15","2016_Q1",45.185737704918,"Down",-62035000,-9596000,-52439000,-62035000,316000,317000,-61719000,-61719000,-61719000,-61719000,-61719000,-61719000,215889000,31569000,7660000,7660000,223549000,2383000,13910000,13910000,16293000,239842000,32442000,17803000,14639000,32442000,1393000,1393000,1393000,33835000,726654000,206007000,206007000,239842000,-61719000,208000,21680000,6800000,-33031000,39682000,7971000,7971000,7971000,-61827000,0,-0.2996,-0.25733,6.89073,0.16424,0,-1.90169,-1.90169,6.34751,-0.29758,3.49182,3.48012
"16","2016_Q2",31.2625,"Down",-71246000,-11039000,-60207000,-71246000,274000,282000,-70972000,-70972000,-70972000,-70972000,-70972000,-70972000,181214000,78219000,8143000,8143000,189357000,2219000,13598000,13598000,15817000,205174000,38905000,24837000,14068000,38905000,1326000,1326000,1326000,40231000,756386000,164943000,164943000,205174000,-70972000,208000,29510000,6226000,-35028000,81456000,46650000,46650000,46650000,-71038000,4.54747350886464e-13,-0.43028,-0.34591,4.86716,0.24391,0,-2.18521,-2.18521,5.07854,-0.42685,2.55094,2.5435
"17","2016_Q3",50.5640625,"Up",-66481000,-12265000,-54216000,-66481000,-116000,260000,-66597000,-66597000,-66597000,-66597000,-66597000,-66597000,143788000,57836000,8782000,8782000,153749000,5224000,11919000,11919000,17143000,170892000,38968000,24624000,14344000,38968000,4847000,4847000,4847000,43815000,785115000,127077000,127077000,170892000,-66597000,247000,32094000,3446000,-30810000,10427000,-20383000,-20383000,-20383000,-66234000,0,-0.52407,-0.3897,3.94552,0.34479,0,-2.04957,-2.04957,3.91089,-0.50481,2.17091,2.16284
"18","2016_Q4",43.2380952380952,"Down",-65999000,-14022000,-51977000,-65999000,218000,214000,-65781000,-65781000,-65781000,-65781000,-65781000,-65781000,108931000,52541000,7290000,7290000,117400000,5180000,11451000,11451000,16631000,134031000,37599000,20878000,16721000,37599000,5284000,5284000,5284000,42883000,814995000,91148000,91148000,134031000,-65781000,110000,29751000,1029000,-34891000,29467000,-5295000,-5295000,-5295000,-65889000,-7.27595761418343e-12,-0.72169,-0.49079,3.12242,0.47048,0,-2.02421,-2.02421,2.8048,-0.68215,1.65325,1.65049
"19","2017_Q1",36.4874193548387,"Down",-72870000,-16472000,-56398000,-72870000,209000,202000,-72661000,-72661000,-72661000,-72661000,-72661000,-72661000,229476000,194494000,6998000,6998000,236474000,5153000,11163000,11163000,16316000,252790000,37461000,20035000,17426000,37461000,5505000,5505000,5505000,42966000,1006348000,209824000,209824000,252790000,-72661000,584000,29274000,1842000,-40961000,20839000,141957000,141957000,141957000,-72286000,0,-0.34629,-0.28744,6.31254,0.20477,0,-2.03465,-2.03465,5.87548,-0.33744,3.17456,3.14911
"20","2017_Q2",55.9396825396825,"Up",-73202000,-18401000,-54801000,-73202000,337000,350000,-72865000,-72865000,-72865000,-72865000,-72865000,-72865000,193980000,105086000,10654000,10654000,204634000,5e+06,6990000,6990000,11990000,216624000,43730000,23970000,19760000,43730000,5491000,5491000,5491000,49221000,1036829000,167403000,167403000,216624000,-72865000,277000,29764000,6782000,-36042000,-54073000,-89409000,-89409000,-89409000,-72925000,1.16415321826935e-10,-0.43527,-0.33637,4.67949,0.29403,8.67361737988404e-19,-1.97299,-1.97299,4.53284,-0.42144,2.65999,2.64993
"21","2017_Q3",93.0087301587302,"Up",-78182000,-24929000,-53253000,-78182000,350000,380000,-77832000,-77832000,-77832000,-77832000,-77832000,-77832000,151649000,80817000,9155000,9155000,160804000,4888000,7127000,7127000,12015000,172819000,47241000,24668000,22573000,47241000,5470000,5470000,5470000,52711000,1067341000,120108000,120108000,172819000,-77832000,274000,26958000,4688000,-45912000,18079000,-24268000,-24268000,-24268000,-77908000,0,-0.64802,-0.45037,3.40391,0.43886,0,-2.10402,-2.10402,3.24686,-0.61979,1.94651,1.93969
"22","2017_Q4",111.900476190476,"Up",-81991000,-32489000,-49502000,-77440000,260000,305000,-77180000,-77180000,-77180000,-77180000,-77180000,-77180000,106337000,79717000,9281000,9281000,119597000,4714000,57547000,8168000,62261000,181858000,97252000,17644000,79608000,97252000,-215000,-215000,-215000,97037000,1109216000,84821000,84821000,181858000,-77180000,9e+05,26491000,-5118000,-54907000,44076000,-1100000,-1100000,-1100000,-76540000,1.86264514923096e-09,-0.90992,-0.4244,1.22976,1.14402,-6.93889390390723e-18,-2.07395,-2.07395,2.27928,-0.91223,1.3893,1.37315
"23","2018_Q1",74.8811475409836,"Down",-81128000,-30874000,-50254000,-63566000,-512000,-499000,-64078000,-64078000,-64078000,-64078000,-64078000,-64078000,81698000,81698000,12997000,12997000,106394000,4470000,54661000,6306000,59131000,165525000,58340000,27692000,30648000,58340000,4957000,4957000,53434000,111774000,1142217000,53751000,53751000,165525000,-64078000,1360000,25522000,1587000,-35609000,-23518000,1981000,1981000,1981000,-62206000,48477000,-1.19213,-0.38712,1.82369,2.07948,0.29287,-1.70686,-1.70686,1.43177,-0.59783,0.53405,0.52262
"24","2018_Q2",57.95234375,"Down",-83527000,-36602000,-46925000,-23394000,-951000,-905000,-24345000,-24345000,-24345000,-24345000,-24345000,-24345000,78552000,78552000,13583000,13583000,111186000,4320000,54133000,6765000,58453000,169639000,58118000,23560000,34558000,58118000,5441000,5441000,53997000,112115000,1170335000,57524000,57524000,169639000,-24345000,1341000,25352000,-8601000,-6253000,-40000,-3146000,-3146000,-3146000,-22053000,48556000,-0.42321,-0.14351,1.91311,1.94901,0.28623,-0.64577,-0.64577,1.52588,-0.2183,1.36018,1.28221
"25","2018_Q3",48.2142857142857,"Down",-83379000,-40135000,-43244000,-41443000,-2891000,-2258000,-44334000,-44334000,-44334000,-44334000,-44334000,-44334000,134512000,95912000,11730000,11730000,170060000,4311000,53250000,6868000,57561000,227621000,63530000,22336000,41194000,63530000,5364000,5364000,125633000,189163000,1195604000,38458000,38458000,227621000,-44334000,1883000,22473000,2341000,-17637000,-38805000,17360000,17360000,17360000,-39560000,120269000,-1.15279,-0.19477,2.67685,4.91869,0.52837,-1.17224,-1.17224,1.01688,-0.27018,0.36004,0.34368
"26","2018_Q4",30.0126984126984,"Down",-64862000,-28502000,-36360000,-11281000,-2920000,-2909000,-14201000,-14201000,-14201000,-14201000,-14201000,-14201000,127951000,68299000,23878000,12383000,174411000,4240000,52072000,6677000,56312000,230723000,57880000,16363000,41517000,57880000,5876000,5876000,126930000,184810000,1217262000,45913000,45913000,230723000,-14201000,2055000,20807000,-4428000,4233000,-32855000,-27612000,-27612000,-27612000,-9225999.99999999,121054000,-0.3093,-0.06155,3.01332,4.02522,0.52467,-0.37329,-0.37329,1.20687,-0.0821600000000001,0.74756,0.61138
"27","2019_Q1",30.5413114754098,"Up",-79257000,-40932000,-38325000,-18537000,-12141000,-3117000,-30678000,-30678000,-30695000,-30695000,-30695000,-30695000,165421000,108419000,14184000,12397000,203003000,3963000,52156000,7748000,56119000,259122000,67115000,20684000,46431000,67115000,5815000,5815000,157701000,224816000,1236359000,34306000,34306000,259122000,-30695000,2105000,18307000,5835000,-4448000,14077000,40121000,40121000,40121000,-16432000,151886000,-0.89474,-0.11846,3.0247,6.55326,0.58616,-0.80337,-0.80337,0.89788,-0.15986,0.8237,0.73016
"28","2019_Q2",23.0284126984127,"Down",-81234000,-45506000,-35728000,9848000,-19935000,-3571000,-10087000,-10087000,-10087000,-10087000,-10087000,-10087000,150403000,48786000,22134000,11979000,256158000,3718000,71479000,28058000,75197000,331355000,99159000,28878000,70281000,101398000,33634000,33634000,186475000,287873000,1255590000,43482000,43482000,331355000,-10087000,2135000,18139000,-26317000,-16130000,-44583000,-59631000,-59631000,-59631000,11983000,152841000,-0.23198,-0.03044,2.52626,6.62051,0.46126,-0.26212,-0.26212,1.12994,-0.04386,0.20345,0.24756
"29","2019_Q3",10.79859375,"Down",-70382000,-33527000,-36855000,-25780000,-3541000,-3540000,-29321000,-37424000,-37424000,-37424000,-37424000,-37424000,117665000,27164000,11338000,11008000,157609000,3432000,78817000,36383000,82249000,239858000,89322000,15071000,74251000,91661000,32992000,32992000,126426000,218087000,1271213000,21771000,21771000,239858000,-37424000,2100000,23540000,56031000,44247000,11206000,-12771000,-12771000,-12771000,-23680000,93434000,-1.71898,-0.15603,1.71948,10.01732,0.38954,-0.96831,-0.96831,0.5633,-0.25253,1.02327,0.93991
"30","2019_Q4",8.2778125,"Down",-61429000,-31402000,-30027000,-14448000,-2437000,-2483000,-16885000,-16885000,-16885000,-16885000,-16885000,-16885000,110439000,58904000,10351000,9990000,151095000,3204000,77745000,36298000,80949000,232044000,85827000,9056000,76771000,88343000,32336000,32336000,126521000,214864000,1283502000,17180000,17180000,232044000,-16885000,1943000,12213000,-4578000,-7306999.99999999,38972000,31741000,31741000,31741000,-12505000,94185000,-0.98283,-0.07277,1.71032,12.50664,0.40589,-0.43409,-0.43409,0.44168,-0.1175,1.2998,1.125
"31","2020_Q1",9.71467741935484,"Up",-61445000,-31204000,-30241000,-8665000,-2481000,-2578000,-11146000,-11146000,-11199000,-11199000,-11199000,-11199000,111644000,60037000,22586000,13259000,166296000,3304000,65305000,24844000,68609000,234905000,88213000,19183000,69030000,90837000,31643000,31643000,126605000,217442000,1295037000,17463000,17463000,234905000,-11199000,1899000,12719000,-1853000,1566000,-432000,1133000,1133000,1133000,-6766000,94962000,-0.6413,-0.04767,1.83071,12.45158,0.40426,-0.28681,-0.28681,0.44723,-0.07773,2.46556,1.92522
"32","2020_Q2",10.3493650793651,"Up",-56392000,-30937000,-25455000,-14251000,-2682000,-2682000,-16933000,-16933000,-16933000,-16933000,-16933000,-16933000,100555000,83385000,23287000,13937000,158681000,3085000,63763000,24289000,66848000,225529000,86732000,17268000,69464000,90467000,29930000,29930000,125685000,216152000,1303944000,9377000,9377000,225529000,-16933000,1916000,8907000,-5430000,-11540000,34377000,22837000,22837000,22837000,-12335000,95755000,-1.8058,-0.07508,1.75402,23.0513,0.42458,-0.43096,-0.43096,0.23865,-0.12537,0.38914,0.33682
"33","2020_Q3",10.183125,"Down",-54038000,-29347000,-24691000,7129000,-3734000,-3718000,3395000,3395000,3395000,3395000,3395000,3395000,107272000,90896000,25074000,12600000,159224000,2859000,101731000,23583000,104590000,263814000,90589000,11767000,78822000,94526000,49312000,49312000,145885000,240411000,1314576000,23403000,23403000,263814000,3395000,2237000,10630000,-34000,16228000,-9219000,7011000,7011000,7011000,9366000,96573000,0.14507,0.01287,1.68445,10.27266,0.36606,0.0861,0.0861,0.5935,0.02005,-1.14232,-1.50077
"34","2020_Q4",10.12515625,"Down",-52942000,-29598000,-23344000,-12131000,-19332000,-3605000,-31463000,-31463000,-31463000,-31463000,-31463000,-31463000,109024000,90082000,20499000,8025000,159804000,2659000,99232000,23088000,101891000,261695000,107016000,12528000,94488000,118197000,52237000,52237000,143951000,262148000,1322184000,-453000,-453000,261695000,-31463000,2932000,7565000,22686000,1720000,-2578000.00000001,-815000.000000002,-815000.000000002,-815000.000000002,-9199000,97428000,69.45475,-0.12023,1.35201,-578.69316,0.3723,-0.79256,-0.79261,-0.01141,-0.21086,1.26057,0.9559
"35","2021_Q1",11.166393442623,"Up",-52766000,-28606000,-24160000,-11149000,-3638000,-3552000,-14787000,-14787000,-14994000,-14994000,-14994000,-14994000,93389000,85293000,23753000,11262000,146139000,2481000,95600000,21460000,98081000,244220000,94394000,12076000,82318000,114255000,51891000,51891000,135916000,250171000,1331680000,-5951000,-5951000,244220000,-14994000,2948000,10473000,-4062000,-5635000,10823000,-4789000,-4789000,-4789000,-8201000,98311000,2.51958,-0.0614,1.27906,-42.03848,0.40255,-0.37595,-0.37592,-0.14921,-0.10394,-0.60017,-0.44147
"36","2021_Q2",10.132380952381,"Down",-48466000,-28238000,-20228000,20146000,-3580000,-3437000,16566000,16566000,16528000,16528000,16528000,16528000,109050000,95653000,20812000,11589000,163765000,2283000,92611000,20475000,94894000,258659000,111239000,10654000,100585000,140408000,25468000,25468000,101814000,242222000,1337540000,16437000,16437000,258659000,16528000,2951000,5860000,-9678000.00000001,15661000,-5301000,10360000,10360000,10360000,23097000,99203000,1.00554,0.0639,1.16635,14.73639,0.38353,0.41052,0.40416,0.40826,0.11713,-0.42633,-0.48878
"37","2021_Q3",7.48765625,"Down",-58148000,-39510000,-18638000,-16734000,11565000,-3397000,-5169000,-5169000,-5206000,-5206000,-5206000,-5206000,108975000,89848000,20607000,11279000,167751000,2099000,90148000,20015000,92247000,259998000,99767000,11166000,88601000,137900000,23923000,23923000,92629000,230529000,1355779000,29469000,29469000,259998000,-5206000,2935000,17239000,-15042000,-74000,-5731000,-5805000,-5805000,-5805000,-13799000,100135000,-0.17666,-0.02002,1.21647,7.82276,0.38514,-0.12931,-0.1273,0.73195,-0.03391,0.64063,0.52827
"38","2021_Q4",4.3403125,"Down",-44920000,-26084000,-18836000,-8954000,-27535000,-3108000,-36489000,-44635000,-44672000,-44672000,-44672000,-44672000,87543000,63947000,18375000,9074000,136923000,1924000,87440000,19311000,89364000,226287000,110829000,20047000,90782000,116261000,24146000,24146000,120948000,237209000,1360061000,-10922000,-10922000,226287000,-44672000,2441000,12428000,40301000,10498000,-4470000,-25901000,-25901000,-25901000,-6513000,96802000,4.09009,-0.19741,1.17772,-21.71846,0.42778,-1.09454,-1.09454,-0.26761,-0.40601,-1.42162,-1.03406
"39","2022_Q1",2.58661290322581,"Down",-36630000,-22462000,-14168000,6832000,-2396000,-2705000,4436000,4436000,4224000,4224000,4224000,4224000,82106000,63131000,18281000,8984000,140022000,1756000,84807000,18682000,86563000,226585000,103749000,11174000,92575000,109586000,22353000,22353000,119445000,229031000,1364313000,-2446000,-2446000,226585000,4224000,2271000,4253000,-16183000,-5435000,4621000,-816000,-816000,-816000,9103000,97092000,-1.7269,0.01864,1.27774,-93.63491,0.4285,0.10349,0.10349,-0.05993,0.0361,1.64627,2.1935
"40","2022_Q2",2.48629032258065,"Down",-35639000,-20402000,-15237000,-747000,-2619000,-2651000,-3366000,-3366000,-3403000,-3403000,-3403000,-3403000,73907000,63913000,9347000,8716000,117570000,1591000,81524000,17403000,83115000,200685000,69249000,7412000,61837000,74789000,21370000,21370000,118751000,193540000,1377306000,7145000,7145000,200685000,-3403000,2262000,3149000,-28903000,-26895000,8827000,-8068000,-8068000,-8068000,1515000,97381000,-0.47628,-0.01696,1.57202,27.08747,0.48524,-0.08063,-0.0806299999999998,0.16928,-0.02703,15.49439,-31.42436
"41","2022_Q3",2.92,"Up",-32542000,-20576000,-11966000,12058000,-2630000,-2637000,9428000,9428000,9371000,9371000,9371000,9371000,60754000,52756000,12874000,8583000,114280000,1435000,77936000,15818000,79371000,193651000,51138000,9841000,41297000,56834000,19397000,19397000,117079000,173913000,1380527000,19738000,19738000,193651000,9371000,2224000,3220000,-28689000,-13874000,1997000,-11877000,-11877000,-11877000,14282000,97682000,0.47477,0.04839,2.01077,8.81108,0.50442,0.20797,0.2066,0.43805,0.06849,2.58563,3.06253
