"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2019_Q2",22.4155555555556,"Up",192161000,145089000,172561000,-27472000,47072000,33844000,15841000,-5680000,186481000,-92623000,-13645000,-78978000,93858000,93858000,93858000,-23934000,69924000,69924000,69924000,69924000,336555000,281312000,4933596000,13055908000,-141546000,13197454000,310902000,995492000,49489000,477882000,20441136000,16795244000,10951764000,5843480000,304817000,17827934000,2499169000,326451000,-78754000,2613202000,2613202000,20441136000,69924000,14588000,5680000,21819000,-48607000,63404000,-5816000,-51170000,-768000,-57754000,-35067000,-354824000,-391420000,-385770000,-385770000,-385770000,108446000,600028000,0.48843,0.36388,0.02676,0.00342,6.82226,0.02935,0.51842,0.5172,1.42469,19.37437,0.25999,0.00514,0.5015,2.42953,2.80714
"12","2019_Q3",22.2034375,"Down",194386000,145613000,173818000,-28205000,48773000,34155000,14597000,-3870000,190516000,-93290000,-14303000,-78987000,97226000,97226000,97226000,-24793000,72433000,72433000,72433000,72433000,423802000,259713000,4846198000,13126074000,-138535000,13264609000,313200000,995492000,49205000,512683000,20526367000,16792078000,11028921000,5763157000,346210000,17866926000,2501345000,363748000,-31984000,2659441000,2659441000,20526367000,72433000,18371000,3870000,4348000,-18183000,80839000,-9482999.99999999,73040000,-661000,62896000,-34917000,-3166000,-78086999.9999999,65648000,65648000,65648000,115597000,600028000,0.50017,0.37262,0.02724,0.00353,6.7183,0.02923,0.53881,0.53793,1.44599,19.78293,0.25974,0.00523,0.48206,1.52449,1.81254
"13","2019_Q4",24.30984375,"Up",193061000,143081000,170181000,-27100000,49980000,34296000,15684000,0,193061000,-93466000,-14649000,-78817000,99595000,99595000,99595000,-25396000,74199000,74199000,74199000,74199000,358863000,985154000,4610492000,12710432000,-132964000,12843396000,315309000,995492000,44671000,577807000,20598220000,16857246000,11136424000,5720822000,357956000,17943662000,2502723000,403317000,-18774000,2654558000,2654558000,20598220000,74199000,17017000,0,13286000,-77678000,26824000,220837000,441725000,-594000,661968000,-34408000,65168000,-28290000,660502000,660502000,660502000,116612000,600018000,0.51587,0.38433,0.02795,0.0036,6.75957,0.02913,0.55973,0.55853,1.45639,20.02516,0.25956,0.00527,0.46373,2.06801,2.42136
"14","2020_Q1",22.0520967741935,"Down",186327000,139619000,162132000,-22513000,46708000,34485000,12346000,-4250000,182077000,-91058000,-13724000,-77334000,91019000,91019000,91019000,-23183000,67836000,67836000,67836000,67836000,360375000,333642000,4529517000,13081120000,-130530000,13211650000,316885000,995492000,45239000,504464000,20166734000,16444994000,10564922000,5880072000,343241000,17526476000,2505076000,437072000,-31749000,2640258000,2640258000,20166734000,67836000,17848000,4250000,7425000,28078000,125437000,316083000,-588334000,9707000,-291898000,-33854000,-412252000,-483539000,-6.5e+08,-6.5e+08,-6.5e+08,108867000,600019000,0.48849,0.36407,0.02569,0.00336,6.63817,0.02975,0.52008,0.51841,1.42851,20.24204,0.25955,0.00504,0.49906,2.20125,2.6329
"15","2020_Q2",14.8388888888889,"Down",187911000,138683000,158532000,-19849000,49228000,32438000,16705000,-41200000,146711000,-96466000,-16055000,-80411000,50245000,50245000,50245000,-11380000,38865000,38865000,38865000,38865000,353908000,698924000,4513683000,13214257000,-166013000,13380270000,321254000,995492000,43552000,614821000,20755891000,17020002000,11274463000,5745539000,332789000,18091206000,2507878000,429323000,4129000,2664685000,2664685000,20755891000,38865000,17121000,41200000,42302000,-191337000,-51849000,64960000,-174346000,-129000,-124058000,-33782000,575008000,534722000,358815000,358815000,358815000,67366000,600019000,0.26739,0.20683,0.01459,0.00187,6.78925,0.02891,0.2992,0.29816,1.44663,20.51403,0.26007,0.0035,0.86921,3.65334,4.89822
"16","2020_Q3",14.77015625,"Down",173478000,127822000,140619000,-12797000,45656000,24709000,21158000,-55446000,118032000,-91450000,-15478000,-75972000,26582000,26582000,26582000,-6533000,20049000,20049000,20049000,20049000,347592000,1507630000,5594495000,13571910000,-192120000,13764030000,322919000,995492000,58420000,595257000,22993715000,19361634000,12481543000,6880091000,391541000,20291818000,2510672000,415296000,52731000,2701897000,2701897000,22993715000,20049000,16937000,55446000,65990000,1980000,160402000,-1027319000,-432323000,23000.0000000009,-1465722000,-33765000,2341632000,2107710000,802390000,802390000,802390000,43519000,400019000,0.15323,0.11557,0.00742,0.00087,7.51021,0.0174,0.15439,0.15425,1.33592,20.80675,0.26002,0.00234,1.68412,1.20469,1.97227
"17","2020_Q4",18.23125,"Up",182900000,134002000,141927000,-7925000,48898000,29593000,19281000,-5072000,177828000,-91629000,-15073000,-76556000,86199000,86199000,86199000,-21098000,65101000,65101000,65101000,65101000,333744000,482585000,6155305000,13304093000,-195876000,13499969000,321229000,995492000,66005000,652248000,22310701000,18897762000,11989492000,6908270000,340189000,19576767000,2513251000,446315000,51254000,2733934000,2733934000,22310701000,65101000,15540000,5072000,101268000,-194597000,-7616000,-578909000,252417000,26000,-333537000,-33775000,-463872000,-697740000,-1038893000,-1038893000,-1038893000,101739000,200010000,0.47129,0.35594,0.02381,0.00292,7.16066,0.00896,0.50118,0.50054,1.40805,21.04707,0.26002,0.00443,0.51881,-1.31448,-1.55146
"18","2021_Q1",24.7473770491803,"Up",188825000,135227000,141681000,-6454000,53598000,30756000,22854000,-2e+07,168825000,-88127000,-13940000,-74187000,80698000,80698000,80698000,-18959000,61739000,61739000,61739000,61739000,303373000,737571000,6537952000,13070643000,-208454000,13279097000,322401000,995492000,69626000,625773000,22662831000,19227723000,11705609000,7522114000,490994000,19918727000,2515416000,473974000,31604000,2744104000,2744104000,22662831000,61739000,13473000,2e+07,88972000,-75615000,108569000,-427351000,249223000,3355000,-180446000,-33777000,329961000,296491999.999999,224615000,224615000,224615000,94171000,200010000,0.42737,0.32696,0.0225,0.00272,7.25874,0.00883,0.47524,0.47313,1.45348,21.12275,0.26,0.00421,0.54709,-1.09761,-1.28086
"19","2021_Q2",26.0371428571429,"Up",173026000,129158000,134576000,-5418000,43868000,30115000,13753000,7681887.58775412,173026000,-96306000,-17188000,-79118000,76720000,76720000,76720000,-19027000,57693000,57693000,57693000,57693000,278994000,983816000,7161406000,13099923000,-200366000,13300289000,319949000,995492000,69879000,588137000,23497596000,20133681000,11958606000,8175075000,336539000,20813966000,2518453000,497418000,-43435000,2683630000,2683630000,23497596000,57693000,13643000,-7681887.58775412,70063000,12801000,154200000,-742071000,-45531000,-1171000,-792564000,-33812000,905958000,860230000,221866000,221866000,221866000,90363000,200010000,0.4434,0.33344,0.0215,0.00246,7.7559,0.00851,0.44402,0.44179,1.33165,20.65394,0.26023,0.00389,0.58607,-0.87407,-1.02951
"20","2021_Q3",26.0940625,"Up",180852000,131481000,136222000,-4741000,49371000,33681000,15588000,3.5e+07,215852000,-99388000,-16516000,-82872000,116464000,116464000,116464000,-29723000,86741000,86741000,86741000,86741000,347861000,1558437000,7420332000,12934637000,-169148000,13103785000,319452000,995492000,66734000,603383000,24246328000,20835115000,12245193000,8589922000,335771000,21514987000,2522195000,550511000,-29702000,2731341000,2731341000,24246328000,86741000,13924000,-3.5e+07,27203000,1128000,93996000,-287315000,191993000,4377000,-95449000,-33636000,701434000,644941000,643488000,643488000,643488000,130388000,2e+08,0.64397,0.47962,0.03176,0.00358,7.87708,0.00825,0.67039,0.66858,1.39773,21.10947,0.25996,0.00496,0.38778,-1.13401,-1.26959
"21","2021_Q4",26.436875,"Up",182697000,132593000,137204000,-4611000,50104000,33239000,16865000,4e+06,186697000,-101036000,-15042000,-85994000,85661000,85661000,85661000,-21382000,64279000,64279000,64279000,64279000,268467000,2130615000,8422695000,12673093000,-161246000,12834339000,317272000,995492000,64855000,675833000,25548322000,22120003000,13246579000,8873424000,516585000,22836588000,2525574000,581094000,-61463000,2711734000,2711734000,25548322000,64279000,14268000,-4e+06,10889000,-36979000,48457000,-1052927000,269647000,996000,-785302000,-33441000,1284888000,1229629000,492784000,492784000,492784000,99929000,2e+08,0.46887,0.35183,0.0237,0.00252,8.4214,0.00783,0.4996,0.49748,1.42,21.07674,0.25992,0.00382,0.52025,-0.68516,-0.79928
"22","2022_Q1",27.6125806451613,"Up",178900000,137327000,141309000,-3982000,41573000,32633000,8940000,0,178900000,-108749000,-14603000,-94146000,70151000,70151000,70151000,-13129000,57022000,57022000,57022000,57022000,246716000,1011753000,8899851000,12804737000,-157262000,12961999000,318448000,995492000,63158000,652255000,24992410000,21816146000,12422283000,9393863000,519352000,22335498000,2529069000,604534000,-121693000,2656912000,2656912000,24992410000,57022000,10009000,0,15325000,38116000,120472000,-572554000,-129027000,3701000,-703004000,-33244000,-303857000,-558081000,-1140613000,-1140613000,-1140613000,80160000,-2.98023223876953e-08,0.39212,0.31874,0.02146,0.00228,8.40656,1.73472347597681e-18,0.46138,0.45797,1.44753,21.49787,0.26899,0.00361,0.583,-3.07779,-3.51693
"23","2022_Q2",24.213064516129,"Down",175252000,133872000,136621000,-2749000,41380000,32005000,9375000,5747000,180999000,-104042000,-17147000,-86895000,76957000,76957000,76957000,-19238000,57719000,57719000,57719000,57719000,274022000,1352138000,8533785000,12741463000,-150280000,12891743000,315766000,995492000,61561000,768493000,25042720000,22270430000,12504821000,9765609000,487141000,22757571000,2532204000,628642000,-517502000,2285149000,2285149000,25042720000,57719000,15581000,-5747000,25954000,-27245000,66262000,-179640000,65828000,5815633.45782963,-116507000,-33151000,454284000,417936000,367691000,367691000,367691000,92538000,0,0.43912,0.32935,0.02526,0.0023,9.9589,0,0.4525,0.4505,1.37392,17.91483,0.25989,0.00363,0.57435,-2.96118,-3.56072
"24","2022_Q3",24.575,"Up",189284000,145147000,149744000,-4597000,44137000,32917000,11220000,-1e+06,188284000,-109175000,-18617000,-90558000,79109000,79109000,79109000,-19749000,59360000,59360000,59360000,59360000,279629000,1254047000,8531503000,13113839000,-148942000,13262781000,310047000,995492000,63240000,829736000,25377533000,22601454000,12990571000,9610883000,523468000,23124922000,2534816000,654777000,-571457000,2252611000,2252611000,25377533000,59360000,15291000,1e+06,6105000,17726000,99482000,-93107000,-384326000,-1744000,-482448000,-33212000,331024000,290482000,-92484000,-92484000,-92484000,94400000,0,0.41794,0.3136,0.02635,0.00234,10.26583,-4.33680868994202e-19,0.46494,0.4637,1.48258,17.6437,0.26013,0.00365,0.5595,-2.96217,-3.53473
