"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",28.43875,"Up",273795000,-79002000,194793000,-174666000,-11634000,-26178000,20127000,-1462000,-1528000,66000,18665000,-5595000,13070000,-3915000,9155000,9155000,9155000,9155000,437000,437000,126597000,126597000,32585000,32585000,159619000,360901000,722265000,-361364000,14534000,9250000,5284000,375435000,535054000,53476000,53476000,22143000,71569000,71569000,147188000,36613000,87250000,55611000,31639000,123863000,271051000,207274000,58894000,-2165000,264003000,264003000,535054000,9155000,11634000,1431000,-15202000,7018000,-6015000,-6015000,-1945000,1058000,1058000,-887000,116000,116000,116000,31761000,58756000,14459000,0.71146,0.07351,0.03344,0.03468,0.01711,1.57936,1.08446,1.0267,0.10981,0.3817,0.36696,11.41526,11.007,0.60284,0.02233,0.03527,1.83618,2.89755
"12","2013_Q3",31.10796875,"Up",292557000,-78154000,214403000,-185261000,-12386000,-28566000,29142000,-1589000,-1618000,29000,27553000,-5883000,21670000,-8170000,13500000,13500000,13500000,13500000,2872000,2872000,130929000,130929000,33601000,33601000,167402000,418270000,787616000,-369346000,14845000,9098000,5747000,433115000,600517000,59597000,59597000,14643000,73405000,73405000,147645000,84378000,87248000,55733000,31515000,171626000,319271000,211078000,72394000,-2226000,281246000,281246000,600517000,13500000,12386000,1100000,-2022000,24964000,-64804000,-64804000,40261000,2600000,2600000,42275000,2435000,2435000,2435000,41528000,99021000,-17128000,0.73286,0.09961,0.04614,0.048,0.02248,-1.26874,1.13381,1.1352,0.16489,0.55875,0.53364,12.10865,11.6405,-0.70891,0.02888,-0.03664,2.31528,3.29933
"13","2013_Q4",32.67078125,"Up",293087000,-75803000,217284000,-188742000,-13745000,-27692000,28542000,-1675000,-1760000,85000,26867000,-6607000,20260000,-7352000,12908000,12908000,12908000,12908000,4060000,4060000,127542000,127542000,37551000,37551000,169153000,421879000,787677000,-365798000,14643000,8943000,5700000,436522000,605675000,48974000,48974000,14643000,79624000,79624000,143241000,76863000,90729000,59514000,31215000,167592000,310833000,211786000,85302000,-2246000,294842000,294842000,605675000,12908000,13745000,378000,8544000,35575000,-26922000,-26922000,-7515000,50000,50000,-7465000,1188000,1188000,1188000,42287000,91506000,31261000,0.74136,0.09738,0.04404,0.04378,0.02131,2.42183,1.1809,1.05424,0.15108,0.53288,0.51074,12.09953,12.17199,1.29055,0.02706,0.06553,2.06792,3.06377
"14","2014_Q1",34.5149180327869,"Up",279655000,-73405000,206250000,-184149000,-13799000,-26331000,22101000,-1547000,-1584000,37000,20554000,-7409000,13145000,-5081000,8064000,8064000,8064000,8064000,159000,159000,117937000,117937000,52157000,13156000,170253000,432226000,797527000,-365301000,14322000,3558000,5533000,446548000,616801000,50799000,50799000,7143000,82915000,82915000,140857000,69740000,101412000,69916000,31496000,171152000,312009000,213672000,93366000,-2246000,304792000,304792000,616801000,8064000,13799000,15904000,-4012000,33755000,-24279000,-24279000,-14617000,1240000,1240000,-13377000,-3901000,-3901000,-3901000,35900000,76883000,12690000,0.73752,0.07903,0.02884,0.02646,0.01307,1.57366,1.20869,1.02368,0.12465,0.33258,0.31872,11.53359,12.5703,0.52336,0.01669,0.02627,2.13716,3.47152
"15","2014_Q2",41.5079365079365,"Up",299730000,-79959000,219771000,-195022000,-13841000,-30959000,24749000,-1286000,-1316000,30000,23463000,-9518000,13945000,-5369000,8576000,8576000,8576000,8576000,842000,842000,141917000,141917000,43609000,43609000,186368000,443278000,820386000,-377108000,14199000,8635000,5564000,457477000,643845000,66098000,66098000,7143000,82628000,82628000,155869000,72576000,100666000,68612000,32054000,173242000,329111000,215027000,101942000,-2235000,314734000,314734000,643845000,8576000,13841000,2048000,-20346000,4119000,-8223000,-8223000,2831000,1956000,1956000,4787000,683000,683000,683000,38590000,79719000,15390000,0.73323,0.08257,0.02861,0.02725,0.01332,1.79454,1.19567,1.04568,0.12382,0.35173,0.33816,12.29309,12.90846,0.6312,0.01732,0.03108,2.04398,3.18708
"16","2014_Q3",47.54203125,"Up",330399000,-81276000,249123000,-212205000,-15087000,-36914000,36918000,-1142000,-1177000,35000,35776000,-14177000,21599000,-8031000,13568000,13568000,13568000,13568000,1788000,1788000,148850000,148850000,43877000,43877000,194515000,474152000,863193000,-389041000,14024000,8481000,5543000,488176000,682691000,62885000,62885000,7143000,83424000,83424000,153452000,88597000,110404000,68472000,41932000,199001000,352453000,216951000,115510000,-2223000,330238000,330238000,682691000,13568000,15087000,2270000,11831000,42756000,-58433000,-58433000,16020000,603000,603000,16623000,946000,946000,946000,52005000,95740000,13434000,0.75401,0.11174,0.04107,0.04109,0.01987,0.99012,1.2676,1.06727,0.14024,0.55411,0.53352,13.49338,13.48681,0.54864,0.0253,0.02505,1.8066,2.54488
"17","2014_Q4",52.12171875,"Up",332544000,-80206000,252338000,-218233000,-15336000,-36544000,34105000,-1080000,-1064000,-16000,33025000,-6956000,26069000,-9791000,16278000,16278000,16278000,16278000,7244000,7244000,146597000,146597000,39619000,39619000,193460000,472115000,869573000,-397458000,13919000,8328000,5591000,486034000,679494000,57460000,57460000,8120000,87701000,87701000,153281000,65188000,111922000,69422000,42500000,177110000,330391000,219537000,131788000,-2222000,349103000,349103000,679494000,16278000,15336000,1779000,11749000,45142000,-10527000,-10527000,-30759000,1600000,1600000,-29159000,5456000,5456000,5456000,49441000,73308000,60454000,0.75881,0.10256,0.04895,0.04663,0.02396,3.71385,1.26213,0.9464,0.10789,0.66368,0.63795,13.55828,14.23342,2.46479,0.03046,0.11314,1.33622,1.93708
"18","2015_Q1",46.0883606557377,"Down",309648000,-73347000,236301000,-208817000,-14758000,-31205000,27484000,-957000,-1007000,50000,26527000,-6912000,19615000,-6046000,13569000,13569000,13569000,13569000,4367000,4367000,128367000,128367000,37442000,13687000,170176000,483640000,891145000,-407505000,13169000,2943000,4995000,496809000,666985000,42388000,42388000,9138000,78953000,78953000,130479000,73897000,95703000,58946000,36757000,169600000,300079000,223738000,145357000,-2189000,366906000,366906000,666985000,13569000,14758000,11977000,-30151000,10153000,-17662000,-17662000,1168000,3464000,3464000,4632000,-2877000,-2877000,-2877000,42242000,83035000,475000,0.76313,0.08876,0.04382,0.03698,0.02034,0.0350100000000007,1.30424,0.81786,0.12449,0.55103,0.5312,12.57454,14.89974,0.0192900000000003,0.02487,0.000869999999999982,1.86232,2.86232
"19","2015_Q2",41.3298412698413,"Down",293022000,-67145000,225877000,-199807000,-15199000,-26879000,26070000,-968000,-1019000,51000,25102000,-4837000,20265000,-7660000,12605000,12605000,12605000,12605000,196000,196000,140330000,140330000,55492000,55492000,196018000,507195000,924466000,-417271000,36310000,30987000,5323000,543505000,739523000,57346000,57346000,9560000,80135000,80135000,147041000,98076000,115153000,76853000,38300000,213229000,360270000,223871000,157962000,-2580000,379253000,379253000,739523000,12605000,15199000,2060000,-3704000,26160000,-29770000,-52850000,21131000,1842000,1842000,22519000,-4171000,-4171000,-4171000,41269000,107636000,15455000,0.77085,0.08897,0.04302,0.03324,0.01704,1.2261,1.33308,0.94995,0.14555,0.5082,0.49406,11.81397,15.29061,0.62311,0.02094,0.02567,2.60341,4.12121
"20","2015_Q3",38.160625,"Down",323480000,-69165000,254315000,-216673000,-16561000,-29647000,37642000,-1060000,-1074000,14000,36582000,-6361000,30221000,-10974000,19247000,19247000,19247000,19247000,3663000,3663000,146202000,146202000,44132000,44132000,193997000,527647000,957345000,-429698000,34695000,29420000,5275000,562342000,756339000,49939000,49939000,11215000,87861000,87861000,149015000,97419000,108913000,74224000,34689000,206332000,355347000,226916000,177209000,-3133000,400992000,400992000,756339000,19247000,16561000,-2087000,7164000,40885000,-26179000,-25337000,-12867000,787000,787000,-12081000,3467000,3467000,3467000,54203000,108634000,46162000,0.78618,0.11637,0.0595,0.048,0.02545,2.3984,1.30186,0.88617,0.14363,0.77182,0.75363,12.97189,16.0802,1.85114,0.03112,0.07463,1.93663,2.78867
"21","2015_Q4",25.8303125,"Down",317199000,-65122000,252077000,-223086000,-16765000,-28698000,28991000,-1079000,-1033000,-46000,27912000,-9146000,18766000,-6989000,11777000,11777000,11777000,11777000,4540000,4540000,139041000,139041000,42156000,42156000,185737000,532544000,975874000,-443330000,32706000,27381000,5325000,565250000,750987000,59504000,59504000,12031000,82958000,82958000,154493000,69163000,113503000,77775000,35728000,182666000,337159000,228040000,188986000,-3198000,413828000,413828000,750987000,11777000,16765000,5565000,12886000,46993000,-12221000,-12221000,-34082000,187000,187000,-33895000,877000,877000,877000,45756000,81194000,53410000,0.7947,0.0914,0.03713,0.02846,0.01568,4.53511,1.20224,0.81473,0.10812,0.47178,0.46143,12.70677,16.57765,2.13957,0.01935,0.08777,1.67528,2.64406
"22","2016_Q1",24.6839344262295,"Down",287610000,-59955000,227655000,-203551000,-16495000,-22700000,24104000,-905000,-981000,76000,23199000,-6488000,16711000,-5324000,11387000,11387000,11387000,11387000,124000,124000,124222000,124222000,34643000,14197000,158989000,539179000,995514000,-456335000,31025000,14961000,4039000,570204000,729193000,54754000,54754000,12432000,74194000,74194000,141380000,56540000,103384000,67417000,35967000,159924000,301304000,230618000,200373000,-3102000,427889000,427889000,729193000,11387000,16495000,14650000,-10737000,31795000,-17511000,-17511000,-15299000,-283000,-283000,-18700000,-4416000,-4416000,-4416000,40599000,68972000,17675000,0.79154,0.08381,0.03959,0.02661,0.01562,1.55221,1.12455,0.70416,0.09459,0.45597,0.44992,11.51684,17.13406,0.70776,0.01897,0.02945,1.69581,2.85629
"23","2016_Q2",26.61046875,"Up",289911000,-54040000,235871000,-210016000,-17243000,-22507000,25855000,-956000,-963000,7000,24899000,-8271000,16628000,-6053000,10575000,10575000,10575000,10575000,238000,238000,137607000,137607000,37590000,37590000,175435000,589223000,1056435000,-467212000,31047000,26649000,4398000,620270000,795705000,59723000,59723000,13659000,77123000,77123000,150505000,102780000,103652000,69078000,34574000,206432000,356937000,231139000,210948000,-3319000,438768000,438768000,795705000,10575000,17243000,1701000,-12563000,16956000,-53628000,-53628000,37436000,172361.98399302,172361.98399302,36786000,114000,114000,114000,43098000,116439000,-17040000,0.8136,0.08918,0.03648,0.0241,0.01329,-1.61135,1.16564,0.8135,0.14633,0.42303,0.4156,11.59737,17.55212,-0.68165,0.01605,-0.02586,2.6962,4.49433
"24","2016_Q3",28.6896875,"Up",311905000,-59026000,252879000,-220105000,-19740000,-24441000,32774000,-1228000,-1264000,36000,31546000,-11053000,20493000,-7218000,13275000,13275000,13275000,13275000,360000,360000,142331000,142331000,29450000,29450000,172141000,625913000,1107001000,-481088000,30853000,26232000,4621000,656766000,828907000,49679000,49679000,16627000,78633000,78633000,144939000,122747000,107025000,71673000,35352000,229772000,374711000,233225000,224223000,-3252000,454196000,454196000,828907000,13275000,19740000,4650000,11843000,49508000,-47917000,-47917000,-1717000,248000,248000,-1469000,122000,122000,122000,52514000,139374000,23658000,0.81076,0.10508,0.04256,0.02923,0.01602,1.78215,1.18768,0.825,0.16814,0.53036,0.51704,12.46125,18.14606,0.94519,0.01895,0.03377,2.64718,4.24159
"25","2016_Q4",38.667619047619,"Up",316442000,-59345000,257097000,-224332000,-19927000,-25718000,32765000,-1079000,-1183000,104000,31686000,-10121000,21565000,-7739000,13826000,13826000,13826000,13826000,789000,789000,143461000,143461000,22152000,22152000,166402000,611918000,1104495000,-492577000,30292000,25815000,4477000,642210000,808612000,48129000,48129000,16695000,88577000,88577000,153401000,77543000,108778000,74091000,34687000,186321000,339722000,234070000,238049000,-3229000,468890000,468890000,808612000,13826000,19927000,2557000,15535000,51845000,-6280000,-6280000,-45136000,0,0,-45136000,429000,429000,429000,52692000,94238000,69686000,0.81246,0.10354,0.04369,0.02949,0.0171,5.04021,1.08475,0.72452,0.11654,0.5522,0.53683,12.63847,18.72713,2.78321,0.02058,0.10371,1.7735,2.8521
"26","2017_Q1",46.7222580645161,"Up",332133000,-57953000,274180000,-246813000,-19330000,-56314000,27367000,-954000,-984000,30000,26413000,-10180000,16233000,-5885000,10348000,10348000,10348000,10348000,1539000,1539000,135083000,135083000,29857000,17369000,166479000,604119000,1101946000,-497827000,29772000,13293000,4374000,633891000,800370000,45149000,45149000,16762000,83033000,83033000,144944000,57042000,115306000,80199000,35107000,172348000,317292000,237871000,248397000,-3190000,483078000,483078000,800370000,10348000,19330000,16465000,-18026000,28117000,-9858000.00000001,-9858000,-20434000,2925000,2925000,-17509000,750000,750000,750000,46697000,73804000,24698000,0.82551,0.0824,0.03116,0.02142,0.01293,2.38674,1.14857,0.65681,0.09221,0.4125,0.40039,13.23978,19.25688,0.98453,0.01539,0.03674,1.54753,2.64059
"27","2017_Q2",46.3369841269841,"Down",323090000,-63990000,259100000,-232392000,-20087000,-31402000,26708000,-1009000,-911000,-98000,25699000,-9181000,16518000,-5123000,11395000,11395000,11395000,11395000,711000,711000,148968000,148968000,34969000,34969000,184648000,712387000,1216711000,-504324000,30161000,25054000,5107000,742548000,927196000,70971000,70971000,19183000,84201000,84201000,174355000,137738000,119636000,82738000,36898000,257374000,431729000,239020000,259784000,-3337000,495467000,495467000,927196000,11395000,20087000,5411000,-12765000,24128000,-87781000,-87781000,62748000,1288000,1288000,62825000,-828000,-828000,-828000,46795000,156921000,-48628000,0.80194,0.08266,0.03527,0.023,0.01229,-4.26749,1.05903,0.87136,0.16924,0.45173,0.43876,12.80833,19.6419,-1.92777,0.01476,-0.06299,3.33818,5.84881
"28","2017_Q3",55.0833333333333,"Up",364404000,-66092000,298312000,-258084000,-22182000,-39514000,40228000,-1628000,-1538000,-90000,38600000,-10542000,28058000,-10487000,17571000,17571000,17571000,17571000,399000,399000,167012000,167012000,30219000,30219000,197630000,713224000,1233906000,-520682000,29476000,24709000,4767000,742700000,940330000,55746000,55746000,16669000,95286000,95286000,167701000,131699000,125930000,87075000,38855000,257629000,425330000,241082000,277387000,-3469000,5.15e+08,5.15e+08,940330000,17571000,22182000,8969000,6467000,55189000,-38626000,-38626000,-16875000,0,0,-16875000,-312000,-312000,-312000,62410000,148368000,40738000,0.81863,0.11039,0.04822,0.03412,0.01869,2.31848,1.17847,0.82588,0.15778,0.68293,0.67599,14.16316,20.01632,1.58335,0.02226,0.05161,2.37092,3.67826
"29","2017_Q4",64.1563492063492,"Up",357011000,-66679000,290332000,-257946000,-22338000,-40688000,32386000,-1182000,-1313000,131000,31204000,-7818000,23386000,-9013000,14373000,14373000,14373000,14373000,81000,81000,172119000,172119000,28399000,28399000,200599000,722791000,1260856000,-538065000,29329000,24368000,4961000,752120000,952719000,63742000,63742000,17072000,102685000,102685000,183499000,110161000,127306000,90064000,37242000,237467000,420966000,243407000,291794000,-3448000,531753000,531753000,952719000,14373000,22338000,4432000,7277000,48420000,-26179000,-26179000,-23764000,1243000,1243000,-22559000,-318000,-318000,-318000,54724000,127233000,44835000,0.81323,0.09071,0.04026,0.02703,0.01509,3.11939,1.09319,0.79166,0.13355,0.56303,0.54888,13.98508,20.83019,1.75631,0.01828,0.05702,2.32351,3.92614
"30","2018_Q1",74.3586885245902,"Up",360198000,-71329000,288869000,-256319000,-22495000,-39245000,32550000,-1140000,-1289000,149000,31410000,-9621000,21789000,26001000,47790000,47790000,47790000,47790000,4720000,4720000,170278000,170278000,28251000,17540000,203249000,735780000,1289994000,-554214000,28286000,11922000,4259000,764066000,967315000,57438000,57438000,14083000,95405000,95405000,166926000,118833000,99062000,59423000,39639000,217895000,384821000,246480000,339500000,-3486000,582494000,582494000,967315000,47790000,22495000,-26706000,-13470000,30109000,-28938000,-28938000,1520000,1949000,1949000,3468000,4639000,4639000,4639000,55045000,132916000,-13364000,0.80197,0.09037,0.13268,0.08204,0.0494,-0.27964,1.2176,0.66064,0.13741,1.86753,1.82446,14.07573,22.76256,-0.52224,0.05868,-0.01641,2.32893,3.93843
