"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",12.49625,"Up",66833000,-51521000,15312000,-6967000,-6967000,8345000,18000,34000,-16000,8363000,-7000,8356000,-1216000,7140000,7140000,7140000,7140000,14453000,9717000,38551000,38551000,33986000,9037000,839000,975000,2428000,96027000,88230000,3420000,3420000,98446000,194473000,34628000,10945000,23683000,34628000,14829000,14829000,0,14829000,49457000,98000,144918000,145016000,145016000,194473000,7140000,3191000,-341000,-1499000,8491000,-997000,-186822.403325903,-997000,-997000,20000,-1281000,-761000,354000,-1115000,109000,-652000,6558000,6558000,6558000,11536000,0,10256000,0.22911,0.12486,0.10683,0.04924,0.03671,1.43641,2.7731,0.34105,0,0.12949,0.12878,1.21204,2.62991,0.186,0.04467,0.06416,-1.25286,-1.73194
"12","2013_Q3",15.14671875,"Up",91241000,-63565000,27676000,-9089000,-9089000,18587000,310000,57000,253000,18897000,59000,18956000,-6837000,12119000,12119000,12119000,12119000,26768000,19415000,50108000,50108000,34131000,10404000,9e+05,410000,3489000,121411000,86078000,2250000,2250000,99803000,221214000,53615000,13858000,36045000,53816000,14878000,14878000,0,14878000,68694000,147000,152373000,152520000,152520000,221214000,12119000,3077000,-737000,4790000,19249000,-892000,60000,-952000,-952000,20000,-8345000,-1482000,413000,-1895000,276000,-1206000,9698000,9698000,9698000,21664000,2.01948391736579e-28,32399000,0.30333,0.20371,0.13282,0.07946,0.05478,2.67341,2.25604,0.45039,3.76158192263132e-37,0.21979,0.21748,1.65473,2.76607,0.58758,0.0724,0.19354,-1.2356,-1.44015
"13","2013_Q4",17.7740625,"Up",89690000,-63074000,26616000,-9687000,-9687000,16929000,75000,60000,15000,17004000,0,17004000,-6482000,10522000,10522000,10522000,10522000,13710000,2289000,46129000,46129000,33383000,15899000,619000,1769000,8215000,109121000,87708000,5442000,5442000,111017000,220138000,43109000,12795000,30314000,43467000,14741000,14741000,0,14741000,58208000,147000,161783000,161930000,161930000,220138000,10522000,3081000,922000,-3422000,11103000,-4446000,12000,-4458000,-4458000,12000,-23046000,-1588000,219000,-1807000,117000,-5183000,-17126000,-17126000,-17126000,20010000,0,18624000,0.29676,0.18875,0.11732,0.06498,0.0478,1.77001,2.51043,0.35946,0,0.19094,0.18952,1.62758,2.9385,0.33796,0.08057,0.10542,-0.68516,-0.80985
"14","2014_Q1",18.6132786885246,"Up",73376000,-53188000,20188000,-8246000,-8246000,11942000,66000,70000,-4000.00000000003,12008000,-30000,11978000,-4212000,7766000,7766000,7766000,7766000,28125000,12085000,39063000,39063000,32140000,14295000,304000,1073000,8139000,113623000,87283000,3557000,3557000,101821000,215444000,36329000,7779000,28550000,36914000,14424000,14424000,-3.63797880709171e-12,14424000,51338000,221000,163885000,164106000,164106000,215444000,7766000,2963000,661000,3359000,14749000,-2614000,20000,-2634000,-2634000,17000,1346000,-2924000,481000,-3405000,341000,-6299000,9796000,9796000,9796000.00000001,14905000,-1.61558713389263e-27,19862000,0.27513,0.16275,0.10584,0.04732,0.03605,2.55756,3.07805,0.31283,3.00926553810506e-36,0.14097,0.13952,1.33194,2.97889,0.36054,0.06431,0.11125,-1.88695,-2.35513
"15","2014_Q2",18.8001587301587,"Up",76367000,-54521000,21846000,-7629000,-7629000,14217000,48000,69000,-21000,14265000,24000,14289000,-4467000,9822000,9822000,9822000,9822000,42478000,19670000,45704000,45704000,34891000,15323000,701000,0,9134000,138396000,88175000,1121000,1121000,90323000,228719000,41950000,11307000,30643000,42685000,13979000,13979000,0,13979000,56664000,147000,171908000,172055000,172055000,228719000,9822000,2808000,-1011000,-2550000,9069000,-3589000,27000,-3616000,-3616000,17000,801000,-2641000,340000,-2981000,356000,-2285000,7585000,7585000,7585000,17025000,0,15353000,0.28607,0.18617,0.12862,0.05709,0.04294,1.56312,3.24226,0.32934,0,0.17845,0.17661,1.38744,3.1259,0.27893,0.0528,0.08253,-2.49504,-2.98783
"16","2014_Q3",18.3553125,"Down",92310000,-64434000,27876000,-10584000,-10584000,17292000,105000,71000,34000,17397000,0,17397000,-6034000,11363000,11363000,11363000,11363000,35581000,16484000,52895000,52895000,36608000,16817000,829000,1.16415321826935e-10,10093000,141901000,87165000,6904000,6904000,99751000,241652000,49540000,10904000,33857000,50381000,13579000,13579000,5.82076609134674e-11,13579000,63960000,220000,177472000,177692000,177692000,241652000,11363000,2911000,-153000,-5685000,8436000,-2285000,2000,-2287000,-2287000,18000,-10103000,-1843000,292000,-2135000,324000,-1519000,-3186000,-3186000,-3186000,20203000,-2.58493941422821e-26,18267000,0.30198,0.18733,0.1231,0.06395,0.04702,1.60759,2.81656,0.35995,-4.81482486096809e-35,0.20658,0.20449,1.67824,3.23052,0.3321,0.05941,0.0955,-1.76117,-2.05766
"17","2014_Q4",18.84203125,"Up",102917000,-69567000,33350000,-13830000,-13830000,19520000,12000,55000,-43000,19532000,0,19532000,-7092000,12440000,12440000,12440000,12440000,34898000,18819000,54785000,54785000,37240000,15136000,790000,0,7253000,142059000,92025000,7580000,7580000,105450000,247509000,53524000,13602000,39922000,54444000,14022000,12377000,1645000,14022000,68466000,218000,178825000,179043000,179043000,247509000,12440000,2941000,-1820000,8078000,21639000,-7663000,1000,-7664000,-7664000,17000,-2842000,-11917000,276000,-12193000,228000,-16462000,2335000,2335000,2335000,22461000,0,29968000,0.32405,0.18967,0.12087,0.06948,0.05026,2.409,2.60927,0.3824,0,0.22657,0.22421,1.87445,3.26094,0.54581,0.08916,0.15522,-1.55372,-1.78781
"18","2015_Q1",21.3652459016393,"Up",84728000,-59537000,25191000,-8519000,-8519000,16672000,75000,81000,-6000,16747000,281000,17028000,-6495000,10533000,10533000,10533000,10533000,33924000,21952000,44092000,44092000,37618000,9306000,609000,2569000,6128000,124940000,91922000,6097000,6097000,102034000,226974000,42713000,11370000,31343000,43719000,9196000,7534000,1662000,9196000,52915000,216000,173843000,174059000,174059000,226974000,10533000,2893000,3585000,-2637000,14374000,-2271000,289000,-2560000,-2560000,11000,6115000,-11347000,410000,-11757000,-1126000,-17356000,3133000,3133000,3133000,19565000,0,21152000,0.29732,0.19677,0.12432,0.06051,0.04641,2.00816,2.8578,0.30401,-7.70371977754894e-34,0.19403,0.19217,1.56077,3.20633,0.38964,0.08412,0.11542,-1.73391,-2.03479
"19","2015_Q2",22.4549206349206,"Up",76768000,-54970000,21798000,-8317000,-8317000,13481000,-31000,44000,-75000,13450000,-5000,13445000,-5046000,8399000,8399000,8399000,8399000,38510000,33526000,39865000,39865000,44546000,13768000,910000,2381000,4205000,136689000,92771000,5306000,5306000,100070000,236759000,38643000,10125000,28518000,39598000,15040000,13363000,1677000,15040000,54638000,217000,181904000,182121000,182121000,236759000,8399000,2804000,-993000,-5875000,4335000,-3587000,226799.017173598,-3587000,-3587000,14000,8014000,-1873000,1082000,-2955000,1098000,-775000,11574000,11574000,11574000,16285000,0,11869000,0.28395,0.17561,0.10941,0.04612,0.03547,1.41314,3.45192,0.30001,0,0.1553,0.15371,1.41942,3.36738,0.21946,0.0426,0.0602,-2.36475,-2.85661
"20","2015_Q3",20.37484375,"Down",90275000,-63158000,27117000,-9200000,-9200000,17917000,56000,29000,27000,17973000,30000,18003000,-6873000,11130000,11130000,11130000,11130000,43701000,37600000,45480000,45480000,47182000,16543000,1055000,3385000,6266000,152906000,95795000,1236000,1236000,97106000,250012000,47250000,10513000,30755000,48083000,14500000,12808000,1692000,14500000,62583000,217000,187212000,187429000,187429000,250012000,11130000,2795000,-666000,-5605000,7654000,-5687000,29999.9999999999,-5717000,-5717000,14000,-2897000,-2037000,1452000,-3489000,1354000,-683000.000000002,4074000,4074000,4074000,20712000,0,16293000,0.30038,0.19847,0.12329,0.05938,0.04452,1.46388,3.18004,0.3339,-1.23259516440783e-32,0.20532,0.20359,1.66533,3.45757,0.30056,0.05512,0.08069,-2.10994,-2.43908
"21","2015_Q4",21.5965625,"Up",94360000,-64175000,30185000,-10062000,-10062000,20123000,-44000,14000,-58000,20079000,34000,20113000,-6862000,13251000,13251000,13251000,13251000,38129000,29863000,45825000,45825000,41052000,19914000,763000,2172000,10824000,144920000,96296000,2810000,2810000,110178000,255098000,42241000,7759000,34482000,42930000,13797000,12689000,1108000,13797000,56727000,217000,198154000,198371000,198371000,255098000,13251000,2988000,2776000,7399000,26414000,-3438000,33000,-3471000,-3471000,14000,-22848000,-2524000,106000,-2630000,-2814000,-11303000,-7737000,-7737000,-7737000,23111000,0,33934000,0.31989,0.21326,0.14043,0.0668,0.05194,2.56086,3.37573,0.28596,0,0.24444,0.24278,1.74064,3.65931,0.62597,0.09057,0.15994,-1.64982,-1.8948
"22","2016_Q1",21.8593442622951,"Up",97229000,-67648000,29581000,-9859000,-9859000,19722000,56000,74000,-18000,19778000,0,19778000,-6830000,12948000,12948000,12948000,12948000,20352000,7908000,50024000,50024000,38499000,15338000,533000,4702000,10103000,124213000,101061000,2541000,2541000,108641000,232854000,43413000,6178000,37235000,44111000,9825000,8706000,1119000,9825000,53936000,212000,178706000,178918000,178918000,232854000,12948000,3154000,3392000,-2542000,16952000,-8192000,0,-8192000,-8192000,12000,-5463000,-27329000,155000,-27484000,-223000,-33444000,-21955000,-21955000,-21955000,22876000,-1.05879118406788e-22,18972000,0.30424,0.20284,0.13317,0.07237,0.05561,1.46525,2.81592,0.30146,0,0.2412,0.23962,1.81123,3.33298,0.35342,0.09982,0.10052,-0.88967,-1.03194
"23","2016_Q2",25.83078125,"Up",85422000,-59691000,25731000,-8913000,-8913000,16818000,191000,74000,117000,17009000,8000,17017000,-5466000,11551000,11551000,11551000,11551000,32443000,17248000,42001000,42001000,42479000,13268000,2483000,0,10785000,130191000,105777000,701000,701000,106478000,236669000,38039000,3604000,34435000,39193000,8806000,7676000,1130000,8806000,47999000,212000,188458000,188670000,188670000,236669000,11551000,3171000,198000,1073000,15993000,-7324000,8000,-7332000,-7332000,13000,-3906000,-2567000,709000,-3276000,-180000,-2747000,9340000,9340000,9340000,19989000,0,19204000,0.30122,0.19688,0.13522,0.06122,0.04881,1.66254,3.32179,0.25441,0,0.21769,0.21553,1.60988,3.55572,0.36192,0.05849,0.09725,-1.62304,-1.92906
"24","2016_Q3",26.37078125,"Up",102319000,-69572000,32747000,-10561000,-10561000,22186000,77000,67000,10000,22263000,12000,22275000,-7550000,14725000,14725000,14725000,14725000,34512000,12209000,58483000,58483000,40125000,11609000,1083000,669000,9857000,144729000,111863000,935000,935000,112798000,257527000,53251000,9367000,38087000,54546000,7997000,6855000,1142000,7997000,62543000,212000,194772000,194984000,194984000,257527000,14725000,3175000,329000,-4621000,13608000,-8500000,-7000,-8493000,-8493000,13000,-14975000,-3411000,546000,-3957000,-261000,-3672000,-5039000,-5039000,-5039000,25361000,-1.6940658945086e-21,19790000,0.32005,0.21683,0.14391,0.07552,0.05718,1.34397,2.65334,0.32076,0,0.27764,0.27485,1.92924,3.67645,0.37314,0.07254,0.0975,-1.36083,-1.55558
"25","2016_Q4",29.9538095238095,"Up",104568000,-71476000,33092000,-10400000,-10400000,22692000,70000,82000,-12000,22762000,0,22762000,-7082000,15680000,15680000,15680000,15680000,35080000,14562000,53334000,53334000,43401000,9549000,820000,2472000,6257000,141364000,115234000,679000,679000,115913000,257277000,43338000,7228000,36110000,44761000,7740000,7187000,553000,7740000,52501000,211000,204565000,204776000,204776000,257277000,15680000,3201000,1713000,-3188000,17406000,-7775000,27000,-7802000,-7802000,13000,-2202000,-6913000,426000,-7339000,-118000,-12851000,2353000,2353000,2353000,25893000,0,22012000,0.31646,0.21701,0.14995,0.07657,0.06095,1.40383,3.1582,0.25638,0,0.29645,0.29366,1.97701,3.8716,0.41617,0.10117,0.10358,-1.35481,-1.54592
"26","2017_Q1",33.0217741935484,"Up",91668000,-65158000,26510000,-8632000,-8632000,17878000,59000,69000,-10000,17937000,0,17937000,-6517000,11420000,11420000,11420000,11420000,38236000,24153000,43001000,43001000,47352000,12392000,616000,6239000,5537000,140981000,114892000,657000,657000,115549000,256530000,39042000,7102000,31940000,40540000,10092000,9531000,561000,10092000,50632000,211000,205687000,205898000,205898000,256530000,11420000,3488000,3721000,-1713000,16916000,-2977000,1.45519152283669e-11,-2977000,-2977000,13000,4158000,-4363000,382000,-4745000,-264000,-11483000,9591000,9591000,9591000,21366000,0,23193000,0.2892,0.19503,0.12458,0.05546,0.04452,2.03091,3.47758,0.24591,-2.52435489670724e-29,0.21666,0.21451,1.73915,3.90634,0.44002,0.08462,0.10738,-1.78957,-2.13872
"27","2017_Q2",34.8712698412698,"Up",86078000,-61092000,24986000,-10530000,-10530000,14456000,71000,60000,11000,14527000,1000,14528000,-4311000,10217000,10217000,10217000,10217000,38762000,31623000,44377000,44377000,55988000,7083000,929000,3009000,3145000,146210000,118417000,656000,656000,119073000,265283000,41122000,9936000,31186000,42668000,10820000,10251000,569000,10820000,53488000,210000,211585000,211795000,211795000,265283000,10217000,3638000,2612000,-6301000,10166000,-6064000,7000,-6071000,-6071000,13000,3269000,-5405000,898000,-6303000,-560000,-5965000,7470000,7470000,7470000,18094000,0,10040000,0.29027,0.16794,0.11869,0.04824,0.03851,0.98268,3.42669,0.25255,0,0.19416,0.19208,1.63576,4.0248,0.19079,0.0459,0.0451,-2.14226,-2.68138
"28","2017_Q3",32.817619047619,"Down",101326000,-69648000,31678000,-11971000,-11971000,19707000,105000,71000,34000,19812000,-48000,19764000,-5970000,13794000,13794000,13794000,13794000,46284000,33552000,43114000,43114000,63075000,7243000,888000,809000,5546000,159716000,124628000,667000,667000,125295000,285011000,55250000,14108000,34293000,56792000,10472000,9895000,577000,10472000,67264000,210000,217537000,217747000,217747000,285011000,13794000,3643000,1721000,4436000,23594000,-10776000,0,-10776000,-10776000,13000,-18769000,-2390000,675000,-3065000,-506000,-2896000,1929000,1929000,1929000,23350000,-2.16840434497101e-19,22980000,0.31263,0.19449,0.13613,0.06335,0.0484,1.66594,2.8123,0.30891,-4.03896783473158e-28,0.26217,0.25952,1.92579,4.13847,0.43675,0.06044,0.10069,-1.98218,-2.34861
"29","2017_Q4",33.931746031746,"Up",113668000,-78010000,35658000,-13034000,-13034000,22624000,125000,84000,41000,22749000,1000,22750000,-8033000,14717000,14717000,14717000,14717000,34857000,23515000,57342000,57342000,66117000,5825000,757000,0,5068000,164141000,138308000,689000,689000,138997000,303138000,60615000,18933000,41682000,62162000,10678000,10678000,0,10678000,72840000,210000,230088000,230298000,230298000,303138000,14717000,3744000,2010000,-12366000,8105000,-9588000,1000,-9589000,-9589000,22000,-7706000,-3481000,142000,-3623000,-127000,-10436000,-10037000,-10037000,-10037000,26368000,0,12447000,0.3137,0.19904,0.12947,0.0639,0.04855,0.84576,2.64054,0.31629,0,0.27997,0.2776,2.16236,4.38107,0.23679,0.08941,0.05165,-1.32194,-1.54071
"30","2018_Q1",35.215737704918,"Up",104160000,-73085000,31075000,-13714000,-13714000,17361000,88000,83000,5000,17449000,1000,17450000,-1680000,15770000,15770000,15770000,15770000,27534000,21457000,50338000,50338000,70786000,5069000,518000,1643000,2908000,153727000,142375000,678000,678000,143053000,296780000,50065000,10967000,39098000,51577000,7977000,7977000,0,7977000,59554000,210000,237016000,237226000,237226000,296780000,15102000,3982000,-328000,-2627000,16129000,-15275000,2000,-15277000,-15277000,12000,-7846000,-3085000,544000,-3629000,-421000,-10341000,-2058000,-2058000,-2058000,21343000,3.46944695195361e-18,5121000,0.29834,0.16668,0.1514,0.06648,0.05314,0.32473,2.98053,0.25104,3.23117426778526e-27,0.30046,0.29777,1.98455,4.51984,0.09757,0.09219,0.02088,-1.29007,-1.58597
