"","YQ","p","d","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","current_ratio","liabilities_to_equity_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2020_Q2",0.875238095238095,"Up",-4447925,-1783379,-4447925,125555,15348,-3991,-4322370,-4322370,-4322370,-4322370,-4322370,-4322370,2779650,2779650,2835397,24982854,3310650,1547261,1763389,3629864,4606062,80519144,-60142352,20376792,20376792,24982854,-8146909,-1734082,-9564585,500,-9564085,-9564085,-9564085,172970,-0.21212,0.78113,0.22604,-0.14804,-0.14804,0.69788,-0.2008,0.58604
"12","2020_Q3",1.13015625,"Up",-4433095,-2417155,-4433095,8125.99999999999,8126,-3980,-4424969,-4424969,-4424969,-4424969,-4424969,-4424969,4339072,4339072,4392736,26492738,2788495,1524360,1264135,3111876,4049031,87011028,-64567321,22443707,22443707,26492738,-600430.000000001,32114,-17283.9999999963,6026637,6009353,6009353,6009353,172970,-0.19716,1.4116,0.18041,-0.12904,-0.12904,0.65451,-0.18787,0.93977
"13","2020_Q4",1.043125,"Down",-4688891,-2044647,-4688891,8773,8773,-4245,-4680118,-4680118,-4680118,-4680118,-4680118,-4680118,8517339,8517339,8568921,38399718,3282315,1811624,1470691,3609948,9657656,95215301,-66473239,28742062,28742062,38399718,-4680118,460324,-3990997,8171095,4178267,4178267,4178267,337553,-0.16283,2.3737,0.33601,-0.1126,-0.1126,0.69151,-0.13386,1.7445
"14","2021_Q1",1.59295081967213,"Up",-4140774,-2652694,-4140774,20146,20146,-3457,-4120628,-4120628,-4120628,-4120628,-4120628,-4120628,13859748,13859748,13981985,43773655,3765164,1856235,1908929,4097133,10102987,104264535,-70593867,33670668,33670668,43773655,-4120628,374676,-3357792,8700201,5342409,5342409,5342409,337553,-0.12238,3.41263,0.30005,-0.07985,-0.07985,0.65243,-0.1034,3.26562
"15","2021_Q2",2.40396825396825,"Up",-8156425,-1965246,-8156425,9516,9516,-3968,-8146909,-8146909,-8146909,-8146909,-8146909,-8146909,4295663,4295663,5578966,35311781,3211389,984175,2227214,3547782,9510940,106340757,-81140296,25200461,25800841,35311781,-9225220,3529601,-4651522,74695428.1378452,-4651522,-4651522,-4651522,337553,-0.31576,1.57252,0.36863,-0.14659,-0.14659,0.45343,-0.25509,0.48528
"16","2021_Q3",2.006875,"Down",-4187820,-2636479,-4187820,65388,65388,-3939,-4122432,-4122432,-4122432,-4122432,-4122432,-4122432,103697162,103697162,104974191,134666413,2643739,1132877,1510862,3149229,8904247,210424514,-85262728,125161786,125762166,134666413,-3044121,-5864102,-9184359,103673295,94488936,94488936,94488936,172970,-0.03278,33.3333,0.0708,-0.04314,-0.04314,1.30986,-0.0313,24.72031
"17","2021_Q4",1.81453125,"Down",-5984406,-3780658,-5984406,160398,100481,-2932,-5824008,-5824008,-5824008,-5824008,-5824008,-7274884,115663976,115663976,116935371,146592848,3263187,1354664,1908523,3600310,9310895,227768309,-91086736,136681573,137281953,146592848,-5824008,585252,-4823503,16797255,11966814,11966814,11966814,164583,-0.05299,32.47925,0.06782,-0.05315,-0.05315,0.99858,-0.05082,19.30006
"18","2022_Q1",1.57983870967742,"Down",-5203243,-2909008,-5203243,75601,75601,-668.194749394678,-5127642,-4961085,-4961085,-4961085,-4961085,-4961085,70072946,70072946,72814350,142429059,3805055,1277095,2527960,3982292,9646326,228230174,-96047821,132182353,132782733,142429059,-4961085,-968021,-5591030,0,-45591030,-45591030,-45591030,0,-0.03736,18.28453,0.07265,-0.05168,-0.05168,1.37687,-0.03583,13.46717
"19","2022_Q2",1.09629032258065,"Down",-9259202,-3801353,-9259202,33982,33982,3290.41575181597,-9225220,-9225220,-9225220,-9225220,-9225220,-9225220,65421424,65421424,67944976,137516076,7159502,1789203,5370299,7341530,12958075,229230662,-105273041,123957621,124558001,137516076,-3593645,-2623062,-4824439,200892358.402486,-4824439,-4824439,-4824439,0,-0.07406,9.25488,0.10403,-0.06726,-0.06726,0.9038,-0.07087,7.06556
"20","2022_Q3",1.0990625,"Up",-7590625,-4138415,-7590625,29571,29571,9381.83150363193,-7561054,-7561054,-7561054,-7561054,-7561054,-7561054,55756232,55756232,58259341,127785970,3835007,1705128,2129879,4021923,9590025,230429660,-112834095,117595565,118195945,127785970,-13192629,2805056,-9492275,739214712.457459,-9492275,-9492275,-9492275,0,-0.06397,14.48544,0.08114,-0.05178,-0.05178,0.80538,-0.06109,7.34541
