"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2019_Q2",43.5130158730159,"Up",6761000,-896000,5865000,-4011000,-3442000,-2070000,-1372000,-569000,1854000,-5803.7482559412,-421.061478812472,-421.061478812472,1854000,1854000,1854000,1854000,1854000,1854000,4544000,4544000,2533000,2533000,225000,225000,7302000,220000,1533000,1533000,1753000,9055000,2063000,257000,1806000,821000,821000,2884000,2894000,25725000,-19564000,6161000,6161000,9055000,1854000,143000,138000,-432000,1703000,-456000,-456000,13000,1260000,1260000,1260000,1997000,0,0.86748,0.27422,0.27422,0.30093,0.20475,2.5319,0.46973,0,0.30908,0.24356,1.12712,1.0271,0.30044,-2.27541,-2.45092
"22","2019_Q3",45.9175,"Up",7953000,-885000,7068000,-4373000,-3782000,-2211000,-1571000,-591000,2695000,-1.45519152283669e-11,2000,2000,2695000,2695000,2618000,2618000,2618000,2618000,4182000,4182000,3509000,3509000,213000,213000,7904000,215000,1705000,1705000,1920000,9824000,2666000,405000,2261000,928000,928000,3594000,3603000,23167000,-16946000,6221000,6221000,9824000,2618000,164000,176000,-278000,2680000,-386000,-386000,-2656000,-362000,-362000,-362000,2859000,0,0.88872,0.33887,0.32918,0.42083,0.26649,2.19922,0.57917,-6.93889390390723e-18,0.40839,0.32233,1.2406,0.97043,0.42022,-1.46275,-1.55176
"23","2019_Q4",44.11375,"Down",8902000,-974000,7928000,-4817000,-4200000,-2345000,-1855000,-617000,3111000,-3000,-2000,-2000,3108000,3108000,7779000,7779000,7779000,7779000,8542000,8542000,3271000,3271000,274000,274000,12087000,220000,6550000,1841000,6770000,18857000,3578000,669000,2909000,1169000,1169000,4747000,4755000,23269000,-9167000,14102000,14102000,18857000,7779000,163000,-4540000,1308000,4710000,-366000,-366000,16000,4360000,4360000,4360000,3274000,0,0.89059,0.34947,0.87385,0.55162,0.41253,2.54624,0.33719,0,1.21346,0.95777,1.38864,2.1998,0.55131,-2.60904,-2.74574
"24","2020_Q1",47.1433870967742,"Up",9151000,-906000,8245000,-5197000,-4495000,-2339000,-2156000,-702000,3048000,-4000,2000,2000,3044000,3044000,2833000,2833000,2833000,2833000,7741000,7741000,3486000,3486000,216000,216000,11443000,249000,6595000,2094000,6844000,18287000,4252000,338000,3914000,962000,955000,5214000,5214000,19407000,-6334000,13073000,13073000,18287000,2833000,162000,344000.000000001,296000,3635000,-490000,-490000,-3946000,-801000,-801000,-801000,3210000,0,0.90099,0.33308,0.30958,0.21671,0.15492,2.19467,0.39884,0,0.44193,0.34881,1.42748,2.03928,0.21671,-2.41153,-2.5397
"25","2020_Q2",43.0739682539683,"Down",9430000,-850000,8580000,-5128000,-4286000,-2695000,-1591000,-842000,3452000,-2000,2000,2000,3450000,3450000,2673000,2673000,2673000,2673000,11214000,11214000,1581000,1581000,688000,688000,13483000,310000,5843000,2065000,6153000,19636000,2825000,377000,2448000,995000,989000,3820000,3820000,19477000,-3661000,15816000,15816000,19636000,2673000,159000,885000,-14000,3703000,-233000,-233000,3000,3473000,3473000,3473000,3611000,0,0.90986,0.36607,0.28346,0.16901,0.13613,3.52958,0.24153,0,0.40787,0.33218,1.43892,2.41336,0.16901,-3.10551,-3.24855
"26","2020_Q3",51.264375,"Up",6373000,-7e+05,5673000,-4714000,-3951000,-2473000,-1478000,-763000,959000,31000,1000,1000,990000,990000,1075000,1075000,1075000,1075000,13646000,13646000,982000,982000,639000,639000,15267000,287000,5833000,1928000,6120000,21387000,3550000,207000,3343000,818000,813000,4368000,4368000,19605000,-2586000,17019000,17019000,21387000,1075000,76000,-1.16415321826935e-10,1204000,2355000,10000,9999.99999999997,67000,2432000,2432000,2432000,1035000,0,0.89016,0.15048,0.16868,0.06316,0.05026,3.49519,0.25665,-2.71050543121376e-20,0.16403,0.13359,0.97245,2.59692,0.06316,-13.18454,-14.22941
"27","2020_Q4",70.37265625,"Up",10727000,-820000,9907000,-4352000,-3680000,-2115000,-1565000,-672000,5555000,40000,2000,2000,5595000,5595000,4866000,4866000,4866000,4866000,16793000,16793000,3455000,3455000,1530000,1530000,21778000,258000,6011000,2734000,6269000,28047000,4613000,336000,4277000,1383000,960000,5996000,5996000,19771000,2280000,22051000,22051000,28047000,4866000,177000,750000,-2283000,3510000,-67000,-467000,104000,3147000,3147000,3147000,5732000,0,0.92356,0.51785,0.45362,0.22067,0.17349,3.63209,0.27192,0,0.7425,0.60472,1.63683,3.36476,0.22067,-2.92969,-3.02304
"28","2021_Q1",100.000163934426,"Up",12073000,-986000,11087000,-5092000,-4431000,-2659000,-1772000,-661000,5995000,456000,14000,14000,6451000,6451000,5393000,5393000,5393000,5393000,22079000,22079000,2808000,2808000,1376000,1376000,26603000,261000,4724000,2359000,8036000,34639000,3475000,677000,2798000,1371000,963000,4846000,4846000,22120000,7673000,29793000,29793000,34639000,5393000,164000,626000,-637000,5546000,-468000,-316000,56000.0000000001,5286000,5286000,5286000,6159000,-1.4210854715202e-14,0.91833,0.49656,0.4467,0.18102,0.15569,5.48968,0.16266,1.6940658945086e-21,0.82292,0.67021,1.84222,4.54611,0.18102,-3.58484,-3.6829
"29","2021_Q2",109.376507936508,"Up",13183000,-1579000,11604000,-5585000,-4892000,-2816000,-2076000,-693000,6019000,1000,3000,3000,6020000,6020000,4877000,4877000,4877000,4877000,26478000,26478000,4399000,4399000,1769000,1769000,33285000,351000,3959000,2220000,7361000,40646000,3947000,470000,3477000,1431000,1049000,5378000,5378000,22718000,12550000,35268000,35268000,40646000,4877000,155000,1303000,-1729000,4606000,-216000,-216000,9000,4399000,4399000,4399000,6174000,0,0.88022,0.45657,0.36995,0.13828,0.11999,6.1891,0.15249,0,0.74418,0.60608,2.01159,5.38153,0.13828,-4.28863,-4.39907
"30","2021_Q3",114.31578125,"Up",14311000,-996000,13315000,-6852000,-5905000,-3623000,-2282000,-947000,6463000,10000,3000,3000,6473000,6473000,6688000,6688000,6688000,6688000,28511000,28511000,4751000,4751000,5756000,5756000,40733000,411000,4024000,2104000,5256000,45989000,4921000,5e+05,4421000,1260000,896000,6181000,6181000,20570000,19238000,39808000,39808000,45989000,6688000,155000,-90000,-4597000,2156000,-159000,-159000,36000,2033000,2033000,2033000,6618000,0,0.9304,0.45161,0.46733,0.16801,0.14543,6.59003,0.15527,0,0.99482,0.82209,2.12871,5.92129,0.16801,-4.3081,-4.41142
"31","2021_Q4",112.08234375,"Down",13991000,-1382000,12609000,-7356000,-6320000,-3968000,-2352000,-1036000,5253000,4000,3000,3000,5257000,5257000,4150000,4150000,4150000,4150000,35930000,35930000,3972000,3972000,4405000,4405000,46095000,386000,3671000,2080000,4878000,50973000,5705000,401000,5304000,1254000,909000,6959000,6959000,20626000,23388000,44014000,44014000,50973000,4150000,160000,477000,2850000,7637000,114000,-227000,9000,7419000,7419000,7419000,5413000,0,0.90122,0.37546,0.29662,0.09429,0.08142,6.6238,0.15811,0,0.6173,0.51012,2.08111,6.54692,0.09429,-6.63772,-6.8399
"32","2022_Q1",67.0217741935484,"Down",11542000,-2165000,9377000,-7667000,-6563000,-4038000,-2525000,-1104000,1710000,-5000,1000,1000,1705000,1705000,1507000,1507000,1507000,1507000,37323000,37323000,3619000,3619000,4044000,4044000,45536000,394000,3921000,1975000,5136000,50672000,3879000,443000,3436000,1001000,921000,4880000,5125000,20652000,24895000,45547000,45547000,50672000,1507000,158000,1094000,-1102000,1657000,-564000,-223000,-41000,1393000,1393000,1393000,1868000,0,0.81242,0.14815,0.13057,0.03309,0.02974,9.33115,0.11252,1.32348898008484e-23,0.22311,0.18506,1.70878,6.74318,0.03291,-19.98019,-21.82632
"33","2022_Q2",35.7511290322581,"Down",14016000,-970000,13046000,-9104000,-7978000,-4676000,-3302000,-1126000,3942000,1000,1000,1000,3943000,3943000,3360000,3360000,3360000,3360000,38426000,38426000,5416000,5416000,6033000,6033000,50470000,470000,3674000,1907000,4965000,55435000,4758000,375000,4383000,1285000,980000,6043000,6043000,21137000,28255000,49392000,49392000,55435000,3360000,155000,902000,-2915000,1502000,-256000,-256000,-143000,1103000,1103000,1103000,4097000,0,0.93079,0.28125,0.23973,0.06803,0.06061,8.35181,0.12235,0,0.49744,0.41261,2.07505,7.31243,0.06803,-9.37906,-9.74784
"34","2022_Q3",37.7428125,"Up",14829000,-962000,13867000,-8689000,-7615000,-4202000,-3413000,-1074000,5178000,13000,13000,13000,5191000,5191000,4074000,4074000,4074000,4074000,40031000,40031000,5544000,5544000,2768000,2768000,48867000,555000,7393000,5287000,8769000,57636000,5700000,463000,5237000,1266000,981000,6966000,6966000,18341000,32329000,50670000,50670000,57636000,4074000,154000,-133000,2135000,6230000,-602000,-1781000,-2844000,1605000,1605000,1605000,5332000,0,0.93513,0.34918,0.27473,0.0804,0.07068,7.01507,0.13748,0,0.60257,0.50739,2.1933,7.4944,0.0804,-7.50769,-7.73098
