"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2015_Q3",24.39734375,"Down",630100000,-383700000,246400000,-195100000,-195100000,51300000,-10800000,-9e+06,-1800000,40500000,-3700000,36800000,-11600000,25200000,25200000,1e+05,25300000,25300000,220700000,220700000,355300000,355300000,452200000,79800000,51600000,1.108e+09,137300000,429300000,1297700000,793200000,436500000,2900000,65100000,1.435e+09,2.543e+09,345800000,202100000,143700000,45200000,48519496.4510859,48519496.4510859,3.91e+08,776300000,376900000,130300000,27300000,1153200000,1544200000,169600000,-24500000,905500000,-55900000,994700000,4100000,998800000,2.543e+09,25200000,10800000,6100000,95800000,137900000,-9400000,3900000,-5500000,-6200000,-24200000,-5900000,-5900000,3e+06,-33300000,99100000,99100000,3e+05,99400000,62100000,821500000,160100000,0.39105,0.08142,0.04015,0.02533,0.00995,6.32806,2.83376,1.54606,0.32304,0.24543,0.24862,6.11241,9.64929,1.55308,0.06014,0.01434,0.07287,0.24506,9.67472,11.7115
"12","2016_Q2",16.95984375,"Up",577600000,-344900000,232700000,-184100000,-184100000,48600000,-8400000,-8500000,99999.9999999995,40200000,-14600000,25600000,-8e+06,17600000,17600000,-2e+05,17400000,17400000,158200000,158200000,3.26e+08,3.26e+08,480800000,40300000,40300000,1005300000,135300000,440500000,1.284e+09,779200000,430200000,3e+06,71600000,1419300000,2424600000,247100000,105900000,141200000,16900000,6e+07,6e+07,3.24e+08,793400000,326100000,110200000,38500000,1119500000,1443500000,187800000,-118200000,962300000,-57500000,974400000,6700000,981100000,2424600000,17600000,9800000,14700000,-1.21e+08,-78900000,-9900000,-599999.999999998,-10500000,-6e+06,6e+07,-1e+05,-1e+05,-1400000,52500000,-36900000,-36900000,1e+06,-35900000,58400000,810300000,-64500000,0.40287,0.08414,0.03012,0.01774,0.00718,-3.7069,3.10278,1.47131,0.3342,0.1754,0.18087,5.82258,9.82258,-0.6502,0.06048,0.01105,-0.03046,0.34483,11.1661,13.4177
"13","2016_Q3",21.22546875,"Up",583700000,-357100000,226600000,-1.83e+08,-1.83e+08,43600000,-8900000,-7800000,-1100000,34700000,-1800000,32900000,-8800000,24100000,24100000,-1e+05,2.4e+07,2.4e+07,221700000,221700000,312600000,312600000,439300000,46900000,46900000,1020500000,149300000,454600000,1283700000,775900000,431900000,4100000,71800000,1.433e+09,2453500000,311300000,172900000,138400000,19700000,0,0,3.31e+08,788300000,332200000,110900000,46300000,1120500000,1451500000,1.92e+08,-120400000,980500000,-57300000,994800000,7200000,1.002e+09,2453500000,24100000,10500000,0,117100000,151700000,-18300000,2800000,-15500000,-5800000,-62800000,-5900000,-5900000,7e+05,-73800000,62400000,62400000,1100000,63500000,54100000,8.08e+08,161700000,0.38821,0.0747,0.04112,0.02395,0.00978,6.7375,3.08308,1.4486,0.32933,0.24096,0.25,5.86044,9.98795,1.62349,0.05823,0.01391,0.07548,0.24167,10.83734,13.44725
"14","2017_Q2",23.2326984126984,"Up",591300000,-3.52e+08,239300000,-180200000,-180200000,59100000,-13300000,-8900000,-4400000,45800000,-24600000,21200000,-4400000,16800000,16800000,-1e+05,16700000,16700000,304100000,304100000,287700000,287700000,356500000,39500000,39500000,987800000,145100000,429700000,1254900000,759900000,425100000,2800000,67100000,1.4e+09,2387800000,236500000,113800000,122700000,41200000,2400000,2400000,280100000,769500000,342700000,143500000,39700000,1112200000,1392300000,222800000,-183200000,1.026e+09,-78100000,987500000,8e+06,995500000,2387800000,16800000,9200000,18100000,-74900000,-30800000,-11100000,-699999.999999999,-11800000,-5800000,-8100000,-11500000,-11500000,1600000,-23800000,-66400000,-66400000,7e+05,-65700000.0000001,68300000,810700000,-13300000,0.4047,0.09995,0.02824,0.01678,0.00699,-0.796409999999996,3.5266,1.39859,0.33952,0.17216,0.17396,6.09588,10.18041,-0.137110000000001,0.05979,0.01047,-0.00619,0.34731,7.41728,8.57191
"15","2017_Q3",25.0255555555556,"Up",598800000,-369400000,229400000,-173100000,-173100000,56300000,-9200000,-5900000,-3300000,47100000,-25100000,2.2e+07,-1500000,20500000,20500000,2e+05,20700000,20700000,412800000,412800000,287100000,287100000,333700000,58900000,4.2e+07,1092500000,150100000,434300000,1257400000,759200000,427200000,3100000,67900000,1407500000,2.5e+09,340900000,207600000,133300000,4.5e+07,3400000,3400000,389300000,758700000,343500000,143700000,4.6e+07,1102200000,1491500000,230300000,-1.93e+08,1040900000,-78500000,999700000,8800000,1008500000,2.5e+09,20500000,9e+06,5200000,103700000,138400000,-8700000,-2500000,-11200000,-5800000,-8600000,-1e+07,-1e+07,2500000,-21900000,105300000,105300000,3400000,108700000,65300000,803700000,161800000,0.3831,0.09402,0.03457,0.02053,0.00828,7.81643,2.80632,1.47893,0.32148,0.21384,0.21518,6.18595,10.32748,1.67149,0.05992,0.01229,0.07506,0.28019,5.98622,6.94316
"16","2017_Q4",26.6474603174603,"Up",581300000,-349400000,231900000,-170500000,-170500000,61400000,-10100000,-8600000,-1500000,51300000,-24200000,27100000,-4300000,22800000,22800000,4e+05,23200000,23200000,342700000,342700000,294500000,294500000,338800000,4.4e+07,4.4e+07,1.02e+09,142200000,4.1e+08,1256500000,751600000,429900000,4400000,70600000,1398700000,2418700000,2.78e+08,141700000,136300000,48800000,3700000,3700000,330500000,744200000,333900000,133800000,49600000,1078100000,1408600000,2.4e+08,-2.23e+08,1058400000,-73700000,1001700000,8400000,1010100000,2418700000,22800000,9800000,-21400000,-69300000,-58100000,29100000,-9e+05,28200000,-5800000,-9300000,-3e+07,-3e+07,3400000,-41700000,-71600000,-71600000,1500000,-70100000,71200000,7.93e+08,35300000,0.39893,0.10563,0.03991,0.02297,0.00959,1.52155,3.08623,1.39452,0.32786,0.24167,0.24217,6.05521,10.43437,0.36771,0.06042,0.01357,0.01652,0.25,6.32444,7.33388
"17","2018_Q1",28.4888524590164,"Up",578600000,-355800000,222800000,-182200000,-182200000,40600000,-9600000,-8700000,-9e+05,3.1e+07,-111900000,-80900000,20100000,-60800000,-60800000,5e+05,-60300000,-60300000,4.81e+08,4.81e+08,271300000,271300000,276700000,45300000,45300000,1074300000,136700000,391100000,1.188e+09,681500000,429800000,4300000,72400000,1324700000,2.399e+09,324300000,162300000,1.62e+08,37500000,5e+05,5e+05,362300000,744600000,336900000,142200000,110500000,1081500000,1443800000,255600000,-2.23e+08,992200000,-75200000,949600000,5600000,955200000,2.399e+09,-60800000,9200000,5.1e+07,153800000,153200000,-3100000,-3100000,-6200000,-5600000,-14200000,0,0,9200000,-10600000,136400000,136400000,1900000,138300000,49800000,782100000,180400000,0.38507,0.07017,-0.10422,-0.06313,-0.02514,-2.99171,2.96522,1.51152,0.32601,-0.62944,-0.64423,6.03967,9.91232,1.88309,0.05846,-0.02637,0.08697,-0.09287,6.04618,7.41626
"18","2018_Q2",30.05765625,"Up",534100000,-306200000,227900000,-163700000,-163700000,64200000,-6600000,-7200000,6e+05,57600000,-2699999.99999999,54900000,-8300000,46600000,46600000,1e+05,46700000,46700000,257100000,257100000,295300000,295300000,290500000,37500000,37500000,880400000,133700000,394500000,1189900000,680100000,429300000,4500000,7.6e+07,1323600000,2.204e+09,234700000,97200000,137500000,41200000,8e+05,8e+05,276700000,630300000,339700000,1.42e+08,113300000,9.7e+08,1246700000,269900000,-273700000,1039400000,-84100000,951500000,5800000,957300000,2.204e+09,46600000,7800000,4900000.00000001,-120600000,-61300000,-3400000,-7e+05,-4100000,-5800000,-1.11e+08,-42500000,-42500000,2e+05,-159100000,-224500000,-224500000,6e+05,-223900000,7.2e+07,671500000,-43700000,0.4267,0.1202,0.08744,0.04878,0.02119,-0.93576,3.18179,1.30231,0.30467,0.48798,0.48849,5.58098,9.94253,-0.45664,0.06061,0.02667,-0.0222,0.1242,5.75556,6.45483
"19","2018_Q3",34.5447619047619,"Up",566900000,-332700000,234200000,-163300000,-163300000,70900000,-4e+05,-5700000,5300000,70500000,-2800000,67700000,-12200000,55500000,55500000,-2e+05,55300000,55300000,354900000,354900000,297200000,297200000,293800000,36300000,36300000,982200000,130400000,390300000,1187700000,678700000,4.27e+08,4100000,77900000,1318100000,2300300000,324700000,174300000,150400000,4.5e+07,1300000,1300000,3.71e+08,615600000,298400000,121600000,89500000,9.14e+08,1.285e+09,284400000,-2.79e+08,1087100000,-82900000,1009600000,5700000,1015300000,2300300000,55500000,7300000,-7300000,70900000,126400000,-3200000,-1e+05,-3300000,-7600000,-10800000,-7400000,-7400000,8200000,-17600000,105500000,105500000,-7700000,97800000,78200000,660600000,158100000,0.41312,0.12507,0.09755,0.05447,0.02404,2.85895,2.64744,1.26564,0.28718,0.58272,0.58211,5.97366,10.63857,1.66596,0.08008,0.03186,0.08008,0.13743,3.90921,4.31171
"20","2018_Q4",31.732380952381,"Down",558600000,-326500000,232100000,-161600000,-161600000,70500000,-4500000,-5800000,1300000,6.6e+07,-2100000,63900000,-5e+06,58900000,58900000,-1e+05,58800000,58800000,228100000,228100000,3.64e+08,3.64e+08,324400000,32200000,32200000,948700000,131400000,393700000,1.189e+09,677600000,427500000,4e+06,79900000,1320400000,2269100000,296100000,139500000,156600000,6e+07,1500000,1500000,357600000,6.01e+08,248200000,81200000,67600000,849200000,1206800000,298200000,-2.99e+08,1138300000,-81200000,1056300000,6e+06,1062300000,2269100000,58900000,7500000,-25100000,-140400000,-99099999.9999999,-6500000,-9e+05,-7400000,-7600000,2e+05,-2e+07,-2e+07,6700000,-20700000,-127200000,-127200000,400000.000000001,-126800000,7.8e+07,6.61e+08,-63900000.0000001,0.4155,0.12621,0.10526,0.05535,0.02591,-1.08673,2.65296,1.13603,0.2913,0.61895,0.61895,5.88,11.11895,-0.67263,0.08,0.03368,-0.03241,0.12925,5.55,6.14043
"21","2019_Q1",32.6293442622951,"Up",579600000,-352500000,227100000,-165500000,-165500000,61600000,-12400000,-5800000,-6600000,49200000,-8300000,40900000,-1600000,39300000,39300000,0,39300000,39300000,143100000,143100000,361200000,361200000,317600000,45800000,45800000,867700000,130900000,381800000,1184500000,676400000,424400000,3100000,80600000,1315400000,2183100000,340600000,202300000,138300000,7500000,1.25e+08,1.25e+08,473100000,4.38e+08,280400000,9.2e+07,80500000,718400000,1191500000,3.09e+08,-404400000,1169700000,-88300000,9.86e+08,5600000,991600000,2183100000,39300000,8900000,31100000,52200000,131500000,-8600000,-1e+06,-7400000,-7600000,-94800000,-80800000,-104800000,-23900000,-207100000,-8.3e+07,-8.3e+07,-2e+06,-8.5e+07,70500000,445500000,115700000,0.39182,0.10628,0.06781,0.03963,0.018,2.94402,1.83407,1.20159,0.20407,0.41987,0.41987,6.19231,10.53419,1.23611,0.0812,0.02731,0.06737,0.19338,4.28936,4.90909
"22","2019_Q2",29.7898412698413,"Down",523400000,-303200000,220200000,-1.64e+08,-1.64e+08,56200000,-5600000,-6900000,1300000,50600000,-3800000,46800000,-6200000,40600000,40600000,-1e+05,40500000,40500000,80600000,80600000,375500000,375500000,3.74e+08,45400000,45400000,875500000,1.33e+08,385600000,1342800000,675200000,425900000,3400000,238300000,1475800000,2351300000,256100000,112600000,143500000,1e+07,3.26e+08,3.26e+08,592100000,435300000,406600000,92100000,205900000,841900000,1.434e+09,315900000,-5.2e+08,1201200000,-85700000,911400000,5900000,917300000,2351300000,40600000,7200000,600000.000000007,-180800000,-132400000,-7800000,-99999.9999999995,-7900000,-7900000,200700000,-103100000,-103100000,-12200000,77500000,-62800000,-62800000,299999.999999999,-62500000,63400000,445300000,-1.19e+08,0.42071,0.10737,0.07738,0.04415,0.01722,-2.93827,1.47864,1.56328,0.18938,0.44505,0.44118,5.75165,10.01538,-1.30769,0.08681,0.02736,-0.06726,0.19506,5.75237,6.48932
"23","2019_Q3",25.2590625,"Down",568600000,-338200000,230400000,-168700000,-168700000,61700000,-5700000,-6700000,1e+06,5.6e+07,-6200000,49800000,-9600000,40200000,40200000,0,40200000,40200000,116500000,116500000,363700000,363700000,406500000,42600000,42600000,929300000,138200000,392200000,1375400000,686500000,438500000,3200000,247200000,1513600000,2442900000,366900000,212700000,154200000,1e+07,3.68e+08,3.68e+08,744900000,4.33e+08,409800000,92200000,206400000,842800000,1587700000,321200000,-624300000,1232800000,-8.6e+07,843700000,11500000,855200000,2442900000,40200000,7800000,-1700000,9e+07,136300000,-10500000,-8900000,-34500000,-8900000,39500000,-104300000,-104300000,7200000,-66500000,35300000,35300000,6e+05,35900000,69500000,4.43e+08,158600000,0.40521,0.10851,0.0707,0.04701,0.01646,3.94527,1.24755,1.85652,0.18134,0.45995,0.4642,6.50572,9.65332,1.81465,0.10183,0.02875,0.09286,0.22139,4.69784,5.29173
"24","2019_Q4",29.42125,"Up",574300000,-3.31e+08,243300000,-165900000,-165900000,77400000,-7300000,-8200000,9e+05,70100000,-9100000,6.1e+07,-12400000,48600000,48600000,1e+05,48700000,48700000,125200000,125200000,357300000,357300000,417700000,48400000,48400000,948600000,1.43e+08,399100000,1376900000,684100000,4.37e+08,3200000,252600000,1519900000,2468500000,297100000,155600000,141500000,1e+07,526800000,526800000,833900000,430700000,4.1e+08,92300000,205700000,840700000,1674600000,329400000,-731100000,1273200000,-88600000,782900000,1.1e+07,793900000,2468500000,48600000,8300000,9700000,-54500000,12100000.0000001,-10300000,-7e+05,-1.1e+07,-8600000,122800000,-99800000,-106800000,-6e+06,8400000.00000006,9499999.99999999,9499999.99999999,-8e+05,8700000,85700000,440700000,33300000,0.42365,0.13477,0.0848,0.06134,0.01973,0.683779999999984,1.13755,2.10933,0.17853,0.58323,0.58323,6.87784,9.37605,0.3988,0.10299,0.03484,0.02025,0.17659,3.68145,4.07623
