"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",56.995,"Down",383551000,-229852000,153699000,-138211000,-138211000,15488000,-7379000,-7379000,8109000,8109000,-2440000,5669000,5669000,4862000,4862000,11890000,11890000,143847000,143847000,74098000,32088000,32088000,261923000,300230000,736089000,102049000,109429000,1036319000,1298242000,171099000,50081000,9299000,111719000,25352000,196451000,501384000,395601000,139926000,134904000,120771000,896985000,1093436000,121898000,-61254000,172994000,-93818000,139820000,204806000,1298242000,5669000,14640000,115000,-34210000,-13786000,-16081000,-16081000,-2307000,33725000,-60000,31358000,1491000,1491000,1491000,30128000,526736000,-17723000,0.40073,0.04038,0.01268,0.02374,0.00375,-3.64521,1.33327,5.33889,0.40573,0.68086,0.52415,53.7111,19.57989,-2.48187,0.32306,0.00636,-0.01572,0.4745,17.08862,33.24161
"12","2013_Q3",59.74125,"Up",428979000,-258664000,170315000,-143416000,-143416000,26899000,-7409000,-7409000,19490000,19490000,-7354000,12136000,12136000,11229000,11229000,25725000,25725000,158789000,158789000,75353000,31101000,31101000,290968000,298257000,738983000,102049000,112415000,1037240000,1328208000,193920000,49240000,3998000,140682000,25612000,219532000,490326000,403013000,139155000,140085000,123773000,893339000,1112871000,121898000,-61254000,181910000,-93110000,149444000,215337000,1328208000,12136000,14415000,1634000,10650000,38835000,-11390000,-11390000,-2313000,-11297000,0,-13610000,13835000,13835000,13835000,41314000,515938000,47928000,0.39702,0.0627,0.02618,0.05215,0.00845,4.26823,1.3254,5.16804,0.38845,1.57247,1.20872,60.07268,20.9276,6.71167,0.3239,0.01194,0.04225,0.20598,11.86554,18.22421
"13","2013_Q4",62.2559375,"Up",434464000,-258352000,176112000,-145912000,-145912000,30200000,-7361000,-7361000,22839000,22839000,-4756000,18083000,18083000,16169000,16169000,25283000,25283000,153143000,153143000,70255000,32209000,32209000,280890000,295147000,739318000,102049000,112833000,1034465000,1315355000,199613000,46279000,9380000,143954000,25732000,225345000,453898000,404291000,138288000,142795000,123208000,858189000,1083534000,121898000,-61254000,195766000,-92396000,164014000,231821000,1315355000,18083000,14850000,-434000,17425000,49924000,-11670000,-11670000,-2313000,-36354000,-29000,-38696000,-442000,-442000,-442000,45050000,479630000,55561000,0.40535,0.06951,0.03722,0.06975,0.01229,3.43627,1.24649,4.67401,0.36464,2.26425,1.74066,60.84078,22.96793,7.78056,0.3239,0.01656,0.0498,0.14305,10.08539,15.0446
"14","2014_Q1",72.525737704918,"Up",394337000,-235823000,158514000,-157454000,-157454000,1059999.99999999,-7254000,-7254000,-6194000.00000001,-6194000,2408000,-3786000,-3786000,-4585000,-4585000,11761000,11761000,138595000,138595000,61987000,26872000,26872000,239215000,302998000,733943000,102049000,107541000,1036941000,1276156000,182877000,43579000,4054000,135244000,25939000,208816000,437616000,369798000,90599000,153408000,125791000,807414000,1016230000,121881000,-61254000,188869000,-58176000,191320000,259926000,1276156000,-3786000,14766000,5044000,5377000,21401000,-16155000,-16155000,-2312000,-16381000,-75000,-18768000,-13522000,-13522000,-13522000,15826000,463555000,2640000,0.40198,0.00269,-0.01163,-0.01764,-0.00359,-0.57579,1.14558,3.90969,0.36324,-0.64207,-0.49359,55.22154,26.79177,0.369700000000001,0.32376,-0.00208,0.00241000000000001,-0.50425,28.54758,426.22075
"15","2014_Q2",74.0987301587302,"Up",388582000,-232249000,156333000,-144217000,-144217000,12116000,-7223000,-7223000,4893000,4893000,-1792000,3101000,3101000,2449000,2449000,18774000,18774000,155990000,155990000,76113000,29563000,29563000,280440000,306073000,733751000,102049000,107433000,1039824000,1320264000,196275000,52309000,9389000,134577000,26062000,222337000,471090000,363981000,89825000,146181000,127975000,835071000,1057408000,123644000,-61254000,189006000,-57798000,193598000,262856000,1320264000,3101000,14569000,1235000,-26213000,-7308000,-16856000,-16856000,-2312000,33551000,-62000,31177000,7013000,7013000,7013000,26685000,497152000,-14592000,0.40232,0.03118,0.0063,0.00932,0.00185,-5.95835,1.26133,4.02277,0.37655,0.34295,0.26345,54.41563,27.11077,-2.04341,0.32376,0.00424,-0.01298,0.94406,17.92685,39.48316
"16","2014_Q3",70.4409375,"Down",459473000,-273953000,185520000,-154256000,-154256000,31264000,-7343000,-7343000,23921000,23921000,-8589000,15332000,15332000,13783000,13783000,22874000,22874000,178137000,178137000,83313000,30316000,30316000,314640000,316978000,747562000,103294000,106313000,1064540000,1379180000,211171000,54281000,3942000,152948000,26190000,237361000,489534000,375863000,89160000,146777000,139926000,865397000,1102758000,123820000,-61254000,200470000,-57421000,205615000,276422000,1379180000,15332000,14874000,1401000,-12542000,19065000,-19117000,-31280000,-2319000,18524000,110000,16315000,4100000,4100000,4100000,46138000,515724000,23068000,0.40377,0.06804,0.03,0.04986,0.00999,1.67366,1.32558,3.9894,0.37394,1.93012,1.48029,64.34295,28.79359,3.23036,0.32474,0.01379,0.01975,0.16825,10.68208,15.7641399999999
"17","2014_Q4",82.41859375,"Up",457676000,-272734000,184942000,-156496000,-156496000,28446000,-7333000,-7333000,21113000,21113000,-7408000,13705000,13705000,12132000,12132000,23067000,23067000,170200000,170200000,80123000,30460000,30460000,303850000,327238000,746037000,103294000,104967000,1073275000,1377125000,211486000,49477000,9107000,152902000,6325000,217811000,497952000,373161000,80993000,150543000,141625000,871113000,1088924000,123820000,-61254000,210285000,-57030000,215821000,288201000,1377125000,13705000,15292000,1534000,7680000,38211000,-24172000,-24172000,-2317000,-11495000,-34000,-13846000,193000,193000,193000,43738000,504277000,34654000,0.40409,0.06215,0.02651,0.0421,0.00881,2.85641,1.39502,3.77835,0.36618,1.69892,1.30297,64.0913,30.2228,4.85282,0.32446,0.0124,0.02973,0.19098,11.0021,16.91661
"18","2015_Q1",97.1895081967213,"Up",440638000,-262194000,178444000,-164303000,-164303000,14141000,-8450000,-7373000,5691000,5691000,-1747000,3944000,3944000,2990000,2990000,9095000,9095000,162998000,162998000,70740000,44168000,44168000,287001000,358232000,787843000,106220000,107110000,1146075000,1433076000,220974000,58640000,3655000,158679000,6446000,227420000,497363000,451350000,134100000,1.4e+08,177250000,948713000,1176133000,123820000,-61254000,210957000,-89914000,183609000,256943000,1433076000,3944000,16395000,6714000,14882000,41935000,-22518000,-51943000,-2318000,-519000,-1127000,-3964000,-13972000,-13972000,-13972000,30536000,503809000,24647000,0.40497,0.03209,0.00679,0.01164,0.00209,8.24314,1.26199,4.57741,0.35156,0.41871,0.32116,61.70536,25.71195,3.45148,0.3246,0.00438,0.02033,0.77525,16.20101,34.98437
"19","2015_Q2",115.334603174603,"Up",453253000,-268880000,184373000,-167471000,-167471000,16902000,-12436000,-7347000,4466000,4466000,-1513000,2953000,2953000,2224000,2224000,21163000,21163000,187303000,187303000,91129000,39735000,39735000,339330000,391838000,839456000,109984000,109848000,1231294000,1570624000,232533000,58458000,8768000,165307000,6679000,239212000,575601000,495593000,133809000,131895000,229889000,1071194000,1310406000,126045000,-61254000,210864000,-89500000,186155000,260218000,1570624000,2953000,17657000,7032000,-29437000,-1795000,-30724000,-64113000,-2317000,80381000,-88000,77976000,12068000,12068000,12068000,34559000,582280000,-24089000,0.40678,0.03729,0.00491,0.00855,0.00142,-10.83138,1.41853,5.0358,0.37073,0.31144,0.2387,63.47192,26.06848,-3.37334,0.32446,0.00339,-0.018,1.04182,16.23649,33.19826
"20","2015_Q3",156.7325,"Up",614683000,-377366000,237317000,-199001000,-199001000,38316000,-640000,-6718000,37676000,46483000,-17562000,28921000,28921000,26934000,26934000,43801000,43801000,253391000,253391000,99641000,39722000,39722000,436555000,419263000,852424000,111591000,117663000,1271687000,1708242000,303592000,79327000,2269000,221996000,6858999.99999999,310451000,614405000,496152000,133548000,137402000,225202000,1110557000,1421008000,126045000,-61254000,235474000,-89081000,211184000,287234000,1708242000,28921000,19717000,-13851000,-24000.0000000075,34763000,-26272000,-44159000,-2324000,35361000,-1003000,32034000,22638000,22638000,22638000,58033000,621264000,49299000,0.38608,0.06233,0.04382,0.09377,0.01577,1.83036,1.4062,4.94721,0.36369,3.77174,2.8862,86.078,29.57345,6.90365,0.32544,0.02083,0.0351,0.0862800000000001,9.9506,15.07107
"21","2015_Q4",187.83640625,"Up",618806000,-380270000,238536000,-210851000,-210851000,27685000,-10678000,-6686000,17007000,39658000,-12099000,27559000,27559000,25553000,25553000,40491000,40491000,242576000,242576000,94148000,37158000,38935000,414373000,446783000,848303000,113835000,110510000,1295086000,1709459000,304599000,78872000,6177000,219550000,171702000,476301000,433272000,486994000,122778000,138288000,225928000,920266000,1396567000,126045000,-61254000,258704000,-88659000,234836000,312892000,1709459000,27559000,21035000,-17268000,8189000,39515000,-47152000,-22255000,-2323000,-16631000,-1616000,-20570000,-3310000,-3310000,-3310000,48720000,604974000,21856000,0.38548,0.04474,0.04129,0.08167,0.01495,0.85532,0.86998,4.46342,0.3539,3.57835,2.73821,86.65537,32.88559,3.06064,0.3253,0.01984,0.01556,0.09091,11.58627,20.38949
"22","2016_Q1",164.055081967213,"Down",619716000,-378910000,240806000,-225565000,-225565000,15241000,-8737000,-8164000,6504000,8515000,-2904000,5611000,5611000,4291000,4291000,55498000,55498000,238737000,238737000,89464000,51220000,53337000,434919000,525820000,885826000,117954000,110546000,1411646000,1846565000,319490000,82937000,3481000,233072000,7063000.00000003,326553000,668349000,529231000,115197000,146944000,267090000,1197580000,1524133000,126045000,-61254000,260672000,-82407000,243056000,322432000,1846565000,5611000,22487000,15205000,-7496000,35807000,-57848000,-86816000,-2323000,73247000,-4908000,66016000,15007000,15007000,15007000,37728000,675412000,-24712000,0.38857,0.02459,0.00692,0.01331,0.00232,-5.75903,1.33185,4.72699,0.36577,0.6009,0.45986,86.7828,34.03669,-3.46058,0.3253,0.00433,-0.01618,0.54137,16.43114,40.6741
"23","2016_Q2",141.250625,"Down",625456000,-381558000,243898000,-231497000,-231497000,12401000,-26512000,-9361000,-14111000,-14111000,5078000,-9033000,-9033000,-10041000,-10041000,32600000,32600000,286208000,286208000,110450000,49428000,49428000,478686000,638896000,906281000,135311000,113744000,1545177000,2023863000,337805000,95023000,10840000,231942000,7165000,344970000,806929000,556849000,1.15e+08,135095000,306754000,1363778000,1708748000,129771000,-61254000,248308000,-82094000,234731000,315115000,2023863000,-9033000,24390000,14718000,-45292000,-15217000,-36654000,-138765000,-2323000,138274000,-4867000,131084000,-22898000,-22898000,-22898000,36791000,814094000,-50233000,0.38995,0.01983,-0.01605,-0.03186,-0.00496,5.00279,1.38762,5.42262,0.40225,-1.40611,-1.07991,87.58661,32.87089,-7.03445,0.3253,-0.00458,-0.02979,-0.23135,21.24144,63.01863
"24","2016_Q3",143.14578125,"Up",840384000,-520677000,319707000,-264971000,-264971000,54736000,-26082000,-9808000,28654000,27962000,-10638000,17324000,17324000,15652000,15652000,49323000,49323000,361235000,361235000,126731000,53175000,53175000,590464000,706471000,948815000,139756000,123837000,1655286000,2245750000,425510000,125261000,3523000,296726000,7270000,432780000,874844000,607717000,117919000,136841000,352957000,1482561000,1915341000,129771000,-61254000,261631000,-81795000,248353000,330409000,2245750000,17324000,27939000,23749000,7402000,76414000,-42689000,-121907000,-2329000,68481000,-3936000,62216000,16723000,16723000,16723000,82675000,882114000,58026000,0.38043,0.06513,0.01862,0.04737,0.00697,3.70726,1.36435,5.79688,0.39279,2.19185,1.67347,117.68436,34.77846,8.12575,0.32614,0.00988,0.03188,0.1488,10.07307,15.21469
"25","2016_Q4",152.054761904762,"Up",849028000,-521838000,327190000,-287389000,-287389000,39801000,-1127000,-8452000,38674000,38674000,-13121000,25553000,25553000,23142000,23142000,54217000,54217000,352651000,352651000,126039000,47759000,51132000,580666000,722024000,951335000,141271000,125691000,1673359000,2254025000,427464000,117247000,8745000,301472000,7378000,434842000,863190000,602052000,106874000,150913000,344265000,1465242000,1900084000,129771000,-61254000,282445000,-81488000,269474000,353941000,2254025000,25553000,31057000,2048000,8270000,66928000,-44923000,-45381000,-2328000,-11791000,-2534000,-16653000,4894000,4894000,4894000,70858000,870568000,47326000,0.38537,0.04688,0.02726,0.06538,0.01027,2.04503,1.33535,5.36836,0.38623,3.24072,2.47429,118.89483,37.73617,6.62736,0.326,0.01394,0.02591,0.1006,11.52094,20.51082
"26","2017_Q1",173.12564516129,"Up",841560000,-516633000,324927000,-304006000,-304006000,20921000,19266000,-8704000,40187000,40187000,-17368000,22819000,22819000,21393000,21393000,21850000,21850000,369022000,369022000,143553000,59386000,63834000,593811000,812989000,1042684000,144586000,130070000,1855673000,2449484000,450380000,116821000,3639000,329920000,7527000,457907000,948448000,680105000,126679000,174854000,378572000,1628553000,2086460000,129771000,-61254000,301511000,-92897000,277131000,363024000,2449484000,22819000,33237000,13517000,-35703000,33870000,-47248000,-145973000,-2327000,85216000,-3153000,79736000,-32367000,-32367000,-32367000,54158000,955975000,-11425000,0.3861,0.02486,0.02542,0.05893,0.00873,-0.53405,1.29679,5.74744,0.39028,2.9958,2.27779,117.84904,38.80843,-1.59992,0.32586,0.01187,-0.00572000000000001,0.10877,17.24814,44.65011
"27","2017_Q2",209.996349206349,"Up",865702000,-533681000,332021000,-317071000,-317071000,14950000,-23058000,-9470000,-8108000,-8108000,3691000,-4417000,-4417000,-5051000,-5051000,31940000,31940000,390812000,390812000,180052000,56359000,61604000,659163000,924177000,1081480000,149383000,137535000,2005657000,2664820000,458612000,135027000,9144000,314441000,7699000,466311000,1041503000,796616000,126473000,156460000,513683000,1838119000,2304430000,133440000,-61254000,294132000,-92455000,273863000,360390000,2664820000,-4417000,34981000,86968000,-1014000,116518000,-56967000,-197059000,-2328000,93172000,-213000,90631000,10090000,10090000,10090000,49931000,1049202000,-11741000,0.38353,0.01727,-0.00583,-0.01402,-0.0019,2.32449,1.41357,6.39427,0.39372,-0.70732,-0.54201,121.2298,38.35079,-1.64417,0.326,-0.00123,-0.00532,-0.4609,20.37336,68.04428
"28","2017_Q3",214.884920634921,"Up",1169291000,-754113000,415178000,-366523000,-366523000,48655000,-37331000,-10440000,11324000,11324000,-3743000,7581000,7581000,6348000,6348000,43514000,43514000,506239000,506239000,200441000,61181000,66871000,811375000,977553000,1102513000,160427000,143882000,2080066000,2891441000,594213000,164622000,4914000,424677000,7875000,602088000,1117729000,805533000,126314000,146649000,532570000,1923262000,2525350000,133440000,-61254000,298146000,-92001000,278331000,366091000,2891441000,7581000,42066000,10678000,2128000,62453000,-37854000,-118122000,-2334000,76133000,-6556000,67243000,11574000,11574000,11574000,90721000,1125604000,58738000,0.35507,0.04161,0.00543,0.01734,0.0022,9.25299,1.3476,6.89815,0.38929,0.88895,0.67719,163.74331,38.97647,8.22546,0.32684,0.00378,0.02557,0.36767,11.92767,22.24006
"29","2017_Q4",212.13380952381,"Down",1162526000,-752202000,410324000,-372852000,-372852000,37472000,-6813000,-10697000,30659000,30659000,-11748000,18911000,18911000,17316000,17316000,11922000,11922000,486051000,486051000,191943000,252800000,129674000,942716000,939270000,1029110000,152701000,146632000,1968380000,2911096000,559152000,182690000,9279000,367183000,7963000,567115000,1163011000,797854000,99835000,153765000,544254000,1960865000,2527980000,133440000,-61254000,313129000,-91554000,293761000,383116000,2911096000,18911000,43246000,-1416000,-37287000,23454000,-35237000,-92720000,-2333000,45101000,-5094000,37674000,-31592000,-31592000,-31592000,80718000,1170974000,19942000,0.35296,0.03223,0.0149,0.0452,0.00595,1.15165,1.6623,6.59847,0.40225,2.42487,1.84724,162.79597,41.13724,2.79261,0.3267,0.00835,0.00848,0.13473,14.35928,30.93115
"30","2018_Q1",186.360163934426,"Down",1126149000,-742725000,383424000,-388322000,-388322000,-4898000,21136000,-11262000,16238000,29131000,51641000,80772000,80772000,77922000,77922000,16902000,16902000,500978000,500978000,183618000,93040000,100646000,794538000,1031388000,1247034000,169316000,164366000,2278422000,3072960000,631231000,197049000,5126000,429056000,8221000,639452000,1123266000,851335000,118392000,112364000,620579000,1974601000,2614053000,133440000,-61254000,388718000,-94202000,366702000,458907000,3072960000,80772000,48548000,-41345000,17416000,105391000,-61533000,-50994000,-2333000,-41891000,-5193000,-49417000,4980000.00000001,4980000.00000001,4980000.00000001,43650000,1131487000,-52108000,0.34047,-0.00435,0.06919,0.1698,0.02536,-0.66872,1.24253,5.69626,0.36821,10.91192,8.28165,157.70186,51.35163,-7.29702,0.3267,0.03287,-0.02134,0.02994,25.53459,-227.55921
