"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",8.70612903225807,"Down",16906000,-10180000,6726000,-6753000,-6573000,-4381000,-2192000,-180000,-27000,16000,16000,-11000,-11000,-21000,-32000,-32000,-32000,-32000,5717000,5717000,8797000,8797000,12316000,2150000,1476000,28980000,5484000,28514000,27424000,33998000,62978000,8790000,4676000,3578000,10909000,3698000,3698000,3698000,14607000,218547000,-170421000,245000,48371000,48371000,62978000,-32000,410000,94000,-1525000,-1053000,-363000,-363000,757967.230048658,12000,12000,-522000,-1938000,-1938000,31000,-1907000,383000,2119000,-1484000,0.39785,-0.0016,-0.00189,-0.00066,-0.00051,46.375,2.65652,0.30198,0.03365,-0.00584,-0.00584,3.08785,8.83489,-0.27105,1,0.00926,-0.02739,-9.39426,133.25926
"12","2013_Q1",8.54966666666667,"Down",18453000,-11049000,7404000,-6684000,-6443000,-4319000,-2124000,-241000,720000,-66000,-66000,654000,654000,-265000,389000,389000,389000,389000,5784000,5784000,11044000,11044000,12483000,3644000,2514000,32955000,6005000,27866000,26746000,33871000,66826000,9430000,5298000,4132000,11837000,3575000,3575000,6127000,17964000,218598000,-170032000,296000,48862000,48862000,66826000,389000,428000,322000,-2525000,-1386000,-604000,-604000,2552000,83000,83000,2099000,109000,109000,-42000,67000.0000000005,1148000,4959000,-1716000,0.40124,0.03902,0.02108,0.00796,0.00582,-4.41131,2.78407,0.36765,0.07421,0.07142,0.07142,3.38774,8.97044,-0.31504,2,0.01612,-0.0299,-0.718640000000001,-1.14583000000002
"13","2013_Q2",7.91671875,"Down",18979000,-11177000,7802000,-8484000,-8094000,-5125000,-2969000,-390000,-682000,11000,11000,-671000,-671000,319000,-352000,-352000,-386000,-386000,5459000,5459000,9945000,9945000,15082000,1603000,1148000,32089000,6543000,50932000,27757000,57475000,89564000,11065000,7590000,3475000,13821000,5233000,5233000,11789000,25610000,222357000,-170595000,189000,51951000,63954000,89564000,-352000,474000,-241000,629000,510000,-317000,-3336000,2476000,59000,59000,2535000,-291000,-291000,-34000,-325000,-208000,9312000,-215000,0.41109,-0.03593,-0.02034,-0.00604,-0.00431,0.55699,2.32176,0.40044,0.10397,-0.06959,-0.06959,3.42149,9.3656,-0.03876,2,-0.00492,-0.00274,-18.52404,-5.64956
"14","2013_Q3",6.28828125,"Down",18261000,-13241000,5020000,-8598000,-8115000,-4838000,-3277000,-483000,-3578000,-52000,-52000,-3630000,-3630000,1163000,-2467000,-2467000,-2228000,-2228000,5410000,5410000,8393000,8393000,14300000,1293000,1055000,29396000,7044000,52305000,29215000,59349000,88745000,10603000,5721000,4882000,14247000,9405000,9405000,12817000,27064000,222524000,-173610000,216000,49130000,61681000,88745000,-2467000,615000,-1099000,1378000,-1573000,4603000,4603000,-3142000,52000,52000,-3090000,-59999.9999999998,-59999.9999999998,11000,-49000.0000000002,-2963000,7056000,1855000,0.2749,-0.19594,-0.12201,-0.03612,-0.02511,-0.832589999999999,2.06331,0.43877,0.07951,-0.38381,-0.38381,3.14574,8.46339,0.31955,1,-0.02851,0.02374,-0.555520000000001,-0.460030000000002
"15","2013_Q4",6.99140625,"Up",17595000,-10189000,7406000,-7331000,-7007000,-4591000,-2416000,-324000,75000,-93000,-93000,-18000,-18000,0,-18000,-18000,241000,241000,6344000,6344000,7662000,7662000,13569000,1870000,1466000,29445000,8444000,52544000,29056000,60988000,90433000,10478000,5177000,5301000,14142000,9372000,9372000,14287000,28429000,221438000,-172869000,330000,48899000,62004000,90433000,-18000,626000,115000,-920000,-197000,-536000,-536000,1501000,143000,143000,1644000,911000,911000,23000,934000,701000,8579000,-755000,0.42092,0.00426,0.0137,0.00389,0.00266,-3.13278,2.0821,0.4585,0.09487,0.04134,0.04134,3.01853,8.38892,-0.12952,3,0.00301,-0.00944,3.1883,29.8
"16","2014_Q1",9.19885245901639,"Up",23504000,-13100000,10404000,-7649000,-7346000,-4874000,-2472000,-303000,2755000,171000,171000,2926000,2926000,-1028000,1898000,1898000,1177000,1177000,6016000,6016000,11409000,11409000,11687000,4799000,2643000,33911000,9928000,49714000,26358000,59642000,93553000,8868000,4448000,4420000,12776000,11298000,11298000,16597000,29373000,221051000,-171110000,580000,50521000,64180000,93553000,1898000,782000,1016000,-3848000,-152000,-660000,-660000,386000,69000,69000,470000,-342000,-342000,14000,-328000,3537000,9207000,57000.0000000005,0.44265,0.11721,0.05008,0.01834,0.01258,0.0484300000000002,2.65427,0.45767,0.09841,0.20158,0.20158,4.02535,8.65234,0.00975999999999996,4,0.0139,0.000669999999999994,0.90218,1.15826
"17","2014_Q2",11.0444444444444,"Up",20793000,-12514000,8279000,-8380000,-7992000,-4945000,-3047000,-388000,-101000,-16000,-16000,-117000,-117000,-156000,-273000,-273000,192000,192000,6200000,6200000,10274000,10274000,12345000,4197000,2020000,33016000,11384000,49626000,26262000,61010000,94026000,10599000,6325000,4274000,14344000,13840000,13840000,15230000,29574000,220858000,-171244000,592000,50206000,64452000,94026000,-273000,729000,253000,4516000,5225000,-1311000,-1311000,-3955000,215000,215000,-3740000,174000,174000,10000,184000,628000,5036000,3989000,0.39816,-0.00486,0.00923,0.00298,0.00204,20.77604,2.30173,0.45885,0.05356,0.03208,0.03208,3.47419,8.38864,0.6665,5,0.0023,0.04787,-1.8535,11.52475
"18","2014_Q3",12.7209375,"Up",22916000,-13839000,9077000,-8160000,-7786000,-4752000,-3034000,-374000,917000,7000,7000,924000,924000,-146000,778000,778000,1069000,1069000,6264000,6264000,11995000,11995000,12666000,4301000,2124000,35226000,12258000,49633000,26239000,61891000,97117000,9368000,5106000,4262000,14240000,13319000,13319000,16329000,30569000,221509000,-170467000,641000,51683000,66548000,97117000,778000,888000,577000,-4305000,-2062000,-221000,-221000,1620000,687000,687000,2307000,24000,24000,40000,63999.9999999999,1805000,7215000,-2575000,0.3961,0.04002,0.04665,0.01606,0.01101,-2.40879,2.47374,0.45935,0.07429,0.16753,0.16753,3.59129,8.09951,-0.40354,6,0.01228,-0.02957,0.52687,1.03708
"19","2014_Q4",14.81546875,"Up",21805000,-13488000,8317000,-7976000,-7654000,-4716000,-2938000,-322000,341000,40000,40000,381000,381000,-366000,15000,15000,513000,513000,5753000,5753000,12818000,12818000,12088000,4111000,1974000,34770000,13184000,49130000,25821000,62314000,97084000,9337000,4662000,4675000,15037000,12951000,12951000,15197000,30234000,221394000,-170452000,389000,51331000,66850000,97084000,15000,977000,820000,-1370000,442000,-237000,-237000,-763000,167000,167000,-596000,-391000,-391000,-120000,-511000,1318000,7240000,77000,0.38143,0.01564,0.02353,0.00767,0.00528,0.1501,2.3123,0.45227,0.07457,0.07801,0.07801,3.31585,7.80581,0.01171,6,0.00589,0.00088,1.12822,4.3607
"20","2015_Q1",21.1190163934426,"Up",24323000,-14281000,10042000,-8288000,-7958000,-4746000,-3212000,-330000,1754000,8000,8000,1762000,1762000,-683000,1079000,1079000,829000,829000,5855000,5855000,11919000,11919000,12658000,2479000,2479000,32911000,13410000,50523000,27210000,63933000,96844000,10027000,4897000,5130000,14863000,12754000,12754000,13170000,28033000,222360000,-169511000,283000,53132000,68811000,96844000,1079000,1118000,1226000,-1474000,1949000,-562000,-562000,-1831000,361000,361000,-1242000,145000,145000,-43000,102000,2872000,5e+06,1519000,0.41286,0.07211,0.03408,0.01205,0.00856,1.83233,2.21429,0.40739,0.05163,0.12384,0.12384,3.63355,7.93726,0.22692,4,0.00958,0.01755,-0.2977,-0.48746
"21","2015_Q2",28.8977777777778,"Up",22894000,-12810000,10084000,-9063000,-8644000,-5460000,-3184000,-419000,1021000,-137000,-137000,884000,884000,-301000,583000,583000,598000,598000,5728000,5728000,11515000,11515000,15711000,4170000,2688000,37124000,14080000,49148000,25470000,63228000,100352000,11022000,5138000,5884000,16044000,12191000,12191000,14206000,30250000,222847000,-168929000,359000,54277000,70102000,100352000,583000,1006000,671000,-3650000,-1390000,-605000,-605000,1599000,235000,235000,1834000,-161000,-161000,34000,-127000,2027000,6762000,-1927000,0.44046,0.0446,0.02612,0.00853,0.00596,-3.22241,2.31389,0.43151,0.06738,0.09675,0.08706,3.70393,8.78127,-0.31176,5,0.00671,-0.02164,0.51011,1.01273
"22","2015_Q3",32.51015625,"Up",23910000,-13613000,10297000,-8468000,-8076000,-5239000,-2837000,-392000,1829000,-37000,-37000,1792000,1792000,-614000,1178000,1178000,1197000,1197000,6647000,6647000,11368000,11368000,16836000,3956000,2488000,38807000,14886000,49213000,24954000,64099000,102906000,11667000,6147000,5520000,16871000,12062000,12062000,13734000,30605000,223894000,-167750000,452000,56596000,72301000,102906000,1178000,1068000,1041000,-2179000,1108000,-331000,-331000,-342999.999999999,445000,445000,102000,879000,879000,40000,919000,2897000,6178000,1001000,0.43066,0.0765,0.05006,0.01656,0.01163,0.83626,2.30022,0.4233,0.06004,0.19051,0.16881,3.80551,9.0078,0.15932,5,0.01322,0.01106,-0.16189,-0.25642
"23","2015_Q4",33.21234375,"Up",28034000,-16437000,11597000,-9455000,-8962000,-5173000,-3789000,-493000,2142000,69000,69000,2211000,2211000,-828000,1383000,1383000,1415000,1415000,5931000,5931000,13972000,13972000,17702000,3670000,2222000,41275000,15727000,49030000,24252000,64757000,106032000,13553000,7240000,6313000,17560000,11521000,11521000,13458000,31018000,225189000,-166368000,338000,59159000,75014000,106032000,1383000,1166000,1373000,-4572000,-650000,-1040000,-1040000,266000,785000,785000,1051000,-639000,-639000,-77000,-716000,3308000,5880000,-1476000,0.41368,0.07641,0.05047,0.01886,0.01335,-1.04311,2.35051,0.4135,0.05545,0.22298,0.19754,4.41759,9.32225,-0.23259,6,0.01531,-0.01597,-0.01542,-0.02381
"24","2016_Q1",33.134262295082,"Down",29759000,-17524000,12235000,-8670000,-8316000,-5467000,-2849000,-354000,3565000,-25000,-25000,3540000,3540000,-1165000,2375000,2375000,2029000,2029000,6890000,6890000,15935000,15935000,16101000,2336000,2336000,41262000,17020000,51437000,25883000,68457000,109719000,13040000,7624000,5416000,18501000,11572000,11572000,11943000,30444000,227333000,-163992000,187000,63528000,79275000,109719000,2375000,947000,547000,-812000,3057000,-1797000,-1797000,-1568000,-207000,678000,-261000,999000,999000,-40000,958999.999999999,4512000,5832000,3068000,0.41114,0.1198,0.06818,0.02559,0.01849,1.51207,2.23026,0.38403,0.05315,0.28079,0.28287,4.11832,8.79159,0.42458,7,0.02099,0.03173,-0.23449,-0.29677
"25","2016_Q2",33.7078125,"Up",27146000,-15704000,11442000,-9472000,-8897000,-5619000,-3278000,-575000,1970000,133000,133000,2103000,2103000,-656000,1447000,1447000,1186000,1186000,6180000,6180000,13707000,13707000,18613000,1684000,1684000,40184000,17761000,52147000,25302000,69908000,110092000,12602000,5941000,6661000,16498000,11323000,11323000,12312000,28810000,227864000,-162545000,186000,65505000,81282000,110092000,1447000,1096000,1108000,-4288000,-637000,-810000,-695000,527000,33000,220000,560000,-772000,-772000,62000,-710000,3066000,4885000,-1376000,0.4215,0.07257,0.04369,0.01459,0.01077,-1.1602,2.43569,0.35445,0.04437,0.18257,0.16555,4.17888,10.0839,-0.21182,5,0.01217,-0.01411,-0.42237,-0.65736
"26","2016_Q3",49.29796875,"Up",29965000,-17283000,12682000,-9126000,-8603000,-5386000,-3217000,-523000,3556000,-34000,-34000,3522000,3522000,-780000,2742000,2742000,2521000,2521000,6669000,6669000,14596000,14596000,18076000,3346000,3346000,42687000,17652000,59286000,24664000,76938000,119625000,11238000,6011000,5227000,15164000,12296000,11391000,12937000,28101000,235324000,-159805000,139000,75658000,91524000,119625000,2742000,1115000,1277000,-4219000,915000,-153000,-153000,-849000,616000,429000,-233000,529000,529000,-40000,489000,4671000,4567000,1079000,0.42323,0.11867,0.08413,0.02754,0.02107,0.428,2.81502,0.30703,0.03818,0.3715,0.34782,4.41571,11.14913,0.159,6,0.02326,0.00996,-0.45001,-0.59111
"27","2016_Q4",61.9487301587302,"Up",33430000,-19712000,13718000,-9226000,-8719000,-5490000,-3229000,-507000,4492000,-14000,-14000,4478000,4478000,-1135000,3343000,3343000,3348000,3348000,9214000,9214000,15981000,15981000,19776000,2994000,2994000,47965000,17260000,59087000,22747000,76347000,124312000,12072000,6027000,6045000,15470000,11357000,11357000,13456000,28926000,236083000,-156460000,168000,79791000,95386000,124312000,3343000,1207000,1586000,-4533000,1603000,-447000,-447000,1454000,-82000,-82000,1372000,2528000,2528000,17000,2545000,5699000,5497000,1854000,0.41035,0.13437,0.10015,0.0351,0.02693,0.55376,3.10052,0.30325,0.04422,0.48529,0.44729,4.84563,11.56559,0.26873,6,0.02983,0.01652,-0.65222,-0.82747
"28","2017_Q1",85.5512903225806,"Up",39542000,-23492000,16050000,-9535000,-8993000,-5597000,-3396000,-542000,6515000,-114000,-114000,6401000,6401000,-1768000,4633000,4633000,3453000,3453000,10794000,10794000,20857000,20857000,20395000,2402000,2402000,54448000,16581000,58990000,21122000,76396000,130844000,11924000,6343000,5581000,17062000,11455000,11455000,26807000,43869000,238705000,-151827000,97000,86975000,86975000,130844000,4633000,1227000,2218000,-4104000,3974000,-2007000,-2007000,-1349000,1053000,1815000,-296000,1671000,1671000,-91000,1580000,7742000,18912000,3399000,0.4059,0.16476,0.08732,0.0397,0.02639,0.98436,3.19119,0.50439,0.14454,0.49676,0.45753,5.68868,12.51259,0.48899,6,0.02943,0.02897,1.04857,1.24605
"29","2017_Q2",98.6796825396825,"Up",29559000,-16350000,13209000,-10421000,-9891000,-6100000,-3791000,-530000,2788000,62000,62000,2850000,2850000,1453000,4303000,4303000,4607000,4607000,12183000,12183000,14197000,14197000,24920000,3614000,3614000,54914000,16358000,62293000,22582000,78651000,133565000,11928000,5669000,6259000,29993000,10874000,10874000,10874000,40867000,240069000,-147524000,153000,92698000,92698000,133565000,4303000,1092000,-770000,-2694000,1931000,-480000,-480000,44000,-147000,713000,-103000,1348000,1348000,41000,1389000,3880000,4308000,-747000,0.44687,0.09432,0.15586,0.0497,0.03449,-0.16214,1.83089,0.44086,0.03225,0.65711,0.60666,4.21609,13.22179,-0.10655,5,0.0427,-0.00692,-2.02964,-2.82461
"30","2017_Q3",98.3711111111111,"Down",33405000,-18476000,14929000,-10369000,-9924000,-5993000,-3931000,-445000,4560000,118000,118000,4678000,4678000,-1539000,3139000,3139000,3333000,3333000,3727000,3727000,14459000,14459000,26068000,3734000,3734000,47988000,16159000,62262000,21052000,78421000,126409000,12078000,7410000,4668000,19535000,10299000,10299000,10299000,29834000,240693000,-144385000,267000,96575000,96575000,126409000,3139000,1100000,2245000,-3560000,2924000,-815000,-14572000,3238000,858000,858000,3142000,-8506000,-8506000,50000,-8456000,5660000,7457000,2824000,0.44691,0.13651,0.09978,0.03451,0.02637,0.84728,2.45651,0.30892,0.05899,0.48144,0.44169,4.82522,13.94988,0.40792,6,0.02915,0.0247,0.65901,0.817980000000001
"31","2017_Q4",88.201746031746,"Down",30336000,-16783000,13553000,-9775000,-9174000,-5815000,-3359000,-601000,3778000,6000,6000,3784000,3784000,-701000,3083000,3083000,3083000,3083000,7423000,7423000,13492000,13492000,30013000,6044000,6044000,56972000,16147000,62527000,20299000,78674000,135646000,15023000,10374000,4649000,24802000,9817000,9817000,9817000,34619000,243070000,-142265000,222000,101027000,101027000,135646000,3083000,1394000,1387000,-4441000,1423000,-697000,-697000,2281000,716000,716000,2988000,3714000,3714000,-18000,3696000,5172000,9779000,735000,0.44676,0.12454,0.10163,0.03052,0.02273,0.2384,2.29707,0.34267,0.07209,0.4388,0.40343,4.31768,14.37902,0.10461,4,0.02556,0.00609,0.45553,0.62361
"32","2018_Q1",73.1901639344262,"Down",36041000,-19471000,16570000,-9477000,-9049000,-5317000,-3732000,-428000,7093000,-36000,-36000,7057000,7057000,-8126000,-1069000,-1069000,-1070000,-1070000,9659000,9659000,15367000,15367000,32596000,3097000,3097000,60719000,17331000,55325000,11877000,74725000,135444000,13563000,9489000,4074000,19383000,9621000,8431000,15621000,35004000,243671000,-143463000,232000,100440000,100440000,135444000,-1069000,1168000,8701000,-4669000,4131000,-1420000,-1420000,-303000,-51000,165000,-476000,2235000,2235000,1000,2236000,8261000,9992000,10298000,0.45975,0.1968,-0.02969,-0.01065,-0.0079,-9.6243,3.13259,0.34851,0.07377,-0.15229,-0.14002,5.12966,14.29547,1.4657,4,-0.00891,0.08578,0.0403100000000001,0.04695
"33","2018_Q2",93.59875,"Up",32765000,-19458000,13307000,-11436000,-10766000,-6140000,-4626000,-670000,1871000,4000,4000,1875000,1875000,280000,2155000,2155000,2155000,2155000,12126000,12126000,14293000,14293000,30301000,3866000,3866000,60586000,16858000,57974000,12173000,77134000,137720000,13667000,6226000,7441000,17434000,9196000,9196000,15196000,32630000,243451000,-138674000,313000,105090000,105090000,137720000,2155000,1196000,777000,79000,4207000,-375000,-375000,-947577.760560177,-1283000,288000,-1409000,2423000,2423000,44000,2467000,3067000,9090000,2491000,0.40613,0.0571,0.06577,0.02051,0.01565,1.15592,3.47516,0.3105,0.066,0.30344,0.27947,4.61349,14.79724,0.35075,4,0.01747,0.02019,-0.98989,-1.62266
