"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",1.52390625,"Down",12164000,-6547000,5617000,-6402000,-4685000,-1717000,-785000,-4000,-14000,10000,-789000,-789000,-12000,-801000,-801000,-801000,-801000,7154000,7154000,2808000,2808000,9177000,966000,437000,529000,20105000,1751000,10226000,9488000,81000,11977000,32082000,5935000,4355000,1580000,4603000,3946000,10871000,270000,270000,336000,11207000,203664000,-183160000,371000,20875000,20875000,32082000,-801000,193000,3e+05,-479000,-787000,-318000,-318000,-193000,0,-193000,-1298000,-1298000,-1298000,-592000,399000,-1377000,0.46177,-0.06453,-0.06585,-0.03837,-0.02497,1.7191,1.84942,0.53686,0.01244,-0.05494,-0.05494,0.83429,1.43176,-0.09444,-0.03718,-0.06392,11.41047,8.6051
"12","2014_Q1",2.28065573770492,"Up",11127000,-6148000,4979000,-6075000,-4318000,-1757000,-1096000,-24000,-14000,-10000,-1120000,-1120000,-6000,-1126000,-1126000,-1126000,-1126000,5243000,5243000,2599000,2599000,8741000,1038000,431000,607000,17621000,1687000,10051000,9488000,87000,11738000,29359000,4386000,2870000,1516000,4546000,4070000,9099000,249000,249000,303000,9402000,203872000,-184286000,371000,19957000,19957000,29359000,-1126000,223000,328000,-788000,-1363000,-359000,-359000,-189000,0,-189000,-1911000,-1911000,-1911000,-873000,221000,-2014000,0.44747,-0.0985,-0.1012,-0.05642,-0.03835,1.78863,1.93659,0.47111,0.00753,-0.07723,-0.07723,0.76317,1.36879,-0.13813,-0.05512,-0.09859,5.75258,4.58212
"13","2014_Q2",1.95047619047619,"Down",10883000,-5493000,5390000,-5629000,-3948000,-1681000,-239000,-15000,-9000,-6000,-254000,-254000,-13000,-267000,-267000,-267000,-267000,5831000,5831000,2778000,2778000,8527000,668000,339000,329000,17804000,1628000,10051000,9488000,87000,11679000,29483000,4858000,3162000,1696000,4430000,3954000,9288000,233000,233000,274000,9562000,204103000,-184553000,371000,19921000,19921000,29483000,-267000,229000,305000,618000,885000,-118000,-118000,-179000,246.83070836173,-179000,588000,588000,588000,-10000,41000,503000,0.49527,-0.02196,-0.02453,-0.0134,-0.00906,-1.8839,1.91688,0.48,0.00139,-0.01831,-0.01831,0.74643,1.36632,0.0345,-0.01322,0.02491,579,24.22594
"14","2014_Q3",1.90984375,"Down",10968000,-5531000,5437000,-5705000,-4062000,-1643000,-268000,-29000,-7000,-22000,-297000,-297000,-26000,-323000,-323000,-323000,-323000,6098000,6098000,2749000,2749000,8135000,969000,545000,424000,17951000,1499000,10063000,9488000,99000,11562000,29513000,5475000,3770000,1705000,3889000,3413000,9364000,199000,199000,228000,9592000,204426000,-184876000,371000,19921000,19921000,29513000,-323000,236000,307000,116000,336000,-159000,-159000,-11000,-4.54747350886464e-13,90000,267000,267000,267000,-31999.9999999999,29000,-49000.0000000002,0.49571,-0.02443,-0.02945,-0.01621,-0.01094,0.1517,1.91702,0.4815,0.00098,-0.02209,-0.02209,0.75021,1.36259,-0.00334999999999999,-0.01603,-0.00243,189.65625,22.64552
"15","2014_Q4",1.87296875,"Down",11593000,-5694000,5899000,-6005000,-4248000,-1757000,-106000,-8000,-6000,-2000,-114000,-114000,-16000,-130000,-130000,-130000,-130000,5877000,5877000,3887000,3887000,7601000,1036000,470000,566000,18401000,1411000,10081000,9488000,117000,11492000,29893000,5924000,4052000,1872000,3738000,3262000,9662000,161000,161000,178000,9840000,204688000,-185006000,371000,20053000,20053000,29893000,-130000,228000,161000,-381000,-122000,-140000,-140000,-12000,0,41000,-221000,-221000,-221000,122000,17000,-383000,0.50884,-0.00914,-0.01121,-0.00648,-0.00435,2.94615,1.90447,0.4907,0.00057,-0.00885,-0.00885,0.78934,1.36536,-0.02608,-0.00643,-0.01893,-48.0327899999997,55.28302
"16","2015_Q1",1.88360655737705,"Up",11102000,-5543000,5559000,-5762000,-4097000,-1665000,-203000,-4000,-6000,2000,-207000,-207000,-6000,-213000,-213000,-213000,-213000,6264000,6264000,3631000,3631000,8404000,883000,524000,359000,19182000,1487000,10013000,9488000,125000,11500000,30682000,6410000,4547000,1863000,3968000,3568000,10378000,131000,131000,138000,10516000,205014000,-185219000,371000,20166000,20166000,30682000,-213000,202000,305000,164000,458000,-178000,-178000,-12000,4.54747350886464e-13,107000,387000,387000,387000,-1000,7000,-9000,0.50072,-0.01828,-0.01919,-0.01056,-0.00694,0.0422499999999997,1.84833,0.52147,0.00023,-0.01445,-0.01445,0.75314,1.36802,-0.000609999999999999,-0.01049,-0.00044,6257,30.82266
"17","2015_Q2",1.65460317460317,"Down",11536000,-5937000,5599000,-5819000,-4075000,-1744000,-220000,-26000,-5000,-21000,-246000,-246000,-16000,-262000,-262000,-262000,-262000,6283000,6283000,3543000,3543000,8545000,937000,356000,581000,19308000,1490000,9992000,9488000,104000,11482000,30790000,6807000,4984000,1823000,3726000,3326000,10533000,98000,98000,98000,10631000,205269000,-185481000,371000,20159000,20159000,30790000,-262000,229000,302000,-57000,212000,-181000,-181000,-12000,0,-12000,19000,19000,19000,9000,0,-213000,0.48535,-0.01907,-0.02271,-0.013,-0.00851,0.81298,1.8331,0.52736,0,-0.01772,-0.01772,0.78014,1.36329,-0.0144,-0.01293,-0.01051,-698.11111,28.55909
"18","2015_Q3",1.38234375,"Down",10735000,-5565000,5170000,-5774000,-3992000,-1782000,-604000,-2000,-3000,1000,-606000,-606000,-26000,-632000,-632000,-632000,-632000,5407000,5407000,2634000,2634000,9296000,988000,595000,393000,18325000,1432000,9987000,9488000,99000,11419000,29744000,5959000,4265000,1694000,3813000,3413000,9772000,75000,75000,75000,9847000,205639000,-186113000,371000,19897000,19897000,29744000,-632000,234000,270000,-658000,-786000,-182000,-182000,-13000,-53000,92000,-876000,-876000,-876000,-370000,0,-1184000,0.4816,-0.05626,-0.05887,-0.03176,-0.02125,1.87342,1.87526,0.4949,0,-0.04249,-0.04249,0.72168,1.33761,-0.0796,-0.03164,-0.05928,14.61351,8.95199
"19","2015_Q4",1.2090625,"Down",10444000,-5735000,4709000,-5533000,-3914000,-1619000,-824000,-9000,-4000,-5000,-833000,-833000,-6000,-839000,-839000,-839000,-839000,5598000,5598000,2631000,2631000,8740000,979000,493000,486000,17948000,1311000,9983000,9488000,95000,11294000,29242000,5708000,4032000,1676000,4125000,3725000,9833000,93000,93000,101000,9934000,205889000,-186952000,371000,19308000,19308000,29242000,-839000,217000,460000,477000,315000,-111000,-111000,-13000,0,-13000,191000,191000,191000,-607000,8000,-235000,0.45088,-0.0789,-0.08033,-0.04345,-0.02869,0.2801,1.82528,0.5145,0.00027,-0.05615,-0.05615,0.69897,1.2922,-0.01573,-0.04323,-0.01211,9.20923000000003,6.78398
"20","2016_Q1",1.02393442622951,"Down",10231000,-5411000,4820000,-5838000,-4060000,-1778000,-1018000,-10000,-5000,-5000,-1028000,-1028000,-10000,-1038000,-1038000,-1038000,-1038000,4989000,4989000,2658000,2658000,9503000,769000,4e+05,369000,17919000,1471000,9581000,9488000,93000,11052000,28971000,5318000,3633000,1685000,4712000,4712000,10030000,80000,80000,232000,10262000,206328000,-187990000,371000,18709000,18709000,28971000,-1038000,198000,203000,-744000,-1381000,-103000,-103000,681000,0,875000,-609000,-609000,-609000,-820000,152000,-1657000,0.47112,-0.0995,-0.10146,-0.05548,-0.03583,1.59634,1.78654,0.54851,0.00525,-0.06914,-0.06914,0.68152,1.24627,-0.11038,-0.0548,-0.08748,5.89878,4.75147
