"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_debt"
"17","2014_Q2",13.9566666666667,"Down",444700000,-388400000,56300000,-66500000,-40900000,-10200000,-10200000,-5900000,-4300000,-20400000,-20400000,-22329182.6345723,-2.1e+07,-26600000,-26600000,-26600000,0
"18","2014_Q3",12.96375,"Down",518500000,-461500000,57000000.0000001,-61400000,-35900000,-4400000,-1899999.99999999,-5700000,3800000,-6300000,-5800000.00000006,-12300000,-19300000.0000001,-13700000,-13700000,-13700000,0
"19","2014_Q4",13.70203125,"Up",518100000,-4.77e+08,41100000,-59300000,-31900000,-18200000,-8700000,-7400000,-1300000,-26900000,-23300000,11200000,-13500000,-32600000,-32600000,-32600000,0
"20","2015_Q1",15.09,"Up",453500000,3084700000,3538200000,444900000,258200000,3983100000,-6600000,-10800000,-1300000,3976500000,3969300000,-26100000,3.942e+09,3955100000,3955100000,3955100000,757200000
"21","2015_Q2",15.5646031746032,"Up",471700000,-427800000,43900000,-7.7e+07,-38700000,-33100000,-8300000,-6100000,-2200000,-41400000,-41300000,-6300000,-48300000,-48300000,-48300000,-48300000,760100000
"22","2015_Q3",14.545,"Down",4.93e+08,-443400000,49599999.9999995,-63200000.0000001,-37900000,-13599999.9999995,-5800000,-7200000,4e+05,-19400000.0000005,-19900000,999999.999999996,-20300000,-20300000,-20300000,-20300000,755800000
"23","2015_Q4",15.8684375,"Up",464900000,-416200000,48700000,-65200000,-38300000,-16500000,-11600000,-9800000,-3700000,-28100000,-29200000,-2400000,-33600000,-39400000,-39400000,-39400000,753900000
"24","2016_Q1",14.4840983606557,"Down",462900000,-395300000,67600000,-65600000,-37900000,2e+06,-6400000,-8100000,2e+05,-4399999.99999997,-4999999.99999997,10400000,16200000,19900000,19899999.9999999,19899999.9999999,755200000
"25","2016_Q2",16.13828125,"Up",504600000,-415500000,89100000,-70200000,-42300000,18900000,-4200000,-8e+06,5e+05,14700000,14700000,-4400000,10300000,10300000,10300000,10300000,755200000
"26","2016_Q3",17.74609375,"Up",582400000,-443100000,139300000,-86400000,-46500000,52900000,-5800000,-9300000,1400000,47100000,46400000,-16200000,31700000,31700000,31700000,31700000,748600000
"27","2016_Q4",17.4715873015873,"Down",596400000,-442600000,153800000,-76600000,-4.7e+07,77200000,-7e+06,-9e+06,-5e+05,70200000,56700000,7500000,65600000,65600000,65600000,65600000,832400000
"28","2017_Q1",20.2524193548387,"Up",5.5e+08,-527900000,22100000,30700000,-49300000,52800000,-28300000,-5800000,-22800000,24500000,47100000,-6700000,42700000,41100000,41100000,41100000,3.77e+08
"29","2017_Q2",22.3171428571429,"Up",610900000,-482800000,128100000,-52100000,-48700000,7.6e+07,-4900000,-5e+06,-1900000,71100000,70500000,-15500000,5.5e+07,5.5e+07,5.5e+07,5.5e+07,376200000
"30","2017_Q3",23.352380952381,"Up",694100000,-511800000,182300000,-49200000,-47200000,133100000,-5700000,-4900000,-3100000,127400000,130500000,-3.6e+07,94500000,94500000,94500000,94500000,376100000
"31","2017_Q4",24.8453968253968,"Up",718300000,-507700000,210600000,-48500000,-49400000,162100000,-4200000,-4900000,-2200000,157900000,157200000,-46400000,110800000,107400000,107400000,107400000,375500000
"32","2018_Q1",26.3091803278689,"Up",710700000,-495700000,2.15e+08,-44200000,-45700000,170800000,-8200000,5800000,-6800000,162600000,151800000,-21100000,130700000,133100000,133100000,133100000,351900000
"33","2018_Q2",26.55625,"Up",6.91e+08,-5.15e+08,1.76e+08,-5.1e+07,-5.1e+07,1.25e+08,-2e+06,-4e+06,-1e+06,1.23e+08,1.24e+08,-3e+07,9.4e+07,9e+07,9e+07,9e+07,376200000
"34","2018_Q3",26.4087301587302,"Down",8.11e+08,-5.5e+08,2.61e+08,-4.5e+07,-5e+07,2.16e+08,9.31322574615479e-10,3e+06,-1e+06,2.16e+08,2.16e+08,-5.1e+07,1.65e+08,1.63e+08,1.63e+08,1.63e+08,375700000
"35","2018_Q4",21.1098412698413,"Down",7.37e+08,-5.24e+08,2.13e+08,-4.5e+07,-5.1e+07,1.68e+08,1e+06,2e+06,-2e+06,1.69e+08,1.68e+08,-4.2e+07,1.26e+08,1.28e+08,1.28e+08,1.28e+08,353800000
"36","2019_Q1",22.862131147541,"Up",5.89e+08,-4.95e+08,9.4e+07,-6.6e+07,-5.7e+07,2.8e+07,-4e+06,-1.7e+07,4.65661287307739e-10,2.4e+07,1.3e+07,1e+06,1.4e+07,1.4e+07,1.4e+07,1.4e+07,3.52e+08
"37","2019_Q2",23.0660317460317,"Up",5.82e+08,-5.01e+08,8.1e+07,-5.8e+07,-5.6e+07,2.3e+07,1.2e+07,1e+06,1.1e+07,3.5e+07,3.4e+07,-7e+06,2.7e+07,2.7e+07,2.8e+07,2.8e+07,3.52e+08
"38","2019_Q3",23.3209375,"Up",5.88e+08,-5.1e+08,7.8e+07,-5.5e+07,-5.8e+07,2.3e+07,-4e+06,-9e+06,-2e+06,1.9e+07,1.9e+07,-4e+06,1.5e+07,1.5e+07,1.6e+07,1.6e+07,3.51e+08
"39","2019_Q4",26.8859375,"Up",6.03e+08,-5.29e+08,7.4e+07,-6.1e+07,-5.8e+07,1.3e+07,-5e+06,-6e+06,-1e+06,8e+06,3e+06,-2e+06,1e+06,1e+06,2e+06,2e+06,3.51e+08
"40","2020_Q1",26.4414516129032,"Down",5.37e+08,-4.67e+08,7e+07,-5.7e+07,-5.8e+07,1.3e+07,-6e+06,-5e+06,-2e+06,7e+06,-7.9e+07,2.6e+07,-5.3e+07,-5.3e+07,-5.1e+07,-5.1e+07,3.48e+08
"41","2020_Q2",20.3674603174603,"Down",5.85e+08,-4.77e+08,1.08e+08,-5.7e+07,-5.5e+07,5.1e+07,-2e+06,-5e+06,5e+06,4.9e+07,4.2e+07,-9e+06,3.3e+07,3.3e+07,3.3e+07,3.3e+07,6.98e+08
"42","2020_Q3",29.7171875,"Up",5.48e+08,-4.31e+08,1.17e+08,-5.6e+07,-5e+07,6.1e+07,-3e+06,-7e+06,-999999.999999998,5.8e+07,5e+07,-1.9e+07,3.1e+07,3.1e+07,3.3e+07,3.3e+07,3.48e+08
"43","2020_Q4",32.566875,"Up",7.95e+08,-5.03e+08,2.92e+08,-4.9e+07,-5.2e+07,2.43e+08,-5e+06,-5e+06,0,2.38e+08,2.37e+08,-6e+07,1.77e+08,1.77e+08,1.77e+08,1.77e+08,3.48e+08
"44","2021_Q1",44.2385245901639,"Up",8.6e+08,-5.09e+08,3.51e+08,-5.3e+07,-5.4e+07,2.98e+08,-4e+06,-2e+06,-4e+06,2.94e+08,2.94e+08,-3.7e+07,2.57e+08,2.57e+08,2.57e+08,2.57e+08,3.48e+08
"45","2021_Q2",62.5774603174603,"Up",1.017e+09,-5.38e+08,4.79e+08,-4.8e+07,-4.8e+07,4.31e+08,-1.5e+07,-5e+06,-1e+07,4.16e+08,4.16e+08,-9.6e+07,3.2e+08,3.2e+08,3.21e+08,3.21e+08,3.46e+08
"46","2021_Q3",57.869375,"Down",1.045e+09,-3.72e+08,6.73e+08,-4.6e+07,-4.9e+07,6.27e+08,-2e+06,-4e+06,-1e+06,6.25e+08,6.25e+08,-1.43e+08,4.82e+08,4.96e+08,4.96e+08,4.96e+08,3.46e+08
"47","2021_Q4",67.5053125,"Up",1.018e+09,-5.13e+08,5.05e+08,-5.6e+07,-5.8e+07,4.49e+08,-5e+06,-4e+06,-2e+06,4.44e+08,4.44e+08,-1.11e+08,3.33e+08,366700000,460700000,460700000,3.47e+08
"48","2022_Q1",68.0646774193548,"Up",1.473e+09,-1.059e+09,4.14e+08,-9e+07,-8.6e+07,3.24e+08,-3e+06,-1e+06,-3e+06,3.21e+08,3.15e+08,-7.6e+07,2.39e+08,191300000,100300000,100300000,3.46e+08
"49","2022_Q2",63.56,"Down",1.337e+09,-6.76e+08,6.61e+08,-2.7e+07,-6.5e+07,6.34e+08,-1.1e+07,-3e+06,-1e+07,6.23e+08,6.23e+08,-1.39e+08,4.84e+08,4.84e+08,4.85e+08,4.85e+08,3.46e+08
"50","2022_Q3",56.4934375,"Down",9.6e+08,-4.82e+08,4.78e+08,-9.2e+07,-6.4e+07,3.86e+08,2e+06,-3e+06,2e+06,3.88e+08,3.88e+08,-1.01e+08,2.87e+08,3.86e+08,3.86e+08,3.86e+08,3.46e+08
