"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",19.4784375,"Up",44859000,-15425000,29434000,-25373000,-23661000,-1712000,4061000,-4e+05,-420000,3661000,3526000,-1416000,2110000,2110000,2110000,2110000,8903000,8903000,37117000,37117000,4091000,10968000,61079000,17672000,90685000,61027000,16124000,13534000,108357000,169436000,31169000,6868000,23634000,1101000,32270000,27677000,12863000,7195000,5668000,40540000,72810000,209100000,-147296000,32709000,2113000,96626000,96626000,169436000,2110000,1713000,1294000,-6384000,-1267000,-2633000,-559000,-4317000,-697000,-94000,134000,-228000,-932000,-6516000,-6516000,-122000,-6638000,5774000,28778000,-1827000,0.65614,0.09053,0.04704,0.02184,0.01245,-0.86588,1.89275,0.75352,0.16985,0.12923,0.12849,2.74737,5.91781,-0.11189,0.01526,-0.01321,3.44215,4.89411
"12","2014_Q1",20.2349180327869,"Up",61574000,-18862000,42712000,-33704000,-31881000,-1823000,9008000,-397000,-398000,8611000,8510000,-790000,7720000,7720000,7720000,7720000,12291000,12291000,52684000,52684000,4321000,11812000,81108000,17180000,91117000,60654000,16135000,14328000,108297000,189405000,41799000,9294000,31140000,1139000,42938000,27376000,12585000,6479000,6106000,39961000,82899000,211580000,-147189000,40429000,1686000,106506000,106506000,189405000,7720000,1750000,-738000,-2116000,6616000,1891000,-1604000,-2773000,-1069000,296000,160000,136000,-7999.99999999977,3835000,3835000,-447000,3388000,10758000,28515000,11323000,0.69367,0.1463,0.12538,0.07248,0.04076,1.46671,1.88896,0.77835,0.15055,0.47211,0.46853,3.76553,6.51333,0.69245,0.0523,0.07671,1.50809,1.80107
"13","2014_Q2",20.8542857142857,"Up",43418000,-13387000,30031000,-26525000,-24752000,-1773000,3506000,-417000,-417000,3089000,2947000,-1228000,1719000,1719000,1719000,1719000,2002000,2002000,46705000,46705000,5088000,10740000,64535000,17426000,92483000,59648000,16135000,16700000,109909000,174444000,27306000,7815000,19491000,1177000,28483000,27064000,12560000,6896000,5664000,39624000,68107000,205992000,-143411000,42148000,1608000,106337000,106337000,174444000,1719000,1773000,1685000,-7151000,-1974000,-1112000,-2739000,-4976000,-277000,-3081000,133000,-3214000,-3358000,-10308000,-10308000,19000,-10289000,5279000,28241000,-1756000,0.69167,0.08075,0.03959,0.01617,0.00984999999999999,-1.02152,2.26574,0.64048,0.16189,0.10378,0.10196,2.62123,6.41977,-0.10601,0.01168,-0.01193,4.97045,7.48403
"14","2014_Q3",19.24921875,"Down",46506000,-15096000,31410000,-27512000,-25706000,-1806000,3898000,-450000,-450000,3448000,3307000,-1336000,1971000,1971000,1971000,1971000,7188000,7188000,45099000,45099000,5326000,9255000,66868000,17255000,94591000,59123000,16135000,19333000,111846000,178714000,28279000,9566000,18601000,1217000,29496000,26746000,13036000,7416000,5620000,39782000,69278000,206590000,-142907000,44119000,1634000,109436000,109436000,178714000,1971000,1806000,1986000,4517000,10280000,-608000,-2975000,-4708000,-275000,-4000.00000000047,145000,-149000,-279000,5293000,5293000,-107000,5186000,5704000,27963000,10949000,0.6754,0.08382,0.04238,0.01801,0.01103,5.55505,2.26702,0.63305,0.15647,0.11791,0.11645,2.78212,6.54678,0.655,0.0131,0.07278,3.64218,5.32966
"15","2014_Q4",19.29765625,"Up",47131000,-17247000,29884000,-26865000,-25017000,-1848000,3019000,-484000,-484000,2535000,2394000,-472000,1922000,1922000,1922000,1922000,5337000,5337000,45145000,45145000,5347000,13200000,69029000,17039000,97494000,58564000,19641000,19289000,114533000,183562000,27797000,6980000,20817000,1257000,29054000,28947000,13420000,8725000,4695000,42367000,71421000,207241000,-142788000,46041000,1647000,112141000,112141000,183562000,1922000,1838000,2448000,-5218000,990000,-4069000,-689000,-5219000,2231000,155000,155000,0,2386000,-1843000,-1843000,-8000,-1851000,4857000,30204000,-3958000,0.63406,0.06406,0.04078,0.01714,0.01047,-2.05931,2.37589,0.63689,0.16454,0.11472,0.1135,2.81312,6.69339,-0.23624,0.01234,-0.02541,5.11983,8.23683
"16","2015_Q1",17.9922950819672,"Down",68110000,-21169000,46941000,-32236000,-30326000,-1910000,14705000,-459000,-459000,14246000,13111000,-656000,12455000,12455000,12455000,12455000,10483000,10483000,61490000,61490000,6367000,14676000,93016000,17271000,94899000,57177000,19641000,18081000,112170000,205186000,41587000,12001000,29586000,1298000,42885000,26078000,9509000,5575000,3934000,35587000,78472000,208501000,-141734000,58496000,1451000,126714000,126714000,205186000,12455000,1909000,-4133000,-1403000,8828000,2319000,-1384000,-2521000,-2834000,-837000,181000,-1018000,-1194000,5113000,5113000,33000,5146000,16614000,27376000,18186000,0.68919,0.2159,0.18287,0.09829,0.0607,1.46014,2.16896,0.61928,0.13342,0.73934,0.72964,4.0431,7.5219,1.07954,0.07613,0.11116,1.01679,1.14879
"17","2015_Q2",19.5166666666667,"Up",47875000,-16671000,31204000,-27616000,-25699000,-1917000,3588000,-428000,-428000,3160000,3030000,-1202000,1828000,1828000,1828000,1828000,7571000,7571000,53611000,53611000,6372000,14781000,82335000,16703000,93372000,56219000,19641000,17512000,110075000,192410000,27058000,7038000,20020000,1341000,28399000,25723000,9890000,5954000,3936000,35613000,64012000,208798000,-141523000,60324000,799000,128398000,128398000,192410000,1828000,1917000,2036000,-7637000,-1856000,-517000,-249000,-766000,-317000,106000,162000,-56000,-211000,-2833000,-2833000,-79000,-2912000,5505000,27064000,-1447000,0.65178,0.07495,0.03818,0.01424,0.0095,-0.79158,2.89922,0.49854,0.14066,0.10836,0.10695,2.83788,7.61103,-0.08577,0.01106,-0.00874999999999997,3.54096,5.43283
"18","2015_Q3",17.25953125,"Down",46315000,-16300000,30015000,-28834000,-26841000,-1993000,1181000,-428000,-428000,753000,752000,-325000,427000,427000,427000,427000,18599000,18599000,47987000,47987000,5610000,11942000,84138000,16198000,91119000,55265000,19903000,15951000,107317000,191455000,27098000,7573000,19525000,1384000,28482000,25361000,9949000,5984000,3965000,35310000,63792000,208403000,-142202000,60751000,711000,127663000,127663000,191455000,427000,1993000,1700000,9952000,14072000,-738000,-292000,-1030000,-318000,-1683000,162000,-1845000,-2001000,11041000,11041000,-13000,11028000,3174000,26745000,12713000,0.64806,0.0255,0.00922000000000001,0.00334,0.00223,29.77283,2.95408,0.49969,0.13969,0.0252499999999999,0.0249900000000001,2.73924,7.55045,0.75189,0.0026,0.07735,2.56648,6.89754
"19","2015_Q4",15.9675,"Down",48307000,-17984000,30323000,-27827000,-25935000,-1892000,2496000,-427000,-427000,2069000,754000,438000,1192000,1192000,1192000,1192000,13795000,13795000,50017000,50017000,4934000,12643000,81389000,15731000,88720000,54358000,19903000,14459000,104451000,185840000,26914000,6692000,20222000,1428000,28342000,24992000,9070000,5322000,3748000,34062000,62404000,208886000,-147901000,61943000,508000,123436000,123436000,185840000,1192000,1898000,2171000,-2061000,3200000,-626000,-1082000,-1708000,-325000,-5808000,180000,-5988000,-6133000,-4641000,-4641000,-163000,-4804000,4394000,26420000,1269000,0.62771,0.05167,0.02468,0.00966,0.00641,1.0646,2.87167,0.50556,0.14217,0.07121,0.07053,2.8859,7.37416,0.07581,0.0075,0.00797999999999999,2.87324,5.05809
"20","2016_Q1",17.0772131147541,"Up",67444000,-20897000,46547000,-32981000,-30914000,-2067000,13566000,-471000,-471000,13095000,12876000,-5207000,7669000,7669000,7669000,7669000,16234000,16234000,65182000,65182000,3949000,10060000,95425000,15499000,89721000,53449000,19903000,16369000,105220000,200645000,25409000,8306000,16882000,1473000,39634000,24605000,10900000,7098000,3802000,35505000,75139000,209988000,-154286000,69612000,192000,125506000,125506000,200645000,7669000,2067000,5587000,-4549000,10774000,-565000,-543000,-1370000,-342000,-6353000,185000,-6538000,-6558000,2846000,2846000,-407000,2439000,15633000,26078000,15726000,0.69016,0.20114,0.11371,0.0611,0.03822,2.05059,2.40766,0.59869,0.12997,0.46617,0.4616,4.09969,7.62908,0.95593,0.0472,0.09678,0.62969,0.72564
"21","2016_Q2",15.46296875,"Down",45218000,-15147000,30071000,-28311000,-26489000,-1822000,1760000,-464000,-464000,1296000,1296000,-506000,790000,790000,790000,790000,22324000,22324000,49688000,49688000,4196000,11632000,87840000,15428000,88241000,52539000,19903000,15799000,103669000,191509000,27592000,6201000,21391000,1519000,29111000,24205000,11109000,7178000,3931000,35314000,64425000,210648000,-154059000,70402000,93000,127084000,127084000,191509000,790000,1822000,1923000,2574000,7109000,-630000,-106000,-736000,-355000,124000,158000,-34000,-231000,6142000,6142000,-52000,6090000,3582000,25724000,6032000,0.66502,0.03892,0.01747,0.00622,0.00413,7.63544,3.01742,0.50695,0.13432,0.04871,0.04831,2.78814,7.83598,0.37193,0.00482,0.0368,0.94919,1.93181999999999
"22","2016_Q3",16.13546875,"Up",45268000,-15414000,29854000,-30116000,-28313000,-1803000,-262000,-468000,-468000,-730000,-730000.000000001,281999.999999999,-448000,-448000,-448000,-448000,5262000,5262000,48547000,48547000,4033000,11704000,69546000,15502000,85903000,51634000,19903000,14366000,101405000,170951000,30247000,7953000,22294000,1565000,31812000,33867000,12440000,7226000,5214000,46307000,78119000,211387000,-188827000,69954000,318000,92832000,92832000,170951000,-448000,1787000,3194000,5193000,9726000,-1106000,-321000,-1427000,9710000,-35141000,147000,-35288000,-25431000,-17132000,-17132000,70000,-17062000,1525000,35432000,5330000,0.65949,-0.00578999999999998,-0.00989999999999998,-0.00483,-0.00262,-11.89732,2.18616,0.84151,0.20726,-0.0292799999999999,-0.02899,2.95908,6.06824,0.34841,-0.00318,0.03788,19.78361,-115.15267
"23","2016_Q4",19.5050793650794,"Up",44738000,-15175000,29563000,-30820000,-29095000,-1725000,-1257000,-484000,-484000,-1741000,-1741000,689000,-1052000,-1052000,-1052000,-1052000,8863000,8863000,46473000,46473000,4633000,13190000,73159000,15389000,85179000,50915000,19903000,14361000,100568000,173727000,36049000,8210000,27839000,1613000,37662000,23379000,21472000,7078000,14394000,44851000,82513000,212434000,-190761000,68902000,639000,91214000,91214000,173727000,-1052000,1741000,1785000,2558000,5032000,-870000,-1243000,-2113000,4560000,-1935000,184000,-2119000,458000,3377000,3377000,224000,3601000,484000,24992000,1483000,0.6608,-0.0281,-0.02351,-0.01153,-0.00606,-1.4097,1.94252,0.90461,0.14386,-0.07377,-0.0753,3.13709,6.39605,0.10399,-0.00764,0.01077,33.32438,-12.83134
"24","2017_Q1",17.6701612903226,"Down",64831000,-19165000,45666000,-32058000,-30468000,-1590000,13608000,-732000,-732000,12876000,13086000,-5360000,7726000,7726000,7726000,7726000,10456000,10456000,65960000,65960000,5042000,8283000,89741000,16083000,85047000,50196000,19903000,14948000,101130000,190871000,31548000,10376000,21172000,1662000,54057000,22943000,20156000,6670000,13486000,43099000,97156000,212556000,-196691000,76628000,1222000,93715000,93715000,190871000,7726000,1593000,3528000,-2049000,10798000,-1387000,-566000,-1953000,-1324000,-5955000,190000,-6145000,-7331000,1514000,1514000,79000,1593000,15201000,24605000,17125000,0.70439,0.2099,0.11917,0.08244,0.04048,2.21654,1.66012,1.03672,0.12891,0.5519,0.53184,4.63112,6.69441,1.2233,0.05579,0.12367,0.93079,1.03976
"25","2017_Q2",20.6238095238095,"Up",39787000,-14479000,25308000,-30683000,-29095000,-1588000,-5375000,-504000,-504000,-5879000,-5879000,1921000,-3958000,-3958000,-3958000,-3958000,7876000,7876000,54717000,54717000,5077000,12803000,80473000,17172000,83644000,49471000,19903000,14270000,100816000,181289000,25956000,7440000,18516000,1712000,47950000,22493000,20376000,6328000,14048000,42869000,90819000,213721000,-196508000,72670000,587000,90470000,90470000,181289000,-3958000,1588000,1178000,-1686000,-2878000,-2040000,-666000,-2706000,3349000,136000,153000,-17000,3485000,-2099000,-2099000,-481000,-2580000,-3787000,24205000,-9434000,0.63609,-0.13509,-0.09948,-0.04375,-0.02183,2.38353,1.67827,1.00386,0.13352,-0.287,-0.287,2.885,6.56008,-0.68407,-0.02931,-0.06986,-4.31186,-3.03795
"26","2017_Q3",18.6039682539683,"Down",42196000,-14164000,28032000,-32519000,-30870000,-1649000,-4487000,-515000,-515000,-5002000,-5002000,1669000,-3333000,-3333000,-3333000,-3333000,10686000,10686000,46504000,46504000,4778000,10280000,72248000,18051000,83585000,48752000,19903000,14930000,101636000,173884000,26984000,7691000,19293000,1763000,49865000,22033000,14891000,2081000,12810000,36924000,86789000,213578000,-196423000,69337000,603000,87095000,87095000,173884000,-3333000,1649000,-2782000,14124000,9658000,-1904000,-1679000,-3583000,-1658000,-1623000,128000,-1751000,-3281000,2794000,2794000,15999.9999999999,2810000,-2838000,23796000,7713000,0.66433,-0.10634,-0.07899,-0.03827,-0.01917,-2.31413,1.44887,0.99649,0.13685,-0.24108,-0.24108,3.05215,6.29982,0.5579,-0.0265,0.06132,-4.61945,-2.92177
"27","2017_Q4",19.6253968253968,"Up",43751000,-16411000,27340000,-33831000,-32047000,-1784000,-6491000,-661000,-661000,-7152000,-7023000,2483000,-4540000,-4540000,-4540000,-4540000,7956000,7956000,48538000,48538000,3420000,11563000,71477000,18511000,88365000,52454000,21164000,14747000,106876000,178353000,29690000,8525000,21165000,1815000,60150000,22137000,12281000,83000,12198000,34418000,94568000,214247000,-196010000,64797000,751000,83785000,83785000,178353000,-4540000,1809000,11000,7600000,4880000,-1182000,-1805000,-6487000,-1095000,-128000,188000,-316000,-1223000,-2830000,-2830000,1e+05,-2730000,-4682000,23952000,-747000,0.6249,-0.14836,-0.10377,-0.05419,-0.02546,0.16454,1.18831,1.1287,0.1343,-0.32815,-0.32815,3.16234,6.05602,-0.05399,-0.03783,-0.00622,-3.41649,-2.46434
"28","2018_Q1",27.2590163934426,"Up",59522000,-17535000,41987000,-34514000,-32118000,-2396000,7473000,-505000,-505000,6968000,6995000,-2336000,4659000,4659000,4659000,4659000,8924000,8924000,66343000,66343000,3353000,14862000,93482000,19730000,97519000,57294000,24220000,16005000,117249000,210731000,37986000,9119000,28867000,1868000,80626000,25452000,19588000,1033000,18555000,45040000,125666000,213837000,-198895000,69456000,667000,85065000,85065000,210731000,4659000,2397000,1298000,-2657000,5697000,-2811000,-2316000,-8899000,7119000,-3134000,213000,-3347000,4153000,951000,951000,17000,968000,9870000,27320000,6738000,0.7054,0.12555,0.07827,0.05477,0.02211,1.44623,1.15945,1.47729,0.12964,0.337,0.337,4.30539,6.15298,0.48738,0.0353,0.05106,1.86383,2.46166
"29","2018_Q2",26.884375,"Down",47932000,-15064000,32868000,-36120000,-33824000,-2296000,-3252000,-488000,-488000,-3740000,-3740000,1348000,-2392000,-2392000,-2392000,-2392000,8087000,8087000,50153000,50153000,3309000,14115000,75664000,21435000,97762000,55899000,24220000,17643000,119197000,194861000,29099000,7068000,22031000,1922000,66271000,29620000,17228000,39000.0000000002,17189000,46848000,113119000,211193000,-197105000,67064000,590000,81742000,81742000,194861000,-2392000,2295000,610000,1825000,2338000,-2414000,-703000,-4226000,2972000,-1810000,158000,-1968000,1162000,-726000,-726000,-111000,-837000,-957000,31542000,-2894000,0.68572,-0.06785,-0.0499,-0.02926,-0.01228,1.20987,1.14174,1.38385,0.16187,-0.17428,-0.17428,3.49231,5.9557,-0.21086,-0.01833,-0.02217,-24.50888,-7.21248
