"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",11.993125,"Up",25779000,-8734000,17045000,-13703000,-4560000,-3756000,-5387000,3342000,-4400000,-2836000,-2841000,5000,-1058000,-560000,-1618000,-1618000,-1618000,-1618000,-1618000,17876000,5145000,1983000,4702000,2434000,2268000,24561000,460545000,460545000,5299000,5299000,465844000,490405000,9979000,8695000,1284000,9979000,228620000,228620000,238599000,290863000,-40809000,250054000,1752000,251806000,490405000,-1618000,3737000,2503000,74000,4696000,-3078000,-3078000,-3078000,-37161000,-5345000,-10626000,52805000,52812000,-3720000,33114000,649000,649000,649000,7079000,228620000,0.6612,0.12964,-0.06276,-0.00643,-0.0033,2.46127,0.94755,0.46619,-0.094,-0.094,1.49772,14.52778,0.31054,0.00776,-3.30346,29.77031,63.05925
"12","2013_Q3",12.416875,"Up",30746000,-9516000,21230000,-14770000,-4672000,-4022000,-6076000,6460000,-2796000,-2707000,-2817000,110000,3664000,-1444000,2220000,2175000,2175000,2175000,2175000,32073000,18690000,2302000,5171000,2485000,2686000,39546000,501038000,501038000,5463000,5463000,506501000,546047000,11746000,10089000,1657000,11746000,206342000,206342000,218088000,368763000,-42698000,326065000,1894000,327959000,546047000,2175000,4002000,890000,352000,7419000,-4050000,-4050000,-4050000,-45214000,-3745000,-22278000,81354000,81354000,-3991000,51340000,13545000,13545000,13545000,10462000,206342000,0.6905,0.21011,0.07074,0.00663,0.00398,3.36676,0.66499,0.37788,0.11985,0.11831,1.69426,17.96788,0.20637,0.01108,1.72184,16.65733,26.97663
"13","2013_Q4",13.53171875,"Up",35370000,-10902000,24468000,-16654000,-5217000,-4748000,-6689000,7814000,-3440000,-2766000,-2775000,9000,4374000,-1803000,2571000,2541000,2541000,2541000,2541000,60916000,60401000,2249000,7449000,2387000,5062000,70614000,543709000,543709000,5647000,5647000,549356000,619970000,13785000,11885000,1900000,13785000,223708000,223708000,237493000,425587000,-45138000,380449000,2028000,382477000,619970000,2541000,4707000,1457000,1132000,9837000,-4026000,-4026000,-4026000,-37244000,-4793000,17366000,59639000,59639000,-3094000,69118000,41711000,41711000,41711000,12521000,223708000,0.69177,0.22092,0.07184,0.00664,0.0041,5.12252,0.62093,0.36084,0.11289,0.1116,1.57137,16.90209,0.21294,0.0121,1.88627,13.00152,20.83338
"14","2014_Q1",14.1824590163934,"Up",34333000,-12880000,21453000,-18367000,-5211000,-5723000,-7433000,3086000,-3619000,-3139000,-3147000,8000,-533000,466000.000000001,-67000.0000000009,-116000.000000001,-116000.000000001,-116000,-116000,4995000,4220999.99999999,2455000,6484000,1879000,4605000,13934000,652877000,652877000,7113000,7113000,659990000,673924000,14749000,12799000,1950000,16325000,272063000,272063000,288388000,434161000,-50792000,383369000,2167000,385536000,673924000,-116000.000000001,5716000,1281000,2738000,9619000,-5024000,-5024000,-5024000,-115571000,-5541000,48355000,8946000,8946000,-1988000,49772000,-56180000,-56180000,-56180000,8802000,272063000,0.62485,0.08988,-0.00337999999999998,-3e-04,-0.00017,0.853539999999999,0.74802,0.4037,-0.00440999999999997,-0.00433,1.30666,14.59044,0.21088,0.00825,-47.76724,30.34174,86.5418
"15","2014_Q2",15.1168253968254,"Up",36866000,-12570000,24296000,-19646000,-5747000,-6316000,-7583000,4650000,-4225000,-3725000,-3738000,13000,425000,-2154000,-1729000,-1732000,-1732000,-1732000,-1732000,6585000,5821000,2205000,8377000,3091000,5286000,17167000,650428000,650428000,6763000,6763000,657191000,674358000,14878000,12944000,1934000,17209000,278158000,278158000,295367000,434766000,-58084000,376682000,2309000,378991000,674358000,-1732000,6288000,1507000,-1085000,4978000,-3207000,-3207000,-3207000,-3439000,-5630000,6095000,-18000,0,-386000,61000,1600000,1600000,1600000,10938000,278158000,0.65904,0.12613,-0.04698,-0.00457,-0.00257,0.99756,0.77935,0.41248,-0.06593,-0.06593,1.40326,14.33795,0.2143,0.00593,-3.25058,24.8284,58.4028
"16","2014_Q3",15.73984375,"Up",47076000,-13566000,33510000,-22458000,-6213000,-7364000,-8881000,11052000,-6349000,-4349000,-4362000,13000,4703000,60649000,65352000,65314000,65314000,65206000,65206000,15256000,11935000,3803000,10820000,2760000,8060000,29879000,970954000,970954000,6840000,6840000,977794000,1007673000,16252000,13992000,2260000,16252000,542535000,542535000,558787000,445693000,728999.999999993,446422000,2464000,448886000,1007673000,65314000,7335000,-63689000,1166000,10126000,-4514000,-4514000,-4514000,-272576000,-6129000,264377000,10972000,10972000,-656000,268564000,6114000.00000001,6114000.00000001,6114000.00000001,18387000,542535000,0.71183,0.23477,1.38512,0.14526,0.06471,1.83848,1.24483,0.5384,2.46639,2.43898,1.78063,16.8857,0.23183,0.07195,0.09399,28.67673,47.70892
"17","2014_Q4",18.713125,"Up",60662000,-16636000,44026000,-28592000,-7155000,-10273000,-11164000,15434000,-5807000,-6652000,-6715000,63000,9627000,-751000,8876000,8832000,8832000,8700000,8700000,70748000,67056000,4203000,18171000,2870000,15301000,93122000,994848000,994848000,7202000,7202000,1002050000,1095172000,20668000,17818000,2850000,20668000,473904000,473904000,494572000,594865000,2389000,597254000,3346000,600600000,1095172000,8832000,10239000,204000,3155000,22430000,-2398000,-2398000,-2398000,-41177000,-6512000,-68631000,155879000,155879000,-6868000,73868000,55121000,55121000,55121000,25673000,473904000,0.72576,0.25443,0.14342,0.01449,0.00794,4.50561,0.82346,0.43272,0.31786,0.31413,2.2163,21.82083,0.23792,0.01416,0.74851,15.7035,26.12129
"18","2015_Q1",21.5550819672131,"Up",52612000,-18036000,34576000,-28635000,-7002000,-10757000,-10876000,5941000,-8879000,-6520000,-6539000,19000,-2938000,-2375000,-5313000,-5333000,-5333000,-5301000,-5301000,43229000,15077000,3601000,14330000,2300000,12030000,61160000,1096425000,1096425000,7514000,7514000,1103939000,1165099000,22926000,20042000,2884000,22926000,550221000,550221000,573147000,599657000,-11120000,588537000,3415000,591952000,1165099000,-5333000,10717000,4376000,2012000,11772000,-4812000,-4812000,-4812000,-135796000,-8236000,76317000.0000001,4701000,4701000.00000003,-737000,72045000,-51979000,-51979000,-51979000,16658000,550221000,0.65719,0.11292,-0.10076,-0.00896,-0.00455,2.66771,0.96823,0.47225,-0.15571,-0.15283,1.54541,17.28754,0.24192,0.00257,-1.55367,30.43535,85.33782
"19","2015_Q2",20.4333333333333,"Down",58949000,-17871000,41078000,-31508000,-8069000,-11523000,-11916000,9570000,-7043000,-6787000,-6813000,26000,2527000,-1108000,1419000,1419000,1419000,1411000,1411000,43402000,16798000,5186000,18536000,3852000,14684000,67124000,1180031000,1180031000,7461000,7461000,1187492000,1254616000,25878000,21952000,3926000,25878000,527151000,527151000,553029000,719075000,-21221000,697854000,3733000,701587000,1254616000,1419000,11477000,1409000,-1541000,12764000,-4470000,-4470000,-4470000,-95987000,-10547000,-23070000,120760000,120782000,-2199000,84944000,1721000,1721000,1721000,21047000,527151000,0.69684,0.16234,0.02394,0.00201,0.00112,2.59386,0.78825,0.42017,0.03812,0.03781,1.59244,18.85173,0.28492,0.00973,7.47484,22.98423,50.54848
"20","2015_Q3",18.200625,"Down",72446000,-19761000,52685000,-33036000,-7485000,-12063000,-13488000,19649000,-5385000,-6718000,-6852000,134000,14264000,-1393000,12871000,12846000,12846000,12764000,12764000,43677000,18075000,5030000,22210000,3665000,18545000,70917000,1172798000,1172798000,7547000,7547000,1180345000,1251262000,26300000,22332000,3968000,26606000,521379000,521379000,547985000,719284000,-19970000,699314000,3963000,703277000,1251262000,12846000,12016000,-183000,10000,24689000,-4684000,-4684000,-4684000,-5905000,-11566000,-5772000.00000001,7000,6999.9999999702,-176000,-17507000,1277000,1277000,1277000,31665000,521379000,0.72723,0.27122,0.17619,0.01815,0.0102,2.66545,0.77919,0.41668,0.33403,0.33051,1.8959,18.30098,0.30268,0.01987,0.90614,15.08612,24.31177
"21","2015_Q4",16.65125,"Down",78328000,-21142000,57186000,-35436000,-8236000,-12560000,-14640000,21750000,-5534000,-7e+06,-7031000,31000,16216000,-1550000,14666000,14392000,14392000,14301000,14301000,40993000,16057000,7159000,21517000,4998000,16519000,69669000,1265038000,1265038000,7166000,7166000,1272204000,1341873000,30683000,26642000,4041000,32103000,603167000,603167000,635270000,719701000,-17183000,702518000,4085000,706603000,1341873000,14392000,12509000,-243000,577000,27235000,-4525000,-4525000,-4525000,-76789000,-11575000,59218000,8000,8000,-115000,47536000,-2018000,-2018000,-2018000,34259000,603167000,0.73008,0.27768,0.18258,0.02024,0.01066,2.17017,0.89905,0.4495,0.37425,0.37035,2.04983,18.38473,0.30292,0.01976,0.80938,16.40953,25.84708
"22","2016_Q1",15.0750819672131,"Down",67227000,-26073000,41154000,-36600000,-8988000,-12835000,-14777000,4554000,-4123000,-7155000,-7228000,73000,431000,4051000,4482000,4521000,4521000,4490000,4490000,44654000,21036000,4433000,24325000,5052000,19273000,73412000,1258452000,1258452000,5365000,5365000,1263817000,1337229000,32321000,25100000,7221000,35024000,605203000,605203000,640227000,720152000,-27281000,692871000,4131000,697002000,1337229000,4521000,12782000,-1920000,1771000,17154000,-6652000,-6652000,-6652000,-3681999.99999999,-11576000,4705000.00000001,42000.0000000037,41999.9999999963,-1664000,-8493000,4979000,4979000,4979000,17336000,605203000,0.61216,0.06774,0.06679,0.00644,0.00336,2.09605,0.91854,0.45258,0.11745,0.11592,1.75851,18.12395,0.3028,0.01234,2.57817,32.33439,123.08937
"23","2016_Q2",16.42046875,"Up",68850000,-21583000,47267000,-35212000,-8609000,-12475000,-14128000,12055000,-7667000,-7016000,-7037000,21000,4388000,-1066000,3322000,3322000,3322000,3300000,3300000,35592000,12479000,7316000,27939000,6519000,21420000,70847000,1251143000,1251143000,5172000,5172000,1256315000,1327162000,30498000,25927000,4571000,34165000,603503000,603503000,637668000,721133000,-35889000,685244000,4250000,689494000,1327162000,3322000,12421000,1707000,-3380000,14070000,-4593000,-4593000,-4593000,-6153000,-14730000,-1813000,88000,88000,-19000,-16474000,-8557000,-8557000,-8557000,24476000,603503000,0.68652,0.17509,0.04793,0.00479,0.00249,2.07367,0.92483,0.45473,0.08622,0.08533,1.79885,17.90343,0.38485,0.01394,4.46364,23.20277,47.11
"24","2016_Q3",16.80515625,"Up",7.8e+07,-22279000,55721000,-35981000,-8671000,-12281000,-15029000,19740000,-6143000,-7077000,-7092000,15000,13597000,-1168000,12429000,12250000,12250000,12168000,12168000,37161000,15308000,6281000,27945000,5437000,22508000,71387000,1247305000,1247305000,5072000,5072000,1252377000,1323764000,31047000,26389000,4658000,35759000,598385000,598385000,634144000,721551000,-36399000,685152000,4468000,689620000,1323764000,12250000,12228000,152000,912000,25542000,-7181000,-7181000,-7181000,-4787000,-12773000,-5225000,104000,104000,-32000.0000000002,-17926000,2829000,2829000,2829000,31968000,598385000,0.71437,0.25308,0.156,0.01764,0.00919,1.99634,0.91956,0.45203,0.31771,0.31413,2.0366,17.88949,0.33351,0.01936,1.04972,17.55581,28.4308
"25","2016_Q4",15.2725396825397,"Down",79733000,-23128000,56605000,-36294000,-8644000,-11997000,-15653000,20311000,-6024000,-7075000,-7082000,7000,14287000,-853000,13434000,13446000,13446000,13355000,13355000,34410000,13466000,7251000,29181000,4248000,24933000,70842000,1240155000,1240155000,4857000,4857000,1245012000,1315854000,35343000,30597000,4746000,40636000,584235000,584235000,624871000,722013000,-35724000,686289000,4694000,690983000,1315854000,13446000,11944000,27000,4831000,30248000,-5321000,-5321000,-5321000,-5204000,-12776000,-14255000,152000,152000,-7000,-26886000,-1842000,-1842000,-1842000,32255000,584235000,0.70993,0.25474,0.1675,0.01933,0.01015,1.74333,0.90432,0.444,0.34863,0.34448,2.0814,17.91532,0.33351,0.02049,0.95665,17.04619,27.07031
"26","2017_Q1",16.2361290322581,"Up",69288000,-27906000,41382000,-34552000,-7469000,-12022000,-15061000,6830000,-7708000,-7078000,-7086000,8000,-878000,3087000,2209000,2677000,2677000,2660000,2660000,32542000,12118000,4389000,27861000,2778000,25083000,64792000,1233094000,1233094000,5068000,4642000,1238162000,1302954000,32524000,27782000,4742000,38541000,582823000,582823000,621364000,722399000,-45657000,676742000,4848000,681590000,1302954000,2677000,11969000,1287000,1876000,17809000,-5401000,-5401000,-5401000,875999.999999999,-12687000,-1516000,138000,138000,-158000,-14223000,4462000,4462000,4462000,18799000,582823000,0.59725,0.09857,0.03839,0.0039,0.00204,1.68112,0.91164,0.44731,0.06942,0.0704500000000001,1.80836,17.66245,0.33112,0.01214,4.76955,29.27182,80.56823
"27","2017_Q2",16.1709523809524,"Down",70835000,-21387000,49448000,-34927000,-8922000,-12004000,-14001000,14521000,-7066000,-6981000,-6993000,12000,7455000,-2494000,4961000,4644000,4644000,4613000,4613000,32889000,12769000,6694000,29316000,5200000,24116000,68899000,1226264000,1226264000,4455000,4455000,1230719000,1299618000,33511000,28680000,4831000,39311000,585867000,585867000,625178000,723224000,-53730000,669494000,4946000,674440000,1299618000,4644000,11950000,1612000,-3543000,14663000,-5053000,-5053000,-5053000,-5053000,-12805000,2942000,134000,134000,-197000,-9926000,-316000,-316000,-316000,26471000,585867000,0.69807,0.205,0.06512,0.00684,0.00355,1.75266,0.92696,0.4508,0.12025,0.11959,1.84653,17.45241,0.3338,0.01382,2.77585,20.88996,38.08126
"28","2017_Q3",17.0312698412698,"Up",79643000,-22879000,56764000,-36791000,-9261000,-11714000,-15816000,19973000,-5839000,-6766000,-6772000,6000,14134000,-9065000,5069000,5069000,5069000,5034000,5034000,38139000,12794000,7277000,30128000,5103000,25025000,75544000,1215677000,1215677000,4263000,4263000,1219940000,1295484000,32858000,27823000,5035000,38638000,573077000,573077000,611715000,739864000,-61474000,678390000,5379000,683769000,1295484000,5069000,11661000,6669000,-1416000,21983000,-7812000,-7812000,-7812000,-12130000,-12829000,-12512000,16737000,16737000,-315000,-8919000,934000.000000001,934000.000000001,934000.000000001,31634000,573077000,0.71273,0.25078,0.06321,0.00736,0.00389,1.95517,0.89462,0.44237,0.13067,0.12991,2.06729,17.60895,0.333,0.01421,2.54847,16.91022,26.78306
"29","2017_Q4",18.9909523809524,"Up",82953000,-24232000,58721000,-36043000,-9057000,-10944000,-16042000,22678000,-5867000,-7056000,-7065000,9000,16811000,-2302000,14509000,14509000,14509000,14408000,14408000,36730000,11282000,7691000,32043000,4350000,27693000,76464000,1263183000,1263183000,4882000,4882000,1268065000,1344529000,37980000,32763000,5217000,43955000,602144000,602144000,646099000,752543000,-60097000,692446000,5984000,698430000,1344529000,14509000,10890000,117000,4446000,29962000,-8659000,-8659000,-8659000,-57241000,-13106000,28976000,12865000,12865000,-3e+05,28435000,1156000,1156000,1156000,33568000,602144000,0.70788,0.27338,0.17369,0.02063,0.01072,1.7396,0.92507,0.44785,0.36663,0.36429,2.11082,17.61995,0.33349,0.02116,0.90963,16.84384,24.93227
"30","2018_Q1",17.8962295081967,"Down",68413000,-30220000,38193000,-35664000,-9224000,-11630000,-14810000,2529000,-7517000,-7068000,-7071000,3000,-4988000,10525000,5537000,5458000,5458000,5423000,5423000,33722000,9333000,4047000,29689000,2523000,27166000,67458000,1320082000,1320082000,4676000,4646000,1324758000,1392216000,37538000,31692000,5846000,44120000,538316000,538316000,582436000,872180000,-69018000,803162000,6618000,809780000,1392216000,5458000,11559000,-916000,3980000,20081000,3846000,-8709000,-8709000,-83987000,-13877000,-44066000,120955000,120955000,-1431000,61581000,-2325000,-2325000,-2325000,14088000,538316000,0.55827,0.03697,0.07927,0.0067,0.0039,1.52897,0.71925,0.38666,0.12538,0.12445,1.58176,18.56971,0.32085,0.01432,2.55892,35.81729,199.52313
