"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",8.1,"Up",241567000,-165194000,76373000,-59551000,-41209000,-7630000,-10712000,16822000,-5012000,-5339000,-5341000,327000,11810000,-485000,11325000,-7699000,3626000,3626000,-2032000,1594000,1594000,16500000,16500000,119354000,119354000,129247000,20488000,20488000,285589000,67504000,612405000,333099000,257527000,21779000,679909000,965498000,118612000,67737000,50875000,11483000,11483000,132645000,269731000,123179000,63679000,59500000,392910000,525555000,650043000,-251077000,-850000,398116000,41827000,439943000,965498000,3626000,3626000,11611000,8157000,-3268000,20126000,-3328000,-3328000,93000,-21873316.4516493,-3235000,-17388000,2363000,-3112000,-18137000,-1246000,-1246000,-1741000,28433000,272281000,29536000,0.31616,0.06964,0.0066,0.00362,0.00165,18.52949,2.15303,1.1946,0.28201,0.033,0.033,5.00139,8.24257,0.61151,0.36,0.02272,0.03536,10.90841,8.99592,15.20515
"12","2013_Q3",8.66375,"Up",245775000,-168418000,77357000,-61784000,-40994000,-7444000,-13346000,15573000,-4531000,-4188000,-4186000,-343000,11042000,-3211000,7831000,-5875000,1956000,1956000.00000001,-2525000,-568999.999999996,-569000.000000004,17848000,17848000,127279000,127279000,143109000,23850000,23850000,312086000,64669000,603537000,324849000,257527000,21161000,668206000,980292000,125218000,73387000,51831000,6825000,6825000,134893000,290225000,129373000,62078000,67295000,419598000,554491000,650043000,-269034000,-557000,380452000,45349000,425801000,980292000,1956000,1956000.00000001,11513000,13333000,-24529000,2273000,-5680000,-5680000,-93000,4644000,-1129000,-17388000,19287000,-1890000,9000,1153000,1153000,1348000,27086000,293075000,2752000.00000001,0.31475,0.06336,-0.00232,-0.00133999999999999,-0.000580000000000006,-4.83656,2.31358,1.30223,0.29897,-0.0117800000000001,-0.0117800000000001,5.08851,7.87685,0.05698,0.36,0.01983,0.00324000000000001,-30.55888,10.16123,17.67334
"13","2013_Q4",9.26671875,"Up",265512000,-183040000,82472000,6633000,-42468000,-7310000,56411000,89105000,-5153000,-5078000,-5078000,-75000,83952000,-542000,83410000,-5114000,78296000,78296000,-4909000,73387000,73387000,151163000,151163000,129011000,129011000,143982000,19704000,19704000,443860000,66382000,597439000,317557000,257527000,22355000,663821000,1107681000,125680000,67511000,58169000,8409000,8409000,136939000,297307000,67940000,62200000,5740000,365247000,502186000,650043000,-137625000,129000,512547000,92948000,605495000,1107681000,78296000,78296000,11546000,-58876000,674000,31640000,-5665000,-5665000,1244000,80901000,76480000,-17388000,6788000,35234000,24634000,132754000,132754000,133315000,100651000,300157000,100774000,0.31061,0.3356,0.2764,0.1212,0.06625,1.37319,3.2413,0.82938,0.27098,1.5194,1.5194,5.49714,10.61174,2.08642,0.36,0.09324,0.10351,0.23694,1.4803,1.67212
"14","2014_Q1",9.3483606557377,"Up",-12143000,12103000.0000001,-40000,-3730000,-1023000,1783000,-4490000,-3770000,-4806000,-4774000,-4774000,-32000,-8576000.00000003,-12588000,-21164000,170000.000000001,-20994000,-5061999.99999997,-1286000,-6347999.99999999,-6348000,113229000,113229000,111736000,111736000,152948000,21220000,21220000,399133000,68059000,577721000,310359000,246611000,20751000,645780000,1044913000,118129000,62539000,55590000,9151000,9151000,130130000,280389000,65459000,60024000,5435000,345848000,475978000,725453000,-252761000,693000,473385000,95550000,568935000,1044913000,-20994000,-5062000.00000001,-1553000,13328000,-5635000,18335000,-1646000,-1646000,399000,-500999.999999985,-5830000,-17388000,-17213000,-16027000,-50628000,-38123000,-38123000,-37934000,-5323000,283239000,-12774000,0.00329000000000002,0.31047,0.52277,-0.01116,-0.00608,2.01229,3.06719,0.83661,0.27106,-0.13143,-0.13143,-0.25141,9.80093,-0.26447,0.36,0.01203,-0.01392,-2.73913,-31.93876,-45.09549
"15","2014_Q2",9.19666666666667,"Down",246048000,-169696000,76352000,-58257000,-46173000,-7349000,-4735000,18095000,-4388000,-4572000,-4572000,184000,13707000,-570000,13137000,-5764000,7373000,7373000,-2714000,4659000,4659000,86622000,86622000,129563000,129563000,168598000,22630000,22630000,407413000,71477000,617292000,336334000,259982000,20976000,688769000,1096182000,117468000,66623000,50845000,8380000,8380000,131198000,319471000,83023000,59192000,23831000,402494000,533692000,725453000,-265333000,684000,460804000,101686000,562490000,1096182000,7373000,7373000,11985000,1260000,-26658000,-6040000,-3631000,-3631000,-42297000,-488000,-46416000,-17388000,41287000,1939000,25838000,-26618000,-26618000,-26607000,30080000,324821000,5555000,0.31031,0.07354,0.01894,0.00828,0.00425,1.19232,3.10533,0.9488,0.29632,0.09646,0.09646,5.09416,9.54046,0.11501,0.36,0.02272,0.00572,3.73213,7.91885,13.1638
"16","2014_Q3",9.52046875,"Up",269084000,-186542000,82542000,-60781000,-48080000,-7678000,-5023000,21761000,-4704000,-4810000,-4810000,106000,17057000,-2726000,14331000,-2012000,12319000,12319000,-6600000,5718999.99999997,5719000.00000001,115349000,115349000,137215000,137215000,166723000,23766000,23766000,443053000,70470000,615917000,331121000,258717000,26079000,686387000,1129440000,113083000,65336000,47747000,9159000,9159000,127992000,359986000,81141000,57658000,23483000,441127000,569119000,725453000,-276800000,788000,449441000,110880000,560321000,1129440000,12319000,12319000,12549000,4162000,-11670000,17360000,-3970000,-3970000,-717000,-479000.000000007,-5165999.99999999,-17388000,39713000,-5932000,16393000,28587000,28587000,28727000,34310000,365736000,20682000,0.30675,0.08087,0.0212500000000014,0.01021,0.00506,3.61637,3.46157,1.0157,0.32382,0.11841,0.11841,5.5711,9.3052,0.4282,0.36,0.02294,0.02053,3.04039,7.29778,11.50623
"17","2014_Q4",9.2778125,"Down",-5847000,11190000,5343000,-12678000,-6982000,-195000,-5501000,-7335000,-7521000,-7054000,-7054000,-467000,-14856000,263780000,248924000,-709000,248215000,262530000,-1432000,261098000,261098000,23269000,23269000,128658000,128658000,95790000,21181000,21181000,268898000,93019000,748760000,399959000,324165000,24636000,1075964000,1344862000,93003000,43602000,49401000,11584000,11584000,107837000,404467000,114401000,107051000,7350000,518868000,626705000,725453000,-45319000,-154000,679980000,38177000,718157000,1344862000,248215000,262530000,996000,-261162000,20780000,34840000,621000,621000,-248692000,64935000,-186317000,-17388000,87187000,-9699000,60100000,-91377000,-91377000,-92080000,-6339000,407717000,15771000,-0.9138,1.25449,-44.65504,0.36357,0.19414,0.0604,2.49356,0.87266,0.30317,5.40576,5.40576,-0.12106,14.07826,0.32652,0.36,0.22454,0.01272,0.0666,-60.64805,-52.41282
"18","2015_Q1",9.12131147540984,"Down",127390000,-86610000,40780000,-41409000,-26955000,-7841000,-6613000,-628999.999999996,-95000,-10624000,-10624000,-5e+05,-724000,-544999.99999994,-1269000,3439000,2170000.00000003,8932999.99999994,-1574000,7358999.99999994,7358999.99999994,21946000,21946000,118852000,118852000,58308000,121693000,23357000,320799000,106981000,874436000,324091000,353634000,16884000,1226631000,1547430000,101229000,49201000,52028000,36752000,12379000,141231000,485547000,112318000,91616000,14039000,597865000,739096000,825321000,-55348000,-2542000,767431000,40903000,808334000,1547430000,2170000,8933000,14221000,-4507000.00000006,4215000,24535000,-3035000,-3035000,-180950000,-829000.000000015,-186854000,-17388000,82538000,-1862000,163156000,837000.00000003,837000.00000003,434000,13592000,488797000,11333000,0.32012,-0.00493999999999972,0.0577700000000121,0.0091,0.00476000000000001,1.54002,2.27145,0.91434,0.31588,0.14302,0.14302,2.47571,14.91432,0.22025,0.33792,0.01756,0.00804,2.36282,34.34748,-742.21145
"19","2015_Q2",9.38095238095238,"Up",179425000,-126855000,52570000,-47581000,-33026000,-7822000,-6733000,4989000,-9707000,-9717000,-9717000,10000,-4718000,-22899000,-27617000,-2393000,-30010000,-25287000,385000,-24902000,-24902000,20450000,20450000,153511000,153511000,114166000,28166000,28166000,316293000,113613000,847182000,477217000,351496000,18469000,1192562000,1508855000,108591000,58981000,49610000,12190000,12190000,124031000,504177000,116278000,97642000,18636000,620455000,744486000,825321000,-99798000,-2692000,722831000,41538000,764369000,1508855000,-30010000,-25287000,13371000,28176000,-13182000,3287000,-3657000,-3657000,-91329424.5473514,-370000,-5160000,-19548000,18462000,-227000,-1313000,-3186000,-3186000,-3253000,18360000,507427000,3914000,0.29299,0.02781,-0.13879,-0.03258,-0.0165,-0.15718,2.55011,0.97399,0.3363,-0.4586,-0.4586,3.30433,13.3118,0.07208,0.36,-0.00386,0.00282,-0.785,26.5238,97.61014
"20","2015_Q3",9.46796875,"Up",199725000,-136508000,63217000,-47835000,-33945000,-7224000,-6666000,15382000,-3168000,-3125000,-3125000,-43000,12214000,10378000,22592000,-3125000,19467000,26575000,-2118000,24457000,24457000,25379000,25379000,161015000,161015000,125232000,28149000,28149000,339775000,111521000,836452000,467626000,350958000,17868000,1190921000,1530696000,127690000,73439000,54251000,10018000,10018000,140958000,503532000,112595000,96820000,15775000,616127000,757085000,825321000,-94889000,-1840000,728592000,45019000,773611000,1530696000,19467000,26575000,12470000,-12044000,5341000,28980000,-3422000,-3422000,517000,-357000,-4089000,-19548000,-811999.999999985,13000,-20347000,4544000,4544000,4929000,27852000,506782000,32896000,0.31652,0.07702,0.122450000000001,0.03161,0.01598,1.34505,2.41047,0.97864,0.33108,0.45041,0.45041,3.67818,13.4179,0.60582,0.36,0.03159,0.02362,0.79928,17.28432,31.29652
"21","2015_Q4",9.4340625,"Down",149297000,-92126000,57171000,-44021000,-31414000,-6409000,-6198000,13150000,-12155000,-11205000,-11205000,-950000,995000,20388000,21383000,-3688000,17695000,166018000,-1518000,164500000,164500000,88725000,88725000,124240000,124240000,74296000,70460000,24363000,357721000,109640000,754042000,361660000,376064000,16318000,1118415000,1476136000,96504000,50602000,45902000,35038000,12642000,134792000,313888000,122421000,101067000,21354000,436309000,571101000,825321000,50063000,-6973000,868411000,36624000,905035000,1476136000,17695000,166018000,14522000,-13389000,-10584000,14204000,-4290000,-4290000,144936000,-519000,255843000,-19548000,-189813000,5571000,-203790000,66257000,66257000,63346000,27672000,317138000,16486000,0.38293,0.08808,1.10183,0.18176,0.11144,0.10022,2.65387,0.63103,0.21484,3.02947,3.02947,2.74948,15.99284,0.30361,0.36,0.13688,0.01226,0.11883,8.2543,17.36981
"22","2016_Q1",8.86704918032787,"Down",199531000,-131753000,67778000,-51381000,-38014000,-7306000,-6061000,16397000,1316000,-1877000,-1877000,-1340000,17713000,-10079000,7634000,-5795000,1839000,-1536000,-681000,-2217000,-19948000,85240000,85240000,105910000,105910000,59905000,40308000,21536000,291363000,115948000,763984000,350687000,390655000,9819000,1129679000,1421042000,89907000,46140000,43767000,23322000,14867000,116479000,308639000,122705000,103635000,18960000,431344000,547823000,825321000,10567000,-9804000,826084000,47135000,873219000,1421042000,1839000,-1536000,12712000,4371000,18247000,38077000,-4292000,-4292000,109765000,-865000,-12714000,-19548000,-812000.00000003,-8547000,-28906999.9999999,-3544000.00000001,-3544000.00000001,-2855999.99999999,29109000,311889000,48859000,0.33969,0.08218,-0.0999699999999999,-0.0228400000000001,-0.01404,-2.44932,2.50142,0.62736,0.21948,-0.36737,-0.36737,3.6746,15.21333,0.8998,0.36,-0.000309999999999977,0.03736,-0.97995,7.78622,13.82259
"23","2016_Q2",9.83234375,"Up",193287000,-129168000,64119000,-56038000,-42287000,-7380000,-6371000,8081000,-8206000,-11462000,-11462000,3256000,-125000,-11193000,-11318000,-3296000,-14614000,-15027000,-996000,-16023000,-16023000,72567000,72567000,127432000,127432000,78994000,20610000,20610000,299603000,118085000,783112000,358373000,413735000,11004000,1092636000,1392239000,95952000,52651000,43301000,10224000,10224000,109426000,308208000,133049000,105608000,27441000,441257000,550683000,823736000,-25004000,-5107000,793625000,47931000,841556000,1392239000,-14614000,-15027000,14288000,19907000,-14071000,6025000,-4195000,-4195000,-36846000,47099000,5847000,-19548000,-813000,-1780000,-22141000,-10269000,-10269000,-13302000,22369000,311458000,7399000,0.33173,0.04181,-0.0829,-0.01904,-0.01151,-0.46177,2.73795,0.65436,0.22371,-0.29508,-0.29508,3.55961,14.61556,0.13626,0.36,0.00274,0.00575,-1.22,10.67956,29.56206
"24","2016_Q3",10.66390625,"Up",214176000,-137506000,76670000,-59518000,-44767000,-8163000,-6588000,17152000,-9203000,-7366000,-7366000,-1837000,7949000,11656000,19605000,-1588000,18017000,19358000,-119000,19239000,19239000,21160000,21160000,125314000,125314000,81813000,19274000,19274000,247561000,124474000,867368000,365169000,488990000,13209000,1202170000,1449731000,105005000,54383000,50622000,16340000,16340000,124595000,385776000,132330000,104433000,27897000,518106000,642701000,825321000,-41667000,-6452000,777202000,29828000,807030000,1449731000,18017000,19358000,14397000,-8167000,13430000,39509000,-6296000,-6296000,-97878000,-1174999.99999999,-105436000,-19548000,77188000,-42330000,15310000,-50617000,-50617000,-51407000,31549000,389026000,40271000,0.35798,0.08008,0.08983,0.02384,0.01327,2.0932,1.98693,0.79638,0.26834,0.35431,0.35431,3.94431,14.31311,0.74164,0.36,0.0292,0.03032,1.01606,11.66015,21.44741
"25","2016_Q4",11.6242857142857,"Up",252285000,-169870000,82415000,-70506000,-53648000,-8423000,-8435000,11909000,-7647000,-4376000,-4376000,-3271000,4262000,49176000,53438000,-4894000,48544000,50223000,-518000,49705000,49705000,26389000,26389000,173921000,173921000,231987000,22893000,22893000,455190000,145447000,1047375000,549014000,485054000,13307000,1390564000,1845754000,139221000,55111000,84110000,21260000,21260000,166166000,714954000,130609000,103898000,26711000,845563000,1011729000,825321000,-19706000,-7817000,797798000,36227000,834025000,1845754000,48544000,50223000,23487000,-49817000,-8493000,15060000,-5037000,-5037000,-384145000,61997000,-317695000,-19548000,335704000,-8918000,307238000,4603000,4603000,5229000,35396000,720639000,26760000,0.32667,0.0472,0.19702,0.0596,0.02693,0.53838,2.73937,1.21307,0.39043,0.91538,0.91538,4.64613,14.69241,0.49282,0.36,0.04109,0.01588,0.39328,19.6138,58.29625
