"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","discontinued_operations_short_term","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","discontinued_operations_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","liabilities_from_discontinued_operations_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","liabilities_from_discontinued_operations_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",9.25390625,"Up",488743000,-383246000,105497000,-86059000,-86059000,19438000,-12487000,-12909000,422000,6951000,-2385000,1566000,-819000,-819000,-819000,-819000,116922000,116922000,302281000,302281000,257047000,150506000,54911000,556000,826756000,350832000,614221000,225162000,358334000,2665000,28060000,965053000,1791809000,266311000,266311000,19522000,1954000,1954000,287787000,678773000,187454000,3110000,184344000,866227000,1154014000,637795000,1791809000,-819000,17681000,7139000,-25482000,-1481000,-13546000,-3229512.05142397,-13546000,-1474000,-824000,-14773000,-14773000,-701000,-17772000,-32799000,-15000,-32814000,-329000,-33143000,37119000,698295000,-3475000,0.21585,0.03977,-0.00168,-0.00128,-0.00046,4.24298,2.87281,1.80938,0.38972,-0.01507,-0.01507,8.99334,-0.06394,0.02712,0.00043,-0.00228,-1.79976,15.66241,29.9091
"12","2013_Q4",9.9690625,"Up",509826000,-401515000,108311000,-86345000,-86345000,21966000,-12530000,-13137000,607000,9436000,7832000,-4229000,3603000,3603000,3603000,3603000,126104000,126104000,271743000,271743000,219329000,176538000,58711000,554000,793714000,348440000,606472000,221783000,356375000,2646000,25668000,954912000,1748626000,238651000,238651000,13384000,1690000,1690000,253725000,678307000,184220000,2631000,181589000,862527000,1116252000,632374000,1748626000,3603000,17749000,4670000,10515000,36537000,-14781000,-2.09547579288483e-09,-14781000,-1446000,-7191000,-3580000,-3580000,18999.9999999999,-12198000,9558000.00000001,-8000,9550000.00000001,-368000,9181999.99999999,39715000,691691000,39678000,0.21245,0.04309,0.00707,0.0057,0.00206,11.01249,3.12825,1.76518,0.39556,0.0664,0.06411,9.39512,0.73119,0.02665,0.00335,0.02631,0.40133,14.24114,25.74829
"13","2014_Q1",10.027868852459,"Up",449009000,-342902000,106107000,-85846000,-85846000,20261000,-11911000,-13042000,1131000,8350000,7136000,-3688000,3448000,425000,425000,425000,178130000,178130000,256215000,256215000,230120000,152045000,41003000,1214000,816510000,353593000,607505000,221391000,354459000,3075000,28580000,961098000,1777608000,270353000,106743000,10768000,3288000,3288000,284409000,678487000,164248000,4744000,159504000,842735000,1127144000,650464000,1777608000,3448000,17961000,13194000,48526000,83129000,-18308000,0,-18308000,-1441000,-3483000,-6832000,-6832000,59000,-11697000,53124000,-1604000,51520000,506000,52026000,38222000,689255000,72128000,0.23631,0.04512,0.00095,0.00065,0.00024,169.71294,2.8709,1.73283,0.38774,0.00788,0.00727,8.32284,1.33697,0.02671,0.00124,0.04796,3.39059,13.37253,25.22704
"14","2014_Q2",9.07650793650794,"Down",453458000,-347955000,105503000,-87680000,-87680000,17823000,-12195000,-13101000,906000,5628000,4786000,-1550000,3236000,3236000,3236000,3236000,95374000,95374000,245246000,245246000,266921000,163005000,50440000,1212000,770546000,355315000,626298000,226079000,368537000,3061000,28621000,981613000,1752159000,248598000,248598000,18060000,3142000,3142000,269800000,715096000,172170000,4577000,167593000,887266000,1157066000,595093000,1752159000,3236000,16793000,3389000,-49697000,-26279000,-17692000,-21781000,-39473000,-1719000,42329000,-55189000,-55189000,-1968000,-16547000,-82299000,-299000,-82598000,-158000,-82756000,34616000,733156000,-31223000,0.23266,0.0393,0.00713999999999999,0.00544,0.00185,-9.64864,2.85599,1.94434,0.41843,0.06134,0.05923,8.59571,-0.59186,0.03259,0.0033,-0.02081,0.53121,18.42449,35.78421
"15","2014_Q3",9.2959375,"Up",507687000,-397700000,109987000,-89622000,-89622000,20365000,-11578000,-12361000,783000,8787000,-30795000,4970000,-25825000,-25825000,-25825000,-25825000,69933000,69933000,309162000,309162000,256690000,160254000,51212000,1217000,796039000,357882000,628279000,224226000,370172000,3107000,30774000,986161000,1782200000,264977000,264977000,13393000,3069000,3069000,281439000,773579000,169430000,4359000,165071000,943009000,1224448000,557752000,1782200000,-25825000,16439000,44109000,-35020000,-297000,-16859000,-1e+06,-17859000,-1571000,20783000,-7597000,-8181000,-18302000,-6687000,-24843000,-341000,-25184000,-257000,-25441000,36804000,786972000,-20045000,0.21664,0.04011,-0.05087,-0.0463,-0.01449,0.77619,2.82846,2.19533,0.44157,-0.52715,-0.52715,10.36307,-0.40917,0.03207,-0.01602,-0.01324,-0.06083,19.48264,35.20938
"16","2014_Q4",9.59390625,"Up",505039000,-386732000,118307000,-96135000,-96135000,22172000,-8920000,-11541000,2621000,13252000,12894000,1570000,14464000,14464000,14464000,14464000,87437000,87437000,269669000,269669000,278462000,180376000,74290000,1209000,815944000,365376000,649930000,235092000,381315000,3032000,30491000,1015306000,1831250000,284773000,103721000,11886000,2959000,2959000,299618000,797180000,166111000,4008000,162103000,963291000,1262909000,568341000,1831250000,14464000,16795000,4689000,40484000,76432000,-19817000,-47927000,-67744000,-1551000,20805000,-9148000,-9148000.00000001,-191000,9915000,18603000,-378000,18225000,-721000,17504000,38967000,809066000,58064000,0.23425,0.0439,0.02864,0.02545,0.0079,4.01438,2.72328,2.2221,0.44181,0.29903,0.29023,10.44116,1.20041,0.03207,0.01038,0.03762,0.10723,18.51898,32.54686
"17","2015_Q1",12.1968852459016,"Up",525627000,-400025000,125602000,-101662000,-101662000,23940000,-12297000,-11141000,-1156000,11643000,7399000,549000,7948000,7948000,7948000,7948000,92405000,92405000,258436000,258436000,290135000,174123000,62569000,1624000,815099000,370565000,623162000,233623000,374111000,2126000,13302000,993727000,1808826000,322260000,103557000,7886000,3282000,3282000,333428000,791301000,152070000,3830000,148240000,943371000,1276799000,532027000,1808826000,7948000,17369000,266000,17862000,43445000,-22174000,0,-22174000,-1432000,4183000,-7096000,-7096000,-10266000,-14611000,6660000,-510000,6150000,-1182000,4968000,41309000,799187000,36448000,0.23896,0.04555,0.01512,0.01494,0.00439,4.58581,2.4446,2.39988,0.44183,0.16784,0.1806,11.09995,0.76969,0.03024,0.00632,0.02457,0.18017,17.10964,29.52306
"18","2015_Q2",13.1434920634921,"Up",502160000,-384171000,117989000,-93896000,-93896000,24093000,-12088000,-11637000,-451000,12005000,12005000,-4534000,7471000,7471000,7471000,7471000,46566000,46566000,237177000,237177000,319421000,162434000,58347000,1622000,765598000,367182000,622883000,227834000,367091000,2109000,25849000,990065000,1755663000,284251000,83120000,6615000,3170000,3170000,294036000,802855000,146907000,3542000,143365000,949762000,1243798000,511865000,1755663000,7471000,17260000,6039000,-38820000,-8050000,-18814000,0,-18814000,-1910000,-2217000,-13170000,-13170000,415000,-16882000,-43746000,-380000,-44126000,-1713000,-45839000,41353000,809470000,-11747000,0.23496,0.04798,0.01488,0.0146,0.00426,-1.57235,2.60376,2.42993,0.46106,0.16133,0.15521,10.84345,-0.25366,0.04124,0.00639,-0.008,0.25566,18.44858,31.66496
"19","2015_Q3",13.01375,"Down",500020000,-385645000,114375000,-93566000,-93566000,20809000,-12614000,-11857000,-757000,8195000,8195000,-3073000,5122000,5122000,5122000,5122000,42602000,42602000,286452000,286452000,320297000,141007000,44525000,1638000,790358000,361200000,595695000,220811000,358695000,2246000,13943000,956895000,1747253000,266863000,84494000,9162000,2528000,2528000,278553000,858315000,145753000,3524000,142229000,1004068000,1282621000,464632000,1747253000,5122000,17193000,3807000,-61123000,-35001000,-20722000,8891000,-11831000,-2001000,71776000,-24122000,-24407000,-565000,45088000,-1744000,-165000,-1909000,-2055000,-3964000,38002000,867477000,-40770000,0.22874,0.04162,0.01024,0.01102,0.00293,-7.95978,2.83737,2.76051,0.49648,0.11295,0.10745,11.02604,-0.89903,0.04412,0.00482,-0.02759,0.39067,21.70609,39.6403
"20","2015_Q4",13.9471875,"Up",511694000,-388205000,123489000,-95575000,-95575000,27914000,-11221000,-12150000,929000,16693000,16693000,-5800000,10893000,10893000,10893000,10893000,45955000,45955000,240189000,240189000,318193000,152383000,46747000,1625000,756720000,366364000,598668000,219653000,362745000,2131000,14139000,965032000,1721752000,274598000,99029000,11771000,2392000,2392000,288761000,828699000,142044000,3244000,138800000,970743000,1259504000,462248000,1721752000,10893000,17448000,4266000,40030000,72637000,-15554000,-2225000,-17779000,-1896000,-28612000,-20555000,-20641000,109000,-50954000,3903999.99999999,-285000,3619000,-266000,3353000,45362000,840470000,75638000,0.24133,0.05455,0.02129,0.02357,0.00633,6.94373,2.62058,2.72474,0.48815,0.24743,0.23186,11.62281,1.71807,0.04307,0.00885,0.05235,0.17406,17.51499,28.46296
"21","2016_Q1",12.103606557377,"Down",-30583000,67077000,36494000,-42398000,-42398000,-5904000,-11923000,-11871000,-52000,-17827000,-17827000,6635000,-11192000,10803000,10803000,10803000,52001000,52001000,218755000,218755000,325809000,144389000,40258000,236000,740954000,379972000,591887000,213837000,356241000,3255000,18554000,971859000,1712813000,301015000,101204000,16593000,2229000,2229000,319837000,826976000,135475000,3379000,132096000,962451000,1282288000,430525000,1712813000,-11192000,-6067000,7376000,12153000,2270000,8985000,0,8985000,-1847000,-25466000,-24125000,-24125000,-155000,-51593000,-40338000,46502000,6164000,-118000,6046000,-11971000,843569000,2532000,-1.19328,0.19305,-0.35324,0.02509,0.00631,0.23438,2.31666,2.97843,0.49251,0.25271,0.24022,-0.71543,0.05923,0.04321,0.00897,0.0018,0.17097,-66.1238,-134.07317
"22","2016_Q2",13.0078125,"Up",494149000,-378044000,116105000,-91299000,-91299000,24806000,-11457000,-12012000,555000,13349000,13349000,-2561000,10788000,10788000,10788000,10788000,49968000,49968000,205882000,205882000,334462000,181109000,56826000,1360000,771421000,376110000,595658000,211472000,356412000,2576000,25198000,971768000,1743189000,263359000,96524000,15189000,2033000,2033000,280581000,886028000,148201000,3634000,144567000,1034229000,1314810000,428379000,1743189000,10788000,17084000,7399000,-52675000,-17404000,-24534000,715000,-26545000,-2281000,55601000,-10910000,-10910000,203000,42613000,-1336000.00000001,-387000,-1723000,-310000,-2033000,41890000,901217000,-32758000,0.23496,0.0502,0.02183,0.02518,0.00619,-3.03652,2.74937,3.06927,0.51699,0.25705,0.2377,11.77442,-0.78055,0.05435,0.00884,-0.02217,0.21144,20.32106,34.31625
"23","2016_Q3",13.72125,"Up",500107000,-385950000,114157000,-91586000,-91586000,22571000,-12733000,-12348000,-385000,9838000,9838000,-3743000,6095000,6095000,6095000,6095000,54282000,54282000,261161000,261161000,311567000,162827000,53022000,1325000,789837000,386109000,602568000,214733000,360094000,2259000,25482000,988677000,1778514000,260626000,98889000,19217000,1924000,1924000,281767000,922563000,148803000,3220000,145583000,1071366000,1353133000,425381000,1778514000,6095000,17118000,2809000,-11834000,14188000,-20550000,-1744000,-22294000,-2227000,37489000,-22730000,-22730000,-1016000,11516000,3410000,-191000,3219000,1095000,4314000,39689000,941780000,11048000,0.22827,0.04513,0.01219,0.01433,0.00343,1.81263,2.80316,3.18099,0.52953,0.14713,0.13887,12.0723,0.26669,0.05376,0.00549,0.00729,0.36538,22.36131,39.32028
"24","2016_Q4",16.7560317460317,"Up",462200000,-342843000,119357000,-88880000,-88880000,30477000,-12818000,-12960000,142000,17659000,11759000,-4163000,7596000,7596000,7596000,7596000,68616000,68616000,222768000,222768000,314052000,186854000,63962000,1301000,792290000,388149000,599202000,211681000,360255000,2046999.99999999,25219000,987351000,1779641000,270631000,109252000,17776000,1600000,1600000,290007000,913838000,155769000,2715000,153054000,1069607000,1359614000,420027000,1779641000,7596000,17677000,4854000,32836000,62963000,-17249000,0,-17249000,-2178000,-7859000,-17131000,-17131000,-3309000,-30477000,15237000,-574000,14663000,-329000,14334000,48154000,931614000,67904000,0.25824,0.06594,0.01643,0.01808,0.00427,8.93944,2.73197,3.23697,0.52348,0.18729,0.17551,11.39603,1.67424,0.0537,0.00648,0.04505,0.28673,17.92163,28.31637
"25","2017_Q1",20.1882258064516,"Up",20579000,30495000,51074000,-46588000,-46588000,4486000,-13119000,-12557000,-562000,-8633000,-2733000,-1965000,-4698000,5531000,5531000,5531000,72553000,72553000,184339000,184339000,261317000,262748000,23429000,112358000,780957000,236905000,764234000,197949000,306163000,252553000,7569000,1001139000,1782096000,232189000,84059000,13932000,72142000,72142000,318263000,896946000,155940000,31071000,124869000,1052886000,1371149000,410947000,1782096000,-4698000,-5537000,8471000,22135000,20371000,3827000,-2726000,3827000,-2112000,8617000,-14536000,-14536000,-207000,-8238000,15960000,-12453000,3507000,430000,3937000,-1051000,910878000,26876000,2.48185,0.21799,0.26877,0.01346,0.0031,4.85916,2.45381,3.33656,0.51113,0.1371,0.12605,0.51009,0.66617,0.05235,0.00517,0.01819,0.38185,-797.6451,186.87584
"26","2017_Q2",18.6550793650794,"Down",352277000,-255533000,96744000,-78884000,-78884000,17860000,-13429000,-13289000,-140000,4431000,4431000,2613000,7044000,12264000,12264000,12264000,52269000,52269000,228025000,228025000,323192000,150200000,41410000,217999.99999997,753686000,400151000,591352000,210251000,357507000,1960000,21634000,991503000,1745189000,256734000,95594000,26347000,1498000.00000001,1498000,284579000,938673000,132916000,2097999.99999999,130818000,1071589000,1356168000,389021000,1745189000,7044000,11988000,4260000,-23010000,281999.999999996,-7604000,-6051000,-13655000,-2499000,31761000,-15073000,-15073000,-9734000,4455000,-8918000,-10149000,-19067000,-1217000,-20284000,29848000,965020000,-3379000,0.27462,0.0507,0.03481,0.03153,0.00703,-0.27552,2.64842,3.4861,0.55296,0.31178,0.28985,8.95559,-0.0859000000000001,0.06353,0.00993,-0.00227,0.20377,30.57997,51.10588
"27","2017_Q3",16.3530158730159,"Down",610587000,-475654000,134933000,-103348000,-103348000,31585000,-12801000,-12700000,-101000,18784000,18784000,-8519000,10265000,5045000,5045000,5045000,47681000,47681000,208229000,208229000,299437000,542782000,40067000,371053000,1098129000,232135000,543277000,205127000,319139000,2960000,16051000,775412000,1873541000,267209000,83258000,11078000,92792000,92792000,371079000,968080000,135574000,3037000,132537000,1103654000,1474733000,398808000,1873541000,10265000,25185000,3089000,-30050000,8489000,-34769000,0,-34769000,-2638000,40142000,-686000,-686000,-24997000,11821000,-14459000,9411000,-5048000,204000,-4844000,56770000,979158000,470000,0.22099,0.05173,0.00826,0.01265,0.00269,0.09316,2.95929,3.69785,0.52262,0.12222,0.1167,14.79243,0.01139,0.06391,0.00508,0.00031,0.52289,16.40791,29.49112
"28","2017_Q4",17.8439682539683,"Up",131334000,-69414000,61920000,-59140000,-59140000,2780000,-12848000,-12667000,-181000,-10068000,-10068000,6205000,-3863000,9554000,9554000,9554000,69448000,69448000,227813000,227813000,339393000,163468000,43622000,478999.99999994,800122000,410472000,593889000,210060000,361405000,4314000,18110000,1004361000,1804483000,276442000,97871000,16656000,1106999.99999997,1107000,294205000,980720000,135470000,4321000,131149000,1116190000,1410395000,394088000,1804483000,-3863000,-817000,5063000,16248000,16631000,19944000,-3.72529029846191e-09,19944000,-2629000,-8535000,-37000,-36999.9999999981,-1649000,-12850000,23725000,-2643000,21082000,941000,22023000,1962999.99999999,997376000,31950000,0.47147,0.02117,0.07275,0.02424,0.00529,3.34415,2.71961,3.57888,0.55272,0.22921,0.22088,3.15078,0.7665,0.06307,0.00798,0.02092,0.27517,472.70912,333.78705
