"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"11","2012_Q4",17.9427419354839,"Down",401400000,-367900000,-30600000,-337300000,33500000,-3300000,-4e+06,30200000,30200000,-11200000,1.9e+07,19100000,19100000,19100000,11500000,11500000,166400000,166400000,28300000,26800000,210500000,776500000,171500000,1.12e+08,9.48e+08,1158500000,165100000,1.27e+08,21400000,193900000,307200000,385500000,248800000,33400000,692700000,886600000,283400000,31400000,-42900000,271900000,271900000,1158500000,39800000,-12900000,0,-12900000,-1e+07,-44200000,3100000,7.45058059692383e-09,-51100000,-24200000,-2.4e+07,-2.4e+07,328600000,0.08346,0.04758,0.07025,0.01649,1.08561,3.26076,0.28364,0.44941,0.44626,9.44471,6.39765,0.23529,0.02951,0.52356,9.46567000000001
"12","2013_Q1",21.0588333333333,"Up",398300000,-374500000,-32400000,-342100000,23800000,-3700000,-3800000,20100000,20100000,-4400000,15700000,15600000,15600000,15600000,19900000,19900000,174700000,174700000,39500000,32900000,234100000,762500000,177700000,87200000,940200000,1174300000,165800000,125800000,16400000,193400000,302700000,398300000,251900000,38400000,7.01e+08,894400000,284600000,40800000,-45500000,279900000,279900000,1174300000,25700000,-1400000,100000.000000001,-1300000,148600000,-7600000,4e+05,-157600000,-16200000,8200000,8400000.00000001,8400000.00000001,319100000,0.05975,0.03917,0.05573,0.01328,1.21044,3.19543,0.27174,0.36706,0.36364,9.37176,6.58588,-3.49647,-0.13336,-9.52564,12.57143
"13","2013_Q2",19.8878125,"Down",394700000,-376200000,-33400000,-342800000,18500000,-3500000,-3700000,1.5e+07,1.5e+07,-5900000,9100000,9100000,9100000,9100000,1.1e+07,1.1e+07,167500000,167500000,31900000,25300000,215400000,7.59e+08,174800000,115100000,933800000,1149200000,155400000,121400000,17400000,185800000,283700000,395600000,249100000,38200000,679300000,865100000,284900000,43400000,-44200000,284100000,284100000,1149200000,3.5e+07,-5300000,0,-14900000,-6500000,-21500000,4e+05,-1400000,-2.9e+07,-8900000,-8900000,-8900000,301100000,0.04687,0.02306,0.03203,0.00792,1.15931,3.04505,0.26201,0.21362,0.21163,9.26526,6.66901,0.15258,0.01591,0.71429,15.68108
"14","2013_Q3",22.67703125,"Up",416600000,-379300000,-34400000,-344900000,37300000,-4400000,-3600000,32900000,32900000,-12800000,20100000,20100000,20100000,20100000,39100000,39100000,179600000,179600000,30700000,24100000,253700000,7.44e+08,170800000,111800000,914800000,1168500000,180100000,138500000,12400000,206100000,2.8e+08,3.9e+08,242400000,38200000,6.7e+08,876100000,287200000,50100000,-44900000,292400000,292400000,1168500000,44500000,-1600000,0,-1600000,-6500000,-8700000.00000001,4e+05,0,-14800000,28100000,28100000,28100000,292400000,0.08953,0.04825,0.06874,0.0172,1.23096,2.99624,0.25024,0.46963,0.46744,9.73364,6.83178,0.15187,0.02729,0.32338,6.79088
"15","2013_Q4",21.18328125,"Down",4.15e+08,-385400000,-31800000,-353600000,29600000,-6e+06,-3600000,23600000,23600000,-6400000,17200000,17200000,17200000,17200000,81800000,81800000,171100000,171100000,54900000,48300000,312100000,736200000,171900000,115300000,908100000,1220200000,163400000,128100000,12500000,189300000,277400000,437900000,296900000,3.5e+07,715300000,904600000,292200000,67300000,-43900000,315600000,315600000,1220200000,58300000,-8800000,0,-8500000,-6900000,-2500000,2400000,-99999.9999999963,-7100000,42700000,42700000,42700000,289900000,0.07133,0.04145,0.0545,0.0141,1.64871,2.86629,0.23758,0.40281,0.39723,9.71897,7.3911,0.16159,0.0231,0.40116,7.03041
"16","2014_Q1",20.4434426229508,"Down",410900000,-3.94e+08,-3.3e+07,-3.61e+08,16900000,-2500000,-3500000,14400000,14400000,-7100000,7300000,7300000,7300000,7300000,114500000,114500000,182300000,182300000,52100000,4.3e+07,348900000,735400000,1.64e+08,75200000,899400000,1248300000,1.73e+08,1.24e+08,12500000,200600000,273600000,435900000,326100000,35400000,709500000,910100000,2.94e+08,67700000,-23500000,338200000,338200000,1248300000,57900000,-1.5e+07,1.16415321826935e-10,-1.5e+07,-6900000,-3900000,-1500000,2100000,-10200000,32700000,32700000,32700000,286100000,0.04113,0.01777,0.02158,0.00585,1.73928,2.69101,0.22919,0.17096,0.16937,9.62295,7.92037,0.16159,0.01339,0.94521,10.15385
"17","2014_Q2",20.3284126984127,"Down",392500000,-382800000,-3.5e+07,-347800000,9700000,-3900000,-4100000,5800000,5800000,-2400000,3400000,3400000,3400000,3400000,229700000,229700000,177900000,177900000,49600000,40500000,457200000,722900000,164200000,75400000,887100000,1344300000,171400000,124500000,12500000,199300000,371100000,4.38e+08,3.27e+08,36700000,809100000,1008400000,294900000,64200000,-23200000,335900000,335900000,1344300000,30100000,-4500000,0,-4500000,-6900000,97500000,7e+05,-1700000,89600000,115200000,115200000,115200000,383600000,0.02471,0.00866,0.01012,0.00253,2.29403,3.00208,0.28535,0.07925,0.07852,9.14918,7.82984,0.16084,0.0089,2.02941,15.86598
"18","2014_Q3",22.9246875,"Up",436400000,-402800000,-35900000,-366900000,33600000,-2400000,-4500000,31200000,31200000,-13100000,18100000,18100000,18100000,18100000,223700000,223700000,196700000,196700000,57800000,48800000,478200000,721400000,1.65e+08,74100000,886400000,1364600000,183800000,127600000,17100000,221700000,362800000,438100000,330100000,35400000,800900000,1022600000,296900000,67800000,-22700000,3.42e+08,3.42e+08,1364600000,19100000,-14500000,9.31322574615479e-10,-14500000,-7e+06,-3699999.99999997,99999.9999999995,0,-10600000,-6e+06,-6e+06,-6e+06,379900000,0.07699,0.04148,0.05292,0.01326,2.15697,2.99006,0.2784,0.41995,0.41995,10.12529,7.93503,0.16241,0.02164,0.38674,4.64881
"19","2014_Q4",25.9240625,"Up",441800000,-399900000,-36100000,-363800000,41900000,-1300000,-4400000,40600000,40600000,-19100000,21500000,21500000,21500000,21500000,230900000,230900000,192500000,192500000,41300000,32100000,464700000,706300000,189800000,96300000,896100000,1360800000,168100000,126800000,17100000,204800000,360400000,428700000,324100000,36800000,789100000,993900000,299500000,89400000,-2.2e+07,366900000,366900000,1360800000,46900000,-3e+06,-27500000,-30500000,-7400000,-2400000,8e+05,-2e+05,-9200000,7200000,7200000,7200000,377500000,0.09484,0.04866,0.0586,0.0158,2.26904,2.70891,0.27741,0.5,0.49425,10.27442,8.53256,0.17209,0.02464,0.34419,3.49881
"20","2015_Q1",32.2483606557377,"Up",443500000,-395300000,-40300000,-3.55e+08,48200000,-3100000,-4300000,45100000,45100000,-17300000,27800000,27800000,27800000,27800000,293400000,293400000,197600000,197600000,28500000,20500000,519500000,691200000,191100000,96800000,882300000,1401800000,177400000,133200000,21600000,223500000,3.52e+08,462500000,308400000,35500000,814500000,1.038e+09,307300000,109800000,-53300000,363800000,363800000,1401800000,69600000,-600000.000000002,-400000.000000007,-1e+06,-7400000,-3899999.99999999,4200000,1e+06,-6100000.00000001,62500000,62500000,62500000,373600000,0.10868,0.06268,0.07642,0.01983,2.32438,2.85322,0.26651,0.64651,0.63616,10.31395,8.46047,0.17209,0.02934,0.26619,1.6639
"21","2015_Q2",35.7549206349206,"Up",398200000,-356700000,-38500000,-318200000,41500000,-9e+05,-4300000,40600000,40600000,-15600000,2.5e+07,2.5e+07,2.5e+07,2.5e+07,325800000,325800000,201800000,201800000,27400000,19600000,5.55e+08,678700000,193200000,95600000,871900000,1426900000,177200000,140600000,21600000,223800000,349600000,468200000,313300000,35700000,817800000,1041600000,310400000,127300000,-52400000,385300000,385300000,1426900000,46300000,-3e+06,0,-3e+06,-7500000,-2400000,1900000,-2900000,-10900000,32400000,32400000,32400000,371200000,0.10422,0.06278,0.06488,0.01752,2.47989,2.70335,0.26014,0.57604,0.56948,9.17512,8.87788,0.17281,0.02654,0.3,1.09398
"22","2015_Q3",33.83421875,"Down",447600000,-419100000,-54600000,-364500000,28500000,6e+05,-4600000,29100000,29100000,-19200000,9900000,9900000,9900000,9900000,15800000,15800000,223600000,223600000,83500000,41400000,322900000,839200000,564100000,106400000,1403300000,1726200000,255500000,156800000,24300000,306700000,492300000,540300000,325200000,97300000,1032600000,1339300000,316100000,121900000,-51100000,386900000,386900000,1726200000,56600000,-7600000,0,-36300000,-7400000,-323500000,6e+05,0,-330300000,-3.1e+08,-3.1e+08,-3.1e+08,516600000,0.06367,0.02212,0.02559,0.00574,1.05282,3.46162,0.29927,0.22811,0.22551,10.31336,8.91475,0.17051,0.01198,0.74747,17.57193
"23","2015_Q4",40.10078125,"Up",544300000,-4.77e+08,-52200000,-424800000,67300000,-2e+05,-4700000,67100000,67100000,-25600000,41500000,41500000,41500000,41500000,25500000,25500000,239500000,239500000,83300000,41500000,348300000,839900000,548500000,91100000,1388400000,1736700000,244800000,164100000,22200000,298100000,459300000,548200000,336700000,96200000,1007500000,1305600000,317300000,163300000,-49500000,431100000,431100000,1736700000,56100000,-1.5e+07,15800000,5e+05,-7900000,-3.7e+07,-1100000,-9e+05,-46900000,9700000,9700000,9700000,481500000,0.12365,0.07624,0.09627,0.0239,1.1684,3.02853,0.27725,0.94966,0.93891,12.45538,9.86499,0.18078,0.03382,0.19036,6.77563
"24","2016_Q1",33.8239344262295,"Down",494800000,-452300000,-49700000,-402600000,42500000,-1500000,-4900000,4.1e+07,4.1e+07,-14400000,26600000,26600000,26600000,26600000,25500000,25500000,192800000,192800000,59600000,59600000,277900000,860300000,531600000,84500000,1391900000,1669800000,275600000,164900000,2.2e+07,297600000,407900000,513700000,310500000,93900000,921600000,1219200000,320500000,1.77e+08,-46900000,450600000,450600000,1669800000,86300000,-15400000,-9600000,-2.5e+07,-8e+06,-50100000,-4100000,9e+05,-61300000,0,0,0,429900000,0.08589,0.05376,0.05903,0.01593,0.9338,2.70573,0.25746,0.61149,0.60455,11.37471,10.35862,0.18391,0.02482,0.30075,9.51529
"25","2016_Q2",30.019375,"Down",454200000,-422200000,-45800000,-376400000,3.2e+07,-2300000,-4900000,29700000,29700000,-11600000,18100000,18100000,18100000,18100000,20100000,20100000,210400000,210400000,28400000,28400000,258900000,857400000,5.58e+08,110200000,1415400000,1674300000,214900000,150700000,21700000,261200000,459500000,513900000,313300000,93900000,973400000,1234600000,314400000,170900000,-45600000,439700000,439700000,1674300000,19800000,-30100000,-12500000,-42600000,-7900000,51300000,-2e+07,-6e+06,17400000,-5400000,-5400000,-5400000,481200000,0.07045,0.03985,0.04116,0.01081,0.99119,2.80782,0.2874,0.41705,0.41324,10.46544,10.13134,0.18203,0.01812,0.43646,14.40938
"26","2016_Q3",32.37,"Up",467700000,-434600000,-44700000,-389900000,33100000,-3500000,-6500000,29600000,29600000,-11600000,1.8e+07,1.8e+07,1.8e+07,1.8e+07,19200000,19200000,206400000,206400000,28200000,28200000,253800000,873300000,561100000,108400000,1434400000,1688200000,2.46e+08,178300000,21800000,289700000,4.41e+08,523100000,317500000,98400000,964100000,1253800000,315700000,163500000,-44800000,434400000,434400000,1688200000,5.9e+07,-21100000,-399999.999999993,-21500000,-7900000,-18400000,-11900000,-2e+05,-38400000,-9e+05,-900000.000000002,-900000.000000002,462800000,0.07077,0.03849,0.04144,0.01066,0.87608,2.88628,0.27414,0.41667,0.41284,10.82639,10.05556,0.18287,0.01824,0.43889,13.40181
"27","2016_Q4",33.7998412698413,"Up",500400000,-457300000,-46400000,-410900000,43100000,-2400000,-6e+06,40700000,40700000,-15400000,25300000,25300000,25300000,25300000,16400000,16400000,225600000,225600000,68400000,68400000,310400000,908100000,854600000,215600000,1762700000,2073100000,243900000,180700000,26300000,290200000,786100000,537600000,335200000,9.9e+07,1323700000,1613900000,318100000,184700000,-43600000,459200000,459200000,2073100000,8700000,-13900000,-137200000,-263900000,-8200000,266500000,-5300000,-6e+05,252400000,-2800000,-2800000,-2800000,812400000,0.08613,0.05056,0.0551,0.0122,1.06961,3.51459,0.39188,0.59251,0.58701,11.71897,10.7541,0.19204,0.01852,0.32411,18.46868
"28","2017_Q1",30.2840322580645,"Down",519300000,-486600000,-46200000,-440400000,32700000,-2200000,-6700000,30500000,30500000,-10500000,2e+07,2e+07,2e+07,2e+07,13900000,13900000,189500000,189500000,70800000,70800000,274200000,949200000,792100000,149400000,1741300000,2015500000,245800000,170500000,31800000,277600000,707100000,535900000,363800000,172100000,1.243e+09,1520600000,321900000,196600000,-23600000,494900000,494900000,2015500000,70300000,-17300000,24400000,7300000.00000006,-8200000,-73500000.0000001,399999.999999999,1200000,-80100000,-2500000,-2500000,-2500000,738900000,0.06297,0.03851,0.04041,0.00992,0.98775,3.07254,0.36661,0.46404,0.45977,12.04872,11.4826,0.19026,0.01593,0.41,22.17125
"29","2017_Q2",27.162380952381,"Down",474400000,-462100000,-50300000,-411800000,12300000,-2200000,-6300000,10100000,10100000,-3100000,7e+06,7e+06,7e+06,7e+06,19500000,19500000,197900000,197900000,70100000,70100000,287500000,950800000,796100000,151400000,1746900000,2034400000,229700000,153500000,31600000,261300000,748700000,558300000,352200000,101200000,1.307e+09,1568300000,317500000,1.94e+08,-45400000,466100000,466100000,2034400000,4e+06,-22900000,-1300000,-24200000,-8300000,41400000,-3e+05,-7e+06,25800000,5600000,5600000,5600000,780300000,0.02593,0.01476,0.01502,0.00344,1.10027,3.36473,0.38355,0.16279,0.16129,11.03256,10.83953,0.19302,0.00848,1.18571,61.85366
"30","2017_Q3",24.9271428571429,"Down",512500000,-472400000,-5e+07,-422400000,40100000,-5e+05,-6300000,39600000,39600000,-15600000,2.4e+07,2.4e+07,2.4e+07,2.4e+07,15300000,15300000,198600000,198600000,6.8e+07,6.8e+07,281900000,9.89e+08,768400000,126500000,1757400000,2039300000,244700000,158900000,31300000,2.76e+08,722600000,564800000,360700000,97700000,1287400000,1563400000,319700000,200600000,-44400000,475900000,475900000,2039300000,59400000,-14500000,-13700000,-28200000,-8200000,-26400000,-600000.000000001,-2e+05,-35400000,-4200000,-4200000,-4200000,753900000,0.07824,0.04683,0.05043,0.01177,1.02138,3.28514,0.36969,0.55556,0.55556,11.86343,11.0162,0.18981,0.01794,0.34167,18.41895
"31","2017_Q4",25.3865079365079,"Up",543900000,-493100000,-53200000,-439900000,50800000,4800000,-6200000,55600000,55600000,-21500000,34100000,34100000,34100000,34100000,24700000,24700000,213900000,213900000,64400000,64400000,3.03e+08,1099200000,764800000,125300000,1.864e+09,2.167e+09,255300000,172900000,29200000,284500000,810100000,553800000,386200000,101100000,1363900000,1648400000,317600000,223400000,-22400000,518600000,518600000,2.167e+09,83600000,-6200000,-1.26e+08,-132200000,-8700000,85500000,-17100000,-1700000,5.8e+07,9400000,9400000,9400000,839300000,0.0934,0.0627,0.06575,0.01574,1.06503,3.17856,0.38731,0.79673,0.78753,12.70794,12.11682,0.20327,0.02239,0.25513,16.03543
"32","2018_Q1",28.2852459016393,"Up",516100000,-500200000,-53300000,-446900000,15900000,4e+06,-5400000,19900000,19900000,1.46e+08,165900000,165900000,165900000,165900000,19800000,19800000,194600000,194600000,51600000,51600000,2.66e+08,1165700000,819900000,173700000,1985600000,2251600000,255500000,175100000,30800000,286300000,826300000,461800000,283600000,178200000,1288100000,1574400000,321600000,380500000,-24900000,677200000,677200000,2251600000,77900000,-11600000,-80700000,-92300000,-8600000,17700000,6e+05,-2e+05,9500000,-4900000,-4900000,-4900000,857100000,0.03081,0.32145,0.24498,0.07368,0.9291,2.32487,0.38066,3.89437,3.86713,12.11502,15.89671,0.20188,0.08742,0.05184,52.66038
"33","2018_Q2",30.1890625,"Up",511400000,-493200000,-53900000,-439300000,18200000,6300000,-5e+06,24500000,24500000,-10300000,14200000,14200000,14200000,14200000,13700000,13700000,209100000,209100000,4.6e+07,4.6e+07,268800000,1.215e+09,804100000,161300000,2019100000,2287900000,239100000,159300000,36500000,275600000,867100000,462800000,291600000,171200000,1329900000,1605500000,320100000,3.93e+08,-30700000,682400000,682400000,2287900000,29900000,-12100000,-57700000,-69800000,-8700000,46500000,2e+05,-4200000,33800000,-6100000,-6100000,-6100000,903600000,0.03559,0.02777,0.02081,0.00620999999999999,0.97533,2.35273,0.39495,0.33333,0.331,12.00469,16.01878,0.20423,0.01118,0.61268,48.8956
"34","2018_Q3",33.9125396825397,"Up",557100000,-520200000,-54300000,-465900000,36900000,4500000,-5e+06,41400000,41400000,-8800000.00000001,32600000,32600000,32600000,32600000,12800000,12800000,221700000,221700000,49100000,49100000,283600000,1307100000,790900000,153200000,2.098e+09,2381600000,279200000,193500000,36300000,315500000,896200000,470400000,299800000,170600000,1366600000,1682100000,323200000,407900000,-31600000,699500000,699500000,2381600000,89200000,-2400000,-108200000,-110600000,-8600000,28900000,3e+05,-1e+05,20500000,-899999.999999999,-9e+05,-9e+05,932500000,0.06624,0.05852,0.0466,0.01369,0.89889,2.40472,0.39154,0.76526,0.75991,13.07746,16.42019,0.20188,0.0196,0.2638,24.92412
