"","YQ","p","d","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2018_Q3",19.1709523809524,"Up",-15276000,-3800000,-15276000,537000,357000,-267000,-14739000,-14739000,-14739000,-14739000,-14739000,-14739000,125885000,17658000,2650000,2420000,128535000,129627000,9767000,9330000,12580000,5e+05,5e+05,4650000,17230000,231123000,112397000,112397000,129627000,-14739000,278000,-12592000,-125000,-8860000,-8860000,-8860000,6963000,-0.13113,-0.1137,10.21741,0.1533,0.05372,-0.44703,-0.44703,3.40897,-0.12297,7.78489
"12","2018_Q4",13.2490476190476,"Down",-15982000,-4321000,-15982000,975000,795000,-252000,-15007000,-15007000,-15007000,-15007000,-15007000,-15007000,187423000,20568000,2969000,2737000,190392000,191500000,10071000,9817000,12905000,556000,556000,3988000,16893000,308370000,174607000,174607000,191500000,-15007000,25000,-13001000,73972000,2910000,2910000,2910000,6266000,-0.08595,-0.07837,14.75335,0.09675,0.03272,-0.39713,-0.39713,4.62058,-0.08272,11.33506
"13","2019_Q1",15.4065573770492,"Up",-16634000,-4550000,-16634000,1035000,855000,-193000,-15599000,-16097000,-16097000,-16097000,-16097000,-16097000,178985000,16119000,2212000,1988000,181197000,182379000,13615000,13385000,13615000,279000,279000,7779000,21394000,310853000,160985000,160985000,182379000,-16097000,4291000,-10211000,1144000,-4449000,-4449000,-4449000,7500000,-0.09999,-0.08826,13.30863,0.13289,0.04112,-0.42166,-0.42166,4.21703,-0.09538,10.30931
"14","2019_Q2",16.5979365079365,"Up",-14951000,-4569000,-14951000,1011000,885000,-145000,-13940000,-13940000,-13940000,-13940000,-13940000,-13940000,165525000,17778000,2061000,1882000,167586000,169617000,12143000,11782000,12143000,409000,409000,7909000,20052000,313224000,149565000,149565000,169617000,-13940000,-2097000,-14251000,102000,1659000,1659000,1659000,7500000,-0.0932,-0.08219,13.80104,0.13407,0.04422,-0.36523,-0.36523,3.9186,-0.08852,10.56953
"15","2019_Q3",17.8009375,"Up",-15891000,-4451000,-15891000,948000,874000,-148000,-14943000,-14943000,-14943000,-14943000,-14943000,-14943000,261413000,122080000,2491000,2380000,263904000,265685000,11232000,10878000,11232000,372000,372000,7872000,19104000,425040000,246581000,246581000,265685000,-14943000,-1467000,-14431000,109857000,104302000,104302000,104302000,7500000,-0.0606,-0.05624,23.49573,0.07748,0.02823,-0.38382,-0.38382,6.33363,-0.05873,15.97842
"16","2019_Q4",14.81734375,"Down",-17674000,-5134000,-17674000,1282000,1251000,-145000,-16392000,-16392000,-16392000,-16392000,-16392000,-16392000,250126000,54742000,2822000,2775000,252948000,254602000,13112000,12865000,13112000,406000,406000,7906000,21018000,428264000,233584000,233584000,254602000,-16392000,2029000,-12145000,559000,-67338000,-67338000,-67338000,7500000,-0.07018,-0.06438,19.29134,0.08998,0.02946,-0.36173,-0.36173,5.15467,-0.06788,13.72785
"17","2020_Q1",11.4467741935484,"Down",-18963000,-5499000,-18963000,1098000,-3590000,-142000,-17865000,-17865000,-17865000,-17865000,-17865000,-17865000,236891000,26135000,2712000,2712000,239603000,241972000,15314000,15314000,15564000,377000,377000,7627000,23191000,431327000,218781000,218781000,241972000,-17865000,1609000,-13933000,582999.999999985,-28607000,-28607000,-28607000,7500000,-0.08166,-0.07383,15.39469,0.106,0.031,-0.39377,-0.39377,4.82226,-0.07882,12.09677
"18","2020_Q2",14.4249206349206,"Up",-34691442.770146,-12249805.2597853,-34691442.770146,990000,975000,-144000,990000,-19210000,-19210000,-19210000,-19210000,-19210000,216935000,33811000,4195000,4164000,221130000,226462000,13554000,13554000,14554000,2207000,2207000,8707000,23261000,434727000,203201000,203201000,226462000,-19210000,-3655000,-19822000,247000,7886000.00000001,7886000.00000001,7886000.00000001,7500000,-0.09454,-0.08483,15.19376,0.11447,0.03312,-0.42303,-0.42303,4.47471,-0.09023,9.39832270370175
"19","2020_Q3",22.07875,"Up",-41373000,-15101000,-41373000,686000,701000,-144000,-40687000,-20487000,-20487000,-20487000,-20487000,-20487000,338869000,134758000,3317000,3317000,342186000,3.53e+08,16801000,16801000,18551000,6325000,6325000,12075000,30626000,574391000,322374000,322374000,3.53e+08,-20487000,3213000,-14734000,137368000,100947000,100947000,100947000,7500000,-0.06355,-0.05804,18.44569,0.095,0.02125,-0.39678,-0.39678,6.24357,-0.06094,8.00931
"20","2020_Q4",35.1390625,"Up",-24194000,-7593000,-24194000,425000,-2110000,-146000,-23769000,-23769000,-23769000,-23769000,-23769000,-23769000,325413000,76955000,3498000,3498000,328911000,339567000,19205000,19205000,21705000,6367000,6367000,11367000,33072000,582614000,306495000,306495000,339567000,-23769000,3193000,-16966000,4683000,-57803000,-57803000,-57803000,7500000,-0.07755,-0.07,15.1537,0.1079,0.02209,-0.42097,-0.42097,5.42825,-0.07419,13.14016
"21","2021_Q1",31.6390163934426,"Down",-26332000,-8808000,-26332000,173000,-144000,-144000,-26159000,-26159000,-26159000,-26159000,-26159000,-26159000,633320000,325493000,3972000,3972000,637292000,647212000,23024000,23024000,26024000,6033000,6033000,10283000,36307000,913361000,610905000,610905000,647212000,-26159000,3633000,-18308000,327036000,248538000,248538000,248538000,7250000,-0.04282,-0.04042,24.48863,0.05943,0.0112,-0.44487,-0.44487,10.38936,-0.04191,23.77601
"22","2021_Q2",24.8265079365079,"Down",-30896000,-10572000,-30896000,202000,-108000,-108000,-30694000,-30694000,-30694000,-30694000,-30694000,-30694000,603873000,110835000,6832000,6832000,610705000,620263000,22139000,22139000,25139000,5637000,5637000,9137000,34276000,919265000,585987000,585987000,620263000,-30694000,-3856000,-28517000,79000,-214658000,-214658000,-214658000,6500000,-0.05238,-0.04949,24.29313,0.05849,0.01048,-0.46353,-0.46353,8.84936,-0.05132,19.33496
"23","2021_Q3",18.84296875,"Down",-33647000,-12573000,-33647000,-16000,-306000,-306000,-33663000,-33663000,-33663000,-33663000,-33663000,-33663000,567494000,38974000,6138000,6138000,573632000,584891000,21290000,21290000,21290000,5050000,5050000,5050000,26340000,925803000,558551000,558551000,584891000,-33663000,-2276000,-28074000,-6566000,-71861000,-71861000,-71861000,0,-0.06027,-0.05755,26.94373,0.04716,0,-0.50837,-0.50837,8.43503,-0.05973,16.86611
"24","2021_Q4",16.200625,"Down",-33677000,-11310000,-33677000,311000,-307877.410298114,-399134.485315131,-33366000,-33366000,-33366000,-33366000,-33366000,-33366000,543445000,39183000,5460000,5460000,548905000,561141000,21926000,21926000,21926000,5459000,5459000,5459000,27385000,934175000,533756000,533756000,561141000,-33366000,1310000,-24594000,2258000,208999.99999997,208999.99999997,208999.99999997,-4.65661287307739e-10,-0.06251,-0.05946,25.03443,0.05131,0,-0.50337,-0.50337,8.05244,-0.06188,16.13698
"25","2022_Q1",14.4403225806452,"Down",-33038000,-12082000,-33038000,295000,0,0,-32743000,-32743000,-32743000,-32743000,-32743000,-32743000,517960000,90672000,4329000,4329000,522289000,534051000,20192000,20192000,22455000,4987000,4987000,4987000,27442000,941366000,506609000,506609000,534051000,-32743000,1598000,-23366000,794000,51489000,51489000,51489000,0,-0.06463,-0.06131,23.25936,0.05417,0,-0.49195,-0.49195,7.61166,-0.064,15.6777
"26","2022_Q2",14.3846774193548,"Down",-32782000,-11869000,-32782000,329000,968632.230894343,1242403.45594539,-32453000,-32453000,-32453000,-32453000,-32453000,-32453000,480075000,33832000,6959000,6959000,487034000,498585000,15449000,1337000,17725000,4610000,4610000,4610000,22335000,948319000,476250000,476250000,498585000,-32453000,-7655000,-32181000,303000,-56840000,-56840000,-56840000,0,-0.06814,-0.06509,27.47724,0.0469,0,-0.48765,-0.48765,7.15627,-0.06749,14.64447
"27","2022_Q3",15.4246875,"Up",-35333000,-11075000,-35333000,564000,2949019.28238492,3679075.88252105,-34769000,-34769000,-34769000,-34769000,-34769000,-34769000,450258000,39257000,9528000,9528000,459786000,471425000,15583000,15583000,17873000,4061000,4061000,4061000,21934000,957496000,449491000,449491000,471425000,-34769000,-3057000,-30341000,2669000,5425000,5425000,5425000,0,-0.07735,-0.07375,25.72517,0.0488,0,-0.52245,-0.52245,6.75418,-0.07666,12.74327
