"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"26","2016_Q3",26.873125,"Down",625539000,-530306000,95233000,-56853000,-56853000,38380000,-5907000,-4765000,263000,-1405000,32473000,32473000,-10164000,22309000,22309000,22309000,22309000,393190000,393190000,547125000,547125000,343023000,132018000,132018000,1415356000,1210020000,2820064000,-1610044000,693828000,438906000,254922000,1903848000,3319204000,497595000,100006000,396432000,497595000,802338000,427634000,427634000,1229972000,1727567000,1591637000,1591637000,3319204000,22309000,59979000,-1597000,11272000,91963000,-31343000,-39723000,-26403000,-26403000,25837000,25837000,22337000,98359000,802338000,88452000,0.15224,0.06136,0.03566,0.01402,0.00672,3.96486,2.84439,1.0854,0.24173,0.2275,0.22666,6.37915,16.23126,0.90202,0.00791,0.03135,4.15974,10.66045
"27","2016_Q4",26.3787301587302,"Down",549275000,-513832000,35443000,-47299000,-47299000,-11856000,-5317000,-5641000,-246000,570000,-17173000,-17173000,5375000,-11798000,-11798000,-11798000,-11798000,441625000,441625000,510424000,510424000,297195000,110024000,110024000,1359268000,1166971000,2770569000,-1603598000,711331000,448289000,263042000,1878302000,3237570000,501073000,95303000,382289000,501073000,802256000,362461000,362461000,1164717000,1665790000,1571780000,1571780000,3237570000,-11798000,74200000,37520000,17150000,117072000,-29204000,-40182000,-26459000,-26459000,50431000,50431000,48435000,62344000,802256000,44915000,0.06453,-0.02158,-0.02148,-0.00751,-0.00364,-3.807,2.71271,1.05981,0.2478,-0.12031,-0.12031,5.60136,16.02859,0.45803,-0.00431,0.01641,5.78453,-30.41759
"28","2017_Q1",26.9011290322581,"Up",488445000,-437374000,51071000,-54930000,-54930000,-3859000,-4635000,-4915000,-299000,579000,-8493999.99999999,-8494000,-2534000,-11028000,-11028000,-11028000,-11028000,450193000,450193000,489749000,489749000,280130000,42523000,79186136.5430091,1262595000,1153258000,2728125000,-1574867000,714462000,443551000,270911000,1867720000,3130315000,508364000,77593000,430771000,508364000,793058000,312250000,312250000,1105308000,1613672000,1516643000,1516643000,3130315000,-11028000,56287000,-13961000,46468000,77766000,-28803000,-52089000,-14703000,-14703000,10974000,10974000,8568000,52428000,793058000,72627000,0.10456,-0.00790000000000001,-0.02258,-0.00727,-0.00352,-6.58569,2.48364,1.06398,0.25335,-0.11245,-0.11148,4.98073,15.46538,0.74059,-0.00421,0.0277,6.53973,-88.84815
"29","2017_Q2",25.1804761904762,"Down",446176000,-401321000,44855000,-45005000,-45005000,-150000,-8467000,-4931000,-980000,-2556000,-8617000,-8617000,1083000,-7534000,-7534000,-7534000,-7534000,462516000,462516000,429752000,429752000,297645000,56817000,56817000,1246730000,1123431000,2711998000,-1588567000,720835000,445512000,275323000,1844266000,3090996000,477528000,86895000,390633000,477528000,793908000,330427000,330427000,1124335000,1601863000,1489133000,1489133000,3090996000,-7534000,53663000,-14202000,27078000,59005000,-16450000,-30736000,-16633000,-16633000,11636000,11636000,12323000,53513000,793908000,63058000,0.10053,-0.00034,-0.01689,-0.00506,-0.00244,-8.36979,2.6108,1.0757,0.25685,-0.07677,-0.07677,4.54641,15.17387,0.64254,-0.00288,0.02413,6.19274,-2209.28
"30","2017_Q3",24.1228571428571,"Down",515036000,-461465000,53571000,-44181000,-44181000,9390000,-6006000,-5554000,-394000,-58000,3384000,3384000,-1252000,2132000,2132000,2132000,2132000,482339000,482339000,466456000,466456000,266636000,46274000,46274000,1261705000,1100190000,2744441000,-1644251000,729906000,450801000,279105000,1830096000,3091801000,482906000,81676000,401230000,482906000,794099000,323651000,323651000,1117750000,1600656000,1491145000,1491145000,3091801000,2132000,53304000,-7500000,-4337000,43599000,-24220000,-9524000,-14895000,-14895000,19180000,19180000,19823000,62694000,794099000,35389000,0.10401,0.01823,0.00414,0.00143,0.00069,16.59897,2.61273,1.07344,0.25684,0.0216999999999999,0.02159,5.2414,15.17504,0.36015,0.00082,0.01356,4.97272,33.20128
"31","2017_Q4",21.2568253968254,"Down",476120000,-421235000,54885000,-44354000,-44354000,10531000,-8364000,-6653000,-424000,-1287000,2167000,2167000,-3935000,-1768000,-1768000,-1768000,-1768000,472381000,472381000,464547000,464547000,245783000,50064000,50064000,1232775000,1083353000,2790056000,-1706703000,828555000,464772000,363783000,1911908000,3144683000,461456000,89438000,372018000,461456000,795805000,387464000,387464000,1183269000,1644725000,1494604000,1499958000,3144683000,-1768000,53513000,8173000,-18508000,41410000,-18595000,-38504000,-14464000,-14464000,-11558000,-11558000,-9958000,64044000,795805000,30876000,0.11528,0.02212,-0.00371,-0.00117999999999999,-0.000559999999999996,-17.4638,2.67149,1.09651,0.25306,-0.01799,-0.01799,4.84502,15.20916,0.3142,-0.00066,0.01151,5.05003,30.7116100000003
"32","2018_Q1",20.0460655737705,"Down",484175000,-442876000,41299000,-50414000,-50414000,-9115000,-5663000,-3324000,-185000,-2154000,-14778000,-14778000,188346000,173568000,173568000,173568000,173568000,430316000,430316000,476903000,476903000,215282000,64901000,64901000,1187402000,1064204000,2815579000,-1751375000,772344000,455599000,316745000,1836548000,3023950000,435797000,85539000,350258000,435797000,792312000,131323000,131323000,923635000,1359432000,1659164000,1664518000,3023950000,173568000,53039000,-201733000,-32410000,-7536000,-33477000,-33271000,70000,70000,-40737000,-40737000,-42065000,43924000,792312000,-210309000,0.0853,-0.01883,0.35848,0.10428,0.0574,-1.21168,2.72467,0.81671,0.26201,1.76604,1.73747,4.92644,16.88184,-2.13987,0.06706,-0.08126,8.24142,-39.71432
"33","2018_Q2",22.38609375,"Up",416413000,-397585000,18828000,-45977000,-45977000,-27149000,-16096000,-6779000,-843000,-8474000,-43245000,-43245000,-5888000,-49133000,-49133000,-49133000,-49133000,334910000,334910000,471345000,471345000,185009000,114481000,114481000,1105745000,1054323000,2821826000,-1767503000,768613000,512164000,256449000,1822936000,2928681000,372522000,82995000,289527000,372522000,785068000,132888000,132888000,917956000,1290478000,1632849000,1638203000,2928681000,-49133000,54128000,11227000,-10604000,5618000,-25732000,-92349000,294244000,-5756000,-92487000,-92487000,-95406000,26979000,785068000,-3469000,0.04521,-0.0652,-0.11799,-0.02999,-0.01678,0.0706,2.96827,0.78774,0.26806,-0.49941,-0.49941,4.23257,16.59686,-0.03526,-0.01922,-0.00136,16.6855,-16.58102
"34","2018_Q3",26.6468253968254,"Up",478674000,-448946000,29728000,-49365000,-49365000,-19637000,-10145000,-5852000,-737000,-3556000,-29782000,-29782000,-3294000,-33076000,-33076000,-33076000,-33076000,339541000,339541000,504322000,504322000,185926000,84456000,84456000,1114245000,1014004000,2812374000,-1798370000,774499000,501348000,273151000,1788503000,2902748000,427376000,91150000,336226000,427376000,782228000,122610000,122610000,904838000,1332214000,1565180000,1570534000,2902748000,-33076000,59843000,-30187000,13487000,10067000,-26395000,-2424000.00000001,-22000,-21999.9999999981,7621000,7621000,4631000,40206000,782228000,30592000,0.0621,-0.04102,-0.0691,-0.02106,-0.01139,-0.9249,2.60718,0.84826,0.26948,-0.33569,-0.33569,4.85811,15.88515,0.31048,-0.01336,0.01236,11.01047,-22.54351
"35","2018_Q4",18.812380952381,"Down",519300000,-471665000,47635000,-49187000,-49187000,-1552000,-3292000,-7240000,-1684000,5632000,-4844000,-4844000,-61135000,-65979000,-65979000,-65979000,-65979000,367150000,367150000,579205000,579205000,189119000,54362000,54362000,1189836000,993514000,2831728000,-1838214000,740349000,500164000,240185000,1733863000,2923699000,476314000,111756000,364558000,476314000,782190000,163722000,163722000,945912000,1422226000,1496119000,1501473000,2923699000,-65979000,50703000,48525000,-13278000,19971000,-15895000,12329000,29000,29000,32329000,32329000,27609000,49151000,782190000,81113000,0.09173,-0.00299,-0.12705,-0.04394,-0.02257,-1.22938,2.49801,0.94722,0.26753,-0.66961,-0.66961,5.27032,15.18394,0.82321,-0.02696,0.03314,8.44418,-267.42268
