"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share"
"23","2016_Q2",7.7809375,"Down",53367000,-7946000,45421000,-43954000,-40648000,-2496000,1467000,-56000,1411000,1411000,-214000,1197000,1197000,1197000,1197000,1197000,1544000,5398000,-9116000,-977000,-1655000,-9286000,1138000,1138000,-4244000,-3106000,-13369000,-13369000,-13369000,3011000,0,0.85111,0.02749,0.02243,0.01134,0.01068,0.50566
"24","2016_Q3",7.92015625,"Up",57343000,-7395000,49948000,-46387000,-42772000,-3168000,3561000,-111000,3450000,3450000,-1475000,1975000,1975000,1975000,1975000,1975000,1268000,4685000,-648000,7280000,573000,572999.999999998,878000,878000,-45000,833000,8686000,8686000,8686000,4829000,1.77635683940025e-15,0.87104,0.0621,0.03444,0.0186,0.01761,0.53999
"25","2016_Q4",8.98492063492063,"Up",64429000,-7997000,56432000,-51729000,-48179000,-2918000,4703000,-87000,4616000,4616000,-1295000,3321000,3321000,3321000,3321000,3321000,1471000,4901000,-6848000,2845000,-1734000,-1734000,532000,532000,-7108000,-6576000,-5465000,-5465000,-5465000,6174000,0,0.87588,0.073,0.05155,0.03133,0.02956,0.60787
"26","2017_Q1",8.44403225806452,"Down",46573000,-7600000,38973000,-47820000,-41813000,-5759000,-8847000,-85000,-8932000,-8932000,2829000,-6103000,-6103000,-6103000,-6103000,-6103000,1187000,-3258000,22875000,14701000,-2657000,-1231000,946000,946000,-146000,697999.999999998,14168000,14168000,14168000,-7660000,0,0.83682,-0.18996,-0.13104,-0.05758,-0.05391,0.4394
"27","2017_Q2",13.3419047619048,"Up",72607000,-8743000,63864000,-57679000,-52951000,-4202000,6185000,-145000,6040000,6040000,-1713000,4327000,4327000,4327000,4327000,4327000,1472000,4375000,466000,10640000,-969000,-969000,1865000,1865000,-15003000,-13138000,-3467000,-3467000,-3467000,7657000,0,0.87958,0.08518,0.05959,0.04093,0.03805,0.68686
"28","2017_Q3",14.83,"Up",76412000,-8631000,67781000,-60568000,-55314000,-4747000,7213000,-149000,7064000,7064000,1005000,8069000,8069000,8069000,8069000,8069000,1622000,4764000,-972000,13483000,-1779000,-1779000,7327000,7327000,-2422000,4905000,16609000,16609000,16609000,8835000,0,0.88705,0.0944,0.1056,0.07555,0.0688,0.71543
"29","2017_Q4",12.1947619047619,"Down",84573000,-9598000,74975000,-66132000,-60233000,-5481000,8843000,-43000,8800000,13074000,4383000,17457000,17457000,17457000,17457000,17457000,1431000,-6043000,5106000,17951000,-1394000,-1394000,2398000,2398000,-29966000,-27568000,-11011000,-11011000,-11011000,10274000,0,0.88651,0.10456,0.20641,0.16335,0.14857,0.79135
"30","2018_Q1",11.643606557377,"Down",87547000,-8247000,79300000,-55318000,-51621000,-3470000,23982000,250000,24232000,18910000,15964000,34874000,34874000,34874000,34874000,34874000,1240000,-10126000,-5123000,20865000,3871000,-1255000,397000,397000,-24954000,-24586000,-4976000,-4976000,-4976000,25222000,0,0.9058,0.27393,0.39835,0.33181,0.3008,0.83297
"31","2018_Q2",7.1178125,"Down",84149000,-9358000,74791000,-69707000,-65910000,-3545000,5084000,96000,5180000,3067000,1552000,4619000,4619000,4619000,4619000,4619000,1473000,3656000,428000,10176000,-38000,-3107000,3554000,3554000,-11645000,-8091000,-1022000,-1022000,-1022000,6557000,0,0.88879,0.06042,0.05489,0.0441,0.04062,0.80335
"32","2018_Q3",4.51968253968254,"Down",95417000,-9270000,86147000,-71547000,-67582000,-3719000,14600000,116000,14716000,1791000,13000.0000000019,1804000,1804000,1804000,1804000,1804000,1544000,1403000,15938000,20689000,-2000,-2474000,0,0,-331000,-334000.000000001,17881000,17881000,17881000,16144000,-2.91038304567337e-11,0.90285,0.15301,0.01891,0.0173,0.0164,0.91486
"33","2018_Q4",3.71380952380952,"Down",86959000,-7356000,79603000,-62962000,-58741000,-3961000,16641000,1e+05,16741000,472000,-650000,-178000,-178000,-178000,-178000,-178000,1675000,6681000,-4781000,3397000,-434000,-2453000,-7572000,0,7347000,-224000,720000,720000,720000,18316000,0,0.91541,0.19137,-0.00205,-0.00171,-0.00171,0.83481
"34","2019_Q1",2.8627868852459,"Down",92586000,-10402000,82184000,-71111000,-66295000,-4540000,11073000,215000,11288000,-8727000,-27497000,-36224000,-36224000,-36224000,-36224000,-36224000,2224000,28516000,7018000,1534000,643000,-1186000,1000,1000.00000000012,-285000.000000001,-285000.000000001,63000,63000,63000,13297000,0,0.88765,0.1196,-0.39125,-0.3318,-0.3819,0.84806
"35","2019_Q2",3.68984126984127,"Up",66555000,-7418000,59137000,-53997000,-50862000,-2902000,5140000,182000,5322000,-13231000,-42000,-13273000,-13273000,-13273000,-13273000,-13273000,1928000,4542000,-8457000,-15260000,215000,-433000,2154133.16870014,-207491.453311091,-1044000,-1044000,-16737000,-16737000,-16737000,7068000,0,0.88854,0.07723,-0.19943,-0.12472,-0.12472,0.6254
"36","2019_Q3",5.08234375,"Up",67437000,-9749000,57688000,-53736000,-50641000,-2828000,3952000,-95000.0000000001,3857000,-17168000,-41999.9999999925,-17210000,-17210000,-17210000,-17210000,-17210000,1912000,4650000,12778000,2130000,-78999.9999999999,-330000,107999.999999998,108000,-6110000,66748000,68548000,68548000,68548000,5864000,66821000,0.85544,0.0586,-0.2552,-0.16031,-0.16031,0.62819
"37","2019_Q4",6.06359375,"Up",88863000,-13205000,75658000,-54218000,-51258000,-2691000,21440000,-2128000,19312000,12070000,309000,12379000,12379000,12379000,12379000,12379000,1910000,-13920000,-3529000,-3160000,2216000,2060000,0,0,-769000,-1707000,-2807000,-2807000,-2807000,23350000,65924000,0.8514,0.24127,0.1393,0.11567,0.11567,0.83036
"38","2020_Q1",6.23661290322581,"Up",76400000,-12709000,63691000,-48433000,-45444000,-2719000,15258000,-2384000,12874000,-7256000,-220000.000000001,-7476000,-7476000,-7476000,-7476000,-7476000,1835000,20746000,-38227000,-23122000,-96000,-793000,4.65661287307739e-10,0,-200999.999999999,-1138000,-25053000,-25053000,-25053000,17093000,65656000,0.83365,0.19971,-0.09785,-0.06987,-0.06987,0.71404
"39","2020_Q2",3.89809523809524,"Down",61736000,-10025000,51711000,-49863000,-46942000,-2650000,1848000,-2381000,-533000,-16125000,11304000,-4821000,-4821000,-4821000,-4821000,-4821000,1777000,4256000,-13493000,-12281000,-75000,-1086000,298000,298000,-1538000,-2177000,-15544000,-15544000,-15544000,3625000,65387000,0.83762,0.02993,-0.07809,-0.04483,-0.04483,0.57408
"40","2020_Q3",6.05625,"Up",53647000,-8198000,45449000,-39859000,-37328000,-2260000,5590000,-2583000,3007000,-8439000,-27000.0000000019,-8466000,-8466000,-8466000,-8466000,-8466000,1693000,5455000,-1779000,-3097000,-76000,-486000,-3.72529029846191e-09,7.45058059692383e-09,-815000,-1753000,-5336000,-5336000,-5336000,7283000,65222000,0.84719,0.1042,-0.15781,-0.07794,-0.07794,0.49387
"41","2020_Q4",6.8790625,"Up",64303000,-10290000,54013000,-51693000,-48046000,-3371000,2320000,-1471000,849000,-19379000,-38000,-19417000,-19417000,-19417000,-51982000,-19417000,1842000,12455000,502000,-4618000,-58000,-710000,100072000,100072000,-2838000,66734000,61406000,61406000,61406000,4162000,47627000,0.83998,0.03608,-0.80839,-0.47908,-0.47908,0.59263
"42","2021_Q1",9.66295081967213,"Up",68548000,-10817000,57731000,-52395000,-48706000,-3434000,5336000,-1509000,3827000,-17600000,1020000,-16580000,-16580000,-16580000,-18059000,-16580000,1543000,5689000,-919000,-10267000,-118000,-2273000,-99959000,-99959000,-7848000,-1243000,-13783000,-13783000,-13783000,6879000,47697000,0.8422,0.07784,-0.26345,-0.16666,-0.16666,0.63259
"43","2021_Q2",10.8303174603175,"Up",59967000,-9641000,50326000,-49982000,-45404000,-4339000,344000,-1472000,-1128000,-8324000,-58000,-8382000,-8382000,-8382000,-9850000,-8382000,1400000,4149000,-3846000,-6679000,-138000,-2079000,915000,915000,-3216000,-2308000,-11066000,-11066000,-11066000,1744000,47799000,0.83923,0.00574,-0.16426,-0.09004,-0.09004,0.54814
"44","2021_Q3",11.27109375,"Up",68165000,-12760000,55405000,-57877000,-53599000,-4063000,-2472000,-1374000,-3846000,-1784000,5000,-1779000,-1779000,-1779000,-3276000,-1779000,1521000,4741000,-2884000,1599000,-17000,-422000,444000,444000.000000015,-1347000,-916000.000000002,261000,261000,261000,-951000,47905000,0.81281,-0.03626,-0.04806,-0.02994,-0.02994,0.62307
"45","2021_Q4",6.94484375,"Down",63074000,-10129000,52945000,-50850000,-46289000,-4368000,2095000,-963000,1132000,-2038000,-301000,-2339000,-2339000,-2339000,-2339000,-2339000,1116000,4185000,3368000,6330000,-33000,-580000,45000,45000,-188000,-150000,5600000,5600000,5600000,3211000,48015000,0.83941,0.03321,-0.03708,-0.02124,-0.02124,0.57269
"46","2022_Q1",4.89048387096774,"Down",67409000,-10753000,56656000,-57814000,-53067000,-4574000,-1158000,-1194000,-2352000,2108000,107000,2215000,2215000,2215000,-956000,2215000,1146000,4122000,-10715000,-3232000,11000,-314000,33000.0000000009,33000,0,22000,-3524000,-3524000,-3524000,-12000,48127000,0.84048,-0.01718,-0.01418,-0.0085,-0.0085,0.59941
"47","2022_Q2",3.9158064516129,"Down",58894000,-9936000,48958000,-55706000,-49570000,-5964000,-6748000,-1126000,-7874000,-10426000,-63000,-10489000,-10489000,-10489000,-12075000,-10489000,1032000,4412000,-5178000,-10223000,-54000,-148000,166000,166000,-1191000,-1036000,-11407000,-11407000,-11407000,-5716000,48239000,0.83129,-0.11458,-0.20503,-0.10879,-0.10668,0.53059
"48","2022_Q3",3.5540625,"Down",66883000,-11823000,55060000,-61478000,-55793000,-5512000,-6418000,-1170000,-7588000,-10806000,-62000,-10868000,-10868000,-10868000,-12496000,-10868000,1031000,7275000,-443000.000000002,-3005000,-49000,-429000,271000,271000,0,260000,-3174000,-3174000,-3174000,-5387000,48356000,0.82323,-0.09596,-0.18683,-0.11071,-0.11071,0.59258
