"","YQ","p","d","revenue","cost_of_revenue","gross_profit","other_operating_income","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",66.8856451612903,"Up",879939000,-620154000,259785000,8227000,-126445000,-94093000,-32352000,141567000,2524000,-1465000,3989000,144091000,144091000,-49746000,94345000,94345000,94345000,94345000,412898000,412898000,136346000,136346000,410034000,131552000,43576000,1090830000,230605000,149993000,76704000,13768000,380598000,1471428000,307601000,228332000,3286000,75983000,2607000,390698000,390698000,700906000,104692000,6749000,6749000,111441000,812347000,-9.09494701772928e-13,234457000,413070000,11554000,659081000,659081000,1471428000,94345000,18812000,-1663000,64621000,176115000,-24213000,-4948000,-36161000,-25260000,-715000,424000,10768000,-10344000,-17927000,122027000,122027000,1577000,123604000,160379000,107299000,250533000,0.29523,0.16088,0.10722,0.14315,0.06412,2.6555,1.55631,1.23255,0.07292,1.37343,1.331,12.80973,9.59459,3.64714,0.36772,0.1547,0.32405,0.26774,-1.90548,-2.15869
"12","2013_Q1",70.9188333333333,"Up",900647000,-646847000,253800000,10295000,-129218000,-95891000,-33327000,134877000,-495000,-1489000,1173000,134382000,134382000,-46318000,88064000,88064000,88064000,88064000,417015000,417015000,119769000,119769000,344996000,136061000,34039000,1017841000,253369000,217317000,107216000,24424000,470686000,1488527000,260742000,169036000,4973000,86733000,2887000,367400000,362400000,631029000,104292000,62676000,60641000,166968000,797997000,0,269201000,409091000,12238000,690530000,690530000,1488527000,88064000,19091000,-28491000,82958000,161622000,-37279000,-8048000,-87075000,-25525000,-5341000,-52309000,16238000,-68547000,-70888000,3659000,3659000,458000,4117000,153968000,107179000,245965000,0.2818,0.14976,0.09778,0.12753,0.05916,2.79303,1.61299,1.15563,0.072,1.2742,1.23771,13.03151,9.99132,3.55888,0.36932,0.13202,0.28588,0.28985,-2.01234,-2.29717
"13","2013_Q2",73.4178125,"Up",745909000,-529261000,216648000,10074000,-124753000,-93303000,-31450000,101969000,583000,-1473000,2468000,102552000,102552000,-27088000,75464000,75464000,75464000,75464000,380750000,380750000,129332000,129332000,370856000,125422000,30740000,1006360000,274737000,219792000,105096000,24240000,494529000,1500889000,308863000,215187000,18017000,75659000,2627000,288138000,288138000,599628000,103727000,65696000,65696000,169423000,769051000,1.45519152283669e-11,288753000,431379000,11706000,731838000,731838000,1500889000,75464000,19906000,3162000,-50758000,47774000,-40113000,1607000,-38506000,-28662000,-749999.999999996,-20692000,4995000,-25687000,-44606000,-35338000,-35338000,-927000,-36265000,121875000,106354000,58092000,0.29045,0.1367,0.10117,0.10312,0.05028,0.7698,1.67831,1.05085,0.07086,1.09697,1.06645,10.8428,10.63826,0.84445,0.41664,0.1152,0.06427,0.37981,-2.25145,-2.69097
"14","2013_Q3",91.47765625,"Up",844800000,-592462000,252338000,11502000,-138286000,-103682000,-34604000,125554000,-727000,-1371000,1230000,124827000,124827000,-44823000,80004000,80004000,80004000,80004000,217674000,217674000,148725000,148725000,428634000,144904000,47169000,939937000,342713000,327752000,223537000,4686000,670465000,1610402000,337456000,236347000,16539000,84570000,3297000,298416000,298416000,639169000,104304000,59466000,59466000,163770000,802939000,0,321871000,476661000,8931000,807463000,807463000,1610402000,80004000,19373000,13271000,-56908000,55740000,-53607000,2419000,-192068000,-28825000,-1123000,-958000,5224000,-6182000.00000001,-25104000,-161432000,-161432000,-1644000,-163076000,144927000,107601000,79235000,0.2987,0.14862,0.0947,0.09908,0.04968,0.99039,1.47056,0.9944,0.06682,1.16172,1.1307,12.26712,11.72496,1.15055,0.41856,0.11167,0.08131,0.36029,-0.75951,-0.8767
"15","2013_Q4",109.44515625,"Up",1102649000,-767864000,334785000,11671000,-165163000,-128153000,-37010000,181293000,425000,-1520000,2576000,181718000,181718000,-64797000,116921000,113144000,113144000,113144000,387804000,387804000,157015000,157015000,460592000,157093000,56450000,1162504000,420328000,340387000,227889000,7553000,760715000,1923219000,418191000,280284000,43765000,94142000,3318000,395227000,385227000,816736000,103904000,70897000,70897000,174801000,991537000,2.3283064365387e-10,354127000,560773000,16782000,931682000,931682000,1923219000,116921000,25085000,-4968000,141255000,277651000,-98630000,-1935000,-100565000,-28995000,-906999.99999997,7577000,7615000,-38000,-9696000,167390000,167390000,2740000,170130000,206378000,107222000,313800000,0.30362,0.16442,0.10261,0.12144,0.05883,2.77346,1.42335,1.06424,0.05575,1.63555,1.58941,15.9393,13.46789,4.53612,0.41914,0.12808,0.28275,0.25627,-1.35955,-1.54767
"16","2014_Q1",110.673114754098,"Up",1083710000,-766602000,317108000,12654000,-160664000,-124535000,-36129000,169098000,-3766000,-1846000,-1135000,165332000,165332000,-56652000,108680000,108680000,108680000,108680000,92248000,92248000,186213000,186213000,417948000,169289000,63716000,865698000,455167000,364623000,229708000,18616000,819790000,1685488000,347898000,238044000,9254000,100600000,3281000,396891000,396891000,748070000,284342000,109050000,84022000,393392000,1141462000,8421000,361272000,155572000,18761000,544026000,544026000,1685488000,108680000,27736000,14346000,-33417000,111075000,-59051000,-9337000,-75546000,-27240000,-594712000,-489038000,9088000,-498126000,-329629000,-294100000,-294100000,-1456000,-295556000,196834000,287623000,161018000,0.29261,0.15604,0.10029,0.19977,0.06448,1.48158,1.15724,2.09818,0.17065,1.61481,1.56419,16.1022,7.95823,2.39247,0.40474,0.14449,0.17117,0.25064,0.99259,1.1554
"17","2014_Q2",109.025396825397,"Down",888346000,-629929000,258417000,10640000,-142375000,-106862000,-35513000,126682000,-1603000,-2812000,2105000,125079000,125079000,-44178000,80901000,80901000,80901000,80901000,101789000,101789000,150464000,150464000,482874000,155380000,59326000,890507000,495053000,378889000,226461000,20048000,873942000,1764449000,375502000,257795000,27333000,90374000,3076000,308436000,308436000,687014000,328723000,122841000,98774000,451564000,1138578000,10022000,391058000,204157000,20634000,625871000,625871000,1764449000,80901000,28069000,992000,-65215000,44747000,-39703000,-678000,-40381000,-31719000,-633887000,9121000,9365000,-244000,5237000,9603000,9603000,-62000,9541000,154751000,331799000,94011000,0.2909,0.1426,0.09107,0.12926,0.04585,1.16205,1.2962,1.81919,0.18805,1.22888,1.19046,13.49393,9.35472,1.42802,0.48181,0.10423,0.08701,0.39207,1.48632,1.81565
"18","2014_Q3",119.4034375,"Up",1013959000,-709045000,304914000,14625000,-164104000,-127120000,-36984000,155435000,-2123000,-3039000,1883000,153312000,153312000,-56407000,96905000,96905000,96905000,96905000,119040000,119040000,135411000,135411000,559876000,179120000,60002000,993447000,532425000,393177000,238118000,21803000,925602000,1919049000,396843000,289423000,4530000,102890000,3119000,325410000,325410000,725372000,364506000,122660000,99678000,487166000,1212538000,12091000,411159000,265667000,17594000,706511000,706511000,1919049000,96905000,28712000,4912000,-44363000,86166000,-61904000,6802000,-76459000,-31696000,-763323000,-72000,3629000,-3701000,7570000.00000006,17277000,17277000,-26000.0000000005,17250999.9999999,184147000,367625000,134287000,0.30072,0.1533,0.09557,0.13716,0.0505,1.38576,1.36957,1.71623,0.19157,1.46692,1.42323,15.34906,10.51196,2.0328,0.47981,0.10745,0.11221,0.32708,1.34993,1.59929
"19","2014_Q4",124.32515625,"Up",1302343000,-914069000,388274000,17048000,-182749000,-144163000,-38586000,222573000,-4123000,-2835000,-252000,218450000,218450000,-77624000,140826000,140826000,140826000,140826000,169018000,169018000,153839000,153839000,582193000,175515000,61780000,1080565000,538031000,390236000,224443000,25096000,928267000,2008832000,455084000,340606000,3219000,111259000,2809000,367409000,367409000,825302000,225214000,119274000,98174000,344488000,1169790000,16340000,452801000,372128000,-2227000,839042000,839042000,2008832000,140826000,34260000,-3660000,78096000,249522000,-44866000,2356000,-46668000,-31589000,-606212000,9951000,9976000,-25000,-144678000,58176000,58176000,-8198000,49978000,256833000,228023000,367687000,0.29813,0.1709,0.10813,0.16784,0.0701,2.61093,1.3093,1.3942,0.11351,2.12532,2.06103,19.65474,12.41608,5.54907,0.47674,0.14533,0.30993,0.22431,0.22974,0.2651
"20","2015_Q1",122.534262295082,"Down",1.275e+09,-907427000,367573000,19354000,-176927000,-139552000,-37375000,2.1e+08,-7524000,-2553000,-3746000,202476000,202476000,-67079000,135397000,135397000,135397000,135397000,137600000,137600000,204876000,204876000,565685000,188394000,71526000,1096555000,555428000,422952000,223966000,41201000,978380000,2074935000,474907000,343470000,11344000,120093000,2528000,373375000,373375000,850810000,223620000,125710000,107519000,349330000,1200140000,13528000,486668000,401840000,-27241000,874795000,874795000,2074935000,135397000,36466000,-38936000,15908000,148835000,-58606000,-9725000,-83274000,-31904000,-225165000,-69499000,8343000,-77842000,-90700000,-25139000,-25139000,-6279000,-31418000,246466000,226148000,270847000,0.28829,0.16471,0.10619,0.15478,0.06525,2.00039,1.28884,1.37191,0.10899,2.03464,1.97539,19.15968,12.94243,4.07007,0.47943,0.13639,0.2208,0.23563,0.35927,0.42166
"21","2015_Q2",120.066031746032,"Down",1033345000,-739614000,293731000,14642000,-158087000,-119224000,-38863000,150286000,-11973000,-2910000,-7440000,138313000,138313000,-49750000,88563000,88563000,88563000,88563000,111005000,111005000,173199000,173199000,629285000,188766000,70964000,1102255000,558753000,419775000,210451000,35656000,978528000,2080783000,431441000,304656000,19698000,107087000,2203000,316413000,316413000,750057000,326862000,126891000,111172000,453753000,1203810000,14695000,544493000,373610000,-55825000,876973000,876973000,2080783000,88563000,37081000,-8218000,-113201000,4225000,-30784000,-346000,-41179000,-35114000,-723306000,-67257000,19010000,-86267000,19123000,-17831000,-17831000,-8764000,-26595000,187367000,329065000,93132000,0.28425,0.14544,0.08571,0.10099,0.04256,1.05159,1.46956,1.37269,0.15814,1.3332,1.29961,15.55563,12.98045,1.40198,0.52859,0.09279,0.06987,0.39649,1.16381,1.45097
"22","2015_Q3",113.65921875,"Down",1124327000,-804913000,319414000,17638000,-173035000,-131604000,-41431000,164017000,-7401000,-2972000,-2681000,156616000,156616000,-55673000,100943000,100943000,100943000,100943000,118819000,118819000,151495000,151495000,708269000,195336000,66497000,1173919000,569126000,438509000,235030000,40528000,1007635000,2181554000,430450000,300639000,9553000,120258000,4948000,316261000,316261000,751659000,398534000,129872000,113426000,528406000,1280065000,16743000,567955000,371492000,-54701000,901489000,901489000,2181554000,100943000,35291000,-1086000,-49464000,85684000,-57879000,15585000,-69314000,-34947000,-579792000,-65349000,6123000,-71472000,-10370000,5999999.99999999,5999999.99999999,1814000,7814000,199308000,403482000,147638000,0.28409,0.14588,0.08978,0.11197,0.04627,1.46259,1.56177,1.41995,0.18495,1.52197,1.4882,16.95204,13.33976,2.22601,0.52691,0.09471,0.10289,0.34621,1.42826,1.73557
"23","2015_Q4",89.148125,"Down",1.456e+09,-1040377000,415623000,19065000,-192012000,-147580000,-44432000,242676000,-2966000,-2966000,1345000,239710000,239710000,-84537000,155173000,155173000,155173000,155173000,225264000,225264000,176221000,176221000,674612000,195469000,74166000,1271566000,587935000,450570000,232142000,46271000,1038505000,2310071000,516704000,381174000,34269000,101261000,4839000,388077000,388077000,909620000,311774000,136394000,120481000,448168000,1357788000,14923000,584094000,409707000,-56441000,952283000,952283000,2310071000,155173000,40530000,6271000,172119000,374093000,-60335000,6988000,-58634000,-34747000,-756613000,-88517000,1539000,-90056000,-204784000,110675000,110675000,-4230000,106445000,283206000,316613000,479527000,0.28546,0.16667,0.10657,0.16295,0.06717,3.09027,1.39791,1.42582,0.13706,2.35425,2.30336,22.09006,14.22139,7.27526,0.52717,0.13515,0.34123,0.22392,0.32255,0.37642
"24","2016_Q1",73.3888524590164,"Down",1105618000,-795344000,310274000,17958000,-169072000,-127338000,-41734000,159160000,-8062000,-2608000,-3368000,151098000,151098000,-40416000,110682000,110682000,110682000,110682000,155349000,155349000,150778000,150778000,710001000,136794000,90619000,1152922000,650678000,582059000,236117000,166538000,1232737000,2385659000,429677000,299660000,6741000,123276000,5059000,392047000,392047000,826783000,456417000,111337000,97604000,567754000,1394537000,9645000,596796000,447173000,-62492000,991122000,991122000,2385659000,110682000,39236000,-8638000,-165051000,-23771000.0000001,-100487000,-2787000,-119961000,-34477000,-325769000,-39958000,5863000,-45821000,75906000,-67826000,-67826000,-2089000,-69915000,198396000,461476000,-26726000.0000001,0.28063,0.14396,0.10011,0.11167,0.04639,-0.24147,1.39447,1.40703,0.19344,1.692,1.66207,16.9016,15.00385,-0.408559999999999,0.52705,0.09282,-0.01709,0.3115,1.54301,1.92339
"25","2016_Q2",75.416875,"Up",982996000,-735418000,247578000,19496000,-189930000,-146821000,-43109000,77144000,-5004000,-2865000,-81000,72140000,72140000,-25251000,46889000,46889000,46889000,46889000,145763000,145763000,124553000,124553000,710004000,96350000,68224000,1076670000,675164000,627939000,278483000,165862000,1303103000,2379773000,414977000,293512000,9985000,111480000,4895000,374381000,374381000,794253000,527509000,114954000,101226000,642463000,1436716000,12190000,608685000,381993000,-59811000,943057000,943057000,2379773000,46889000,37894000,11076000,43149000,139008000,-54833000,6566000,-107505000,-35430000,-504450000,-75962000,8987000,-84949000,-45010000,-13507000,-13507000,3921000,-9586000,115038000,532404000,128605000,0.25186,0.07848,0.0477,0.04972,0.0197,2.74275,1.35558,1.52347,0.22372,0.72086,0.71063,15.11232,14.3109,1.97714,0.54469,0.05176,0.08086,0.75561,3.36099,5.01194
"26","2016_Q3",74.35453125,"Down",1130777000,-846274000,284503000,20464000,-187965000,-142386000,-45579000,117002000,-7190000,-3802000,-1805000,109812000,109812000,-38646000,71166000,71166000,71166000,71166000,146633000,146633000,142434000,142434000,692272000,84214000,64201000,1065553000,696241000,633850000,273896000,170955000,1330091000,2395644000,477937000,348376000,9728000,119833000,4821000,399111000,399111000,881869000,463304000,115262000,102375000,578566000,1460435000,11027000,627495000,367476000,-70789000,935209000,935209000,2395644000,71166000,40215000,11243000,86651000,209275000,-62795000,13464000,-51784000,-35153000,-693887000,-56156000,2771000,-58927000,-153376000,4115000,4115000,-3245000,870000,157217000,468125000,219719000,0.2516,0.10347,0.06294,0.0761,0.02971,3.08742,1.20829,1.56161,0.19541,1.10496,1.08988,17.55701,14.34932,3.41147,0.5458,0.07001,0.14469,0.49396,2.04489,2.74775
"27","2016_Q4",70.2812698412698,"Down",1185067000,-924297000,260770000,19195000,-222576000,-175008000,-47568000,57389000,-11549000,-4051000,-5700000,45840000,45840000,-13528000,32312000,32312000,32312000,32312000,122696000,122696000,152342000,152342000,755943000,118690000,63594000,1149671000,687697000,632957000,271419000,173741000,1320654000,2470325000,437255000,308971000,11898000,116386000,4746000,544077000,544077000,986078000,431966000,114840000,102266000,546806000,1532884000,9110000,639966000,354988000,-66623000,937441000,937441000,2470325000,32312000,43794000,949000,906000,77961000,-37732000,9193000,-28539000,-35149000,-596979000,-6612000,3893000,-10505000,-72712000,-23290000,-23290000,-647000,-23937000,101183000,436712000,77885000,0.22005,0.04843,0.02727,0.03447,0.01308,2.4104,1.1659,1.63518,0.17678,0.50369,0.4969,18.47309,14.47103,1.21409,0.54791,0.04531,0.05231,1.0878,3.10345,5.47171
