"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"17","2014_Q4",32.190625,"Down",257046000,-179819000,77227000,-48543000,-48811000,28684000,-1395000,-440000,-955000,27289000,-343000,26946000,-9140000,17806000,-8240000,-8240000,9566000,9566000,9566000,10585000,10585000,276331000,50770000,13982000,483317000,64131000,144358000,55068000,35602000,13794000,39894000,208489000,691806000,191183000,71648000,119535000,19000,78747000,78747000,269949000,3000,55520000,55520000,55523000,325472000,137473000,-21228000,251038000,-949000,366334000,366334000,691806000,17806000,4449000,-172000,-7018000,15065000,-2961000,-2951000,-2974000,-1022000,-3628000,-3627000,-6517000,5597000,5597000,-1229000,4368000,33133000,22000,32294000,0.30044,0.11159,0.03722,0.02611,0.01383,3.37591,1.7904,0.88846,3e-05,0.41802,0.41288,11.23244,16.00813,1.41119,0.12996,0.02972,0.07655,0.31089,-0.31881,-0.36825
"18","2015_Q1",33.623606557377,"Up",218054000,-150960000,67094000,-47994000,-48273000,19100000,-1319000,-411000,-908000,17781000,-128000,17653000,-6136000,11517000,-418999.999999998,-418999.999999998,11098000,11098000,11098000,13728000,13728000,278051000,47730000,11196000,466033000,64611000,142907000,54975000,34402000,14941000,38589000,207518000,673551000,176783000,70674000,106109000,175000,73871000,73871000,250829000,83000,48486000,48486000,48569000,299398000,139283000,-21638000,259160000,-2652000,374153000,374153000,673551000,11517000,4406000,3971000,-5590000,14304000,-4564000,-4155000,-2976000,-2526000,-513000,-513000,-6005000,4144000,4144000,-1001000,3143000,23506000,258000,19488000,0.30769,0.08759,0.0509,0.02966,0.01648,1.75599,1.85797,0.8002,0.00038,0.48479,0.4749,9.5251,16.34386,0.85128,0.13,0.03328,0.04608,0.26816,-0.57305,-0.70524
"19","2015_Q2",32.9355555555556,"Down",227589000,-163700000,63889000,-48917000,-49198000,14972000,-275000,-426000,151000,14697000,-57000,14640000,-5301000,9339000,-391000,-391000,8948000,8948000,8948000,8119000,8119000,283701000,45619000,9110000,488175000,65065000,141455000,54883000,32863000,14677000,39032000,206520000,694695000,179890000,76889000,103001000,122000,85010000,85010000,265022000,72000,49052000,49052000,49124000,314146000,140981000,-19736000,264674000,-5370000,380549000,380549000,694695000,9339000,4288000,1773000,-29563000,-14163000,-4009000,-3983000,-3434000,16482000,35000,0,13121000,-5025000,-5025000,-584000,-5609000,19260000,194000,-9011000,0.28072,0.06579,0.03932,0.02351,0.01288,-1.00704,1.84202,0.82551,0.00028,0.39056,0.38506,9.93366,16.60996,-0.39331,0.14989,0.02881,-0.02097,0.38377,-0.41147,-0.52932
"20","2015_Q3",30.314375,"Down",269382000,-196622000,72760000,-51474000,-51736000,21286000,68000.0000000001,-480000,548000,21354000,26000,21380000,-7572000,13808000,-430000,-430000,13378000,13378000,13378000,12704000,12704000,277261000,49353000,12686000,499936000,68263000,141060000,54999000,31836000,14165000,40060000,209323000,709259000,205499000,88939000,116560000,69000,69122000,69122000,274690000,69000,47903000,47903000,47972000,322662000,142074000,-26101000,274610000,-3986000,386597000,386597000,709259000,13808000,4264000,1421000,20842000,40335000,-6175000,-6175000,-3442000,-19964000,-6972000,-7046000,-30286000,3874000,3874000,711000,4585000,25550000,138000,47789000,0.2701,0.07902,0.04966,0.0346,0.01886,3.57221,1.82,0.83462,0.00019,0.58374,0.57512,11.75431,16.86891,2.08524,0.15019,0.0387,0.10995,0.25729,-0.49182,-0.59034
"21","2015_Q4",34.7378125,"Up",270037000,-188484000,81553000,-51676000,-51907000,29877000,-867000,-332000,-535000,29010000,80000,29090000,-9896000,19194000,-728000,-728000,18466000,18466000,18466000,13359000,13359000,270131000,45607000,9266000,479276000,69102000,137169000,54926000,30616000,13541000,38086000,206271000,685547000,203162000,78413000,124749000,16000,43558000,43558000,246736000,65000,46388000,46388000,46453000,293189000,143025000,-34465000,289653000,-5855000,392358000,392358000,685547000,19194000,4490000,2625000,20351000,46660000,-4428000,-4422000,-3423000,-28892000,-8473000,-8473000,-40749000,1489000,1489000,-834000,655000,34367000,81000,60186000,0.30201,0.11064,0.06838,0.04706,0.02694,3.25929,1.94246,0.74725,0.00012,0.811,0.79725,11.85968,17.23187,2.64329,0.15033,0.04988,0.13715,0.18537,-0.38636,-0.44442
"22","2016_Q1",30.2240983606557,"Down",204967000,-142181000,62786000,-53195000,-53446000,9591000,-683000,-299000,-384000,8908000,85000,8993000,-3214000,5779000,-553000,-553000,5226000,5226000,5226000,18800000,18800000,285793000,51294000,10668000,479740000,68882000,132442000,54881000,29386000,10737000,37438000,201324000,681064000,179425000,72711000,106714000,16000,64475000,64475000,243916000,62000,45107000,45107000,45169000,289085000,141119000,-34147000,291481000,-6474000,391979000,391979000,681064000,5779000,4595000,4447000,-22482000,-7661000,-3435000,-3431000,-3398000,23924000,-4104000,-4104000,16759000,5667000,5667000,-226000,5441000,14186000,78000,-8517000,0.30632,0.04679,0.0255,0.01333,0.00767,-1.62974,1.96682,0.7375,0.00011,0.23073,0.22813,9.04951,17.30629,-0.37603,0.15003,0.01973,-0.01948,0.65021,-1.31975,-1.95204
"23","2016_Q2",32.2525,"Up",238911000,-165915000,72996000,-52736000,-52998000,20260000,22000,-311000,333000,20282000,-241000,20041000,-7385000,12656000,-452000,-452000,12204000,12204000,12204000,13360000,13360000,300291000,49499000,7176000,506350000,70301000,128687000,54824000,27964000,8466000,37433000,198988000,705338000,189997000,86225000,103772000,42000,64809000,64809000,254848000,158000,45178000,45178000,45336000,300184000,142782000,-32933000,299836000,-4531000,405154000,405154000,705338000,12656000,4373000,2333000,-20697000,-1335000,-4099000,-4097000,-3849000,3863000,-377000,-377000,-239000,-5671000,-5671000,231000,-5440000,24633000,2e+05,7222000,0.30554,0.0848,0.05108,0.03012,0.0173,0.59177,1.98687,0.74091,0.00028,0.53899,0.53188,10.55153,17.89367,0.31896,0.16999,0.03563,0.01603,0.31539,-0.53424,-0.64956
"24","2016_Q3",38.52,"Up",288977000,-201901000,87076000,-54461000,-54758000,32615000,-129000,-394000,265000,32486000,-771000,31715000,-11853000,19862000,-618000,-618000,19244000,19244000,19244000,12395000,12395000,317429000,49606000,7680000,547865000,75224000,180321000,67207000,68625000,7863000,36626000,255545000,803410000,216321000,99158000,117163000,42000,121433000,121433000,337796000,144000,44988000,44988000,45132000,382928000,143773000,-32284000,315224000,-6231000,420482000,420482000,803410000,19862000,4896000,3298000,-2993000,25063000,-6035000,-73321000,-3856000,51285000,-2.3283064365387e-10,0,47442000,-816000,-816000,-149000,-964999.999999998,37511000,186000,40336000,0.30133,0.11286,0.06659,0.04577,0.02395,2.09603,1.62188,0.91069,0.00023,0.84756,0.83601,12.72729,18.5191,1.7765,0.16983,0.04961,0.08662,0.20037,-0.32548,-0.37434
"25","2016_Q4",44.4715873015873,"Up",300795000,-205151000,95644000,-60955000,-61277000,34689000,-293000,-501000,208000,34396000,-1115000,33281000,-12226000,21055000,-425000,-425000,20630000,20630000,20630000,30537000,30537000,302598000,47896000,5893000,542757000,77081000,178338000,67151000,66318000,8315000,36554000,255419000,798176000,213752000,88168000,125584000,44000,100485000,100485000,314281000,134000,45222000,45222000,45356000,359637000,145118000,-32258000,331993000,-6314000,438539000,438539000,798176000,21055000,5560000,2653000,29972000,59240000,-5060000,-4874000,-3861000,-31880000,0,0,-35738000,18628000,18628000,-486000,18142000,40249000,178000,77387000,0.31797,0.11532,0.06858,0.04704,0.02585,3.75119,1.72698,0.82008,0.00022,0.90816,0.89037,13.24139,19.30505,3.40668,0.16997,0.05061,0.15991,0.18715,-0.75428,-0.87518
"26","2017_Q1",44.1091935483871,"Down",229799000,-163028000,66771000,-51589000,-51903000,15182000,181000,-350000,531000,15363000,-1830000,13533000,-4694000,8839000,-487000,-487000,8352000,8352000,8352000,19796000,19796000,312477000,7318000,7318000,474221000,78499000,215977000,67231000,64056000,51127000,33563000,294476000,768697000,198328000,83878000,114450000,43000,85470000,85470000,283841000,120000,43708000,43708000,43828000,327669000,144722000,-29130000,336464000,-11028000,441028000,441028000,768697000,8839000,5628000,1923000,-1553000.00000001,14837000,-5727000,-5725999.99999999,-3881000,-16049000,5.82076609134674e-11,0,-19221000,-10110000,-10110000,-631000,-10741000,20810000,163000,18224000,0.29056,0.06607,0.03634,0.01894,0.01087,2.18199,1.67073,0.74297,0.00021,0.3659,0.36005,10.06735,19.32116,0.79838,0.17002,0.02523,0.03758,0.46468,-0.94344,-1.29318
"27","2017_Q2",44.5312698412698,"Up",282378000,-198268000,84110000,-57101000,-57417000,27009000,412000,-468000,880000,27421000,-1547000,25874000,-9507000,16367000,-633000,-633000,15734000,15734000,15734000,15581000,15581000,331818000,6901000,6901000,534456000,79129000,215800000,67310000,62007000,50965000,35518000,294929000,829385000,225850000,101989000,123861000,44000,101990000,101990000,327884000,111000,43817000,43817000,43928000,371812000,147399000,-29346000,347860000,-8340000,457573000,457573000,829385000,16367000,5631000,3023000,-51905000,-26884000,-3234000,-3232000,-4338000,30874000,-1267000,-1267000,25269000,-4847000,-4847000,632000,-4215000,32640000,155000,-12992000,0.29786,0.09565,0.05572,0.03439,0.01897,-0.82573,1.63002,0.81257,0.00019,0.68868,0.67488,12.35974,20.02806,-0.56866,0.18988,0.04002,-0.0259,0.27571,-0.47261,-0.57114
"28","2017_Q3",42.8115873015873,"Down",312729000,-222063000,90666000,-60032000,-60346000,30634000,288000,-722000,1010000,30922000,-1235000,29687000,-11426000,18261000,-497000,-497000,17764000,17764000,17764000,16389000,16389000,340886000,9436000,9436000,554470000,81973000,213990000,67401000,60008000,50407000,36174000,295963000,850433000,230641000,104074000,126567000,46000,104465000,104465000,335152000,101000,42956000,42956000,43057000,378209000,149055000,-32632000,361288000,-5487000,472224000,472224000,850433000,18261000,5685000,2596000,-6493000,20049000,-5609000,-5609000,-4336000,-5273000,-3909000,-3909000,-13518000,921999.999999998,921999.999999998,-114000,807999.999999998,36319000,147000,35643000,0.28992,0.09796,0.0568,0.03762,0.02089,2.00647,1.65438,0.80091,0.00017,0.77844,0.76145,13.7042,20.69349,1.56192,0.19001,0.04289,0.06917,0.24409,-0.4472,-0.5302
