"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"12","2014_Q1",11.1919672131148,"Up",-2728000,2887000,159000,-6277000,-6277000,-6118000,-537000,-873000,-6655000,-8517000,-4003000,-12520000,-12520000,-12520000,-12520000,-12520000,3847000,5945000,9597000,6869000,-5716000,-5716000,-50550000,48750000,1648000,2801000,2801000,2801000,-2271000,77255000,5613000,-0.05828,2.24267,4.58944,-0.44832,-0.26739,-0.25266,-0.05826,0.11988
"13","2014_Q2",9.32269841269841,"Down",62724000,-42953000,19771000,-13377000,-13377000,6394000,-1075000,-898000,5319000,5319000,-1967000,3352000,3352000,3352000,3352000,3352000,1414000,-284000,-979000,3503000,-3203000,-3203000,-1e+06,-265000,273000,573000,573000,573000,7808000,76365000,5593000,0.31521,0.10194,0.05344,1.66856,0.07109,0.06741,1.33031,0.11862
"14","2014_Q3",9.429375,"Up",81622000,-55476000,26146000,-12952000,-12952000,13194000,-613000,-891000,12581000,12581000,-4780000,7801000,7801000,7801000,7801000,7801000,1029000,-2550000,-1710000,4570000,-4632000,-4632000.00000001,-1e+06,44000,2707000,2645000,2645000,2645000,14223000,75474000,12661000,0.32033,0.16165,0.0955699999999993,1.623,0.16505,0.15695,1.72694,0.26788
"15","2014_Q4",9.33140625,"Down",77320000,-54136000,23184000,-14290000,-14290000,8894000,-2039000,-1020000,6855000,4026000,-1695000,2331000,2331000,2331000,2331000,2331000,1141000,676000,4657000,8805000,-6651000,-117089000,1.21e+08,704000,118534000,10250000,10250000,10250000,10035000,194305000,9736000,0.29984,0.11503,0.03015,4.17675,0.04918,0.04685,1.63126,0.20541
"16","2015_Q1",9.69868852459016,"Up",84722000,-61031000,23691000,-15758000,-15758000,7933000,-3983000,-3151000,3950000,4154000,-1233000,2921000,2921000,2921000,2921000,2921000,2396000,4304000,-4249000,5372000,-4815000,-4815000,-499999.99999997,183000,-1759999.99999997,-1203000,-1203000,-1203000,10329000,77255000,2498000,0.27963,0.09364,0.03448,0.85519,0.06125,0.05851,1.77648,0.05238
"17","2015_Q2",12.4052380952381,"Up",62724000,-42953000,19771000,-13377000,-13377000,6394000,-1075000,-898000,5319000,5319000,-1967000,3352000,3352000,3352000,3352000,3352000,1414000,-284000,-979000,3503000,-3203000,-3203000,-1e+06,-265000,273000,573000,573000,573000,7808000,0,5593000,0.31521,0.10194,0.05344,1.66856,0.07024,0.067,1.31439,0.1172
"18","2015_Q3",13.8465625,"Up",133410000,-89195000,44215000,-21063000,-21063000,23152000,-5004000,-4955000,18148000,18148000,-8068000,10080000,10080000,10080000,10080000,10080000,3511000,-1894000,-5438000,6259000,-5641000,-5641000,0,1837000,3827000,4445000,4445000,4445000,26663000,0,23652000,0.33142,0.17354,0.07556,2.34643,0.20966,0.20049,2.77492,0.49196
"19","2015_Q4",11.86390625,"Down",100668000,-71247000,29421000,-16364000,-16364000,13057000,-3065000,-2934000,9992000,9992000,-3646000,6346000,6346000,6346000,6346000,6346000,2620000,-68000,2846000,11744000,-4785000,-4785000,-5e+05,2e+05,346000,7305000,7305000,7305000,15677000,0,17384000,0.29226,0.1297,0.06304,2.73936,0.13059,0.12551,2.07157,0.35773
"20","2016_Q1",9.76081967213115,"Down",93008000,-67283000,25725000,-17386000,-17386000,8339000,-2949000,-2918000,5390000,5390000,-1616000,3774000,3774000,3774000,3774000,3774000,2876000,7192000,-2892000,10950000,-3762000,-3762000,-500000.000000004,376000,-486999.999999998,6701000,6701000,6701000,11215000,190767000,6177000,0.27659,0.08966,0.04058,1.63672,0.0775,0.07458,1.91001,0.12685
"21","2016_Q2",10.30921875,"Up",100206000,-70223000,29983000,-20061000,-20061000,9922000,-4158000,-4158000,5764000,2333000,-854000,1479000,1479000,1479000,1479000,1479000,3452000,4876000,-3900000,5907000,-3656000,-103915000,62855000,-2629000,53219000,-44789000,-44789000,-44789000,13374000,193403000,6672000,0.29921,0.09902,0.01476,4.51116,0.03037,0.0293,2.05787,0.13702
"22","2016_Q3",11.52,"Up",119033000,-81563000,37470000,-20615000,-20615000,16855000,-5282000,-5282000,11573000,11573000,-4223000,7350000,7350000,7350000,7350000,7350000,3966000,1027000,5348000,17691000,-4514000,-4514000,-675000,76000,-375000,12802000,12802000,12802000,20821000,250970000,25878000,0.31479,0.1416,0.06175,3.52082,0.15089,0.14567,2.44371,0.53127
"23","2016_Q4",10.8966666666667,"Down",129807000,-88721000,41086000,-22533000,-22533000,18553000,-5495000,-5495000,13058000,16058000,-5262000,10796000,10796000,10796000,10796000,10796000,4066000,-2322000,-2945000,9595000,-5111000,-6190000,-4675000,510000,-3007000,398000,398000,398000,22619000,247202000,19825000,0.31652,0.14293,0.08317,1.83633,0.22059,0.21313,2.65226,0.40507
"24","2017_Q1",11.0290322580645,"Up",109504000,-77945000,31559000,-20786000,-20786000,10773000,-5190000,-5190000,5583000,5583000,-1461000,4122000,4122000,4122000,4122000,4122000,4189000,6408000,-1547000,13172000,-4368000,-4368000,0,213000,502000,9306000,9306000,9306000,14962000,247873000,10508000,0.2882,0.09838,0.03764,2.54925,0.08399,0.08125,2.23122,0.21411
"25","2017_Q2",11.4547619047619,"Up",112721000,-80982000,31739000,-22785000,-22785000,8954000,-4910000,-4910000,4044000,4044000,-1045000,2999000,2999000,2999000,2999000,2999000,4597000,1159000,-6041000,2714000,-3109000,-3109000,-3270386.92642196,293000,104000,-291000,-291000,-291000,13551000,248564000,5446000,0.28157,0.07944,0.02661,1.81594,0.06088,0.05809,2.28815,0.11055
"26","2017_Q3",13.3230158730159,"Up",137384000,-92831000,44553000,-24650000,-24650000,19903000,-4568000,-4568000,15335000,15335000,-5080000,10255000,10255000,10255000,10255000,10255000,4669000,1328000,-1949000,14303000,-3158000,-3158000,-10157184.8628252,226000,218000,11363000,11363000,11363000,24572000,249274000,24545000,0.3243,0.14487,0.07464,2.39347,0.20728,0.19879,2.77695,0.49613
"27","2017_Q4",15.3595238095238,"Up",126876000,-87128000,39748000,-24950000,-24950000,14798000,-5514000,-5514000,9284000,9284000,-2992000,6292000,6292000,6292000,6292000,6292000,5054000,2336000,3971000,17653000,-3324000,-3324000,-20062000,185000,-19884000,-5555000,-5555000,-5555000,19852000,231467000,23491000,0.31328,0.11663,0.04959,3.73347,0.12678,0.12148,2.55649,0.47333
"28","2018_Q1",17.3245901639344,"Up",134100000,-91156000,42944000,-26418000,-26418000,16526000,-5287000,-5287000,11239000,11239000,9054000,20293000,20293000,20293000,20293000,20293000,5208000,-7175000,-3971000,14355000,-5138000,-5138000,-20070000,-18000,-19915000,-10698000,-10698000,-10698000,21734000,212973000,3571000,0.32024,0.12324,0.15133,0.17597,0.40812,0.39099,2.69694,0.07182
"29","2018_Q2",19.52578125,"Up",140253000,-95480000,44773000,-28657000,-28657000,16116000,-4043000,-4043000,12073000,8994000,-1654000,7340000,7340000,7340000,7340000,7340000,4620000,4614000,-7696000,8878000,-6634000,-6634000,-72000,177999.999999998,-2225000,19000,19000,19000,20736000,214908000,8060000,0.31923,0.11491,0.05233,1.09809,0.14722,0.14116,2.81305,0.16166
"30","2018_Q3",23.347619047619,"Up",169269000,-109322000,59947000,-32581000,-32581000,27366000,-3609000,-3609000,23757000,26308000,-3760000,22548000,22548000,22548000,22548000,22548000,4829000,-1369000,4988000,30996000,-2438000,-2438000.00000001,-74000,1394000,1317000.00000001,29875000,29875000,29875000,32195000,215384000,38505000,0.35415,0.16167,0.13321,1.70769,0.44813,0.43322,3.36412,0.76526
"31","2018_Q4",19.3431746031746,"Down",199084000,-126086000,72998000,-44055000,-44055000,28943000,-11741000,-11741000,17202000,16906000,-3335000,13571000,13571000,13571000,13571000,13571000,6401000,8165000,-3459000,24678000,-6802000,-362015000,162926000,153027000,305573000,-31764000,-31764000,-31764000,35344000,374148000,28418000,0.36667,0.14538,0.06817,2.09402,0.26258,0.25563,3.85202,0.54985
"32","2019_Q1",15.8255737704918,"Down",189887000,-124137000,65750000,-45617000,-45617000,20133000,-7136000,-7136000,12997000,12997000,-2523000,10474000,10474000,10474000,10474000,10474000,8600000,-2543000,19223000,35754000,-7938000,-7309000,-8074000,173000,-7954000.00000006,20491000,20491000,20491000,28733000,366777000,42541000,0.34626,0.10603,0.05516,4.06158,0.18063,0.17666,3.27465,0.73363
"33","2019_Q2",15.2238095238095,"Down",173737000,-112467000,61270000,-44014000,-44014000,17256000,-6714000,-6714000,10542000,10542000,-2285000,8257000,8257000,8257000,8257000,8257000,8512000,3262000,-19123000,908000,-8271000,-8271000,-76000.0000000298,230000.000000015,-351000,-7714000,-7714000,-7714000,25768000,367128000,659000,0.35266,0.09932,0.04753,0.07981,0.14203,0.13943,2.98856,0.01134
"34","2019_Q3",15.71359375,"Up",198570000,-125630000,72940000,-44026000,-44026000,28914000,-6756000,-6756000,22158000,22158000,-5113000,17045000,17045000,17045000,17045000,17045000,8661000,3350000,14619000,43675000,-4673000,-4673000,-78000,641000,563000,39565000,39565000,39565000,37575000,367484000,52634000,0.36733,0.14561,0.08584,3.08794,0.2919,0.28755,3.40052,0.90136
"35","2019_Q4",15.90484375,"Up",197823000,-127828000,69995000,-44564000,-44564000,25431000,-6452000,-6452000,18979000,18979000,-3873000,15106000,15106000,15106000,15106000,15106000,8640000,-407000,-13650000,9689000,-7265000,-7265000,-8999.99999999907,-5618000,-5122000,-2698000,-2698000,-2698000,34071000,367917000,17029000,0.35383,0.12855,0.07636,1.1273,0.25852,0.25569,3.38553,0.29143
"36","2020_Q1",14.2090322580645,"Down",174826000,-118663000,56163000,-43708000,-43708000,12455000,-6495000,-6495000,5960000,4448000,-1168000,3280000,3280000,3280000,3280000,3280000,8919000,7010000,7735000,26944000,-10988000,-10988000,25000,313000,-516000.000000002,15440000,15440000,15440000,21374000,368971000,19289000,0.32125,0.07124,0.01876,5.88079,0.05614,0.05557,2.99237,0.33016
"37","2020_Q2",12.0279365079365,"Down",220204000,-139077000,81127000,-54220000,-54220000,26907000,-7169000,-7169000,19738000,19738000,-4138000,15600000,15600000,15600000,15600000,15600000,9928000,2405000,-17009000,10924000,-2245000,-92390000,53188000,-147000,51775000,-29691000,-29691000,-29691000,36835000,421203000,21719000,0.36842,0.12219,0.07084,1.39224,0.2659,0.26387,3.75339,0.3702
"38","2020_Q3",17.54875,"Up",202783000,-128320000,74463000,-53969000,-53969000,20494000,-6856000,-6856000,13638000,1732000,466999.999999999,2199000,2199000,2199000,2199000,2199000,10947000,12215000,10226000,35587000,-4786000,-4786000.00000001,0,0,0,30801000,30801000,30801000,31441000,421481000,36414000,0.36721,0.10106,0.01084,16.55935,0.0373100000000001,0.03716,3.44027,0.61777
"39","2020_Q4",18.60828125,"Up",238033000,-151097000,86936000,-56659000,-56659000,30277000,-6954000,-6954000,23323000,23002000,-5680000,17322000,17322000,17322000,17322000,17322000,10810000,2048000,-11270000,18910000,-7696000,-7919000,-1e+07,5.82076609134674e-11,-1e+07,991000,991000,991000,41087000,411817000,27801000,0.36523,0.1272,0.07277,1.60495,0.29378,0.29074,4.03706,0.47151
"40","2021_Q1",23.4677049180328,"Up",221601000,-142803000,78798000,-59538000,-59538000,19260000,-6740000,-6740000,12520000,12520000,-2533000,9987000,9987000,9987000,9987000,9987000,11154000,550000,-11617000,10074000,-9307000,-9307000,0,209000,209000.000000004,975999.999999996,975999.999999996,975999.999999996,30414000,412098000,12023000,0.35559,0.08691,0.04507,1.20387,0.16935,0.16766,3.75761,0.20387
"41","2021_Q2",24.7965079365079,"Up",271092000,-177130000,93962000,-69766000,-69766000,24196000,-7457000,-7457000,16739000,16739000,-3944000,12795000,12795000,12384000,12384000,12795000,11446000,4458000,-30146000,-1447000,-6505000,-100826000,63300000,-1005000,60932000,-41341000,-41341000,-41341000,35642000,474265000,2935000,0.34661,0.08925,0.04568,0.237,0.20889,0.20677,4.57261,0.04951
"42","2021_Q3",21.35375,"Down",285500000,-188491000,97009000,-75745000,-75745000,21264000,-7825000,-7825000,13439000,13439000,-2726000,10713000,10713000,10145000,6582000,10713000,12802000,2434000,-16037000,9912000,-9460000,-21619000,0,315000,315000,-11392000,-11392000,-11392000,34066000,474481000,11295000,0.33979,0.07448,0.02305,1.71604,0.11053,0.10959,4.79429,0.18967
"43","2021_Q4",21.37671875,"Up",300431000,-196228000,104203000,-78595000,-78595000,25608000,-7686000,-7686000,17922000,-7550000,2410000,-5140000,-5140000,-5817000,-6782000,-5140000,13216000,28416000,-25190000,11302000,-9515000,-9515000,74482000,-140000,65344000,67131000,67131000,67131000,38824000,565665000,1709000,0.34685,0.08524,-0.02257,-0.25199,-0.11414,-0.11308,5.05623,0.02876
"44","2022_Q1",20.2422580645161,"Down",304441000,-196116000,108325000,-78937000,-78937000,29388000,-7061000,-7061000,22327000,22327000,-5499000,16828000,16828000,16166000,20694000,16828000,14105000,10688000,2291000,43912000,-7757000,-121953000,6e+07,-217000,59469000,-18572000,-18572000,-18572000,43493000,625655000,43526000,0.35582,0.09653,0.06797,2.10331,0.34727,0.34727,5.10893,0.73042
"45","2022_Q2",17.993064516129,"Down",358662000,-224069000,134593000,-95882000,-95882000,38711000,-7080000,-7080000,31631000,31631000,-7805000,23826000,23826000,23169000,23169000,23826000,16513000,4664000,-27683000,17320000,-8172000,-8172000,-305750464.53309,-1663000,-1663000,7485000,7485000,7485000,55224000,625959000,27174000,0.37526,0.10793,0.0646,1.17286,0.38844,0.38505,6.01318,0.45559
"46","2022_Q3",20.555,"Up",406521000,-241391000,165130000,-109505000,-109505000,55625000,-7155000,-7155000,48470000,48470000,-12005000,36465000,36465000,36161000,34376000,36465000,14475000,8996000,7666999.99999999,67603000,-9115000,-9902000,-1249515393.59927,291000,-2071000,55630000,55630000,55630000,70100000,626266000,80657000,0.4062,0.13683,0.08456,2.34632,0.57362,0.57049,6.78349,1.3459
