"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q4",12.466875,"Down",99113000,-66592000,32521000,-30628000,-18516000,-9884000,-8632000,-12112000,1893000,-953000,-356000,-356000,-597000,940000,940000,-127000,813000,813000,813000,813000,44537000,44537000,49270000,49270000,15488000,5194000,5194000,114489000,28825000,1410000,1410000,30235000,144724000,52647000,21992000,30655000,2418000,2418000,57953000,41336000,15339000,25997000,44309000,102262000,203911000,-161393000,-56000,42462000,42462000,144724000,813000,2102000,2814000,5479000,11208000,-5503000,-5503000,-670000,2257000,2257000,1587000,7292000,7292000,-376000,6916000,3995000,5861000,4098000,0.32812,0.0191,0.0082,0.01915,0.00562,5.04059,1.97555,2.40832,0.0405,0.01885,0.01666,2.29811,0.98456,0.09502,0.00907,0.04571,-9.6811,-20.43106
"12","2015_Q1",12.9350819672131,"Up",105207000,-70172000,35035000,-33084000,-20044000,-11798000,-8246000,-13040000,1951000,-1134000,-572000,-572000,-562000,817000,817000,-415000,402000,402000,402000,402000,42032000,42032000,45119000,45119000,21590000,6155000,6155000,114896000,30824000,6472000,916000,37296000,152192000,55959000,22316000,33643000,2747000,2747000,58706000,46534000,16612000,29922000,46534000,105240000,208022000,-160991000,-79000,46952000,46952000,152192000,402000,2255000,2897000,3026000,8580000,-4163000,-6398000,-5861000,1408000,1408000,-4453000,-2271000,-2271000,-234000,-2505000,4206000,0,3484000,0.33301,0.01854,0.00382,0.00856,0.00264,8.66667,1.95714,2.24144,0,0.00921,0.01059,2.41129,1.07612,0.07985,0.0043,0.03727,-9.99334,-21.54382
"13","2015_Q2",10.8679365079365,"Down",86653000,-58629000,28024000,-33572000,-20142000,-11937000,-8205000,-13430000,-5548000,-605000,-78000,-78000,-527000,-6153000,-6153000,-167000,-6320000,-6320000,-6320000,-6320000,27127000,27127000,45870000,45870000,34746000,7087000,7087000,114830000,31197000,7463000,2014000,38660000,153490000,58734000,30954000,27780000,3558000,3558000,62292000,47217000,18217000,2.9e+07,47217000,109509000,211687000,-167311000,-395000,43981000,43981000,153490000,-6320000,2532000,3322000,-11032000,-11498000,-3611000,-3611000,0,677000,677000,677000,-14432000,-14432000,-473000,-14905000,-3016000,0,-17492000,0.3234,-0.06403,-0.07293,-0.1437,-0.04118,2.76772,1.84341,2.48992,0,-0.1438,-0.1438,1.97163,1.00071,-0.398,-0.0693,-0.1918,8.99436,4.88951
"14","2015_Q3",5.32234375,"Down",102093000,-69066000,33027000,-33396000,-20610000,-12508000,-8102000,-12786000,-368999.999999999,-8000,-87000,-87000.0000000001,79000,-377000,-377000,-226000,-603000,-603000,-603000,-603000,31887000,31887000,67315000,67315000,34054000,8076000,8076000,141332000,31633000,8333000,2992000,39966000,181298000,62745000,34467000,28278000,3943000,3943000,83688000,48862000,20465000,28397000,48862000,132550000,217062000,-167914000,-4e+05,48748000,48748000,181298000,-603000,2522000,2528000,-16220000,-11773000,-2649000,-2649000,1.7e+07,2067000,2067000,19067000,4645000,4645000,115000,4760000,2153000,1.7e+07,-16490000,0.3235,-0.00360999999999999,-0.00591,-0.01237,-0.00332999999999999,27.3466,1.6888,2.71909,0.09377,-0.01361,-0.01361,2.30359,1.09993,-0.37208,-0.00526000000000001,-0.14388,-6.91454,40.34417
"15","2015_Q4",3.1225,"Down",102874000,-71408000,31466000,-29687000,-17628000,-10510000,-7118000,-12059000,1779000,-844000,-140000,-140000,-704000,935000,935000,-311000,624000,624000,624000,624000,22491000,22491000,75322000,75322000,36717000,7080000,7080000,141610000,31240000,10113000,4879000,41353000,182963000,58305000,32707000,25598000,3834000,3834000,79139000,50858000,22701000,28157000,50858000,129997000,220467000,-167290000,-211000,52966000,52966000,182963000,624000,2650000,3072000,-12384000,-6038000,-3422000,-3422000,0,122000,122000,122000,-9338000,-9338000,-58000,-9396000,4429000,1.7e+07,-11066000,0.30587,0.01729,0.00607,0.01178,0.00341,-17.73397,1.78938,2.45435,0.09291,0.01395,0.013,2.29968,1.18402,-0.24737,0.00516,-0.09159,-1.23978,-3.08657
"16","2016_Q1",2.45967213114754,"Down",65629000,-49929000,15700000,-30871000,-18327000,-10922000,-7405000,-12544000,-15171000,63000,-196000,-196000,259000,-15108000,-15108000,-675000,-15783000,-15783000,-15783000,-15783000,28452000,28452000,46099000,46099000,40800000,6417000,6417000,121768000,32118000,11642000,5677000,43760000,165528000,51933000,25569000,26364000,3915000,3915000,72848000,51231000,25115000,26116000,51231000,124079000,224732000,-183073000,-210000,41449000,41449000,165528000,-15783000,2835000,4776000,16621000,8449000,-3080000,-3080000,-149999.999999998,1148000,1148000,698000,6067000,6067000,-106000,5961000,-12336000,1.7e+07,1880000,0.23922,-0.23116,-0.24049,-0.38078,-0.09535,-0.119119999999992,1.67154,2.99353,0.1027,-0.34669,-0.37345,1.4416,0.91047,0.0413,-0.1439,0.01714,0.92834,0.754859999999999
"17","2016_Q2",2.1971875,"Down",64121000,-52361000,11760000,-30848000,-17782000,-10215000,-7567000,-13066000,-19088000,529000,-152000,-152000,681000,-18559000,-18559000,-236000,-18795000,-18795000,-18795000,-18795000,13016000,13016000,47056000,47056000,45576000,7237000,7237000,112885000,32963000,12672000,6891000,45635000,158520000,54371000,24293000,30078000,5575000,5575000,79946000,53014000,27723000,25291000,53014000,132960000,227832000,-201868000,-404000,25560000,25560000,158520000,-18795000,2680000,3589000,-2723000,-15249000,-3348000,-3348000,3e+06,101000,101000,3046000,-15551000,-15551000,115000,-15436000,-16408000,2e+07,-22243000,0.1834,-0.29769,-0.29312,-0.73533,-0.11857,1.18345,1.41202,5.20188,0.12617,-0.40674,-0.40674,1.38763,0.55314,-0.48136,-0.19067,-0.22565,-0.42565,-0.36588
"18","2016_Q3",1.76125,"Down",79185000,-65049000,14136000,-29924000,-16833000,-9987000,-6846000,-13091000,-15788000,-591000,-212000,-212000,-379000,-16379000,-16379000,-344000,-16723000,-16723000,-16723000,-16723000,8243000,8243000,48973000,48973000,39295000,7925000,7925000,104436000,34591000,13482000,7885000,48073000,152509000,66323000,37610000,28713000,5844000,5844000,84617000,55435000,29743000,25692000,55435000,140052000,231248000,-218591000,-2e+05,12457000,12457000,152509000,-16723000,2708000,3533000,17740000,7258000,-4840000,-4840000,-7550000,708000,707999.999999999,-6946000,-4528000,-4528000,-245000,-4773000,-13080000,12450000,164000,0.17852,-0.19938,-0.21119,-1.34246,-0.10965,-0.00981000000000054,1.23422,11.24284,0.08163,-0.35871,-0.35871,1.69852,0.2672,0.00352000000000019,-0.20815,0.00204000000000004,-0.32164,-0.26647
"19","2016_Q4",1.14730158730159,"Down",88684000,-72805000,15879000,-30893000,-17724000,-11016000,-6708000,-13169000,-15014000,-881000,-1234000,-1234000,353000,-15895000,-18612000,-144000,-18756000,-18756000,-18756000,-18756000,24112000,24112000,59482000,59482000,39101000,7187000,7187000,129882000,32453000,14093000,8679000,46546000,176428000,65979000,32551000,33428000,5942000,5942000,85568000,57823000,31827000,25996000,80631000,166199000,247830000,-237347000,-254000,10229000,10229000,176428000,-18756000,2651000,5852000,-10344000,-20597000,-2097000,-2097000,24175000,14636000,14636000,38540000,15846000,15846000,23000,15869000,-12363000,36455000,-24660000,0.17905,-0.1693,-0.21149,-1.83361,-0.10631,1.31478,1.51788,16.24782,0.20663,-0.39672,-0.39672,1.8758,0.21636,-0.5216,-0.17947,-0.23597,-0.99838,-0.8221
"20","2017_Q1",1.45516129032258,"Up",90601000,-74368000,16233000,-25266000,-13889000,-7592000,-6297000,-11377000,-9033000,-2344000,-1175000,-1175000,-1169000,-11377000,-12437000,-751000,-13188000,-13188000,-13188000,-13188000,17764000,17764000,61019000,61019000,31960000,7121000,7121000,117864000,31440000,14272000,9663000,45712000,163576000,63229000,31696000,31533000,6411000,6411000,82772000,58736000,33893000,24843000,79504000,162276000,252127000,-250535000,-292000,1300000,1300000,163576000,-13188000,2599000,3795000,2429000,-4364999.99999999,-2560000,-1510000,-2535999.99999999,1841000,1841000,-264999.999999993,-6140000,-6140000,-208000,-6348000,-6434000,33900000,-5814000.00000001,0.17917,-0.0997,-0.14556,-10.14462,-0.08062,0.44086,1.42396,124.82769,0.20724,-0.21282,-0.21282,1.46204,0.02098,-0.0938199999999998,-0.14039,-0.06189,-2.50793,-1.78634
"21","2017_Q2",0.990634920634921,"Down",54751000,-47703000,7048000,-21896000,-12291000,-6458000,-5833000,-9605000,-14848000,-1079000,-2139000,-2139000,1060000,-15927000,-23174000,-131000,-23305000,-23305000,-23305000,-23305000,29955000,29955000,48903000,48903000,33808000,10133000,10133000,122799000,30905000,13803000,9333000,44708000,167507000,45932000,15858000,30074000,7200000,7200000,54629000,60023000,34499000,25524000,105407000,160036000,281942000,-273840000,-631000,7471000,7471000,167507000,-23305000,2328000,4936000,-8470000,-24511000,-3466000,-3466000,14062000,26524000,26524000,40586000,12609000,12609000,-418000,12191000,-12520000,46881000,-24325000,0.12873,-0.27119,-0.42565,-3.11939,-0.13913,1.04377,2.24787,21.42096,0.27987,-0.30404,-0.30404,0.71429,0.09747,-0.31735,-0.20376,-0.21268,-1.35192,-1.13995
"22","2017_Q3",1.0231746031746,"Up",74704000,-61158000,13546000,-19185000,-11238000,-6274000,-4964000,-7947000,-5639000,-1992000,-2080000,-2080000,88000,-7631000,-11240000,-853000,-12093000,-12093000,-12093000,-12093000,30953000,30953000,56403000,56403000,20839000,13307000,13307000,121502000,29351000,12825000,8493000,42176000,163678000,49252000,15425000,33827000,8142000,8142000,63345000,61332000,35782000,25550000,102717000,166062000,283718000,-285933000,-169000,-2384000,-2384000,163678000,-12093000,2255000,2149000,7875000,186000.000000007,-49000,-49000,78000.0000000037,71000.0000000037,71000.0000000037,149000,285999.999999996,285999.999999996,712000,998000,-3384000,47336000,5295000,0.18133,-0.07548,-0.16188,5.07257,-0.07388,-0.43786,1.9181,-69.65688,0.2892,-0.14322,-0.14322,0.88476,-0.02824,0.06271,-0.11378,0.0498200000000001,-4.84131,-2.9053
"23","2017_Q4",2.09444444444444,"Up",77037000,-60577000,16460000,-18292000,-10895000,-5454000,-5441000,-7397000,-1832000,-1137000,-1760000,-1760000,623000,-2969000,-7040000,186000,-6854000,-6854000,-6854000,-6854000,28878000,28878000,68869000,68869000,25316000,13254000,13254000,136317000,28191000,12573000,8318000,40764000,177081000,65923000,34620000,31303000,9014000,9014000,85489000,62336000,36327000,26009000,99394000,184883000,285450000,-292787000,-465000,-7802000,-7802000,177081000,-6854000,2180000,2078000,393000,-2203000,-94000,-94000,0,4000,4000,4000,-2293000,-2293000,218000,-2075000,348000,47610000,461000,0.21366,-0.02378,-0.08897,0.87849,-0.03871,-0.06726,1.59456,-23.69687,0.26886,-0.08077,-0.08077,0.90779,-0.09194,0.00543,-0.0671,0.00451,53.82759,-10.22489
"24","2018_Q1",3.03704918032787,"Up",79674000,-60685000,18989000,-19131000,-10923000,-4940000,-5983000,-8208000,-142000,-1755000,-1957000,-1957000,202000,-1897000,-3887000,947000,-2940000,-2940000,-2940000,-2940000,29144000,29144000,65346000,65346000,25999000,9957000,9957000,130446000,26483000,12218000,8039000,38701000,169147000,58621000,28747000,29874000,15691000,15691000,91741000,54210000,29941000,24269000,86532000,178273000,287257000,-295727000,-656000,-9126000,-9126000,169147000,-2940000,2241000,0,-1215000,-1914000,-512000,-512000,2202000,355999.999999998,356000,2558000,131999.999999999,131999.999999999,134000,266000,2099000,49751000,-575000,0.23833,-0.00178,-0.0369,0.32216,-0.01738,0.19558,1.42189,-19.53463,0.29413,-0.03426,-0.03426,0.9285,-0.10635,-0.00669999999999999,-0.031,-0.00606000000000001,9.81752999999998,-145.11972
"25","2018_Q2",5.1703125,"Up",69972000,-51657000,18315000,-20790000,-13170000,-6227000,-6943000,-7620000,-2475000,-2418000,-2292000,-2292000,-126000,-4893000,-4893000,-235000,-5128000,-5128000,-5128000,-5128000,53255000,53255000,55622000,55622000,18541000,20435000,20435000,147853000,24926000,39339000,35236000,64265000,212118000,52009000,14087000,37922000,37408000,37408000,103685000,103125000,78265000,24860000,139584000,243269000,309020000,-339803000,-368000,-31151000,-31151000,212118000,-5128000,2276000,2708000,3505000,3361000,-1043000,-1043000,1538000,20192000,20192000,21730000,24048000,24048000,63000,24111000,-199000,50727000,2498000,0.26175,-0.03537,-0.07329,0.16462,-0.02418,-0.48713,1.42598,-7.80935,0.23915,-0.05609,-0.05609,0.76537,-0.34074,0.02732,-0.04179,0.02036,12.70352,1.02141
"26","2018_Q3",5.48,"Up",75896000,-53194000,22702000,-23260000,-13798000,-6828000,-6970000,-9462000,-558000,-2842000,-2270000,-2270000,-572000,-3400000,-3400000,-338000,-3738000,-3738000,-3738000,-3738000,58471000,58471000,58696000,58696000,17471000,20741000,20741000,155379000,23100000,40057000,36030000,63157000,218536000,61265000,21895000,39370000,34954000,34954000,114648000,100444000,75107000,25337000,134003000,248651000,313779000,-343541000,-353000,-30115000,-30115000,218536000,-3738000,2193000,5038000,587000,4080000,-432000,-432000,913000,1101000,1101000,2014000,5662000.00000001,5662000.00000001,-446000,5216000,1635000,51988000,2128000,0.29912,-0.00735000000000001,-0.04925,0.12412,-0.0171,-0.56929,1.35527,-8.25672,0.23789,-0.03841,-0.03841,0.77985,-0.30944,0.02187,-0.03056,0.0174,-3.96514,11.61828
"27","2018_Q4",5.07571428571429,"Down",78002000,-52738000,25264000,-23050000,-14885000,-7375000,-7510000,-8165000,2214000,-2848000,-2469000,-2469000,-379000,-634000,-3222000,-248000,-3470000,-3470000,-3470000,-3470000,116164000,116164000,54117000,54117000,17886000,21631000,21631000,209798000,20331000,96381000,35520000,116712000,326510000,78782000,28103000,50679000,32015000,32015000,134922000,99525000,74065000,25460000,187432000,322354000,351174000,-347011000,-7000,4156000,4156000,326510000,-3470000,2481000,6349000,1456000,6816000,-909000,-9909000,60237000,629000,629000,60866000,57773000,57773000,-80000,57693000,4695000,112032000,5490000,0.32389,0.02838,-0.04449,-0.83494,-0.01063,-1.58213,1.55496,77.56352,0.34312,-0.03376,-0.03376,0.75879,0.04043,0.05341,-0.01609,0.02545,-0.88009,-1.86631
"28","2019_Q1",7.60459016393443,"Up",92289000,-64125000,28164000,-21620000,-14280000,-6617000,-7663000,-7340000,6544000,-3717000,-2604000,-3662000,-1113000,2827000,1286000,-577000,709000,709000,709000,709000,106237000,106237000,78938000,78938000,16267000,20860000,20860000,222302000,20998000,96637000,36548000,117635000,339937000,85887000,48794000,37093000,33119000,33119000,147161000,103372000,76911000,26461000,1.85e+08,332161000,353336000,-346302000,742000,7776000,7776000,339937000,709000,2717000,2473000,5976000,11875000,-11767000,-17767000,5336000,644000,644000,-3996000,-9888000,-9888000,-39000,-9927000,9261000,109783000,4047000,0.30517,0.07091,0.00768000000000001,0.0911799999999998,0.00209,5.70804,1.5106,42.71618,0.32295,0.00663,0.00663,0.86304,0.0727199999999999,0.03785,0.00321,0.01832,0.3829,0.541869999999999
"29","2019_Q2",13.7604761904762,"Up",100150000,-66811000,33339000,-25837000,-17313000,-7433000,-9880000,-8524000,7502000,-4021000,-3540000,-3540000,-481000,3481000,3113000,-348000,2765000,2765000,2765000,2765000,78087000,78087000,81715000,81715000,12971000,22669000,22669000,195442000,20178000,103632000,44725000,123810000,319252000,92845000,52489000,40356000,32916000,32916000,128746000,110976000,78393000,32583000,176382000,305128000,357024000,-343563000,663000,14124000,14124000,319252000,2765000,3572000,6932000,3794000,17063000,-658000,-658000,-44731000,309000,309000,-44422000,-28017000,-28017000,-133000,-28150000,11074000,68391000,14558000,0.33289,0.07491,0.02761,0.19577,0.00866,5.2651,1.51804,21.60351,0.21422,0.02556,0.02386,0.92564,0.13054,0.13455,0.01429,0.07524,-0.87556,-1.29246
