"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_debt","operating_margin","net_profit_margin","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share"
"19","2014_Q4",21.94734375,"Down",12055000,-9970000,-1602000,-5268000,-3017000,2085000,-126000,-149000,23000,1959000,2255000,4214000,-26044975.3258821,4214000,4214000,4214000,4214000,0,0.17296,0.34956,0.46184,0.46184,1.32118
"20","2015_Q1",24.9873770491803,"Up",12091000,-5274000,-855000,-2839000,-1552000,6817000,-185000,-127000,-58000,6632000,-17406000,-10774000,-22690000,-33464000,-33464000,-33464000,-33464000,11191000,0.56381,-2.76768,-3.43434,-3.43434,1.24087
"21","2015_Q2",23.5161904761905,"Down",15053000,-16285000,-2484000,-8674000,-4985000,-1232000,-6000,-169000,163000,-1238000,195000,-1043000,295000,-748000,-748000,-748000,-748000,11191000,-0.08184,-0.04969,-0.05398,-0.05398,1.08622
"22","2015_Q3",16.09609375,"Down",15053000,-16285000,-2484000,-8674000,-4985000,-1232000,-5999.99999999999,-169000,163000,-1238000,195000.000000004,-1043000,295000,-748000,-748000,-748000,-748000,11191000,-0.08184,-0.04969,-0.0540700000000001,-0.0540700000000001,1.08803
"23","2015_Q4",15.2953125,"Down",13093000,-15441000,-2450000,-8107000,-4884000,-2348000,-42000,-169000,127000,-2390000,4919000,2529000,-811000,1718000,1718000,1718000,1718000,11191000,-0.17933,0.13122,0.12418,0.12418,0.94636
"24","2016_Q1",12.1462295081967,"Down",4265000,-11074000,-2293000,-5773000,-3150000,-6809000,-245000,-215000,-30000,-7054000,-136486000,-143540000,26663000,-116877000,-116877000,-116877000,-116877000,11191000,-1.59648,-27.40375,-8.46191,-8.46191,0.30879
"25","2016_Q2",12.3396875,"Up",15343000,-17821000,-3492000,-7889000,-6440000,-2478000,-336000,-337000,1000,-2814000,3505000,691000,38000,729000,729000,729000,729000,11191000,-0.16151,0.04751,0.05275,0.05275,1.11019
"26","2016_Q3",9.919375,"Down",1244000,-10979000,-1184000,-3214000,-6576000,-9735000,-339000,-256000,-83000,-10074000,-8023999.99999999,-18098000,-224000.000000004,-18322000,-18322000,-18322000,-18322000,15059000,-7.82556,-14.7283,-1.13649,-1.13649,0.0771599999999997
"27","2016_Q4",11.7977777777778,"Up",10530000,-13865000,-2285000,-5149000,-6431000,-3335000,-329000,-341000,12000,-3664000,-35000,-3699000,-201000,-3900000,-3900000,-3900000,-3900000,14695000,-0.31671,-0.37037,-0.17497,-0.17497,0.47243
"28","2017_Q1",13.1514516129032,"Up",15152000,-18316000,-2453000,-9685000,-6178000,-3164000,-350000,-348000,-2000,-3514000,-29393000,-32907000,-141000,-33048000,-33048000,-33048000,-33048000,14297000,-0.20882,-2.1811,-1.47698,-1.47698,0.67717
"29","2017_Q2",12.4301587301587,"Down",40895000,-22981000,-6579000,-9708000,-6694000,17914000,-607000,-613000,6000,17307000,-4867000,12440000,-249000,12191000,12191000,5321000,5321000,13906000,0.43805,0.13011,0.23886,0.23559,1.83575
"30","2017_Q3",9.80825396825397,"Down",225000,-18835000,-5609000,-8220000,-5005000,-18610000,-331000,-357000,26000,-18941000,-57689000,-76630000,10201000,-66429000,-66429000,-21715000,-21715000,73104000,-82.71111,-96.51111,-0.95543,-0.95543,0.00990000000000002
"31","2017_Q4",9.41412698412698,"Down",31282000,-24620000,-7295000,-10330000,-6996000,6662000,-969000,-903000,-66000,5693000,-1779000,3914000,94000,4008000,4008000,1556000,1556000,0,0.21297,0.04974,0.06793,0.06793,1.36573
"32","2018_Q1",10.1201639344262,"Up",35676000,-23265000,-983000,-8657000,-13624000,12411000,-812000,-826000,14000,11599000,-12429000,-830000,6327000,5497000.00000001,5497000.00000001,2324000,2324000,2.5e+07,0.347880000000005,0.0651399999999996,0.08786,0.0888999999999997,1.34882
"33","2018_Q2",9.29203125,"Down",40728000,-29930000,-7270000,-14005000,-8655000,10798000,-1453000,-1449000,-4000,9345000,-48248000,-38903000,460000,-38443000,-38443000,-17204000,-17204000,22500000,0.26512,-0.42241,-0.61921,-0.61637,1.46589
"34","2018_Q3",9.12174603174603,"Down",37150000,-24931000,-7286000,-10812000,-6833000,12219000,-219000,-610000,391000,1.2e+07,-10830000,1169999.99999999,302000,1472000,1472000,650000,650000,3.5e+07,0.32891,0.0175000000000002,0.02322,0.02318,1.32738
"35","2018_Q4",7.54730158730159,"Down",46076000,-24883000,-4944000,-12842000,-7097000,21193000,-528000,-565000,37000,20665000,-19929000,736000,-172000,564000,564000,224000,224000,0,0.45996,0.00486,0.00793,0.00791,1.63058
"36","2019_Q1",6.4316393442623,"Down",-83226000,50009000,12425000,23654000,13930000,-33217000,747000,1175000,-428000,-32470000,30564000,-1906000,-130000,-2036000,-2036000,-874000,-874000,78828000,0.39912,0.0105,-0.03057,-0.03055,-2.91134
"37","2019_Q2",6.55031746031746,"Up",44542000,-31939000,-7028000,-14197000,-10714000,12603000,-1695000,-1677000,-18000,10908000,9241000,20149000,-613000,19536000,19536000,8777000,8777000,0,0.28295,0.19705,0.30561,0.30561,1.55093
"38","2019_Q3",4.26640625,"Down",44542000,-31727000,-6816000,-14197000,-10714000,12815000,-1695000,-1677000,-17999.9999999999,11120000,9029000.00000001,20149000,-613000,19536000,19536000,8777000,8777000,1.25e+08,0.28771,0.19705,0.30374,0.30374,1.54141
"39","2019_Q4",4.7046875,"Up",102178000,-74395000,-13767000,-40849000,-19126000,27783000,-3272000,-3212000,-60000,24511000,-61564000,-37053000,-439000,-37492000,-37492000,-16835000,-16835000,0,0.27191,-0.16476,-0.57981,-0.57981,3.51909
"40","2020_Q1",4.15548387096774,"Down",0,1.49011611938477e-08,-1.86264514923096e-09,1.49011611938477e-08,-3.72529029846191e-09,3.72529029846191e-09,0,0,7.27595761418343e-12,0,1.49011611938477e-08,0,0,0,0,0,0,1.7e+08,-0.0211681062192535,-0.424308576943793,-1.11022302462516e-16,-1.11022302462516e-16,4.44089209850063e-16
"41","2020_Q2",2.4415873015873,"Down",21663000,-36653000,-6687000,-22902000,-7067000,-14990000,-1273000,-1285000,12000,-16263000,-20756000,-37019000,1110000,-35909000,-35909000,-16339000,-16339000,168588000,-0.69196,-0.75424,-0.55391,-0.55391,0.7344
"42","2020_Q3",2.85984375,"Up",21663000,-36653000,-6687000,-22902000,-7067000,-14990000,-1273000,-1285000,12000,-16263000,-20756000,-37019000,1110000,-35909000,-35909000,-16339000,-16339000,1.3e+08,-0.69196,-0.75424,-0.54722,-0.54722,0.72553
"43","2020_Q4",3.46265625,"Up",41047000,-44074000,-5796000,-28538000,-9740000,-3027000,-1204000,-1186000,-18000,-4231000,-7497000,-11728000,-130000,-11858000,-11858000,-5445000,-5445000,0,-0.0737399999999996,-0.13265,-0.18347,-0.18347,1.38309
"44","2021_Q1",6.78524590163934,"Up",-8801000.00000001,68717000,10790000,49935000,7998000,59916000,1636000,1539000,97000,61552000,13350000,74902000,-1782000,73120000,73120000,32290000,32290000,1.15e+08,-6.80786,-3.6689,1.08802,1.08802,-0.29655
"45","2021_Q2",9.07793650793651,"Up",89671000,-52150000,-9170000,-26027000,-16923000,37521000,-2201000,-2401000,2e+05,35320000,-51637000,-16317000,486000,-15831000,-15831000,-8871000,-8871000,0,0.41843,-0.0989300000000006,-0.29891,-0.29891,3.02148
"46","2021_Q3",9.186875,"Up",75572000,-48663000,-8380000,-24407000,-15876000,26909000,-2114000,-2217000,103000,24795000,-35659000,-10864000,308000,-10556000,-10556000,-5832999.99999999,-5832999.99999999,241360000,0.35607,-0.07718,-0.19654,-0.19654,2.54642
"47","2021_Q4",10.66296875,"Up",110384000,-55213000,-7650000,-27059000,-20208000,55171000,-2530000,-3050000,520000,52641000,-33352000,19289000,-451000,18838000,18838000,10418000,10418000,278253000,0.49981,0.0943799999999999,0.35104,0.35104,3.71941
"48","2022_Q1",13.0420967741935,"Up",144016000,-68334000,-16722000,-28874000,-22723000,75682000,-3110000,-3128000,18000.0000000001,72572000,-1315000,71257000,-2202000,69055000,69055000,39770000,39770000,3.2e+08,0.52551,0.27615,1.34006,1.34006,4.85265
"49","2022_Q2",15.7309677419355,"Up",472551000,-165249000,-14077000,-66463000,-84709000,307302000,-16376000,-16625000,249000,290926000,-50213000,240713000,-22688000,218025000,218025000,144885000,144885000,0,0.6503,0.3066,4.88193,4.88193,15.92271
"50","2022_Q3",13.60171875,"Down",531495000,-223364000,-14188000,-90880000,-116048000,308131000,-20854000,-20988000,134000,287277000,72553000,359830000,-60518000,299312000,299312000,211456000,211456000,932753000,0.57974,0.39785,7.12506,7.12506,17.90884
