"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2017_Q2",15.8301587301587,"Up",277448000,-179487000,97961000,-7828000,-7828000,90133000,-3802000,-5460000,1658000,86331000,86331000,-303000,86028000,86028000,-76264000,9764000,9764000,122974000,122974000,101928000,101928000,4776000,154000,154000,229832000,1223239000,103729000,5814000,97915000,1326968000,1556800000,46645000,22523000,24122000,46645000,600206000,1964000,1828000,602170000,648815000,102570000,907985000,907985000,1556800000,86028000,30150000,-615000,33515000,149078000,-23168000,-21486000,-9478000,-89617000,-93518000,34074000,34074000,34074000,120283000,600206000,130933000,0.35308,0.32486,0.03519,0.01075,0.00627,13.40977,4.92726,0.71457,0.38554,0.3603,0.3603,10.23793,33.50498,4.83148,0.34974,0.01274,0.0867,0.97071,3.96758,5.29475
"12","2017_Q3",15.6411111111111,"Down",290113000,-190542000,99571000,-6886000,-6886000,92685000,-5918000,-5942000,24000,86767000,86767000,-297000,86470000,86470000,-76495000,9975000,9975000,104939000,104939000,94087000,94087000,4558000,44999.9999999963,45000,203629000,1220393000,98555000,5814000,92741000,1318948000,1522577000,36390000,21160000,15230000,36390000,588280000,2104000,1936000,590384000,626774000,102710000,895803000,895803000,1522577000,86470000,27299000,-489000,-72000.0000000075,113208000,-20828000,-20711000,-9835000,-88771000,-110532000,-18035000,-18035000,-18035000,119984000,588280000,99381000,0.34321,0.31948,0.03438,0.01114,0.00655,9.96301,5.59574,0.69968,0.38637,0.36808,0.36808,10.70528,33.05546,3.6672,0.36292,0.01333,0.06687,0.98596,4.02838,5.21488
"13","2017_Q4",14.904126984127,"Down",296775000,-201372000,95403000,-6805000,-6805000,88598000,-6028000,-6190000,162000,82570000,82570000,-325000,82245000,82245000,-68860000,13385000,13385000,17249000,17249000,77056000,77056000,3881000,119422000,413000,217608000,1206246000,93844000,5814000,88030000,1300090000,1517698000,44920000,24196000,20724000,44920000,477121000,2178000,2099000,479299000,524219000,216635000,993479000,993479000,1517698000,82245000,29053000,2397000,25935000,139630000,-12611000,-131609000,-10199000,-85092000,-95711000,-87690000,-87690000,-87690000,117651000,477121000,131300000,0.32147,0.29854,0.0451,0.01347,0.00882,9.80949,4.84435,0.52766,0.31437,0.4921,0.4921,10.91085,36.52496,4.82721,0.37496,0.01601,0.08915,0.76197,3.90878,5.19055
"14","2018_Q1",15.8204918032787,"Up",308645000,-197913000,110732000,-7741000,-7741000,102991000,-4321000,-4269000,-52000.0000000001,98670000,98670000,-355000,98315000,98315000,-82769000,15546000,15546000,27008000,27008000,61967000,61967000,5590000,136824000,314000,231389000,1196245000,87642000,5814000,81828000,1283887000,1515276000,40240000,24543000,15697000,40240000,473960000,2327000,2220000,476287000,516527000,219535000,998749000,998749000,1515276000,98315000,27483000,7e+05,8943000,135441000,-12251000,81274999.9999999,-12605000,-80452000,-206957000,9759000.00000001,9759000.00000001,9759000.00000001,130474000,473960000,127521000,0.35877,0.33369,0.05037,0.01557,0.01026,8.20282,5.75022,0.51717,0.31279,0.77386,0.77386,15.36394,49.71641,6.34783,0.62746,0.01908,0.08645,0.81082,3.4256,4.33972
"15","2018_Q2",15.8840625,"Up",284272000,-191767000,92505000,-7133000,-7133000,85372000,-4375000,-4866000,491000,80997000,80997000,-283000,80714000,80714000,-68419000,12295000,12295000,24980000,24980000,62274000,62274000,5171000,134873000,161000,227298000,1183409000,81897000,5814000,76083000,1265306000,1492604000,37287000,22137000,15150000,37287000,477608000,2386000,2272000,479994000,517281000,218819000,975323000,975323000,1492604000,80714000,27698000,924000,-3114000,106222000,-9679000,-7679000,-13071000,-91148000,-100571000,-2028000,-2028000,-2028000,113070000,477608000,100560000,0.32541,0.30032,0.04325,0.01261,0.00824,8.17893,6.0959,0.53037,0.31998,0.38183,0.38183,8.82832,30.28953,3.12298,0.40593,0.01743,0.0691,1.06312,4.00308,5.30183
"16","2018_Q3",17.6198412698413,"Up",301975000,-204857000,97118000,-7375000,-7375000,89743000,-4964000,-5547000,583000,84779000,84779000,-303000,84476000,84476000,-71719000,12757000,12757000,28483000,28483000,64350000,64350000,6128000,143795000,54000,242756000,1173330000,76089000,5814000,70275000,1249419000,1492175000,47615000,28619000,18996000,47615000,477608000,2485000,2339000,480093000,527708000,218030000,964467000,964467000,1492175000,84476000,27586000,181000,2106000,114349000,-6941000,-15690000,-13546000,-81610000,-95156000,3503000,3503000,3503000,117329000,477608000,112797000,0.32161,0.29719,0.04225,0.01323,0.00855,8.84197,5.09831,0.54715,0.32008,0.39618,0.39618,9.37811,29.95239,3.50301,0.42068,0.01821,0.07808,1.06185,3.82791,5.00457
"17","2018_Q4",16.2965079365079,"Down",363650000,-269743000,93907000,-5909000,-5909000,87998000,-4971000,-5639000,668000,83027000,83027000,772000,83799000,83799000,-71387000,12412000,12412000,17041000,17041000,88172000,88172000,5004000,152366000,491000,262583000,1161203000,71217000,5814000,65403000,1232420000,1495003000,66587000,47676000,18911000,66587000,477608000,1679000,1626000,479287000,545874000,217493000,949129000,949129000,1495003000,83799000,26892000,-608000,-650000,109433000,-13427000,-21628000,-13181000,-86066000,-99247000,-11442000,-11442000,-11442000,114890000,477608000,100041000,0.25823,0.24199,0.03413,0.01308,0.0083,8.06002,3.94346,0.57513,0.31947,0.38496,0.38496,11.27869,29.43747,3.1028,0.40881,0.01792,0.07004,1.06196,4.00876,5.23383
"18","2019_Q1",16.4118032786885,"Up",335725000,-242096000,93629000,-7173000,-7173000,86456000,-4666000,-5381000,715000,81790000,81790000,-208000,81582000,81582000,-69699000,11883000,11883000,19744000,19744000,73684000,73684000,4388000,149326000,370000,247142000,1148265000,66718000,5814000,60904000,1214983000,1462125000,48772000,32522000,16250000,48772000,477608000,1664000,1664000,479272000,528044000,215810000,934081000,934081000,1462125000,81582000,26666000,1005000,-3106000,106147000,-9815000,-6815000.00000001,-13565000,-83064000,-96629000,2703000,2703000,2703000,113122000,477608000,100409000,0.27889,0.25752,0.0354,0.01272,0.00813,8.4498,5.06729,0.56531,0.32665,2.45177,2.45177,69.26864,192.72476,20.71694,2.79881,0.01801,0.07104,1.14155,4.04752,5.29592
"19","2019_Q2",16.9226984126984,"Up",299086000,-208432000,90654000,-6973000,-6973000,83681000,-5085000,-5900000,815000,78596000,78596000,-2e+05,78396000,78396000,-63441000,14955000,14955000,84615000,84615000,63121000,63121000,4171000,276752000,251000,428659000,1138434000,64180000,5814000,58366000,1202614000,1631273000,47258000,26825000,20433000,47258000,601119000,2949000,1677000,604068000,651326000,279742000,979947000,979947000,1631273000,78396000,26844000,278000,7981000,113499000,-12144000,-76676000,-13957000,-81507000,28048000,64871000,64871000,64871000,110525000,601119000,106562000,0.3031,0.27979,0.05,0.01526,0.00917,7.12551,9.07061,0.66465,0.3685,0.46235,0.46235,9.24663,30.29633,3.2945,0.4315,0.01825,0.06727,0.93327,4.67319,6.1723
"20","2019_Q3",16.939375,"Up",270062000,-178104000,91958000,-7639000,-7639000,84319000,-3972000,-5125000,1153000,80347000,80347000,-237000,80110000,80110000,-66377000,13733000,13733000,17473000,17473000,59430000,59430000,4029000,141422000,95000,222354000,1129083000,59467000,5814000,53653000,1188550000,1410904000,36313000,18026000,18287000,36313000,399674000,2803000,1693000,402477000,438790000,277791000,972114000,972114000,1410904000,80110000,26857000,-1000,-6793000,100173000,-13438000,122056000,-15666000,-72259000,-289371000,-67142000,-67142000,-67142000,111176000,399674000,91182000,0.34051,0.31222,0.05085,0.01413,0.00973,6.63963,6.12326,0.45138,0.28328,0.39027,0.39027,7.67479,27.62614,2.59127,0.44521,0.02139,0.06633,1.14076,3.4378,4.5328
"21","2019_Q4",17.5284375,"Up",249925000,-156706000,93219000,-6822000,-6822000,86397000,-3846000,-4411000,565000,82551000,82551000,-72000,82479000,82479000,-67557000,14922000,14922000,18647000,18647000,49544000,49544000,3698000,165447000,559000,237336000,1113010000,56710000,5814000,50896000,1169720000,1407056000,40938000,17974000,22964000,40938000,399674000,3713000,1631000,403387000,444325000,276345000,962731000,962731000,1407056000,82479000,26681000,-638000,12960000,121482000,-4446000,-28701000,-16113000,-75494000,-91607000,1174000,1174000,1174000,113078000,399674000,121664000,0.37299,0.34569,0.05971,0.0155,0.01061,8.15333,5.79745,0.46153,0.28405,0.42406,0.42406,7.10253,27.35949,3.45752,0.45791,0.02272,0.08906,1.07982,3.36959,4.41019
"22","2020_Q1",16.3140322580645,"Down",272798000,-169201000,103597000,-7844000,-7844000,95753000,-3624000,-4187000,563000,92129000,92129000,-219000,91910000,91910000,-74539000,17371000,17371000,19923000,19923000,52761000,52761000,2484000,163243000,470000,238411000,1102995000,52050000,5814000,46236000,1155045000,1393456000,38849000,21342000,17507000,38849000,399674000,2798000,1649000,402472000,441321000,277514000,952135000,952135000,1393456000,91910000,26938000,417000,-3612000,115653000,-13679000,-11725000,-16348000,-86304000,-102652000,1276000,1276000,1276000,122691000,399674000,105619000,0.37976,0.351,0.06368,0.01824,0.01247,6.08019,6.13686,0.46351,0.28682,0.68465,0.68465,10.75183,37.52666,4.16278,0.64433,0.02489,0.07797,0.94111,3.09518,3.96594
"23","2020_Q2",14.5266666666667,"Down",250549000,-147001000,103548000,-6196000,-6196000,97352000,-3365000,-3950000,585000,93987000,93987000,-217000,93770000,93770000,-76023000,17747000,17747000,24081000,24081000,54095000,54095000,2e+06,161963000,204000,242139000,1092120000,48768000,5814000,42954000,1140888000,1383027000,30666000,12634000,18032000,30666000,399674000,2596000,1649000,402270000,432936000,278670000,950091000,950091000,1383027000,93770000,26031000,216000,-9056000,110961000,-11989000,-10989000,-16591000,-79223000,-95814000,4158000,4158000,4158000,123383000,399674000,102555000,0.41328,0.38855,0.07083,0.01868,0.01283,5.77872,7.89601,0.45568,0.28898,0.50425,0.50425,7.11897,26.9954,2.91395,0.47141,0.02539,0.07583,0.93486,3.04412,3.85809
"24","2020_Q3",16.206875,"Up",238500000,-148470000,90030000,-6139000,-6139000,83891000,-3308000,-3431000,123000,80583000,80583000,-206000,80377000,80377000,-65517000,14860000,14859999.9999999,23618000,23618000,49361000,49361000,1529000,171456000,65000,245964000,1077499000,45564000,5814000,39750000,1123063000,1369027000,31093000,14286000,16807000,31093000,399674000,2407000,1667000,402081000,433174000,276940000,935853000,935853000,1369027000,80377000,25813000,-80000.0000000001,6648000,112758000,-8606000,-18606000,-16590000,-78025000,-94615000,-463000.000000001,-463000.000000001,-463000.000000001,109704000,399674000,107952000,0.37748,0.35174,0.0623100000000001,0.0158800000000001,0.0108499999999999,7.2646,7.91059,0.46287,0.29194,0.42222,0.42222,6.77662,26.59085,3.06729,0.47138,0.02351,0.08069,1.11642,3.42792,4.48267
"25","2020_Q4",16.99640625,"Up",231969000,-131578000,100391000,-6255000,-6255000,94136000,-2303000,-2320000,17000,91833000,91833000,15000,91848000,91848000,-73313000,18535000,18535000,23331000,23331000,61381000,61381000,1652000,191798000,557000,278162000,1060840000,43280000,5814000,37466000,1104120000,1382282000,41694000,24739000,16955000,41694000,399674000,2082000,1527000,401756000,443450000,278884000,938832000,938832000,1382282000,91848000,25923000,342000,-956000,117157000,-8575000,-28575000,-16591000,-72278000,-88869000,-287000,-287000,-287000,120059000,399674000,110513000,0.43278,0.40581,0.0799,0.01974,0.01341,5.9624,6.67151,0.47234,0.28914,0.53,0.53,6.63305,26.84548,3.16007,0.47441,0.0262,0.08244,0.89512,3.13465,3.99786
"26","2021_Q1",20.1734426229508,"Up",245652000,-160738000,84914000,-7305000,-7305000,77609000,-2329000,-2337000,8000,75280000,75280000,-156000,75124000,75124000,-60099000,15025000,15025000,17154000,17154000,119057000,119057000,3474000,123620000,392000,263305000,1050677000,42506000,5814000,36692000,1093183000,1356488000,39754000,20986000,18768000,39754000,399674000,1923000,1542000,401597000,441351000,277399000,277399000,915137000,1356488000,75124000,25387000,253000,-68243000,32521000,-7798000,60202000,-16591000,-82309000,-98900000,-6177000,-6177000,-6177000,102996000,399674000,27111000,0.34567,0.31593,0.0611600000000025,0.0164200000000005,0.0110799999999989,1.80439,6.62336,0.48228,0.29464,0.436689999999969,0.436689999999969,7.13967,8.06237,0.78796,0.4822,0.024009999999999,0.02059,1.10423,3.71393,4.92881
"27","2021_Q2",23.1609523809524,"Up",268207000,-180508000,87699000,-8673000,-8673000,79026000,-2229000,-2236000,7000,76797000,76797000,-175000,76622000,76622000,-61476000,15146000,-21061527000,17289000,17289000,70671000,70671000,3171000,187456000,217000,278587000,1039261000,39286000,5814000,33472000,1078547000,1357134000,42572000,24523000,18049000,42572000,399674000,1780000,1574000,401454000,444026000,275952000,913108000,913108000,1357134000,76622000,27542000,1462000,49782000,155408000,-12748000,-76622000,-16593000,-62058000,-78651000,135000,135000,135000,106568000,399674000,143777000,0.32698,0.29465,-78.52713,-23.06576,-15.51912,-0.00683,6.5439,0.48628,0.2945,-598.35748,-598.35748,7.61975,25.94138,4.0847,0.47141,-16.00908,0.10937,-0.000790000000000068,3.58818,4.83872
"28","2021_Q3",23.20640625,"Up",322229000,-191200000,131029000,-8269000,-8269000,122760000,-2203000,-2224000,21000,120557000,120557000,-263000,120294000,120294000,-95195000,25099000,23599000,17665000,17665000,91910000,91910000,4929000,222310000,61000,336814000,1030016000,34925000,5814000,29111000,1064941000,1401755000,48653000,32569000,16084000,48653000,399674000,1670000,1634000,401344000,449997000,284607000,951758000,951758000,1401755000,120294000,28702000,688000,-17974000,131710000,-14541000,-49541000,-16593000,-65200000,-81793000,376000,376000,376000,151462000,399674000,119210000,0.40663,0.38097,0.0732399999999984,0.0248000000000026,0.0168399999999949,5.05149,6.92278,0.47281,0.28512,0.670390000000225,0.670390000000225,9.15374,27.03713,3.38647,0.47137,0.0297000000000018,0.0881,0.70312,2.52214,3.11184
"29","2021_Q4",22.39234375,"Down",293966000,-218038000,75928000,-7792000,-7792000,68136000,-2166000,-2190000,24000,65970000,65970000,105000,66075000,66075000,-53285000,12790000,12790000,18647000,18647000,69188000,69188000,6590000,196818000,566000,291243000,1022181000,47138000,5814000,41324000,1069319000,1360562000,54559000,30032000,24527000,54559000,399674000,1510000,1510000,401184000,455743000,281066000,904819000,904819000,1360562000,66075000,26586000,479000,6319000,99459000,-11201000,14799000,-16593000,-96683000,-113276000,982000,982000,982000,94722000,399674000,89735000,0.25829,0.23178,0.04351,0.01414,0.0094,7.01603,5.33813,0.50368,0.29376,0.36325,0.36325,8.34894,25.6978,2.54857,0.47126,0.0225,0.06871,1.29734,4.02258,5.59215
"30","2022_Q1",24.4775806451613,"Up",330456000,-183406000,147050000,-6284000,-6284000,140766000,-2156000,-2166000,10000,138610000,138610000,-216000,138394000,138394000,-108882000,29512000,21107685000,17057000,17057000,148616000,148616000,8898000,106639000,396000,281210000,1043539000,155949000,5814000,150135000,1199488000,1480698000,106796000,45901000,60895000,106796000,399674000,1530000,1530000,401204000,5.08e+08,293978000,293978000,972698000,1480698000,138394000,25984000,1293000,-143809000,21862000,-42681000,47063000,-16600000,-53915000,-70515000,-1590000,-1590000,-1590000,166750000,399674000,-19524000,0.44499,0.42598,63.87442,21.70014,14.25523,-0.00091999999999981,2.63315,0.52226,0.26992,599.15417,599.15417,9.38019,8.34474,-0.5542,0.4712,15.37539,-0.01421,0.00079,2.29455,2.71811
"31","2022_Q2",25.0461290322581,"Up",362400000,-270961000,91439000,-8227000,-8227000,83212000,-2224000,-2199000,-25000,80988000,80988000,-163000,80825000,80825000,-64631000,16194000,-21075992000,19234000,19234000,136144000,136144000,7887000,111462000,238000,274727000,1030571000,149068000,5814000,143254000,1179639000,1454366000,76944000,55553000,21391000,76944000,399674000,1516000,1516000,401190000,478134000,293569000,293569000,976232000,1454366000,80825000,31282000,3962000,-11259000,104810000,-20342000,-25342000,-16603000,-60688000,-77291000,2177000,2177000,2177000,114494000,399674000,83056000,0.25232,0.22961,-58.15671,-21.58912,-14.49153,-0.00394,3.57048,0.48977,0.27481,-599.88593,-599.88593,10.31499,8.35585,2.36402,0.47257,-15.28899,0.0603,-0.000790000000000137,3.32279,4.57194
"32","2022_Q3",23.01328125,"Down",448785000,-351483000,97302000,-9919000,-9919000,87383000,-2769000,-2859000,90000,84614000,84614000,-175000,84439000,84439000,-68001000,16438000,19051000,18369000,18369000,146364000,146364000,7448000,129430000,67000,301611000,1016726000,143790000,5814000,137976000,1160516000,1462127000,92019000,76268000,15751000,92019000,399674000,1493000,1493000,401167000,493186000,293407000,293407000,968941000,1462127000,84439000,31009000,2839000,2570000,120857000,-11992000,-29992000,-16600000,-75130000,-91730000,-865000,-865000,-865000,118392000,399674000,109145000,0.21681,0.19471,0.0424500000000094,0.0196599999999947,0.0130299999999988,5.7291,3.2777,0.50899,0.27335,0.541000000000054,0.541000000000054,12.74435,8.33201,3.09944,0.4714,0.0260199999999937,0.07966,0.87135,3.2207,4.36361
