"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",5.86983870967742,"Down",2.172e+09,-1.938e+09,2.34e+08,-4.11e+08,-1.56e+08,-2.31e+08,-2.4e+07,-1.77e+08,-5.5e+07,-5.3e+07,-5.6e+07,3e+06,-2e+06,-2.32e+08,-2.43e+08,3.8e+07,-1.15e+08,-3.2e+08,-3.2e+08,-3.2e+08,-3.2e+08,2.325e+09,2.191e+09,1.333e+09,1.894e+09,7.8e+07,7.8e+07,5.63e+09,7.158e+09,7.64e+08,7.64e+08,3.86e+08,3.78e+08,8.686e+09,1.4316e+10,1.547e+09,1.547e+09,2.62e+08,3.68e+08,2.177e+09,2.936e+09,7.17e+08,7.17e+08,3.653e+09,5.83e+09,8.89e+09,9.9e+07,8.791e+09,-1.159e+09,8e+07,7.811e+09,8.486e+09,1.4316e+10,-3.2e+08,5.25e+08,1.75e+08,2.1e+07,1.54e+08,3.06e+08,-9.1e+07,1.83e+08,-6.1e+07,2.75e+08,6.86e+08,-2.75e+08,-2.78e+08,-4.77e+08,1.35e+08,-7.97e+08,-5.1e+07,2.59e+08,2.08e+08,9.7e+07,9.7e+07,9.7e+07,3.48e+08,3.198e+09,3.41e+08,0.10773,-0.08149,-0.14733,-0.03771,-0.02235,-1.06562,2.58613,0.68701,0.22339,-0.32412,-0.32412,2.19994,7.91148,0.34539,-0.0258,0.0275,2.50862,-4.9322
"12","2013_Q1",8.15633333333333,"Up",1.963e+09,-1.744e+09,2.19e+08,-3.69e+08,-1.39e+08,-2.35e+08,5e+06,-1.5e+08,-4.7e+07,-5.2e+07,-5.3e+07,1e+06,5e+06,-1.97e+08,-1.96e+08,-1.4e+07,-3.2e+07,-2.42e+08,-2.42e+08,-2.43e+08,-2.43e+08,2.559e+09,2.459e+09,1.289e+09,1.812e+09,9.8e+07,9.8e+07,5.758e+09,7.103e+09,7.63e+08,7.04e+08,3.71e+08,2.86e+08,8.57e+09,1.4328e+10,1.641e+09,1.641e+09,2.24e+08,3.78e+08,2.243e+09,3.038e+09,6.3e+08,6.3e+08,3.668e+09,5.911e+09,9.022e+09,1.02e+08,8.92e+09,-1.402e+09,8e+07,7.7e+09,8.417e+09,1.4328e+10,-2.42e+08,4.83e+08,5.4e+07,1.6e+07,3.5e+07,1.55e+08,1.04e+08,7.6e+07,2.83e+08,-3.08e+08,4.5e+08,-3.83e+08,-3.32e+08,2.4e+07,3.4e+07,-3.32e+08,-5.1e+07,2.02e+08,1.5e+08,2.68e+08,2.68e+08,2.68e+08,3.33e+08,3.262e+09,1.19e+08,0.11156,-0.07641,-0.12379,-0.02887,-0.01696,-0.48971,2.5671,0.70227,0.22767,-0.24,-0.24,1.93877,7.60494,0.11753,-0.01974,0.00967,2.11111,-4.68667
"13","2013_Q2",10.968125,"Up",1.834e+09,-1.617e+09,2.17e+08,-3.35e+08,-1.19e+08,-2.24e+08,8e+06,-1.18e+08,-1.13e+08,-5.4e+07,-5.7e+07,3e+06,-5.9e+07,-2.31e+08,-2.1e+08,-1.3e+07,-5.2e+07,-2.75e+08,-2.75e+08,-2.75e+08,-2.75e+08,2.271e+09,2.102e+09,1.139e+09,1.831e+09,7.4e+07,7.4e+07,5.315e+09,7.199e+09,8.7e+08,6.83e+08,3.59e+08,3.24e+08,8.752e+09,1.4067e+10,1.584e+09,1.584e+09,2.66e+08,2.88e+08,2.138e+09,3.169e+09,5.74e+08,5.74e+08,3.743e+09,5.881e+09,9.063e+09,1.02e+08,8.961e+09,-1.677e+09,8.3e+07,7.469e+09,8.186e+09,1.4067e+10,-2.75e+08,4.57e+08,1.32e+08,1.9e+07,1.09e+08,-7.8e+07,9.8e+07,-2.6e+07,-1.08e+08,-4.2e+07,2.36e+08,-4.34e+08,-4.34e+08,-2.08e+08,3e+06,-6.39e+08,-5.2e+07,1e+08,4.6e+07,-3.57e+08,-3.57e+08,-3.57e+08,3.39e+08,3.435e+09,-1.6e+08,0.11832,-0.06434,-0.14995,-0.03359,-0.01955,0.58182,2.48597,0.71842,0.24419,-0.2712,-0.2712,1.80868,7.36588,-0.15779,-0.02255,-0.01312,3.43363,-9.86441
"14","2013_Q3",14.35265625,"Up",2.078e+09,-1.712e+09,3.66e+08,-3.29e+08,-1.23e+08,-2.14e+08,8e+06,3.7e+07,-2.12e+08,-5.3e+07,-5.6e+07,3e+06,-1.59e+08,-1.75e+08,-2.35e+08,9e+06,-5.8e+07,-2.84e+08,-2.84e+08,-2.86e+08,-2.86e+08,2.228e+09,2.061e+09,1.226e+09,1.721e+09,1.89e+08,1.89e+08,5.364e+09,6.973e+09,8.37e+08,7.38e+08,3.46e+08,3.92e+08,8.548e+09,1.3912e+10,1.498e+09,1.498e+09,3.5e+08,2.69e+08,2.117e+09,3.301e+09,5.34e+08,5.34e+08,3.835e+09,5.952e+09,9.115e+09,1.03e+08,9.012e+09,-1.963e+09,7.9e+07,7.231e+09,7.96e+09,1.3912e+10,-2.84e+08,4.55e+08,2.8e+08,2.1e+07,2.63e+08,-2.17e+08,-1.01e+08,5.3e+07,-81000000.0000001,-87999999.9999999,2.34e+08,-3.27e+08,-3.27e+08,-2.4e+07,-8999999.99999999,-3.6e+08,-5.35e+08,5.99e+08,8.5e+07,-40999999.9999999,-40999999.9999999,-40999999.9999999,4.92e+08,3.651e+09,-6.1e+07,0.17613,0.01781,-0.13763,-0.03593,-0.02056,0.21329,2.53377,0.74774,0.26244,-0.2815,-0.2815,2.04528,7.11713,-0.0600400000000001,-0.02355,-0.00502,2.89228,38.45946
"15","2013_Q4",19.24046875,"Up",2.318e+09,-1.762e+09,5.56e+08,-3.52e+08,-1.27e+08,-2.26e+08,1e+06,2.04e+08,-9.7e+07,-5.2e+07,-5.4e+07,2e+06,-4.5e+07,1.07e+08,5.2e+07,1e+06,-1e+07,4.3e+07,4.3e+07,4.3e+07,4.3e+07,2.552e+09,2.44e+09,1.503e+09,1.732e+09,9.9e+07,9.9e+07,5.886e+09,6.83e+09,6.19e+08,7.2e+08,3.31e+08,3.89e+08,8.169e+09,1.4055e+10,1.59e+09,1.59e+09,3.57e+08,3.95e+08,2.342e+09,3.267e+09,4.2e+08,4.2e+08,3.687e+09,6.029e+09,9.179e+09,1.03e+08,9.076e+09,-1.92e+09,6.9e+07,7.328e+09,8.026e+09,1.4055e+10,4.3e+07,4.42e+08,1.96e+08,2.1e+07,1.8e+08,-5.7e+07,-2.77e+08,1.1e+07,2.33e+08,-2.4e+07,6.24e+08,-2.03e+08,-2.03e+08,2.5e+08,-2.18e+08,-1.71e+08,-7.7e+07,-4.1e+07,-7.4e+07,3.79e+08,3.79e+08,3.79e+08,6.46e+08,3.624e+09,3.85e+08,0.23986,0.08801,0.01855,0.00536,0.00306,8.95349,2.51324,0.75118,0.25784,0.04199,0.04199,2.26367,7.15625,0.37598,0.00356,0.0319,1.65944,5.2549
"16","2014_Q1",23.5139344262295,"Up",2.843e+09,-2.135e+09,7.08e+08,-4.69e+08,-1.93e+08,-2.67e+08,-9000000.00000001,2.39e+08,-1.3e+07,-5.8e+07,-6.4e+07,6e+06,4.5e+07,2.26e+08,1.678e+09,-5e+06,3.7e+07,1.71e+09,1.71e+09,1.708e+09,1.708e+09,3.101e+09,2.88e+09,2.329e+09,2.649e+09,8.32e+08,8.32e+08,8.911e+09,7.626e+09,8.95e+08,1.686e+09,3.86e+08,4.39e+08,1.0207e+10,1.9118e+10,2.115e+09,2.115e+09,1.585e+09,4.25e+08,4.125e+09,4.452e+09,5.35e+08,5.35e+08,4.987e+09,9.112e+09,9.291e+09,1.04e+08,9.187e+09,-2.12e+08,6.3e+07,9.142e+09,1.0006e+10,1.9118e+10,1.71e+09,4.5e+08,-1.492e+09,3e+07,-1.52e+09,4.9e+07,-1.29e+08,4.5e+07,-15999999.9999999,1.49e+08,7.17e+08,-4.78e+08,-4.78e+08,-2.64e+08,2e+06,-7.4e+08,-79000000.0000001,4.6e+08,4.63e+08,4.4e+08,4.4e+08,4.4e+08,6.89e+08,6.037e+09,2.65e+08,0.24903,0.08407,0.60077,0.1707,0.08934,0.155150000000001,2.16024,0.91065,0.31578,1.65184,1.45486,2.74952,8.84139,0.25629,0.10303,0.01599,4.26125,12.28452
"17","2014_Q2",26.9880952380952,"Up",4.042e+09,-2.761e+09,1.281e+09,-7.3e+08,-1.76e+08,-3.2e+08,-2.34e+08,5.51e+08,-1.76e+08,-9.6e+07,-1.01e+08,5e+06,-8e+07,3.75e+08,3.75e+08,-8e+07,8.6e+07,3.81e+08,3.81e+08,3.58e+08,3.58e+08,3.87e+09,3.654e+09,2.833e+09,2.459e+09,2.07e+08,2.07e+08,9.369e+09,7.733e+09,1.028e+09,1.664e+09,3.68e+08,4.94e+08,1.0425e+10,1.9794e+10,2.63e+09,2.63e+09,1.543e+09,3.4e+08,4.513e+09,4.26e+09,8.75e+08,8.75e+08,5.135e+09,9.648e+09,9.025e+09,1.06e+08,8.919e+09,1.26e+08,6.8e+07,9.219e+09,1.0146e+10,1.9794e+10,3.81e+08,4.91e+08,1.31e+08,2.2e+07,5e+07,5.04e+08,-4.94e+08,1.9e+08,6.2e+08,1.88e+08,1.507e+09,-6.69e+08,-6.69e+08,-34000000.0000001,5.81e+08,-1.22e+08,-7.37e+08,4.3e+07,-5.92e+08,7.93e+08,7.93e+08,7.74e+08,1.042e+09,5.803e+09,9.57e+08,0.31692,0.13632,0.08857,0.03528,0.01809,2.67318,2.076,0.95092,0.29317,0.34226,0.29933,3.86424,8.81358,0.91491,0.02128,0.05688,1.85509,3.50817
"18","2014_Q3",32.05109375,"Up",4.107e+09,-2.704e+09,1.403e+09,-5.34e+08,-1.77e+08,-3.44e+08,-1.3e+07,8.69e+08,-1.99e+08,-7.7e+07,-8.3e+07,6e+06,-1.22e+08,6.7e+08,6.7e+08,-6.3e+07,1.34e+08,7.41e+08,7.41e+08,7.31e+08,7.31e+08,4.504e+09,4.305e+09,2.826e+09,2.462e+09,1.99e+08,1.99e+08,9.991e+09,7.859e+09,1.17e+09,1.595e+09,3.67e+08,4.87e+08,1.0624e+10,2.0615e+10,2.679e+09,2.679e+09,2.23e+09,3.96e+08,5.305e+09,4.408e+09,8.58e+08,8.58e+08,5.266e+09,1.0571e+10,8.389e+09,1.07e+08,8.282e+09,8.36e+08,5.9e+07,9.284e+09,1.0044e+10,2.0615e+10,7.41e+08,5.17e+08,8.5e+07,2.7e+07,-1e+07,47000000.0000001,36000000.0000001,-2000000.00000003,2.2e+07,-9e+06,1.39e+09,-5.65e+08,-5.65e+08,-5e+06,38999999.9999999,-5.31e+08,-1.25e+09,9.89e+08,-2.12e+08,6.47e+08,6.47e+08,6.51e+08,1.386e+09,6.638e+09,9.31e+08,0.34161,0.21159,0.17799,0.07278,0.03546,1.2736,1.88332,1.05247,0.322,0.68962,0.60866,3.87453,8.75849,0.8783,0.04168,0.05308,1.53968,2.4557
"19","2014_Q4",32.7684375,"Up",3.982e+09,-2.614e+09,1.368e+09,-5.29e+08,-1.74e+08,-3.49e+08,-6e+06,8.39e+08,-9.6e+07,-7.5e+07,-8e+07,5e+06,-2.1e+07,7.43e+08,7.43e+08,-7.2e+07,1.35e+08,8.06e+08,8.06e+08,8.06e+08,8.06e+08,4.264e+09,4.062e+09,2.715e+09,2.532e+09,1.94e+08,1.94e+08,9.705e+09,8.021e+09,1.289e+09,1.48e+09,3.43e+08,4.44e+08,1.079e+10,2.0495e+10,2.828e+09,2.828e+09,1.508e+09,4.24e+08,4.76e+09,4.225e+09,8.13e+08,8.13e+08,5.038e+09,9.798e+09,8.317e+09,1.07e+08,8.21e+09,1.579e+09,4.4e+07,9.94e+09,1.0697e+10,2.0495e+10,8.06e+08,5.42e+08,6e+06,3.2e+07,-8.3e+07,1.01e+08,1.28e+08,-7.1e+07,4e+06,4e+07,1.455e+09,-5.66e+08,-5.66e+08,6000000.00000003,9e+06,-5.51e+08,-1.147e+09,-2.3e+07,-1.149e+09,-2.45e+08,-2.45e+08,-2.43e+08,1.381e+09,5.733e+09,9.88e+08,0.34355,0.2107,0.20241,0.07535,0.03933,1.22581,2.03887,0.91596,0.27973,0.75539,0.67731,3.73196,9.31584,0.92596,0.04674,0.0573,1.06372,1.75089
"20","2015_Q1",29.5822950819672,"Down",4.227e+09,-2.842e+09,1.385e+09,-5.17e+08,-1.8e+08,-3.58e+08,2.1e+07,8.68e+08,1.17e+08,-8.1e+07,-8.8e+07,7e+06,1.98e+08,9.85e+08,9.45e+08,8.7e+07,1.19e+08,1.151e+09,1.151e+09,1.15e+09,1.15e+09,4.534e+09,4.15e+09,2.906e+09,2.455e+09,3.5e+08,3.5e+08,1.0245e+10,8.682e+09,1.79e+09,1.699e+09,4.68e+08,4.15e+08,1.2171e+10,2.2416e+10,2.864e+09,2.864e+09,1.618e+09,3.09e+08,4.791e+09,4.961e+09,1.102e+09,1.102e+09,6.063e+09,1.0854e+10,7.975e+09,1.07e+08,7.868e+09,2.729e+09,5.6e+07,1.076e+10,1.1562e+10,2.2416e+10,1.151e+09,5.53e+08,-3.4e+08,3.4e+07,-2.58e+08,-1.7e+07,-1.88e+08,7.7e+07,2.5e+07,6.9e+07,1.347e+09,-1.307e+09,-1.307e+09,-4.73e+08,-2.3e+07,-1.698e+09,-7.09e+08,1.146e+09,4.54e+08,1.03e+08,1.03e+08,88000000.0000001,1.421e+09,6.579e+09,1e+07,0.32766,0.20535,0.27206,0.09946,0.0513,0.00869999999999971,2.13838,0.93876,0.2935,1.07779,0.95436,3.96157,10.08435,0.00936999999999999,0.05976,0.000519999999999986,1.43913,2.35599
"21","2015_Q2",26.3828571428571,"Down",4.573e+09,-2.935e+09,1.638e+09,-5.53e+08,-1.93e+08,-3.76e+08,1.6e+07,1.085e+09,-1.32e+08,-8.3e+07,-9e+07,7e+06,-4.9e+07,9.53e+08,9.53e+08,-7.5e+07,1.24e+08,1.002e+09,1.002e+09,1.003e+09,1.003e+09,4.23e+09,3.764e+09,2.663e+09,2.448e+09,3.31e+08,3.31e+08,9.672e+09,9.132e+09,2.157e+09,1.581e+09,4.5e+08,4.46e+08,1.287e+10,2.2542e+10,2.965e+09,2.965e+09,1.168e+09,2.86e+08,4.419e+09,4.661e+09,9.69e+08,9.69e+08,5.63e+09,1.0049e+10,7.93e+09,1.08e+08,7.822e+09,3.713e+09,3.5e+07,1.1678e+10,1.2493e+10,2.2542e+10,1.002e+09,6.43e+08,1.05e+08,3.5e+07,-5.6e+07,-1.58e+08,2.52e+08,7e+06,-3.21e+08,-9.6e+07,1.592e+09,-6.69e+08,-6.69e+08,-3.38e+08,-6.9e+07,-1.076e+09,-7.86e+08,-1.2e+07,-8.06e+08,-2.9e+08,-2.9e+08,-3.86e+08,1.728e+09,5.829e+09,9.76e+08,0.35819,0.23726,0.21933,0.08028,0.04449,0.97308,2.18873,0.80437,0.25858,0.93738,0.83933,4.27383,10.91402,0.91215,0.05199,0.05059,0.92535,1.47373
"22","2015_Q3",17.02,"Down",4.166e+09,-2.761e+09,1.405e+09,-5.5e+08,-1.87e+08,-3.79e+08,1.6e+07,8.55e+08,-8.1e+07,-7.5e+07,-8.3e+07,8e+06,-5999999.99999997,7.74e+08,7.74e+08,-4.7e+07,2.08e+08,9.35e+08,9.35e+08,9.34e+08,9.34e+08,4.479e+09,3.547e+09,2.761e+09,2.377e+09,3.01e+08,3.01e+08,9.918e+09,9.233e+09,3.108e+09,1.559e+09,4.4e+08,4.68e+08,1.39e+10,2.3818e+10,2.662e+09,2.662e+09,1.199e+09,2.59e+08,4.12e+09,5.57e+09,8.87e+08,8.87e+08,6.457e+09,1.0577e+10,8.009e+09,1.08e+08,7.901e+09,4.627e+09,-1.8e+07,1.2426e+10,1.3241e+10,2.3818e+10,9.35e+08,6.41e+08,-93000000.0000001,4.9e+07,-1.75e+08,-2.32e+08,-99000000.0000001,7.1e+07,-1.67e+08,-3.7e+07,1.251e+09,-8.53e+08,-8.53e+08,-1.253e+09,-2e+07,-2.126e+09,-3.63e+08,1.211e+09,6.62e+08,-2.13e+08,-2.13e+08,-2.17e+08,1.496e+09,6.769e+09,4.58e+08,0.33725,0.20523,0.2242,0.07054,0.03921,0.49036,2.40728,0.79881,0.2842,0.86965,0.78487,3.87896,11.56983,0.42644,0.0447,0.02192,1.53075,2.67836
"23","2015_Q4",15.82015625,"Down",3.853e+09,-2.651e+09,1.202e+09,-5.71e+08,-1.69e+08,-4.06e+08,4e+06,6.31e+08,-1.04e+08,-8.8e+07,-9.7e+07,9e+06,-1.6e+07,5.27e+08,5.27e+08,-1.04e+08,6.8e+07,4.91e+08,4.91e+08,4.91e+08,4.91e+08,4.86e+09,3.694e+09,2.53e+09,2.381e+09,2.37e+08,2.37e+08,1.0008e+10,9.857e+09,3.794e+09,1.477e+09,4.31e+08,4.93e+08,1.5128e+10,2.5136e+10,3.204e+09,3.204e+09,1.148e+09,2.14e+08,4.566e+09,6.451e+09,7.64e+08,7.64e+08,7.215e+09,1.1781e+10,7.536e+09,1.08e+08,7.428e+09,5.117e+09,-3e+06,1.2458e+10,1.3355e+10,2.5136e+10,4.91e+08,6.73e+08,1.16e+08,4.3e+07,-1.6e+07,5.5e+07,1.84e+08,-3e+06,-4.5e+07,-8.1e+07,1.335e+09,-7.34e+08,-7.34e+08,-8.32e+08,4.6e+07,-1.52e+09,-9.02e+08,1.248e+09,3.59e+08,1.74e+08,1.74e+08,1.47e+08,1.304e+09,7.599e+09,7.29e+08,0.31196,0.16377,0.12743,0.03677,0.01953,1.48473,2.19185,0.88214,0.30232,0.4576,0.41966,3.59087,11.61044,0.6794,0.02261,0.03357,2.10046,4.34073
"24","2016_Q1",11.0604918032787,"Down",3.6e+09,-2.63e+09,9.7e+08,-5.4e+08,-1.7e+08,-3.79e+08,9e+06,4.3e+08,-7.2e+07,-9e+07,-1.01e+08,1.1e+07,1.8e+07,3.58e+08,3.55e+08,6.9e+07,4.7e+07,4.71e+08,4.71e+08,4.71e+08,4.71e+08,3.521e+09,2.287e+09,2.507e+09,2.34e+09,2.28e+08,2.28e+08,8.596e+09,1.0554e+10,3.492e+09,1.501e+09,4.49e+08,4.55e+08,1.5547e+10,2.4143e+10,2.611e+09,2.611e+09,1.089e+09,2.05e+08,3.905e+09,6.301e+09,6.98e+08,6.98e+08,6.999e+09,1.0904e+10,7.582e+09,1.08e+08,7.474e+09,5.588e+09,1.3e+07,1.2302e+10,1.3239e+10,2.4143e+10,4.71e+08,7.1e+08,-2.2e+08,4.1e+07,-1.3e+07,6.9e+07,5.6e+07,4.1e+07,-1.58e+08,1.3e+08,1.03e+09,-1.765e+09,-1.765e+09,2.79e+08,-8e+06,-1.494e+09,-2.78e+08,-2.6e+07,-9.33e+08,-1.397e+09,-1.397e+09,-1.403e+09,1.14e+09,7.39e+09,-6.25e+08,0.26944,0.11944,0.13083,0.03558,0.01951,-1.32696,2.20128,0.82363,0.30609,0.44309,0.41867,3.38664,11.57291,-0.58796,0.02208,-0.02931,3.39386,8.99766999999999
"25","2016_Q2",11.2490625,"Up",3.35e+09,-2.501e+09,8.49e+08,-6.02e+08,-1.79e+08,-4.21e+08,-2e+06,2.47e+08,-8.9e+07,-8.5e+07,-9.6e+07,1.1e+07,-4e+06,1.58e+08,1.43e+08,4e+06,5.9e+07,2.06e+08,2.06e+08,2.06e+08,2.06e+08,3.641e+09,2.605e+09,2.223e+09,2.435e+09,2.11e+08,2.11e+08,8.51e+09,1.106e+10,3.122e+09,1.696e+09,5.36e+08,5.65e+08,1.5878e+10,2.4388e+10,2.784e+09,2.784e+09,1.051e+09,1.9e+08,4.025e+09,6.368e+09,7.2e+08,7.2e+08,7.088e+09,1.1113e+10,7.609e+09,1.09e+08,7.5e+09,5.788e+09,-9e+07,1.2301e+10,1.3275e+10,2.4388e+10,2.06e+08,7.37e+08,1.9e+07,4.6e+07,-2.6e+07,1.58e+08,2.97e+08,-9.5e+07,2e+06,-4.6e+07,1.12e+09,-9.9e+08,-9.9e+08,5.34e+08,-2.04e+08,-6.6e+08,-1.97e+08,1.77e+08,-1.4e+08,3.2e+08,3.2e+08,3.18e+08,9.84e+08,7.419e+09,1.48e+08,0.25343,0.07373,0.06149,0.01552,0.00845,0.71845,2.11429,0.83714,0.30421,0.19903,0.18986,3.23671,11.88502,0.143,0.00962,0.00691,3.83943,15.29555
"26","2016_Q3",15.09890625,"Up",2.934e+09,-2.355e+09,5.79e+08,-5.83e+08,-1.75e+08,-4.03e+08,-5e+06,-4e+06,-9.1e+07,-8.5e+07,-9.7e+07,1.2e+07,-6e+06,-9.5e+07,-9.6e+07,-4999999.99999999,5e+06,-9.6e+07,-9.6e+07,-9.7e+07,-9.7e+07,4.035e+09,3.078e+09,1.984e+09,2.608e+09,1.78e+08,1.78e+08,8.805e+09,1.1819e+10,2.468e+09,1.727e+09,5.12e+08,5.47e+08,1.6014e+10,2.4819e+10,3.087e+09,3.087e+09,1.125e+09,1.99e+08,4.411e+09,6.533e+09,6.36e+08,6.36e+08,7.169e+09,1.158e+10,7.688e+09,1.09e+08,7.579e+09,5.685e+09,-8.4e+07,1.2264e+10,1.3239e+10,2.4819e+10,-9.6e+07,7.74e+08,5.5e+07,5.5e+07,2.6e+07,3e+07,2.45e+08,-1.73e+08,-6.9e+07,2.7e+07,7.63e+08,-1.219e+09,-1.219e+09,7.37e+08,1.16e+08,-3.66e+08,-3.22e+08,3.97e+08,7.2e+07,4.69e+08,4.69e+08,4.73e+08,7.7e+08,7.658e+09,-4.14e+08,0.19734,-0.00136,-0.03306,-0.00733,-0.00391,4.26804,1.99615,0.87469,0.30855,-0.09363,-0.09363,2.83205,11.83784,-0.39961,-0.0045,-0.01923,4.70519,-905.75
"27","2016_Q4",18.5922222222222,"Up",2.898e+09,-2.4e+09,4.98e+08,-5.25e+08,-1.48e+08,-3.82e+08,5e+06,-2.7e+07,-1.33e+08,-9.9e+07,-1.09e+08,1e+07,-3.4e+07,-1.6e+08,-1.6e+08,-1.5e+07,-4e+07,-2.15e+08,-2.15e+08,-2.15e+08,-2.15e+08,4.981e+09,4.627e+09,2.073e+09,2.92e+09,1.36e+08,1.36e+08,1.011e+10,1.3209e+10,2.032e+09,1.65e+09,4.91e+08,5.28e+08,1.6891e+10,2.7001e+10,3.599e+09,3.599e+09,7.12e+08,1.89e+08,4.5e+09,8.919e+09,5.48e+08,5.48e+08,9.467e+09,1.3967e+10,7.784e+09,1.09e+08,7.675e+09,5.47e+09,-3.8e+07,1.2187e+10,1.3034e+10,2.7001e+10,-2.15e+08,7.55e+08,1.59e+08,4.7e+07,7.4e+07,-3.1e+08,-7.4e+07,-3.12e+08,7e+07,6e+06,3.89e+08,-1.685e+09,-1.685e+09,1.039e+09,3e+07,-6.16e+08,-1.7e+08,1.935e+09,1.771e+09,1.544e+09,1.544e+09,1.549e+09,7.28e+08,9.631e+09,-1.252e+09,0.17184,-0.00932,-0.07419,-0.0165,-0.00796,5.82326,2.24667,1.07158,0.35669,-0.20753,-0.20753,2.7973,11.76351,-1.20849,-0.00926,-0.05394,6.38736,-172.22222
"28","2017_Q1",24.1729032258065,"Up",3.217e+09,-2.638e+09,5.79e+08,-6.27e+08,-1.57e+08,-4.11e+08,-5.9e+07,-4.8e+07,-1.36e+08,-1.26e+08,-1.35e+08,9e+06,-1e+07,-1.84e+08,-1.68e+08,-3e+06,1e+06,-1.7e+08,-1.7e+08,-1.7e+08,-1.7e+08,4.398e+09,4.14e+09,2.068e+09,2.889e+09,1.4e+08,1.4e+08,9.495e+09,1.4686e+10,1.778e+09,1.581e+09,4.64e+08,3.56e+08,1.8045e+10,2.754e+10,3.879e+09,3.879e+09,7.56e+08,2e+08,4.835e+09,9.154e+09,6.23e+08,6.23e+08,9.777e+09,1.4612e+10,7.845e+09,1.09e+08,7.736e+09,5.299e+09,-3.5e+07,1.208e+10,1.2928e+10,2.754e+10,-1.7e+08,7.14e+08,7.3e+07,4.3e+07,5.6e+07,2.79e+08,-2999999.99999997,3.1e+07,2.69e+08,-1.8e+07,8.96e+08,-1.923e+09,-1.923e+09,3.54e+08,1.67e+08,-1.402e+09,-1.81e+08,5.8e+07,4.2e+07,-4.64e+08,-4.64e+08,-4.52e+08,6.66e+08,9.91e+09,-9.75e+08,0.17998,-0.01492,-0.05284,-0.01315,-0.00617,5.73529,1.96381,1.13026,0.35984,-0.16393,-0.17224,3.10222,11.64899,-0.94021,-0.00725,-0.04156,8.27628,-114.83333
"29","2017_Q2",28.9646031746032,"Up",3.97e+09,-2.959e+09,1.011e+09,-6.52e+08,-1.59e+08,-4.7e+08,-2.3e+07,3.59e+08,-1.46e+08,-1.32e+08,-1.39e+08,7e+06,-1.4e+07,2.13e+08,2.13e+08,-3.1e+07,-2e+06,1.8e+08,1.8e+08,1.8e+08,1.8e+08,4.169e+09,4.139e+09,2.453e+09,2.75e+09,1.32e+08,1.32e+08,9.504e+09,1.5321e+10,1.556e+09,1.455e+09,4.45e+08,4.11e+08,1.8332e+10,2.7836e+10,4.155e+09,4.155e+09,1.155e+09,2.36e+08,5.546e+09,8.521e+09,6.01e+08,6.01e+08,9.122e+09,1.4668e+10,7.887e+09,1.1e+08,7.777e+09,5.469e+09,-7e+06,1.232e+10,1.3168e+10,2.7836e+10,1.8e+08,7.71e+08,7.9e+07,4.6e+07,3.3e+07,1.08e+08,-4.01e+08,1.39e+08,2.99e+08,7.1e+07,1.138e+09,-1.264e+09,-1.264e+09,4.83e+08,-1.55e+08,-9.36e+08,-1.88e+08,-5.3e+07,-2.12e+08,-1e+07,-1e+07,-5.2e+07,1.13e+09,9.676e+09,5e+06,0.25466,0.09043,0.04534,0.01367,0.00647,0.02778,1.71367,1.11391,0.34761,0.17308,0.16499,3.81731,11.84615,0.00481,0.00768,0.00021,4.87345,15.33983
