"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","net_income_from_discontinued_operations","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",33.876935483871,"Up",1573295000,-1246424000,326871000,-216679000,-183711000,-32968000,110192000,-33455000,-34879000,1424000,76737000,23073000,99810000,-35499000,64311000,10780000,10780000,75091000,75091000,75091000,95687000,95687000,784121000,784121000,67113000,132085000,132085000,1079006000,6290366000,6290366000,890248000,82432000,384477000,423339000,7180614000,8259620000,890204000,422791000,467413000,443629000,1333833000,3444461000,2003427000,1181425000,822002000,5447888000,6781721000,819421000,25556000,793865000,1183066000,-524588000,1477899000,1477899000,8259620000,64311000,75091000,-10780000,238435000,23873000,29749000,-5876000,-31097000,16808000,-2978000,9334000,-54261000,295522000,-490837000,-490837000,-490837000,129162000,-363029000,-15802000,109617000,-234420000,344037000,-23718000,-898000,2732000,-3630000,-2155000,90762000,23255000,-419000,22836000,292000,23128000,348627000,3888090000,-137808000,0.20776,0.07004,0.04773,0.05081,0.00909,-1.83521,0.80895,4.58876,0.47073,1.49046,1.48539,31.22794,29.33445,-2.73532,0.31365,0.01233,-0.0187,0.21044,10.87811,34.41632
"12","2013_Q1",42.0383333333333,"Up",1583536000,-1263552000,319984000,-228770000,-195633000,-33137000,91214000,-30809000,-35291000,4482000,60405000,21435000,81840000,-26895000,54945000,-1101000,-1101000,53844000,53844000,53844000,66392000,66392000,775765000,775765000,64146000,133934000,133934000,1040237000,6379461000,6379461000,899281000,80475000,384216000,434590000,7278742000,8318979000,904690000,398983000,505707000,367975000,1272665000,3452821000,2126006000,1177074000,948932000,5578827000,6851492000,833916000,25686000,808230000,1221190000,-587619000,1467487000,1467487000,8318979000,54945000,53844000,1101000,241161000,15704000,19911000,-4207000,55144000,19418000,1565000,-20976000,55137000,366954000,-438413000,-438413000,-438413000,123549000,-316197000,-15808000,-73139000,-18266000,-54873000,-54895000,9925000,9883000,42000.0000000005,-353999.999999999,-79376000,-28619000,-512000,-29131000,-164000,-29295000,332375000,3820796000,-23999000,0.20207,0.0576,0.034,0.03669,0.00647,-0.44571,0.81737,4.66886,0.45929,1.06628,1.06015,31.35901,29.06087,-0.47526,0.31305,0.00939,-0.00324,0.29359,11.29569,41.16039
"13","2013_Q2",44.92359375,"Up",1563017000,-1266959000,296058000,-226672000,-189073000,-37599000,69386000,-29884000,-34454000,4570000,39502000,23006000,62508000,-21706000,40802000,-878000,-878000,39924000,39924000,39924000,76489000,76489000,774441000,774441000,63028000,156897000,156897000,1070855000,6434710000,6434710000,886537000,77711000,383515000,425311000,7321247000,8392102000,919137000,462192000,456945000,259733000,1178870000,3585890000,2136197000,1187684000,948513000,5722087000,6900957000,862093000,25961000,836132000,1244956000,-615904000,1491145000,1491145000,8392102000,40802000,39924000,878000,231541000,15203000,18593000,-3390000,-37043000,-8677000,902000,36405000,-65673000,250503000,-420054000,-420054000,-420054000,125540000,-295934000,-15980000,45317000,112938000,-67621000,-317344000,22425000,22529000,-104000,-1767000,49995000,4564000,-724000,3840000,6257000,10097000,300927000,3845623000,-134464000,0.18941,0.04439,0.02554,0.02677,0.00476,-3.368,0.90837,4.62796,0.45824,0.78347,0.77684,30.67265,29.26224,-2.63872,0.31359,0.00748,-0.01799,0.40026,12.52508,54.32125
"14","2013_Q3",45.02734375,"Up",1603999000,-1271599000,332400000,-227909000,-195033000,-32876000,104491000,-30326000,-33901000,3575000,74165000,23197000,97362000,-34787000,62575000,-381000,-381000,62194000,62194000,62194000,73429000,73429000,772262000,772262000,61672000,154972000,154972000,1062335000,6614735000,6614735000,883277000,75520000,383371000,424386000,7498012000,8560347000,937929000,458627000,479302000,258697000,1196626000,3655710000,2160652000,1220970000,939682000,5816362000,7012988000,886813000,26163000,860650000,1291005000,-630459000,1547359000,1547359000,8560347000,62575000,62194000,381000,234438000,26950000,29583000,-2633000,-7400000.00000001,-7914000,1187000,-12697000,12024000,316563000,-528060000,-528060000,-528060000,136390000,-391670000,-16075000,68969000,67839000,1130000,-3518000,19003000,18899000,104000,-241000,71656000,-3450999.99999999,-318000,-3768999.99999999,709000,-3060000,338929000,3914407000,-161744000,0.20723,0.06514,0.03877,0.04019,0.00727,-2.60064,0.88778,4.53223,0.45727,1.20894,1.19781,31.17891,30.07793,-3.14402,0.31247,0.01027,-0.02122,0.25847,11.33269,36.75894
"15","2013_Q4",49.9896875,"Up",1634540000,-1288859000,345681000,-226549000,-196767000,-29782000,119132000,-30520000,-33967000,3447000,88612000,22786000,111398000,-37523000,73875000,-2808000,-2808000,71067000,71067000,71067000,74936000,74936000,798066000,798066000,64035000,162454000,162454000,1099491000,6799007000,6799007000,909304000,74335000,384010000,450959000,7708311000,8807802000,923313000,442076000,481237000,350954000,1274267000,3686038000,2192041000,1260497000,931544000,5878079000,7152346000,904837000,26297000,878540000,1344175000,-593556000,1655456000,1655456000,8807802000,73875000,71067000,2808000,241804000,33372000,33773000,-401000,-21167000,-18276000,-2550000,18956000,-19297000,327884000,-547710000,-547710000,-547710000,122941000,-425207000,-17800000,104572000,103704000,868000,-2438000,13189000,13189000,0,-136000,99825000,2502000,-3216000,-714000,2221000,1507000,360936000,4036992000,-170418000,0.21149,0.07288,0.04348,0.04293,0.00807,-2.39799,0.86284,4.32047,0.45834,1.37227,1.36071,31.56214,31.96602,-3.29069,0.34371,0.01127,-0.02161,0.25047,10.97717,33.2577
"16","2014_Q1",56.1622950819672,"Up",1617729000,-1272067000,345662000,-241210000,-209808000,-31402000,104452000,-34361000,-38141000,3780000,70091000,27656000,97747000,-31724000,66023000,-1337000,-1337000,64686000,64686000,64686000,61562000,61562000,777370000,777370000,64298000,159263000,159263000,1062493000,7124663000,7124663000,916626000,72406000,383719000,460501000,8041289000,9103782000,971701000,475364000,496337000,259438000,1231139000,3929987000,2045942000,1429637000,616305000,5975929000,7207068000,944206000,26667000,917539000,1390756000,-438248000,1896714000,1896714000,9103782000,66023000,64686000,1337000,275827000,22771000,31672000,-8901000,-2608999.99999999,20595000,-380000,-8233000,-14591000,362012000,-626804000,-626804000,-626804000,135797000,-491007000,-17865000,105324000,-138099000,243423000,-55889000,36029000,36029000,-9.31322574615479e-10,-3045000,120443000,-8552000,-1193000,-9745000,-3629000,-13374000,380279000,4189425000,-217410000,0.21367,0.06457,0.03999,0.0341,0.00711,-3.36101,0.86302,3.79977,0.46019,1.23737,1.22651,30.94533,36.282,-4.15881,0.34174,0.01015,-0.02673,0.27618,10.85483,39.51923
"17","2014_Q2",63.7553968253968,"Up",1610737000,-1306477000,304260000,-228347000,-191702000,-36645000,75913000,-29727000,-35109000,5382000,46186000,28818000,75004000,-25906000,49098000,-866000,-866000,48232000,48232000,48232000,72786000,72786000,822010000,822010000,64758000,157562000,157562000,1117116000,7324608000,7324608000,925759000,70411000,383200000,472148000,8250367000,9367483000,971776000,505779000,465997000,400846000,1372622000,4045751000,2050569000,1433288000,617281000,6096320000,7468942000,957944000,26591000,931353000,1390310000,-449713000,1898541000,1898541000,9367483000,49098000,48232000,866000,248815000,12083000,21653000,-9570000,-72043000,-41526000,-629000,14423000,-44311000,237953000,-578722000,-578722000,-578722000,138524000,-441847000,-18005000,256601000,142834000,113767000,-252845000,-21911000,18526000,-40437000,-1809000,214876000,10982000,-1127000,9855000,1369000,11224000,324728000,4446597000,-300131000,0.18889,0.04713,0.02994,0.0254,0.00515,-6.22265,0.81386,3.93404,0.47468,0.91591,0.90793,30.58749,36.05281,-5.69941,0.34191,0.00789,-0.03575,0.3733,13.46915,57.6161
"18","2014_Q3",68.57265625,"Up",1684571000,-1336038000,348533000,-231437000,-200430000,-31007000,117096000,-31330000,-36158000,4828000,85766000,34365000,120131000,-44382000,75749000,-336000,-336000,75413000,75413000,75413000,86888000,86888000,827274000,827274000,65490000,157818000,157818000,1137470000,7618179000,7618179000,932018000,69224000,383879000,478915000,8550197000,9687667000,958999000,479952000,479047000,557681000,1516680000,4159472000,2046555000,1480313000,566242000,6206027000,7722707000,970597000,26533000,944064000,1416858000,-422495000,1964960000,1964960000,9687667000,75749000,75413000,336000,263294000,20848000,38334000,-17486000,-54545000,947000,-549000,-12652000,-42291000,305346000,-676500000,-676500000,-676500000,178529000,-497971000,-17910000,252853000,-121457000,374310000,-24791000,-23448000,15603000,-39051000,-3217000,208278000,15653000,-230000,15423000,-1321000,14102000,380390000,4717153000,-306273000,0.2069,0.06951,0.04477,0.03838,0.00778,-4.06128,0.74997,3.93021,0.48692,1.43469,1.42165,32.048,37.38224,-5.82667,0.34073,0.01069,-0.03509,0.23749,12.17242,39.54247
"19","2014_Q4",68.52265625,"Down",1687150000,-1324658000,362492000,-230890000,-202001000,-28889000,131602000,-35685000,-36681000,996000,95917000,33691000,129608000,-45713000,83895000,-278000,-278000,83617000,83617000,83617000,75002000,75002000,821446000,821446000,64805000,161109000,161109000,1122362000,7544881000,7544881000,937119000,68211000,394256000,474652000,8.482e+09,9604362000,1013261000,513769000,499492000,462312000,1475573000,4045245000,2101045000,1526002000,575043000,6146290000,7621863000,978423000,26520000,951903000,1470499000,-466423000,1982499000,1982499000,9604362000,83895000,83617000,278000,269258000,21423000,39431000,-18008000,63683000,3171000,447000,43205000,16860000,438259000,-485951000,-485951000,-485951000,136624000,-357463000,-19493000,-63476000,-186321000,122845000,-7175000,-7994000,4861000,-12855000,-204000,-91167000,-10371000,-257000,-10628000,-1258000,-11886000,400860000,4507557000,24305000,0.21485,0.078,0.04956,0.04218,0.00871,0.29067,0.76063,3.84457,0.46932,1.59395,1.57845,32.16131,37.7914,0.46331,0.37159,0.012,0.00282999999999999,0.23312,11.05761,33.68152
"20","2015_Q1",70.815737704918,"Up",1656316000,-1285867000,370449000,-242109000,-222842000,-19267000,128340000,-34384000,-36791000,2407000,93956000,-80432000,13524000,-2040999.99999999,11483000,-404000,-404000,11079000,11079000,11079000,50092000,50092000,794864000,794864000,66007000,132681000,132681000,1043644000,7901480000,7901480000,905747000,66619000,393029000,446099000,8807227000,9850871000,1074531000,560852000,513679000,36284000,1110815000,4694335000,2226634000,1443292000,783342000,6920969000,8031784000,988848000,26520000,962328000,1450509000,-620270000,1819087000,1819087000,9850871000,11483000,11079000,404000,265682000,99698000,5295000,94403000,24397000,16721000,-1422000,8505000,593000,401260000,-517991000,-517991000,-517991000,110949000,-407229000,-19463000,4985000.00000003,-56138000,61123000,-8677000,-6365000,7578000,-13943000,506000,-20337000,-26306000,-111000,-26417000,1507000,-24910000,394022000,4730619000,-97531000,0.22366,0.07749,0.00669,0.00609,0.00112,-8.80323,0.93953,4.41528,0.48022,0.21119,0.20903,31.57233,34.67503,-1.85911,0.371,0.00348,-0.01111,1.75675,11.87885,36.46974
"21","2015_Q2",73.0431746031746,"Up",1567153000,-1237041000,330112000,-238978000,-206605000,-32373000,91134000,-34165000,-36802000,2637000,56969000,27208000,84177000,-30851000,53326000,-537000,-537000,52789000,52789000,52789000,55205824.1493482,55205824.1493482,812843500.846298,812843500.846298,65792041.2652861,141057088.105108,141057088.105108,1074898454.36604,8291386216.78383,8291386216.78383,911644973.580081,64646727.3990046,391896193.374755,455102052.806321,9203031190.36391,10277929644.73,1164733860.34944,637640222.895761,527093637.453682,129842896.10188,1294576756.45132,4860887109.27518,2304407134.43373,1455239211.33623,849167923.097506,7165294243.70891,8459871000.16023,1003235000.80286,26597768.4504073,976637232.352455,1475536139.34835,-660712495.581495,1818058644.56972,1818058644.56972,10277929644.73,53326000,52789000,537000,266278000,19040000,26646000,-7606000,-54179000,10775000,2563000,-28847000,-38670000,284465000,-553242000,-553242000,-553242000,112425000,-440817000,-20084000,196325000,204750000,-8425000,-463536000,5705000,11846000,-6141000,-3696000,178250000,21898000,-547000,21351000,756000,22107000,357412000,0,-219158000,0.21064,0.05815,0.03368,0.015656799051045,0.00254128858216528,-4.15158,0.855282117489895,4.63657598643013,0.485863515624879,1.00367,0.99403,29.79605,34.53640012472,-4.16682,0.38185,0.004979191336641,-0.0295236272275446,0.38046,12.3334326092789,36.9425686671691
