"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",13.8278125,"Up",39698000,28338000,30873000,-2535000,11360000,172000,5166000,6022000,-2923000,36775000,-28884000,-28884000,7891000,7891000,7891000,-2606000,5285000,5285000,5285000,4844000,50487000,81205000,610783000,1930095000,-23382000,1953477000,72340000,2676000,956000,113109000,2861651000,2489973000,1999012000,490961000,22919000,0,65037000,2577929000,190317000,70554000,-4902000,283722000,283722000,2861651000,5285000,1246000,3078000,21311000,30920000,9383000,22220000,-12501000,111217000,130319000,-349000,-27201000,-94000,-134690000,-191008000,-29769000,-29769000,-29769000,9137000,22919000,42437000,0.19878,0.12202,0.01707,0.00169,8.76073,9.08611,0.00801,0.20295,0.19979,1.66323,10.72436,1.77799,0.01462,0.00181,0.01483,0.07205,-3.01718,-3.4936
"12","2013_Q3",17.0409375,"Up",40860000,29476000,31951000,-2475000,11384000,-1000,5312000,6073000,-4165000,36695000,-26688000,-26688000,10007000,10007000,10007000,-3329000,6678000,6678000,6678000,6236000,50343000,43904000,554203000,1975127000,-24217000,1999344000,70167000,2318000,956000,111657000,2808675000,2443103000,1967658000,475445000,19142000,0,58653000,2520898000,190742000,76790000,-7600000,287777000,287777000,2808675000,6678000,1222000,-16710000,-13865000,-22675000,28962000,-530000,-103929000,84160000,8663000,-351000,62194000,221000,-46870000,13868000,-143999.999999993,-143999.999999993,-143999.999999993,11229000,19142000,29655000,0.24491,0.15262,0.02167,0.00222,4.75545,8.7599,0.00682,0.26116,0.25644,1.7112,10.88584,1.24194,0.0147,0.00235,0.01056,0.05629,-2.77861,-3.11792
"13","2013_Q4",17.3803125,"Up",41608000,29320000,31749000,-2429000,12288000,0,5541000,6747000,-2920000,38688000,-28749000,-28749000,9939000,9939000,9939000,-3262000,6677000,6677000,6677000,6234000,53516000,73899000,523961000,1983062000,-23854000,2006916000,65661000,1972000,956000,115475000,2818502000,2443421000,1967916000,475505000,20255000,5e+06,59470000,2528146000,191106000,83025000,-11713000,290356000,290356000,2818502000,6677000,1215000,2807000,258000,10957000,14678000,-2992000,-39017000,-17359000,-44690000,-350000,36771000,167000,318000,36906000,3173000,3173000,3173000,11154000,25255000,29352000,0.23887,0.14983,0.02147,0.00221,4.70837,8.70706,0.00896,0.2608,0.25623,1.7407,10.97845,1.22796,0.01464,0.00234,0.01041,0.05614,-2.53371,-2.84345
"14","2014_Q1",19.2595081967213,"Up",40568000,29051000,31749000,-2698000,11517000,-3.63797880709171e-12,5677000,5840000,-1478000,39090000,-37624000,-37624000,1466000,1466000,1466000,-88000,1378000,1378000,1378000,966000,62955000,14920000,825846000,2439343000,-22377000,2461720000,103188000,6009000,35049000,180339000,3667649000,2999231000,2330700000,668531000,83516000,194572000,73631000,3350950000,216184000,83991000,-11476000,316699000,316699000,3667649000,1378000,1255000,21852000,-21838000,2647000,12374000,-21572000,-29553000,-109196000,-122137000,-350000,58459000,0,82127000,140236000,20746000,20746000,20746000,2721000,278088000,-6655000,0.03614,0.02381,0.00305,0.00026,-6.88923,10.58087,0.07582,0.04021,0.03869,1.68871,12.01761,-0.27703,0.01457,0.00036,-0.00181,0.36232,79.06395,146.74829
"15","2014_Q2",19.5147619047619,"Up",47238000,34484000,37873000,-3389000,12754000,6000,6238000,6510000,-1726000,45512000,-33239000,-33239000,12273000,12273000,12273000,-3923000,8350000,8350000,8350000,8064000,71387000,48677000,570909000,2486465000,-22744000,2509209000,87430000,5477000,35049000,182590000,3487984000,3010647000,2311781000,698866000,49974000,59677000,67656000,3187954000,217049000,92055000,-9074000,300030000,300030000,3487984000,8350000,1871000,-2688000,5061000,12594000,8523000,33235000,-53863000,163080000,150975000,-286000,-138070000,-28196000,11416000,-155136000,8433000,8433000,8433000,14144000,109651000,31651000,0.25981,0.17071,0.02688,0.00231,3.92498,10.62545,0.03144,0.32071,0.31533,1.8787,11.93247,1.25879,0.01137,0.00239,0.00907,0.03547,2.70532,3.11774
"16","2014_Q3",20.0959375,"Up",51083000,35264000,38607000,-3343000,15819000,-7.27595761418343e-12,6509000,9310000,-1365000,49718000,-37318000,-37318000,12400000,12400000,12400000,-4270000,8130000,8130000,8130000,8130000,80986000,44800000,677272000,2797784000,-22254000,2820038000,99495000,9812000,58903000,204083000,3973135000,3389035000,2598237000,790798000,51109000,100293000,89299000,3629736000,252043000,98847000,-7491000,343399000,343399000,3973135000,8130000,1838000,2948000,-40252000,-27336000,6730000,-9606000,-69282000,23603000,-47456000.0000001,-1338000,76227000,137000,9363999.99999999,84390000,9598000,9598000,9598000,14238000,151402000,-15014000,0.24274,0.15915,0.02368,0.00205,-1.84674,10.57002,0.03811,0.32285,0.31844,2.02855,13.63668,-0.59622,0.05313,0.00238,-0.00378,0.16458,4.94564,5.67871
"17","2014_Q4",22.46703125,"Up",57033000,39132000,43186000,-4054000,17901000,132000,7349000,10420000,-1669000,55364000,-38579000,-38579000,16785000,16785000,16785000,-5122000,11663000,11663000,11663000,11663000,69421000,40165000,690488000,2827520000,-22212000,2849732000,98752000,9114000,58879000,205069000,3999408000,3373119000,2556602000,816517000,32351000,147409000,92699000,3645578000,252300000,109170000,-7640000,353830000,353830000,3999408000,11663000,2141000,5613000,-51825000,-32408000,14094000,4712000,-73291000,12568000,-41917000,-1340000,79977000,39000,-15916000,62760000,-11565000,-11565000,-11565000,18926000,179760000,-13683000,0.2943,0.2045,0.03296,0.00292,-1.1732,10.30319,0.04495,0.43537,0.4289,2.12897,13.20803,-0.51077,0.05002,0.00325,-0.00342,0.11489,5.83002,6.57367
"18","2015_Q1",22.966393442623,"Up",57368000,41006000,44900000,-3894000,16362000,-2.91038304567337e-11,7165000,9197000,-888000,56480000,-41733000,-38641000,14747000,14747000,14747000,-4167000,10580000,10580000,10580000,10580000,78036000,5500000,765013000,2829827000,-21157000,2850984000,97251000,8221000,63547000,189682000,4037077000,3431149000,2591772000,839377000,73310000,78881000,87709000,3671049000,253174000,118412000,-5558000,366028000,366028000,4037077000,10580000,792000,15545000,14637000,41554000,9950000,-9984000,-47491000,-176757000,-208359000,-1338000,6062000,5000,58030000,62759000,-104046000,-104046000,-104046000,15539000,152191000,44293000,0.25706,0.18442,0.0289,0.00262,4.18648,10.02942,0.0377,0.39506,0.39568,2.14212,13.66745,1.6539,0.04996,0.00295,0.01097,0.12647,4.77219,5.02848
"19","2015_Q2",23.4071428571429,"Up",56407000,38832000,42368000,-3536000,17575000,12000,7097000,10466000,-1069000,55338000,-40827000,-40827000,14511000,14511000,14511000,-4747000,9764000,9764000,9764000,9764000,80142000,126157000,716074000,2880223000,-21852000,2902075000,98292000,7591000,63547000,180878000,4152904000,3480231000,2513216000,967015000,55520000,43851000,83519000,3663121000,369171000,126566000,-5954000,489783000,489783000,4152904000,9764000,1938000,5867000,-5281000,12288000,6514000,-68671000,-89077000,6390000,-144844000,-1610000,6058000,114966000,49082000,168496000,35940000,35940000,35940000,16449000,99371000,22429000,0.25726,0.1731,0.01994,0.00235,2.29711,7.47907,0.02393,0.32073,0.31705,1.85287,16.08853,0.73675,0.05289,0.00274,0.0054,0.16489,1.16901,1.32513
"20","2015_Q3",24.7978125,"Up",61314000,40688000,44229000,-3541000,20626000,10000,7980000,12636000,-2656000,58658000,-56864000,-56864000,1794000,1794000,1794000,-486000,1308000,1308000,1308000,1308000,115413000,239804000,995262000,3449949000,-21658000,3471607000,124916000,19189000,87367000,173834000,5205734000,4511547000,3231373000,1280174000,75066000,3.9e+07,93351000,4718964000,369821000,126265000,-9316000,486770000,486770000,5205734000,1308000,2012000,15213000,-48085000,-29552000,14799000,-363882000,-166763000,6149000,164143000,-1610000,3.7e+07,190000,-21253000,14327000,148918000,148918000,148918000,3806000,114066000,-28994000,0.02926,0.02133,0.00269,0.00025,-22.16667,9.69444,0.02191,0.0406300000000001,0.04023,1.90458,15.12037,-0.90063,0.05001,0.00056,-0.00557,1.23089,-0.35391,-0.75084
"21","2015_Q4",29.37046875,"Up",72377000,47399000,51195000,-3796000,24978000,115000,11911000,12952000,-986000,71391000,-48396000,-48396000,22995000,22995000,22995000,-7368000,15627000,15627000,15627000,15627000,114396000,120925000,937020000,3648303000,-22471000,3670774000,124756000,18218000,87701000,164981000,5216300000,4530523000,3254723000,1275800000,51506000,3.9e+07,92971000,4.714e+09,370209000,140282000,-8191000,502300000,502300000,5216300000,15627000,1785000,10018000,-28155000,-725000,1372000,-102895000,-91876000,19434000,-173965000,-1609000,37910000,7000,18486000,54794000,-119896000,-119896000,-119896000,24780000,90506000,5365000,0.31771,0.21591,0.03111,0.003,0.34332,9.38483,0.01735,0.48522,0.47965,2.24731,15.59647,0.16658,0.04996,0.0033,0.00103,0.10296,-0.96408,-1.03892
"22","2016_Q1",25.9450819672131,"Down",71025000,48618000,52601000,-3983000,22407000,-1.45519152283669e-11,11231000,11176000,-553000,70472000,-53028000,-49580000,17444000,17444000,17444000,-3296000,14148000,14148000,14148000,14148000,118518000,5500000,1176536000,3902194000,-21062000,3923256000,121639000,17058000,90082000,157413000,5588940000,4879290000,3549433000,1329857000,63585000,3.9e+07,92306000,5074181000,370974000,152820000,-9035000,514759000,514759000,5588940000,14148000,2323000,7442000,-31147000,-7234000,8252000,59396000,-92640000,15705000,-9193999.99999994,-1610000,-130574000,185000,307669000,171670000,155242000,155242000,155242000,19767000,102585000,168000,0.2456,0.1992,0.02748,0.00253,0.0118699999999962,9.85739,0.01836,0.4393,0.4337,2.20533,15.98333,0.00522000000000006,0.04999,0.00282,3.00000000000001e-05,0.1138,-0.80604,-0.91338
"23","2016_Q2",28.0365625,"Up",74722000,50436000,54559000,-4123000,24286000,94000,11026000,13166000,-681000,74041000,-55600000,-55600000,18441000,18441000,18441000,-6124000,12317000,12317000,12317000,12317000,146863000,107373000,948541000,4438505000,-21482000,4459987000,124747000,21892000,121512000,188338000,6097771000,5230787000,3701750000,1529037000,43741000,110531000,111884000,5496943000,443998000,163395000,-6565000,600828000,600828000,6097771000,12317000,2261000,10810000,-11138000,14250000,934000,-28282000,-96190000,29126000,-101617000,-1742000,3156000,-511000,-49863000,-48960000,-136327000,-136327000,-136327000,20702000,154272000,16622000,0.24679,0.16484,0.0205,0.00202,1.34952,9.14895,0.0253,0.37607,0.37263,2.28145,18.34477,0.50751,0.05319,0.00231,0.00273,0.14143,0.35789,0.40177
"24","2016_Q3",30.6503125,"Up",82968000,54589000,59340000,-4751000,28379000,0,11403000,16976000,-889000,82079000,-52359000,-52359000,29720000,29720000,29720000,-9671000,20049000,20049000,20049000,20049000,116255000,68273000,965528000,4615325000,-21734000,4637059000,123978000,20574000,121422000,189939000,6221294000,5179532000,3625560000,1553972000,37139000,260191000,118517000,5595379000,444852000,181701000,-638000,625915000,625915000,6221294000,20049000,2370000,3384000,-56094000,-30291000,2167000,66878000,-247961000,49691000,-129225000,-1742000,143091000,-286000,-51255000.0000001,89808000,-69708000,-69708000,-69708000,32090000,297330000,-12166000,0.35821,0.24165,0.03203,0.00322,-0.60681,8.93952,0.04779,0.57559,0.57022,2.38195,17.96954,-0.34928,0.05001,0.0035,-0.00196,0.08689,5.64272,6.0927
"25","2016_Q4",37.4728571428571,"Up",85931000,57067000,62210000,-5143000,28864000,0,12149000,16715000,-811000,85120000,-53199000,-53199000,31921000,31921000,31921000,-10364000,21557000,21557000,21557000,21557000,123270000,90801000,988965000,4836469000,-22963000,4859432000,122191000,18472000,122545000,190782000,6493495000,5306098000,3742782000,1563316000,42647000,373461000,128706000,5850912000,445978000,199769000,-3164000,642583000,642583000,6493495000,21557000,2410000,2987000,-73163000,-46209000,7185000,7995000,-225081000,41362000,-168539000,-1612000,118802000,535000,126566000,244291000,29543000,29543000,29543000,34331000,416108000,-21283000,0.37147,0.25086,0.03355,0.00332,-0.98729,9.1053,0.06408,0.61796,0.61248,2.46334,18.42057,-0.61011,0.04621,0.00357,-0.00328,0.07478,8.52984,9.17384
"26","2017_Q1",42.2646774193548,"Up",81551000,57279000,62956000,-5677000,24272000,0,11742000,12530000,-1710000,79841000,-54677000,-44792000,25164000,25164000,25164000,-6987000,18177000,18177000,18177000,18177000,127164000,0,1029344000,5252946000,-23920000,5276866000,121217000,17428000,125532000,218400000,6892031000,5575163000,4001774000,1573389000,53505000,492321000,124605000,6245594000,446654000,214454000,-14671000,646437000,646437000,6892031000,18177000,2478000,13886000,-42058000,-7517000,1515000,55327000,-512049000,51724000,-403484000,-3488000,129737000,1000.00000000373,269065000,395315000,-15686000,-15686000,-15686000,27642000,545826000,-5914000,0.30857,0.22289,0.02812,0.00264,-0.32536,9.66157,0.0792,0.52053,0.5135,2.33537,18.51194,-0.16936,0.09989,0.00314,-0.00086,0.19189,15.14586,16.63734
"27","2017_Q2",42.5538095238095,"Up",86296000,60590000,67050000,-6460000,25706000,0,11272000,14434000,-1836000,84460000,-53093000,-53093000,31367000,31367000,31367000,-10214000,21153000,21153000,21153000,21153000,127164000,232045000,972352000,5307932000,-25250000,5333182000,121610000,16391000,125532000,191830000,7094856000,5642369000,3987646000,1654723000,40415000,525669000,128187000,6336640000,542146000,231894000,-15824000,758216000,758216000,7094856000,21153000,2341000,2240000,-12481000,13253000,3349000,53035000,-118323000,37508000,-24431000,-3492000,20315000,87973000,67206000,172002000,160824000,160824000,160824000,33708000,566084000,34790000,0.36348,0.24512,0.0279,0.00298,1.64468,8.3573,0.07979,0.59312,0.58693,2.41969,21.25998,0.97549,0.09791,0.00347,0.0049,0.16508,13.02124,13.99305
"28","2017_Q3",42.1261904761905,"Down",91346000,63157000,71411000,-8254000,28189000,37000,11345000,16807000,-2205000,89141000,-55739000,-55739000,33402000,33402000,33402000,-10315000,23087000,23087000,23087000,23087000,139500000,137811000,1007954000,5657070000,-25101000,5682171000,121108000,15378000,125532000,193505000,7397858000,5793397000,4120479000,1672918000,18400000,679591000,123788000,6615176000,544501000,251259000,-13078000,782682000,782682000,7397858000,23087000,2308000,13116000,-120092000,-81581000,1813000,71472000,-388577000,34193000,-281099000,-3713000,131820000,1646999.99999999,151028000,280782000,-81898000,-81898000,-81898000,35710000,697991000,-72254000,0.36566,0.25274,0.0295,0.00312,-3.12964,8.45193,0.09435,0.62109,0.61651,2.45739,21.05569,-1.94377,0.09989,0.00362,-0.00977,0.16083,15.63962,16.72029
"29","2017_Q4",45.0238095238095,"Up",93854000,66855000,76322000,-9467000,26999000,0,11234000,15765000,-1787000,92067000,-63767000,-63767000,28300000,28300000,28300000,-8142000,20158000,20158000,20158000,20158000,131071000,112844000,1004962000,5941002000,-25966000,5966968000,119458000,14437000,125532000,200514000,7649820000,5895504000,4177482000,1718022000,14156000,808572000,129667000,6847899000,545485000,267694000,-11258000,801921000,801921000,7649820000,20158000,2269000,3944000,-53726000,-27355000,3827000,35562000,-292317000,23735000,-229193000,-3722000,124705000,62000,102107000,223152000,-33396000,-33396000,-33396000,30569000,822728000,-11188000,0.30153,0.21478,0.02514,0.00264,-0.55502,8.53937,0.10755,0.54139,0.53665,2.52065,21.53733,-0.30048,0.09996,0.00312,-0.00146,0.18464,22.62609,24.44018
"30","2018_Q1",50.1308196721311,"Up",93086000,69523000,79564000,-10041000,23563000,0,11075000,12488000,-2536000,90550000,-59337000,-43982000,31213000,31213000,31213000,-22063000,9150000,9150000,9150000,9150000,139313000,10000,1241920000,6029575000,-25791000,6055366000,117738000,13496000,125532000,188619000,7856203000,6625845000,4848704000,1777141000,30638000,250554000,144687000,7051724000,547139000,273119000,-15779000,804479000,804479000,7856203000,9150000,2278000,19519000,2174000,33121000,2187000,55396000,-206146000,16379000,-132184000,-3723000,-541569000,756999.999999996,730341000,185806000,86743000,86743000,86743000,33491000,281192000,59915000,0.33531,0.0983,0.01137,0.00116,6.54809,8.76558,0.03579,0.24569,0.24384,2.49949,21.60139,1.6088,0.09997,0.00164,0.00763,0.40689,4.23633,4.54551
"31","2018_Q2",51.0440625,"Up",95265000,68801000,79512000,-10711000,26464000,37000,10947000,15480000,-1801000,93464000,-59098000,-59098000,34366000,34366000,34366000,-7706000,26660000,26660000,26660000,26660000,123945000,210930000,991947000,6163971000,-26200000,6190171000,116381000,12562000,208513000,194579000,8022828000,6446165000,4578265000,1867900000,23270000,555535000,128914000,7153884000,598860000,296366000,-26282000,868944000,868944000,8022828000,26660000,2274000,13756000,5807000,48497000,2400000,-7239000,-147872000,15825000,-158307000,-3726000,297580000,-147000,-179680000,114027000,4217000,4217000,4217000,36640000,578805000,52553000,0.36074,0.27985,0.03068,0.00332,1.97123,8.23285,0.07214,0.70219,0.69699,2.50915,22.88682,1.38418,0.09814,0.00379,0.00655,0.13976,12.4143,13.23576
