"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",20.7512903225806,"Up",55907000,-31499000,24408000,-9050000,-2400000,15358000,352000,-916000,374000,894000,15710000,15710000,-357000,15333000,15333000,7000,15340000,15340000,172398000,172398000,232484000,385867000,34364000,22632000,420231000,652715000,62342000,30378000,30378000,92720000,891907000,-322229000,-9738000,559680000,315000,559995000,652715000,15333000,2400000,11634000,-7586000,21781000,-73000,0,0,-73000,-19350000,141000,-19209000,2499000,2499000,2499000,17758000,30378000,10456000,0.43658,0.27471,0.27438,0.02739,0.0235,0.68162,3.72917,0.16557,0.04654,0.16621,0.16621,0.60576,6.06423,0.11329,0.02598,0.01771,-7.9975199999999,-9.2473
"12","2013_Q1",22.177,"Up",22616000,-17113000,5502999.99999999,-9209000,-2925000,-3706000,29000,-416000,-475000,920000,-3677000,-9227000.00000001,595000,-8638000,-8638000,6000,-8632000.00000001,-8632000.00000001,165980000,165980000,230129000,382796000,32596000,20639000,415392000,645521000,57125000,36062000,36062000,93187000,891798000,-330861000,-8652000,552025000,309000,552334000,645521000,-8638000,2925000,1196000,-1882000,-6399000,-209000,9.31322574615479e-10,656000.000000002,447000,-177000,-289000,-466000,-6418000,-6418000,-6418000,-781000,36062000,-3467000.00000001,0.24332,-0.16387,-0.38168,-0.01563,-0.01337,0.401650000000001,4.02852,0.16871,0.05586,-0.09364,-0.09364,0.24534,5.9884,-0.03761,-0.01467,-0.00589,166.34827,35.05613
"13","2013_Q2",19.840625,"Down",26773000,-19360000,7413000,-9638000,-2325000,-2225000,-243000,-6e+05,107000,250000,-2468000,-2468000,0,-2480000,-2480000,6000,-2474000,-2474000,168652000,168652000,233833000,383056000,34432000,22475000,417488000,651321000,64935000,35752000,35752000,100687000,891793000,-333335000,-8555000,549618000,1016000,550634000,651321000,-2480000,2325000,-3093000,5490000,2242000,-528000,196000,0,-332000,0,762000,762000,2672000,2672000,2672000,1e+05,35752000,5062000,0.27688,-0.08311,-0.09241,-0.00449,-0.0038,-2.04608,3.60103,0.18286,0.05489,-0.02681,-0.02681,0.29011,5.95571,0.05485,-0.00422,0.00863,-1329,59.73034
"14","2013_Q3",20.67734375,"Up",33788000,-22167000,11621000,-10038000,-2335000,1583000,1133000,-268000,306000,1095000,2716000,2716000,-4.65661287307739e-10,2701000,2701000,6000,2707000,2707000,54183000,54183000,121043000,391639000,35323000,23370000,541481000,662524000,68092000,38206000,38206000,106298000,892037000,-330628000,-6938000,554186000,2040000,556226000,662524000,2701000,2335000,-1453000,3104000,6687000,-1361000,-115606000,-4933000,-121900000,-284999.999999999,1029000,744000,-114469000,-114469000,-114469000,3918000,38206000,5661000,0.34394,0.04685,0.08012,0.00487,0.00409,2.09124,1.77764,0.19111,0.05767,0.02933,0.02933,0.36613,6.00516,0.06134,0.00455,0.00952,-4.07785,-10.09286
"15","2013_Q4",18.23875,"Down",36827000,-24315000,12512000,-9129000,-2312000,3383000,976000,-524000,595000,905000,4359000,4359000,-158000,4189000,4189000,8000,4197000,4197000,22831000,22831000,92457000,394434000,34130000,22084000,574615000,667072000,67912000,37832000,37832000,105744000,892027000,-326431000,-7375000,557936000,3392000,561328000,667072000,4189000,2312000,-1143000,-580000,4778000,-1258000,-57226000,21085000,-37399000,0,1269000,1269000,-31352000,-31352000,-31352000,5695000,37832000,4015000,0.33975,0.09186,0.11397,0.00748,0.00629,0.95664,1.36142,0.18838,0.05671,0.04548,0.04548,0.39906,6.04582,0.04351,0.007,0.0067,2.63405999999999,4.43423
"16","2014_Q1",18.1819672131148,"Down",33868000,-21071000,12797000,-8181000,-2159000,4615999.99999999,1802000,-648000,490000,1960000,6417999.99999999,-162000,567000,556000,556000,4000,560000.000000015,560000.000000015,21894000,21894000,90603000,396419000,35478000,22612000,578869000,669472000,61730000,44217000,44217000,105947000,892027000,-325871000,-7517000,558354000,5171000,563525000,669472000,556000,2159000,7517000,-7606000,2626000.00000001,-447000,-76369000,65061000,-11755000,-35999.9999999963,8228000,8192000,-936999.999999985,-936999.999999985,-936999.999999985,6774999.99999999,44217000,-1845000,0.37785,0.13629,0.01653,0.00099,0.00084,-3.29464,1.46773,0.18801,0.06605,0.00607000000000028,0.00606999999999983,0.36697,6.05001,-0.0199899999999994,0.00092,-0.00304,3.29491,4.83601
"17","2014_Q2",21.0814285714286,"Up",594086000,-73991000,520095000,-10602000,-2095000,509493000,411000,-639000,274000,776000,509904000,509904000,-106905000,402989000,402989000,6000,402995000,402995000,237419000,237419000,327425000,331024000,25353000,25353000,841659000,1169084000,149923000,49415000,49415000,199338000,892027000,77124000.0000001,-7777000,961089000,8657000,969746000,1169084000,402989000,2095000,-140613000,87665000,352136000,-1096000,-160495000,14708000,-146883000,-51000,10323000,10272000,215525000,215525000,215525000,511588000,49415000,705062000,0.87545,0.85761,0.67834,0.41557,0.34471,1.74956,2.18395,0.20556,0.04227,4.36648,4.36648,6.43696,10.41346,7.63939,0.39542,0.69181,-0.36749000000002,-0.369
"18","2014_Q3",22.0346875,"Up",68164000,-34159000,34005000,-9222000,-1944000,24783000.0000001,2271000,-2250000,3950000,571000,27054000,23308000,-8689000,14608000,14608000,1000,14609000,14609000,50883000,50883000,136612000,333869000,31384000,31384000,1204258000,1340870000,124140000,54253000,231554000,355694000,892187000,91733000,-7115000,976520000,8656000,985176000,1340870000,14608000,1944000,26969000,-55054000,-11533000,-413000,-387722000,32171000,-355964000,175313000,5648000,180961000,-186536000,-186536000,-186536000,26727000,54253000,-20051000,0.49887,0.36358,0.21432,0.01483,0.0109,-1.37250999999999,1.10047,0.36105,0.04046,0.15829,0.15829,0.73854,10.5804,-0.217249999999998,0.01201,-0.01648,0.12609,0.13598
"19","2014_Q4",18.5040625,"Down",23947000,-16638000,7309000,-8644000,-2174000,-1335000,805000,-2950000,3368000,387000,-530000,-530000,385000,-156000,-156000,105000,-51000,-51000,61582000,61582000,146331000,334547000,32135000,32135000,1172519000,1318850000,96504000,60678000,237995000,334499000,892237000,91682000,-7834000,975800000,8551000,984351000,1318850000,-156000,2174000,-276000,-19448000,-17706000,-360000,-10219000,32571000,21992000,-93000,6506000,6413000,10699000,10699000,10699000,839000,60678000,-19354000,0.30522,-0.05575,-0.00213,-5.00000000000049e-05,-4.00000000000053e-05,379.4902,1.51632,0.33982,0.04601,-0.00055,-0.00055,0.25946,10.5726,-0.2097,-4.00000000000053e-05,-0.01583,-1.07747000000001,0.677150000000001
"20","2015_Q1",16.8693442622951,"Down",15676000,-12010000,3666000,-6082000,-2209000,-2415999.99999999,5084000,-2769000,5099000,2754000,2668000.00000001,-10861000,-298000,-11159000,-11159000,59000,-11100000,-11100000,34515000,34515000,84455000,332015000,31990000,31990000,1218680000,1303135000,82289000,63804000,241145000,323434000,892237000,80582000,-1325000,971209000,8492000,979701000,1303135000,-11159000,2209000,28185000,-11097000,8138000,-614000,-88345000,51129000,-37830000,1473000,1152000,2625000,-27067000,-27067000,-27067000,-207000,63804000,-11620000,0.23386,-0.15412,-0.70809,-0.01133,-0.00852,1.04685000000001,1.02632,0.33014,0.04896,-0.12025,-0.12025,0.16983,10.52156,-0.12588,-0.00909,-0.00952,-141.49275,-12.12293
"21","2015_Q2",16.4555555555556,"Down",17091000,-12761000,4330000,-10032000,-2915000,-5702000,2913000,-2876000,5212000,577000,-2789000,-2789000,1073000,-1716000,-1716000,-22000,-1738000,-1738000,289708000,289708000,337574000,331627000,34400000,34400000,967918000,1305492000,82881000,66487000,243853000,326734000,892237000,78844000,-552000,970244000,8514000,978758000,1305492000,-1716000,2915000,-28000,-98000,1073000,-9e+05,129565000,123284000,251949000,0,2171000,2171000,255193000,255193000,255193000,-2787000,66487000,-4858000,0.25335,-0.33363,-0.10169,-0.00178,-0.00133,2.79517,4.073,0.33383,0.05093,-0.01883,-0.01883,0.18516,10.51155,-0.05263,-0.00142,-0.00397,80.09365,39.14784
"22","2015_Q3",16.7075,"Up",37846000,-22166000,15680000,-9867000,-2135000,5813000,-4220000,-2646000,5439000,-7013000,1593000,1593000,-1863000,-270000,-270000,47000,-223000,-223000,337972000,337972000,366457000,326947000,33951000,33951000,953003000,1319460000,93953000,68277000,245669000,339622000,892387000,78621000,648000,971371000,8467000,979838000,1319460000,-270000,2135000,4517000,30590000,36972000,-650000,-172686000,182543000,9207000.00000006,-250999.999999998,2336000,2085000.00000001,48264000,48264000,48264000,7948000,68277000,39751000,0.41431,0.1536,-0.00588999999999995,-0.00023,-0.00017,-178.25561,3.90043,0.34661,0.05175,-0.00241999999999999,-0.00241999999999999,0.41002,10.52376,0.43066,-0.00018,0.03244,-33.93244,-46.39515
"23","2015_Q4",19.2025,"Up",27831000,-18136000,9695000,-12078000,-2231000,-2383000,6384000,-2875000,9125000,134000,4001000,4001000,-1244000,2757000,2757000,14000,2771000,2771000,157887000,157887000,186104000,325804000,32647000,32647000,826352000,1012456000,88150000,69726000,247144000,335294000,892387000,81392000,139000,668709000,8453000,677162000,1012456000,2757000,2231000,-3284000,-4158000,-2454000,-737000,127892000,-1289000,125866000,-73000,1500000,-303497000,-180085000,-180085000,-180085000,-152000,69726000,-3803000,0.34835,-0.08562,0.09957,0.00409,0.00274,-1.37243,2.11122,0.49515,0.06887,0.03011,0.03011,0.30242,7.26645,-0.04132,0.003,-0.00411,580.00658,36.9958
"24","2016_Q1",15.506393442623,"Down",21103000,-14031000,7072000,-10935000,-2205000,-3863000,-105000,-3032000,2912000,15000.0000000009,-3968000,-3968000,1226000,-2742000,-2742000,201000,-2541000,-2541000,212773000,212773000,215048000,323744000,36853000,36853000,767694000,982742000,78727000,54474000,230568000,309295000,892387000,78851000,-686000,665263000,8184000,673447000,982742000,-2742000,2205000,459999.999999998,-13096000,-13173000,-181000,-40283000,98843000,58379000.0000001,-31618000,41378000,9680000.00000006,54886000,54886000,54886000,-1658000,54474000,-16161000,0.33512,-0.18305,-0.12041,-0.00377,-0.00259,6.36008999999997,2.73157,0.45927,0.05543,-0.03403,-0.03403,0.28258,8.90826,-0.21641,-0.00281,-0.01788,95.47587,40.97826
"25","2016_Q2",16.715,"Up",20254000,-12044000,8210000,-9107000,-2288000,-897000,147000,-3035000,2730000,452000,-750000,11798000,-3244000,8554000,8554000,111000,8665000,8665000,201325000,201325000,216372000,321471000,33540000,33540000,762613000,978985000,81065000,54646000,230793000,311858000,892387000,87516000,-740000,659054000,8073000,667127000,978985000,8554000,2288000,926000,-7337000,4431000,-347000,-4e+05,-277000,-1024000,-35000,0,-14855000,-11448000,-11448000,-11448000,1391000,54646000,-3049000,0.40535,-0.04429,0.42782,0.01299,0.00885,-0.35188,2.66912,0.46746,0.05582,0.11583,0.11583,0.27074,8.80982,-0.04076,0.00965,-0.0034,-105.4486,163.52174
"26","2016_Q3",18.25125,"Up",29551000,-19581000,9970000,-7826000,-2102000,2144000,412000,-3145000,2959000,598000,2556000,2556000,-978000,1578000,1578000,231000,1809000,1809000,183483000,183483000,198532000,319656000,35867000,35867000,785908000,984440000,85217000,54206000,230407000,315624000,892443000,89325000,-685000,660974000,7842000,668816000,984440000,1578000,2102000,1222000,2518000,7420000,-58000,-207470000,182615000,-24913000,-349000,-7.45058059692383e-09,-349000,-17842000,-17842000,-17842000,4246000,54206000,7684000,0.33738,0.07255,0.0612199999999999,0.0027,0.00184,4.24765,2.32972,0.47191,0.05506,0.02433,0.02433,0.39752,8.89147,0.10337,0.00201,0.00855,-30.44677,-60.29711
"27","2016_Q4",18.7984126984127,"Up",27192000,-18310000,8882000,-7287000,-2094000,1595000,2051000,-3075000,4689000,437000,3646000,3646000,-948000,2698000,2698000,14000,2712000,2712000,165286000,165286000,180073000,322174000,33343000,33343000,806356000,986429000,82780000,54233000,230488000,313268000,572002000,92037000,1294000,665333000,7828000,673161000,986429000,2698000,2094000,-2668000,-3403000,-1279000,-224000,-16210000,-484000,-16918000,0,0,0,-18197000,-18197000,-18197000,3689000,54233000,1010000,0.32664,0.05866,0.09974,0.00403,0.00275,0.37242,2.17532,0.46537,0.05498,0.03648,0.03648,0.36576,8.94953,0.01359,0.003,0.00112,-30.10382,-69.62571
"28","2017_Q1",16.793064516129,"Down",19865000,-12259000,7606000,-7370000,-2087000,236000,4375000,-3040000,7398000,16999.9999999998,4611000,4611000,-1977000,2634000,2634000,75000,2709000,2709000,241111000,241111000,275972000,323612000,38410000,38410000,751973000,1027945000,109796000,55040000,231350000,341146000,572040000,94746000,2507000,669293000,17506000,686799000,1027945000,2634000,2087000,25211000,-29842000,89999.9999999991,-665000,64628000,-80000,63883000,-113000,9753000,9640000,73613000,73613000,73613000,2323000,55040000,-26207000,0.38288,0.01188,0.13637,0.00394,0.00264,-9.67405,2.5135,0.49672,0.05354,0.03644,0.03644,0.26722,9.0031,-0.35253,0.00295,-0.02854,-80.09944,-788.43644
"29","2017_Q2",17.3979365079365,"Up",13512000,-9961000,3551000,-8133000,-1953000,-4582000,11049000,-3043000,10356000,3736000,6467000,6467000,-2279000,4188000,4188000,180000,4368000,4368000,216982000,216982000,251517000,331164000,36473000,36473000,755927000,1007444000,117991000,55525000,231891000,349882000,572059000,99114000,3219000,640236000,17326000,657562000,1007444000,4188000,1953000,-4966000,5967000,7142000,-1026000,7958000,-4310000,2622000,-226000,489000,-33893000,-24129000,-24129000,-24129000,-2629000,55525000,4591000,0.2628,-0.33911,0.32327,0.00664,0.00434,1.05105,2.13166,0.53209,0.05511,0.05905,0.05905,0.18267,8.6553,0.06207,0.00491,0.00516,61.41385,35.23723
"30","2017_Q3",18.2369841269841,"Up",30648000,-19533000,11115000,-6186000,-2032000,4929000,11594000,-3035000,14302000,327000,16523000,16523000,-5909000,10614000,10614000,150000,10764000,10764000,247178000,247178000,255100000,344240000,40528000,40528000,765246000,1020346000,130560000,55498000,231920000,362480000,572059000,109878000,-944000,640549000,17317000,657866000,1020346000,10614000,2032000,-5487000,31332000,38491000,-245000,9025000,-11336000,-2555999.99999999,-612000,820000.000000001,-6080000,29855000,29855000,29855000,6961000,55498000,43957000,0.36267,0.16083,0.35121,0.01636,0.01055,4.0837,1.95389,0.55099,0.05439,0.14954,0.14954,0.42578,8.8988,0.61067,0.0121,0.0494,-27.53627,-38.88821
"31","2017_Q4",18.1719047619048,"Down",33989000,-21926000,12063000,-7275000,-2306000,4788000,3996000,-3039000,6452000,583000,8784000,8784000,-2643000,6141000,6141000,-198000,5943000,5943000,166773000,166773000,174755000,346791000,40500000,40500000,744931000,919686000,120715000,55738000,232217000,352932000,572087000,115821000,-1191000,550722000,16032000,566754000,919686000,6141000,2306000,5289000,-9934000,3802000,-1249000,24052000,-10226000,12577000,-212000,-1047000,-96810000,-80431000,-80431000,-80431000,7094000,55738000,-1446000,0.35491,0.14087,0.17485,0.01049,0.00646,-0.24331,1.44767,0.62273,0.06061,0.08465,0.08465,0.48415,7.84473,-0.0206,0.00744,-0.00181,-15.65196,-23.19027
"32","2018_Q1",18.1855737704918,"Up",21889000,-15774000,6115000,-7673000,-2594000,-1558000,1339000,-3028000,4300000,67000.0000000002,-219000.000000002,9581000,28712000,38293000,38293000,210000,38503000,38503000,268328000,192083000,281979000,344400000,47133000,47133000,639014000,920993000,96242000,55630000,232167000,328409000,424694000,154324000,-1461000,577557000,15027000,592584000,920993000,38293000,2594000,-26703000,-9988000,4196000,2033000,18315000,11460000,31808000,-240000,-795000,-12462000,23542000,23542000,23542000,1036000,55630000,-35631000,0.27936,-0.07118,1.75901,0.06497,0.04181,-0.92541,2.9299,0.5542,0.0604,0.58303,0.58303,0.33146,8.74571,-0.53955,0.04668,-0.0432,-205.30695,136.5199
"33","2018_Q2",17.60015625,"Down",19865000,-12205000,7660000,-8201000,-2255000,-541000,917000,-3025000,3665000,277000,376000,376000,249000,625000,625000,132000,757000,757000,248931000,202585000,262622000,344323000,42701000,42701000,642962000,905584000,92340000,55453000,232048000,324388000,425223000,155838000,-832000,566534000,14662000,581196000,905584000,625000,2255000,1742000,-2403000,2219000,4410000,20824000,-2827000,22407000,-215000,70000,-13840000,10786000,10786000,10786000,1714000,55453000,3472000,0.3856,-0.02723,0.03811,0.00130000000000001,0.000840000000000007,4.58653,2.84408,0.55814,0.06123,0.01156,0.01156,0.30339,8.65254,0.05303,0.00093,0.00427,-112.88098,357.63031
"34","2018_Q3",17.2015873015873,"Down",50433000,-13808000,36625000,-7281000,-2272000,29344000,3270000,-2954000,5981000,243000,32614000,32614000,-6547000,26067000,26067000,128000,26195000,26195000,229297000,215095000,236308000,351127000,46433000,46433000,647460000,883768000,98407000,59166000,235821000,334228000,424736000,182033000,-613000,533693000,15847000,549540000,883768000,26067000,2272000,-3815000,10769000,35293000,-662000,41068000,-6832000,33574000,-656000,5396000,-54028000,14839000,14839000,14839000,31616000,59166000,48270000,0.72621,0.58184,0.5194,0.04767,0.02964,1.84272,2.40133,0.6082,0.06695,0.4109,0.4109,0.7911,8.37158,0.75717,0.03335,0.06146,-5.38117,-5.79781
