"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",41.595,"Up",154443000,-93619000,60824000,-30916000,-30916000,29908000,-48000,-48000,29860000,29860000,-10788000,19072000,19072000,19072000,19072000,35149000,35149000,146009000,146009000,141872000,1830000,1830000,324860000,49336000,48751000,26553000,1399000,98087000,422947000,54437000,37835000,16602000,54437000,16613000,4074000,16613000,71050000,42219000,309678000,351897000,351897000,422947000,19072000,2268000,-45000,-10714000,10581000,-2846000,-2846000,-415000,-294000,7441000,7441000,7441000,32176000,0,29404000,0.39383,0.19365,0.12349,0.0542,0.04509,1.54174,5.96763,0.20191,0,0.52517,0.52071,4.25275,9.68986,0.80967,0.05175,0.07979,-1.0924,-1.17524
"12","2013_Q3",49.0059375,"Up",162261000,-97906000,64355000,-33601000,-33601000,30754000,-53000,-53000,30701000,30701000,-11359000,19342000,19342000,19342000,19342000,39691000,39691000,151207000,151207000,146075000,5734000,5734000,342707000,51136000,52660000,30147000,1466000,103796000,446503000,56903000,44809000,12094000,56903000,18147000,5765000,18147000,75050000,43103000,328350000,371453000,371453000,446503000,19342000,2465000,-126000,-10952000,10729000,-4240000,-6137000,-432000,-50000.0000000075,4542000.00000001,4542000.00000001,4542000,33219000,3.23117426778526e-27,29386000,0.39661,0.18953,0.1192,0.05207,0.04332,1.51928,6.02265,0.20204,3.00926553810506e-36,0.53216,0.52719,4.46434,10.21991,0.80851,0.04965,0.07543,-1.19483,-1.2906
"13","2013_Q4",50.2625,"Up",177953000,-108249000,69704000,-34034000,-34034000,35670000,-47000,-47000,35623000,35623000,-12736000,22887000,22887000,22887000,22887000,48335000,48335000,178702000,178702000,149098000,2799000,2799000,378934000,58717000,51941000,30114000,1734000,110658000,489592000,77790000,49136000,28654000,77790000,18228000,5779000,18228000,96018000,43306000,350268000,393574000,393574000,489592000,22887000,2684000,1277000,-11317000,15531000,-5863000,-5863000,-1024000,-1024000,8644000,8644000,8644000,38354000,0,33910000,0.3917,0.20045,0.12861,0.05815,0.04675,1.48163,4.87124,0.24396,0,0.62933,0.6268,4.89325,10.82228,0.93244,0.05558,0.08235,-1.26023,-1.35506
"14","2014_Q1",54.8922950819672,"Up",169809000,-103724000,66085000,-34478000,-34478000,31607000,-41000,-41000,31566000,31566000,-10947000,20619000,20619000,20619000,20619000,60593000,60593000,180777000,180777000,160387000,5851000,5851000,407608000,64786000,56775000,30089000,5888000,121561000,529169000,91738000,61255000,30483000,91738000,23790000,5310000,23790000,115528000,43484000,370157000,413641000,413641000,529169000,20619000,2742000,315000,1042000,24718000,-11717000,-11717000,-791000,-743000,12258000,12258000,12258000,34349000,0,34621000,0.38917,0.18613,0.12142,0.04985,0.03896,1.67908,4.44318,0.2793,-2.40741243048404e-35,0.56709,0.56235,4.67034,11.37658,0.9522,0.04714,0.07915,-1.76404,-1.91708
"15","2014_Q2",54.555873015873,"Down",183512000,-111870000,71642000,-34695000,-34695000,36947000,-39000,-39000,36908000,36908000,-13357000,23551000,23551000,23551000,23551000,64021000,64021000,186087000,186087000,175380000,2825000,2825000,428313000,69491000,53411000,30064000,2287000,122902000,551215000,91104000,58303000,32801000,91104000,23137000,5021000,23137000,114241000,44397000,392577000,436974000,436974000,551215000,23551000,2860000,-66000,-15201000,11144000,-7008000,-7008000,-970000,-708000,3428000,3428000,3428000,39807000,0,30955000,0.39039,0.20133,0.12833,0.0539,0.04273,1.31438,4.70136,0.26144,0,0.64752,0.64437,5.04556,12.01435,0.85109,0.05119,0.06728,-1.60828,-1.73278
"16","2014_Q3",44.639375,"Down",196187000,-123226000,72961000,-36261000,-36261000,36700000,-63000,-63000,36637000,36637000,-13393000,23244000,23244000,23244000,23244000,53984000,53984000,188127000,188127000,183764000,6358000,6358000,432233000,75848000,53806000,30039000,2457000,129654000,561887000,86645000,59506000,27139000,86645000,23675000,5358000,23675000,110320000,44528000,407039000,451567000,451567000,561887000,23244000,2976000,566000,-18748000,8038000,-8870000,-8870000,-9203000,-9205000,-10037000,-10037000,-10037000,39676000,8.27180612553028e-25,25451000,0.3719,0.18707,0.11848,0.05147,0.04137,1.09495,4.98855,0.2443,0,0.64003,0.63719,5.40207,12.43404,0.7008,0.04891,0.05355,-1.36062,-1.47095
"17","2014_Q4",46.34515625,"Up",197796000,-121915000,75881000,-37405000,-37405000,38476000,-58000,-58000,38418000,38418000,-13882000,24536000,24536000,24536000,24536000,44210000,44210000,189220000,189220000,180155000,3422000,3422000,417007000,80972000,54207000,30014000,2935000,135179000,552186000,82301000,53955000,28346000,82301000,24200000,5694000,24200000,106501000,43961000,401724000,445685000,445685000,552186000,24536000,3165000,795000,-272000,28224000,-7114000,-7114000,-31087000,-30884000,-9774000,-9774000,-9774000,41641000,0,48137000,0.38363,0.19452,0.12405,0.05505,0.04443,1.96189,5.06685,0.23896,0,0.68226,0.67989,5.49999,12.39288,1.33851,0.05222,0.10244,-1.06169,-1.14903
"18","2015_Q1",47.0749180327869,"Up",173981000,-107264000,66717000,-38106000,-38106000,28611000,-44000,-44000,28567000,28567000,-9911000,18656000,18656000,18656000,18656000,47656000,47656000,206035000,206035000,173523000,3147000,3147000,430361000,82270000,45085000,29989000,12645000,127355000,557716000,90833000,59541000,31292000,90833000,4822000,4822000,4822000,95655000,43769000,418292000,462061000,462061000,557716000,18656000,3657000,-473000,-9606000,12234000,-6870000,-6870000,-1918000,-1918000,3446000,3446000,3446000,32268000,0,25703000,0.38347,0.16445,0.10723,0.04038,0.03345,1.37773,4.73794,0.20702,0,0.52468,0.5234,4.89302,12.99494,0.72287,0.03996,0.05505,-1.47688,-1.66565
"19","2015_Q2",48.7236507936508,"Up",188474000,-115581000,72893000,-39241000,-39241000,33652000,-52000,-52000,33600000,33600000,-12261000,21339000,21339000,21339000,21339000,64599000,64599000,201142000,201142000,183038000,2514000,2514000,451293000,84460000,69433000,29964000,14067000,153893000,605186000,96074000,60480000,35594000,96074000,26486000,4462000,26486000,122560000,44357000,438269000,482626000,482626000,605186000,21339000,3618000,-577000,-576000,23804000,-5749000,-5749000,-1112000,-1112000,16943000,16943000,16943000,37270000,0,43206000,0.38675,0.17855,0.11322,0.04421,0.03526,2.02474,4.69735,0.25394,0,0.60039,0.59869,5.30285,13.57903,1.21563,0.04191,0.08487,-1.73327,-1.91962
"20","2015_Q3",50.07703125,"Up",198721000,-122151000,76570000,-39675000,-39675000,36895000,-52000,-52000,36843000,36843000,-13700000,23143000,23143000,23143000,23143000,67199000,67199000,197292000,197292000,198782000,3827000,3827000,467100000,85202000,72991000,29939000,17351000,158193000,625293000,94053000,67411000,26642000,94053000,26467000,4632000,26467000,120520000,44434000,460339000,504773000,504773000,625293000,23143000,3978000,-275000,-15795000,11051000,-5267000,-7267000,-1184000,-1184000,2600000,2600000,2600000,40873000,-1.05879118406788e-22,33511000,0.38531,0.18566,0.11646,0.04585,0.03701,1.448,4.96635,0.23876,9.86076131526265e-32,0.65104,0.64981,5.59022,14.19976,0.9427,0.04356,0.06308,-1.64409,-1.82136
"21","2015_Q4",48.755625,"Down",210928000,-130134000,80794000,-39554000,-39554000,41240000,-48000,-48000,41192000,41192000,-15132000,26060000,26060000,26060000,26060000,79321000,79321000,199257000,199257000,195250000,3544000,3544000,477372000,86308000,75625000,29914000,19297000,161933000,639305000,87029000,58983000,28046000,87029000,26207000,4706000,26207000,113236000,44120000,481949000,526069000,526069000,639305000,26060000,4143000,-773000,-6802000,22628000,-5518000,-5518000,-5004000,-4988000,12122000,12122000,12122000,45383000,0,48195000,0.38304,0.19552,0.12355,0.04954,0.04076,1.84939,5.48521,0.21525,0,0.73377,0.73254,5.93912,14.81259,1.35703,0.04719,0.08727,-1.74781,-1.9234
"22","2016_Q1",47.4901639344262,"Down",204834000,-127041000,77793000,-43423000,-43423000,34370000,-64000,-64000,34306000,34306000,-12519000,21787000,21787000,21787000,21787000,78659000,78659000,203923000,203923000,193725000,2326000,2326000,478633000,87046000,56186000,29889000,18740000,143232000,621865000,98570000,63967000,34603000,98570000,5259000,5259000,5259000,103829000,43148000,474888000,518036000,518036000,621865000,21787000,4447000,661000,7682000,34577000,-5154000,-5287000,-30029000,-29952000,-662000.000000002,-662000.000000002,-662000.000000004,38817000,3.3881317890172e-21,53864000,0.37979,0.16779,0.10636,0.04206,0.03503,2.4723,4.85577,0.20043,1.57772181044202e-30,0.61791,0.61686,5.80941,14.69231,1.52767,0.04163,0.10293,-2.02641,-2.28859
"23","2016_Q2",53.7315625,"Up",208148000,-127554000,80594000,-41663000,-41663000,38931000,-57000,-57000,38874000,38874000,-14203000,24671000,24671000,24671000,24671000,86978000,86978000,207395000,207395000,187586000,2732000,2732000,484691000,88429000,58089000,29864000,20226000,146518000,631209000,92487000,52262000,40225000,92487000,5572000,5572000,5572000,98059000,43188000,489962000,533150000,533150000,631209000,24671000,4499000,994000,-6250000,23914000,-5598000,-5598000,-9997000,-9997000,8319000,8319000,8319000,43430000,0,45785000,0.3872,0.18704,0.11853,0.04627,0.03909,1.85582,5.24064,0.18392,0,0.71143,0.71028,6.00231,15.3743,1.32029,0.0458,0.08499,-2.00272,-2.23416
"24","2016_Q3",61.534375,"Up",209573000,-127409000,82164000,-41175000,-41175000,40989000,-62000,-62000,40927000,40927000,-14945000,25982000,25982000,25982000,25982000,87897000,87897000,216784000,216784000,178972000,5443000,5443000,489096000,88427000,59451000,29839000,21970000,147878000,636974000,78701000,52883000,25818000,78701000,5724000,5724000,5724000,84425000,43467000,509082000,552549000,552549000,636974000,25982000,4680000,1040000,-19072000,12630000,-4520000,-4520000,-7191000,-7191000,919000,919000,918999.999999998,45669000,2.71050543121376e-20,37022000,0.39205,0.19558,0.12398,0.04702,0.04079,1.42491,6.21461,0.15279,1.26217744835362e-29,0.75197,0.75084,6.06544,15.99181,1.07149,0.04654,0.06632,-1.92465,-2.1444
"25","2016_Q4",68.2773015873016,"Up",212786000,-129641000,83145000,-41512000,-41512000,41633000,-61000,-61000,41572000,41572000,-14877000,26695000,26695000,26695000,26695000,95142000,95142000,245006000,245006000,168245000,4259000,4259000,512652000,88384000,66969000,29814000,29574000,155353000,668005000,83305000,52481000,30824000,83305000,5536000,5536000,5536000,88841000,44102000,535062000,579164000,579164000,668005000,26695000,4711000,806000,-13250000,18962000,-4772000,-10967000,-750000,-750000,7245000,7245000,7245000,46344000,0,43199000,0.39074,0.19566,0.12545,0.04609,0.03996,1.61824,6.15392,0.1534,0,0.77216,0.76993,6.15487,16.7524,1.24954,0.04566,0.07388,-2.05295,-2.28525
"26","2017_Q1",74.2427419354839,"Up",229097000,-136926000,92171000,-45123000,-45123000,47048000,-61000,-61000,46987000,46987000,-18286000,28701000,28701000,28701000,28701000,149121000,149121000,230526000,230526000,168851000,3116000,3116000,551614000,88436000,71742000,28146000,29525000,160178000,711792000,103848000,72629000,31219000,103848000,6302000,6302000,6302000,110150000,44532000,557110000,601642000,601642000,711792000,28701000,5017000,-4127000,36442000,66033000,-5169000,-5169000,-6885000,-6885000,53979000,53979000,53979000,52065000,4.33680868994202e-19,101624000,0.40232,0.20536,0.12528,0.0477,0.04032,3.54078,5.31174,0.18308,0,0.83769,0.83477,6.68662,17.56004,2.96608,0.04721,0.16716,-2.86413,-3.16955
"27","2017_Q2",81.6366666666667,"Up",221625000,-132882000,88743000,-43701000,-43701000,45042000,64000,64000,45106000,45106000,-15919000,29187000,29187000,29187000,29187000,156344000,156344000,232924000,232924000,171762000,2972000,2972000,564002000,88836000,85763000,32432000,39716000,174599000,738601000,110449000,71653000,38796000,110449000,8173000,8173000,8173000,118622000,44525000,575454000,619979000,619979000,738601000,29187000,5005000,-458000,4411000,38145000,-5618000,-18745000,-12177000,-12177000,7223000,7223000,7223000,50047000,0,64759000,0.40042,0.20324,0.1317,0.04708,0.03952,2.21876,5.10645,0.19133,0,0.84883,0.84652,6.4454,18.03051,1.88335,0.04646,0.10309,-3.12394,-3.47107
"28","2017_Q3",71.8703174603175,"Down",229262000,-138410000,90852000,-45853000,-45853000,44999000,241000,241000,45240000,45240000,-16803000,28437000,28437000,28437000,28437000,129208000,129208000,230414000,230414000,200383000,5048000,5048000,565053000,90216000,89765000,32642000,42028000,179981000,745034000,111669000,90611000,21058000,111669000,8724000,8724000,8724000,120393000,44609000,580032000,624641000,624641000,745034000,28437000,5187000,-580000,-29266000,3778000,-6314000,-6314000,-24600000,-24600000,-27136000,-27136000,-27136000,50186000,6.93889390390723e-18,31409000,0.39628,0.19628,0.12404,0.04553,0.03817,1.10451,5.06007,0.19274,0,0.83325,0.83088,6.71771,18.30289,0.92033,0.0449,0.04959,-2.57458,-2.87135
"29","2017_Q4",67.7979365079365,"Down",224615000,-136489000,88126000,-45336000,-45336000,42790000,167000,167000,42957000,42957000,-15949000,27008000,27008000,27008000,27008000,116789000,116789000,231094000,231094000,201805000,4348000,4348000,554036000,89897000,94085000,32489000,45169000,183982000,738018000,100561000,72661000,27900000,100561000,9357000,9357000,9357000,109918000,44830000,583270000,628100000,628100000,738018000,27008000,5776000,-453000,-14892000,17439000,-5504000,-5505000,-24353000,-24353000,-12419000,-12419000,-12419000,48566000,0,44119000,0.39234,0.1905,0.12024,0.043,0.0366,1.63355,5.50945,0.175,0,0.79853,0.79648,6.64109,18.57075,1.30445,0.04237,0.06921,-2.40475,-2.72935
"30","2018_Q1",71.2419672131147,"Up",227719000,-136791000,90928000,-47519000,-47519000,43409000,-124000,-124000,43285000,43285000,-21318000,21967000,21967000,21967000,21967000,71691000,71691000,241880000,241880000,212149000,7129000,7129000,532849000,92692000,140383000,65999000,44342000,233075000,765924000,110781000,80218000,30563000,110781000,20336000,13732000,20336000,131117000,45148000,589659000,634807000,634807000,765924000,21967000,6256000,9628000,-2972000,34879000,-7014000,-63873000,-16172000,-16141000,-45135000,-45135000,-45098000,49665000,0,60997000,0.3993,0.19063,0.09647,0.0346,0.02868,2.77676,4.80993,0.20655,-5.16987882845642e-26,0.65532,0.65388,6.79332,18.93759,1.81967,0.03353,0.0931,-1.44349,-1.65152
"31","2018_Q2",67.40265625,"Down",227262000,-138627000,88635000,-48641000,-48641000,39994000,152000,152000,40146000,40146000,-9499000,30647000,30647000,30647000,30647000,75344000,75344000,250556000,250556000,205905000,8564000,8564000,540369000,92828000,139851000,65914000,45413000,232679000,773048000,95832000,63105000,32727000,95832000,20078000,13653000,20078000,115910000,45801000,611337000,657138000,657138000,773048000,30647000,6378000,1961000,-19235000,19751000,-6276000,-6276000,-9771000,-9771000,3704000,3704000,3653000,46372000,0,30360000,0.39001,0.17598,0.13485,0.04664,0.03964,0.99064,5.63871,0.17639,0,0.93104,0.92861,6.90409,19.96348,0.92232,0.04525,0.04483,-1.62477,-1.88388
"32","2018_Q3",76.4395238095238,"Up",238147000,-145445000,92702000,-49922000,-49922000,42780000,72000.0000000001,72000,42852000,42852000,-8514000,34338000,34338000,34338000,34338000,74810000,74810000,282681000,282681000,218523000,8589000,8589000,584603000,93325000,137920000,66918000,44366000,231245000,815848000,122561000,97981000,24580000,122561000,19271000,13706000,19271000,141832000,46697000,627319000,674016000,674016000,815848000,34338000,6626000,1850000,-16960000,25854000,-5140000,-7741000,-18613000,-18613000,-5e+05,-5e+05,-534000,49406000,0,35820000,0.38926,0.17964,0.14419,0.05095,0.04209,1.04316,4.76989,0.21043,0,1.03596,1.03347,7.18479,20.33476,1.08067,0.04953,0.05167,-1.51419,-1.74871
"33","2018_Q4",79.9161904761905,"Up",247954000,-152957000,94997000,-51265000,-51265000,43732000,62000,62000,43794000,43794000,-9776000,34018000,34018000,34018000,34018000,53113000,53113000,301049000,301049000,239957000,7838000,7838000,601957000,96794000,150311000,80065000,45242000,247105000,849062000,127859000,97937000,29922000,127859000,19250000,13840000,19250000,147109000,47645000,654308000,701953000,701953000,849062000,34018000,6669000,2316000,-23395000,19608000,-6683000,-34158000,-7204000,-7204000,-21754000,-21754000,-21697000,50401000,0,30099000,0.38312,0.17637,0.13719,0.04846,0.04007,0.8848,4.70798,0.20957,0,1.03132,1.02789,7.51717,21.28098,0.91251,0.04717,0.04173,-1.05381,-1.21451
"34","2019_Q1",86.9419672131148,"Up",260342000,-163395000,96947000,-52310000,-52310000,44637000,-294000,-294000,44343000,44343000,-9744000,34599000,34599000,34599000,34599000,43458000,43458000,310114000,310114000,270504000,5652000,5652000,629728000,98647000,159182000,72606000,55184000,257829000,887557000,141590000,109096000,32494000,141590000,18344000,13550000,18344000,159934000,48191000,679432000,727623000,727623000,887557000,34599000,8718000,-3295000,-27123000,12899000,-8007000,-10971000,-11551000,-11350000,-9422000,-9422000,-9655000,53355000,0,27969000,0.37238,0.17146,0.1329,0.04755,0.03898,0.80838,4.44755,0.2198,-1.32348898008484e-23,1.03776,1.03268,7.8087,21.82433,0.8389,0.04638,0.03749,-0.81451,-0.97359
"35","2019_Q2",86.8950793650794,"Down",243791000,-156299000,87492000,-57750000,-57750000,29742000,29000,29000,29771000,29771000,-6364000,23407000,23407000,23407000,23407000,40794000,40794000,297509000,297509000,288862000,7409000,7409000,634574000,101395000,191513000,72601000,88019000,292908000,927482000,133916000,98281000,35635000,133916000,51859000,47067000,51859000,185775000,50219000,691488000,741707000,741707000,927482000,23407000,7265000,2422000,-16663000,16431000,-8838000,-8838000,-10257000,-10257000,-2664000,-2664000,-2664000,37007000,0,17870000,0.35888,0.122,0.09601,0.03156,0.02524,0.76345,4.7386,0.25047,0,0.71361,0.7117,7.43243,22.61233,0.5448,0.0295,0.02252,-1.10233,-1.3716
